Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
Sumter County Treatment Center,,,106 Hospital Road,,,Livingston,AL,35470,(205)652-4919,,Methadone Clients Only,SA/TX/DT/MM/OP/PW/SF/PI/,2902AL35470,-88.1828794690595,32.60011634361372,98.04
ECD Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(251)476-1677,,Methadone Clients Only,SA/TX/MM/OP/SF/,9926AL36607,-88.11049309267267,30.699565375987593,100.0
Mobile Mental Health,Oasis,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569,,,SA/TX/MM/DM/OP/PH/CO/PW/WN/CJ/SF/MD/MC/SI/PI/MI/,3152AL36693,-88.14878992184461,30.628666822159875,100.0
Mobile Metro Treatment Center,,,3367 Dauphin Island Parkway,,,Mobile,AL,36605,(251)476-5733 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,8709AL36605,-88.07649336042273,30.602566211206867,100.0
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,6849AL36105,-86.29911972503125,32.32229104373711,100.0
Treatment Centers Inc,DBA Shoals Treatment Center,,520 Louise Avenue,,,Muscle Shoals,AL,35661,(256)383-6646,,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/MN/SF/PI/SP/F20/F22/F52/,3715AL35661,-87.66815290212082,34.756822616214265,99.55
Calhoun Treatment Center Inc,,,118 East Choccolocco Street,,,Oxford,AL,36203,(256)831-4601,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/PI/AH/,8190AL36203,-85.83361019652041,33.61507245507789,100.0
Tuscaloosa Treatment Center,,,1001 Mimosa Park Road,,,Tuscaloosa,AL,35405,(205)752-5857 Hotline: (205)752-5857,,,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/SF/MC/PI/MI/SS/,5701AL35405,-87.55181937830143,33.15494892799984,100.0
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501,(907)276-6430,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MD/PI/SS/PA/AH/,5954AK99501,-149.87406602589138,61.21851252448672,100.0
Project Special Delivery,,,710 3rd Avenue,,,Fairbanks,AK,99701,(907)452-4222,www.interioraids.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/PI/SS/AH/,1447AK99701,-147.72514051186158,64.84289779087666,100.0
Community Medical Services LLC,Bullhead Drug Abuse Program,,809 Hancock Road,Suite 1,,Bullhead City,AZ,86442,(928)763-7111,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/MD/SP/AH/,7875AZ86442,-114.62157533253617,35.1080044941549,100.0
Community Medical Services LLC,,,2559 East 7th Avenue,,,Flagstaff,AZ,86004,(928)714-0010,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,7340AZ86004,-111.61072106878498,35.211550916195165,100.0
Community Medical Services Inc,Glendale,,6550 West Glendale Avenue,Suite 9,,Glendale,AZ,85301,(623)915-2106,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MC/SI/,0243AZ85301,-112.20065001966464,33.53839744512855,100.0
Thunderbird Treatment Center,,,13820 North 51st Avenue,Suite 300,,Glendale,AZ,85306,(602)938-2301,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/,6197AZ85306,-112.16849754199787,33.61155498941035,100.0
New Hope Behavioral Health Center Inc,,,6550 East Broadway,Suite 101,,Mesa,AZ,85206,(480)981-1022,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/PI/MI/SP/,2703AZ85206,-111.68972373553072,33.40870375438075,98.84
Addiction Resources Inc,,,4337 West Indian School Road,Suite C,,Phoenix,AZ,85031,(602)233-9401,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/SF/,0527AZ85031,-112.15314097337105,33.49493254138844,100.0
Alpha Medical Service,,,3801 East Indian School Road,,,Phoenix,AZ,85018,(602)955-7997,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MC/PI/SP/AH/,2174AZ85018,-111.99956866539995,33.49508878006366,100.0
Center for Behavioral Hlth Phoenix Inc,,,1501 East Washington Street,,,Phoenix,AZ,85034,(602)253-6553,www.centerforbehavioralhealth.com,Methadone Clients Only,SA/TX/MM/OP/HV/PW/WN/MN/SF/PI/SP/,8079AZ85034,-112.0496715754502,33.44819354053965,100.0
Community Medical Services Inc,Larkspur Medical Services,,12612 North 28th Drive,Suites 4 and 5,,Phoenix,AZ,85029,(602)248-8886 Intake: (602)866-9378,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/PI/SP/,8164AZ85029,-112.11976641422136,33.60068139787795,100.0
Intensive Treatment Systems Inc,,,651 West Coolidge Street,,,Phoenix,AZ,85013,(602)248-0550,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/SI/SP/,5171AZ85013,-112.08192413304093,33.50476757320793,100.0
Southwest Behavioral Health Servs Inc,Methadone Maintenance,,1424 South 7th Avenue,Building C,,Phoenix,AZ,85007,(602)258-3600x224 Intake: (602)258-3600x0 Hotline: (800)222-9444,,,SA/TX/MM/OP/WN/MN/CJ/SF/SI/PI/,7322AZ85007,-112.08253156956421,33.434280461368274,100.0
Valle Del Sol Inc,Behavioral Health Program,,1209 South 1st Avenue,,,Phoenix,AZ,85003,(602)258-6797x194 Intakes: (602)258-6797x100 (602)258- 6797x104,www.valledelsol.com,Methadone Clients Only,SA/TX/MM/OP/CO/HV/SE/PW/WN/MN/SF/MD/SP/AH/,2153AZ85003,-112.07508123110743,33.43560467634146,100.0
Banner Behavioral Health Hospital,Wendy Paine O’Brien Treatment Center,,7575 East Earll Drive,,,Scottsdale,AZ,85251,(480)941-7500 Intakes: (602)254-4357 (800)254-4357 Hotlines: (602)254-4357 (800)254-4357,www.bannerhealth.com,,MH-SA/TX/DT/MM/HI/RS/OP/PH/AD/SF/MD/MC/SI/PI/MI/,9564AZ85251,-111.91808668376908,33.48391395348107,100.0
New Life Medical Center,,,617 North Scottsdale Road,Suite D,,Scottsdale,AZ,85257,(480)990-3720,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/,8326AZ85257,-111.92637662958643,33.454729539088305,100.0
Center for Behavioral Hlth Phoenix Inc,,,2123 East Southern Avenue,Suite 2,,Tempe,AZ,85282,(480)897-7044 Hotline: (480)897-7044,,207.21.250.134,Methadone/Clients/Only/SA/TX/DT/MM/DM/OP/SF/SI/,5628AZ85282,-111.8954739775022,33.39296254021708,100.0
Valle Del Sol Inc,East Clinic,,509 South Rockford Drive,,,Tempe,AZ,85281,(602)258-6797x235 Intake: (602)258-6797x100,www.valledelsol.com,Methadone Clients Only,SA/TX/MM/OP/HV/PW/WN/MN/SF/MD/SP/AH/,8333AZ85281,-111.896965025709,33.42555782782975,100.0
Behavioral Awareness Center Inc,,,1475 West Saint Marys Road,,,Tucson,AZ,85745,(520)629-9126 Hotlines: (520)629-9126 (520)971-5671,,Methadone Clients Only,SA/TX/DT/MM/OP/SF/,7159AZ85745,-110.99632073705843,32.228985164421054,100.0
CODAC Behavioral Health Services Inc,,,3100 North 1st Avenue,,,Tucson,AZ,85719,(520)327-4505x1050 Intake: (520)327-4505x1063,www.codac.org,,MH-SA/TX/DT/MM/DM/OP/PH/CO/PW/WN/MN/CJ/SF/MD/MC/SS/PA/SP/AH/F20/F34/,5498AZ85719,-110.96097651448132,32.26321790472755,100.0
Center for Behavioral Hlth Tucson Inc,,,368 East Grant Road,Suite C,,Tucson,AZ,85705,(520)624-0250,www.centerforbehavioralhealth.com,Methadone Clients Only,SA/TX/MM/OP/HV/PW/SF/MD/PI/MI/SP/F20/,1160AZ85705,-110.96583600666645,32.25017247826332,100.0
Community Medical Services Inc,,,6626 East Carondelet Drive,,,Tucson,AZ,85710,(520)298-1650 Intake: (520)298-1650x0 Hotline: (520)218-6498,www.cmsaz.net,,SA/TX/DT/MM/DM/OP/SF/SP/,2921AZ85710,-110.85106595924641,32.2255925052917,100.0
La Frontera Center,Hope Center,,260 South Scott Avenue,,,Tucson,AZ,85701,(520)884-8470,www.lafrontera.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/WN/MN/SF/MD/MC/SI/SS/PA/SP/,0739AZ85701,-110.96962797966307,32.21828851486476,100.0
New Hope Behavioral Health Center Inc,,,2001 West Orange Grove,Suite 204,,Tucson,AZ,85704,(520)297-3329,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/PI/MI/SP/F53/N32/,2603AZ85704,-111.0088780014817,32.32308250494411,98.84
Yuma Treatment Center,,,1290 West 8th Place,,,Yuma,AZ,85364,(928)344-4310,,,SA/TX/MM/OP/DU/SF/MD/SI/SP/,5466AZ85364,-114.63488403457909,32.71305763289,100.0
Catar Clinic,,,1401 South University Avenue,,,Little Rock,AR,72204,(501)664-7833 Intake: (501)664-6890,,Methadone Clients Only,SA/TX/DT/MM/OP/SF/AH/,2898AR72204,-92.34153004006546,34.739470861265175,100.0
UAMS/Substance Abuse Treatment Clinic,,,3924 West Markham Street,,,Little Rock,AR,72205,(501)686-9630 Intake: (501)686-5000 Hotlines: (501)686-9630 (501)686-5000,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/WN/SF/PI/SS/SP/F2/F11/F20/F22/F38/F56/,0488AR72205,-92.31713643871115,34.75140996032928,100.0
Addiction Research and Trt (BAART),California Detoxification Programs,,3707 Sunset Lane,,,Antioch,CA,94509,(925)522-0124,www.baartcdp.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/SI/PI/SS/SP/F2/F6/F20/F64/,6895CA94509,-121.80420938031936,37.984503888517864,100.0
Aegis Medical Systems Inc,,,6500 Morro Road,Suite D,,Atascadero,CA,93422,(805)461-5212 Hotline: (818)593-5300,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/SI/SS/SP/AH/,2192CA93422,-120.66561182060549,35.483589235452754,100.0
Aegis Medical Systems Inc,,,1018 21st Street,,,Bakersfield,CA,93301,(661)861-9967,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/SF/MD/MC/SI/PI/SS/SP/AH/F2/,9712CA93301,-119.01324743359035,35.3781303509037,100.0
Bakersfield Medical and Mental Servs,,,1010 1/2 South Union Avenue,,,Bakersfield,CA,93307,(661)321-0234 Hotline: (661)321-0234,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/PW/SF/MC/SP/,2855CA93307,-119.00288925970858,35.34384972910927,100.0
Berkeley Addiction Treatment Services,,,2975 Sacramento Street,,,Berkeley,CA,94702,(510)644-0200,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/,7277CA94702,-122.27903371782922,37.853748084909185,100.0
Imperial Valley Methadone Clinic,,,535 Cesar Chavez Boulevard,,,Calexico,CA,92231,(760)357-6566,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/CJ/SF/MD/MC/SI/PI/MI/SP/,7481CA92231,-115.50220885858333,32.670215432665856,100.0
Bi Valley Medical Clinic,Carmichael,,6127 Fair Oaks Boulevard,,,Carmichael,CA,95608,(916)974-8090,www.bi-valley.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/CJ/SF/SI/SS/SP/F28/F56/F72/,4986CA95608,-121.32938814411379,38.61252368363205,100.0
Hayward,,,20094 Mission Boulevard,,,Castro Valley,CA,94546,(510)727-9755,,Methadone Clients Only,SA/TX/MM/OP/SF/MD/SP/F2/F22/,1106CA94546,-122.10248049446491,37.68700193971726,97.13
Aegis Medical Systems Inc,Chico,,590 Rio Lindo Avenue,,,Chico,CA,95926,(530)345-3491 Hotline: (818)593-5300,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/WN/SF/,8652CA95926,-121.84816751715158,39.75413566909468,100.0
San Diego Treatment Services,Third Avenue Clinic,,1161 3rd Avenue,,,Chula Vista,CA,91911,(619)498-8260,www.crchealth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/SS/SP/F64/,1945CA91911,-117.06822378424371,32.6115680824088,100.0
Western Clinical Health Servs (WCHS),Colton Clinical Services,,2275 East Cooley Drive,,,Colton,CA,92324,(909)370-1777,www.crchealth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/PI/SS/SP/,2924CA92324,-117.28870103009451,34.05940598531599,100.0
Aegis Medical Systems Inc,,,1019 Jefferson Street,,,Delano,CA,93215,(661)721-0463,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SE/PW/SF/MC/SI/SS/SP/,2761CA93215,-119.2444395467798,35.769531467721144,100.0
San Diego Health Alliance,East Office,,234 North Magnolia Avenue,,,El Cajon,CA,92020,(619)579-8373,www.crchealth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/SP/F64/,4593CA92020,-116.96237157888831,32.797095935231575,100.0
Aegis Medical Systems Inc,,,11041 Valley Boulevard,,,El Monte,CA,91731,(626)442-4177x11 Hotline: (800)821-0775,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/SE/PW/WN/MN/SF/MC/SS/SP/,3928CA91731,-118.03385574279064,34.074309176800014,100.0
Pharmatox Inc,,,1143 Missouri Street,,,Fairfield,CA,94533,(707)435-9911x10 Intake: (800)742-1112x10 Hotline: (800)742-1112,www.pharmatox.com,,SA/TX/DT/MM/DM/OP/CO/HV/GL/PW/WN/MN/CJ/SF/MC/SS/SP/AH/,5517CA94533,-122.04829098752155,38.248112480271615,100.0
San Joaquin County,Alternative Treatment Services/Detox,,500 West Hospital Road,,,French Camp,CA,95231,(209)468-6840 Intake: (209)468-6942,www.co.san-joaquin.ca.us/osa/default.htm,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SE/WN/CJ/SF/SP/F28/,9106CA95231,-121.28208914831384,37.88652975013788,100.0
San Joaquin County,Alternative Treatment Services/Maint,,500 West Hospital Road,Ward X,,French Camp,CA,95231,(209)468-6840 Intake: (209)468-6839,www.co.san-joaquin.ca.us/osa/default.htm,Methadone Clients Only,SA/TX/MM/DM/OP/SE/MN/CJ/SF/MC/PI/SP/F28/F67/,9106CA95231,-121.28208914831384,37.88652975013788,100.0
Aegis Medical Systems Inc,,,34 East Minarets Avenue,,,Fresno,CA,93650,(559)431-6070,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MC/SS/,1819CA93650,-119.7896639629219,36.84269748481125,100.0
E Street Clinic/BAART/CDP,,,1235 E Street,,,Fresno,CA,93706,(559)268-6261,www.baartcdp.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/SS/SP/F28/F52/,9892CA93706,-119.79918940914763,36.73262046497898,100.0
East Cartwright Clinic/BAART/CDP,,,3103 East Cartwright Avenue,,,Fresno,CA,93725,(559)498-7100 Intake: (559)498-7101,www.baartcdp.com/clinic_sites.htm,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/SI/SP/,5945CA93725,-119.73448011080477,36.676163485588546,100.0
Paths Program,,,515 South Cedar Street,,,Fresno,CA,93702,(559)453-8300,,,SA/TX/MM/OP/PH/PW/SF/MD/PI/SS/PA/AH/,7001CA93702,-119.75437447417252,36.737430042930605,98.06
Van Ness Clinic/BAART/CDP,,,539 North Van Ness Avenue,,,Fresno,CA,93728,(559)266-9581,www.baartcdp.com/Maps/,van_ness_clinic.htm,Methadone/Clients/Only/SA/TX/DT/MM/DM/OP/PW/SF/MD/SS/SP/F28/F39/,2650CA93728,-119.79892747467345,36.751197989448535,100.0
Western Pacific Fullerton Program,Outpt Detox and Methadone Maintenance,,218 East Commonwealth Avenue,,,Fullerton,CA,92832,(714)992-4770 Hotline: (714)992-4770,www.westpacmed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F2/,8233CA92832,-117.92112601824158,33.870352536379464,100.0
Western Pacific Medical Corp,Administrative Unit,,4632 San Fernando Road,,,Glendale,CA,91204,(818)240-8843 Hotline: (818)240-8843,www.westpacmed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F2/,3453CA91204,-118.26391006739055,34.136266277235144,100.0
Western Health Harbor City Clinic,,,1647 West Anaheim Street,,,Harbor City,CA,90710,(310)534-5590,,,MH-SA/TX/DT/MM/DM/OP/SF/MD/MC/SI/PI/MI/SS/SP/,9765CA90710,-118.28720845199085,33.778691964537714,99.03
Hawaiian Gardens Medical and Mental Health Services,,,21505 Norwalk Boulevard,,,Hawaiian Gardens,CA,90716,(562)916-7581,www.ahsadm.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MC/SI/PI/SS/SP/AH/F2/F18/F22/F27/,3992CA90716,-118.07206749826307,33.834009987224825,100.0
Successful Alternatives for,Addiction Counseling Servs Inc (SAACS),,795 Fletcher Lane,,,Hayward,CA,94544,(510)247-8300,,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/MN/CJ/SF/MC/SS/SP/AH/,6199CA94544,-122.08051940523107,37.66548085849054,100.0
Aegis Medical Systems Inc,,,11959 Mariposa Road,Suite 2,,Hesperia,CA,92345,(760)956-2462,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/CJ/SF/MD/MC/SS/AH/,9977CA92345,-117.3462307254533,34.46803386531209,100.0
Riverside County Substance Abuse Prog,,,83-912 Avenue 45,Suite 9,,Indio,CA,92201,(760)347-0754 Hotline: (760)347-0754,,,SA/TX/DT/MM/DM/OP/AD/CO/HV/PW/WN/MN/CJ/SF/MD/SS/PA/SP/AH/,3125CA92201,-116.20974097812523,33.722210025285456,93.0
Aegis Medical Systems Inc,Inglewood Clinic,,614 West Manchester Boulevard,Suite 104,,Inglewood,CA,90301,(310)412-0879 Intake: (800)821-0775 Hotline: (818)593-5300,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/PI/SS/SP/,4931CA90301,-118.36726698017084,33.96153247168356,100.0
El Dorado Community Service Center,Inglewood Medical/Mental Health Servs,,4450 West Century Boulevard,,,Inglewood,CA,90304,(310)671-0555x229 Intake: (310)671-0555x232,www.ahsadm.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/MC/SI/PI/MI/SS/SP/AH/F20/F22/F27/F56/,9273CA90304,-118.35400102583412,33.94541252122507,100.0
Aegis Medical Systems Inc,La Mirada Methadone Treatment Program,,14240 East Imperial Highway,,,La Mirada,CA,90638,(562)946-1587,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/MC/SS/,3070CA90638,-118.02825491317932,33.91703100106978,98.87
La Puente Clinic/BAART,,,15229 East Amar Road,,,La Puente,CA,91744,(626)855-5090,www.baartcdp.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/SS/SP/F2/F11/,1948CA91744,-117.95262155858437,34.03786678261465,100.0
Western Pacific Medical Corp,Antelope Valley Medical Clinic,,45335 North Sierra Highway,,,Lancaster,CA,93534,(661)949-8599 Hotline: (661)949-8599,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F2/,0572CA93534,-118.13837039270544,34.70685265243158,98.87
Lawndale Medical and Mental Health Services,,,4023 Marine Avenue,,,Lawndale,CA,90260,(310)675-9555 Intake: (310)671-0555x232,www.ahsadm.com/lawndale_cl.asp,Methadone Clients Only,MH-SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/SI/PI/MI/SS/SP/AH/F20/F22/F27/F56/,5646CA90260,-118.34461999980014,33.89467744803744,100.0
West County Medical Clinic,Substance Abuse Program,,100 East Market Street,,,Long Beach,CA,90805,(562)428-4222,www.ahsadm.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/SP/,0663CA90805,-118.19365093339657,33.854231067257764,100.0
Aegis Medical Systems Inc,,,2321 Pontius Avenue,,,Los Angeles,CA,90064,(310)478-8066,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/PI/SP/,1907CA90064,-118.43683065773777,34.0378168430355,100.0
American Health Services,Hollywood Medical/Mental Health Servs,,8346 Beverly Boulevard,,,Los Angeles,CA,90048,(323)653-1677 Intake: (310)671-0555x232,www.ahsadm.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/SI/PI/MI/SP/AH/F2/F22/,2691CA90048,-118.37180301471231,34.07602247971853,100.0
Beverly Clinic/BAART,,,1926 West Beverly Boulevard,,,Los Angeles,CA,90057,(213)607-2010 Hotline: (800)520-5455,www.baartcdp.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/SI/PI/SS/SP/,3964CA90057,-118.26849915937919,34.065823966667864,98.87
Buena Care,AltaMed Health Services,,1701 Zonal Avenue,,,Los Angeles,CA,90033,(323)223-6146,www.altamed.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/CJ/SF/MD/MC/PI/SS/SP/AH/,4574CA90033,-118.21031257426844,34.06188539418482,100.0
Hollywood Clinic/BAART,,,6411 Hollywood Boulevard,2nd Floor,,Los Angeles,CA,90028,(323)957-0604,www.baartcdp.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/SP/F3/,4701CA90028,-118.33000531342348,34.10163128939537,100.0
Jeff Grand Medical Group/Outpatient,Methadone Maintenance and Detox,,3130 South Hill Street,,,Los Angeles,CA,90007,(213)747-7267 Intake: (213)747-7268,www.crchealth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/MC/SP/F38/F64/,5485CA90007,-118.27355684308304,34.02162121386799,100.0
Matrix Institute,,,5220 West Washington Boulevard,Suite 101,,Los Angeles,CA,90016,(323)933-9186 Hotline: (310)207-4322,www.matrixinstitute.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/WN/MN/CJ/SF/MD/SS/PA/,5328CA90016,-118.35469948982576,34.0414235340624,100.0
Narcotics Prevention Project/Methadone,Maintenance Treatment Program,,942 South Atlantic Boulevard,,,Los Angeles,CA,90022,(323)263-9700,www.nppclinic.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/PW/SF/MD/PI/SS/SP/AH/,1178CA90022,-118.15762066196535,34.01924967021644,100.0
South East Clinic/BAART,,,4920 South Avalon Boulevard,,,Los Angeles,CA,90011,(323)235-5035,www.baartcdp.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/SS/PA/SP/F2/,0470CA90011,-118.26521253132496,33.998127986676124,98.87
Tri City Institute,Pajo Corporation,,2080 Century Park East,Suite 1802,,Los Angeles,CA,90067,(310)553-9500,www.tricityinstitute.net,,SA/TX/DT/MM/DM/OP/PW/WN/CJ/SF/MD/PI/MI/F2/,5332CA90067,-118.41206691153894,34.0586280608824,100.0
Veterans Affairs Outpatient Clinic,Drug Dependence Treatment Program,,351 East Temple Street,Unit 11-C,,Los Angeles,CA,90012,(213)253-2677 Intake: (213)253-2677x4274,,,GH/TX/MM/OP/SF/MC/PI/MI/PA/SP/,6088CA90012,-118.23847778059469,34.05149229525194,100.0
Wilshire Treatment Center Inc,,,11901 Santa Monica Boulevard,Suite 204,,Los Angeles,CA,90025,(310)268-2446,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/DU/SF/F2/,9099CA90025,-118.46079728494438,34.04205322453848,100.0
Addiction Treatment Serv of Marysville,,,1496 North Beale Road,,,Marysville,CA,95901,(530)749-8640,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/SS/SP/AH/F28/,5127CA95901,-121.56161874951916,39.127420560372975,100.0
Aegis Medical Systems Inc,,,320 H Street,Suite 2,,Marysville,CA,95901,(530)742-7747,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/PW/WN/MN/SF/MC/,3029CA95901,-121.59487512036924,39.13824608043687,100.0
San Mateo Medical Center,Methadone Treatment Program,,795 Willow Road,Building 332,,Menlo Park,CA,94025,(650)578-7190,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/GL/PW/SF/MD/MC/PI/AH/,6092CA94025,-122.1575348767263,37.46499402906239,100.0
Aegis Medical Systems Inc,,,103 Modesto Avenue,,,Modesto,CA,95354,(209)527-4597 Intake: (800)821-0775,www.aegismed.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/PI/SS/SP/F53/,6221CA95354,-120.99349770741236,37.64965980669937,100.0
