Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID,Longitude,Latitude,Match Score
SAN JOAQUIN COUNTY,METHADONE MAINTENANCE CLINIC,,500 HEST HOSPITAL ROAD,,,FRENCH CAMP,CA,95231,(209)468-6840,DA/AM/A/B/H/HV/IV/EA/MM/,0077CA95231,-121.28208914831384,37.88652975013788,93.07
BAY AREA ADDICTION RESEARCH/TRT INC,,,MAINTENANCE CLINIC/SOUTH ORANGE AVENUE,2851 SOUTH ORANGE AVENUE,,FRESNO,CA,93725,(209)268-6261,DA/AM/A/HV/CU/IV/PG/MM/,6034CA93725,-119.76383328330122,36.62415937723645,87.34
BAY AREA ADDICTION RESEARCH/TRT INC,,,MAINTENANCE CLINIC/VAN NESS STREET,539 NORTH VAN NESS STREET,,FRESNO,CA,93728,(209)266-9581,DA/AM/A/HV/CU/IV/PG/MM/,6700CA93728,-119.79992,36.75767500000006,85.0
CALIFORNIA DETOX PROGRAMS,SOUTH ORANGE CLINIC,,2851 SOUTH ORANGE AVENUE,,,FRESNO,CA,93725,(209)268-6261,DA/AM/HV/CU/IV/MM/,5514CA93725,-119.76369154628536,36.69730319022075,100.0
CALIFORNIA DETOX PROGRAMS,VAN NESS CLINIC,,539 NORTH VAN NESS STREET,,,FRESNO,CA,93728,(209)266-9581,DA/AM/A/HV/CU/IV/PG/MM/,8694CA93728,-119.79892747467345,36.751197989448535,98.06
COMMUNITY HEALTH PROJECTS INC,MEDICAL GROUP/PINEDALE,,34 EAST MINARETS AVENUE,,,FRESNO,CA,93650,(209)431-6070,DA/AM/A/HV/IV/TX/MM/,1819CA93650,-119.7896639629219,36.84269748481125,100.0
HESTERN PACIFIC FULLERTON PROGRAM,OUTPT DETOX AND METHADONE MAINTENANCE,,218 EAST COMMONHEALTH AVENUE,,,FULLERTON,CA,92632,(714)992-4770,DA/AM/B/H/HV/CU/IV/PG/PV/MM/,3049CA92632,-117.92112601824158,33.870352536379464,97.17
HESTERN PACIFIC GLENDALE PROGRAM,OUTPT DETOX AND METHADONE MAINTENANCE,,4628 SAN FERNANDO ROAD,,,GLENDALE,CA,91204,(818)240-8843,DA/AM/A/B/H/AI/HV/IV/PG/MM/,7209CA91204,-118.26391006739055,34.136266277235144,100.0
HESTERN HEALTH HARBOR CITY CLINIC,,,1647 HEST ANAHEIM STREET,,,HARBOR CITY,CA,90710,(213)534-5590,DA/AM/IV/TX/PV/MM/,5139CA90710,-118.30594519104031,33.78623270319306,97.96
RIVERSIDE COUNTY DRUG ABUSE PROGRAM,INDIO,,83-912 AVENUE 45,SUITE 9,,INDIO,CA,92201,(619)347-0754,DA/AM/W/Y/H/HV/CU/IV/TX/PV/MM/,3125CA92201,-116.20974097812523,33.722210025285456,93.0
COMMUNITY HEALTH PROJECTS,INGLEWOOD CLINIC,,614 WEST MANCHESTER BOULEVARD,SUITE 104,,INGLHIOOD,CA,90301,(213)412-0879,AD/AM/IV/TX/MM/OT/,4931CA90301,-118.36726698017084,33.96153247168356,100.0
INGLEHOOD MENTAL HEALTH SERVICE,DRUG ABUSE TREATMENT PROGRAM,,4450 WEST CENTURY BOULEVARD,,,INGLEWOOD,CA,90304,(213)671-0555,DA/AM/Y/A/HV/CU/IV/PV/MM/,9273CA90304,-118.35400102583412,33.94541252122507,100.0
LOS ANGELES MEDICAL SERVICES,,,3220 HEST 85TH STREET,,,INGLEWOOD,CA,90305,(213)751-0392,DA/AM/W/A/B/H/AI/HV/PI/CU/IV/EA/TX/PV/MM/,5259CA90305,-118.32859933298481,33.960860033501305,91.75
BAY AREA ADDICTION RESEARCH/TRT INC,LA PUENTE OUTPATIENT METHADONE MAINT,,15229 AMAR ROAD,,,LA PUENTE,CA,91744,(818)855-5090,DA/AM/W/A/B/H/AI/HV/CU/IV/CI/PV/MM/,1605CA91744,-117.95258615070608,34.03780447972841,100.0
CALIFORNIA DETOX PROGRAMS,LA PUENTE CLINIC,,15229 AMAR ROAD,,,LA PUENTE,CA,91744,(818)855-5090,DA/AM/W/A/B/H/AI/HV/CU/IV/CI/PV/MM/,1605CA91744,-117.95258615070608,34.03780447972841,100.0
HESfERN PACIFIC LANCASfER PROGRAM,OUTPT DETOX AND METHADONE MAINTENANCE,,45335 SIERRA HIGHHAY,,,LANCASTER,CA,93534,(805)949-8599,DA/AM/B/H/HV/CU/IV/PG/MM/,8612CA93534,-118.13837039270544,34.70685265243158,90.69
VETERANS ADMINISTRATION,SPINAL CORD INJURY SPECIAL TRT UNIT,,5901 EAST 7TH STREET,128D,,LONG BEACH,CA,90822,(213)494-5703 EXT2834,AD/DT/RR/AM/TX/MM/,3584CA90822,-118.12000226493237,33.7754489707049,99.52
HEST COUNTY MEDICAL CLINIC,SUBSTANCE ABUSE PROGRAM,,100 EAST MARKET STREET,,,LONG BEACH,CA,90805,(213)428-4222,DA/AM/IV/MM/,0663CA90805,-118.19365093339657,33.854231067257764,100.0
HESTERN HEALTH LONG BEACH CLINIC,,,2933 EAST ANAHEIM STREET,,,LONG BEACH,CA,90815,(213)438-3087,DA/AM/A/HV/IV/MM/,5670CA90815,-118.1569320048005,33.7826275377454,99.52
ALPHA SERVICE CENlER/HASHINGTON,,,4167 HEST WASHINGTON BOULEVARD,,,LOS ANGELES,CA,90019,(213)37-1831,DA/AM/A/B/HV/IV/CI/MM/,1287CA90019,-118.37984446438513,34.03076846674434,92.37
BAY AREA ADDICTION RESEARCH/TRT INC,IBAARTJ HEST OLYMPIC,,1020 HEST OLYMPIC BOULEVARD,,,LOS ANGELES,CA,90015,(213)47-2267,/DA/AM/W/A/B/H/AI/HV/IV/PG/PV/MM/,0750CA90015,-118.26755070466247,34.04612001216156,93.74
BAY AREA ADDICTION RESEARCH/TRT INC,HOLLYHOOD CLINIC,,6411 HOLLYHOOD BOULEVARD,2ND FLOOR,,LOS ANGELES,CA,90028,(213)957-0604,DA/AM/HV/IV/PV/MM/,2665CA90028,-118.33000531342348,34.10163128939537,97.88
BAY AREA ADDICTION RESEARCH/TRT INC,SOUTHEAST METHADONE CLINIC,,4920 SOUTH AVALON BOULEVARD,,,LOS ANGELES,CA,90011,(213)35-5035,DA/AM/W/A/B/H/AI/HV/IV/PG/MM/,0470CA90011,-118.26521253132496,33.998127986676124,98.87
CALIFORNIA DETOX PROGRAMS,HOLLYHOOD CLINIC,,6411 HOLLYHOOD BOULEVARD,2ND FLOOR,,LOS ANGELES,CA,90028,(213)957-0604,DA/AM/IV/PV/MM/,2665CA90028,-118.33000531342348,34.10163128939537,97.88
CALIFORNIA DETOX PROGRAMS,",SOUTH MENLO CLINIC",,1020 HEST OLYMPIC BOULEVARD,,,LOS ANGELES,CA,90015,(213)384-9444,DA/AM/W/A/B/H/AI/HV/IV/PG/PV/MM/,0750CA90015,-118.26755070466247,34.04612001216156,93.74
CALIFORNIA DETOX PROGRAMS,SOUTHEAST CLINIC,,4920 SOUTH AVALON BOULEVARD,,,LOS ANGELES,CA,90011,(213)235-5035,DA/AM/A/B/H/AI/HV/IV/MM/,0470CA90011,-118.26521253132496,33.998127986676124,98.87
JEFF GRAND MEDICAL GROUP,OUTPT METHADONE MAINTENANCE AND DETOX,,3130 SOUTH HILL STREET,,,LOS ANGELES,CA,90007,(213)747-7267,DA/AM/W/A/B/H/AI/HV/IV/PG/PV/MM/,5485CA90007,-118.27355684308304,34.02162121386799,100.0
LOS ANGELES TREATMENT SERVICES,QUIT FOR GOOD,,11427 SOUTH AVALON BOULEVARD,,,LOS ANGELES,CA,90061,(213)757-0251,DA/AM/IV/MM/,8911CA90061,-118.26523722142026,33.93069093715311,98.87
NARCOTICS PREVENTION PROJECT,HETHADONE HAINTENANCE TREATHENT PROG,,942 SOUTH ATLANTIC BOULEVARD,,,LOS ANGELES,CA,90022,(213)263-9700,DA/AM/H/HV/IV/CI/MM/,1178CA90022,-118.15762066196535,34.01924967021644,100.0
PIZARRO TREATMENT CENTER,OUTPATIENT METHADONE MAINTENANCE,,1525 PIZARRO STREET,,,LOS ANGELES,CA,90026,(213)484-9919,DA/AM/W/A/PI/CU/IV/MM/OT/,4671CA90026,-118.26094899245581,34.06675666294377,100.0
VETERANS ADMIN MED CTR BRENTWOOD,SUBSTANCE ABUSE PROGRAM,,11301 WILSHIRE BOULEVARD,HARD 257C 691/Bll6A22,,LOS ANGELES,CA,90073,(818)788-3992,DA/DT/RR/AM/A/HV/IV/TX/CI/MM/,2494CA90073,-118.45846195691887,34.052430748721186,99.51
VETERANS AFFAIRS OUTPATIENT CLINIC,DRUG DEPENDENCE TREATMENT PROGRAM,,425 SOUTH HILL STREET,,,LOS ANGELES,CA,90013,(213)894-2896,DA/AM/A/B/H/HV/CU/IV/TX/CI/PV/MM/,5560CA90013,-118.25097228329977,34.049737805078216,100.0
HEST LOS ANGELES TREATMENT PROG RAM,METHADONE CLINIC I/MM,,2321 PONTIUS AVENUE,,,LOS ANGELES,CA,90064,(213)477-2951,DA/AM/W/A/HV/IV/PG/CI/PV/MM/OT/,1907CA90064,-118.43683065773777,34.0378168430355,100.0
LOS ANGELES HEALTH SERVICES,LYNWOOD CLINIC,,11315 SOUTH ATLANTIC AVENUE,,,LYNWOOD,CA,90262,(213)537-5883,DA/AM/W/A/B/H/AI/HV/IV/CI/PV/MM/,7968CA90262,-118.1869090433172,33.92273394107947,98.87
CONTRA COSTA COUNTY,DETENTION FACILITY,,1000 HARD STREET,MENTAL HEALTH,,MARTINEZ,CA,94553,(415)646-1640,DA/OT/W/A/B/H/AI/HV/PI/CU/IV/PG/MM/,7443CA94553,-122.13352999999996,38.01390500000008,85.0
VETERANS AFFAIRS MEDICAL CENTER,SUBSTANCE ABUSE TREATMENT PROGRAM,,150 MUIR ROAD,,,MARTINEZ,CA,94553,(415)372-2000 EXT6107,AD/RR/AM/W/A/HV/IV/EA/TX/PV/MM/,8215CA94553,-122.11529332311615,37.99524642899381,100.0
VETERANS AFFAIRS MEDICAL CENTER,DRUG AND ALCOHOL RECOVERY UNIT,,795 HILLOH ROAD,,,MENLO PARK,CA,94025,(415)493-5000 EXT2157,AD/OT/RR/AM/H/HV/CU/IV/TX/CI/MM/,8296CA94025,-122.17940009999997,37.44972640000003,85.0
STANISLAUS COUNTY SUBST ABUSE SERVICES,HEROIN TREATMENT,,800 SCENIC DRIVE SH,,,MODESTO,CA,95350,(209)525-6146,DA/AM/IV/PG/MM/,8196CA95350,-120.98380797588443,37.647222474984396,99.33
INLAND HEALTH SERVICES IIHSJ,MONTCLAIR,,4761 ARROH HIGHHAY,,,MONTCLAIR,CA,91763,(714)625-3818,DA/AM/W/A/HV/IV/PG/MM/,4520CA91763,-117.7007534995022,34.092436901160845,86.3
HESTERN PACIFIC NORHALK PROGRAM,OUTPT DETOX AND METHADONE MAINlENANCE,,119D2 ROSECRANS BOULEVARD,,,NORHALK,CA,90650,(213)929-7188,DA/AM/B/H/HV/CU/IV/PG/TX/MM/,4247CA90650,-118.06447464997906,33.902390056244286,87.11
NEST OAKLAND HEALTH CENTER,METHADONE PROGRAM,,614 14TH STREET,,,OAKLAND,CA,94612,(415)268-1600,DA/AM/IV/PV/MM/,7594CA94612,-122.27504376427969,37.8058706539711,100.0
14TH STREET CLINIC AND MEDICAL GROUP,,,1124 EAST 14TH STREET,,,OAKLAND,CA,94606,(415)533-0800,DA/AM/A/HV/IV/PG/MM/,2384CA94606,-122.24847867030479,37.79110081806589,100.0
324 NORTH LAUREL AVENUE,,,,,,ONTARIO,CA,91762,(714)986-4550,DA/AM/A/B/H/AI/IV/PG/MM/,6549CA91762,-117.66718499999996,34.06205000000005,100.0
COMMUNITY HEALTH PROJECTS/VENTURA,,,D STREET UNIT,620 SOUTH D STREET,,OXNARD,CA,93030,(805)486-4876,DA/AM/A/HV/IV/TX/PV/MM/,9899CA93030,-119.18236286827423,34.19844514711085,89.46
COMMUNITY HEALTH PROJECTS/VENTURA,,,SAVIERS ROAD UNIT,2055 SAVIERS ROAD,SUITES 10 AND 11,OXNARD,CA,93033,(805)483-2253,DA/AM/W/A/H/HV/IV/PG/CI/MM/,2493CA93033,-119.17757815035743,34.17921369979592,95.0
CORNERSTONE HEALTH SERVICES,OUTPATIENT METHADONE CLINIC,,8207 HHITTIER BOULEVARD,,,PICO RIVERA,CA,90660,(213)695-0737,DA/AM/W/B/H/AI/HV/IV/PG/MM/,5143CA90660,-118.09611098752177,34.00693900138462,94.69
BAY AREA ADDICTION RESEARCH/TRT INC,PITTSBURG CLINIC,,45 CIVIC AVENUE,ROOM 128,,PITTSBURG,CA,94565,(415)427-2285,DA/AM/A/HV/IV/PG/MM/,1125CA94565,-121.88949631663034,38.02081745008077,100.0
CALIFORNIA DETOX PROGRAMS,PITTSBURG UNIT,,45 CIVIC AVENUE,ROOM 128,,PITTSBURG,CA,94565,(415)427-2285,DA/AM/HV/CU/IV/MM/,1125CA94565,-121.88949631663034,38.02081745008077,100.0
COMMUNITY HEALTH PROJECTS/LOS ANGELES,GAREY CLINIC,,1050 NORiH GAREY AVENUE,,,POMONA,CA,91767,(714)623-6391,DA/AM/IV/MM/,2153CA91767,-117.75208256102721,34.06841900389102,91.08
COMMUNITY HEALTH PROJECTS/LOS ANGELES,POMONA UNIT,,152 HEST ARTESIA STREET,,,POMONA,CA,91768,(714)620-1959,DA/AM/IV/MM/,4362CA91768,-117.75279770500623,34.07655242554681,92.58
PROFESSIONAL TREATMEtff,REDWOOD CITY TREATMENT CLINIC,,500 ARGUELLO STREET,,,REDWOOD CITY,CA,94063,(415)363-4401,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,7789CA94063,-122.23355795360798,37.48740921145657,100.0
HESTERN PACIFIC RESEDA PROGRAM,OUTPT DETOX AtlD METHADONE MAINTENANCE,,18437 SATICOY STREET,,,RESEDA,CA,91335,(818)705-5561,DA/AM/A/W/W/Y/IV/TX/PV/MM/,2222CA91335,-118.53507502867613,34.208427464686565,100.0
BAY AREA ADDICTION RESEARCH/TRT INC,RICHMOND OUTPT METHADONE MAINTENANCE,,2910 CUTTING BOULEVARD,,,RICHMOND,CA,94804,(415)232-0874,DA/AM/W/A/B/HV/PI/CU/IV/PG/EA/TX/CI/PV/MM/,9651CA94804,-122.3411420277977,37.92513247948375,100.0
CALIFORNIA DETOX PROGRAMS,RICHMOND UNIT,,2910 CUTTING BOULEVARD,,,RICHMOND,CA,94804,(415)232-0875,DA/AM/W/A/HV/PI/CU/IV/PG/CI/MM/,9651CA94804,-122.3411420277977,37.92513247948375,100.0
DRUG ABUSE CONTROL SERVICES,HESTERN RIVERSIDE METHADONE PROGRAM,,3929 ORANGE STREET,,,RIVERSIDE,CA,92502,(714)787-6479,DA/AM/W/B/H/HV/PG/TX/CI/PV/MM/,5559CA92502,-117.37421151721183,33.98010356533321,99.51
INLAND HEALTH SERVICES IIHSJ,,,1021 HEST LA CADENA DRIVE,,,RIVERSIDE,CA,92501,(714)784-8010,DA/AM/IV/MM/,0672CA92501,-117.35046088331309,34.00418817881411,93.22
BI VALLEY MEDICAL CLINIC INC,,,2100 CAPITOL AVENUE,,,SACRAMENTO,CA,95816,(916)442-4985,DA/AM/A/HV/IV/PG/CI/MM/,5852CA95816,-121.47984724560746,38.57271760635669,100.0
CALIFORNIA HEALTH ASSOCIATES,MEDETRAC,,622-7 EAST ALISAL STREET,,,SALINAS,CA,93905,(408)424-6655,DA/AM/IV/MM/,9535CA93905,-121.63493198418756,36.67288901129407,99.71
COMMUNITY HUMAN SERVICES PROJECT,SALINAS VALLEY DRUG ABUSE SERVICES,,1101 F NORTH MAIN STREET,,,SALINAS,CA,93906,(408)424-4828,DA/AM/H/IV/PG/MM/,4308CA93906,-121.65248100722788,36.69581900662549,98.71
INLAND HEALTH SERVICES IIHSJ,METHADONE MAINTENANCE,,1236 NORTH HATERMAN AVENUE,,,SAN BERNARDINO,CA,92404,(714)381-1408,DA/AM/IV/MM/,9779CA92404,-117.27881750896526,34.12210299825393,94.75
SAN DIEGO HEALTH ALLIANCE,HEST OFFICE,,3293 GREYLING DRIVE,,,SAN DIEGO,CA,92123,(619)495-8800,DA/AM/IV/PV/MM/,6510CA92123,-117.13916963764427,32.80253373682614,100.0
SAN DIEGO TREATMENT SERVICES,C STREET CLINIC,,1130 DELEVAN DRIVE,,,SAN DIEGO,CA,92102,(619)233-7686,DA/AM/IV/PG/CI/MM/,7402CA92102,-117.11905591987042,32.717540693803436,100.0
SAN DIEGO TREATMENT SERVICES,C STREET CLINIC VERUS BRANCH,,2232 VERUS STREET,SUITE A,,SAN DIEGO,CA,92154,(619)423-9060,DA/AM/IV/PG/MM/,3356CA92154,-117.08737928284677,32.59423589920362,100.0
BAY AREA ADDICTION RESEARCH/TRT INC,EMBARCADERO CLINIC,,75 TOHNSEND STREET,,,SAN FRANCISCO,CA,94107,(415)543-2656,DA/AM/A/HV/CU/IV/MM/,3207CA94107,-122.38997172675558,37.78101659276569,97.34
BAY AREA ADDICTION RESEARCH/TRT INC,GEARY STREET CLINIC,,1040 GEARY STREET,,,SAN FRANCISCO,CA,94109,(415)928-7800,DA/AM/W/A/HV/IV/PG/MM/,8727CA94109,-122.42053776160841,37.785825500165075,100.0
BAYVIEH HUNTERS POINT,METHADONE PROGRAM,,1625 CARROLL STREET,,,SAN FRANCISCO,CA,94124,(415)822-8200,DA/AM/A/B/H/AI/CU/IV/PV/MM/,3857CA94124,-122.39364129927502,37.7250379115541,98.04
CALIFORNIA DETOX PROGRAMS,,,GEARY STREET UNIT,1040 GEARY STREET,,SAN FRANCISCO,CA,94109,(415)928-7800,DA/AM/IV/MM/,3089CA94109,-122.41805887439251,37.78611569819733,95.88
CALIFORNIA DETOX PROGRAMS,TOHNSEND UNIT,,75 TOWNSEND STREET,,,SAN FRANCISCO,CA,94107,(415)543-2656,DA/AM/IV/MM/,1085CA94107,-122.38997172675558,37.78101659276569,100.0
FORT HELP,METHADONE PROGRAM,,495 3RD STREET,,,SAN FRANCISCO,CA,94107,(415)864-4804,DA/AM/IV/PV/MM/,0869CA94107,-122.39599320217778,37.78145756469181,100.0
SAN FRANCISCO GENERAL HOSPITAL ISFGHI,SUBSTANCE ABUSE SERVICES,,1001 POTRERO AVENUE,BUILDING 90 HARD 92-93,,SAN FRANCISCO,CA,94110,(415)821-8616,DA/AM/A/H/HV/CU/IV/TX/CI/PV/MM/,9344CA94110,-122.40659220256195,37.75606672640709,100.0
VETERANS AFFAIRS MEDICAL CENTER,SUBSlANCE ABUSE PROGRAM,,4150 CLEMENT STREET 1116El,,,SAN FRANCISCO,CA,94121,(415)750-2050,AD/OT/RR/AM/A/HV/CU/IV/TX/CI/PV/MM/OT/,0082CA94121,-122.50482224044615,37.781110009076684,98.57
HESTSIDE COMMUNITY MENTAL HEALTH CTR,HESTSIDE METHADONE TREATMENT PROGRAM,,1301 PIERCE STREET,,,SAN FRANCISCO,CA,94115,(415)563-8200,DA/AM/W/B/H/HV/IV/MM/,6625CA94115,-122.43591696137376,37.78236448661534,100.0
SANTA CLARA COUNTY DRUG ABUSE SERVICES,MOORPARK METHADONE CLINIC,,2220 MOORPARK AVENUE,BUILDING H-11,,SAN JOSE,CA,95128,(408)299-6304,DA/AM/IV/TX/PV/MM/,9160CA95128,-121.93233781790384,37.316054190782154,100.0
SANTA CLARA COUNTY METHADONE TRT PROO,HILLVIEH CLINIC,,1675 BURDETTE DRIVE,SIJ1TE A,,SAN JOSE,CA,95121,(408)274-7520,DA/AM/IV/TX/MM/,2689CA95121,-121.82491196906777,37.320511421734274,100.0
HUMANISTIC ALTERNATIVES TO ADDICTION,RESEARCH AND TREATMENT INC I HAART l,,15400 fOOTHILL BOULEVARD,,,SAN LEANDRO,CA,94578,(415)357-4202,DA/AM/IV/TX/MM/,7426CA94578,-122.11927581677168,37.70706360587265,100.0
SAN DIEGO HEALTH ALLIANCE,NORTH OFFICE,,1560 CAPALINA STREET,SUITE A,,SAN MARCOS,CA,92069,(619)744-2104,DA/AM/A/HV/IV/PG/MM/,4532CA92069,-117.19464098904032,33.150886009983246,98.04
