Name1,Address1,City,State,ZIP_Code,Geocoded_Address,Longitude,Latitude,Match Score
INGLEWOOD MENTAL HEALTH SERVICE DRUG ABUSE TREATMENT PROGRAM,4450 WEST CENTURY BOULEVARD,INGLEWOOD,CA,90304,"4450 WEST CENTURY BOULEVARD, INGLEWOOD, CA 90304, US",-118.35408,33.94541252,100
WESTERN PACIFIC FULLERTON MED CLINIC OUTPT METHADONE MAINTENANCE AND DETOX,218 EAST COMMONWEALTH AVENUE,FULLERTON,CA,92632,"218 EAST COMMONWEALTH AVENUE, FULLERTON, CA 92632, US",-117.921154,33.87035254,98.78
CALIFORNIA DETOX PROGRAMS INC SOUTHEAST METHADONE CLINIC,4920 SOUTH AVALON BOULEVARD,LOS ANGELES,CA,90011,"4920 SOUTH AVALON BOULEVARD, LOS ANGELES, CA 90011, US",-118.2652125,33.99815799,98.87
BAADT SOUTHEAST METHADONE CLINIC,4920 SOUTH AVALON BOULEVARD,LOS ANGELES,CA,90011,"4920 SOUTH AVALON BOULEVARD, LOS ANGELES, CA 90011, US",-118.2652125,33.99815799,98.87
BAADT HOLLYWOOD CLINIC,8512 WEST WHITWORTH AVENUE,LOS ANGELES,CA,90035,"8512 WEST WHITWORTH AVENUE, LOS ANGELES, CA 90035, US",-118.3767046,34.05710038,96.93
CALIFORNIA DETOXIFICATION PROGRAM INC WEST HOLLYWOOD CLINIC,8512 WEST WHITWORTH AVENUE,LOS ANGELES,CA,90035,"8512 WEST WHITWORTH AVENUE, LOS ANGELES, CA 90035, US",-118.3767046,34.05710038,96.93
CENTURY INSTITUTE OF LIVING METHADONE MAINTENANCE AND DETOX,2080 CENTURY PARK EAST SUITE 504,LOS ANGELES,CA,90067,"2080 CENTURY PARK EAST SUITE 504, LOS ANGELES, CA 90067, US",-118.4122768,34.05885483,100
NARCONON,1258 NORTH HIGHLAND AVENUE,LOS ANGELES,CA,90038,"1258 NORTH HIGHLAND AVENUE, LOS ANGELES, CA 90038, US",-118.3386076,34.09416821,100
WEST LOS ANGELES I TREATMENT PROGRAM METHADONE CLINIC,2321 PONTIUS AVENUE,LOS ANGELES,CA,90064,"2321 PONTIUS AVENUE, LOS ANGELES, CA 90064, US",-118.4368374,34.03782464,100
WEST LOS ANGELES TREATMENT PROGRAM METHADONE MAINTENANCE CLINIC,2321 PONTIUS AVENUE,LOS ANGELES,CA,90064,"2321 PONTIUS AVENUE, LOS ANGELES, CA 90064, US",-118.4368374,34.03782464,100
STANISLAUS COUNTY SUBSTANCE ABUSE SERVICES,1501 F STREET,ODESTO,CA,95354,"1501 F STREET, ODESTO, CA 95354, US",-120.9907896,37.64037094,98.14
CONTRA COSTA COUNTY DETENTION FACILITY,1000 WARD STREET MENTAL HEALTH/ATTN DR KINCAID,MADTINEZ,CA,94553,"1000 WARD STREET MENTAL HEALTH/ATTN DR KINCAID, MADTINEZ, CA 94553, US",-122.1330625,38.01828878,93.6
COMMUNITY HEALTH PROJECT ONTADIO UNIT,324 NORTH LAUREL AVENUE,ONTADIO,CA,91762,"324 NORTH LAUREL AVENUE, ONTADIO, CA 91762, US",-117.6522427,34.06654188,98.16
WESTERN PACIFIC VALLEY MEDICAL CLINIC OUTPT METHADONE MAINTENANCE AND DETOX,18437 SATICOY STREET,RESEOA,CA,91204,"18437 SATICOY STREET, RESEOA, CA 91204, US",-118.5349998,34.20842612,94.53
CALIFORNIA HEALTH ASSOCIATES RICHMOND CLINIC,2910 CUTTING BOULEVADD,RICHMOND,CA,94804,"2910 CUTTING BOULEVADD, RICHMOND, CA 94804, US",-122.341157,37.92513248,88.66
WESTERN RIVERSIDE NETHADONE PROGRAM,3929 ORANGE STREET,RIVERSIDE,CA,92502,"3929 ORANGE STREET, RIVERSIDE, CA 92502, US",-117.374222,33.980098,99.51
BI VALLEY MEDICAL CLINIC INC OPIATE DETOXIFICATION,2100 CADITOL AVENUE,SACRAMENTO,CA,95816,"2100 CADITOL AVENUE, SACRAMENTO, CA 95816, US",-121.4798472,38.57271761,96.97
SALINAS VALLEY CLINIC AND COUNSELING CENTER,1101 F NORTH MAIN STREET,SALINASI,CA,93906,"1101 F NORTH MAIN STREET, SALINASI, CA 93906, US",-121.652063,36.69571339,96.62
NARCOTICS PREVENTION PROJECT ETHADONE TREATMENT PROGRAM,5442 EAST POMONA BOULEVADD,LOS ANGELES,CA,90022,"5442 EAST POMONA BOULEVADD, LOS ANGELES, CA 90022, US",-118.148086,34.03333257,88.91
THE PHOENIX LOS ANGELES CLINIC,11427 SOUTH AVALON BOULEVADD,LOS ANGELES,CA,90061,"11427 SOUTH AVALON BOULEVADD, LOS ANGELES, CA 90061, US",-118.2652148,33.93024639,89.33
BAAQT EMBADCADERO CLINIC,75 TOWNSEND STREET,SAN FRANCISCO,CA,94103,"75 TOWNSEND STREET, SAN FRANCISCO, CA 94103, US",-122.390229,37.780814,99.51
SAN BERNADDINO COUNTY METHADONE MAINTENANCE TREATMENT PROG,1236 NORTH WATERMAN AVENUE,SAN BERNADDINO,CA,92404,"1236 NORTH WATERMAN AVENUE, SAN BERNADDINO, CA 92404, US",-117.2788175,34.12208502,98.84
CALIFORNIA DETOX PROGRAM TOWNSEND UIT,75 TOWNSEND STREET,SAN FRANCISCO,CA,94107,"75 TOWNSEND STREET, SAN FRANCISCO, CA 94107, US",-122.390229,37.780814,100
SAN BERNADDINO COUNTY OUTPATIENT DETOXIFICATION,1236 NORTH WATERMAN AVENUE,SAN BERNADDINO,CA,92404,"1236 NORTH WATERMAN AVENUE, SAN BERNADDINO, CA 92404, US",-117.2788175,34.12208502,98.84
SAN FRANCISCO GENERAL HOSPITAL SFSH ISSION METHAQC?IE TREAT1ENT PROGRAM,1001 POTRERO AVENUE BUILDING 90 WARD 93,SAN FRANCISCO,CA,94110,"1001 POTRERO AVENUE BUILDING 90 WARD 93, SAN FRANCISCO, CA 94110, US",-122.4065326,37.75546218,100
WE STS ID E CMiHC METHADOlE TREATMENT PROGRAM,1301 PIERCE STREET,SAN FRANCISCO,CA,94115,"1301 PIERCE STREET, SAN FRANCISCO, CA 94115, US",-122.4359246,37.78239894,100
CALIFORNIA DETOX PROGRAM,GEADY STREET UNIT 1040 GEADY STREET,SAN FRANCISCO,CA,94109,"GEADY STREET UNIT 1040 GEADY STREET, SAN FRANCISCO, CA 94109, US",-122.4206772,37.78580773,92.82
SAN FRANCISCO GElERAL HOSPITAL SFGH OUTPATIENT DETOX CLINIC,1001 POTRERO AVENUE BUILDING 90 WARD 92,SAN FRANCISCO,CA,94110,"1001 POTRERO AVENUE BUILDING 90 WARD 92, SAN FRANCISCO, CA 94110, US",-122.4065326,37.75546218,98.85
SANTA CLADA COUNTY DRUG ABUSE SERVICES MOORPADK METHADONE CLINIC,2220 MOORPADK AVENUE BUILDING H-11,SAN JOSE,CA,95128,"2220 MOORPADK AVENUE BUILDING H-11, SAN JOSE, CA 95128, US",-121.9323369,37.31606886,97.34
HUMANISTIC ALTERNATIVES TO ADDICTION RESEADCH AND TREATIENT INC HAADT,15400 FOOTHILL BOULEVADD,SAN LEANDRO,CA,94578,"15400 FOOTHILL BOULEVADD, SAN LEANDRO, CA 94578, US",-122.1188913,37.70685653,89.7
SANTA CLADA COUNTY DRUG ABUSE SERVICES HILLVIEW CLINIC,1675 BURDETTE ROAD SUITE A,SAN JOSE,CA,95121,"1675 BURDETTE ROAD SUITE A, SAN JOSE, CA 95121, US",-121.8247894,37.32054949,98.04
SANTA CLADA COUNTY DRUG ABUSE SERVICE SOUTH COUNTY METHADONE CLINIC,80 WEST HIGHLAND AVENUE,SAN HADTIN,CA,95046,"80 WEST HIGHLAND AVENUE, SAN HADTIN, CA 95046, US",-121.6056605,37.07391924,96.1
MADIN TREATMENT CENTER OUTPATIENT SERVICES,1466 LINCOLN AVENUE,SAN RAFAEL,CA,94901,"1466 LINCOLN AVENUE, SAN RAFAEL, CA 94901, US",-122.522092,37.98000059,100
COMMUNITY HEALTH PROJECT/SANTA BARBARA SANTA BARBARA UNIT,217 CAMINO DEL REMEDIO STREET,SANTA BADBADA,CA,93110,"217 CAMINO DEL REMEDIO STREET, SANTA BADBADA, CA 93110, US",-119.7796053,34.44267691,94.85
CALIFORNIA HEALTH ASSOCIATES SANTA CRUZ CLINIC/OUTPATIENT DETOX,1000 EELINE AVENUE,SANTA CRUZ,CA,95060,"1000 EELINE AVENUE, SANTA CRUZ, CA 95060, US",-122.0176527,36.99178296,96.97
TARZANA PSYCHIATRIC HOSPITAL RESIDENTIAL/DETOX TREATMENT PROGRAMS,18646 OXNARD STREET,TARZANA,CA,91356,"18646 OXNARD STREET, TARZANA, CA 91356, US",-118.5397309,34.17993344,100
CALIFORNIA HEALTH ASSOCIATES SANTA CRUZ CLINIC/OUTPATIENT MM,1000 EMELINE STREET,SANTA CRUZ,CA,95060,"1000 EMELINE STREET, SANTA CRUZ, CA 95060, US",-122.0176527,36.99178296,98.04
COMMUNITY HEALTH PROJECT/SANTA BADBADA SANTA MADIA UNIT,500 WEST FOSTER ROAD,SANTA MADIA,CA,93455,"500 WEST FOSTER ROAD, SANTA MADIA, CA 93455, US",-120.4428986,34.88351558,98.38
TRANSCULTUPAL HEALTH DEVELOPMENT WILMINGTON DETOXIFICATION PROGRAM,117 EAST B STREET,WILMINGTON,CA,90744,"117 EAST B STREET, WILMINGTON, CA 90744, US",-118.2609543,33.77137985,100
KINGS VIEW SUBSTANCE ABU5E PROGRAM TULADE COUNTY,559 EAST BARDSLEY ROAD,TULARE,CA,93275,"559 EAST BARDSLEY ROAD, TULARE, CA 93275, US",-119.3415813,36.19655798,91.74
SUBSTANCE TREATMENT SERVICES STS WEST,645 BANNOCK STREET,DENVER,CO,80204,"645 BANNOCK STREET, DENVER, CO 80204, US",-104.9902854,39.72658624,100
COMMUNITY HEALTH PROJECTS/LOS ANGELES GLENDORA UNIT,336 1/2 SOUTH GLENDORA AVENUE,WEST COVINA,CA,91790,"336 1/2 SOUTH GLENDORA AVENUE, WEST COVINA, CA 91790, US",-117.9238223,34.06863376,100
UCHSC ADDICTION RESEADCH TRT SERVICES ADTS OUTPATIENT CLINIC,1827 GAYLORD STREET,DENVER,CO,80206,"1827 GAYLORD STREET, DENVER, CO 80206, US",-104.9610301,39.74537168,100
PUEBLO TREATMENT SERVICES INC DRUG CLINIC,1711 EAST EVANS AVENUE,PUEBLO,CO,81004,"1711 EAST EVANS AVENUE, PUEBLO, CO 81004, US",-104.6149494,38.23651302,100
REGIONAL NETWORK OF PROGRAMS INC CENTER FOR HU!AN SERVICES,835 WASHINGTON AVENUE,BRIDGEPORT,CT,6604,"835 WASHINGTON AVENUE, BRIDGEPORT, CT 06604, US",-73.1935058,41.18573303,100
REGIONAL NETWOPK OF PROGRAMS INC GOLDEN HILL TREATMENT CENTER,171 GOLDEN HILL STREET,BRIDGEPORT,CT,6604,"171 GOLDEN HILL STREET, BRIDGEPORT, CT 06604, US",-73.19062556,41.18023029,100
HADTFORD DISPENSADY NORWICH SATELLITE UNIT NORWICH HOSPITAL,LIPPETT BUILDING,NORWICH,CT,6360,"LIPPETT BUILDING, NORWICH, CT 06360, US",-72.07566,41.528394,84
REGIONAL NETWORK OF PROGRAMS INC DETOXIFICATION UNIT,171 GOLDEN HILL STREET,BRIDGEPORT,CT,6604,"171 GOLDEN HILL STREET, BRIDGEPORT, CT 06604, US",-73.19062556,41.18023029,100
NATHAN POLLACK MD,3535 CHERRY CREEK DRIVE NORTH,DENVER,CO,80209,"3535 CHERRY CREEK DRIVE NORTH, DENVER, CO 80209, US",-104.9481247,39.7111884,95.67
MAIN STREET CLINIC TREATMENT PROGRAM,115 MAIN STREET,STAMFORD,CT,6901,"115 MAIN STREET, STAMFORD, CT 06901, US",-73.54344015,41.05267218,100
BLUE HILLS HOSPITAL VOLUNTADY INPATIENT,51 COVENTRY STREET,HADTFORD,CT,6112,"51 COVENTRY STREET, HADTFORD, CT 06112, US",-72.6901049,41.797737,98.14
BRANDYWINE COUNSELING AND DIAGNOSTIC CENTER INC,305 WEST 12TH STREET,WILMINGTON,DE,19801,"305 WEST 12TH STREET, WILMINGTON, DE 19801, US",-75.54986015,39.74868718,100
HALL BROOKE HOSPITAL SUBSTANCE ABUSE UNIT,47 LONG LOTS ROAD,WESTPORT,CT,6880,"47 LONG LOTS ROAD, WESTPORT, CT 06880, US",-73.33220998,41.14435201,100
CADITAL E ADDICTION SERVICES ENCOURAGEMENT OF DEVELOPiENT,433 9TH STREET NE,WASHINGTON,DC,20002,"433 9TH STREET NE, WASHINGTON, DC 20002, US",-76.99367982,38.89515905,100
SERVICE HELPING ADDICTS COME KLEAN SHACK,123 K STREET SE,WASHINGTON,DC,20003,"123 K STREET SE, WASHINGTON, DC 20003, US",-77.00463817,38.87833565,100
PSYCHIATRIC INSTITUTE METHADOE TREATMENT UNIT,2101 K STREET NM,WASHINGTON,DC,20037,"2101 K STREET NM, WASHINGTON, DC 20037, US",-77.04686185,38.90282788,98.87
WASHINGTON HOSPITAL CENTER UNIT 2K A B,100 IRVING STREET NM,WASHINGTON,DC,20010,"100 IRVING STREET NM, WASHINGTON, DC 20010, US",-77.01359961,38.92864574,98.95
THE SUBSTANCE ABUSE MULTI PURPOSE TREATMEHT AND TRAINING CENTER,1300 FIRST STREET NW,WASHINGTON,DC,20002,"1300 FIRST STREET NW, WASHINGTON, DC 20002, US",-77.01224362,38.90729729,99.52
CORAL PIDGE PSYCHIATRIC HOSPITAL ALCOHOLISM TREATIENT AND REHAB PROGRAM,4545 NORTH FEDERAL HIGHWAY,FORT LAUDERDALE,FL,33308,"4545 NORTH FEDERAL HIGHWAY, FORT LAUDERDALE, FL 33308, US",-80.1183236,26.18443415,100
DC GENERAL HOSPITAL TRT AND REHAB FOR ADDICTS IN NEED 2 05 S~REE,PCRC BUILDING 25,WASHINGTON,DC,20003,"PCRC BUILDING 25, WASHINGTON, DC 20003, US",-76.996755,38.882715,84
BROWADD METHADONE MAINTENANCE REHAB AND RESEADCH FACILITY,1101 SOUTH 21ST AVENUE,HOLLYWOOD,FL,33020,"1101 SOUTH 21ST AVENUE, HOLLYWOOD, FL 33020, US",-80.14853248,26.00190141,100
RIVER REGION HUMAN SERVICES INC FOCUS OUTPATIENT TREATMENT CENTER,577 COLLEGE STREET,JACKSONVILLE,FL,32204,"577 COLLEGE STREET, JACKSONVILLE, FL 32204, US",-81.6802574,30.32069122,100
RIVER REGION HUMAN SERVICES INC ADMINISTRATIVE UNIT,1045 RIVERSIDE AVENUE SUITE 300,JACKSONVILLE,FL,32204,"1045 RIVERSIDE AVENUE SUITE 300, JACKSONVILLE, FL 32204, US",-81.67802186,30.31339268,100
LAKEVIEW CENTER INC DRUG ABUSE PROGRAM,1204 WEST HERNANDEZ STREET,PENSACOLA,FL,32501,"1204 WEST HERNANDEZ STREET, PENSACOLA, FL 32501, US",-87.23279293,30.43279286,100
PALN BEACH TREATMENT CENTER,2501 BRISTOL DRIVE ROOM 10B,WEST PALM BEACH,FL,33409,"2501 BRISTOL DRIVE ROOM 10B, WEST PALM BEACH, FL 33409, US",-80.07676831,26.69239714,100
OPERATION PAD INC CHEMOTHERADY CLINIC,1900 9TH STREET SOUTH,SAINT PETERSBURG,FL,33705,"1900 9TH STREET SOUTH, SAINT PETERSBURG, FL 33705, US",-82.64654529,27.7511227,100
MIDTOWN INTAKE AND TREATMENT CENTER,575 14TH STREET NW,ATLANTA,GA,30318,"575 14TH STREET NW, ATLANTA, GA 30318, US",-84.40618097,33.7862375,100
AUGUSTA ADEA MENTAL HEALTH ALCO!OL AND DRUG PROGRAM,1253 GREENE STREET,AUGUSTA,GA,30901,"1253 GREENE STREET, AUGUSTA, GA 30901, US",-81.97549074,33.47658309,100
SYNTHESIS WEST TREATMENT CENTER,674 ASHBY STREET SW,ATLANTA,GA,30310,"674 ASHBY STREET SW, ATLANTA, GA 30310, US",-84.41765892,33.73673457,100
DRUG INCLINATION GROUP DIG,1334 2ND AVENUE,COLUMBUS,GA,31901,"1334 2ND AVENUE, COLUMBUS, GA 31901, US",-84.9903039,32.47186577,100
BRAWNER PSYCHIATRIC INSTITUTE RECOVERY CENTER,3180 ATLANTA STREET SE,SMYRNA,GA,30080,"3180 ATLANTA STREET SE, SMYRNA, GA 30080, US",-84.50726726,33.87680179,98.06
DRUG ADDICTION SERVICES OF HAWA DASH,640 KAKOI STREET,HOOLULU,HI,96819,"640 KAKOI STREET, HOOLULU, HI 96819, US",-157.8965132,21.33602438,98.14
CORRECTIONAL DETENTION FACILITY HEALTH SERVICES,1901 STREET SE D,WASHINGTON,OC,20003,"1901 STREET SE D, WASHINGTON, OC 20003, US",-76.97638119,38.88343836,80.87
BILLIE HOLIDAY CENTER DRUG ABUSE OUTPATIENT PROGRAM,131 EAST 111TH STREET,CHICAGO,IL,60628,"131 EAST 111TH STREET, CHICAGO, IL 60628, US",-87.61981204,41.69260249,100
BROTHERHOOD AGAINST SLAVERY TO ADDICTN BASTA DRUG ABUSE PROGRAM,3054-56 WEST CERMAK ROAD,CHICAGO,IL,60623,"3054-56 WEST CERMAK ROAD, CHICAGO, IL 60623, US",-87.70245542,41.85182999,99.41
I BRASS,558 EAST 47TH STREET,CHICAGO,IL,60653,"558 EAST 47TH STREET, CHICAGO, IL 60653, US",-87.61173423,41.80947954,100
EL RINCON COMUNITY CLINIC SUPPORTIVE SERVICE ORGANIZATION,1874 NORTH MILWAUKEE AVENUE,CHICAGO,IL,60647,"1874 NORTH MILWAUKEE AVENUE, CHICAGO, IL 60647, US",-87.68561417,41.9156267,100
CHADLES H HENDRY MD,3715 NORTHSIDE PADKWAY SUITE 100-102,ATLANTA,GA,30327,"3715 NORTHSIDE PADKWAY SUITE 100-102, ATLANTA, GA 30327, US",-84.43170546,33.85633238,92.26
GADFIELD COUNSELING CENTER,4010 WEST MADISON STREET,CHICAGO,IL,60624,"4010 WEST MADISON STREET, CHICAGO, IL 60624, US",-87.72624417,41.88077731,100
HUMAN SERVICE CENTER STONEHEDGE OUTPATIENT UNIT,1015 WEST MCBEAN STREET,PEORIA,IL,61605,"1015 WEST MCBEAN STREET, PEORIA, IL 61605, US",-89.61032704,40.68556753,100
STONEHEDGE FOUNDATION HEROIN RESIDENTIAL,1015 WEST MCBEAN STREET,PEORIA,IL,61605,"1015 WEST MCBEAN STREET, PEORIA, IL 61605, US",-89.61032704,40.68556753,100
SUBSTANCE ABUSE SERVICES INC OUTPATIENT UNIT,2126 SOUTH PRAIRIE AVENUE,CHICAGO,IL,60616,"2126 SOUTH PRAIRIE AVENUE, CHICAGO, IL 60616, US",-87.62069582,41.85354044,100
SANGAMON/MENADD ALC AND DRUG COUNCIL ALCOHOLISM AND DRUG COUNCIL,723 SOUTH 5TH STREET,SPRINGFIELD,IL,62703,"723 SOUTH 5TH STREET, SPRINGFIELD, IL 62703, US",-89.64952987,39.79423419,100
FAMILY GUIDANCE CENTER INC ADMINISTRATIVE UNIT,810 NORTH CLADK STREET,CHICAGO,IL,60610,"810 NORTH CLADK STREET, CHICAGO, IL 60610, US",-87.63126633,41.89709025,95.8
HOLLIDAY HEALTH CADE PROFESSIONAL CORPORATION,8410 MAPLE AVENUE,GARY,IN,46403,"8410 MAPLE AVENUE, GARY, IN 46403, US",-87.23685351,41.61910729,100
PANCNER PSYCHIATRIC SERVICES THE ALTERNATIVES,2805 FAIRFIELD AVENUE,FORT WAYN,IN,46807,"2805 FAIRFIELD AVENUE, FORT WAYN, IN 46807, US",-85.14498631,41.0596846,98.14
MIDTOWN METHADONE CLINIC,2849 MERCHANTS DRIVE,INDIANAPOLIS,IN,46222,"2849 MERCHANTS DRIVE, INDIANAPOLIS, IN 46222, US",-86.22167653,39.80716929,100
MADISON CENTER SUBSTANCE ABUSE PROGRAMS,403 EAST MADISON STREET,SOUTH BEND,IN,46617,"403 EAST MADISON STREET, SOUTH BEND, IN 46617, US",-86.24602305,41.68051864,100
CHEROKEE MENTAL HEALTH INSTITUTE ADMINISTRATIVE UNIT,1200 WEST CEDAR STREET,CHEROKEE,IA,51012,"1200 WEST CEDAR STREET, CHEROKEE, IA 51012, US",-95.56682036,42.75197784,98.06
SEDGWICK COUNTY COMPREHENSIVE DRUG TREATMENT PROG,635 NORTH MAIN STREET,WICHITA,KS,67203,"635 NORTH MAIN STREET, WICHITA, KS 67203, US",-97.33821747,37.69591098,100
PHOENIX 7 DRUG ABUSE CLINIC,1201 SOUTH 2ND STREET,SPRINGFIELD,IL,62703,"1201 SOUTH 2ND STREET, SPRINGFIELD, IL 62703, US",-89.65367791,39.78775096,99.52
BLUEGRASS EAST COMPREHENSIVE CADE CENTER,201 MECHANIC STREET,LEXINGTON,KY,40507,"201 MECHANIC STREET, LEXINGTON, KY 40507, US",-84.49448155,38.04976044,100
NORSMORTHY MEDICAL ASSOCIATES PSC,112 MCMURTRY AVENUE,HADTFORD,KY,42347,"112 MCMURTRY AVENUE, HADTFORD, KY 42347, US",-86.89528762,37.44849903,97.7
SEVEN COUNTIES SERVICES JEFFERSON ALC AND DRUG ABUSE CTR INPT 8 OUTPT SERVS,600 SOUTH PRESTON STREET,LOUISVILLE,KY,40202,"600 SOUTH PRESTON STREET, LOUISVILLE, KY 40202, US",-85.74731565,38.24742261,100
CUMBERLAND RIVER COMPREHENSIVE CADE CENTER,207 CHESTER AVENUE,MIDDLESBORO,KY,40965,"207 CHESTER AVENUE, MIDDLESBORO, KY 40965, US",-83.71241092,36.6061119,99.55
INTERSECTIONAL UNITED ADVANCED PLANNING,2323 FOREST AVENUE,DES MOINES,IA,50314,"2323 FOREST AVENUE, DES MOINES, IA 50314, US",-93.64899797,41.60408746,99.51
BALTIMORE CITY HEALTH DEPADTMENT CHERRY HILL DRUG ABUSE REHABILITATION,2490 GILES ROAD,BALTIMORE,MD,21225,"2490 GILES ROAD, BALTIMORE, MD 21225, US",-76.63075836,39.25210501,100
FRANCIS SCOTT KEY lEDICAL CENTER BEHAVIORAL PHADM RESEADCH UNIT BPR,4940 EASTERN AVENUE BUILDING D5W,BALTIMORE,MD,21224,"4940 EASTERN AVENUE BUILDING D5W, BALTIMORE, MD 21224, US",-76.54964849,39.28743916,100
UNIV OF MD DRUG TREATHEM CENTER ALCOHOL AND DRUG PROGRAM,536 WEST PRATT STREET,BALTIMORE,MD,21201,"536 WEST PRATT STREET, BALTIMORE, MD 21201, US",-76.62258547,39.28628813,100
WEST ENO DRUG ABUSE PROGRAM,2401 WEST BALTIMORE STREET,BALTIMORE,MD,21223,"2401 WEST BALTIMORE STREET, BALTIMORE, MD 21223, US",-76.65429533,39.28781033,100
FREDERICK METHADONE PROGRAM,801 TOLLHOUSE AVENUE,FREDERICK,MD,21701,"801 TOLLHOUSE AVENUE, FREDERICK, MD 21701, US",-77.41418644,39.42600692,100
HADFORD COUNTY DRUG ABUSE PROGRAM DRUG ABUSE CLINIC,119 SOUTH HAYS STREET,BEL AIR,MD,21014,"119 SOUTH HAYS STREET, BEL AIR, MD 21014, US",-76.34952615,39.53287995,98.9
MAN ALIVE,2100 NORTH CHADLES STREET,BALTIMORE,MD,21218,"2100 NORTH CHADLES STREET, BALTIMORE, MD 21218, US",-76.61676745,39.31328455,97
DEPT OF CORRECTION AND REHABILITATION METHADONE DETOXIFICATION PROGRAM,1307 SEVEN LOCKS ROAD,ROCKVILLE,MD,20854,"1307 SEVEN LOCKS ROAD, ROCKVILLE, MD 20854, US",-77.16277385,39.06870847,100
BR00KLXNE BOURNEWOOD HOSPITAL SUBSTANCE ABUSE PROGRAM,300 SOUTH STREET,BROOKLINE,MA,2167,"300 SOUTH STREET, BROOKLINE, MA 02167, US",-71.14928898,42.29859322,98.33
MACOHB COUNTY DRUG ABUSE TREATENT CLINIC,26328 VAN DYKE STREET,CENTER LINE,MI,48015,"26328 VAN DYKE STREET, CENTER LINE, MI 48015, US",-83.02755772,42.48712452,98.04
HUTZEL HOSP PROG FOR SUBSTANCE ABUSE PREGNANT WOMEN,4827 BRUSH STREET,DETROIT,MI,48201,"4827 BRUSH STREET, DETROIT, MI 48201, US",-83.05934748,42.35783107,100
HIGHLAND PADK SUBSTANCE ABUSE CLINIC,13700 AVENUE WQODWADD 801 MEDICAL ADTS BUILDING,"DETROIT,",MI,48203,"13700 AVENUE WQODWADD 801 MEDICAL ADTS BUILDING, DETROIT,, MI 48203, US",-83.09497362,42.43022302,84
