Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,loc_ID,Longitude,Latitude,Match Score
ALR Sober Life,,,1520 2nd Avenue North,,,Bessemer,AL,35020,(205)253-8871,,HH/,0871AL35020,-86.95561217468033,33.39819485945547,100.0
Jefferson Cnty Committee for Econ Opp,Community Substance Abuse Program,,1324 4th Avenue North,,,Bessemer,AL,35020,(205)428-7362 Intake: (205)787-3040,,SAF/SA/OP/OIT/SF/MD/YAD/ADLT/FEM/MALE/,0558AL35020,-86.95937422428257,33.397279848995325,100.0
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/ORT/CT/SF/MD/SS/CO/GL/VET/ADM/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,8772AL35022,-86.93995821612879,33.368655188646365,100.0
Alcohol and Drug Abuse,Treatment Centers Inc/Pearson Hall,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552x12 Intakes: (205)923-6552x10 (205)923- 6552x13,,SAF/SA/RES/RS/SF/SI/SS/PA/AH/SP/CO/WN/MN/YAD/ADLT/FEM/MALE/,5319AL35211,-86.8776602236915,33.47431863354241,100.0
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,SAF/SA/OP/ODT/OIT/ORT/SF/MD/MC/PA/AH/MN/TRMA/YAD/ADLT/FEM/MALE/,0542AL35204,-86.83880519462637,33.5364827663802,100.0
Aletheia House,Women Only,,3512 7th Avenue South,,,Birmingham,AL,35222,(205)595-1114 Intake: (205)279-3999,,SAF/SA/RES/RL/MD/PA/PW/WN/BC/YAD/ADLT/FEM/,4003AL35222,-86.77884823027016,33.516359242385484,100.0
Birmingham Metro Treatment Center,,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/SF/MD/YAD/ADLT/FEM/MALE/,3700AL35211,-86.85061106777306,33.44878773365579,100.0
Bradford Health Services,Birmingham Regional Office/Jefferson,,300 Century Park South,Suite 100,,Birmingham,AL,35226,(800)293-7191 Intake: (205)942-3200,,SAF/SA/BU/VTRL/OP/OMB/OIT/SF/SI/PI/AD/CHLD/ADLT/FEM/MALE/,3016AL35226,-86.80973763894758,33.41654808419585,100.0
Department of,Veterans Affairs Medical Center,,700 South 19th Street,,,Birmingham,AL,35233,(205)933-8101x6136 Intakes: (205)933-8101x2985 (205)933- 8101x2232,,GHF/SA/DT/BU/NXN/VTRL/HH/OP/OD/OIT/ORT/CT/VAMC/SF/MC/PI/MI/AH/FX/CO/VET/MF/TRMA/YAD/ADLT/FEM/MALE/F17/,5587AL35233,-86.80095784682842,33.504708438880954,99.89
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,,SAF/SA/OP/RES/RL/ORT/SF/SS/PA/AH/CO/WN/MN/YAD/ADLT/FEM/MALE/,1605AL35205,-86.80074528176368,33.49721556226586,100.0
Jefferson Cnty Committee for Econ Opp,Community Substance Abuse Program,,801 46th Street North,Suite 209,,Birmingham,AL,35212,(205)787-3040 Intake: (205)428-7362,,SAF/SA/OP/OIT/SF/MD/YAD/ADLT/FEM/MALE/,9469AL35212,-86.76842438357677,33.53739156899391,100.0
Olivias House,,,8017 2nd Avenue South,,,Birmingham,AL,35206,(205)833-5708x21,,MHSAF/SA/BU/HH/RES/RL/CT/NP/PA/AH/CO/CJ/AD/PW/WN/TRMA/BC/XA/CHLD/ADLT/FEM/,8288AL35206,-86.72178565837521,33.565161742067474,100.0
Saint Annes Home Inc,,,2772 Hanover Circle South,,,Birmingham,AL,35205,(205)933-2402,,SAF/SA/RES/RL/CT/SF/CO/GL/VET/ADM/MF/CJ/SE/WN/TRMA/XA/DV/YAD/ADLT/FEM/,9358AL35205,-86.78654742743194,33.504850176863734,100.0
Tri County Treatment Center,,,5605 Clifford Circle,,,Birmingham,AL,35210,(205)836-3345,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/CT/SF/MD/PW/YAD/ADLT/FEM/MALE/,3235AL35210,-86.63393643993608,33.583067121721314,100.0
University of Alabama at Birmingham,Addiction Recovery Program,,1713 6th Avenue South,,,Birmingham,AL,35294,(205)975-8524 Intake: (205)975-7350,,SAF/SA/DT/BU/NXN/VTRL/OP/RES/RS/RD/OD/OMB/ODT/OIT/ORT/SF/PI/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,0640AL35294,-86.80453989505979,33.50508138437197,99.52
University of Alabama at Birmingham,Beacon Addiction Treatment Center,,401 Beacon Parkway West,Suite 150,,Birmingham,AL,35209,(205)917-3733x106 Intake: (205)917-3733x104,,SAF/SA/OP/ODT/OIT/ORT/SF/MD/PI/PA/AH/CO/CJ/AD/WN/MN/CHLD/YAD/ADLT/FEM/MALE/,2643AL35209,-86.82401847412059,33.474769999028396,100.0
Zukoski Outpatient,,,601 Princeton Avenue SW,,,Birmingham,AL,35211,(205)785-5787,,SAF/SA/OP/OIT/ORT/CT/SF/MD/SS/CO/GL/VET/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,6094AL35211,-86.84288168406401,33.501130698487664,100.0
Bradford Health Services,Boaz Regional Office,,703 Medical Center Parkway,,,Boaz,AL,35957,(256)593-9152,,SAF/SA/OP/OIT/SF/PI/YAD/ADLT/FEM/MALE/,2910AL35957,-86.16063777484834,34.21860109644032,100.0
Indian Rivers Mental Health Center,Substance Abuse Services,,2439 Main Street,,,Brent,AL,35034,(205)926-4681,,MHSAF/SA/NXN/VTRL/OP/ORT/SF/MD/MC/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/,8795AL35034,-87.16281705195028,32.93874672163552,100.0
Chilton Shelby Mental Health Center,,,151 Hamilton Lane,The Hamilton Center,,Calera,AL,35040,(205)668-4308 Intake: (205)755-5985,,MHSAF/SA/OP/OIT/ORT/SF/MD/SI/PI/SS/CO/DU/AD/CHLD/ADLT/FEM/MALE/,1046AL35040,-86.75149958895125,33.0781746763168,100.0
Cahaba Cares,,,45 Camden Bypass,,,Camden,AL,36726,(334)682-4499,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/PI/MI/SS/PA/AH/CO/AD/YAD/ADLT/FEM/MALE/,0085AL36726,-87.2856496604815,32.002215605814946,100.0
Indian Rivers Mental Health Center,Substance Abuse Services,,890 Reform Street,,,Carrollton,AL,35447,(205)367-8159,,MHSAF/SA/NXN/VTRL/OP/ORT/SF/MD/MC/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/,6886AL35447,-88.0942146769207,33.273493199877045,100.0
Family Life Center,,,141 Main Street,,,Centre,AL,35960,(256)927-4722,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/,8855AL35960,-85.67961142952599,34.152096302902066,100.0
Chilton County Treatment Center,,,2100 Holiday Inn Drive,,,Clanton,AL,35046,(205)755-4300,Methadone and Buprenorphine Clients Only,SAF/SA/MM/DM/BU/NXN/VTRL/OTPA/OP/OMB/ODT/ORT/CT/SF/MD/AH/SP/CO/DU/CJ/PW/WN/MN/XA/YAD/ADLT/FEM/MALE/,4113AL35046,-86.57907667258397,32.80903284317124,100.0
Chilton Shelby Mental Health Center,,,110 Medical Center Drive,,,Clanton,AL,35045,(205)755-5985 Intake: (205)688-4308,,MHSAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/IHS/SS/DU/AD/CHLD/ADLT/FEM/MALE/,6466AL35045,-86.62283008295246,32.85488752315515,100.0
Bridge Inc,Recovery Center for Teens/Cullman,,402 Arnold Street NE,Suite 104,,Cullman,AL,35055,(256)775-8301,,SAF/SA/OP/OIT/ORT/CT/SF/MD/SI/PI/MI/SS/AH/CO/AD/TRMA/XA/DV/CHLD/MALE/,9513AL35055,-86.88227496430383,34.196379987614414,100.0
Cullman Area Mental Health Authority,,,1909 Commerce Avenue,,,Cullman,AL,35055,(256)734-4688 Intakes: (256)734-4688x125 (256)734- 4688x111,,MHF/SA/NXN/VTRL/OP/OIT/ORT/CT/SF/MD/SI/PI/SS/AH/ADLT/FEM/MALE/,6253AL35055,-86.87592039583424,34.20373230735207,100.0
Cullman County Treatment Center,,,1912 Commerce Avenue NW,,,Cullman,AL,35056,(256)739-5595,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/ORT/SF/AH/CO/SE/PW/WN/MN/YAD/ADLT/FEM/MALE/,4471AL35056,-86.87574698347733,34.203834348523365,99.52
Lighthouse Inc,,,925 Convent Road NE,,,Cullman,AL,35055,(256)739-2777 Intake: (256)565-7711,,SAF/SA/HH/RES/RL/CT/SF/SS/AH/CO/GL/CJ/SE/MN/TRMA/XA/DV/YAD/ADLT/MALE/,2708AL35055,-86.82733340629223,34.188675003777085,100.0
Family Life Center,,,501 McGlathery Lane,Suite 6-B,,Decatur,AL,35601,(256)355-3703,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/,3990AL35601,-86.98170857483774,34.57566705807755,99.55
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,4110 U.S. Highway 31 South,,,Decatur,AL,35603,(256)353-9116 Intakes: (256)355-5904 (800)365-6008,,SAF/SA/NXN/VTRL/OP/OIT/ORT/SF/MD/MC/SI/PI/SS/AH/PW/WN/YAD/ADLT/FEM/MALE/,5798AL35603,-86.97199232280292,34.5278675450569,100.0
West Alabama Mental Health Center,,,1215 South Walnut Avenue,,,Demopolis,AL,36732,(800)239-2901 Intake: (334)289-2410,,MHF/SA/OP/ODT/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/CJ/CHLD/YAD/ADLT/FEM/MALE/,1792AL36732,-87.83852899120225,32.503330174601736,100.0
Bradford Health Services,Dothan Outreach,,114 Adris Place,,,Dothan,AL,36303,(334)671-1677,,SAF/SA/DT/NXN/VTRL/OP/OD/ODT/OIT/SF/SI/PI/AD/WN/MN/CHLD/ADLT/FEM/MALE/,7798AL36303,-85.45949518003475,31.24440712912219,100.0
Southeast Intervention Group Inc,Herring Houses/Step By Step Recovery,,101 North Herring Street,,,Dothan,AL,36303,(334)699-3175,,MHSAF/SA/HH/RES/RL/SF/SS/CO/GL/VET/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,3875AL36303,-85.40643270379236,31.226977212925906,100.0
SpectraCare,Outpatient,,440 Honeysuckle Road,,,Dothan,AL,36305,(334)673-2143,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/MI/SS/PA/AH/YAD/ADLT/FEM/MALE/,7261AL36305,-85.43473411604536,31.22370064315559,100.0
SpectraCare,The Haven,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Intake: (334)673-2143,,SAF/SA/RES/RS/SF/PI/MI/YAD/ADLT/FEM/MALE/,0433AL36303,-85.46066747301337,31.250740537071014,100.0
SpectraCare,Outpatient,,133 North Orange Avenue,,,Eufaula,AL,36027,(334)687-2323 Intake: (334)673-2143,,MHF/SA/OP/ORT/SF/MD/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/,3050AL36027,-85.14199583651225,31.893647114637087,100.0
Altapointe Health Systems,RAPPORT Adult IOP/Fairhope,,372 South Greeno Road,,,Fairhope,AL,36532,(251)602-6473 Intake: (888)335-3044,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/SS/CO/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/,9108AL36532,-87.88619470218504,30.51438598451874,99.89
A New Beginning,,,122 Helton Court,,,Florence,AL,35630,(256)381-0013 Intake: (256)978-5352,,SAF/SA/HH/RES/RS/RL/CT/SF/AH/SP/CO/GL/CJ/SE/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/,5068AL35630,-87.66721966102124,34.832917472735524,100.0
Bradford Health Services,Florence Outreach,,303 East College Street,Suite A,,Florence,AL,35630,(256)760-0200 Intake: (800)217-2849,,SAF/SA/DT/BU/VTRL/OP/OD/OIT/SF/SI/PI/AD/CHLD/ADLT/FEM/MALE/,6323AL35630,-87.67224142685173,34.80059589017216,100.0
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431x205 Intake: (256)764-3431,,MHSAF/SA/OP/ODT/OIT/ORT/SF/MD/MC/SI/PI/MI/AH/AD/CHLD/YAD/ADLT/FEM/MALE/,3136AL35630,-87.68471101656769,34.79534349627563,100.0
Bridge Inc,Fort Payne Recovery Center,,100 7th Street NE,,,Fort Payne,AL,35967,(256)845-7767 Intake: (256)546-6324x208,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/MI/SS/PA/AH/YAD/ADLT/FEM/MALE/,2872AL35967,-85.71774005933308,34.44614004867035,100.0
Family Life Center,,,300 Gault Avenue South,,,Fort Payne,AL,35967,(256)997-9356,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/,9515AL35967,-85.72423649193735,34.43935219864058,100.0
Army Substance Abuse Program,CDR USA Aeromedical Center,,Andrews Avenue,Building 301,,Fort Rucker,AL,36362,(334)255-7509,,SAF/SA/OP/OIT/ORT/AH/VET/ADM/MF/YAD/ADLT/FEM/MALE/,6156AL36362,-85.70365091206864,31.377950278623214,100.0
Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324,,SAF/SA/RES/RS/CT/SF/MD/SI/PI/MI/SS/PA/AH/CO/AD/TRMA/BC/XA/DV/CHLD/MALE/,3453AL35904,-85.97860622498159,34.07195402964593,100.0
CED Fellowship House Inc,,,4209 Brooke Avenue,,,Gadsden,AL,35904,(256)413-3470 Intake: (256)413-3471,,SAF/SA/HH/RES/RL/CT/SF/SS/PA/CO/VET/CJ/MN/XA/YAD/ADLT/MALE/,6112AL35904,-86.07583797819738,34.000074725598196,100.0
Gadsden Treatment Center,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/PI/CO/PW/YAD/ADLT/FEM/MALE/,7491AL35901,-86.01800955180912,34.02036605590047,100.0
Mountain View Hospital,Intensive Outpatient Program,,3001 Scenic Highway,,,Gadsden,AL,35904,(800)245-3645 Intakes: (800)245-3645x2072 (800)245- 3645x2083,,MHSAF/SA/DT/BU/NXN/OP/OMB/ODT/OIT/ORT/HID/HIT/SF/MC/SI/PI/MI/AH/CO/AD/TRMA/CHLD/YAD/ADLT/FEM/MALE/,2657AL35904,-86.02069245919455,34.07105845576011,100.0
Mountain View Hospital,Outpatient Services,,3001 Scenic Highway,,,Gadsden,AL,35904,(800)245-3645 Intakes: (256)546-9265 (800)245-3645x2083,,MHF/SA/DT/BU/VTRL/OP/OD/ODT/OIT/ORT/HID/HIT/SF/MD/MC/SI/PI/MI/SP/CHLD/YAD/ADLT/FEM/MALE/,2657AL35904,-86.02069245919455,34.07105845576011,100.0
SpectraCare,Geneva County/Outpatient,,1203 West Maple Street,,,Geneva,AL,36340,(334)673-2143,,MHF/SA/OP/OIT/ORT/SF/MD/PI/SS/PA/AH/YAD/ADLT/FEM/MALE/,7393AL36340,-85.89041151423879,31.04808692080804,98.06
Gulf Coast Treatment Center,,,12271 Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/AH/SP/PW/YAD/ADLT/FEM/MALE/,6549AL36541,-88.33302599765966,30.500168097438287,98.04
Cedar Lodge,A Program of MLBH,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465x203 Intake: (256)582-4452x201,,SAF/SA/RES/RS/SF/MD/SI/PI/MI/SS/YAD/ADLT/FEM/MALE/,3516AL35976,-86.26510688395511,34.41975632422606,100.0
Family Life Center,,,432 Gunter Avenue,,,Guntersville,AL,35976,(256)582-1471,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/,6167AL35976,-86.29408555398426,34.35879763418755,100.0
Northwest Alabama Mental Health Center,,,71 Carraway Drive,,,Haleyville,AL,35565,(205)486-4111 Intake: (800)489-3974,,MHSAF/SA/OP/ODT/ORT/SF/MD/MC/SI/PI/MI/SS/AH/CO/DU/AD/WN/MN/CHLD/ADLT/FEM/MALE/,9630AL35565,-87.61842499999996,34.22705000000008,85.0
Marion County Mental Health,,,427 Smokey Bear Road,,,Hamilton,AL,35570,(205)921-2186 Intake: (800)489-3973,,MHSAF/SA/OP/ODT/ORT/SF/MD/MC/SI/PI/MI/SS/AH/CO/WN/MN/YAD/ADLT/FEM/MALE/,6010AL35570,-87.99651680886568,34.1329696328067,100.0
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/PI/AH/PW/WN/MN/YAD/ADLT/FEM/MALE/,5447AL35570,-87.98942506591646,34.11666921240657,100.0
Army Substance Abuse Program,,,Building 3466 Snooper Road,,,Huntsville,AL,35898,(256)842-9895 Intakes: (256)876-7256 (256)313-6255,,SAF/SA/OP/ORT/NP/PA/YAD/ADLT/FEM/MALE/,0198AL35898,-86.6352714720854,34.68213966450976,89.5
Bradford Health Services,Huntsville Regional Office,,555 Sparkman Drive,Suite 208,,Huntsville,AL,35816,(256)895-3848,,SAF/SA/OP/OIT/SF/PI/MI/AD/CHLD/ADLT/FEM/MALE/,9472AL35816,-86.64393345203507,34.73336954821523,99.55
Crestwood Medical Center of Huntsville,Behavioral Services,,1 Hospital Drive,,,Huntsville,AL,35801,(256)429-4000 Intake: (256)429-5480,,MHSAF/DT/HID/SF/MD/MC/PI/MI/YAD/ADLT/FEM/MALE/,0304AL35801,-86.57255257785901,34.69296173411103,99.55
Family Life Center,,,715 Wheeler Avenue,Suite C,,Huntsville,AL,35801,(256)601-8846,,SAF/SA/OP/OIT/ORT/CT/SF/PI/SS/YAD/ADLT/FEM/MALE/,8776AL35801,-86.59682858111191,34.73900834784782,99.55
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 19,,Huntsville,AL,35805,(256)881-1311,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/SF/PW/WN/MN/YAD/ADLT/FEM/MALE/,0408AL35805,-86.60357727045357,34.699692947184474,99.55
Huntsville Recovery Inc,,,4040 Independence Drive,,,Huntsville,AL,35816,(256)721-1940,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/ORT/SF/MD/PW/YAD/ADLT/FEM/MALE/,3146AL35816,-86.62985537509907,34.73753560555071,99.55
Mental Health Center of Madison County,New Horizons Recovery Center,,4040 Memorial Parkway SW,Suite C,,Huntsville,AL,35802,(256)532-4141 Intake: (256)533-1970,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/IHS/PA/AH/SP/YAD/ADLT/FEM/MALE/,1485AL35802,-86.5774108965778,34.680404721144704,100.0
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,,SAF/SA/HH/RES/RS/RL/SF/PA/AH/WN/YAD/ADLT/FEM/MALE/,5546AL35805,-86.60824196720881,34.70544750090015,100.0
Bradford Health Services,Anniston/Jacksonville Regional Office,,1701 Pelham Road South,Suite D,,Jacksonville,AL,36265,(256)237-4209,,SAF/SA/DT/VTRL/OP/OD/OMB/OIT/SF/PI/CHLD/ADLT/FEM/MALE/,0574AL36265,-85.7612529144442,33.785622727026066,100.0
RMC Jacksonville,,,1701 Pelham Road South,,,Jacksonville,AL,36265,(256)782-4330,,SAF/DT/HID/SF/MD/MC/PI/MI/YAD/ADLT/FEM/MALE/,0574AL36265,-85.7612529144442,33.785622727026066,100.0
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,(205)302-9000 Intake: (205)487-2124,,SAF/SA/OP/ODT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/CO/AD/WN/CHLD/ADLT/FEM/MALE/,7304AL35501,-87.28264837725199,33.841013943510376,100.0
Northwest Alabama Mental Health Center,Start Program,,500 Blackwell Dairy Road,,,Jasper,AL,35504,(205)295-9530 Intake: (800)489-3977,,SAF/SA/RES/RL/CT/SF/MD/MC/SI/PI/MI/CO/AD/CHLD/FEM/,1217AL35504,-87.22923403942461,33.84810495369519,100.0
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799 Intake: (205)221-1796,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/ORT/CT/SF/PI/PW/WN/MN/YAD/ADLT/FEM/MALE/,5511AL35504,-87.2675299762368,33.873530970424305,100.0
Metro Treatment of Alabama LP,Sumter County Treatment Center,,106 Hospital Road,Suite 101,,Livingston,AL,35470,(205)652-4919,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/SF/CO/PW/DV/YAD/ADLT/FEM/MALE/,2902AL35470,-88.1828794690595,32.60011634361372,98.04
Bradford Health Services,Madison Residential Facility,,1600 Browns Ferry Road,,,Madison,AL,35758,(800)879-7272,,SAF/SA/DT/NXN/VTRL/RES/RS/RD/SF/SI/PI/MI/AD/CHLD/ADLT/FEM/MALE/,2467AL35758,-86.78332701641291,34.72414300065681,100.0
AltaPointe Health Systems Inc,AltaPointe Medication Assisted Trt,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/MD/PI/SS/AH/YAD/ADLT/FEM/MALE/,3152AL36693,-88.14878992184461,30.628666822159875,100.0
Bradford Health Services,Mobile Regional Facility,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906 Intake: (251)633-0900,,SAF/SA/OP/OIT/SF/PI/CHLD/ADLT/FEM/MALE/,3751AL36695,-88.1907181293662,30.669289799718786,100.0
Bridge Inc,Recovery Center for Teens,,722 Downtowner Loop West,,,Mobile,AL,36609,(251)338-1780 Intakes: (251)338-1780x7011 (251)338- 1780x7012,,SAF/SA/OP/OIT/ORT/SF/MC/PI/MI/SS/PA/AD/CHLD/FEM/MALE/,6869AL36609,-88.14448816149721,30.67420725276424,100.0
Bridge Inc,Westwood,,3401 Newman Road,,,Mobile,AL,36695,(251)633-0475 Intake: (256)546-6324,,SAF/SA/RES/RS/CT/SF/MD/SI/PI/MI/SS/PA/AH/CO/GL/MF/CJ/AD/TRMA/XA/DV/CHLD/MALE/,4130AL36695,-88.33712499976956,30.619203988751025,100.0
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(251)438-1625 Intakes: (251)438-4729x6135 (251)438- 1625x6127,,SAF/SA/HH/OP/RES/RL/OIT/SF/MD/SS/AH/CO/GL/VET/ADM/MF/CJ/SE/MN/TRMA/XA/DV/YAD/ADLT/MALE/,9975AL36604,-88.05866904000689,30.687729022785767,100.0
Dauphin Way Lodge,Intensive Outpatient,,3200 Pleasant Valley Road,,,Mobile,AL,36606,(251)478-5380 Intakes: (251)438-4729x6135 (251)438- 1625x6127,,SAF/SA/OP/OIT/ORT/SF/MD/SS/AH/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,0500AL36606,-88.11991971364245,30.66163787649099,100.0
ECD Program,,,808 Downtowner Loop West,,,Mobile,AL,36609,(251)341-9504,Methadone Clients Only,SAF/SA/MM/DM/OTPA/OP/OMB/ORT/CT/SF/PI/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,2044AL36609,-88.14447751648012,30.672190985955385,100.0
Franklin Primary Health Center,,,510 South Wilson Avenue,,,Mobile,AL,36610,(251)434-8195,,SAF/SA/OP/ORT/CT/SF/PA/CO/GL/VET/ADM/MF/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,9743AL36610,-88.08280204799162,30.729967486453237,100.0
Gulf Coast Veterans Healthcare System,Mobile Outpatient Clinic,,1504 Springhill Avenue,,,Mobile,AL,36604,(251)219-3900 Intake: (251)219-3701,,GHF/SA/BU/NXN/OP/OMB/ORT/CT/VAMC/PI/MI/VET/ADM/TRMA/YAD/ADLT/FEM/MALE/,3138AL36604,-88.07192946228754,30.692469450036462,100.0
