Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys
ALR Sober Life,,,1520 2nd Avenue North,,,Bessemer,AL,35020,(205)253-8871,,HH/
Jefferson Cnty Committee for Econ Opp,Community Substance Abuse Program,,1324 4th Avenue North,,,Bessemer,AL,35020,(205)428-7362 Intake: (205)787-3040,,SAF/SA/OP/OIT/SF/MD/YAD/ADLT/FEM/MALE/
Northwest Alabama Treatment Center,,,4204 Edmonton Drive,,,Bessemer,AL,35022,(205)425-1200,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/ORT/CT/SF/MD/SS/CO/GL/VET/ADM/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Alcohol and Drug Abuse,Treatment Centers Inc/Pearson Hall,,2701 Jefferson Avenue SW,,,Birmingham,AL,35211,(205)923-6552x12 Intakes: (205)923-6552x10 (205)923- 6552x13,,SAF/SA/RES/RS/SF/SI/SS/PA/AH/SP/CO/WN/MN/YAD/ADLT/FEM/MALE/
Aletheia House,,,201 Finley Avenue West,,,Birmingham,AL,35204,(205)324-6502,,SAF/SA/OP/ODT/OIT/ORT/SF/MD/MC/PA/AH/MN/TRMA/YAD/ADLT/FEM/MALE/
Aletheia House,Women Only,,3512 7th Avenue South,,,Birmingham,AL,35222,(205)595-1114 Intake: (205)279-3999,,SAF/SA/RES/RL/MD/PA/PW/WN/BC/YAD/ADLT/FEM/
Birmingham Metro Treatment Center,,,151 Industrial Drive,,,Birmingham,AL,35211,(205)941-1799,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/SF/MD/YAD/ADLT/FEM/MALE/
Bradford Health Services,Birmingham Regional Office/Jefferson,,300 Century Park South,Suite 100,,Birmingham,AL,35226,(800)293-7191 Intake: (205)942-3200,,SAF/SA/BU/VTRL/OP/OMB/OIT/SF/SI/PI/AD/CHLD/ADLT/FEM/MALE/
Department of,Veterans Affairs Medical Center,,700 South 19th Street,,,Birmingham,AL,35233,(205)933-8101x6136 Intakes: (205)933-8101x2985 (205)933- 8101x2232,,GHF/SA/DT/BU/NXN/VTRL/HH/OP/OD/OIT/ORT/CT/VAMC/SF/MC/PI/MI/AH/FX/CO/VET/MF/TRMA/YAD/ADLT/FEM/MALE/F17/
Fellowship House Inc,,,1625 12th Avenue South,,,Birmingham,AL,35205,(205)933-2430,,SAF/SA/OP/RES/RL/ORT/SF/SS/PA/AH/CO/WN/MN/YAD/ADLT/FEM/MALE/
Jefferson Cnty Committee for Econ Opp,Community Substance Abuse Program,,801 46th Street North,Suite 209,,Birmingham,AL,35212,(205)787-3040 Intake: (205)428-7362,,SAF/SA/OP/OIT/SF/MD/YAD/ADLT/FEM/MALE/
Olivias House,,,8017 2nd Avenue South,,,Birmingham,AL,35206,(205)833-5708x21,,MHSAF/SA/BU/HH/RES/RL/CT/NP/PA/AH/CO/CJ/AD/PW/WN/TRMA/BC/XA/CHLD/ADLT/FEM/
Saint Annes Home Inc,,,2772 Hanover Circle South,,,Birmingham,AL,35205,(205)933-2402,,SAF/SA/RES/RL/CT/SF/CO/GL/VET/ADM/MF/CJ/SE/WN/TRMA/XA/DV/YAD/ADLT/FEM/
Tri County Treatment Center,,,5605 Clifford Circle,,,Birmingham,AL,35210,(205)836-3345,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/CT/SF/MD/PW/YAD/ADLT/FEM/MALE/
University of Alabama at Birmingham,Addiction Recovery Program,,1713 6th Avenue South,,,Birmingham,AL,35294,(205)975-8524 Intake: (205)975-7350,,SAF/SA/DT/BU/NXN/VTRL/OP/RES/RS/RD/OD/OMB/ODT/OIT/ORT/SF/PI/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
University of Alabama at Birmingham,Beacon Addiction Treatment Center,,401 Beacon Parkway West,Suite 150,,Birmingham,AL,35209,(205)917-3733x106 Intake: (205)917-3733x104,,SAF/SA/OP/ODT/OIT/ORT/SF/MD/PI/PA/AH/CO/CJ/AD/WN/MN/CHLD/YAD/ADLT/FEM/MALE/
Zukoski Outpatient,,,601 Princeton Avenue SW,,,Birmingham,AL,35211,(205)785-5787,,SAF/SA/OP/OIT/ORT/CT/SF/MD/SS/CO/GL/VET/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Bradford Health Services,Boaz Regional Office,,703 Medical Center Parkway,,,Boaz,AL,35957,(256)593-9152,,SAF/SA/OP/OIT/SF/PI/YAD/ADLT/FEM/MALE/
Indian Rivers Mental Health Center,Substance Abuse Services,,2439 Main Street,,,Brent,AL,35034,(205)926-4681,,MHSAF/SA/NXN/VTRL/OP/ORT/SF/MD/MC/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/
Chilton Shelby Mental Health Center,,,151 Hamilton Lane,The Hamilton Center,,Calera,AL,35040,(205)668-4308 Intake: (205)755-5985,,MHSAF/SA/OP/OIT/ORT/SF/MD/SI/PI/SS/CO/DU/AD/CHLD/ADLT/FEM/MALE/
Cahaba Cares,,,45 Camden Bypass,,,Camden,AL,36726,(334)682-4499,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/PI/MI/SS/PA/AH/CO/AD/YAD/ADLT/FEM/MALE/
Indian Rivers Mental Health Center,Substance Abuse Services,,890 Reform Street,,,Carrollton,AL,35447,(205)367-8159,,MHSAF/SA/NXN/VTRL/OP/ORT/SF/MD/MC/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/
Family Life Center,,,141 Main Street,,,Centre,AL,35960,(256)927-4722,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Chilton County Treatment Center,,,2100 Holiday Inn Drive,,,Clanton,AL,35046,(205)755-4300,Methadone and Buprenorphine Clients Only,SAF/SA/MM/DM/BU/NXN/VTRL/OTPA/OP/OMB/ODT/ORT/CT/SF/MD/AH/SP/CO/DU/CJ/PW/WN/MN/XA/YAD/ADLT/FEM/MALE/
Chilton Shelby Mental Health Center,,,110 Medical Center Drive,,,Clanton,AL,35045,(205)755-5985 Intake: (205)688-4308,,MHSAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/IHS/SS/DU/AD/CHLD/ADLT/FEM/MALE/
Bridge Inc,Recovery Center for Teens/Cullman,,402 Arnold Street NE,Suite 104,,Cullman,AL,35055,(256)775-8301,,SAF/SA/OP/OIT/ORT/CT/SF/MD/SI/PI/MI/SS/AH/CO/AD/TRMA/XA/DV/CHLD/MALE/
Cullman Area Mental Health Authority,,,1909 Commerce Avenue,,,Cullman,AL,35055,(256)734-4688 Intakes: (256)734-4688x125 (256)734- 4688x111,,MHF/SA/NXN/VTRL/OP/OIT/ORT/CT/SF/MD/SI/PI/SS/AH/ADLT/FEM/MALE/
Cullman County Treatment Center,,,1912 Commerce Avenue NW,,,Cullman,AL,35056,(256)739-5595,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/ORT/SF/AH/CO/SE/PW/WN/MN/YAD/ADLT/FEM/MALE/
Lighthouse Inc,,,925 Convent Road NE,,,Cullman,AL,35055,(256)739-2777 Intake: (256)565-7711,,SAF/SA/HH/RES/RL/CT/SF/SS/AH/CO/GL/CJ/SE/MN/TRMA/XA/DV/YAD/ADLT/MALE/
Family Life Center,,,501 McGlathery Lane,Suite 6-B,,Decatur,AL,35601,(256)355-3703,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,4110 U.S. Highway 31 South,,,Decatur,AL,35603,(256)353-9116 Intakes: (256)355-5904 (800)365-6008,,SAF/SA/NXN/VTRL/OP/OIT/ORT/SF/MD/MC/SI/PI/SS/AH/PW/WN/YAD/ADLT/FEM/MALE/
West Alabama Mental Health Center,,,1215 South Walnut Avenue,,,Demopolis,AL,36732,(800)239-2901 Intake: (334)289-2410,,MHF/SA/OP/ODT/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/CJ/CHLD/YAD/ADLT/FEM/MALE/
Bradford Health Services,Dothan Outreach,,114 Adris Place,,,Dothan,AL,36303,(334)671-1677,,SAF/SA/DT/NXN/VTRL/OP/OD/ODT/OIT/SF/SI/PI/AD/WN/MN/CHLD/ADLT/FEM/MALE/
Southeast Intervention Group Inc,Herring Houses/Step By Step Recovery,,101 North Herring Street,,,Dothan,AL,36303,(334)699-3175,,MHSAF/SA/HH/RES/RL/SF/SS/CO/GL/VET/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
SpectraCare,Outpatient,,440 Honeysuckle Road,,,Dothan,AL,36305,(334)673-2143,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/MI/SS/PA/AH/YAD/ADLT/FEM/MALE/
SpectraCare,The Haven,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Intake: (334)673-2143,,SAF/SA/RES/RS/SF/PI/MI/YAD/ADLT/FEM/MALE/
SpectraCare,Outpatient,,133 North Orange Avenue,,,Eufaula,AL,36027,(334)687-2323 Intake: (334)673-2143,,MHF/SA/OP/ORT/SF/MD/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/
Altapointe Health Systems,RAPPORT Adult IOP/Fairhope,,372 South Greeno Road,,,Fairhope,AL,36532,(251)602-6473 Intake: (888)335-3044,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/SS/CO/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/
A New Beginning,,,122 Helton Court,,,Florence,AL,35630,(256)381-0013 Intake: (256)978-5352,,SAF/SA/HH/RES/RS/RL/CT/SF/AH/SP/CO/GL/CJ/SE/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/
Bradford Health Services,Florence Outreach,,303 East College Street,Suite A,,Florence,AL,35630,(256)760-0200 Intake: (800)217-2849,,SAF/SA/DT/BU/VTRL/OP/OD/OIT/SF/SI/PI/AD/CHLD/ADLT/FEM/MALE/
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431x205 Intake: (256)764-3431,,MHSAF/SA/OP/ODT/OIT/ORT/SF/MD/MC/SI/PI/MI/AH/AD/CHLD/YAD/ADLT/FEM/MALE/
Bridge Inc,Fort Payne Recovery Center,,100 7th Street NE,,,Fort Payne,AL,35967,(256)845-7767 Intake: (256)546-6324x208,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/MI/SS/PA/AH/YAD/ADLT/FEM/MALE/
Family Life Center,,,300 Gault Avenue South,,,Fort Payne,AL,35967,(256)997-9356,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Army Substance Abuse Program,CDR USA Aeromedical Center,,Andrews Avenue,Building 301,,Fort Rucker,AL,36362,(334)255-7509,,SAF/SA/OP/OIT/ORT/AH/VET/ADM/MF/YAD/ADLT/FEM/MALE/
Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324,,SAF/SA/RES/RS/CT/SF/MD/SI/PI/MI/SS/PA/AH/CO/AD/TRMA/BC/XA/DV/CHLD/MALE/
CED Fellowship House Inc,,,4209 Brooke Avenue,,,Gadsden,AL,35904,(256)413-3470 Intake: (256)413-3471,,SAF/SA/HH/RES/RL/CT/SF/SS/PA/CO/VET/CJ/MN/XA/YAD/ADLT/MALE/
Gadsden Treatment Center,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/PI/CO/PW/YAD/ADLT/FEM/MALE/
Mountain View Hospital,Intensive Outpatient Program,,3001 Scenic Highway,,,Gadsden,AL,35904,(800)245-3645 Intakes: (800)245-3645x2072 (800)245- 3645x2083,,MHSAF/SA/DT/BU/NXN/OP/OMB/ODT/OIT/ORT/HID/HIT/SF/MC/SI/PI/MI/AH/CO/AD/TRMA/CHLD/YAD/ADLT/FEM/MALE/
Mountain View Hospital,Outpatient Services,,3001 Scenic Highway,,,Gadsden,AL,35904,(800)245-3645 Intakes: (256)546-9265 (800)245-3645x2083,,MHF/SA/DT/BU/VTRL/OP/OD/ODT/OIT/ORT/HID/HIT/SF/MD/MC/SI/PI/MI/SP/CHLD/YAD/ADLT/FEM/MALE/
SpectraCare,Geneva County/Outpatient,,1203 West Maple Street,,,Geneva,AL,36340,(334)673-2143,,MHF/SA/OP/OIT/ORT/SF/MD/PI/SS/PA/AH/YAD/ADLT/FEM/MALE/
Gulf Coast Treatment Center,,,12271 Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/AH/SP/PW/YAD/ADLT/FEM/MALE/
Cedar Lodge,A Program of MLBH,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465x203 Intake: (256)582-4452x201,,SAF/SA/RES/RS/SF/MD/SI/PI/MI/SS/YAD/ADLT/FEM/MALE/
Family Life Center,,,432 Gunter Avenue,,,Guntersville,AL,35976,(256)582-1471,,SAF/SA/OP/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Northwest Alabama Mental Health Center,,,71 Carraway Drive,,,Haleyville,AL,35565,(205)486-4111 Intake: (800)489-3974,,MHSAF/SA/OP/ODT/ORT/SF/MD/MC/SI/PI/MI/SS/AH/CO/DU/AD/WN/MN/CHLD/ADLT/FEM/MALE/
Marion County Mental Health,,,427 Smokey Bear Road,,,Hamilton,AL,35570,(205)921-2186 Intake: (800)489-3973,,MHSAF/SA/OP/ODT/ORT/SF/MD/MC/SI/PI/MI/SS/AH/CO/WN/MN/YAD/ADLT/FEM/MALE/
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/PI/AH/PW/WN/MN/YAD/ADLT/FEM/MALE/
Army Substance Abuse Program,,,Building 3466 Snooper Road,,,Huntsville,AL,35898,(256)842-9895 Intakes: (256)876-7256 (256)313-6255,,SAF/SA/OP/ORT/NP/PA/YAD/ADLT/FEM/MALE/
Bradford Health Services,Huntsville Regional Office,,555 Sparkman Drive,Suite 208,,Huntsville,AL,35816,(256)895-3848,,SAF/SA/OP/OIT/SF/PI/MI/AD/CHLD/ADLT/FEM/MALE/
Crestwood Medical Center of Huntsville,Behavioral Services,,1 Hospital Drive,,,Huntsville,AL,35801,(256)429-4000 Intake: (256)429-5480,,MHSAF/DT/HID/SF/MD/MC/PI/MI/YAD/ADLT/FEM/MALE/
Family Life Center,,,715 Wheeler Avenue,Suite C,,Huntsville,AL,35801,(256)601-8846,,SAF/SA/OP/OIT/ORT/CT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 19,,Huntsville,AL,35805,(256)881-1311,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/SF/PW/WN/MN/YAD/ADLT/FEM/MALE/
Huntsville Recovery Inc,,,4040 Independence Drive,,,Huntsville,AL,35816,(256)721-1940,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/ORT/SF/MD/PW/YAD/ADLT/FEM/MALE/
Mental Health Center of Madison County,New Horizons Recovery Center,,4040 Memorial Parkway SW,Suite C,,Huntsville,AL,35802,(256)532-4141 Intake: (256)533-1970,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/IHS/PA/AH/SP/YAD/ADLT/FEM/MALE/
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,,SAF/SA/HH/RES/RS/RL/SF/PA/AH/WN/YAD/ADLT/FEM/MALE/
Bradford Health Services,Anniston/Jacksonville Regional Office,,1701 Pelham Road South,Suite D,,Jacksonville,AL,36265,(256)237-4209,,SAF/SA/DT/VTRL/OP/OD/OMB/OIT/SF/PI/CHLD/ADLT/FEM/MALE/
RMC Jacksonville,,,1701 Pelham Road South,,,Jacksonville,AL,36265,(256)782-4330,,SAF/DT/HID/SF/MD/MC/PI/MI/YAD/ADLT/FEM/MALE/
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,(205)302-9000 Intake: (205)487-2124,,SAF/SA/OP/ODT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/CO/AD/WN/CHLD/ADLT/FEM/MALE/
Northwest Alabama Mental Health Center,Start Program,,500 Blackwell Dairy Road,,,Jasper,AL,35504,(205)295-9530 Intake: (800)489-3977,,SAF/SA/RES/RL/CT/SF/MD/MC/SI/PI/MI/CO/AD/CHLD/FEM/
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799 Intake: (205)221-1796,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/ORT/CT/SF/PI/PW/WN/MN/YAD/ADLT/FEM/MALE/
Metro Treatment of Alabama LP,Sumter County Treatment Center,,106 Hospital Road,Suite 101,,Livingston,AL,35470,(205)652-4919,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/SF/CO/PW/DV/YAD/ADLT/FEM/MALE/
Bradford Health Services,Madison Residential Facility,,1600 Browns Ferry Road,,,Madison,AL,35758,(800)879-7272,,SAF/SA/DT/NXN/VTRL/RES/RS/RD/SF/SI/PI/MI/AD/CHLD/ADLT/FEM/MALE/
AltaPointe Health Systems Inc,AltaPointe Medication Assisted Trt,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/MD/PI/SS/AH/YAD/ADLT/FEM/MALE/
Bradford Health Services,Mobile Regional Facility,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906 Intake: (251)633-0900,,SAF/SA/OP/OIT/SF/PI/CHLD/ADLT/FEM/MALE/
Bridge Inc,Recovery Center for Teens,,722 Downtowner Loop West,,,Mobile,AL,36609,(251)338-1780 Intakes: (251)338-1780x7011 (251)338- 1780x7012,,SAF/SA/OP/OIT/ORT/SF/MC/PI/MI/SS/PA/AD/CHLD/FEM/MALE/
Bridge Inc,Westwood,,3401 Newman Road,,,Mobile,AL,36695,(251)633-0475 Intake: (256)546-6324,,SAF/SA/RES/RS/CT/SF/MD/SI/PI/MI/SS/PA/AH/CO/GL/MF/CJ/AD/TRMA/XA/DV/CHLD/MALE/
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(251)438-1625 Intakes: (251)438-4729x6135 (251)438- 1625x6127,,SAF/SA/HH/OP/RES/RL/OIT/SF/MD/SS/AH/CO/GL/VET/ADM/MF/CJ/SE/MN/TRMA/XA/DV/YAD/ADLT/MALE/
Dauphin Way Lodge,Intensive Outpatient,,3200 Pleasant Valley Road,,,Mobile,AL,36606,(251)478-5380 Intakes: (251)438-4729x6135 (251)438- 1625x6127,,SAF/SA/OP/OIT/ORT/SF/MD/SS/AH/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
ECD Program,,,808 Downtowner Loop West,,,Mobile,AL,36609,(251)341-9504,Methadone Clients Only,SAF/SA/MM/DM/OTPA/OP/OMB/ORT/CT/SF/PI/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Franklin Primary Health Center,,,510 South Wilson Avenue,,,Mobile,AL,36610,(251)434-8195,,SAF/SA/OP/ORT/CT/SF/PA/CO/GL/VET/ADM/MF/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Gulf Coast Veterans Healthcare System,Mobile Outpatient Clinic,,1504 Springhill Avenue,,,Mobile,AL,36604,(251)219-3900 Intake: (251)219-3701,,GHF/SA/BU/NXN/OP/OMB/ORT/CT/VAMC/PI/MI/VET/ADM/TRMA/YAD/ADLT/FEM/MALE/
Mobile Metro Treatment Center,,,1924 Dauphin Island Parkway,Suite C,,Mobile,AL,36605,(251)476-5733,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/SF/MD/CO/GL/VET/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Serenity Care Inc,,,3085 Dauphin Square Connector,,,Mobile,AL,36607,(251)402-5772,,MHSAF/SA/HH/RES/RS/SF/SS/PA/VET/CJ/MN/TRMA/DV/YAD/ADLT/MALE/
Bradford Health Services,Montgomery Regional Office,,386 Saint Lukes Drive,,,Montgomery,AL,36117,(800)873-2887,,SAF/SA/OP/OIT/SF/SI/PI/AD/CHLD/ADLT/FEM/MALE/
Chemical Addictions Program Inc,(CAP)/Adol Intensive Outpt Prog,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)269-2150,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/SS/PA/VET/AD/MN/CHLD/ADLT/FEM/MALE/
Chemical Addictions Program Inc,(CAP)/Pegasus,,1151 Air Base Boulevard,,,Montgomery,AL,36108,(334)269-2150,,SAF/SA/OP/OIT/ORT/SF/MD/PI/SS/PA/WN/MN/YAD/ADLT/FEM/MALE/
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,111 Coliseum Boulevard,,,Montgomery,AL,36109,(334)286-5980 Intake: (334)286-5981,,SAF/SA/OP/OIT/ORT/SF/MD/SI/SS/PA/AH/CO/PW/MN/TRMA/YAD/ADLT/FEM/MALE/
Montgomery Metro Treatment Center,,,6001 East Shirley Lane,,,Montgomery,AL,36117,(334)244-1618,Methadone and Buprenorphine Clients Only,SAF/SA/MM/DM/BU/OTPA/OP/OMB/OIT/SF/CO/PW/YAD/ADLT/FEM/MALE/
Houston Treatment Center,,,9283 U.S. Highway 84 West,,,Newton,AL,36352,(334)692-4455,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/ORT/CT/SF/MD/PI/AH/PW/WN/YAD/ADLT/FEM/MALE/
Bradford Health Services,Tuscaloosa Regional Office,,515 Energy Center Boulevard,,,Northport,AL,35473,(205)750-0227 Intake: (800)891-9673,,SAF/SA/DT/BU/VTRL/OP/OD/OMB/OIT/SF/SI/PI/AH/AD/CHLD/ADLT/FEM/MALE/
Hope House Inc,,,1000 Lincoln Avenue,Suite B,,Oneonta,AL,35121,(205)625-4673,,SAF/SA/OP/OIT/ORT/SF/MD/MC/SI/CO/AD/DV/CHLD/ADLT/FEM/MALE/
East Alabama Mental Health,Opelika Addiction Center,,2300 Center Hills Drive,,,Opelika,AL,36801,(334)742-2130 Intake: (334)742-2877,,SAF/SA/NXN/VTRL/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/
Calhoun Cleburne Mental Health Center,New Directions,,1640 Coleman Road,,,Oxford,AL,36203,(256)236-8003 Intake: (256)236-8003x0,,SAF/SA/NXN/VTRL/OP/OIT/ORT/CT/SF/MD/MI/SS/AH/SP/CO/DU/CJ/AD/CHLD/ADLT/FEM/MALE/
Calhoun Treatment Center Inc,,,118 East Choccolocco Street,,,Oxford,AL,36203,(256)831-4601,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/SF/MD/PI/PW/WN/YAD/ADLT/FEM/MALE/
Insight Treatment Program Inc,,,123 South Painter Avenue,Suite G,,Ozark,AL,36360,(334)445-6190,,SAF/SA/OP/OIT/ORT/SF/DU/YAD/ADLT/FEM/MALE/
East Alabama Mental Health,Russell County Clinic,,3170 Martin Luther King Parkway South,,,Phenix City,AL,36869,(334)298-2405 Intake: (334)742-2130,,SAF/SA/NXN/VTRL/OP/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/YAD/ADLT/FEM/MALE/
Chemical Addictions Program Inc,Elmore/Autauga Adolescent IOP,,2064 Highway 14,,,Prattville,AL,36066,(334)269-2150,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/SS/PA/AD/CHLD/FEM/MALE/
Chemical Addictions Program Inc,Prattville Adult Outpatient Services,,2066 Highway 14,,,Prattville,AL,36066,(334)269-2150 Intake: (334)323-3243,,SAF/SA/OP/OIT/ORT/SF/MD/PI/SS/PA/WN/MN/YAD/ADLT/FEM/MALE/
Cheaha Mental Health,,,706 Main Street,,,Roanoke,AL,36274,(334)863-2518 Intake: (256)249-2395x1309,,MHF/SA/OP/ORT/CT/SF/MD/MC/SI/SS/PA/AH/FX/CO/CJ/AD/WN/MN/YAD/ADLT/FEM/MALE/F4/F17/F19/F28/F30/F31/F37/F42/F43/F47/F66/F67/F70/F81/F92/
Freedom House,,,54 Wheeler Hills Road,,,Rogersville,AL,35652,(256)247-1222,,SAF/SA/RES/RS/RL/SF/MD/PA/AH/PW/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/
Riverbend Center for Mental Health,Russellville Office,,205 South Jackson Avenue,,,Russellville,AL,35653,(256)764-3431,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/AH/CHLD/YAD/ADLT/FEM/MALE/
Sunrise Lodge,Substance Abuse Treatment Center,,1163 Washington Avenue SW,,,Russellville,AL,35653,(256)332-0078 Intake: (256)764-3431,,SAF/SA/RES/RS/SF/MD/PI/MI/AH/MN/YAD/ADLT/MALE/
