"","Name","Hospital.Type","Address","Address_2","City","State","Zipcode","County","Latitude","Longitude","Staffed.All.Beds","Staffed.ICU.Beds","Licensed.All.Beds","All.Bed.Occupancy.Rate","ICU.Bed.Occupancy.Rate","Staffed.All.Beds...SOURCE","Staffed.ICU.Beds...SOURCE","Licensed.All.Beds...SOURCE","All.Bed.Occupancy.Rate...SOURCE","ICU.Bed.Occupancy.Rate...SOURCE","CCM_ID","DH.ID","HCRIS.ID","HIFLD.ID"
"11","FIRSTHEALTH MOORE REGIONAL HOSPITAL HAMLET","GENERAL ACUTE CARE","1000 WEST HAMLET AVENUE","","HAMLET","NC",28345,"RICHMOND",34.9018120050001,-79.708521447,NA,NA,64,NA,NA,"None","None","HIFLD-BEDS","None","None",10028345,NA,NA,10028345
"12","RHODE ISLAND HOSPITAL","GENERAL ACUTE CARE","593 EDDY STREET","","PROVIDENCE","RI",2903,"PROVIDENCE",41.811881079,-71.409129255,622,147,719,0.81,0.8,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1002903,3347,410007,1002903
"13","EVANS MEMORIAL HOSPITAL","GENERAL ACUTE CARE","200 NORTH RIVER STREET","","CLAXTON","GA",30417,"EVANS",32.1658831440001,-81.899024445,49,NA,49,0.07,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10030417,914,110142,10030417
"14","CROTCHED MOUNTAIN REHABILITATION CENTER","REHABILITATION","1 VERNEY DRIVE","","GREENFIELD","NH",3047,"HILLSBOROUGH",42.9718711000001,-71.874535911,NA,NA,62,NA,NA,"None","None","HIFLD-BEDS","None","None",1003047,NA,NA,1003047
"15","NORTHWEST MEDICAL CENTER","GENERAL ACUTE CARE","1530 U. S. HWY 43","","WINFIELD","AL",35594,"MARION",33.93053767,-87.824524735,61,4,71,0.15,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10035594,75,10086,10035594
"16","TRINITY MEDICAL CENTER - 7TH STREET CAMPUS - DBA TRINITY MOLINE","GENERAL ACUTE CARE","500 JOHN DEERE ROAD, 7TH STREET CAMPUS","","MOLINE","IL",61265,"ROCK ISLAND",41.468307403,-90.5309796909999,NA,NA,NA,NA,NA,"None","None","","None","None",100361265,NA,NA,100361265
"17","TROUSDALE MEDICAL CENTER","CRITICAL ACCESS","500 CHURCH STREET","","HARTSVILLE","TN",37074,"TROUSDALE",36.38783255,-86.168159927,25,NA,25,0.14,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10037074,3545,441301,10037074
"18","TALLAHATCHIE GENERAL HOSPITAL","CRITICAL ACCESS","201 SOUTH MARKET STREET","PO BOX 230","CHARLESTON","MS",38921,"TALLAHATCHIE",34.004056338,-90.0588323269999,9,NA,18,1.38,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10038921,4460,251304,10038921
"19","YORK HOSPITAL","GENERAL ACUTE CARE","15 HOSPITAL DRIVE","","YORK","ME",3909,"YORK",43.1425179190001,-70.651754158,66,5,79,0.53,0.67,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1003909,1746,200020,1003909
"20","ST. ELIZABETH FLORENCE","GENERAL ACUTE CARE","4900 HOUSTON ROAD","","FLORENCE","KY",41042,"BOONE",39.016591818,-84.630767205,126,18,231,0.78,0.64,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10041042,1531,180045,10041042
"21","TRINITY MEDICAL CTR EAST","GENERAL ACUTE CARE","380 SUMMIT AVENUE","","STEUBENVILLE","OH",43952,"JEFFERSON",40.354755529,-80.62549638,NA,NA,244,NA,NA,"None","None","HIFLD-BEDS","None","None",10043952,NA,NA,10043952
"22","VALLEY WEST COMMUNITY HOSPITAL","CRITICAL ACCESS","1302 NORTH MAIN STREET","","SANDWICH","IL",60548,"DEKALB",41.657190128,-88.620734819,25,4,25,0.196932,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",100460548,1083,NA,100460548
"23","OAKLAWN PSYCHIATRIC CENTER INC","PSYCHIATRIC","330 LAKEVIEW DR","","GOSHEN","IN",46527,"ELKHART",41.6036041190001,-85.839485402,16,0,16,0.820890410958904,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10046527,4599,154031,10046527
"24","DMC SURGERY HOSPITAL","GENERAL ACUTE CARE","30671 STEPHENSON HIGHWAY","","MADISON HEIGHTS","MI",48071,"OAKLAND",42.517887537,-83.120107267,NA,NA,36,NA,NA,"None","None","HIFLD-BEDS","None","None",10048071,NA,NA,10048071
"25","AMERY REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","265 GRIFFIN STREET EAST","","AMERY","WI",54001,"POLK",45.2968280980001,-92.360915832,25,NA,25,0.32,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10054001,4198,521308,10054001
"26","NORTHWESTERN MEDICAL CENTER","GENERAL ACUTE CARE","133 FAIRFIELD ST","","ST. ALBANS","VT",5478,"FRANKLIN",44.807739617,-73.072513086,53,NA,70,0.4,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",1005478,3907,470024,1005478
"27","MADELIA COMMUNITY HOSPITAL","CRITICAL ACCESS","121 DREW AVENUE SOUTHEAST","","MADELIA","MN",56062,"WATONWAN",44.0492624390001,-94.40986768,25,NA,25,0.13,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10056062,2091,241323,10056062
"28","NORWEGIAN-AMERICAN HOSPITAL","GENERAL ACUTE CARE","1044 N FRANCISCO AVE","","CHICAGO","IL",60622,"COOK",41.900799838,-87.699095477,173,12,215,0.49,0.72,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10060622,1043,140206,10060622
"29","HOSP METROPOLITANO DR SUSONI","GENERAL ACUTE CARE","55 NICOMEDES RIVERA STREET","","ARECIBO PUEBLO","PR",614,"ARECIBO",18.4732884790001,-66.7169149709999,120,6,120,0.7,0.86,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",100614,4274,400117,100614
"30","PIKE COUNTY MEMORIAL HOSPITAL","CRITICAL ACCESS","2305 GEORGIA STREET","","LOUISIANA","MO",63353,"PIKE",39.440664381,-91.0647806649999,25,NA,25,0.17,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10063353,2244,261333,10063353
"31","OSAWATOMIE STATE HOSPITAL PSYCHIATRIC","PSYCHIATRIC","500 STATE HOSPITAL DRIVE","","OSAWATOMIE","KS",66064,"MIAMI",38.513615535,-94.9399427109999,160,106,206,0.859606164383562,0.905556991470664,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10066064,5367,174022,10066064
"32","CHARLOTTE HUNGERFORD HOSPITAL","GENERAL ACUTE CARE","540 LITCHFIELD ST","","TORRINGTON","CT",6790,"LITCHFIELD",41.791838302,-73.133119321,91,10,91,0.59,0.46,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1006790,667,70011,1006790
"33","METHODIST WOMEN'S HOSPITAL","WOMEN","707 NORTH 190TH PLAZA","","ELKHORN","NE",68022,"DOUGLAS",41.264639566,-96.2122890569999,153,NA,153,NA,NA,"DH-NUM_STAFFE","None","DH-NUM_STAFFE","None","None",10068022,5731,NA,10068022
"34","LONGLEAF HOSPITAL","PSYCHIATRIC","44 VERSAILLES BLVD","","ALEXANDRIA","LA",71303,"RAPIDES",31.291979158,-92.504882784,92,0,92,0.910214413341275,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10071303,4370,194022,10071303
"35","DREW MEMORIAL HOSPITAL","GENERAL ACUTE CARE","778 SCOGIN DRIVE","","MONTICELLO","AR",71655,"DREW",33.610884587,-91.8167940659999,49,5,49,0.44,0.37,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10071655,216,40051,10071655
"36","ARBUCKLE MEMORIAL HOSPITAL","CRITICAL ACCESS","2011 WEST BROADWAY STREET","","SULPHUR","OK",73086,"MURRAY",34.5049883020001,-96.9961371159999,25,NA,25,0.65,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10073086,3076,371328,10073086
"37","CEDAR PARK REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","1401 MEDICAL PARKWAY","","CEDAR PARK","TX",78613,"WILLIAMSON",30.532362714,-97.8121909539999,93,12,108,0.56,0.31,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10078613,3855,670043,10078613
"38","ROY LESTER SCHNEIDER HOSPITAL","GENERAL ACUTE CARE","9048 SUGAR ESTATE","","ST THOMAS","VI",801,"NOT AVAILABLE",18.340605,-64.914717,107,8,169,0.31,0.54,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HIFLD-BEDS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",100801,NA,480001,100801
"39","NORTHERN COLORADO REHABILITATION HOSPITAL","REHABILITATION","4401 UNION STREET","","JOHNSTOWN","CO",80534,"LARIMER",40.406238,-104.971311,40,0,40,0.882945205479452,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10080534,4987,63033,10080534
"40","MARYVILLE INCORPORATED","SPECIAL","1903 GRANT AVENUE","","WILLIAMSTOWN","NJ",8094,"GLOUCESTER",39.635474581,-75.035103877,NA,NA,68,NA,NA,"None","None","HIFLD-BEDS","None","None",1008094,NA,NA,1008094
"41","WICKENBURG COMMUNITY HOSPITAL","GENERAL ACUTE CARE","520 ROSE LANE","","WICKENBURG","AZ",85390,"MARICOPA",33.978363743,-112.739931842,19,NA,19,0.15,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10085390,162,31300,10085390
"42","DESERT REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","1150 NORTH INDIAN CANYON DRIVE","","PALM SPRINGS","CA",92262,"RIVERSIDE",33.8386678530001,-116.54345357,325,31,353,0.74,0.88,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10092262,452,50243,10092262
"43","WASHINGTON COUNTY HOSPITAL","CRITICAL ACCESS","705 SOUTH GRAND AVENUE","","NASHVILLE","IL",62263,"WASHINGTON",38.3389425010001,-89.391279285,22,NA,50,0.22,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",100962263,5071,141308,100962263
"44","OVERLAKE HOSPITAL MEDICAL CENTER","GENERAL ACUTE CARE","1035 116TH AVE NE","","BELLEVUE","WA",98004,"KING",47.620491353,-122.187175153,286,32,349,0.611764,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",10098004,4030,NA,10098004
"45","DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER","PSYCHIATRIC","85 EAST NEWTON ST","","BOSTON","MA",2118,"SUFFOLK",42.336267126,-71.0706904199999,60,0,60,0.96,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10102118,5895,224040,10102118
"46","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","GENERAL ACUTE CARE","865 STONE STREET","","RAHWAY","NJ",7065,"UNION",40.6128524540001,-74.2910508579999,122,15,251,0.56,NA,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10107065,2527,310024,10107065
"47","NYACK HOSPITAL","GENERAL ACUTE CARE","160 N MIDLAND AVE","","NYACK","NY",10960,"ROCKLAND",41.0962114710001,-73.926018132,209,NA,391,0.74,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10110960,2694,330104,10110960
"48","MONONGAHELA VALLEY HOSPITAL","GENERAL ACUTE CARE","1163 COUNTRY CLUB ROAD","","MONONGAHELA","PA",15063,"WASHINGTON",40.182206,-79.911216001,132,16,200,0.51,0.75,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10115063,3334,390147,10115063
"49","HENRICO DOCTORS' HOSPITAL","GENERAL ACUTE CARE","1602 SKIPWITH ROAD","","RICHMOND","VA",23229,"HENRICO",37.6043794180001,-77.539885666,685,53,767,0.44,0.17,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10123229,3940,490118,10123229
"50","GOOD SAMARITAN REGIONAL HEALTH CENTER","GENERAL ACUTE CARE","1 GOOD SAMARITAN WAY","","MT. VERNON","IL",62864,"JEFFERSON",38.2974176980001,-88.938580385,124,15,134,0.62,0.43,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",101262864,1105,140046,101262864
"51","SCOTLAND MEMORIAL HOSPITAL AND EDWIN MORGAN CENTER","GENERAL ACUTE CARE","500 LAUCHWOOD DRIVE","","LAURINBURG","NC",28352,"SCOTLAND",34.7531691790001,-79.4698014109999,97,8,104,0.57,0.51,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10128352,2825,340008,10128352
"52","FAIRFIELD MEMORIAL HOSPITAL","CRITICAL ACCESS","102 US HWY 321 BYP N","","WINNSBORO","SC",29180,"FAIRFIELD",34.372650493,-81.099114856,25,0,25,0.00186301369863014,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HIFLD-BEDS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10129180,NA,421302,10129180
"53","PERRY HOSPITAL","GENERAL ACUTE CARE","1120 MORNINGSIDE DRIVE","","PERRY","GA",31069,"HOUSTON",32.459623235,-83.710025518,39,4,39,0.48,0.54,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10131069,938,110153,10131069
"54","PROVIDENCE HOSPITAL","GENERAL ACUTE CARE","6801 AIRPORT BOULEVARD","","MOBILE","AL",36685,"MOBILE",30.6793276570001,-88.199079374,349,53,349,0.56,0.65,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10136685,79,10090,10136685
"55","UNICOI COUNTY MEMORIAL HOSPITAL","GENERAL ACUTE CARE","100 GREENWAY CIRCLE","","ERWIN","TN",37650,"UNICOI",36.1336207190001,-82.413051583,NA,NA,83,NA,NA,"None","None","HIFLD-BEDS","None","None",10137650,NA,NA,10137650
"56","NORTH OAK REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","401 GETWELL DRIVE","","SENATOBIA","MS",38668,"TATE",34.624619728,-89.95627268,NA,NA,76,NA,NA,"None","None","HIFLD-BEDS","None","None",10138668,NA,NA,10138668
"57","BROOKS MEMORIAL HOSPITAL","GENERAL ACUTE CARE","529 CENTRAL AVE","","DUNKIRK","NY",14048,"CHAUTAUQUA",42.479945141,-79.334594602,45,3,65,0.62,1.11,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1014048,2584,330229,1014048
"58","ST. ELIZABETH FT. THOMAS","GENERAL ACUTE CARE","85 NORTH GRAND AVENUE","","FT. THOMAS","KY",41075,"CAMPBELL",39.078660723,-84.4676775069999,123,21,178,0.68,0.45,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10141075,1539,180001,10141075
"59","UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER","GENERAL ACUTE CARE","3999 RICHMOND ROAD","","BEACHWOOD","OH",44122,"CUYAHOGA",41.452198872,-81.4946935689999,137,20,144,0.68,0.51,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10144122,5606,360359,10144122
"60","OPTIONS BEHAVIORAL HEALTH SYSTEM","PSYCHIATRIC","5602 CAITO DRIVE","","INDIANAPOLIS","IN",46226,"MARION",39.855761569,-86.04373859,66,0,66,0.648316386064344,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10146226,6047,154057,10146226
"61","BEAUMONT HOSPITAL FARMINGTON HILLS","GENERAL ACUTE CARE","28050 GRAND RIVER AVENUE","","FARMINGTON HILLS","MI",48336,"OAKLAND",42.446340031,-83.32365014,256,24,305,0.62,0.62,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10148336,1922,230151,10148336
"62","SELECT SPECIALTY HOSPITAL MCKEESPORT","LONG TERM CARE","1500 FIFTH AVENUE  6 CRAWFORD","Crawford Bldg 6th Fl","MCKEESPORT","PA",15132,"ALLEGHENY",40.350576561,-79.849277479,30,NA,30,0.6649315,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",1015132,5545,NA,1015132
"63","GENESIS MEDICAL CENTER-DAVENPORT","GENERAL ACUTE CARE","1227 EAST RUSHOLME STREET","","DAVENPORT","IA",52803,"SCOTT",41.5421679670001,-90.5572574009999,295,29,502,0.56,0.44,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10152803,1398,160033,10152803
"64","ARMC BEHAVIORAL HEALTH CENTER","PSYCHIATRIC","230 DERONDA STREET","","AMERY","WI",54001,"POLK",45.3024484160001,-92.36616471,NA,NA,10,NA,NA,"None","None","HIFLD-BEDS","None","None",10154001,NA,NA,10154001
"65","MENDOTA COMMUNITY HOSPITAL","CRITICAL ACCESS","1401 EAST 12TH STREET","","MENDOTA","IL",61342,"LA SALLE",41.5530529050001,-89.0878077529999,25,4,25,0.26,0.02,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",101561342,1124,141310,101561342
"66","SANFORD CANBY MEDICAL CENTER","CRITICAL ACCESS","112 ST OLAF AVENUE SOUTH","","CANBY","MN",56220,"YELLOW MEDICINE",44.707821532,-96.278447991,22,NA,25,0.17,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10156220,2097,241347,10156220
"67","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","GENERAL ACUTE CARE","4440 W 95TH STREET","","OAK LAWN","IL",60453,"COOK",41.721694517,-87.732442245,706,123,788,0.88,0.74,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10160453,1044,140208,10160453
"68","ST. LUKE'S NORTHLAND HOSPITAL - BARRY ROAD","GENERAL ACUTE CARE","5830 NW  BARRY ROAD","","KANSAS CITY","MO",64154,"PLATTE",39.2489889940001,-94.648329066,118,NA,118,0.67,NA,"HCRIS-Total Staffed Beds","None","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","None",10164154,2245,260062,10164154
"69","OSBORNE COUNTY MEMORIAL HOSPITAL","GENERAL ACUTE CARE","424 W NEW HAMPSHIRE","","OSBORNE","KS",67473,"OSBORNE",39.437175946,-98.70148391,24,NA,25,0.16,NA,"HCRIS-Total Staffed Beds","None","HIFLD-BEDS","HCRIS-Total Bed Occupancy Rate","None",10167473,NA,171364,10167473
"70","SELECT SPECIALTY HOSPITAL - OMAHA (CENTRAL CAMPUS)","GENERAL ACUTE CARE","1870 SOUTH 75TH STREET","","OMAHA","NE",68124,"DOUGLAS",41.240845977,-96.0302073709999,52,0,52,0.553424657534247,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10168124,5282,282001,10168124
"71","LOUISIANA HEART HOSPITAL","SPECIAL","64030 HIGHWAY 434","","LACOMBE","LA",70445,"ST. TAMMANY",30.3575605610001,-89.915439509,137,58,137,0.259538,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",10170445,1697,NA,10170445
"72","WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS","GENERAL ACUTE CARE","3214 EAST RACE AVENUE","","SEARCY","AR",72143,"WHITE",35.2518860440001,-91.697001131,205,13,245,0.68,0.7,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",10172143,261,40014,10172143
"73","ATOKA COUNTY MEDICAL CENTER","CRITICAL ACCESS","1200 W LIBERTY RD","","ATOKA","OK",74525,"ATOKA",34.3925323,-96.15144054,25,NA,25,0.3,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",10174525,3020,371300,10174525
"74","DIMMIT COUNTY MEMORIAL HOSPITAL","GENERAL ACUTE CARE","704 HOSPITAL DRIVE","","CARRIZO SPRINGS","TX",78834,"DIMMIT",28.519234709,-99.863397556,25,NA,25,0.206,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",10178834,3646,NA,10178834
