Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID
Oakmont Center,,,2008 21st Street Ensley,,,Birmingham,AL,35218,(205)787-7100,,,SA/TX/OP/SF/MD/,7561AL35218
Tri County Treatment Center,,,1101 East Park Drive,,,Birmingham,AL,35235,(205)836-3345,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,5975AL35235
University of Alabama at Birmingham,(UAB)/Substance Abuse Programs,,401 Beacon Parkway West,Suite 270,,Birmingham,AL,35209,(205)917-3784 Intake: (205)917-3733x104,,,SA/TX/MM/OP/AD/WN/SF/MD/SI/PI/MI/AH/,2236AL35209
University of Alabama at Birmingham,Center for Psychiatric Medicine,,1713 6th Avenue South,,,Birmingham,AL,35294,(205)934-7008 Intakes: (205)975-7350 (205)975-7352,www.main.uab.edu,,MH/TX/DT/HI/RS/OP/PH/SF/MD/MC/PI/,9819AL35294
Bradford Health Services,,,703 Medical Center Parkway,,,Boaz,AL,35957,(256)593-9152 Intake: (888)265-2373 Hotlines: (256)593-9152 (800)265-2373,www.bradfordhealth.com/contact_us/,locations.html,SA/TX/OP/AD/SF/PI/,6889AL35957
Indian Rivers Mental Health Center,Substance Abuse Intensive/Outpatient,,Highway 17,,,Carrollton,AL,35447,(205)367-8159 Intake: (205)562-3700x104 Hotlines: (205)345-1600 (800)264-1660,,,MH/TX/OP/SF/MD/MC/SI/PI/MI/SS/AH/,4144AL35447
Bridge Inc,Recovery Center for Teens/Cullman,,402 Arnold Street NE,Suite 104,,Cullman,AL,35055,(256)775-8301,www.bridgeinc.org,,SA/TX/OP/AD/CJ/SF/MD/SI/PI/MI/SS/PA/AH/,9928AL35055
Cullman County Treatment Center,,,1912 Commerce Avenue,,,Cullman,AL,35055,(256)739-5595,,Methadone Clients Only,SA/TX/DT/MM/OP/PW/SF/,8238AL35055
Lighthouse Inc,,,925 Convent Road NE,,,Cullman,AL,35055,(256)739-2777,www.geocities.com/lighthouse_cullman,,SA/TX/HH/RL/MN/SF/SS/,1631AL35055
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,4110 U.S. Highway 31 South,,,Decatur,AL,35603,(256)353-9116 Intakes: (256)355-5904 (800)365-6008 Hotline: (256)355-6091,www.mhcnca.org,,SA/TX/OP/PW/WN/SF/MD/MC/SI/PI/SS/AH/,3688AL35603
Bradford Health Services,Dothan Outreach,,114 Adris Place,,,Dothan,AL,36303,(334)671-1677 Hotline: (334)671-1677,www.bradfordhealth.com,,SA/TX/OP/PH/AD/DU/CJ/SF/SI/PI/MI/,2355AL36303
Spectra Care,The Haven,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Intake: (334)794-3771x21 Hotline: (334)794-0300,,,SA/TX/RS/SF/MD/SI/SS/,2574AL36303
Baldwin County Mental Health Center,Rapport,,372 South Greeno Road,,,Fairhope,AL,36532,(251)990-8961 Intakes: (251)990-4234 (258)872-8223 Hotline: (251)928-9500,,,SA/TX/OP/SF/MD/MC/,3813AL36532
Bradford Health Services,Florence Outreach,,1626-A Florence Boulevard,,,Florence,AL,35630,(256)760-0200 Intake: (866)888-8091,www.bradfordhealth.org,,SA/TX/OP/AD/SF/SI/PI/,1140AL35630
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431x205 Intake: (256)764-3431 Hotline: (256)764-3431,www.rcmh.org,,MH-SA/TX/OP/AD/CO/CJ/SF/MD/MC/SI/PI/MI/AH/,6282AL35630
Bridge Inc,Recovery Center for Teens/Fort Payne,,100 7th Street NE,,,Fort Payne,AL,35967,(256)845-7767 Intake: (256)845-6220,www.bridgeinc.org,,SA/TX/OP/SF/MD/SS/PA/AH/,0827AL35967
Family Life Center,,,300 Gault Avenue South,,,Fort Payne,AL,35967,(256)997-9356 Intake: (256)844-2006,www.familylifecenter.ws,,SA/TX/OP/AD/CO/SF/MC/PI/MI/,6512AL35967
Army Substance Abuse Program,,,6th Avenue,Building 132,,Fort Rucker,AL,36362,(334)255-1040,,,SA/TX/OP/DU/PA/AH/,5029AL36362
Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324,www.bridgeinc.org,,SA/TX/RL/AD/CO/CJ/SF/MD/SI/PI/MI/PA/AH/,4793AL35904
Gadsden Treatment Center Inc,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807,www.bitchandgripe.com/Wisconsin.htm,Methadone Clients Only,SA/TX/MM/OP/PW/WN/MN/SF/PI/,5972AL35901
Mountain View Deferred Prosecution,Prosecution Program/Gadsden,,301 North 12th Street,Suites 1-3,,Gadsden,AL,35901,(256)546-9265 Intakes: (256)546-9265x600 (256)546- 9265x608 Hotline: (800)662-1002,www.mtnviewhospital.com,,SA/TX/OP/CJ/SF/AH/,3230AL35901
Mountain View Hospital,,,3001 Scenic Highway,,,Gadsden,AL,35904,(800)245-3645 Intakes: (800)662-2760 (256)546-9265 Hotlines: (800)662-2760 (256)546-9265,www.mtnviewhospital.com,,MH/TX/DT/HI/OP/PH/CO/SE/SF/MC/PI/MI/AH/,0297AL35904
Mountain View Outpatient Program,Chemical Dependency,,3001 Scenic Highway,,,Gadsden,AL,35904,(256)546-9265 Intakes: (256)546-9265x210 (256)546- 9265x211 Hotline: (800)662-1002,www.mtnviewhospital.com,,SA/TX/OP/SF/SI/PI/MI/AH/,4722AL35904
Mountain View Partial Hospitalization,Program,,3001 Scenic Highway,,,Gadsden,AL,35904,(256)546-9265 Intakes: (256)546-9265x268 (256)546- 9265x276 Hotline: (800)662-1002,www.mtnviewhospital.com,,MH/TX/PH/CO/SE/WN/MN/SF/MC/SI/PI/MI/AH/,6097AL35904
Gulf Coast Treatment,,,Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,,Methadone Clients Only,SA/TX/MM/OP/HV/PW/WN/SF/AH/,3666AL36541
Cedar Lodge,A Program of MLBH,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465x104 Intakes: (256)582-4465 (256)582-4452 Hotlines: (256)582-4465 (256)582-5339,www.mlbhc.com,,SA/TX/RS/OP/SF/MD/SI/PI/SS/,4693AL35976
Family Life Center,,,432 Gunter Avenue,,,Guntersville,AL,35976,(256)582-1471 Hotline: (256)582-1471,www.familylifecenter.ws,,SA/TX/OP/DU/SF/PI/SS/,0861AL35976
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,,Methadone Clients Only,SA/TX/MM/OP/PW/WN/MN/SF/PI/AH/SP/,9564AL35570
Crestwood Medical Center of Huntsville,Behavioral Services,,1 Hospital Drive,,,Huntsville,AL,35801,(256)880-4260 Intake: (256)880-4280,www.crestwoodmedcenter.com,,MH-SA/DT/HI/SF/MD/MC/SI/PI/MI/AH/,5922AL35801
Huntsville Madison County MH Center,New Horizons Recovery Center,,600 Saint Clair Street,Number 9 Suite 23,,Huntsville,AL,35801,(256)532-4141 Intake: (256)533-1970 Hotline: (256)533-1970,www.mhcmc.org,,SA/TX/OP/SF/MD/MC/SI/PI/PA/AH/SP/,2279AL35801
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,7183AL35805
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,www.Thepathfinder.us,,HH/,6750AL35805
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,(205)302-9000x9017 Intake: (205)302-9000 Hotlines: (800)489-3971 (205)302-9000,www.nwamhc.com,,MH-SA/TX/OP/AD/CO/DU/SF/MD/MC/SI/PI/MI/SS/AH/,3770AL35501
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799 Intake: (205)221-1796,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/CJ/SF/PI/,7802AL35504
Metro Treatment of Alabama LP,Sumter County Treatment Center,,106 Hospital Road,Suite 101,,Livingston,AL,35470,(205)652-4919,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,1037AL35470
First Step,Substance Abuse Treatment,,150 Hospital Drive,P. O. Drawer 700,,Luverne,AL,36049,(334)335-6294x225 Intake: (334)335-6294 Hotline: (334)222-7794,,,SA/TX/RS/OP/DU/SF/MD/MC/PI/MI/SS/AH/,9144AL36049
Bradford Health Services,Huntsville Madison Inpt and Outpt,,1600 Browns Ferry Road,,,Madison,AL,35758,(800)879-7272 Intake: (256)461-7272,www.bradfordhealth.com,,SA/TX/DT/HI/RS/PH/AD/SF/PI/MI/,0066AL35758
Bradford Health Services,Mobile Regional Facility,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906 Intake: (251)633-0900 Hotlines: (251)633-0900 (800)333-0906,www.bradfordhealth.com,,SA/TX/OP/AD/WN/MN/SF/SI/PI/AH/,7138AL36695
Bridge Inc,Mobile Campus/Westwood Program,,3401 Newman Road,,,Mobile,AL,36695,(251)633-0475 Intake: (251)633-0475x1028,www.bridgeinc.org,,SA/TX/RL/AD/SF/MD/SI/PI/MI/,2144AL36695
Bridge Inc,Recovery Center for Teens/Mobile,,1874 Pleasant Avenue,,,Mobile,AL,36617,(251)470-1318x615 Intakes: (251)470-1319 (251)470-1318,www.bridgeinc.org,,SA/TX/OP/AD/SF/MD/SI/PI/PA/,0665AL36617
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(251)438-4729x149 Intakes: (251)438-4729x135 (251)438- 1625x135,www.salvos.com/mobile,,SA/TX/HH/RS/RL/SF/SS/,0089AL36604
ECD Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(251)476-1677 Intake: (251)476-1683 Hotline: (256)476-1677,,Methadone Clients Only,SA/TX/DT/MM/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/AH/,5052AL36607
Franklin Primary Health Center,,,1055 Dauphin Street,,,Mobile,AL,36604,(251)434-8195,,,SA/TX/OP/WN/SF/AH/,7490AL36604
Mobile Mental Health,Oasis,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569,www.mobilementalhealth.com,,SA/TX/MM/OP/PH/WN/CJ/SF/MD/MC/PI/MI/AH/,0537AL36693
Mobile Metro Treatment Center,,,3367 Dauphin Island Parkway,,,Mobile,AL,36605,(251)476-5733,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,6522AL36605
Bradford Health Services,Montgomery Outreach/Montgomery,,386 Saint Lukes Drive,,,Montgomery,AL,36117,(800)873-2887 Intake: (334)244-0702 Hotlines: (800)873-2887 (334)244-0702,www.bradfordhealth.com,,SA/TX/OP/AD/SF/SI/PI/MI/,0103AL36117
Chemical Addictions Program Inc (CAP),,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)269-2150,www.capmgm.com,,SA/TX/OP/PH/AD/WN/MN/SF/MD/SI/PI/SS/,8270AL36108
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,1415 East South Boulevard,,,Montgomery,AL,36116,(334)286-5980x222 Intakes: (334)286-5980x221 (334)286- 5980x225,www.lighthousehelp.com,,SA/TX/OP/CO/PW/WN/SF/MD/MC/SI/PI/SS/AH/,7532AL36116
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,1386AL36105
Treatment Centers Inc,DBA Shoals Treatment Center,,520 Louise Avenue,,,Muscle Shoals,AL,35661,(256)383-6646 Intake: (256)549-0807,,Methadone Clients Only,SA/TX/MM/OP/HV/PW/WN/MN/SF/PI/SP/F27/F29/F65/F69/,6581AL35661
Bradford Health Services,Tuscaloosa Regional Office,,515 Energy Center Boulevard,,,Northport,AL,35473,(800)891-9673 Intake: (205)750-0227 Hotlines: (800)891-9673 (205)750-0227,www.bradfordhealth.com,,SA/TX/OP/PH/AD/SF/SI/PI/MI/AH/,8334AL35473
Calhoun Treatment Center Inc,,,118 East Choccolocco Street,,,Oxford,AL,36203,(256)831-4601,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/SF/PI/,1510AL36203
East Alabama MH/MR Center,Russell County Clinic,,2400 10th Street,,,Phenix City,AL,36869,(334)298-2405 Intakes: (800)815-0630 (334)742-2877 Hotlines: (800)815-0630 (334)742-2877,,,MH-SA/TX/OP/CO/CJ/SF/MD/SI/PI/SS/PA/AH/,2279AL36869
New Choices Inc,,,136 East Main Street,,,Roanoke,AL,36274,(334)863-2333,,,SA/TX/OP/SF/,3241AL36274
Freedom House,,,15132 Highway 72,,,Rogersville,AL,35652,(256)247-1222 Intake: (256)247-1224 Hotline: (256)247-1222,,,SA/TX/HH/RL/OP/PH/PW/WN/BC/SF/MD/,9187AL35652
Freedom House,Adult Outpatient Services,,111 South Jackson Avenue,,,Russellville,AL,35653,(256)332-1230 Intake: (256)247-1222 Hotline: (256)247-1222,,,SA/TX/OP/CO/PW/WN/CJ/SF/MD/SS/PA/,4804AL35653
Cahaba Ctr for Substance Abuse Servs,,,912 Jeff Davis Avenue,,,Selma,AL,36701,(334)874-2600 Intake: (334)875-2100 Hotlines: (334)875-2109 (800)291-1920,,,SA/TX/OP/AD/PW/SF/MD/SI/PI/MI/SS/PA/AH/,8667AL36701
Shoulder,,,4901 Battleship Parkway,,,Spanish Fort,AL,36577,(251)626-2199,www.theshoulder.org,,SA/TX/HH/RL/SF/PI/SS/PA/,7833AL36577
Cheaha Regional Mental Health,,,1723 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)245-2201 Intake: (256)249-2395 Hotline: (256)245-2201,,,MH/TX/OP/SF/MD/SI/AH/,7409AL35150
Cheaha Regional Mental Health/Caradale,Lodge/Mental Retardation Board Inc,,1721 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)249-2395 Hotline: (256)245-2201,,,SA/TX/DT/RS/OP/HV/DU/SF/MD/SI/AH/,8022AL35150
East Central Mental Health Inc,Substance Abuse Program,,200 Cherry Street,,,Troy,AL,36081,(334)566-6022x242 Intake: (334)566-6022x220 Hotlines: (334)566-3391 (800)467-1208,,,MH-SA/TX/OP/AD/SF/MD/SI/PI/,3476AL36081
Bridge Inc,Recovery Center for Teens/Tuscaloosa,,6001 12th Avenue East,,,Tuscaloosa,AL,35405,(205)344-6483 Intake: (205)345-4340x258,www.bridgeinc.org,,SA/TX/OP/AD/CO/CJ/MD/SI/PI/MI/SS/PA/,9807AL35405
Indian Rivers Mental Health Center,Alcohol and Drug Abuse Program,The Insight Center,3532 23rd Street,,,Tuscaloosa,AL,35401,(205)391-0132,,,SA/TX/RS/OP/PH/CO/PW/WN/SF/MD/MC/PI/MI/SS/AH/,5761AL35401
Phoenix House Inc,,,700 35th Avenue,,,Tuscaloosa,AL,35401,(205)758-3867,,,SA/TX/HH/RL/HV/WN/MN/SF/SS/PA/,5617AL35401
Tuscaloosa Treatment Center,,,1001 Mimosa Park Road,,,Tuscaloosa,AL,35405,(205)752-5857 Hotline: (205)752-5857,,Methadone Clients Only,SA/TX/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/PI/MI/,5796AL35405
Veterans Affairs Medical Center,MAPS/MI Addiction PTSD Services,,3701 Loop Road East,,,Tuscaloosa,AL,35404,(205)554-2000x2690 Intake: (205)554-2000x3158,www.vaww.visn7.med.ua.gov,,SA/TX/RS/OP/PH/CO/SE/SF/MC/PI/MI/AH/,3248AL35404
VA Central Alabama Healthcare System,,,2400 Hospital Road,,,Tuskegee,AL,36083,(334)727-0550 Intakes: (334)727-0550x2678 (334)727- 0550x3838,,www1.va.gov/directory,GH/TX/RS/OP/CO/SF/PI/MI/PA/,3987AL36083
Bradford Health Services,Warrior Lodge/Jefferson,,1189 Allbritton Road,,,Warrior,AL,35180,(800)333-1865 Intakes: (800)333-1865x2400 (205)647-1945 Hotlines: (800)333-1865x2400 (205)647- 1945x2400,www.bradfordhealth.com,,SA/TX/DT/RS/RL/SF/PI/MI/,4757AL35180
A New Direction,c/o Elmore Community Hospital,,500 Hospital Drive,,,Wetumpka,AL,36092,(877)647-7552 Intake: (334)514-3709,,,SA/TX/DT/HI/CO/WN/MN/SF/MD/MC/PI/MI/,5647AL36092
Chemical Addictions Program Inc,Hillside MH Ctr/Adult Outpatient Servs,,8721 Highway 231 North,,,Wetumpka,AL,36092,(334)269-2150,,,SA/TX/OP/SF/MD/SI/PI/SS/,4130AL36092
TCC Allakaket Counseling Center,P.O. Box 89,,,,,Allakaket,AK,99720,(907)968-2210,,,MH-SA/TX/OP/PA/,2236AK99720
Akeela Inc,Akeela House,,2804 Bering Street,,,Anchorage,AK,99503,(907)562-4409 Intake: (907)562-4416,www.akeela.org,,SA/TX/HH/RL/HV/GL/SE/PW/WN/SF/PI/,3898AK99503
Alaska VA Healthcare Sys/Reg Office,Social and Behavioral Health Service,,2925 DeBarr Road,,,Anchorage,AK,99508,(907)257-4854 Intake: (907)257-4855,www.vaww.visn20.med.va.gov/anchorage,,MH-SA/TX/DT/OP/PW/WN/DU/SF/MD/MC/SI/PI/MI/,2448AK99508
Alaska Womens Resource Center,,,610 C Street,Suite 2-A,,Anchorage,AK,99501,(907)276-0528,www.awrconline.org,,MH-SA/TX/OP/CO/WN/SF/MD/PI/MI/SS/AH/,8970AK99501
Alaska Womens Resource Center,,,611 West 47th Street,,,Anchorage,AK,99501,(907)276-0528 Intake: (907)569-0097,www.awrconline.org,,MH-SA/TX/RS/RL/OP/PH/WN/BC/SF/MD/SI/PI/MI/SS/AH/SP/,0713AK99501
Cook Inlet Tribal Council Inc,Ernie Turner Center,,4330 South Bragaw Street,,,Anchorage,AK,99508,(907)550-2400,www.citci.com,,SA/TX/DT/HI/RL/HV/SE/SF/PI/N3/N34/N40/,0253AK99508
Genesis Recovery Services Inc,,,2825 West 42nd Avenue,,,Anchorage,AK,99517,(907)243-5130,,,SA/TX/HH/RS/RL/OP/PH/HV/GL/WN/MN/DU/CJ/SF/PI/SS/,1390AK99517
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501,(907)276-6430,www.ndtc.ak.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/WN/MN/CJ/SF/MD/PI/SS/PA/AH/,9067AK99501
Providence Alaska Medical Center,Providence Breakthrough,,2401 East 42nd Avenue,Suite 103,,Anchorage,AK,99508,(907)562-7325 Intakes: (907)562-1925 (800)478-0615,www.providence.org/alaska,,SA/TX/OP/PH/CO/HV/GL/SE/PW/WN/MN/CJ/SF/SI/PI/MI/,7195AK99508
Recovery Connection LLC,,,500 Muldoon Road,Suite 9,,Anchorage,AK,99504,(907)332-7660,,,SA/TX/DT/OP/DU/SF/SI/PI/MI/,0665AK99504
Salvation Army,Clitheroe Center,,1709 South Bragaw Street,Suite B,,Anchorage,AK,99508,(907)276-2898 Intake: (877)376-2898,www.salvationarmy.org/clitheroe,,SA/TX/OP/CO/WN/MN/SF/MD/PI/MI/SS/AH/SP/,2981AK99508
Southcentral Foundation,Dena A Coy,,4130 San Ernesto Avenue,,,Anchorage,AK,99508,(907)729-5070x5073 Intakes: (907)729-5070 (907)729-6300,www.southcentralfoundation.org,,SA/TX/RS/RL/CO/PW/WN/BC/SF/MD/SI/PI/MI/SS/AH/N3/N15/N40/,2120AK99508
Starting Point,,,341 West Tudor Road,,,Anchorage,AK,99503,(907)562-6116,,,SA/TX/OP/DU/SF/PI/,3648AK99503
Volunteers of America Alaska,Assist,,1675 C Street,Suite 201,,Anchorage,AK,99501,(907)279-9634,www.voaak.org,,SA/TX/OP/DU/SF/MD/SI/PI/MI/SS/,0456AK99501
Yukon/Kuskokwim Health Corporation,Phillips Ayagnirvik Treatment Center,,324 Radio Street,,,Bethel,AK,99559,(907)543-6735 Intake: (800)478-2642 Hotlines: (907)543-6730 (800)478-2642x6730,www.ykhc.org,,MH-SA/TX/DT/RS/RL/OP/PH/AD/CO/WN/MN/DU/CJ/SF/MD/MC/PI/MI/SS/PA/AH/N40/,7001AK99559
Copper River Native Association,Behavioral Health Sciences Department,Substance Abuse and Mental Health Serv,Mile 104 Old Richardson Highway,,,Copper Center,AK,99573,(907)822-5241 Intakes: (907)822-5241x243 (907)822- 5241x257,www.crnative.org,DWI/DUI Clients Only,MH-SA/TX/RL/OP/CO/GL/SE/PW/WN/MN/DU/SF/MD/SI/PI/SS/PA/,1424AK99573
Sound Alternatives,Cordova Community Medical Center,,602 Chase Avenue,,,Cordova,AK,99574,(907)424-8300x245 Intake: (907)424-8300 Hotline: (907)424-8000,,,MH-SA/TX/OP/AD/CO/SF/MD/MC/PI/MI/,8108AK99574
Volunteers of America Alaska,,,7958 Stewart Mountain Drive,,,Eagle River,AK,99577,(907)694-3336 Intake: (907)279-9636,www.voaak.org,,SA/TX/RL/AD/SF/MD/SI/PI/MI/SS/,4565AK99577
Graf Rheeneenhaanjii,Substance Abuse Services,,2550 Lawlor Road,,,Fairbanks,AK,99709,(907)455-4725,,,SA/TX/RL/AD/CO/SF/MD/MC/SI/PI/MI/SS/PA/AH/,7454AK99709
Project Special Delivery,,,710 3rd Avenue,,,Fairbanks,AK,99701,(907)452-4222,www.interioraids.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/PI/SS/,3645AK99701
Ralph Perdue Center,,,3100 South Cushman Street,,,Fairbanks,AK,99701,(907)452-6251x211 Intakes: (907)452-6251x0 (866)456-2432,www.fairbanksnative.org,,MH-SA/TX/DT/RS/RL/OP/PH/CO/DU/SF/MD/MC/SI/PI/MI/SS/AH/,1284AK99701
Tanana Chiefs Conference Inc,Old Minto Family Recovery Camp,,122 1st Avenue,Suite 600,,Fairbanks,AK,99701,(907)452-8251,,,SA/TX/RL/BC/MD/MC/SI/,2119AK99701
Tanana Chiefs Conference Inc,Yukon Tanana Counseling Services,,1302 21st Avenue,,,Fairbanks,AK,99701,(907)452-8251x3460 Intake: (907)452-8251,,,MH-SA/TX/OP/PA/,9069AK99701
Womens and Children Center for,Inner Healing,,1027 Evergreen Street,,,Fairbanks,AK,99709,(907)451-8164 Intake: (866)456-2432,www.fairbanksnative.org,,SA/TX/RL/PW/WN/BC/SF/MD/AH/,1234AK99709
ASAP Counseling Center,,,600 Richardson Drive,,,Fort Richardson,AK,99505,(907)384-7368,www.usarak.army.mil/asap,,SA/TX/OP/MN/DU/PA/,8496AK99505
Fort Wainwright Community Counseling,Center/U.S. Army MEDDAC-AK,,1060 Gaffney Road Suite 6600,MCUC/CCC Building 1064,,Fort Wainwright,AK,99703,(907)353-6059 Intake: (907)353-7887,www.alaska.amedd.army.mil/meddac.htm,DWI/DUI Clients Only,SA/TX/DT/OP/CO/DU/MI/N40/,0789AK99703
Gastineau Human Services,,,5597 Aisek Street,,,Juneau,AK,99801,(907)780-3039 Intake: (907)780-3044,www.ghscorp.org,,SA/TX/HH/OP/PW/WN/MN/SF/SS/AH/,3095AK99801
Juneau Recovery Hospital,Bartlett Regional Hospital,,3250 Hospital Drive,,,Juneau,AK,99801,(907)796-8690,www.bartletthospital.org,,SA/TX/DT/DM/HI/OP/PH/CO/WN/MN/SF/MD/SI/PI/SS/AH/,7038AK99801
Juneau Youth Services,Chemical Dependency Program,P.O. Box 32839,,,,Juneau,AK,99803,(907)796-4131 Intake: (907)789-4733,www.jys.org,,MH-SA/TX/OP/AD/SF/MD/PI/MI/SS/AH/,9377AK99803
Cook Inlet Council on,Alcohol and Drug Abuse (CICADA),,10200 Kenai Spur Highway,,,Kenai,AK,99611,(907)283-3658,,,SA/TX/OP/AD/CO/WN/MN/DU/SF/MD/SI/PI/,9619AK99611
Kenaitze Indian Tribe,Nakenu Family,,110 North Willow Street,,,Kenai,AK,99611,(907)283-6693x3 Intake: (907)283-6693,,,MH-SA/TX/OP/AD/CO/WN/SF/MD/SI/PI/MI/,0416AK99611
Recovery Connection LLC,,,502-A Overland Avenue,,,Kenai,AK,99611,(907)335-5660,,,SA/TX/OP/AD/CO/DU/CJ/SF/PI/,4861AK99611
Gateway Center for Human Services,Substance Abuse Services Division,,3050 5th Avenue,,,Ketchikan,AK,99901,(907)225-4135 Intake: (907)225-4135x200 Hotline: (907)228-2502,www.city.ketchikan.ak.us,,MH-SA/TX/DT/RS/RL/OP/DU/CJ/SF/MD/MC/SI/PI/MI/SS/PA/,3192AK99901
Ketchikan Indian Community,,,2960 Tongass Avenue,,,Ketchikan,AK,99901,(907)228-4917,www.kictribe.org,,GH/TX/OP/AD/WN/DU/PA/AH/,1046AK99901
