"YFips","Year","Fips","State","CountyName","TtlJlPpr","FmlJlPpr","MlJlPpr","AapiJlPpr","BlckJlPpr","LtnxJlPpr","NtvJlPpr","WhtJlPpr","TtlJlAdmr","TtlJlPrtr"
201702060,2017,"02060","AK","Bristol Bay Borough",970.87,699.3,602.41,0,0,0,1992.03,327.87,58899.68,809.06
201702068,2017,"02068","AK","Denali Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702070,2017,"02070","AK","Dillingham Census Area",63.37,0,0,0,0,0,0,158.73,0,31.69
201702090,2017,"02090","AK","Fairbanks North Star Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702100,2017,"02100","AK","Haines Borough",306.56,0,372.21,0,4000,1063.49,330.05,453.86,44635.19,183.94
201702105,2017,"02105","AK","Hoonah-Angoon Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702110,2017,"02110","AK","Juneau City and Borough",67.39,NA,NA,37.35,0,0,310.45,4.82,NA,40.43
201702122,2017,"02122","AK","Kenai Peninsula Borough",50.23,11.1,65.63,112.99,351.42,62.66,168.63,41.41,2199.72,34.37
201702130,2017,"02130","AK","Ketchikan Gateway Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702150,2017,"02150","AK","Kodiak Island Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702158,2017,"02158","AK","Kusilvak Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702164,2017,"02164","AK","Lake and Peninsula Borough",946.97,201.61,1071.43,0,0,0,292.83,105.45,34469.7,189.39
201702170,2017,"02170","AK","Matanuska-Susitna Borough",4.26,0,8.13,0,0,0,53.79,8.54,1551.69,8.53
201702180,2017,"02180","AK","Nome Census Area",16.01,0,120.05,0,0,0,63.53,245.5,12485.99,64.03
201702185,2017,"02185","AK","North Slope Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702188,2017,"02188","AK","Northwest Arctic Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702195,2017,"02195","AK","Petersburg Census Area",288.46,102.67,180.83,0,0,0,0,259.91,20000,48.08
201702198,2017,"02198","AK","Prince of Wales-Hyder Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702220,2017,"02220","AK","Sitka City and Borough",120.44,35.69,265.78,206.61,0,265.96,149.55,103.33,8052.31,17.21
201702230,2017,"02230","AK","Skagway Municipality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702240,2017,"02240","AK","Southeast Fairbanks Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702261,2017,"02261","AK","Valdez-Cordova Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702275,2017,"02275","AK","Wrangell City and Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702282,2017,"02282","AK","Yakutat City and Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702290,2017,"02290","AK","Yukon-Koyukuk Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704001,2017,"04001","AZ","Apache County",174.41,44.88,534.81,862.07,887.57,499.62,44.23,445.26,2209.2,118.51
201704003,2017,"04003","AZ","Cochise County",269.82,91.48,494.95,142.93,553.74,307.26,242.13,255.14,5209.38,271.15
201704005,2017,"04005","AZ","Coconino County",457.82,114.57,745.22,62.64,775.66,221.49,973.57,284.51,12799.82,382.52
201704007,2017,"04007","AZ","Gila County",470.57,283.44,820.24,910.54,1403.51,615.23,147.14,648.26,9929.76,508.08
201704009,2017,"04009","AZ","Graham County",464.84,141.71,473.9,0,739.37,508.54,683.37,271.35,1524.35,79.57
201704011,2017,"04011","AZ","Greenlee County",428.83,491.92,497.36,0,0,248.32,0,523.01,5145.97,164.93
201704012,2017,"04012","AZ","La Paz County",1490.99,330.17,3241.9,1785.71,2649.01,2474.57,515.46,951.02,59225.51,610.89
201704013,2017,"04013","AZ","Maricopa County",273.87,83.71,468.05,35.06,815.4,128.3,697.14,304.37,3481.38,208.07
201704015,2017,"04015","AZ","Mohave County",404.31,169.46,646.73,91.99,1438.85,236.11,743.49,428.96,7347.48,356.04
201704017,2017,"04017","AZ","Navajo County",409.3,194.76,642.92,288.29,1291.99,481.21,425.08,359.99,6927.62,291.71
201704019,2017,"04019","AZ","Pima County",294.05,70.87,509.76,15.28,848.85,340.22,597.16,208.09,4787.66,257.6
201704021,2017,"04021","AZ","Pinal County",215.02,61.53,320.18,373.83,1343.06,177.72,172.08,125.2,4254.22,125.15
201704023,2017,"04023","AZ","Santa Cruz County",345.11,61.46,727.87,0,740.74,410.49,0,179.53,8140.32,298.86
201704025,2017,"04025","AZ","Yavapai County",426.23,195.76,740.15,103.95,1698.51,1205.97,2147.37,256.79,7289.13,265.8
201704027,2017,"04027","AZ","Yuma County",334.69,100.17,577.98,179.28,571.43,293.22,2704.58,407.51,5489.99,282.59
201705001,2017,"05001","AR","Arkansas County",766.8,441.62,1309,0,1736.11,964.63,0,386.55,13134.87,297.7
201705003,2017,"05003","AR","Ashley County",904.32,110.36,662.03,0,2006.27,555.56,0,488.15,2099.31,282.6
201705005,2017,"05005","AR","Baxter County",443.12,17.16,320.69,0,1680.67,0,0,358.24,1612.97,270.31
201705007,2017,"05007","AR","Benton County",348.84,145.4,579.27,154.68,572.99,225.41,130.25,404.82,9768.7,287.31
201705009,2017,"05009","AR","Boone County",408.67,35.05,290.9,0,2091.67,168.07,0,425.73,5484.03,303.2
201705011,2017,"05011","AR","Bradley County",226.96,0,278.47,0,362.88,95.15,0,27.95,10228.48,136.18
201705013,2017,"05013","AR","Calhoun County",605.88,252.68,1047.73,0,1396.65,0,0,413.39,1575.28,90.88
201705015,2017,"05015","AR","Carroll County",385.61,36.25,180.27,0,10156.25,144.77,0,539.68,12219.08,463.94
201705017,2017,"05017","AR","Chicot County",137.83,64.58,233.03,0,359.91,417.83,0,80.06,2388.97,0
201705019,2017,"05019","AR","Clark County",339.21,0,445.19,716.81,452.61,318.98,0,191.26,691.72,246.09
201705021,2017,"05021","AR","Clay County",796.64,244.55,660.79,0,4705.88,1463.41,0,885.77,12657.67,365.13
201705023,2017,"05023","AR","Cleburne County",550.02,137.59,439.74,0,2247.19,520.83,0,597.51,0,433.14
201705025,2017,"05025","AR","Cleveland County",79.27,0,119.43,0,114.33,0,0,46.13,2061.04,39.64
201705027,2017,"05027","AR","Columbia County",475.91,100.25,687.01,0,824.56,0,0,142.34,0,237.96
201705029,2017,"05029","AR","Conway County",416.96,61.69,432.97,0,193.92,196.46,0,335.85,11242.38,262.53
201705031,2017,"05031","AR","Craighead County",361.04,207.14,745.23,227.53,1402.67,943.48,0,291.1,14915.23,446.66
201705033,2017,"05033","AR","Crawford County",220.06,99.71,215.74,259.07,546.94,216.25,0,198.59,0,125.03
201705035,2017,"05035","AR","Crittenden County",697.86,220.55,1130.52,0,863.08,137.74,0,423.5,6612,533.85
201705037,2017,"05037","AR","Cross County",554.81,93.37,490.29,0,1115.09,462.96,0,540.26,994.83,353.93
201705039,2017,"05039","AR","Dallas County",2465.81,761.99,3094.17,0,2904.36,2083.33,0,1795.88,25644.47,1389.82
201705041,2017,"05041","AR","Desha County",341.25,188.88,1052,0,537.63,134.23,0,221.03,11829.94,184.84
201705043,2017,"05043","AR","Drew County",258.94,32.75,443.23,0,375.51,199.06,0,188.68,8778.82,158.7
201705045,2017,"05045","AR","Faulkner County",229.5,99.65,331.08,136.87,546.85,156.59,180.51,166.27,5044.3,92.27
201705047,2017,"05047","AR","Franklin County",333.3,54.84,479.49,1592.36,740.74,787.4,0,350.67,1873.71,189.17
201705049,2017,"05049","AR","Fulton County",202.63,0,29.22,0,0,0,0,555.97,2257.92,390.79
201705051,2017,"05051","AR","Garland County",339.24,112.1,593.89,146.13,1029.87,119.51,237.22,288.1,15788.31,176.41
201705053,2017,"05053","AR","Grant County",672.3,258.49,776,0,10344.83,3267.97,1533.33,129.32,8239.96,387.86
201705055,2017,"05055","AR","Greene County",564.26,166.79,628.45,0,1063.83,264.55,0,579.14,5977.01,442.35
201705057,2017,"05057","AR","Hempstead County",793.23,43.77,517,0,1361.21,732.15,0,613.92,20034.75,649.69
201705059,2017,"05059","AR","Hot Spring County",41.35,0,67.57,0,186.92,437.76,0,16.55,2388.94,22.97
201705061,2017,"05061","AR","Howard County",605.16,119.08,820.93,0,1084.47,200.8,0,518.33,12202.05,358.16
201705063,2017,"05063","AR","Independence County",371.76,169.55,594.52,0,1500,215.83,0,365.54,0,230.75
201705065,2017,"05065","AR","Izard County",552.96,80.34,272.48,0,0,0,0,517.72,10862.62,344.06
201705067,2017,"05067","AR","Jackson County",608.5,36.36,475.77,0,843.49,0,0,606.41,13494.41,492.17
201705069,2017,"05069","AR","Jefferson County",743.8,143.18,1335.39,0,963.46,258.7,0,468.69,8543.71,583.94
201705071,2017,"05071","AR","Johnson County",329.18,108.24,548.08,524.66,694.36,195.65,0,341.16,0,179.55
201705073,2017,"05073","AR","Lafayette County",594.95,139.86,875.06,0,558.31,950,22727.27,657.35,1237.51,356.97
201705075,2017,"05075","AR","Lawrence County",221.43,38.59,192.16,0,754.39,274.73,0,119.98,5006.26,57.76
201705077,2017,"05077","AR","Lee County",233.18,0,108.64,0,391.92,0,0,131.05,6062.62,0
201705079,2017,"05079","AR","Lincoln County",208.83,0,216.08,0,180.72,0,0,137.46,7601.55,135.74
201705081,2017,"05081","AR","Little River County",331.61,25.63,247.39,0,444.44,1798.56,0,325.5,0,39.79
201705083,2017,"05083","AR","Logan County",197.56,44.23,290.49,0,381.68,0,0,176.74,1521.91,160.97
201705085,2017,"05085","AR","Lonoke County",262.34,16.7,210.95,0,911.15,247.07,0,282,2073.54,205.67
201705087,2017,"05087","AR","Madison County",118.74,0,214.01,0,0,170.94,0,119.97,514.55,49.48
201705089,2017,"05089","AR","Marion County",32.15,21.19,195.14,0,0,0,0,134.74,10030,107.16
201705091,2017,"05091","AR","Miller County",933.94,264.19,1735.89,778.44,1861.11,879.12,1430.05,703.43,3163.24,0
201705093,2017,"05093","AR","Mississippi County",640,189.57,1246.2,0,1011.63,464.68,0,547.7,14318.14,394.42
201705095,2017,"05095","AR","Monroe County",858.78,45.33,1460.22,0,1262.92,3478.26,0,351.03,13645.04,667.94
201705097,2017,"05097","AR","Montgomery County",155.25,0,427.52,0,0,325.89,0,169.78,0,58.22
201705099,2017,"05099","AR","Nevada County",197.63,78.55,715.99,0,180.29,115.58,0,95.21,8221.34,79.05
201705101,2017,"05101","AR","Newton County",21.9,0,85.58,0,0,0,0,46.18,1138.85,21.9
201705103,2017,"05103","AR","Ouachita County",923.46,39.55,597.1,0,1859.16,906.34,0,668.98,1067.1,601.96
201705105,2017,"05105","AR","Perry County",622.28,31.25,340.77,0,4605.26,0,0,415.9,3235.84,124.46
201705107,2017,"05107","AR","Phillips County",536.62,99.98,1428.57,0,716.29,975.61,0,716.56,0,617.12
201705109,2017,"05109","AR","Pike County",358,90.77,470.73,0,3956.83,2029.91,8444.44,783.65,2326.97,626.49
201705111,2017,"05111","AR","Poinsett County",562.88,144.62,987.32,0,1280.12,239.23,0,422.83,19972.19,357.59
201705113,2017,"05113","AR","Polk County",356.63,67.37,428.08,0,0,121.36,0,457.93,15012.31,220.77
201705115,2017,"05115","AR","Pope County",393.13,105.86,487.25,168.35,1744.97,186.67,289.02,399.59,6731.23,91.09
201705117,2017,"05117","AR","Prairie County",443.91,0,945.33,0,1190.48,1222.22,0,359.63,5246.17,322.84
201705119,2017,"05119","AR","Pulaski County",410.85,120.46,781.51,42.06,713.17,313.83,98.14,273.74,8950.44,219.01
201705121,2017,"05121","AR","Randolph County",317.7,37.82,1145.18,0,724.64,471.7,0,312.56,7774.25,130.82
201705123,2017,"05123","AR","St. Francis County",411.57,223.78,772.2,0,402.96,56.29,0,327.58,44310.47,115.94
201705125,2017,"05125","AR","Saline County",241.55,28.67,77.55,0,704.23,28.91,0,209.78,2059.08,175.55
201705127,2017,"05127","AR","Scott County",47.7,195.69,465.4,420.17,3278.69,397.61,0,299.4,397.52,302.11
201705129,2017,"05129","AR","Searcy County",298.63,0,464.14,0,0,0,0,361.26,4436.86,234.64
201705131,2017,"05131","AR","Sebastian County",589.07,241.03,856.9,428.31,1525.84,257.69,380.85,514.39,17555.54,437.25
201705133,2017,"05133","AR","Sevier County",387.63,19.41,258.02,746.27,1777.78,83.4,401.61,455.51,5407.96,198.54
201705135,2017,"05135","AR","Sharp County",365.48,60.74,285.07,0,4227.64,432.9,0,268.5,9502.54,172.59
201705137,2017,"05137","AR","Stone County",251.92,84.03,671.33,0,0,671.14,0,292.87,22561.23,293.91
201705139,2017,"05139","AR","Union County",747.33,256.49,1317.41,0,1353.76,430.57,0,493.83,4224.04,479.27
201705141,2017,"05141","AR","Van Buren County",471.99,146.66,777.15,0,1597.7,3448.28,0,555,13089.99,608.35
201705143,2017,"05143","AR","Washington County",406.26,169.09,710.36,0,1556.67,378.71,422.32,418.78,8646.1,327.16
201705145,2017,"05145","AR","White County",616.21,215.52,937.01,0,1898.73,90.01,643.07,528.94,11499.89,274.74
201705147,2017,"05147","AR","Woodruff County",508.26,98.96,261.23,0,565.5,0,0,323.62,9250.32,355.78
201705149,2017,"05149","AR","Yell County",179.39,61.2,277.66,555.56,423.73,113.36,0,217.52,0,74.74
201706001,2017,"06001","CA","Alameda County",220,39.41,392.84,28.13,911.28,274.79,76.47,114.5,3985.91,174.43
201706003,2017,"06003","CA","Alpine County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201706005,2017,"06005","CA","Amador County",361.61,177.71,515.81,607,541.13,340.4,440.53,354.03,5921.89,225.47
201706007,2017,"06007","CA","Butte County",391.99,104.83,663.22,221.15,1381.45,164.61,1545.49,396.91,8122.07,159.2
201706009,2017,"06009","CA","Calaveras County",346.26,87.96,621.99,391.77,1392.76,167.08,1068.38,356.34,6870,173.13
201706011,2017,"06011","CA","Colusa County",594.41,197.6,936.44,853.66,1036.27,596.37,475.14,519.14,9451.82,249.5
201706013,2017,"06013","CA","Contra Costa County",207.31,50.31,368.04,12.86,668.63,261.54,514.54,122.44,3527.43,166.22
201706015,2017,"06015","CA","Del Norte County",527.45,207.55,856.6,320,124.07,212.15,1218.64,534.66,12914.02,17.01
201706017,2017,"06017","CA","El Dorado County",325.53,117.28,583.5,103.93,1377.05,372.62,235.48,343.14,5359.09,168.2
201706019,2017,"06019","CA","Fresno County",452.37,107.88,820.09,132.94,1688.65,492.16,483.7,323.74,5518.98,318.26
201706021,2017,"06021","CA","Glenn County",586.04,258.06,923.42,731.26,1376.15,346.81,314.47,793.2,8003.45,384.95
201706023,2017,"06023","CA","Humboldt County",423.14,135.22,717.17,93.23,1184.35,313.16,1308.14,369.97,10507.11,276.97
201706025,2017,"06025","CA","Imperial County",455.52,84.59,786.87,257.99,494.93,425.66,1283.42,659.45,4394.68,258.56
201706027,2017,"06027","CA","Inyo County",474.46,94.52,769.37,666.67,1560.98,122,1393.44,388.64,8503.12,158.15
201706029,2017,"06029","CA","Kern County",374.41,98.86,590.31,52.16,925.71,324.42,172.82,358.99,5860.02,275.65
201706031,2017,"06031","CA","Kings County",463.92,183.4,717.49,88.2,668.55,544.89,1921.32,370.07,6010.06,322.25
201706033,2017,"06033","CA","Lake County",760.55,273.41,1276.53,420.76,1295.9,454.55,2015.11,798.24,11467.82,483.75
201706035,2017,"06035","CA","Lassen County",283.72,82.85,407.67,354.25,243.7,275.83,442.48,317.51,5057.42,211.66
201706037,2017,"06037","CA","Los Angeles County",263.61,2.71,454.57,12.73,897.73,257.05,20.84,180.17,2291.21,155.21
201706039,2017,"06039","CA","Madera County",455.34,102.48,914.91,96.1,951.92,500.23,1067.89,423.04,5048.32,363.06
201706041,2017,"06041","CA","Marin County",194.4,69.59,317.39,22.22,1345.61,256.83,172.35,141.02,4137.23,133.96
201706043,2017,"06043","CA","Mariposa County",461.45,257.78,634.45,1634.78,471.7,472.07,331.41,479.5,9132.86,249.95
201706045,2017,"06045","CA","Mendocino County",567.9,147.01,1006.52,562.67,1366.12,391.18,1190.95,603.92,9095.85,380.48
201706047,2017,"06047","CA","Merced County",389.65,85.4,704.22,27.18,1003.34,432.73,309.6,366.36,3668.98,385.06
201706049,2017,"06049","CA","Modoc County",567.07,232.65,867.85,977.78,934.58,235.85,1086.96,566.28,1173.25,430.19
201706051,2017,"06051","CA","Mono County",273.11,43.74,451.64,0,812.95,147.82,1612.9,290.3,4794.66,192.19
201706053,2017,"06053","CA","Monterey County",329.86,88.09,525.42,134.09,808.79,342.73,80.19,248.14,3586.56,207.72
201706055,2017,"06055","CA","Napa County",220.23,77.94,354.18,57.03,1004.18,169.33,590.73,229.3,5313.07,144.97
201706057,2017,"06057","CA","Nevada County",332.38,110.22,521.67,472.85,1341,570.59,303.49,263.33,7153.82,251.4
201706059,2017,"06059","CA","Orange County",294.32,70.37,523.1,39.26,1218.83,465.13,986.74,213.21,3665.55,156.88
201706061,2017,"06061","CA","Placer County",294.58,105.75,474.99,68.78,1150.28,239.65,560.85,292.68,4392.23,159.93
201706063,2017,"06063","CA","Plumas County",403.89,199.93,797.48,0,943.4,466.42,609.76,492.4,10198.27,220.3
201706065,2017,"06065","CA","Riverside County",239.56,51.27,409.27,18.45,579.6,231.2,307.4,196.79,3178.21,152.68
201706067,2017,"06067","CA","Sacramento County",359.23,79.9,630.36,101.27,1071.38,355.69,190.32,265.79,5131.46,161.03
201706069,2017,"06069","CA","San Benito County",326.6,107.52,577.12,233.46,209.64,387.24,454.55,291.52,7835.9,80.39
201706071,2017,"06071","CA","San Bernardino County",433.73,130.36,671.53,252.91,925.59,364.91,548.49,394.74,5150.59,293.63
201706073,2017,"06073","CA","San Diego County",308,93.95,515.61,63.26,935.71,289.05,346.7,313.11,4018.71,132.04
201706075,2017,"06075","CA","San Francisco County",192.64,33.23,326.52,33.92,1816.75,191.3,264.27,99.77,2688.4,122.62
201706077,2017,"06077","CA","San Joaquin County",220.97,127.43,451.92,58.8,1284.98,195.27,312.72,303.25,4606.02,125.02
201706079,2017,"06079","CA","San Luis Obispo County",307.59,104.77,525.06,60.55,639.44,429.35,264.85,300.23,6101.97,171.24
201706081,2017,"06081","CA","San Mateo County",194.44,44.54,344.91,58.86,1572.99,286.31,189.57,133.85,2841.54,117.64
201706083,2017,"06083","CA","Santa Barbara County",404.07,66.19,639.3,68.36,930.43,476.23,599.88,228,5502.96,290.22
201706085,2017,"06085","CA","Santa Clara County",264.3,68.2,446.48,49.27,1302,577.73,293.26,178.77,2211.09,188.3
201706087,2017,"06087","CA","Santa Cruz County",232.88,59.72,403.72,25.8,874.13,337.64,375.23,172.9,2091.13,174.26
201706089,2017,"06089","CA","Shasta County",305.57,89.41,527.1,161.89,1099.51,316.4,685.14,282.56,10237.87,214.53
201706091,2017,"06091","CA","Sierra County",176.57,0,457.14,0,1571.43,1428.57,7407.41,70.18,882.87,235.43
201706093,2017,"06093","CA","Siskiyou County",417.99,108.91,659.13,625.25,945.18,439.88,873.71,336.51,10891.05,355.48
201706095,2017,"06095","CA","Solano County",315.26,91.27,537.55,69.28,774.12,235.42,1004.56,274.96,5324.83,236.11
201706097,2017,"06097","CA","Sonoma County",333.39,106.11,558.44,72.76,1343.1,292.78,864.94,317.96,5436.98,182.18
