address,city,state,zip,Longitude,Latitude,Match Score,geo_method,category
"201 ST. JOSEPH STREET, SUITE B NA MOBILE AL 36602",MOBILE,AL,36602,-88.04348757,30.69542788,96.08,,dialysis
14897 HWY 43 NA RUSSELLVILLE AL 35653,RUSSELLVILLE,AL,35653,-87.71706965,34.505128,95.8,,dialysis
195 BUNTING DRIVE NA OZARK AL 36360,OZARK,AL,36360,-85.6458447,31.4588393,85,,dialysis
544 HIGHWAY 43 NA EUTAW AL 35462,EUTAW,AL,35462,-87.88163134,32.84041869,96.32,,dialysis
1120 S JACKSON HWY STE 107 NA SHEFFIELD AL 35660,SHEFFIELD,AL,35660,-87.70146449,34.74724643,96.73,,dialysis
7067 VETERANS PKWY SUITE 120 NA PELL CITY AL 35125,PELL CITY,AL,35125,-86.30065616,33.60494233,96.96,,dialysis
726 E BATTLE STREET SUITE A TALLADEGA AL 35160,TALLADEGA,AL,35160,-86.08962925,33.43688252,97.04,,dialysis
"27880 N. MAIN ST, SUITE A NA DAPHNE AL 36526",DAPHNE,AL,36526,-87.91054062,30.63130018,96.74,,dialysis
1450 ROSS CLARK CIRCLE SUITE 200 DOTHAN AL 36301,DOTHAN,AL,36301,-85.37020595,31.19895295,99.51,,dialysis
712 STATE STREET NA MUSCLE SHOALS AL 35661,MUSCLE SHOALS,AL,35661,-87.66483433,34.7437595,96.11,,dialysis
300 MEDICAL CENTER DRIVE SUITE 100 GADSDEN AL 35903,GADSDEN,AL,35903,-85.96727977,34.00795917,97.54,,dialysis
12401 SKOPELOS RD NA GRAND BAY AL 36541,GRAND BAY,AL,36541,-88.33620802,30.49829001,94.86,,dialysis
4748 BELL HILL ROAD NA BESSEMER AL 35022,BESSEMER,AL,35022,-86.9950101,33.32971655,96.46,,dialysis
"505 HIGHWAY 80 W, SUITE F NA DEMOPOLIS AL 36732",DEMOPOLIS,AL,36732,-87.84340021,32.50021863,96.6,,dialysis
11839 HIGHWAY 231-431 NORTH NA MERIDIANVILLE AL 35759,MERIDIANVILLE,AL,35759,-86.57147741,34.8560259,96.62,,dialysis
"2017 QUINTARD AVE, SUITE B NA ANNISTON AL 36201",ANNISTON,AL,36201,-85.82674693,33.67097028,99.36,,dialysis
"2017 QUINTARD AVENUE, SUITE A NA ANNISTON AL 36201",ANNISTON,AL,36201,-85.82674693,33.67097028,99.39,,dialysis
"2024 4TH AVE SOUTH, SUITE 100 NA BIRMINGHAM AL 35233",BIRMINGHAM,AL,35233,-86.80162982,33.50932234,96.78,,dialysis
3671 ROOSEVELT BLVD NA BIRMINGHAM AL 35235,BIRMINGHAM,AL,35235,-86.63700346,33.60920713,96.42,,dialysis
1023 DOUGLAS AVENUE SUITE 300 BREWTON AL 36426,BREWTON,AL,36426,-87.06858877,31.12153434,97.36,,dialysis
29569 HUNTSVILLE BROWNS FERRY RD NA MADISON AL 35756,MADISON,AL,35756,-86.79552093,34.72908329,97.24,,dialysis
700 SARA G LOTT BLVD NA BRUNDIDGE AL 36010,BRUNDIDGE,AL,36010,-85.83176723,31.72042741,96.4,,dialysis
"5406 HIGHWAY 280, SUITE D107 NA BIRMINGHAM AL 35242",BIRMINGHAM,AL,35242,-86.67170815,33.41878907,99.36,,dialysis
4459 US HIGHWAY 431 NA ROANOKE AL 36274,ROANOKE,AL,36274,-85.36997859,33.1661383,96.52,,dialysis
"150 GILBREATH DRIVE, SUITE 1 NA ONEONTA AL 35121",ONEONTA,AL,35121,-86.49406201,33.92961402,96.98,,dialysis
200 SOUTH PARK PL NA SELMA AL 36701,SELMA,AL,36701,-87.05442819,32.42611068,96.5,,dialysis
592 FIELDSTOWN ROAD SUITE 102 GARDENDALE AL 35071,GARDENDALE,AL,35071,-86.82073897,33.65222122,99.42,,dialysis
201 LINCOLN LANE NA SELMA AL 36701,SELMA,AL,36701,-87.05741114,32.4332332,96.5,,dialysis
3368 HWY 280 BYPASS SUITE G-1 ALEXANDER CITY AL 35010,ALEXANDER CITY,AL,35010,-85.96909779,32.93158692,85.59,,dialysis
4400 WATERMELON ROAD SUITE A NORTHPORT AL 35473,NORTHPORT,AL,35473,-87.54833879,33.24796433,97.14,,dialysis
"1216 SOMERVILLE ROAD, SE NA DECATUR AL 35601",DECATUR,AL,35601,-86.97275124,34.58836162,96.8,,dialysis
1920 E CAMBRIDGE RD STE 102 NA PHOENIX AZ 85016,PHOENIX,AZ,85016,-112.03019,33.488225,85,,dialysis
PO BOX 245148 NA TUCSON AZ 85724,TUCSON,AZ,85724,-110.9441,32.24147,87.95,,dialysis
6420 E BROADWAY BLVD STE C300 NA TUCSON AZ 85710,TUCSON,AZ,85710,-110.855699,32.22093254,99.42,,dialysis
500 EDGEWATER DRIVE PO BOX 2910 TUBA CITY AZ 86045,TUBA CITY,AZ,86045,-111.2322257,36.12944817,86.98,,dialysis
1021 S 7TH AVE STE 108 NA PHOENIX AZ 85007,PHOENIX,AZ,85007,-112.0824814,33.43727947,96.6,,dialysis
135 S POWER RD STE 103 NA MESA AZ 85206,MESA,AZ,85206,-111.6845008,33.41307772,99.37,,dialysis
HWY 86 - MP 113 NA SELLS AZ 85634,SELLS,AZ,85634,-111.8675,31.914625,85,,dialysis
912 W CHANDLER BLVD BLDG A-D NA CHANDLER AZ 85225,CHANDLER,AZ,85225,-111.8579648,33.30725259,99.44,,dialysis
35 WEST LAKESHORE DRIVE SUITE 105 BIRMINGHAM AL 35209,BIRMINGHAM,AL,35209,-86.81314446,33.45078066,97.26,,dialysis
40 PURPLE HEART BLVD NA SPRINGVILLE AL 35146,SPRINGVILLE,AL,35146,-86.4670403,33.76954353,96.36,,dialysis
289 N FIREWOOD LANE STE A NA SOLDOTNA AK 99669,SOLDOTNA,AK,99669,-151.152155,60.483255,85,,dialysis
360 BONIFACE PKWY SUITE A11 NA ANCHORAGE AK 99504,ANCHORAGE,AK,99504,-149.778547,61.22111804,99.37,,dialysis
40 WASDEN RD NA HOPE HULL AL 36043,HOPE HULL,AL,36043,-86.35719399,32.27008084,95.95,,dialysis
10050 W BELL RD STE 29-31 NA SUN CITY AZ 85351,SUN CITY,AZ,85351,-112.27646,33.63821749,99.43,,dialysis
1957 W DUNLAP AVE STE 6C NA PHOENIX AZ 85021,PHOENIX,AZ,85021,-112.1034287,33.56752126,96.73,,dialysis
US HWY 163 N NA KAYENTA AZ 86033,KAYENTA,AZ,86033,-110.24899,36.71051,85,,dialysis
"1699 E COTTONWOOD ST, A-200 NA COTTONWOOD AZ 86326",COTTONWOOD,AZ,86326,-112.0074826,34.72854673,95.96,,dialysis
1495 N HAYDEN STE D1-D4 NA SCOTTSDALE AZ 85257,SCOTTSDALE,AZ,85257,-111.9230928,33.46141,85,,dialysis
4502 W INDIAN SCHOOL RD STE A4-11 NA PHOENIX AZ 85031,PHOENIX,AZ,85031,-112.156023,33.49502874,97.14,,dialysis
13000 N 103RD AVE STE 66 NA SUN CITY AZ 85351,SUN CITY,AZ,85351,-112.281283,33.60188035,99.35,,dialysis
7490 S CAMINO DE OESTE NA TUCSON AZ 85757,TUCSON,AZ,85757,-111.0632144,32.1150225,96.27,,dialysis
1500 S WHITE MOUNTAIN BLVD STE 204 NA SHOW LOW AZ 85901,SHOW LOW,AZ,85901,-110.0265832,34.23632097,87.24,,dialysis
901 EAST DIMOND BOULEVARD SUITE G NA ANCHORAGE AK 99515,ANCHORAGE,AK,99515,-149.866023,61.14480747,99.42,,dialysis
1605 N. INDUSTRIAL PARK DR. STE H NA NOGALES AZ 85621,NOGALES,AZ,85621,-110.9480048,31.36128753,99.42,,dialysis
26 E BASELINE STE 142 NA PHOENIX AZ 85042,PHOENIX,AZ,85042,-112.0723849,33.37780865,85.38,,dialysis
12213 W BELL ROAD STE 110 NA SURPRISE AZ 85374,SURPRISE,AZ,85374,-112.3231701,33.63859249,99.15,,dialysis
218 MAIN STREET SUITE 114 & 118 TRUSSVILLE AL 35173,TRUSSVILLE,AL,35173,-86.60918736,33.61941977,99.31,,dialysis
1830 LEE AVE SW SUITE B-D CULLMAN AL 35055,CULLMAN,AL,35055,-86.84188534,34.15427178,97.02,,dialysis
"1218 S EULAULA AVE, SUITE 1234 NA EUFAULA AL 36027",EUFAULA,AL,36027,-85.15334399,31.87749399,94.13,,dialysis
2705 HIGHWAY 31 SOUTH NA DECATUR AL 35603,DECATUR,AL,35603,-86.97367107,34.55527967,96.67,,dialysis
6521 HWY 69 S STE O TUSCALOOSA AL 35404,TUSCALOOSA,AL,35404,-87.54486248,33.14803478,99.08,,dialysis
1815 GLYNWOOD DRIVE NA PRATTVILLE AL 36066,PRATTVILLE,AL,36066,-86.42166902,32.46172086,96.42,,dialysis
105 INVERNESS CORS NA BIRMINGHAM AL 35242,BIRMINGHAM,AL,35242,-86.69257716,33.41859402,96.35,,dialysis
2250 HIGHWAY 60 STE O-2 NA MIAMI AZ 85539,MIAMI,AZ,85539,-110.9579783,33.36238696,96.82,,dialysis
1337 S GILBERT RD STE 106 NA MESA AZ 85204,MESA,AZ,85204,-111.7883125,33.391287,99.41,,dialysis
1525 N GILBERT RD STE 121 NA GILBERT AZ 85234,GILBERT,AZ,85234,-111.7882326,33.37789733,96.8,,dialysis
10238 E HAMPTON AVE STE 108 NA MESA AZ 85209,MESA,AZ,85209,-111.6100239,33.38983353,99.43,,dialysis
14671 W. MOUNTAIN VIEW BLVD. SUITE 106 SURPRISE AZ 85374,SURPRISE,AZ,85374,-112.3769265,33.65469607,97.5,,dialysis
13907 W CAMINO DEL SOL SUITE 103 SUN CITY WEST AZ 85375,SUN CITY WEST,AZ,85375,-112.3618275,33.65773098,97.1,,dialysis
500 N BULLARD AVE STE C34 NA GOODYEAR AZ 85338,GOODYEAR,AZ,85338,-112.3755375,33.45246198,99.35,,dialysis
1134 E UNIVERSITY DR STE 101 NA MESA AZ 85203,MESA,AZ,85203,-111.806885,33.4224375,99.45,,dialysis
3540 E BASELINE RD STE 110 NA PHOENIX AZ 85042,PHOENIX,AZ,85042,-112.0053799,33.3781575,99.37,,dialysis
11540 E UNIVERSITY DR STE 109 NA APACHE JUNCTION AZ 85220,APACHE JUNCTION,AZ,85220,-111.5822764,33.42241184,95.88,,dialysis
9666 E RIGGS RD STE 143 NA SUN LAKES AZ 85248,SUN LAKES,AZ,85248,-111.8746223,33.21818565,96.5,,dialysis
13657 W MCDOWELL RD STE 106 NA GOODYEAR AZ 85338,GOODYEAR,AZ,85338,-112.353166,33.4642425,99.19,,dialysis
1337 S GILBERT RD STE 109 NA MESA AZ 85204,MESA,AZ,85204,-111.7883125,33.391028,99.41,,dialysis
"5115 EAST THOMAS, SUITE #115 NA PHOENIX AZ 85018",PHOENIX,AZ,85018,-111.9705162,33.48000135,86.67,,dialysis
629 N HIGHWAY 90 STE 6 & 7 NA SIERRA VISTA AZ 85635,SIERRA VISTA,AZ,85635,-110.2572378,31.56062,97.21,,dialysis
5957 W NORTHERN AVE STE 108 NA GLENDALE AZ 85301,GLENDALE,AZ,85301,-112.1896627,33.55302366,99.37,,dialysis
AGENCY ROAD BLDG 173 RURAL RT 1/AGENCY ROAD PARKER AZ 85344,PARKER,AZ,85344,-114.2907909,34.145982,85,,dialysis
980 WILLOW CREEK RD STE 101 NA PRESCOTT AZ 86301,PRESCOTT,AZ,86301,-112.4821559,34.55930558,99.37,,dialysis
"2201 N VICKEY STREET, STE 120 NA FLAGSTAFF AZ 86004",FLAGSTAFF,AZ,86004,-111.6060593,35.20737141,99.37,,dialysis
9220 E MOUNTAIN VIEW RD STE 105 NA SCOTTSDALE AZ 85258,SCOTTSDALE,AZ,85258,-111.8800915,33.57584666,99.38,,dialysis
5750 W THUNDERBIRD RD BLDG G #750 NA GLENDALE AZ 85306,GLENDALE,AZ,85306,-112.183069,33.61265101,99.41,,dialysis
3815 E. BELL ROAD STE. 1100 NA PHOENIX AZ 85032,PHOENIX,AZ,85032,-111.999012,33.63854899,99.36,,dialysis
10301 E OSBORN RD BLDG 14 NA SCOTTSDALE AZ 85256,SCOTTSDALE,AZ,85256,-111.8588009,33.48772165,96.61,,dialysis
US 70 & AZ ROUTE 170 NA PERIDOT AZ 85542,PERIDOT,AZ,85542,-110.4571899,33.29794005,95.91,,dialysis
14786 S HIGHWAY 77 - POB 729 NA MAMMOTH AZ 85618,MAMMOTH,AZ,85618,-110.648997,32.73899497,94.44,,dialysis
15930 48TH STREET NA PHOENIX AZ 85048,PHOENIX,AZ,85048,-111.994822,33.2997066,85,,dialysis
2149 E WARNER RD STE 109 & STE 110 NA TEMPE AZ 85284,TEMPE,AZ,85284,-111.9006636,33.33472013,99.45,,dialysis
8410 W THOMAS RD STE 100 BLDG 1 NA PHOENIX AZ 85037,PHOENIX,AZ,85037,-112.2412837,33.47993384,99.41,,dialysis
6261 N LA CHOLLA BLVD STE 181 NA TUCSON AZ 85741,TUCSON,AZ,85741,-111.0123175,32.32124402,99.41,,dialysis
1700 W COMMERCE POINTE PL NA SAHUARITA AZ 85629,SAHUARITA,AZ,85629,-111.0022072,31.89705627,96.24,,dialysis
2945 W INA RD STE 105 NA TUCSON AZ 85741,TUCSON,AZ,85741,-111.0302938,32.33730127,99.32,,dialysis
6622 N 91ST AVE SUITE 120 GLENDALE AZ 85305,GLENDALE,AZ,85305,-112.2552575,33.53245799,99.4,,dialysis
3600 W TANGERINE RD SUITE 120 MARANA AZ 85658,MARANA,AZ,85658,-111.042216,32.42394752,97.4,,dialysis
14620 WEST ENCANTO NA GOODYEAR AZ 85395,GOODYEAR,AZ,85395,-112.37676,33.485335,85,,dialysis
6970 EAST CHAUNCEY LANE SUITE 130 PHOENIX AZ 85054,PHOENIX,AZ,85054,-111.930324,33.65160745,99.5,,dialysis
"9721 WEST PECOS RD- RR2, BOX 807 NA LAVEEN AZ 85339",LAVEEN,AZ,85339,-112.16404,33.374455,85,,dialysis
20325 N 51ST AVE STE 186 BLDG 11 NA GLENDALE AZ 85308,GLENDALE,AZ,85308,-112.1692222,33.66941736,99.4,,dialysis
5222 E BASELINE RD STE 104 NA GILBERT AZ 85234,GILBERT,AZ,85234,-111.71882,33.37930746,95.88,,dialysis
10750 W MCDOWELL RD STE E500 NA AVONDALE AZ 85323,AVONDALE,AZ,85323,-112.291124,33.46450749,99.2,,dialysis
13055 W MCDOWELL RD STE F101 NA AVONDALE AZ 85392,AVONDALE,AZ,85392,-112.3372887,33.46418827,99.38,,dialysis
8910 N 43RD AVE STE 107 NA GLENDALE AZ 85302,GLENDALE,AZ,85302,-112.151693,33.56614083,99.32,,dialysis
975 W CHANDLER HEIGHTS STE 101 NA CHANDLER AZ 85248,CHANDLER,AZ,85248,-111.8571414,33.23271156,87.05,,dialysis
7355 S HOUGHTON RD STE 101 NA TUCSON AZ 85747,TUCSON,AZ,85747,-110.7725825,32.118308,99.39,,dialysis
4845 W MCDOWELL RD STE 10A NA PHOENIX AZ 85035,PHOENIX,AZ,85035,-112.1634449,33.46594712,96.86,,dialysis
3511 MERCY RD STE 101 NA GILBERT AZ 85297,GILBERT,AZ,85297,-111.7503907,33.28555241,85.99,,dialysis
811 N TEGNER ST  #101 NA WICKENBURG AZ 85390,WICKENBURG,AZ,85390,-112.735835,33.97588317,96.27,,dialysis
HIGHWAY 264 MP 388 NA POLACCA AZ 86042,POLACCA,AZ,86042,-110.4204495,35.8057856,85,,dialysis
3121 W SECOND CT NA RUSSELLVILLE AR 72801,RUSSELLVILLE,AR,72801,-93.1675464,35.28576241,96.04,,dialysis
108 D ANNA PL NA HELENA AR 72342,HELENA,AR,72342,-90.63338141,34.51763742,96.05,,dialysis
312 PROFESSIONAL PARK DR STE H NA ARKADELPHIA AR 71923,ARKADELPHIA,AR,71923,-93.08923646,34.12119063,99.37,,dialysis
301 S POWER ROAD SUITE 104 NA MESA AZ 85206,MESA,AZ,85206,-111.6845227,33.41043772,99.42,,dialysis
9250 WEST THOMAS ROAD SUITE 120 PHOENIX AZ 85037,PHOENIX,AZ,85037,-112.258701,33.47963779,99.48,,dialysis
7362 W THUNDERBIRD RD SUITE 104 NA PEORIA AZ 85381,PEORIA,AZ,85381,-112.2174753,33.61045153,97.22,,dialysis
"5705 N SCOTTSDALE RD, STE 120 NA SCOTTSDALE AZ 85250",SCOTTSDALE,AZ,85250,-111.9258404,33.51997662,99.36,,dialysis
5115 E THOMAS RD STE 100 NA PHOENIX AZ 85018,PHOENIX,AZ,85018,-111.9705162,33.48000135,96.73,,dialysis
5555 E 5TH ST #155 NA TUCSON AZ 85711,TUCSON,AZ,85711,-110.8741996,32.22894749,96.34,,dialysis
13430 N SAGUARO BLVD BLDG 3 FOUNTAIN HILLS AZ 85268,FOUNTAIN HILLS,AZ,85268,-111.7144197,33.60809792,97.87,,dialysis
16605 NORTH 28TH AVENUE SUITE 100 PHOENIX AZ 85053,PHOENIX,AZ,85053,-112.1188255,33.63615709,99.5,,dialysis
4141 N SCOTTSDALE RD STE 100 SCOTTSDALE AZ 85251,SCOTTSDALE,AZ,85251,-111.9260525,33.495658,99.4,,dialysis
2545 EAST THOMAS ROAD SUITE 100 PHOENIX AZ 85016,PHOENIX,AZ,85016,-112.0264945,33.4802837,97.41,,dialysis
4901 W MCDOWELL ROAD SUITE 120 PHOENIX AZ 85035,PHOENIX,AZ,85035,-112.16578,33.46594247,97.36,,dialysis
540 E WASHINGTON NA JONESBORO AR 72401,JONESBORO,AR,72401,-90.701935,35.83414,85,,dialysis
SPRINGHILL MEDICAL PLAZA 3401 SPRINGHILL DR STE 190 NORTH LITTLE ROCK AR 72117,NORTH LITTLE ROCK,AR,72117,-92.21958609,34.7851757,99,,dialysis
1411 N JACKSON NA MAGNOLIA AR 71754,MAGNOLIA,AR,71754,-93.23587517,33.28035243,95.66,,dialysis
201 SKYLINE DR  STE 32 NA CONWAY AR 72032,CONWAY,AR,72032,-92.42962176,35.11241991,96.67,,dialysis
10310 W MARKHAM STE 100 NA LITTLE ROCK AR 72205,LITTLE ROCK,AR,72205,-92.33069712,34.74730211,90.4,,dialysis
1114 WASHINGTON NW NA CAMDEN AR 71701,CAMDEN,AR,71701,-92.84902474,33.58493131,85.37,,dialysis
505 SAINT MARYS STREET NA LAKE VILLAGE AR 71653,LAKE VILLAGE,AR,71653,-91.28598765,33.32985571,97.42,,dialysis
310 S RHODES NA WEST MEMPHIS AR 72301,WEST MEMPHIS,AR,72301,-90.17114,35.14264,85,,dialysis
210 BARROW HILL RD NA FORREST CITY AR 72335,FORREST CITY,AR,72335,-90.78887862,35.04169949,96.23,,dialysis
805 WEST MADISON NA STUTTGART AR 72160,STUTTGART,AR,72160,-91.5496,34.49482,85,,dialysis
509 E MILLSAP STE 111 NA FAYETTEVILLE AR 72703,FAYETTEVILLE,AR,72703,-94.150161,36.113662,94.56,,dialysis
1900 MALVERN AVE STE 102 NA HOT SPRINGS AR 71901,HOT SPRINGS,AR,71901,-93.03452375,34.48762606,99.32,,dialysis
5320 WEST 12TH ST NA EAST LITTLE ROCK AR 72204,EAST LITTLE ROCK,AR,72204,-92.33295577,34.74110462,95.34,,dialysis
9421 WEST MARKHAM SUITE B LITTLE ROCK AR 72205,LITTLE ROCK,AR,72205,-92.37932999,34.75343314,86.62,,dialysis
500 S MT OLIVE STE 107 NA SILOAM SPRINGS AR 72761,SILOAM SPRINGS,AR,72761,-94.5423725,36.184001,85,,dialysis
1001 E MOULTRIE NA BLYTHEVILLE AR 72315,BLYTHEVILLE,AR,72315,-89.92532,35.922075,85,,dialysis
PRATT SQUARE 1912 MCCLAIN NEWPORT AR 72112,NEWPORT,AR,72112,-91.28297,35.60226,85,,dialysis
GROUND LEVEL-1200 N MAIN STE 2 NA BENTON AR 72015,BENTON,AR,72015,-92.5817551,34.5636433,85,,dialysis
"1301 N HERVEY ST, SUITE B NA HOPE AR 71801",HOPE,AR,71801,-93.60340226,33.6792964,99.4,,dialysis
2800 W 28TH ST NA PINE BLUFF AR 71603,PINE BLUFF,AR,71603,-92.03173213,34.20179671,88.49,,dialysis
200 EAST 8TH ST #101 NA MOUNTAIN HOME AR 72653,MOUNTAIN HOME,AR,72653,-92.38320017,36.33397216,99.24,,dialysis
2070 MCKENZIE ROAD STE B SPRINGDALE AR 72762,SPRINGDALE,AR,72762,-94.18552393,36.16753242,99.37,,dialysis
1590 TANNER RD NA MALVERN AR 72104,MALVERN,AR,72104,-92.812035,34.359355,85,,dialysis
225 N DUDNEY NA MAGNOLIA AR 71753,MAGNOLIA,AR,71753,-93.23297372,33.26824553,95.95,,dialysis
#2 LILE CT STE 102 NA LITTLE ROCK AR 72205,LITTLE ROCK,AR,72205,-92.37788478,34.74567326,99.22,,dialysis
1521 E TANGERINE ROAD SUITE 101 ORO VALLEY AZ 85755,ORO VALLEY,AZ,85755,-110.9486713,32.42734568,97.24,,dialysis
6622 N 91ST AVENUE STE 210 GLENDALE AZ 85305,GLENDALE,AZ,85305,-112.2552575,33.53240899,99.41,,dialysis
5555 MESA VERDE DR SUITE 120 SIERRA VISTA AZ 85635,SIERRA VISTA,AZ,85635,-110.2333245,31.55138685,97.81,,dialysis
926 E MC DOWELL RD SUITE 100 PHOENIX AZ 85006,PHOENIX,AZ,85006,-112.0614071,33.46581871,97.2,,dialysis
2125 E MAIN STE 12 NA SILOAM SPRINGS AR 72761,SILOAM SPRINGS,AR,72761,-94.5423725,36.184001,85,,dialysis
139 W HWY 64 STE 100 NA MCCRORY AR 72101,MCCRORY,AR,72101,-91.20142076,35.26906815,96.44,,dialysis
1501 N WASHINGTON ST NA FORREST CITY AR 72335,FORREST CITY,AR,72335,-90.78814696,35.0243715,96.36,,dialysis
"2628 INTERNATIONAL BLVD, STE 100 NA OAKLAND CA 94601",OAKLAND,CA,94601,-122.2318689,37.78102078,97.19,,dialysis
125 E. ARBOR VITAE NA INGLEWOOD CA 90301,INGLEWOOD,CA,90301,-118.354945,33.958535,85,,dialysis
2521 STOCKTON BLVD DEPARTMENT OF PEDIATRICS SACRAMENTO CA 95817,SACRAMENTO,CA,95817,-121.4553856,38.55204268,96.25,,dialysis
"CHILDRENS HOSPITAL 11234 ANDERSON ST., RM. 4219 NA LOMA LINDA CA 92354",LOMA LINDA,CA,92354,-117.2611746,34.04920048,95.14,,dialysis
3600 E. MARTIN LUTHER KING JR. BLVD. NA LYNWOOD CA 90262,LYNWOOD,CA,90262,-118.204001,33.93216798,87.77,,dialysis
9022 LANDERS RD SUITE E NA NORTH LITTLE ROCK AR 72117,NORTH LITTLE ROCK,AR,72117,-92.16838649,34.83518088,99.26,,dialysis
310 S FALLS BLVD PO BOX 590 WYNNE AR 72396,WYNNE,AR,72396,-90.78740038,35.21985634,95.28,,dialysis
1120 STATE HWY 77  STE 2 NA MARION AR 72364,MARION,AR,72364,-90.18441633,35.18395946,99.35,,dialysis
"PERITONEAL DIALYSIS UNIT, 3460 E. LA PALMA AVENUE NA ANAHEIM CA 92806",ANAHEIM,CA,92806,-117.8430884,33.85464697,94.57,,dialysis
"3020 CHILDRENS WAY, MC 5115 NA SAN DIEGO CA 92123",SAN DIEGO,CA,92123,-117.1508275,32.798322,95.74,,dialysis
27303 SLEEPY HOLLOW NA HAYWARD CA 94545,HAYWARD,CA,94545,-122.1177388,37.64526,85,,dialysis
PERITONEAL DIALYSIS UNIT 1813 N HACIENDA BLVD. NA LA PUENTE CA 91744,LA PUENTE,CA,91744,-117.9437558,34.05069442,94.51,,dialysis
"200 MUIR ROAD, HACIENDA BUILDING, SECOND FLOOR NA MARTINEZ CA 94553",MARTINEZ,CA,94553,-122.1106632,37.99432367,94.71,,dialysis
"1759 W. AVENUE J, SUITE 102 NA LANCASTER CA 93534",LANCASTER,CA,93534,-118.163171,34.6894475,96.67,,dialysis
