Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID,Longitude,Latitude,Match Score
EASTSIDE MENTAL HEALTH CENTER,DRUG ABUSE PROGRAM,,7612 FIRST AVENUE NORTH,,,BIRMINGHAM,AL,35206,(205)836-7283,AD/CI/PV/,4549AL35206,-86.72956079557987,33.560802817140186,100.0
FAMILY AND CHILD SERVICES,PREVENTION SERVICES,,3600 8TH AVENUE SOUTH,SUITE H-102,,BIRMINGHAM,AL,35222,(205)324-3411,AD/PV/,1913AL35222,-86.77660204785722,33.51525090332864,100.0
FELLOWSHIP HOUSE INC,,,1625 12TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,(205)933-2430,AD/RR/AM/W/Y/A/B/HV/PI/CU/IV/TX/,1605AL35205,-86.80074528176368,33.49721556226586,100.0
JEFFERSON BLOUNT SAINT CLAIR,MH/MR AUTHORITY/ADMINISTRATION,,3820 3RD AVENUE SOUTH,SUITE 100,,BIRMINGHAM,AL,35222,(205)595-4555,,1053AL35222,-86.77713848966043,33.52216245304901,100.0
JEFFERSON COUNTY ECONOMIC OPPORTUNITY,ALCOHOLISM OUTREACH/AFTERCARE PROGRAM,,3040 ENSLEY AVENUE,,,BIRMINGHAM,AL,35208,(205)787-8667,AD/AM/W/Y/A/B/HV/PI/EA/TX/CI/PV/,8788AL35208,-86.8793666953591,33.498718647052826,100.0
OAKMONT CENTER,,,1915 AVENUE H,ENSLEY,,BIRMINGHAM,AL,35218,(205)787-7100,AD/AM/W/Y/B/H/AI/PI/CU/IV/PG/TX/CI/PV/,4853AL35218,-86.89414189518152,33.510925799380466,100.0
SAINT ANNES HOME,,,2772 HANOVER CIRCLE,,,BIRMINGHAM,AL,35205,(205)933-6906,AD/RR/H/CU/TX/,3900AL35205,-86.78654742743194,33.504850176863734,99.55
SALVATION ARMY,HALFHAY HOUSE PROGRAM FOR MALES,,1401 F L SHUTTLESHORTH DRIVE,,,BIRMINGHAM,AL,35234,(205)252-8151,AL/RR/TX/OT/,2081AL35234,-86.81468254272566,33.530204009045946,98.27
TREATMENT AND INFORMATION ON,MEDICATIONS FOR THE ELDERLY,,2601 HIGHLAND AVENUE,,,BIRMINGHAM,AL,35205,(205)251-2992,DA/AM/TX/PV/,4987AL35205,-86.7854595402187,33.5036583959607,99.55
UNIV OF ALABAMA IN BIRMINGHAM,UAB SUBSTANCE ABUSE PROGRAMS,,3015 7TH AVENUE SOUTH,,,BIRMINGHAM,AL,35233,(205)934-2118,AD/AM/W/Y/CU/IV/TX/PV/MM/OT/,6036AL35233,-86.78563183625263,33.512554730491125,100.0
HESTERN MENTAL HEALTH CENTER,DRUG ABUSE TREATMENT PROGRAM,,1701 AVENUE D ENSLEY,,,BIRMINGHAM,AL,35218,(205)788-7770,AD/AM/TX/,0622AL35218,-86.89663064987236,33.5153641847499,98.24
CHILTON/SHELBY MENTAL HEALTH CENTER,RECOVERY TRAINING PROJECT,,,,,CALERA,AL,35040,(205)663-1252,AD/AM/W/Y/CU/EA/DW/TX/CI/PV/,6549AL35040,-86.75589899999994,33.103081100000054,100.0
ALCOHOLISM/SUBSTANCE ABUSE COUNCIL OF,CHEROKEE COUNTY,,CHEROKEE COUNTY COURTHOUSE ANNEX,,,CENTRE,AL,35960,(205)927-3111,AD/EA/DW/PV/,8521AL35960,-85.68025999999998,34.153140000000064,85.0
LIGHTHOUSE INC,,,925 CONVENT ROAD NE,,,CULLMAN,AL,35055,(205)739-2777,AD/RR/TX/,2708AL35055,-86.82733340629223,34.188675003777085,100.0
NORTH CENTRAL ALABAMA,SUBSTANCE ABUSE COUNCIL,CULLMAN COUNTY COURTHOUSE,ROOM 22,,,CULLMAN,AL,35055,(205)739-3530 EXT228,AD/DW/PV/,5720AL35055,-86.84495499999996,34.17241000000007,88.0
HEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,,1215 SOUTH HALNUT AVENUE,,,DEMOPOLIS,AL,36732,(205)289-2410,AD/AM/CU/EA/DW/TX/CI/PV/,4777AL36732,-87.83852899120225,32.503330174601736,93.0
THE HAVEN,,,831 JOHN D ODOM ROAD,,,DOTHAN,AL,36303,(205)794-0970,AD/DT/RR/AM/W/Y/A/B/H/AI/HV/PI/CU/IV/PG/EA/DW/TX/PV/,0433AL36303,-85.46066747301337,31.250740537071014,100.0
BALDHIN COUNTY MH/MR CENTER,ALCOHOL PROGRAM,,372 SOUTH GREENO ROAD,,,FAIRHOPE,AL,36532,(205)928-2871,AD/AM/W/Y/A/B/HV/CU/IV/PG/TX/CI/PV/,9108AL36532,-87.88619470218504,30.51438598451874,99.89
CHEROKEE/ETOHAH/DE KALB,FELLOHSHIP HOUSE,,312 SOUTH 5TH STREET,,,GADSDEN,AL,35901,(205)546-8247,AD/RR/B/CU/IV/TX/,0145AL35901,-86.00680572707125,34.01046117969316,100.0
CHEROKEE/ETOHAH/DE KALB,MENTAL HEALTH CENTER SUBST ABUSE SERVS,,901 GOODYEAR AVENUE,,,GADSDEN,AL,35903,(205)492-7800,AD/AM/H/HV/TX/CI/PV/,5025AL35903,-85.97120400151171,34.00936717181528,100.0
CHEROKEE/ETOHAH/DE KALB,SERENITY HOME,,118 SOUTH 10TH STREET,,,GADSDEN,AL,35901,(205)547-1577,AD/OT/RR/TX/,6644AL35901,-86.0153494166223,34.01681072240706,100.0
SUBSTAl4CE ABUSE COUNCIL OF,ETOIAH COUNTY,,943 3RD AVENUE,,,GADSDEN,AL,35901,(055)7-6903,/AD/DW/PV/,0628AL35901,-86.01515995618658,34.01581619121877,100.0
THE BRIDGE INC,,,LAY SPRINGS ROAD,ROUTE 3,,GADSDEN,AL,35901,(205)546-6324,AD/RR/AM/Y/A/HV/IV/EA/TX/PV/,0825AL35901,-85.94774823798973,34.09759671112035,99.35
MARSHALL JACKSON MENTAL HEALTH CENTER,SUBSTANCE ABUSE TREATMENT PROGRAM,,2409 HOMER CLAYTON DRIVE,,,GUNTERSVILLE,AL,35976,(205)582-3203,AD/RR/AM/H/IV/EA/DW/TX/CI/PV/,7891AL35976,-86.31116804029385,34.33691684358607,100.0
MADISON COUNTY MENTAL HEALTH CENTER,NEH HORIZONS RECOVERY CENTER,,806 GALLATIN STREET,,,HUNTSVILLE,AL,35801,(205)532-l+l,AD/AM/W/Y/B/CU/IV/PG/EA/TX/PV/,6490AL35801,-86.58205474713665,34.721940522001745,99.55
PARKSIDE LODGE OF BIRMINGHAM,HUNTSVILLE SERVICES,,139-A MCMURTRIE DRIVE,,,HUNTSVILLE,AL,35806,(205)430-0868,AD/AM/TX/CI/PV/,9940AL35806,-86.68415381899361,34.74524239519084,99.54
THE PATHFINDER INC,RECOVERY HOME FOR MALE ALCOHOLICS,,3104 IVY AVENUE SH,,,HUNTSVILLE,AL,35805,(205)534-7644,AD/RR/TX/PV/,9528AL35805,-86.60824196720881,34.70544750090015,98.93
NORTHHEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,,1100 7TH AVENUE,,,JASPER,AL,35501,(205)387-0541,AD/AM/IV/EA/TX/CI/PV/OT/,7304AL35501,-87.28264837725199,33.841013943510376,100.0
CRENSHAH COUNTY HOSPITAL,ALCOHOLISM AND DRUG ABUSE TRT UNIT,,SOUTH FOREST AVENUE,,,LUVERNE,AL,36049,(205)335-5763,AD/DT/RR/EA/TX/CI/PV/,3180AL36049,-86.26597186758555,31.699339886132197,100.0
DAUPHIN HAY LODGE TREATMENT SERVICES,HALFHAY HOUSE ALCOHOLISM PROGRAM,,1009 DAUPHIN STREET,,,MOBILE,AL,36604,(205)438-4729,AD/RR/IV/TX/PV/,9975AL36604,-88.05866904000689,30.687729022785767,100.0
DAUPHIN HAY LODGE TREATMENT SERVICES,QUARTERHAY ALCOHOLISM PROGRAM,,1009 DAUPHIN STREET,,,MOBILE,AL,36604,(205)438-4729,AD/RR/IV/TX/,9975AL36604,-88.05866904000689,30.687729022785767,100.0
DRUG EDUCATION COUNCIL INC,,,954 GOVERNMENT STREET,,,MOBILE,AL,36604,(205)433-5456,AD/PV/,2609AL36604,-88.05583478326717,30.68561154449626,100.0
LAKESIDE CENTER,,,733 IEST LAKESIDE DRIVE,,,MOBILE,AL,36693,(205)666-1928,AD/AM/Y/TX/CI/PV/,0099AL36693,-88.12918163283219,30.656793639369713,97.8
LIBRA HOUSE,TEENLINE,,1155 GOVERNMENT STREET,,,MOBILE,AL,36604,(054)3-7677,AD/CI/PV/,5835AL36604,-88.06254181455006,30.683530276028137,100.0
MOBILE MENTAL HEALTH CENTER INC,GATEHAY SUBSTANCE ABUSE CENTER,,2400 GORDON SMITH DRIVE,,,MOBILE,AL,36617,(054)3-4423,DA/AM/W/B/HV/IV/PG/TX/MM/,9244AL36617,-88.09579568171024,30.704894763116545,100.0
MOBILE MENTAL HEALTH CENTER INC,SUBSTANCE ABUSE SERVICES,,2400 GORDON SMITH DRIVE,,,MOBILE,AL,36617,(205)473-4423,AD/RR/AM/IV/EA/TX/PV/MM/,9244AL36617,-88.09579568171024,30.704894763116545,100.0
USA DOCTORS HOSPITAL,RENAISSANCE SUBSTANCE ABUSE PROGRAM,,1700 CENTER STREET,,,HOBILE,AL,36604,(205)438-4684,AD/RR/W/A/B/H/AI/HV/PI/CU/IV/DW/TX/CI/PV/,9862AL36604,-88.07828319635155,30.696394821022253,98.14
ALF COX FELLOHSHIP HOUSE,,,529 SAYRE STREET,,,MONTGOMERY,AL,36104,(205)263-7895,AD/RR/TX/,1913AL36104,-86.31032976615715,32.37030618934442,100.0
BAPTIST MEDICAL CENTER,ALCOHOL AND DRUG PROGRAM,,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,(205)284-1224,AD/OT/RR/W/B/HV/CU/IV/EA/TX/PV/OT/,1117AL36116,-86.27746817948179,32.32716700636194,100.0
CADEl CENTER,,,2205 MCCARTER AVENUE,,,MONTGOMERY,AL,36107,(205)834-4527,AD/RR/EA/TX/,4490AL36107,-86.27621341854258,32.38799639626117,100.0
CARE HOUSE,,,1809 PARK PLACE,,,MONTGOMERY,AL,36106,(205)265-4544,AD/EA/DW/CI/,1493AL36106,-86.28408943018673,32.368700312879795,100.0
COUNCIL ON SUBSTANCE ABUSE/NCADD,,,3005 FAIRlEST PLACE,,,MONTGOMERY,AL,36108,(205)262-1629,AD/PV/,7394AL36108,-86.33682253134283,32.350302986963804,97.34
FEDERAL PRISON CAMP,DRUG ABUSE PROGRAM,MAXH ELL AIR FORCE BASE,,,,MONTGOMERY,AL,36112,(205)834-3681TEX115,AD/AM/EA/TX/PV/,6549AL36112,-86.35134149999998,32.37961700000005,100.0
HOPE HAVEN,,,1503 SOUTH COURT STREET,,,MONTGOMERY,AL,36104,(205)269-2150,AD/AM/EA/TX/,3386AL36104,-86.30853939163889,32.359427945855735,100.0
JACKSON HOSPITAL,PSYCHIATRIC UNIT,,1235 FOREST AVENUE,,,MONTGOMERY,AL,36194,(205)293-8067,AD/PV/,7704AL36194,-86.28641225690309,32.36720932757817,98.48
LIGHTHOUSE COUNSELING CENTER INC,INTENSIVE OUTPATIENT UNIT,,830 SOUTH COURT STREET,,,MONTGOMERY,AL,36104,(205)264-4555,AD/AM/Y/A/HV/TX/CI/,5351AL36104,-86.3087232905947,32.36550792696211,100.0
FIRST STEP,SUBSTANCE ABUSE TREATMENT,,SMILEY STREET,,,RED LEVEL,AL,36474,(205)469-5347,AD/RR/AM/IV/DW/TX/CI/PV/,3816AL36474,-86.61326647696467,31.40911807778048,100.0
RANDOLPH COUNTY HOSPITAL,SELF DISCOVERY PROGRAM,,,,,ROANOKE,AL,36274,(205)863-4111,AD/DT/RR/W/A/B/CU/IV/TX/OT/,6549AL36274,-85.36911499999997,33.15379000000007,100.0
SUNRISE LODGE,SUBSTANCE ABUSE TREATMENT CENTER,,ROUTE 9,,,RUSSELLVILLE,AL,35653,(205)332-0078,AD/RR/IV/TX/,6926AL35653,-87.72887999999996,34.50779000000006,90.4
CAHABA CENTER FOR MH/MR,SUBSTANCE ABUSE SERVICES,,1017 MEDICAL CENTER PARKHAY,,,SELMA,AL,36701,(205)875-2100,AD/AM/W/Y/A/B/HV/PI/EA/DW/TX/CI/PV/,1125AL36701,-87.05808001899071,32.42957399805522,96.22
HELEN KELLER HOSPITAL,RESTORE PROGRAM,,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,AL,35660,(205)386-4597,AD/DT/RR/AM/IV/EA/TX/,2794AL35660,-87.6989595442678,34.74646515919308,100.0
CHEAHA MENTAL HEALTH CENTER,ADAPT,,1625 OLD BIRMINGHAM HIGHHAY,,,SYLACAUGA,AL,35150,(205)245-2201,AD/RR/B/CU/IV/PG/EA/DW/TX/PV/,9617AL35150,-86.27621517463442,33.17566727481672,91.91
INDIAN RIVERS MENTAL HEALTH CENTER,ALCOHOL AND DRUG ABUSE PROGRAM,,1915 6TH STREET,,,TUSCALOOSA,AL,35403,(205)345-1600,AD/AM/W/Y/A/B/HV/CU/PG/TX/,8832AL35403,-87.5617859640912,33.21058351696026,99.51
PHOENIX HOUSES INC,MALE AtlD FEMALE,,2008 UNIVERSITY BOULEVARD,,,TUSCALOOSA,AL,35401,(205)758-3867,AD/RR/TX/,3114AL35401,-87.56366216929801,33.211193342325885,100.0
VETERANS AFFAIRS MEDICAL CENTER,ADDICTIONS TREATMENT UNIT,,3701 LOOP ROAD EAST,,,TUSCALOOSA,AL,35404,(205)553-3760TEX2690,AD/OT/RR/W/Y/A/B/HV/CU/IV/EA/TX/PV/,9877AL35404,-87.48654698370329,33.19129001032155,98.87
PARKSIDE LODGE OF BIRMINGHAM,INPATIENT RESIDENTIAL SERVICES,,1189 ALLBRITTON ROAD,,,HARRIOR,AL,35180,(205)647-1945,AD/RR/Y/CU/TX/,3440AL35180,-86.87165668554245,33.82449669475884,100.0
ALTERNATIVES INC,,,,,,HETUMPKA,AL,36092,(205)567-7083,AD/AM/W/Y/A/CU/IV/PG/TX/PV/,6549AL36092,-86.21069499999999,32.539810000000045,97.18
CENTRAL ALABAMA MEDICAL CENTER,SELF DISCOVERY INC,,1201 COMPANY STREET,,,HETUMPKA,AL,36092,(205)567-4311TEX153,AD/DT/RR/IV/TX/,5292AL36092,-86.19089694532471,32.54781399062256,98.14
AKEELA HOUSE INC,,,2804 BERING STREET,,,ANCHORAGE,AK,99503,(907)561-5266,AD/RR/TX/PV/,3752AK99503,-149.89610380953937,61.19483653977273,100.0
ALASKA COUNCIL ON PREVENTION OF,ALCOHOL AND DRUG ABUSE INC,,7521 OLD SEHARD HIGHHAY,SUITE 8,,ANCHORAGE,AK,99518,(907)349-6602,AD/PV/OT/,6453AK99518,-149.86412257415415,61.152480980918035,89.18
ALASKA COURT SYSTEM,ANCHORAGE AK ALC SAFETY ACTION PROGRAM,,941 NEST 4TH AVENUE,3RD FLOOR,,ANCHORAGE,AK,99501,(907)26+-0735,AD/DW/PV/,2239AK99501,-149.90065493150644,61.21866903511547,91.16
ALASKA HUMAN SERVICES,OUTPT ALC/SUBST ABUSE TREATMENT PROG,,4050 LAKE OTIS PARKHAY,SUITE 107,,ANCHORAGE,AK,99508,(907)561-4535,AD/AM/DW/TX/CI/PV/,3546AK99508,-149.83825752969784,61.184004983484755,96.2
ALASKA NATIVE ALCOHOLISM RECOVERY CTR,,,120 NORTH HOYT STREET,,,ANCHORAGE,AK,99508,(907)278-2627,AL/RR/AI/TX/,6784AK99508,-149.80091967145034,61.22483851445134,100.0
ALASKA NATIVE HEALTH BOARD,,,1345 RUDAKOF CIRCLE,ROOM 206,,ANCHORAGE,AK,99501,(907)337-0028,AD/PV/,4358AK99501,-149.80576751278974,61.20883934721763,99.51
ALEUTIAN PRIBILOF ISLANDS ASSOCIATION,,,401 EAST FIREHEED LANE,SUITE 201,,ANCHORAGE,AK,99503,(907)276-2700,AD/AM/Y/AI/PI/PG/TX/CI/PV/OT/,0521AK99503,-149.87660716747706,61.19802388418382,97.37
CENTER FOR ALC AND ADDICTION STUDIES,,,3211 PROVIDENCE AVENUE,UAA,,ANCHORAGE,AK,99508,(907)786-1801,AD/PV/,7682AK99508,-149.81813551383937,61.189922062303076,98.04
CHARTER NORTH HOSPITAL AND COUNSELING CENTERS,,,2530 DEBARR ROAD,,,ANCHORAGE,AK,99504,(907)338-7575,AD/RR/AM/Y/IV/EA/DW/TX/CI/PV/,9123AK99504,-149.83374563503716,61.20827566422897,98.33
ELMENDORF AFB SOCIAL ACTIONS,SUBSTANCE ABUSE OFFICE,,2900 9TH STREET,ELMENDORF AIR FORCE BASE,,ANCHORAGE,AK,99506,(907)552-2115,AD/EA/DW/PV/,4733AK99506,-149.84029304216998,61.23638565951593,95.17
HUMANA HOSPITAL/ALASKA,ADDICTIVE BEHAVIOR CENTER,,2801 DE BARR ROAD,,,ANCHORAGE,AK,99508,(907)264-1622,AD/RR/AM/IV/EA/DW/TX/CI/PV/,9311AK99508,-149.8286119707993,61.20982748978315,100.0
NARCOTIC DRUG TREATMENT CENTER INC,CENTER FOR DRUG PROBLEMS,,520 EAST 4TH AVENUE,SUITE 102,,ANCHORAGE,AK,99501,(907)276-6430,AD/AM/W/B/H/AI/HV/CU/IV/PG/CI/PV/MM/,5954AK99501,-149.87406602589138,61.21851252448672,100.0
NEH DAWN,ALASKA HOMENS RESOURCE CENTER,,111 HEST 9TH AVENUE,,,ANCHORAGE,AK,99501,(907)276-0528,AD/RR/H/PG/DW/TX/,1242AK99501,-149.88307580904953,61.21176902633993,94.05
NORTH PACIFIC RIM,,,3300 C STREET,,,ANCHORAGE,AK,99501,(907)562-4155,AD/PV/,0421AK99501,-149.88661750680157,61.190322004812906,99.51
NORTH STAR ADOLESCENT HOSPITAL,SUBSTANCE ABUSE SERVICES,,1650 SOUTH BRAGAH STREET,,,ANCHORAGE,AK,99508,(907)277-1522,AD/DT/AI/IV/EA/DW/TX/CI/PV/,8652AK99508,-149.80836389111778,61.205508378895715,95.37
PROVIDENCE HOSPITAL,BREAKTHROUGH,,3200 PROVIDENCE DRIVE,,,ANCHORAGE,AK,99508,(907)261-3003,AD/DT/RR/AM/IV/DW/TX/CI/,3850AK99508,-149.81930738772218,61.18722443058518,100.0
RURAL CAP INC,ALCOHOL AND DRUG ABUSE PREVENTION,,731 EAST 8TH STREET,,,ANCHORAGE,AK,99501,(907)279-2511,AD/PV/,6786AK99501,-149.8702069976694,61.214627470455454,98.06
SALVATION ARMY,CLITHEROE CENTER,POINT HORONZOF,,,,ANCHORAGE,AK,99502,(907)2+3-1181,AD/DT/RR/AM/H/AI/HV/PI/CU/PG/DW/TX/CI/PV/,6549AK99502,-149.94917499999997,61.158420000000035,100.0
VOLUNTEERS OF AMERICA OF ALASKA INC,,,911 WEST 8TH AVENUE,SUITE 100,,ANCHORAGE,AK,99501,(907)279-9634,AD/RR/AM/Y/IV/TX/PV/,7870AK99501,-149.90015503480106,61.21463748682975,100.0
KUSKOKHIM NATIVE ASSOCIATION,COMMUNITY COUNSELING PROGRAM,,,,,ANIAK,AK,99557,(907)675-4445,AD/AM/W/Y/AI/DW/TX/CI/PV/,6549AK99557,-159.56677999999997,61.58158000000003,100.0
NORTH SLOPE BOROUGH HEALTH DEPARTMENT,SUBSTANCE ABUSE SERVICES,,,,,BARROW,AK,99723,(907)852-4673,AD/RR/AI/PG/EA/DW/TX/CI/PV/,6549AK99723,-156.75249789999995,71.29898920000005,100.0
PHILLIPS ALCOHOLISM TREATMENT CENTER,,,,,,BETHEL,AK,99559,(907)543-2129,AD/RR/AM/W/B/H/AI/PG/TX/CI/PV/,6549AK99559,-161.76078219999997,60.79421030000003,100.0
COOPER RIVER MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES,,,MILE 105 RICHARDSON HIGHWAY,,,COPPER CENTER,AK,99573,(907)822-5241,AD/AM/AI/TX/CI/PV/,2259AK99573,-145.35751999605333,61.99959999509136,100.0
CORDOVA COMMUNITY HOSPITAL,MENTAL HEALTH AND ALCOHOL CLINIC,,602 CHASE AVENUE,,,CORDOVA,AK,99574,(907)42-8300,AD/AM/Y/AI/EA/DW/TX/CI/PV/,3484AK99574,-145.75556120380446,60.54053706176554,100.0
COMMUNITIES ORGANIZED FOR,HEALTH OPTIONS ICOHOI,,,,,CRAIG,AK,99921,(907)826-3662,AD/AM/TX/CI/PV/,6549AK99921,-133.13864999999998,55.477420000000045,100.0
BRISTOL BAY AREA HEALTH CORP,ALCOHOL/DRUG ABUSE PROGRAM,,,,,DILLINGHAM,AK,99576,(907)842-5266,AD/EA/PV/,6549AK99576,-158.58078479999998,59.051524700000066,100.0
CITY OF DILLINGHAM,PUBLIC INEBRIATE PROGRAM,,,,,DILLINGHAM,AK,99576,(907)842-5354,AD/OT/TX/CI/PV/,6549AK99576,-158.58078479999998,59.051524700000066,100.0
ALASKA COUNSELING,,,232 2ND STREET,GRAEHL,,FAIRBANKS,AK,99701,(907)451-8160,AD/AM/EA/DW/TX/PV/,9248AK99701,-147.70431952909766,64.84679319655845,100.0
FAIRBANKS MEMORIAL HOSPITAL,FAMILY RECOVERY CENTER,,1650 COWLES STREET,,,FAIRBANKS,AK,99701,(907)452-8047,AD/AM/W/Y/A/B/AI/HV/PI/CU/PG/EA/TX/,9820AK99701,-147.7363675682514,64.83150976003682,100.0
FAIRBANKS NATIVE ASSOCIATION INC,REG CTR FOR ALC AND OTHER ADDICTIONS,,3100 SOUTH CUSHMAN STREET,,,FAIRBANKS,AK,99701,(907)452-6251,AD/DT/RR/AM/W/Y/A/B/H/AI/HV/PI/IV/PG/EA/DW/TX/CI/PV/,4429AK99701,-147.71079413020578,64.81831467469146,100.0
LAKESIDE RECOVERY CTR INC/FAIRBANKS,,,1001 NOBLE STREET,SUITE 240,,FAIRBANKS,AK,99701,(907)456-4526,AD/AM/W/Y/AI/CU/TX/CI/PV/,6772AK99701,-147.71394840800838,64.83888223061292,100.0
SALVATION ARMY,DRUG ABUSE TREATMENT PROGRAM,,117 FIRST AVENUE,,,FAIRBANKS,AK,99707,(907)452-5005,AD/AM/A/AI/HV/IV/TX/MM/,2778AK99707,-147.70783121125206,64.84412448240634,99.51
TANANA CHIEFS CONFERENCE INC,,,1302 21ST AVENUE,,,FAIRBANKS,AK,99701,(907)452-2446,AD/AM/AI/TX/PV/OT/,6825AK99701,-147.73435775550752,64.8283995291351,100.0
FORT HAINHRIGHT ALCOHOL AND DRUG ABUSE PREV CONTROL PROG IADAPCPJ,,APVR/FH/PA/ADA,BUILDING 3401,,,FORT WAINWRIGHT,AK,99703,(907)353-7203,AD/DT/AM/EA/DW/TX/CI/PV/,5930AK99703,-147.68127999999996,64.82861500000007,85.45
TANANA CHIEFS CONFERENCE INC,YUKON FLATS CARE,,,,,FORT YUKON,AK,99740,(907)662-2526,AD/RR/AI/TX/CI/PV/,6549AK99740,-145.25530499999996,66.56556000000006,100.0
YUKON KOYUKUK MENlAL HEALTH PROGRAM,ALCOHOL AND DRUG ABUSE SERVICES,,,,,GALENA,AK,99741,(907)656-1617,AD/AM/W/Y/B/H/AI/PI/CU/PG/EA/DW/TX/CI/PV/,6549AK99741,-156.92916339999996,64.73378460000004,100.0
CITY AND BOROUGH OF JUNEAU,HEALTH AND SOCIAL SERVS CHEM DEP DIV,,3406 GLACIER HIGHWAY,,,JUNEAU,AK,99801,(907)463-3008,AD/DT/RR/AI/HV/PI/IV/DW/TX/CI/,6365AK99801,-134.4719206329768,58.33110089801785,100.0
GASTINEAU MANOR RECOVERY HOME,,,5597 AISEK STREET,,,JUNEAU,AK,99801,(907)780-4338,AD/RR/H/AI/PI/TX/,5014AK99801,-134.4949930787529,58.356582596132796,100.0
LAKESIDE RECOVERY CTR INC/JUNEAU,,,3412 GLACIER HIGHWAY,,,JUNEAU,AK,99802,(907)780-4948,AD/AM/W/Y/A/B/H/AI/HV/CU/PG/EA/DW/TX/,9186AK99802,-134.47224015112593,58.33286549818374,98.39
NATIONAL COUNCIL ON ALCOHOLISM/JUNEAU,,,211 4TH STREET,SUITE 102,,JUNEAU,AK,99801,(907)463-3755,AD/AM/AI/EA/DW/TX/CI/PV/,5157AK99801,-134.4092914715452,58.30215286384433,100.0
COOK INLET COUNCIL ON,ALCOHOL AND DRUG ABUSE,,255 HILLOH SlREET,,,KENAI,AK,99611,(907)283-3658,AD/AM/IV/EA/DW/TX/PV/,1392AK99611,-151.27640499999995,60.571370000000066,85.0
GATEWAY CENTER FOR HUMAN SERVICES,ALCOHOL AND DRUG ABUSE DIVISION,,3050 5TH AVENUE,,,KETCHIKAN,AK,99901,(907)225-4154,AD/OT/RR/AM/H/HV/PI/DW/TX/PV/,8219AK99901,-131.68497261204047,55.353967158754436,100.0
KETCHIKAN YOUTH SERVICES,,,,,,KETCHIKAN,AK,99901,(907)225-2540,AD/AM/W/Y/B/H/AI/TX/PV/,6549AK99901,-131.64753499999995,55.34441500000002,100.0
