GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GKT001,GKT002,GKT003,GKT004,GKT005,GKT006,GKT007,GKT008,GKT009,GKT010,GKT011,GKT012,GKT013,GKT014,GKT015,GKT016,GKT017,GKT018,GKT019,GKT020,GKT021,GKT022,GKT023,GKT024,GKT025,GKT026,GKT027,GKT028,GKT029,GKT030,GKT031,GKT032,GLD001
"G0100230","2000","US","3","6","Alabama","01","Choctaw","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2365990097","18999051","Choctaw County","A","+32027681","-088257855","06",,,171,111,179,347,206,220,248,349,1795,155,411,215,302,93,29,7,146,126,162,406,259,247,222,305,1875,432,708,261,381,185,14,2,8598
"G0100250","2000","US","3","6","Alabama","01","Clarke","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3207377186","36596298","Clarke County","A","+31688155","-087834164","06",,,100,56,315,352,300,400,364,509,2996,409,988,343,661,134,125,16,109,122,250,430,396,491,512,459,3671,539,951,503,682,422,85,12,12404
"G0100270","2000","US","3","6","Alabama","01","Clay","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1567134311","2403035","Clay County","A","+33265810","-085842858","06",,,86,26,130,332,238,293,155,223,1706,280,516,247,233,84,25,15,39,10,185,389,378,318,295,225,1984,264,461,224,253,135,18,0,6617
"G0100290","2000","US","3","6","Alabama","01","Cleburne","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1450940300","2089814","Cleburne County","A","+33647948","-085511937","06",,,66,82,127,343,380,381,196,170,1682,165,469,188,255,101,27,11,93,45,166,320,276,435,228,228,1735,246,496,137,208,243,30,4,6436
"G0100310","2000","US","3","6","Alabama","01","Coffee","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1758576346","3854683","Coffee County","A","+31378987","-085956841","06",,,263,124,297,599,591,459,673,478,3363,846,1976,854,2070,779,179,90,231,166,373,875,708,632,724,562,4208,1198,1996,1115,1492,793,129,42,17721
"G0100330","2000","US","3","6","Alabama","01","Colbert","033",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,,"1539831753","75305160","Colbert County","A","+34731480","-087725960","06",,,180,137,314,729,684,960,761,739,5873,1180,2476,712,1767,521,254,112,238,88,498,972,1007,1054,853,758,6792,1146,2813,1147,1531,878,116,94,24924
"G0100350","2000","US","3","6","Alabama","01","Conecuh","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2203546316","4436364","Conecuh County","A","+31415613","-087002108","06",,,133,87,156,163,186,242,197,218,1579,278,474,119,236,46,32,21,127,63,155,249,201,209,255,343,1939,292,500,214,351,138,27,0,7160
"G0100370","2000","US","3","6","Alabama","01","Coosa","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1689820597","36039382","Coosa County","A","+32955511","-086236319","06",,,115,39,112,178,202,263,258,228,1668,155,417,169,221,90,19,13,65,24,91,220,311,330,223,172,1496,259,404,193,207,84,22,7,6776
"G0100390","2000","US","3","6","Alabama","01","Covington","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2677571159","26020615","Covington County","A","+31251036","-086416195","06",,,249,189,416,688,585,621,441,453,4251,694,1229,627,924,344,187,13,228,205,453,1046,702,821,586,432,4222,1062,1436,927,1081,444,113,36,19468
"G0100410","2000","US","3","6","Alabama","01","Crenshaw","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1578805448","3354388","Crenshaw County","A","+31710365","-086289299","06",,,121,79,171,307,227,320,183,270,1211,230,460,145,300,94,35,0,114,57,203,452,298,324,311,263,1478,249,478,278,370,228,11,1,7373
"G0100430","2000","US","3","6","Alabama","01","Cullman","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1912519740","42457211","Cullman County","A","+34155603","-086830179","06",,,266,224,729,1568,1295,1475,1109,932,8041,1653,3274,1366,2002,600,294,91,186,179,808,1830,1587,1249,1181,704,8543,2105,3195,2126,1843,1060,233,39,32392
"G0100450","2000","US","3","6","Alabama","01","Dale","045",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,,"1453174505","4146470","Dale County","A","+31394100","-085615013","06",,,173,87,253,526,408,575,538,382,4170,1234,2951,1325,1720,589,146,41,139,223,340,652,557,770,669,684,4989,1484,2576,1287,1293,493,93,23,18810
"G0100470","2000","US","3","6","Alabama","01","Dallas","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2540033739","32793461","Dallas County","A","+32379942","-087065563","06",,,314,151,415,445,564,646,478,659,4379,562,1561,591,1001,364,301,25,331,205,526,709,676,904,747,754,5267,1037,1794,1023,1442,625,209,37,22191
"G0100490","2000","US","3","6","Alabama","01","DeKalb","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2014784830","1908435","DeKalb County","A","+34459133","-085798919","06",,,436,313,852,1431,1264,1325,900,845,6889,1187,2364,818,1026,367,168,75,390,297,759,1679,1502,1603,975,898,7660,1408,2224,1193,1069,692,110,21,29841
"G0100510","2000","US","3","6","Alabama","01","Elmore","051",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1609044562","93127438","Elmore County","A","+32596847","-086170765","06",,,188,116,278,927,843,931,1010,784,7133,1393,3023,1073,2269,1006,283,92,118,132,245,736,774,927,832,838,7443,2012,3100,1148,2298,1067,124,34,21377
"G0100530","2000","US","3","6","Alabama","01","Escambia","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2453710209","14424173","Escambia County","A","+31104135","-087232880","06",,,184,88,285,673,623,867,810,843,4452,787,1214,565,800,311,113,38,182,126,391,640,658,680,506,474,4408,1056,1478,827,891,425,108,7,17380
"G0100550","2000","US","3","6","Alabama","01","Etowah","055",,,,,"0",,,,,,,,,,,,,"2880","99","N","9999","9999","9",,,,,,,,,"1385183532","36080591","Etowah County","A","+34018597","-086032125","06",,,352,169,763,1455,1124,1360,1273,1186,10675,2025,5372,1923,2938,929,522,134,391,263,791,1839,1854,2172,1825,1298,11856,2626,5114,2751,2741,1724,287,97,47450
"G0100570","2000","US","3","6","Alabama","01","Fayette","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1625632174","4354945","Fayette County","A","+33747077","-087751725","06",,,87,77,197,434,326,378,246,319,2043,371,642,216,344,108,42,18,90,132,198,484,467,364,294,172,2361,458,702,364,379,218,37,11,8787
"G0100590","2000","US","3","6","Alabama","01","Franklin","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1646312169","28139961","Franklin County","A","+34465405","-087832638","06",,,268,216,432,646,828,528,363,428,2979,619,1162,379,673,218,112,32,214,172,361,847,779,814,617,391,3384,747,1108,557,564,355,56,11,15649
"G0100610","2000","US","3","6","Alabama","01","Geneva","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1492559453","6793742","Geneva County","A","+31094579","-085796983","06",,,214,108,337,513,401,473,267,511,2615,625,1047,326,512,198,51,19,128,118,380,536,625,643,393,399,3011,662,1025,705,467,249,21,9,13186
"G0100630","2000","US","3","6","Alabama","01","Greene","063",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1672782673","36438301","Greene County","A","+32837254","-087950852","06",,,111,126,118,127,135,139,129,164,941,76,283,72,190,67,16,1,128,57,131,157,149,177,176,158,1224,190,451,133,267,102,5,4,5010
"G0100650","2000","US","3","6","Alabama","01","Hale","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1667267304","32984565","Hale County","A","+32768094","-087635687","06",,,112,87,194,295,209,285,240,270,1660,282,539,173,250,80,33,19,146,60,165,353,301,318,285,363,2143,349,555,349,291,149,29,7,8595
"G0100670","2000","US","3","6","Alabama","01","Henry","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1455045371","16913484","Henry County","A","+31493511","-085253760","06",,,101,104,161,278,203,269,272,247,1510,286,571,261,559,186,37,10,127,58,147,361,383,368,322,253,1682,468,691,299,458,248,47,0,8107
"G0100690","2000","US","3","6","Alabama","01","Houston","069",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,,"1503124582","3351697","Houston County","A","+31189731","-085350387","06",,,403,243,442,974,916,891,1067,1035,8157,1952,3941,1464,3590,1073,627,229,490,195,623,1527,1056,1365,1451,1093,9652,2418,4329,2170,3524,1367,312,95,33463
"G0100710","2000","US","3","6","Alabama","01","Jackson","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2793932065","124376317","Jackson County","A","+34755318","-085948462","06",,,259,211,579,1236,1015,1040,954,587,5992,985,1940,729,1235,373,160,59,262,245,634,1336,1179,1042,859,568,6715,1264,1850,1156,1165,650,124,32,22976
"G0100730","2000","US","3","6","Alabama","01","Jefferson","073",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"2881639146","28998564","Jefferson County","A","+33527872","-086828050","06",,,2207,920,2711,5381,5406,6316,6363,9044,53509,11216,32157,10028,33096,9627,6776,2561,2020,788,3193,7080,5954,7616,8272,9679,67724,16698,38471,14572,35770,13933,3756,1314,252405
"G0100750","2000","US","3","6","Alabama","01","Lamar","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1566546589","1600546","Lamar County","A","+33772995","-088084702","06",,,48,53,164,393,301,372,212,263,1967,297,441,181,268,90,14,0,59,41,176,483,331,475,230,158,2069,349,515,342,315,142,9,0,8497
"G0100770","2000","US","3","6","Alabama","01","Lauderdale","077",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,,"1733895504","127745460","Lauderdale County","A","+34876890","-087605700","06",,,204,132,570,1536,1025,967,847,926,9318,1595,3774,1020,3553,1207,455,323,216,164,588,1648,1269,1610,1219,994,10787,2086,4010,1508,3465,1482,236,160,33873
"G0100790","2000","US","3","6","Alabama","01","Lawrence","079",,,,,"0",,,,,,,,,,,,,"2030","99","N","9999","9999","9",,,,,,,,,"1795852273","63932890","Lawrence County","A","+34554375","-087302184","06",,,153,128,315,750,713,675,565,463,4320,537,1114,347,547,151,73,17,128,92,464,808,619,948,709,342,4709,735,1035,502,612,241,74,8,16951
"G0100810","2000","US","3","6","Alabama","01","Lee","081",,,,,"0",,,,,,,,,,,,,"0580","99","N","9999","9999","9",,,,,,,,,"1576552257","17723094","Lee County","A","+32607485","-085328947","06",,,268,225,416,579,761,981,973,1123,7427,1615,4572,1718,4661,2238,545,1610,289,231,579,1013,808,1253,867,1191,9149,1957,4422,2402,4741,2555,382,619,34349
"G0100830","2000","US","3","6","Alabama","01","Limestone","083",,,,,"0",,,,,,,,,,,,,"3440","99","N","9999","9999","9",,,,,,,,,"1471241120","101090592","Limestone County","A","+34807445","-086974946","06",,,163,227,601,1041,954,1138,1052,709,6670,1394,3050,984,2622,817,160,153,194,181,551,1018,807,953,807,685,7432,1574,2811,1111,2544,888,110,55,24795
"G0100850","2000","US","3","6","Alabama","01","Lowndes","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1859446869","18376863","Lowndes County","A","+32171280","-086659917","06",,,144,87,120,275,116,183,211,218,1414,152,361,93,230,76,4,2,148,62,158,182,229,197,228,367,1317,230,572,218,373,176,34,6,7152
"G0100870","2000","US","3","6","Alabama","01","Macon","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1581247720","7042123","Macon County","A","+32421555","-085721158","06",,,150,99,197,282,214,325,284,446,1550,370,890,325,616,299,63,80,97,71,309,340,221,285,357,511,1936,497,1128,454,830,579,98,52,11920
"G0100890","2000","US","3","6","Alabama","01","Madison","089",,,,,"0",,,,,,,,,,,,,"3440","99","N","9999","9999","9",,,,,,,,,"2084739506","20532503","Madison County","A","+34730790","-086588226","06",,,578,375,858,2045,1876,2183,2120,2034,16275,4828,13304,5268,21616,8995,1742,1853,574,426,1148,2385,2223,2806,2357,2320,23316,7544,15973,5759,19345,6899,827,537,83374
"G0100910","2000","US","3","6","Alabama","01","Marengo","091",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2530533970","15034262","Marengo County","A","+32331745","-087788789","06",,,131,160,152,187,309,243,256,408,2381,288,842,256,556,130,59,26,128,120,259,292,309,268,429,369,2970,473,923,441,549,381,13,18,11293
"G0100930","2000","US","3","6","Alabama","01","Marion","093",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1920255331","5586055","Marion County","A","+34116331","-087878737","06",,,171,182,423,781,549,661,574,544,3559,718,1144,424,542,174,79,6,133,88,412,1075,633,729,651,356,3548,736,1171,630,515,273,110,20,15220
"G0100950","2000","US","3","6","Alabama","01","Marshall","095",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1468677998","145303458","Marshall County","A","+34329598","-086288884","06",,,346,315,858,1449,1437,1478,1104,907,7532,1527,3457,1587,2692,809,323,120,345,292,936,1951,1445,1649,1361,972,9226,2089,3565,1494,2305,1139,166,85,33612
"G0100970","2000","US","3","6","Alabama","01","Mobile","097",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,,"3193690623","1064308706","Mobile County","A","+30722256","-088139667","06",,,1555,809,1677,4251,3590,4883,4673,5910,36048,6865,17268,5586,14511,4225,2556,1267,1478,755,1602,4595,4398,5538,6153,6356,43774,9523,18520,7690,15988,6557,1030,491,157926
"G0100990","2000","US","3","6","Alabama","01","Monroe","099",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2656951618","22457590","Monroe County","A","+31555656","-087359637","06",,,152,101,194,363,299,457,361,386,2441,353,874,273,534,188,76,51,204,82,212,408,333,541,365,481,2844,489,913,439,588,319,34,23,9727
"G0101010","2000","US","3","6","Alabama","01","Montgomery","101",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"2045477293","25880189","Montgomery County","A","+32331872","-086260844","06",,,901,443,983,1571,1717,2152,2000,2939,15651,3724,10709,3126,11361,4986,1985,1010,757,464,1078,2160,2057,2533,2837,3313,18759,5607,11528,4039,13259,6287,985,421,79579
"G0101030","2000","US","3","6","Alabama","01","Morgan","103",,,,,"0",,,,,,,,,,,,,"2030","99","N","9999","9999","9",,,,,,,,,"1507925725","43627686","Morgan County","A","+34507018","-086918920","06",,,561,315,685,1528,1366,1436,1406,1200,10021,2286,4974,1876,5206,1544,483,226,314,230,684,1641,1380,1899,1313,1389,12231,3322,5455,2329,4081,1659,199,92,42123
"G0101050","2000","US","3","6","Alabama","01","Perry","105",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1863454321","11896118","Perry County","A","+32613284","-087334017","06",,,125,66,142,179,123,169,147,218,974,228,303,123,111,59,23,33,81,54,138,205,207,181,294,296,1145,285,432,162,254,181,25,15,5917
"G0101070","2000","US","3","6","Alabama","01","Pickens","107",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2282862165","22363229","Pickens County","A","+33274090","-088088963","06",,,171,84,202,337,194,277,267,307,2461,298,716,256,365,133,41,12,112,98,197,309,389,468,353,343,2649,374,896,455,508,234,30,0,10340
"G0101090","2000","US","3","6","Alabama","01","Pike","109",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1737968630","2749829","Pike County","A","+31792165","-085937370","06",,,132,97,279,513,271,376,459,381,2405,347,1104,308,950,407,141,62,139,103,361,471,565,552,388,385,2907,565,1068,263,1068,552,59,25,12581
"G0101110","2000","US","3","6","Alabama","01","Randolph","111",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1504900000","7934149","Randolph County","A","+33262424","-085445563","06",,,118,118,270,411,397,435,330,445,2283,320,794,224,457,190,66,35,100,128,294,570,574,626,514,288,2440,532,690,382,462,223,41,5,9967
"G0101130","2000","US","3","6","Alabama","01","Russell","113",,,,,"0",,,,,,,,,,,,,"1800","99","N","9999","9999","9",,,,,,,,,"1661003813","15699413","Russell County","A","+32376002","-085101100","06",,,270,253,423,707,679,973,790,725,4897,776,1954,742,962,356,138,26,360,229,564,968,905,1055,933,915,5697,1335,1920,927,1047,469,106,6,23386
"G0101150","2000","US","3","6","Alabama","01","St Clair","115",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"1641410695","51432687","St. Clair County","A","+33667273","-086329327","06",,,255,125,434,1283,878,1155,1057,1037,7386,1344,2868,1151,1614,415,203,47,208,184,415,1099,1066,1129,1145,883,7535,1830,2711,1132,1637,710,127,38,23858
"G0101170","2000","US","3","6","Alabama","01","Shelby","117",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"2058248819","38413582","Shelby County","A","+33269120","-086698665","06",,,306,124,564,1031,953,1022,991,1108,8821,2331,7494,2049,12872,3345,1506,656,322,116,442,963,962,1220,964,1298,12850,3404,7570,2631,11208,3901,787,374,36764
"G0101190","2000","US","3","6","Alabama","01","Sumter","119",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2343771409","21667529","Sumter County","A","+32558734","-088215706","06",,,142,104,185,178,159,128,196,291,1171,150,507,84,314,115,27,25,134,56,215,273,193,232,263,328,1548,289,616,203,325,194,64,22,6975
"G0101210","2000","US","3","6","Alabama","01","Talladega","121",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1915378668","53656638","Talladega County","A","+33368498","-086178278","06",,,306,200,602,1356,1063,1520,1357,1179,9024,1553,3503,1159,1672,542,237,83,387,242,685,1530,1595,1629,1350,1101,9246,1938,3389,1195,1991,1143,217,66,39650
"G0101230","2000","US","3","6","Alabama","01","Tallapoosa","123",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1859437932","125097133","Tallapoosa County","A","+32850131","-085835005","06",,,157,130,344,651,638,710,690,585,4071,678,1693,533,1438,456,168,60,163,134,428,722,731,957,820,629,5277,1130,1734,756,1241,443,186,20,20500
"G0101250","2000","US","3","6","Alabama","01","Tuscaloosa","125",,,,,"0",,,,,,,,,,,,,"8600","99","N","9999","9999","9",,,,,,,,,"3430104517","69553838","Tuscaloosa County","A","+33235600","-087511691","06",,,741,311,702,1328,1628,1776,1882,1927,12950,2505,7141,2425,6857,2321,1012,1125,661,401,678,1596,1377,2132,1930,1911,15165,3672,7456,2940,7336,3950,574,629,59815
"G0101270","2000","US","3","6","Alabama","01","Walker","127",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2057463774","28245606","Walker County","A","+33819888","-087285406","06",,,403,168,761,1634,1210,1163,1119,1050,7938,1321,2666,1057,1294,504,197,53,329,244,626,1438,1703,1570,1262,1033,8709,1466,3046,1627,1272,878,130,48,38984
"G0101290","2000","US","3","6","Alabama","01","Washington","129",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2798888327","20423419","Washington County","A","+31366088","-088151002","06",,,77,32,124,278,181,195,281,243,2515,263,482,210,282,76,50,7,116,60,226,300,231,212,309,247,2389,338,659,303,345,165,44,0,7450
"G0101310","2000","US","3","6","Alabama","01","Wilcox","131",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2301677587","48643939","Wilcox County","A","+31993335","-087348302","06",,,82,84,80,214,140,191,347,360,1098,167,322,110,268,66,22,14,162,101,102,273,173,258,237,424,1316,251,470,208,336,96,3,4,6537
"G0101330","2000","US","3","6","Alabama","01","Winston","133",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1591383854","45113969","Winston County","A","+34151249","-087418848","06",,,189,146,392,609,468,675,302,286,2827,543,891,217,366,118,95,40,154,137,392,681,631,595,427,303,3028,534,906,334,380,298,103,11,11451
"G0200130","2000","US","4","9","Alaska","02","Aleutians East","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"18099208933","20780667723","Aleutians East Borough","A","+55125713","-162030237","04",,,11,15,98,60,73,25,52,40,700,49,136,99,32,5,2,3,0,10,0,25,37,18,22,21,283,40,72,23,31,23,2,0,574
"G0200160","2000","US","4","9","Alaska","02","Aleutians West","016",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11387589341","25173999631","Aleutians West Census Area","S","+52319360","-172454123","05",,,8,11,78,84,108,116,23,99,1089,310,555,113,246,32,7,5,24,0,160,59,55,34,23,31,373,173,223,33,138,38,3,0,1619
"G0200200","2000","US","4","9","Alaska","02","Anchorage","020",,,,,"0",,,,,,,,,,,,,"0380","99","N","9999","9999","9",,,,,,,,,"4395766279","683445939","Anchorage Municipality","C","+61191900","-149762097","12",,,527,208,390,978,760,1352,1139,2215,19731,6970,16299,6048,14781,5567,2436,897,789,291,646,1084,939,1223,1195,1786,19010,7590,15930,6591,15084,5600,1296,579,62690
"G0200500","2000","US","4","9","Alaska","02","Bethel","050",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"105239784563","12626578961","Bethel Census Area","S","+60888556","-161191411","05",,,130,192,148,206,76,133,156,121,1738,205,547,118,301,108,43,14,191,190,127,243,86,92,172,67,1360,182,343,153,359,162,50,13,4226
"G0200600","2000","US","4","9","Alaska","02","Bristol Bay Borough","060",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1307725488","991362678","Bristol Bay Borough","A","+58690594","-156786726","04",,,1,6,2,17,6,3,9,15,163,34,68,18,64,33,0,7,0,1,0,8,3,8,3,5,103,24,94,26,37,24,0,0,500
