GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E33001,E33002,E33003,E33004,E33005,E33006,E33007
"G0100210","1990","AL",,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",3977,5046,6770,2726,712,864,686
"G0100230","1990","AL",,,,,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",2210,2272,3070,1089,329,512,324
"G0100250","1990","AL",,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",2866,3605,5445,1889,725,1116,639
"G0100270","1990","AL",,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",1600,2399,2692,1057,283,352,276
"G0100290","1990","AL",,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",1747,2321,2394,877,233,271,258
"G0100310","1990","AL",,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",3896,4626,6824,4738,1616,2769,1505
"G0100330","1990","AL",,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",4946,7006,11110,5696,1597,2581,1375
"G0100350","1990","AL",,,,,,,,,,,"99","Conecuh","035",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002203757","0000004438","Conecuh County","A","+31428183","-086992999","06",2141,2101,2927,903,316,372,202
"G0100370","1990","AL",,,,,,,,,,,"99","Coosa","037",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001689951","0000036041","Coosa County","A","+32935503","-086239249","06",1265,2050,2403,785,225,275,181
"G0100390","1990","AL",,,,,,,,,,,"99","Covington","039",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002679941","0000023877","Covington County","A","+31248133","-086453162","06",5194,5094,6962,3330,1312,1460,738
"G0100410","1990","AL",,,,,,,,,,,"99","Crenshaw","041",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001578918","0000003345","Crenshaw County","A","+31731354","-086311599","06",2007,2279,2444,996,331,531,209
"G0100430","1990","AL",,,,,,,,,,,"99","Cullman","043",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001912664","0000042427","Cullman County","A","+34131670","-086866896","06",8267,9826,13529,6120,2762,2098,1307
"G0100450","1990","AL",,,,,,,,,,,"99","Dale","045",,,"6","2180",,,,"9999","3","Alabama","01",,,,,"0001453300","0000004134","Dale County","A","+31426115","-085612338","06",3282,4254,8199,7209,2366,2754,1194
"G0100470","1990","AL",,,,,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",4899,6589,8010,4067,1381,2185,1289
"G0100490","1990","AL",,,,,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",7811,8854,10770,4177,1352,1456,1064
"G0100510","1990","AL",,,,,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",3578,6940,10188,5064,1631,2488,1543
"G0100530","1990","AL",,,,,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",3947,5090,7841,3038,904,1064,643
"G0100550","1990","AL",,,,,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,,,,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",9516,14072,20194,11301,3900,4076,2613
"G0100570","1990","AL",,,,,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",2397,2663,3700,1525,392,651,344
"G0100590","1990","AL",,,,,,,,,,,"99","Franklin","059",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001646417","0000028142","Franklin County","A","+34435932","-087843648","06",3830,4382,5640,2436,735,771,498
"G0100610","1990","AL",,,,,,,,,,,"99","Geneva","061",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001492831","0000006675","Geneva County","A","+31094395","-085837337","06",3308,3588,4924,1951,646,692,366
"G0100630","1990","AL",,,,,,,,,,,"99","Greene","063",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001673033","0000036331","Greene County","A","+32854779","-087951231","06",1461,1273,1727,665,173,402,216
"G0100650","1990","AL",,,,,,,,,,,"99","Hale","065",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001667399","0000032997","Hale County","A","+32755765","-087625424","06",2017,2201,2862,966,376,504,318
"G0100670","1990","AL",,,,,,,,,,,"99","Henry","067",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001455459","0000016634","Henry County","A","+31516095","-085239835","06",1801,2320,2871,1536,587,531,286
"G0100690","1990","AL",,,,,,,,,,,"99","Houston","069",,,"6","2180",,,,"9999","3","Alabama","01",,,,,"0001503260","0000003361","Houston County","A","+31151186","-085304578","06",6792,9434,15026,9156,3050,5202,2494
"G0100710","1990","AL",,,,,,,,,,,"99","Jackson","071",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002794103","0000124361","Jackson County","A","+34776174","-086002129","06",6152,6780,9876,4230,1338,1427,1044
"G0100730","1990","AL",,,,,,,,,,,"99","Jefferson","073",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0002881838","0000028997","Jefferson County","A","+33552433","-086896716","06",38754,72571,120393,85679,23593,55554,29164
"G0100750","1990","AL",,,,,,,,,,,"99","Lamar","075",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001566658","0000001600","Lamar County","A","+33775081","-088096415","06",2248,2554,3441,1047,274,457,174
"G0100770","1990","AL",,,,,,,,,,,"99","Lauderdale","077",,,"6","2650",,,,"9999","3","Alabama","01",,,,,"0001734061","0000127739","Lauderdale County","A","+34903733","-087647581","06",7609,8911,16585,7899,1982,5615,2835
"G0100790","1990","AL",,,,,,,,,,,"99","Lawrence","079",,,"6","2030",,,,"9999","3","Alabama","01",,,,,"0001796023","0000063928","Lawrence County","A","+34519990","-087310217","06",3876,4787,7293,1778,553,828,383
"G0100810","1990","AL",,,,,,,,,,,"99","Lee","081",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001576767","0000017672","Lee County","A","+32597367","-085355886","06",5093,7086,11714,7743,2348,6258,5242
"G0100830","1990","AL",,,,,,,,,,,"99","Limestone","083",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001471352","0000101097","Limestone County","A","+34810321","-086981426","06",5417,7439,10620,5002,1583,3456,1355
"G0100850","1990","AL",,,,,,,,,,,"99","Lowndes","085",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001859626","0000018359","Lowndes County","A","+32157500","-086642632","06",1488,1519,2199,802,368,353,213
"G0100870","1990","AL",,,,,,,,,,,"99","Macon","087",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001581388","0000007040","Macon County","A","+32384887","-085692573","06",2642,2594,3195,1905,947,1456,1020
"G0100890","1990","AL",,,,,,,,,,,"99","Madison","089",,,"6","3440",,,,"9999","3","Alabama","01",,,,,"0002084844","0000020532","Madison County","A","+34760002","-086548777","06",11572,18639,35243,31833,9528,31447,14602
"G0100910","1990","AL",,,,,,,,,,,"99","Marengo","091",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002530740","0000015033","Marengo County","A","+32248548","-087790375","06",2104,3321,4840,1613,560,1059,553
"G0100930","1990","AL",,,,,,,,,,,"99","Marion","093",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001920398","0000005583","Marion County","A","+34134472","-087886567","06",4581,5147,5584,2220,632,755,546
"G0100950","1990","AL",,,,,,,,,,,"99","Marshall","095",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001468803","0000145314","Marshall County","A","+34365158","-086313058","06",8131,9854,13615,7481,2238,3417,1942
"G0100970","1990","AL",,,,,,,,,,,"99","Mobile","097",,,"6","5160",,,,"9999","3","Alabama","01",,,,,"0003194402","0001063906","Mobile County","A","+30684350","-088198527","06",25046,44294,75114,40586,11136,24279,11799
"G0100990","1990","AL",,,,,,,,,,,"99","Monroe","099",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002657256","0000022404","Monroe County","A","+31562730","-087353102","06",2489,3310,4478,1844,569,1093,445
"G0101010","1990","AL",,,,,,,,,,,"99","Montgomery","101",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0002045765","0000025733","Montgomery County","A","+32224349","-086203795","06",11527,20186,32844,25787,6946,19335,11740
"G0101030","1990","AL",,,,,,,,,,,"99","Morgan","103",,,"6","2030",,,,"9999","3","Alabama","01",,,,,"0001508018","0000043624","Morgan County","A","+34453298","-086857298","06",8416,11398,19282,11991,3609,6873,3146
"G0101050","1990","AL",,,,,,,,,,,"99","Perry","105",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001863600","0000011901","Perry County","A","+32638846","-087293685","06",1820,1687,1936,619,266,462,363
"G0101070","1990","AL",,,,,,,,,,,"99","Pickens","107",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002282979","0000022369","Pickens County","A","+33283797","-088084083","06",2526,3156,4465,1387,570,553,306
"G0101090","1990","AL",,,,,,,,,,,"99","Pike","109",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001738113","0000002751","Pike County","A","+31806086","-085938912","06",3188,3263,4406,2204,414,1390,852
"G0101110","1990","AL",,,,,,,,,,,"99","Randolph","111",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001505028","0000007933","Randolph County","A","+33290802","-085456433","06",2918,3445,3678,1395,381,610,382
"G0101130","1990","AL",,,,,,,,,,,"99","Russell","113",,,"6","1800",,,,"9999","3","Alabama","01",,,,,"0001660542","0000016319","Russell County","A","+32287341","-085184114","06",5708,7042,9153,4173,1159,1721,716
"G0101150","1990","AL",,,,,,,,,,,"99","St Clair","115",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0001642030","0000050944","St. Clair County","A","+33712571","-086318306","06",5266,7184,10492,4912,1359,1715,993
"G0101170","1990","AL",,,,,,,,,,,"99","Shelby","117",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0002058840","0000038020","Shelby County","A","+33266792","-086654667","06",5014,8493,15884,11700,2869,12561,5417
"G0101190","1990","AL",,,,,,,,,,,"99","Sumter","119",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002343918","0000021669","Sumter County","A","+32593446","-088193795","06",1899,2360,2343,1146,210,616,380
"G0101210","1990","AL",,,,,,,,,,,"99","Talladega","121",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001915562","0000053677","Talladega County","A","+33383988","-086169488","06",7332,10766,14713,6600,1976,2740,1964
"G0101230","1990","AL",,,,,,,,,,,"99","Tallapoosa","123",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001859724","0000124994","Tallapoosa County","A","+32860832","-085797597","06",4405,6206,7187,3313,1148,1981,921
"G0101250","1990","AL",,,,,,,,,,,"99","Tuscaloosa","125",,,"6","8600",,,,"9999","3","Alabama","01",,,,,"0003432429","0000069317","Tuscaloosa County","A","+33287940","-087523765","06",10802,16260,24689,14775,4654,9692,8090
"G0101270","1990","AL",,,,,,,,,,,"99","Walker","127",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0002057633","0000028248","Walker County","A","+33807130","-087295532","06",8555,10795,14080,5475,1961,1803,1351
"G0101290","1990","AL",,,,,,,,,,,"99","Washington","129",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002799102","0000020425","Washington County","A","+31402696","-088202751","06",2041,2125,3693,1126,304,428,243
"G0101310","1990","AL",,,,,,,,,,,"99","Wilcox","131",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002301870","0000048649","Wilcox County","A","+31990903","-087308887","06",1987,1784,2048,818,280,540,258
"G0101330","1990","AL",,,,,,,,,,,"99","Winston","133",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001591515","0000045117","Winston County","A","+34154535","-087373481","06",3551,3851,4195,1524,549,458,318
"G0200130","1990","AK",,,,,,,,,,,"99","Aleutians East","013",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0018090504","0020789982","Aleutians East Borough","A","+55229183","-161915191","04",282,232,481,262,76,138,60
"G0200160","1990","AK",,,,,,,,,,,"99","Aleutians West","016",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0011401462","0025155601","Aleutians West Census Area","S","+52242645","-175129755","05",270,504,1767,1680,436,638,172
"G0200200","1990","AK",,,,,,,,,,,"99","Anchorage","020",,,"9","0380",,,,"9999","4","Alaska","02",,,,,"0004396902","0000683421","Anchorage Borough","B","+61178368","-149186416","04",3836,9303,34504,40784,11536,23694,12998
"G0200500","1990","AK",,,,,,,,,,,"99","Bethel","050",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0106416388","0012605996","Bethel Census Area","S","+60939161","-160147317","05",1963,621,2170,931,273,553,343
"G0200600","1990","AK",,,,,,,,,,,"99","Bristol Bay Borough","060",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0001344789","0001031830","Bristol Bay Borough","A","+58744623","-156988097","04",55,36,228,329,73,94,74
"G0200700","1990","AK",,,,,,,,,,,"99","Dillingham","070",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0047829349","0005558624","Dillingham Census Area","S","+59949649","-158429855","05",454,199,687,387,102,219,111
"G0200900","1990","AK",,,,,,,,,,,"99","Fairbanks North Star","090",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0019068693","0000210436","Fairbanks North Star Borough","A","+64846315","-146643388","04",1225,3187,12251,12917,2779,6908,4021
"G0201000","1990","AK",,,,,,,,,,,"99","Haines","100",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0006104612","0001028498","Haines Borough","A","+59155973","-135443717","04",90,209,377,386,86,186,59
"G0201100","1990","AK",,,,,,,,,,,"99","Juneau","110",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0006717313","0001262781","Juneau Borough","B","+58388588","-134133421","04",553,1148,4137,4682,1099,3187,1963
"G0201220","1990","AK",,,,,,,,,,,"99","Kenai Peninsula","122",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0041644386","0014466224","Kenai Peninsula Borough","A","+60202478","-151629576","04",934,2185,8560,6581,1789,3165,1209
"G0201300","1990","AK",,,,,,,,,,,"99","Ketchikan Gateway","130",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0003158883","0001356922","Ketchikan Gateway Borough","A","+55541150","-131408008","04",299,953,2648,2319,601,1169,562
"G0201500","1990","AK",,,,,,,,,,,"99","Kodiak Island","150",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0016738061","0013942816","Kodiak Island Borough","A","+57707368","-153782518","04",508,686,2478,1966,476,1192,482
"G0201640","1990","AK",,,,,,,,,,,"99","Lake And Peninsula","164",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0061207704","0013923634","Lake and Peninsula Borough","A","+58401493","-156184669","04",220,135,307,84,28,98,32
"G0201700","1990","AK",,,,,,,,,,,"99","Matanuska-Susitna","170",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0063956536","0001395411","Matanuska-Susitna Borough","A","+62395317","-149575328","04",807,2054,7855,6680,1812,2723,1509
"G0201800","1990","AK",,,,,,,,,,,"99","Nome","180",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0059602512","0013632761","Nome Census Area","S","+64735328","-164186608","05",951,573,1360,676,190,395,206
"G0201850","1990","AK",,,,,,,,,,,"99","North Slope","185",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0227558672","0015443149","North Slope Borough","A","+69296886","-153448095","04",605,398,970,610,150,297,153
"G0201880","1990","AK",,,,,,,,,,,"99","Northwest Arctic","188",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0092883808","0012428093","Northwest Arctic Borough","A","+67000678","-159998166","04",717,312,982,387,107,224,115
"G0202010","1990","AK",,,,,,,,,,,"99","Prince Of Wales-Outer Ketchikan","201",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0018970375","0013576622","Prince of Wales-Outer Ketchikan Census Area","S","+55454038","-132050372","05",137,703,1521,787,154,285,139
"G0202200","1990","AK",,,,,,,,,,,"99","Sitka","220",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0007463030","0005097345","Sitka Borough","B","+57214050","-135446833","04",209,469,1606,1498,324,782,337
"G0202310","1990","AK",,,,,,,,,,,"99","Skagway-Yakutat-Angoon","231",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0033360798","0011964847","Skagway-Yakutat-Angoon Census Area","S","+58811136","-136622061","05",168,382,960,582,143,292,128
"G0202400","1990","AK",,,,,,,,,,,"99","Southeast Fairbanks","240",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0067324739","0000625041","Southeast Fairbanks Census Area","S","+63765233","-143598085","05",193,273,1122,852,233,410,215
"G0202610","1990","AK",,,,,,,,,,,"99","Valdez-Cordova","261",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0095688464","0017017123","Valdez-Cordova Census Area","S","+61400254","-144503102","05",348,665,2006,1632,467,833,331
"G0202700","1990","AK",,,,,,,,,,,"99","Wade Hampton","270",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0044351368","0006620034","Wade Hampton Census Area","S","+62087611","-163529421","05",808,245,806,329,51,141,114
"G0202800","1990","AK",,,,,,,,,,,"99","Wrangell-Petersburg","280",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0015044097","0008197976","Wrangell-Petersburg Census Area","S","+56518015","-132961816","05",200,627,1512,955,201,514,350
"G0202900","1990","AK",,,,,,,,,,,"99","Yukon-Koyukuk","290",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0406944070","0004855431","Yukon-Koyukuk Census Area","S","+65285776","-151646937","05",789,524,1630,1023,258,480,197
"G0400010","1990","AZ",,,,,,,,,,,"99","Apache","001",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0029022713","0000034927","Apache County","A","+35383620","-109488456","06",7979,5470,7571,4565,1555,1447,1073
"G0400030","1990","AZ",,,,,,,,,,,"99","Cochise","003",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0015980285","0000127746","Cochise County","A","+31890821","-109736956","06",7624,7252,16357,14968,5179,6097,3753
"G0400050","1990","AZ",,,,,,,,,,,"99","Coconino","005",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0048223545","0000112495","Coconino County","A","+35835573","-111768163","06",5042,5538,11996,12719,2784,7795,4604
"G0400070","1990","AZ",,,,,,,,,,,"99","Gila","007",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0012349309","0000072608","Gila County","A","+33797288","-110818155","06",3139,5470,8648,5856,1268,1601,1014
"G0400090","1990","AZ",,,,,,,,,,,"99","Graham","009",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0011990779","0000030640","Graham County","A","+32936517","-109891347","06",2071,2762,4138,3353,901,1030,658
"G0400110","1990","AZ",,,,,,,,,,,"99","Greenlee","011",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0004784084","0000003665","Greenlee County","A","+33185081","-109232988","06",514,710,2034,724,269,269,223
"G0400120","1990","AZ",,,,,,,,,,,"99","La Paz","012",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0011653884","0000036498","La Paz County","A","+33727923","-113979016","06",1331,1999,2836,1551,507,479,288
"G0400130","1990","AZ",,,,,,,,,,,"99","Maricopa","013",,,"8","6200",,,,"9999","4","Arizona","04",,,,,"0023838482","0000053895","Maricopa County","A","+33342656","-112490919","06",99009,149805,342255,358616,97396,201449,96124
"G0400150","1990","AZ",,,,,,,,,,,"99","Mohave","015",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0034479166","0000409435","Mohave County","A","+35708232","-113753337","06",4761,13193,22389,15495,3397,4353,2451
"G0400170","1990","AZ",,,,,,,,,,,"99","Navajo","017",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0025780344","0000016618","Navajo County","A","+35387551","-110319661","06",6811,7625,11622,8224,2411,2583,1492
"G0400190","1990","AZ",,,,,,,,,,,"99","Pima","019",,,"8","8520",,,,"9999","4","Arizona","04",,,,,"0023794348","0000006304","Pima County","A","+32103960","-111814821","06",34750,47907,105908,108112,28652,60746,37957
"G0400210","1990","AZ",,,,,,,,,,,"99","Pinal","021",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0013908286","0000011653","Pinal County","A","+32909084","-111346897","06",11530,13233,22222,15268,3592,3677,2199
"G0400230","1990","AZ",,,,,,,,,,,"99","Santa Cruz","023",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0003205764","0000001227","Santa Cruz County","A","+31523864","-110836469","06",4310,2814,4244,2693,790,1122,677
"G0400250","1990","AZ",,,,,,,,,,,"99","Yavapai","025",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0021039978","0000012405","Yavapai County","A","+34595236","-112554041","06",5488,10832,22671,19752,4845,9010,4680
"G0400270","1990","AZ",,,,,,,,,,,"99","Yuma","027",,,"8","9360",,,,"9999","4","Arizona","04",,,,,"0014282395","0000012656","Yuma County","A","+32764761","-113897214","06",13150,8961,16549,12432,3910,4896,3126
"G0500010","1990","AR",,,,,,,,,,,"99","Arkansas","001",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002560297","0000117372","Arkansas County","A","+34288872","-091376344","06",2888,2577,4934,1921,294,1044,401
"G0500030","1990","AR",,,,,,,,,,,"99","Ashley","003",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002386316","0000046109","Ashley County","A","+33190783","-091772262","06",2468,3191,5874,1964,303,978,444
"G0500050","1990","AR",,,,,,,,,,,"99","Baxter","005",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001435941","0000083827","Baxter County","A","+36286225","-092339841","06",3130,4361,8307,4231,899,1661,775
"G0500070","1990","AR",,,,,,,,,,,"99","Benton","007",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002184170","0000086778","Benton County","A","+36337987","-094257842","06",6348,9967,23121,12886,3062,6343,2948
"G0500090","1990","AR",,,,,,,,,,,"99","Boone","009",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001531264","0000027566","Boone County","A","+36313592","-093092833","06",2811,3260,6711,3166,817,1433,567
"G0500110","1990","AR",,,,,,,,,,,"99","Bradley","011",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001685258","0000009718","Bradley County","A","+33463242","-092168367","06",1512,1879,2677,762,147,598,156
"G0500130","1990","AR",,,,,,,,,,,"99","Calhoun","013",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001627372","0000011042","Calhoun County","A","+33554153","-092497141","06",646,736,1534,433,142,190,89
"G0500150","1990","AR",,,,,,,,,,,"99","Carroll","015",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001641517","0000022112","Carroll County","A","+36337153","-093541961","06",1887,2125,4460,2351,384,963,508
"G0500170","1990","AR",,,,,,,,,,,"99","Chicot","017",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001668139","0000121371","Chicot County","A","+33266340","-091297700","06",2341,2186,2927,929,126,548,221
"G0500190","1990","AR",,,,,,,,,,,"99","Clark","019",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002241656","0000044473","Clark County","A","+34053832","-093176507","06",2072,2422,3664,2048,311,1355,933
"G0500210","1990","AR",,,,,,,,,,,"99","Clay","021",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001655897","0000005490","Clay County","A","+36376360","-090421474","06",4117,2365,3927,1087,309,402,243
"G0500230","1990","AR",,,,,,,,,,,"99","Cleburne","023",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001432511","0000100652","Cleburne County","A","+35542425","-092028995","06",2708,2686,4763,2027,369,864,431
