Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys
2813 West 5th Avenue,,,,,,Chicago,IL,60612,(773)233-8524x4746,,TX/OP/DU/SF/MD/PI/SS/
1724 1st Street,,,,,,Highland Park,IL,60035,(847)433-1303,,SA/TX/OP/DU/SF/MD/SS/AH/
Prairie View Inc,McPherson,,,,,McPherson,KS,67460,(620)245-5000,,MH-SA/TX/OP/AD/SF/MD/MC/SI/PI/MI/SP/
Martin Fernandez,Gunsmoke,,,,,Scott City,KS,67871,(620)872-5214,,SA/TX/OP/DU/SF/
102 South First Street,,,,,,Nicholasville,KY,40356,(859)887-0325,,MH-SA/TX/OP/DU/SF/SS/AH/
Owensboro Area Shelter and Information Services (OASIS),,,,,,Owensboro,KY,42302,(270)685-0260 Hotlines: (800)882-2873 (270)685-0260,,TX/HH/RS/RL/WN/BC/PA/AH/SP/
Western Kentucky Drug and Alcohol,Intervention Services Inc/Paducah,6th and Broadway,,,,Paducah,KY,42001,(270)247-4212 Intake: (800)273-1282,,SA/TX/OP/SF/SP/
Oak Grove Courthouse,,,,,,Oak Grove,LA,71263,(318)428-9202,,SA/TX/OP/SF/SS/PA/
Volunteers of America,Project Rebound,Long Island Campus,,,,Boston,MA,2122,(617)770-0453x2 Intake: (617)661-3991,,SA/TX/RS/RL/AD/CO/MD/SI/PI/
Boston Public Health Commission,Transitions,Long Island Health Campus,,,,Dorchester,MA,2122,(617)534-9150,,SA/TX/RS/PA/
260 Beacon Street,,,,,,Somerville,MA,2143,(617)661-0405 Intake: (617)661-5700,,SA/TX/BU/OP/SE/WN/SF/MD/MC/SI/PI/MI/SS/PA/
33 East Forest,,,,,,Detroit,MI,48201,(313)833-3962,,SA/TX/OP/AD/SF/PA/AH/SP/
Northpointe Counseling Services,7204-East Grand River,Lot 143,,,,Portland,MI,48875,(616)523-6677 Intake: (517)526-4353,,SA/TX/OP/PH/AD/PW/WN/DU/CJ/SF/MD/
Yap Memorial Hospital,Department of Health Services,,,,,Yap,FM,96943,(691)350-2115x40 Intakes: (691)350-2115x123 (691)350-2115,,GH/TX/DT/HI/AD/CO/HV/GL/SE/PW/WN/MN/CJ/PA/
3028 Locust Street,,,,,,Saint Louis,MO,63103,(314)621-9009,,SA/TX/OP/PH/PW/SF/MD/PI/SS/PA/AH/
Crystal Creek Lodge Treatment Center,Blackfeet Indian Reservation,Old Hospital Hill,,,,Browning,MT,59417,(406)338-6330 Intakes: (406)338-6330x6316 (406)338- 6320x6166 Hotline: (800)338DRUG,DWI/DUI Clients Only,MH-SA/TX/RS/RL/OP/CO/SE/PW/WN/MN/DU/CJ/SF/MD/AR/
Confederated Salish/Kootenai Tribes,,,,,,Saint Ignatius,MT,59865,(406)745-3525x5014,,MH-SA/TX/OP/AD/DU/MD/MC/SI/PI/MI/AR/PA/
Saint Monicas,Project Mother Child,,,,,Lincoln,NE,68510,(402)441-3768,,SA/TX/RL/WN/BC/SF/MD/SI/PI/SS/AH/SP/
Ponca Tribe of Nebraska,,,,,,Niobrara,NE,68760,(402)857-3391,,MH-SA/TX/OP/PA/
Pueblo of Nambe,Nambe Pueblo,15A NP 102 West,,,,Santa Fe,NM,87506,(505)455-0133x14,,SA/TX/OP/CO/SF/MD/PI/PA/
Horizons,Daybreak,,,,,Carrboro,NC,27510,(919)966-9803,,MH-SA/TX/BU/RL/PW/WN/BC/MD/
Freedom House,P.O. Box 38215,,,,,Greensboro,NC,27438,(336)286-7622,,SA/TX/RL/OP/PW/WN/BC/CJ/SF/MD/
Wichita and Affiliated Tribes of OK,Health Prog Bldg at Government HQ,,,,,Anadarko,OK,73005,(405)247-2425,,SA/TX/OP/PA/
Narconon of Oklahoma Inc,Narconon Arrowhead,HC 67 Box 5,,,,Canadian,OK,74425,(918)339-5800 Intake: (800)468-6933 Hotlines: (800)468-6933 (918)339-5800,,SA/TX/DT/RS/RL/GL/SE/WN/MN/SF/PI/
Reading Hospital and Medical Center,Kutztown University,Boehm Science Center,,,,Kutztown,PA,19530,(610)988-8070,,SA/TX/OP/SF/MD/PI/
Ministry of Health,Koror,,,,,Palau,PW,96940,(680)488-1907 Intakes: (680)488-4711 (680)488-1164,,MH-SA/TX/DT/HI/OP/PH/AD/WN/CJ/SF/PI/SS/PA/
Renewal House Inc,P.O. Box 280356,,,,,Nashville,TN,37228,(615)255-5222,,MH-SA/TX/HH/OP/CO/PW/WN/SF/SI/AR/SS/PA/AH/
Womens Home Inc,,,,,,Arlington,VA,22207,(703)237-2822 Intake: (703)237-2822x0,,SA/TX/HH/RL/WN/SF/
Sagebrush Treatment Inc,Inpatient/Residential,P.O. Box 554,,,,Great Falls,VA,22066,(888)406-7444 Intake: (703)444-9141,,SA/TX/DT/BU/RS/RL/CO/WN/MN/SF/PI/SS/
Spokane Addiction Recovery Centers,(SPARC)/Residential Long Term,,,,,Spokane,WA,99204,(509)624-3251,,SA/TX/HH/RS/CO/WN/MN/SF/MD/SI/PI/AR/AH/
Prestera Center for MH Services Inc,One Prestera Way,,,,,Huntington,WV,25705,(304)525-7851,,MH-SA/TX/OP/AD/CO/SF/MD/MC/SI/PI/MI/SS/PA/
Stockbridge Munsee Health/Wellness Ctr,Behavioral Health Department,West 12802 County A,,,,Bowler,WI,54416,(715)793-3000,,MH-SA/TX/OP/WN/MN/SF/MD/MC/SI/PI/MI/
Marquette Chemical Dependency Service,North 3829 South 22,,,,,Montello,WI,53949,(608)297-2085,,SA/TX/OP/AD/DU/SF/MD/MC/SI/PI/MI/
Substance Abuse Counseling Center,Marine and Family Services Center,Marine Corps Community Services,,MCAS Miramar,,San Diego,CA,92145,(858)577-6585 Hotlines: (858)577-6585 (858)577-9849,,MH/TX/OP/PH/CO/HV/GL/SE/PW/WN/MN/MI/SP/
Cenla Chemical Dependency Council,Gateway Adolescent Unit,Central Louisiana State Hospital,,Unit 6,,Pineville,LA,71360,(318)484-6895 Intake: (318)484-6898,,SA/TX/RL/AD/SF/SI/PI/SS/PA/
Lac Vieux Desert,Behavioral Health Services,E23968 Pow Wow Trail,,P.O. Box 249,,Watersmeet,MI,49969,(906)358-0252,,MH-SA/TX/OP/DU/CJ/SF/MD/MC/PI/MI/AR/
Brattleboro Retreat,Adult Alcohol Abuse Program/Tyler One,Anna Marsh Lane,,P.O. Box 803,,Brattleboro,VT,5302,(800)345-5550x6182 Intake: (800)345-5550,,MH-SA/TX/DT/MM/DM/BU/HI/OP/PH/AD/CO/GL/SF/MD/MC/PI/MI/AH/
Brattleboro Retreat,Starting Now,Anna Marsh Lane,,P.O. Box 803,,Brattleboro,VT,5302,(802)258-3705,,SA/TX/BU/OP/SF/MD/MC/SI/PI/MI/
