Year,Page,Center_name,Street_address,City,State,Postal_code,Phone,Keys
2012,16,Bradford Health Services Dothan Outreach,114 Adris Place,Dothan,AL,36303,(334) 671-1677 Hotline: (334) 671-1677,SA TX OP PH AD SF SI PI
2012,16,Herring Houses of Dothan Southeast Intervention Group Inc,101 North Herring Street,Dothan,AL,36303,(334) 699-3175,SA TX HH RL MN SF
2012,16,SpectraCare ˝e Haven,831 John D Odom Road,Dothan,AL,36303,(334) 794-3771 Intake: (334) 673-2143 Hotline: (800) 951-4357,SA TX RS SF SI PI MI
2012,17,A Baldwin County Mental Health Center RAPPORT Adult IOP/Fairhope,372 South Greeno Road,Fairhope,AL,36532,(251) 990-4234 Hotlines: (251) 928-9500 (800) 558-8295,SA TX OP SF MD SI MI SS AH
2012,17,Bradford Health Services Florence Outreach,303 East College Street Suite A,Florence,AL,35630,(256) 760-0200 Intake: (800) 217-2849,SA TX OP AD SF SI PI
2012,17,Riverbend Center for Mental Health Substance Abuse Services,635 West College Street,Florence,AL,35630,(256) 764-3431x205 Intake: (256) 764-3431 Hotline: (256) 764-3431,MH-SA TX OP PH AD SF MD MC SI PI MI AH
2012,17,Bridge Inc Fort Payne Recovery Center,100 7th Street NE,Fort Payne,AL,35967,(256) 845-7767 Intake: (888) 845-6220,SA TX OP SF MD SI PI MI SS PA AH
2012,17,Family Life Center,300 Gault Avenue South,Fort Payne,AL,35967,(256) 997-9356,MH-SA TX OP SF SS
2012,17,Army Substance Abuse Program CDR USA Aeromedical Center Andrews Avenue,Building 301,Fort Rucker,AL,36362,(334) 255-7509,"SA TX OPBridge Inc 3232 Lay Springs Road Gadsden, AL 35904 (256) 546-6324 SA TX RL AD BC SF MD SI PI MI SS PA "
2012,17,Fellowship House Inc,4209 Brooke Avenue,Gadsden,AL,35904,(256) 413-3470 Intake: (866) 287-5748,SA TX HH RL MN SF SS PA
2012,17,Gadsden Treatment Center,1107 West Meighan Boulevard,Gadsden,AL,35901,(256) 549-0807 Hotline: (256) 549-0807 Methadone Clients Only,SA TX MM OP HV PW SF PI AH
2012,17,Mountain View Hospital Outpatient Services,3001 Scenic Highway,Gadsden,AL,35904,(800) 245-3645 Intake: (256) 546-9265 Hotline: (800) 662-1002,MH-SA TX DT BU HI OP PH AD CO SF MD MC SI PI MI
2012,17,Mountain View Hospital Partial Hospitalization Program,3001 Scenic Highway,Gadsden,AL,35904,(256) 546-9265 Intakes: (256) 546-9265x276 (256) 546- 9265x268,MH TX DT BU HI OP PH SF MC PI MI
2012,17,SpectraCare Geneva County/IOP,1203 West Maple Street,Geneva,AL,36340,(334) 673-2143,SA TX OP CJ SF MD SI PI SS AH
2012,17,Gulf Coast Treatment Center,12271 Interchange Road,Grand Bay,AL,36541,(251) 865-0123 Methadone Clients Only,SA TX MM OP PW SF AH SP
2012,17,Cedar Lodge A Program of MLBH,22165 U.S. Highway 431,Guntersville,AL,35976,(256) 582-4465 Intakes: (256) 582-4465x100 (256) 582- 4452x100 Hotlines: (256) 582-4465x100 (256) 582-5339,SA TX RS OP SF MD SI PI MI SS AH
2012,17,Family Life Center,432 Gunter Avenue,Guntersville,AL,35976,(256) 582-1471,MH-SA TX OP SF SS
2012,17,Marion County Treatment Center,1879 Military Street South,Hamilton,AL,35570,(205) 921-3799 Methadone Clients Only,SA TX MM OP PW WN MN SF PI AH
2012,17,Alabama Recovery Center,600 Whitesport Drive Suite D,Huntsville,AL,35801,(256) 880-0556 Intakes: (256) 880-0556x556 (256) 882-1178,MH-SA TX OP SF
2012,17,Bradford Health Services Huntsville Regional O˜ce,555 Sparkman Drive Suite 208,Huntsville,AL,35816,(256) 895-3848,SA TX OP AD SF PI MI
2012,18,Crestwood Medical Center of Huntsville Behavioral Services,1 Hospital Drive,Huntsville,AL,35801,(256) 429-4000 Intake: (256) 429-5480,MH-SA TX DT BU HI OP SF MD MC PI MI
2012,18,Huntsville Madison County MH Center New Horizons Recovery Center,4040 Memorial Parkway SW Suite C,Huntsville,AL,35802,(256) 532-4141 Intake: (256) 533-1970 Hotline: (256) 533-1970,SA TX OP SF MD SI PI PA AH SP
2012,18,Huntsville Metro Treatment Center,2227 Drake Avenue Suite 19,Huntsville,AL,35805,(256) 881-1311 Methadone and Buprenorphine Clients Only,SA TX DT MM DM BU OP SF
2012,18,Huntsville Recovery Inc,4040 Independence Avenue,Huntsville,AL,35816,(256) 721-1940 Methadone Clients Only,SA TX MM OP PW SF
2012,18,Path˙nder Inc,3104 Ivy Avenue SW,Huntsville,AL,35805,(256) 534-7644,SA TX RL OP SF SS AH SP
2012,18,Jacksonville Medical Center,1701 Pelham Road South,Jacksonville,AL,36265,(256) 435-4970,GH TX DT HI SF MD MC PI MI
2012,18,Northwest Alabama Mental Health Center,1100 7th Avenue,Jasper,AL,35501,(205) 302-9000x9017 Intakes: (205) 302-9000 (205) 487-2124,MH-SA TX OP PH AD CO DU SF MD MC SI PI MI SS AH
2012,18,Walker Recovery Center Inc,2195 North Airport Road,Jasper,AL,35504,(205) 221-1799 Intake: (205) 221-1796 Methadone and Buprenorphine Clients Only,SA TX MM DM BU OP PW WN MN SF PI
2012,18,Metro Treatment of Alabama LP Sumter County Treatment Center,106 Hospital Road Suite 101,Livingston,AL,35470,(205) 652-4919 Methadone and Buprenorphine Clients Only,SA TX DT MM DM BU OP SF
2012,18,Bradford Health Services Huntsville Madison Inpt and Outpt,1600 Browns Ferry Road,Madison,AL,35758,(800) 879-7272 Hotline: (800) 879-7272,SA TX DT BU RS AD BC SF SI PI MI AH
2012,18,AltaPointe Health Systems Inc AltaPointe Medication Assisted Trt,4211 Government Boulevard,Mobile,AL,36693,(251) 666-2569 Hotline: (251) 473-4423 Methadone Clients Only,SA TX MM OP SF MD PI SS AH
2012,18,Bradford Health Services Mobile Regional Facility,1000 Hillcrest Road Suite 304,Mobile,AL,36695,(800) 333-0906 Intake: (251) 633-0900 Hotlines: (251) 633-0900 (800) 333-0906,SA TX OP AD CO WN MN SF PI
2012,18,Bridge Inc Recovery Center for Teens,722 Downtowner  Loop West,Mobile,AL,36609,(251) 338-1780 Intake: (251) 338-1780x304,SA TX OP AD MD SI
2012,18,Bridge Inc Westwood,3401 Newman Road,Mobile,AL,36695,(251) 633-0475,SA TX RS RL AD CO SF MD SI PI MI SS PA AH
2012,18,Dauphin Way Lodge,1009 Dauphin Street,Mobile,AL,36604,(251) 438-4729x149 Intake: (251) 438-4729x129,SA TX HH RS RL SF MD 
2012,18,Program,808 Downtowner Loop West,Mobile,AL,36609,(251) 341-9504 Methadone Clients Only,SA TX MM OP PW SF
2012,18,Franklin Primary Health Center,1055 Dauphin Street,Mobile,AL,36604,(251) 434-8195,SA TX OP SF
2012,18,Mobile Metro Treatment Center,1924 Dauphin Island Parkway Suite C,Mobile,AL,36605,(251) 476-5733 Methadone and Buprenorphine Clients Only,SA TX DT MM DM BU OP SF SP
2012,19,Gulf Coast Healthcare System Mobile Outpatient Clinic,1504 Springhill Avenue,Mobile,AL,36604,(251) 219-3900 Intakes: (251) 219-3784 (251) 219-3701,GH TX BU OP SF MI PA
2012,19,Bradford Health Services Montgomery Regional O˜ce,386 Saint Lukes Drive,Montgomery,AL,36117,(800) 873-2887 Hotline: (800) 873-2887,SA TX OP SF SI PI
2012,19,Chemical Addictions Program Inc (CAP) Adolescent Intensive Outpatient Prog,1153 Air Base Boulevard,Montgomery,AL,36108,(334) 269-2150,SA TX OP AD SF MD MC SI PI
2012,19,Lighthouse Counseling Center Inc Intensive Outpatient Unit,1415 East South Boulevard,Montgomery,AL,36116,(334) 286-5980x222 Intakes: (334) 286-5980 (334) 286-5981,SA TX OP CO HV PW CJ SF MD SI  SS PA AH
2012,19,Montgomery Metro Treatment Center,4303 Norman Bridge Road,Montgomery,AL,36105,(334) 288-5363 Methadone and Buprenorphine Clients Only,SA TX DT MM DM BU OP SF
2012,19,Shoals Treatment Center,3430 North Jackson Highway,Muscle Shoals,AL,35660,(256) 383-6646 Hotline: (256) 383-6646 Methadone Clients Only,SA TX MM DM OP CO PW WN MN SF PI AH SP F30
2012,19,Houston Treatment Center,9283 U.S. Highway 84 West,Newton,AL,36352,(334) 692-4455 Hotline: (334) 692-4455 Methadone Clients Only,SA TX DT MM DM OP PW WN MN SF PI
2012,19,Bradford Health Services Tuscaloosa Regional O˜ce,515 Energy Center Boulevard,Northport,AL,35473,(205) 750-0227 Intake: (800) 891-9673 Hotlines: (205) 750-0227 (800) 891-9673,SA TX OP AD CJ SF SI PI AH
2012,19,Indian Rivers Mental Health,,Northport,AL,35473,(205) 391-0114,SA TX RS WN SF MD PA
2012,19,Calhoun Cleburne Mental Health Center New Directions,1640 Coleman Road,Oxford,AL,36203,(256) 236-8003 Hotline: (256) 236-3403,MH-SA TX OP PH CO DU SF MD MI SS AH SP
2012,19,Calhoun Treatment Center Inc,118 East Choccolocco Street,Oxford,AL,36203,(256) 831-4601 Methadone and Buprenorphine Clients Only,SA TX DT MM DM BU OP WN SF MD PI MI AH
2012,19,East Alabama MH/MR Center Russell County Clinic,3170 Martin Luther King Parkway South,Phenix City,AL,36869,(334) 298-2405 Intake: (334) 742-2877,MH-SA TX OP SF MD MC SI PI MI SS
2012,19,Chemical Addictions Program Inc,1809 Station Drive Suite B,Prattville,AL,36066,(334) 269-2150,SA TX OP AD SF MD SI PI SS PA
2012,19,Mountain View Hospital Intensive Outpatient Program,1 Independent Drive,Rainbow City,AL,35906,(256) 413-1880 Intakes: (800) 245-3645 (256) 543-7620 Hotline: (800) 662-1002,SA TX DT BU OP SF PI MI AH
2012,19,Freedom House,54 Wheeler Hills Road P.O. Box 1020,Rogersville,AL,35652,(256) 247-1222,SA TX RL OP PH PW WN BC SF MD
2012,19,Sunrise Lodge Substance Abuse Treatment Center,1163 Washington Avenue SW,Russellville,AL,35653,(256) 332-0078 Intake: (256) 764-3431 Hotline: (256) 764-3431,SA TX RS MN SF MD PI MI AH
2012,19,Family Life Center,211 South Market Street,Scottsboro,AL,35768,(256) 574-3448,MH-SA TX OP SF SS
2012,20,20KEY ALABAMACahaba Center for Substance Abuse Services,912 J L Chestnut Jr Boulevard,Selma,AL,36701,(334) 874-2600 Hotline: (334) 875-2109,SA TX OP AD PW WN MD MC PI MI SS PA AH
2012,20,Cheaha Regional Mental Health/Caradale Lodge/Mental Retardation Board Inc,1721 Old Birmingham Highway,Sylacauga,AL,35150,(256) 249-2395 Hotline: (256) 245-2201,SA TX DT RS OP DU SF MD SI AH
2012,20,East Central Mental Health Inc Substance Abuse Program,200 Cherry Street,Troy,AL,36081,(334) 566-6022x242 Intake: (334) 566-6022x211 Hotline: (334) 566-3391,MH-SA TX OP AD CO DU CJ SF MD MC PI MI SS
2012,20,Bridge Inc Recovery Center for Teens/Tuscaloosa,6001 12th Avenue East,Tuscaloosa,AL,35405,(205) 344-6483 Intake: (205) 343-9978,SA TX OP AD SF MD SI PI MI SS PA AH
2012,20,Indian Rivers Mental Health Center Substance Abuse Services,3701 Loop Road East Building 39,Tuscaloosa,AL,35404,(205) 391-3131 Intake: (205) 391-0132,MH-SA TX OP CO PW WN SF MD PI AH
2012,20,Phoenix House Inc,700 35th Avenue,Tuscaloosa,AL,35401,(205) 758-3867,SA TX HH RL WN MN SF SS PA
2012,20,Tuscaloosa Treatment Center,1001 Mimosa Park Road,Tuscaloosa,AL,35405,(205) 752-5857 Intake: (205) 752-5851 Methadone Clients Only,SA TX MM DM OP CO PW WN MN SF
2012,20,Veterans A˚airs Medical Center MH Outpatient Recovery Services,3701 Loop Road East,Tuscaloosa,AL,35404,(205) 554-2000x2767 Intakes: (205) 554-2000x2750 (205) 554- 2000x3240,MH-SA TX HH HI OP CO WN MI AH
2012,20,Central Alabama Veterans Healthcare System,2400 Hospital Road,Tuskegee,AL,36083,(334) 727-0550 Intake: (800) 214-8387x5134,MH-SA TX RS RL OP PH CO MN SF MD MC PI MI
2012,20,Bradford Health Services Warrior Lodge/Je˚erson,1189 Allbritton Road,Warrior,AL,35180,(800) 647-1945 Intake: (800) 333-1865 Hotline: (800) 333-1865,SA TX DT BU RS PH SF PI MI 
2012,20,New Direction c/o Elmore Community Hospital,500 Hospital Drive,Wetumpka,AL,36092,(877) 647-7552 Intake: (334) 514-3752,MH-SA TX DT HI SF MD MC PI MI
2012,20,Chemical Addictions Program Inc (CAP) Adult Outpatient Services,35 Wysteria Place,Wetumpka,AL,36054,(334) 290-3800 Intake: (334) 269-2150,SA TX OP SF MD PI SS PA
2012,21,A Akeela Inc Akeela House,2804 Bering Street,Anchorage,AK,99503,(907) 561-5266,SA TX RL CO SF PI MI SS PA
2012,21,Akeela Outpatient,3935 Reka Drive,Anchorage,AK,99508,(907) 562-7483,SA TX OP SF MD MC SI PI MI AR
2012,21,Alaska Childrens Service Inc,4600 Abbott Road,Anchorage,AK,99507,(907) 346-2101,MH TX RL AD CO SF MD PI MI
2012,21,Alaska Human Services Inc/Outpatient Alcohol/Substance Abuse Treatment Prog,750 East Fireweed Lane Suite 200,Anchorage,AK,99503,(907) 561-4535,SA TX OP DU SF PI AR
2012,21,Alaska VA Healthcare Sys/Reg O˜ce Social and Behavioral Health Service,1201 North Muldoon Road,Anchorage,AK,99504,(907) 273-4000,MH-SA TX BU RS RL OP PH CO GL WN SF MD MC SI PI PA
2012,21,Booth Memorial Youth and Family Services,3600 East 20th Avenue,Anchorage,AK,99508,(907) 279-0522x502 Intakes: (907) 279-0522x504 (907) 279- 0522x520,MH-SA TX RS RL OP PH AD CO MD PA
2012,21,Cook Inlet Tribal Council Inc Recovery Services/Substance Abuse,3600 San Geronimo Drive Suite 210,Anchorage,AK,99508,(907) 793-3200,SA TX OP SF MD PI SS
2012,21,Ernie Turner Center,4330 Elmore Street,Anchorage,AK,99508,(907) 550-2400 Intake: (907) 793-3200,SA TX DT RS RL CO SF PI MI AR SS AH
2012,21,Genesis Recovery Services Inc,2825 West 42nd Avenue,Anchorage,AK,99517,(907) 243-5130,SA TX HH RS RL OP PH WN MN DU SF PI AR
2012,21,Insight ˝erapy LLC,600 Cordova Street Suite 6,Anchorage,AK,99501,(907) 677-8942,SA TX OP SF PI
2012,21,Narcotic Drug Treatment Center Inc Center for Drug Problems,520 East 4th Avenue Suite 102,Anchorage,AK,99501,(907) 276-6430 Methadone Clients Only,SA TX DT MM DM OP CO PW WN MN CJ SF MD SI PI MI SS PA
2012,21,Providence Alaska Medical Center Providence Breakthrough,3801 Lake Otis Parkway Suite 200,Anchorage,AK,99508,(907) 212-6970,SA TX DT BU OP PH SF PI MI
2012,21,Recovery Connection,500 Muldoon Road Suite 9,Anchorage,AK,99504,(907) 332-7660,SA TX OP DU SF
2012,21,Salvation Army Clitheroe Center,1015 East 6th Avenue,Anchorage,AK,99501,(907) 276-2898,SA TX OP CO WN MN SF MD SI PI MI AR
2012,21,Southcentral Foundation Dena A Coy,4130 San Ernesto Avenue,Anchorage,AK,99508,(907) 729-5070x5073 Intake: (907) 729-5070,SA TX RL PW WN BC SF MD MC SI PI MI AR AH
2012,21,Stepping Stones Residential Facility,611 West 47th Street,Anchorage,AK,99503,(907) 569-0097 Intake: (907) 569-0097x0,SA TX RL WN BC SF MD MC SI PI MI AR SS PA
2012,21,Volunteers of America Alaska Assist,1675 C Street Suite 201,Anchorage,AK,99501,(907) 279-9634 Intake: (907) 279-3634,SA TX OP AD DU SF MD SI PI AR SS 
2012,21,Department of Health/Social Servs Integrated Behavioral Health Program,5200 Karluk Street,Barrow,AK,99723,(907) 852-0366 Intake: (907) 852-0366x0,MH-SA TX OP AD CO SF MD MC SI PI MI PA
2012,21,Yukon Kuskokwim Health Corporation Phillips Ayagnirvik Treatment Center,324 Radio Street,Bethel,AK,99559,(907) 543-6735 Intake: (907) 543-6700 Hotline: (907) 544-5291,MH-SA TX RS RL OP WN MN SF MD SI PI MI PA N40
2012,22,22KEY ALASKACopper River Native Association Behavioral Health Services Department Drawer H Mile,104 Old Richardson Highway,Copper Center,AK,99573,(907) 822-5241 Hotline: (907) 822-3855,MH-SA TX RL OP PH SF MD MC SI PI MI SS PA SP F30
2012,22,Sound Alternatives Behavioral Health Clinic,1092 Chase Avenue,Cordova,AK,99574,(907) 424-8300 Hotlines: (907) 424-4357 (907) 424-8000,MH-SA TX OP AD CO SF MD MC SI PI MI SS
2012,22,Bristol Bay Area Health Corporation Behavioral Health/Jakes Place Kanakanak Hospital,6000 Kanakanak Road,Dillingham,AK,99576,(907) 842-5266,SA TX RL OP PH CO SF MD MC SI PI MI SS N40
2012,22,Volunteers of America Alaska ARCH,8012 Stewart Mountain Drive,Eagle River,AK,99577,(907) 694-3336,SA TX RL AD BC SF MD SI PI AR SS
2012,22,Fairbanks Native Association Ralph Perdue Center,3100 South Cushman Street Suite 100,Fairbanks,AK,99701,(907) 452-6251x6411 Intake: (907) 452-6251x6400,SA TX RL OP DU SF MD MC PI MI
2012,22,Graf Rheeneenhaanjii Substance Abuse Services,2550 Lawlor Road,Fairbanks,AK,99709,(907) 455-4725 Intake: (907) 455-4725x3,MH-SA TX RL AD SF MD MC SI PI MI
2012,22,Hope Counseling Center,926 Aspen Street,Fairbanks,AK,99709,(907) 451-8208,MH-SA TX OP AD DU SF PI MI 
2012,22,Project Special Delivery,710 3rd Avenue,Fairbanks,AK,99701,(907) 452-4222 Intake: (907) 452-4222x114 Methadone Clients Only,SA TX MM DM OP HV SF MD PI MI 
2012,22,Behavioral Health,122 1st Avenue Suite 600,Fairbanks,AK,99701,(907) 452-8251,MH-SA TX BU OP SF MD PI MI SS
2012,22,Turning Point Counseling Services,529 6th Avenue Suite 203,Fairbanks,AK,99701,(907) 374-7776,MH-SA TX OP AD SF PI SP F30
2012,22,Womens and Childrens Center for Inner Healing,1027 Evergreen Street,Fairbanks,AK,99709,(907) 451-8164 Intake: (907) 456-1045x221,GH TX RL WN BC SF MD MC SI PI MI SS AH
2012,22,Lynn Canal Counseling Services,215 Willard Street,Haines,AK,99827,(907) 766-2177,MH-SA TX OP SF MD PI MI SS PA
2012,22,Cook Inlet Council on Alcohol and DA,120 West Pioneer Avenue,Homer,AK,99603,(907) 235-8001,"SA TX OP AD CO WN MN SF MD PI AHJUNEAU Gastineau Human Services 5597 Aisek Street Juneau, AK 99801 (907) 780-3044 Intakes: (907) 780-3044x2 (907) 780-3039x2 SA TX HH OP WN MN SF SS PA AH"
2012,22,Juneau Youth Services Chemical Dependency Program,2075 Jordan Avenue,Juneau,AK,99803,(907) 789-7610 Intake: (907) 789-4733,MH-SA TX OP AD CO MD SI PI MI PA AH
2012,22,Rainforest Recovery Center Bartlett Regional Hospital,3250 Hospital Drive,Juneau,AK,99801,(907) 796-8690x8499 Intake: (907) 796-8690 Hotline: (907) 796-8610,SA TX DT HI RS OP PH PW WN SF MD SI PI MI AR SS
2012,22,Central Peninsula General Hospital Serenity House Residential Treatment,47480 Kristina Way,Kenai,AK,99611,(907) 714-4524 Intake: (907) 714-4521,SA TX DT RS RL OP PH SF MD MC SI PI MI
2012,23,Cook Inlet Council on Alcohol and Drug Abuse (CICADA),10200 Kenai Spur Highway,Kenai,AK,99611,(907) 283-3658 Intake: (907) 235-8001,SA TX OP AD CO WN MN CJ SF MD PI AH
2012,23,Kenaitze Indian Tribe Nakenu Family,110 North Willow Street,Kenai,AK,99611,(907) 335-7370 Intake: (907) 283-6693,MH-SA TX OP AD SF MD MC PI SS
2012,23,Gateway Center for Human Services Substance Abuse Services Division,3050 5th Avenue,Ketchikan,AK,99901,(907) 225-4135 Hotlines: (907) 225-4135 (907) 228-2502,MH-SA TX RL OP AD CO DU CJ SF MD MC SI PI MI 
2012,23,House Residential Substance Abuse Program,3134 Tongass Avenue,Ketchikan,AK,99901,(907) 225-3510,MH-SA TX HH RL CO WN MN CJ SF MD MC SI PI MI SS PA
2012,23,Ketchikan Indian Community Tribal Clinic Behavioral Health Dept,2960 Tongass Avenue,Ketchikan,AK,99901,(907) 228-4917x0 Intake: (907) 228-4917,MH-SA TX OP AD CO WN DU SF MD MC SI PI MI
2012,23,Providence Kodiak Island Counseling Center,717 East Rezanof Drive,Kodiak,AK,99615,(907) 481-2400,MH-SA TX OP AD SF MD MC SI PI MI SS AH F81
2012,23,Maniilaq Counseling and Recovery Ctr,733 2nd Avenue,Kotzebue,AK,99752,(907) 442-7640 Intake: (907) 442-7400,MH-SA TX OP PH AD CO HV DU MD MC SI PI MI AR 
2012,23,Railbelt Mental Health and Addictions,307 East 2nd Street,Nenana,AK,99760,(907) 832-5557,MH-SA TX OP DU SF MD MC SI PI MI AR
2012,23,Petersburg Mental Health Services Inc,P.O. Box 1309,Petersburg,AK,99833,(907) 772-3332,MH-SA TX OP CO WN DU SF MD SI PI MI SS
2012,23,Saint Paul Health Center,1990 Polovina Turnpike P.O. Box 148,Saint Paul Island,AK,99660,(907) 546-8300,MH-SA TX OP SF MD MC SI PI MI SS PA AH
2012,23,Eastern Aleutian Tribes Inc,172 Red Cove Road,Sand Point,AK,99661,(907) 383-3151,GH TX OP AD CO GL WN DU SF MD MC SI PI SS
2012,23,Seldovia Village Tribe,206 Main Street,Seldovia,AK,99663,(907) 234-7898x229 Intake: (907) 234-7898,MH-SA TX DT OP WN DU SF MD MC SI PI SS PA
2012,23,Seaview Community Services,302 Railway Avenue,Seward,AK,99664,(907) 224-5257 Hotline: (907) 224-3027,MH-SA TX OP AD CO DU SF MD MC PI MI SS PA
2012,23,Native Village of Shungnak Shungnak Clinic Front Street,,Shungnak,AK,99773,(907) 437-2002,GH TX OP CO PW WN CJ SF MD MC SI PI MI SS PA
