ID,ADDRESS,CITY,STATE,ZIP
Huntsville Metro Treatment Center,2227 Drake Avenue,Huntsville,AL,35805
Huntsville Recovery Inc,4040 Independence Avenue,Huntsville,AL,35816
Pathfinder Inc,3104 Ivy Avenue SW,Huntsville,AL,35805
Jacksonville Medical Center,1701 Pelham Road South,Jacksonville,AL,36265
Northwest Alabama Mental Health Center,1100 7th Avenue,Jasper,AL,35501
Walker Recovery Center Inc,2195 North Airport Road,Jasper,AL,35504
Metro Treatment of Alabama LP,106 Hospital Road,Livingston,AL,35470
Bradford Health Services,1600 Browns Ferry Road,Madison,AL,35758
AltaPointe Health Systems Inc,4211 Government Boulevard,Mobile,AL,36693
Bradford Health Services,1000 Hillcrest Road,Mobile,AL,36695
Bridge Inc,722 Downtowner Loop West,Mobile,AL,36609
Bridge Inc,3401 Newman Road,Mobile,AL,36695
Dauphin Way Lodge,1009 Dauphin Street,Mobile,AL,36604
ECD Program,808 Downtowner Loop West,Mobile,AL,36609
Franklin Primary Health Center,1055 Dauphin Street,Mobile,AL,36604
Mobile Metro Treatment Center,1924 Dauphin Island Parkway,Mobile,AL,36605
VA Gulf Coast Healthcare System,1504 Springhill Avenue,Mobile,AL,36604
Bradford Health Services,386 Saint Lukes Drive,Montgomery,AL,36117
Chemical Addictions Program Inc (CAP),1153 Air Base Boulevard,Montgomery,AL,36108
Lighthouse Counseling Center Inc,1415 East South Boulevard,Montgomery,AL,36116
Montgomery Metro Treatment Center,4303 Norman Bridge Road,Montgomery,AL,36105
Shoals Treatment Center,3430 North Jackson Highway,Muscle Shoals,AL,35660
Houston Treatment Center,9283 U.S. Highway 84 West,Newton,AL,36352
Bradford Health Services,515 Energy Center Boulevard,Northport,AL,35473
Indian Rivers Mental Health,8110 Smith Jackson Rd,Northport,AL,35473
Calhoun Cleburne Mental Health Center,1640 Coleman Road,Oxford,AL,36203
Calhoun Treatment Center Inc,118 East Choccolocco Street,Oxford,AL,36203
East Alabama MH/MR Center,3170 Martin Luther King Parkway South,Phenix City,AL,36869
Chemical Addictions Program Inc,1809 Station Drive,Prattville,AL,36066
Mountain View Hospital,1 Independent Drive,Rainbow City,AL,35906
Freedom House,54 Wheeler Hills Road,Rogersville,AL,35652
Sunrise Lodge,1163 Washington Avenue SW,Russellville,AL,35653
Family Life Center,211 South Market Street,Scottsboro,AL,35768
Cahaba Center for,912 J L Chestnut Jr Boulevard,Selma,AL,36701
Cheaha Regional Mental Health/Caradale,1721 Old Birmingham Highway,Sylacauga,AL,35150
East Central Mental Health Inc,200 Cherry Street,Troy,AL,36081
Bridge Inc,6001 12th Avenue East,Tuscaloosa,AL,35405
Indian Rivers Mental Health Center,3701 Loop Road East,Tuscaloosa,AL,35404
Phoenix House Inc,700 35th Avenue,Tuscaloosa,AL,35401
Tuscaloosa Treatment Center,1001 Mimosa Park Road,Tuscaloosa,AL,35405
Veterans Affairs Medical Center,3701 Loop Road East,Tuscaloosa,AL,35404
Central Alabama Veterans,2400 Hospital Road,Tuskegee,AL,36083
Bradford Health Services,1189 Allbritton Road,Warrior,AL,35180
A New Direction,500 Hospital Drive,Wetumpka,AL,36092
Chemical Addictions Program Inc (CAP),35 Wysteria Place,Wetumpka,AL,36054
Akeela Inc,2804 Bering Street,Anchorage,AK,99503
Akeela Outpatient,3935 Reka Drive,Anchorage,AK,99508
Alaska Childrens Service Inc,4600 Abbott Road,Anchorage,AK,99507
Alaska Human Services Inc/Outpatient,750 East Fireweed Lane,Anchorage,AK,99503
Alaska VA Healthcare Sys/Reg Office,1201 North Muldoon Road,Anchorage,AK,99504
Booth Memorial,3600 East 20th Avenue,Anchorage,AK,99508
Cook Inlet Tribal Council Inc,3600 San Geronimo Drive,Anchorage,AK,99508
Ernie Turner Center,4330 Elmore Street,Anchorage,AK,99508
Genesis Recovery Services Inc,2825 West 42nd Avenue,Anchorage,AK,99517
Insight Therapy LLC,600 Cordova Street,Anchorage,AK,99501
Narcotic Drug Treatment Center Inc,520 East 4th Avenue,Anchorage,AK,99501
Providence Alaska Medical Center,3801 Lake Otis Parkway,Anchorage,AK,99508
Recovery Connection,500 Muldoon Road,Anchorage,AK,99504
Salvation Army,1015 East 6th Avenue,Anchorage,AK,99501
Southcentral Foundation,4130 San Ernesto Avenue,Anchorage,AK,99508
Stepping Stones,611 West 47th Street,Anchorage,AK,99503
Volunteers of America Alaska,1675 C Street,Anchorage,AK,99501
NSB Department of Health/Social Servs,5200 Karluk Street,Barrow,AK,99723
Yukon Kuskokwim Health Corporation,324 Radio Street,Bethel,AK,99559
Copper River Native Association,Mile 104 Old Richardson Highway,Copper Center,AK,99573
Sound Alternatives Behavioral,1092 Chase Avenue,Cordova,AK,99574
Bristol Bay Area Health Corporation,6000 Kanakanak Road,Dillingham,AK,99576
Volunteers of America Alaska,8012 Stewart Mountain Drive,Eagle River,AK,99577
Fairbanks Native Association,3100 South Cushman Street,Fairbanks,AK,99701
Graf Rheeneenhaanjii,2550 Lawlor Road,Fairbanks,AK,99709
Hope Counseling Center,926 Aspen Street,Fairbanks,AK,99709
IAA Project Special Delivery,710 3rd Avenue,Fairbanks,AK,99701
TCC Behavioral Health,122 1st Avenue,Fairbanks,AK,99701
Turning Point Counseling Services,529 6th Avenue,Fairbanks,AK,99701
Womens and Childrens Center for,1027 Evergreen Street,Fairbanks,AK,99709
Lynn Canal Counseling Services,215 Willard Street,Haines,AK,99827
Cook Inlet Council on Alcohol and DA,120 West Pioneer Avenue,Homer,AK,99603
Gastineau Human Services,5597 Aisek Street,Juneau,AK,99801
Juneau Youth Services,2075 Jordan Avenue,Juneau,AK,99803
Rainforest Recovery Center,3250 Hospital Drive,Juneau,AK,99801
Central Peninsula General Hospital,47480 Kristina Way,Kenai,AK,99611
Cook Inlet Council on,10200 Kenai Spur Highway,Kenai,AK,99611
Kenaitze Indian Tribe,110 North Willow Street,Kenai,AK,99611
Gateway Center for Human Services,3050 5th Avenue,Ketchikan,AK,99901
KAR House,3134 Tongass Avenue,Ketchikan,AK,99901
Ketchikan Indian Community,2960 Tongass Avenue,Ketchikan,AK,99901
Providence Kodiak Island,717 East Rezanof Drive,Kodiak,AK,99615
Maniilaq Counseling and Recovery Ctr,733 2nd Avenue,Kotzebue,AK,99752
Railbelt Mental Health and Addictions,307 East 2nd Street,Nenana,AK,99760
Petersburg Mental Health Services Inc,100 Fram St,Petersburg,AK,99833
Saint Paul Health Center,1990 Polovina Turnpike,Saint Paul Island,AK,99660
Eastern Aleutian Tribes Inc,172 Red Cove Road,Sand Point,AK,99661
Seldovia Village Tribe,206 Main Street,Seldovia,AK,99663
Seaview Community Services,302 Railway Avenue,Seward,AK,99664
Native Village of Shungnak,Front Street,Shungnak,AK,99773
Bill Brady Healing Center,222 Tongass Drive,Sitka,AK,99835
Deilee Hit/Safe Harbor House,222 Tongass Drive,Sitka,AK,99835
Southeast AK Regional,222 Tongass Drive,Sitka,AK,99835
Upper Tanana Alcohol Program,Mile Post 123 Tok Cutoff,Tok,AK,99780
Oonalaska Wellness Center,205 Broadway,Unalaska,AK,99685
Providence Health and Servs Washington,911 Meals Avenue,Valdez,AK,99686
Alaska Addiction Rehab Services,3701 Palmer Wasilla Street,Wasilla,AK,99654
Alaska Family Services,5851 East Mayflower Court,Wasilla,AK,99654
Alaska Islands Community Services,333 Church Street,Wrangell,AK,99929
PPEP Behavioral Health Services,111 La Mina Avenue,Ajo,AZ,85321
SMMHC Inc,625 North Plaza Drive,Apache Junction,AZ,85120
Benson SRU,648 West Union Street,Benson,AZ,85602
Southeastern AZ Behav Health Services,611 West Union Street,Benson,AZ,85602
Southeastern AZ Behav Health Services,470 South Ocotillo Avenue,Benson,AZ,85602
Alcoholism Council of Cochise County,936 Tovreaville Road,Bisbee,AZ,85603
Renaissance House,240 OHara Avenue,Bisbee,AZ,85603
Mohave Mental Health Clinic,1145 Marina Boulevard,Bullhead City,AZ,86442
Southwest Behavioral Health Servs,809 Hancock Road,Bullhead City,AZ,86442
Yavapai Apache Nation,3462 Smith Avenue,Camp Verde,AZ,86322
Casa Grande Outpaient Services Center,675 East Cottonwood Lane,Casa Grande,AZ,85122
Helping Associates Inc,1901 North Trekell Road,Casa Grande,AZ,85122
Michael Brubaker Counseling,1927 North Trekell Road,Casa Grande,AZ,85222
River Source Treatment Center,950 North Arizola Road,Casa Grande,AZ,85122
BAART Behavioral Health Services Inc,908-B West Chandler Boulevard,Chandler,AZ,85225
Chandler Valley Hope Alcohol/Drug and Related Treatment Services,501 North Washington Street,Chandler,AZ,85225
Parc Place,2190 North Grace Boulevard,Chandler,AZ,85225
Southeastern AZ Behav Health Servs,430 North Coronado Boulevard,Clifton,AZ,85533
Mingus Center,636 North Main Street,Cottonwood,AZ,86326
Verde Valley Guidance Clinic Inc,8 East Cottonwood Street,Cottonwood,AZ,86326
Alternative Counseling Service,1127 F Avenue,Douglas,AZ,85607
Community Medical Services,2559 East 7th Avenue,Flagstaff,AZ,86004
Flagstaff Medical Center,1200 North Beaver Street,Flagstaff,AZ,86001
Guidance Center Inc,2187 North Vickey Street,Flagstaff,AZ,86004
Native Americans for Community Action,2717 North Steves Boulevard,Flagstaff,AZ,86004
Northern Arizona,2101 North 4th Street,Flagstaff,AZ,86004
Fort Defiance Outpatient Treatment Ctr,Old Fort Defiance Chapter House,Fort Defiance,AZ,86504
Fort McDowell Yavapai Nation,16240 North Fort McDowell Road,Fort McDowell,AZ,85264
Community Behavioral Health Services,150 North Main Street,Fredonia,AZ,86022
Community Bridges Inc,1550 North Stonehenge Drive,Gilbert,AZ,85233
DBA Step Two Recovery Center,3771 East Brooks Farms Road,Gilbert,AZ,85298
Pathway Program,1035 North McQueen Road,Gilbert,AZ,85233
Aurora Behavioral Health System,6015 West Peoria Avenue,Glendale,AZ,85302
Banner Thunderbird Behavioral Health,5555 West Thunderbird Road,Glendale,AZ,85306
Community Medical Services,5002 West Glendale Avenue,Glendale,AZ,85301
Justice Services,4425 West Glendale Avenue,Glendale,AZ,85301
Maverick House,7022 North 48th Avenue,Glendale,AZ,85301
Thunderbird Treatment Center,13820 North 51st Avenue,Glendale,AZ,85306
Treatment Assessment Screening Ctr Inc,6409 West Glendale Avenue,Glendale,AZ,85301
Community Counseling Centers Inc,105 North 5th Avenue,Holbrook,AZ,86025
Kayenta Outpatient Treatment Center,Highway 163,Kayenta,AZ,86033
Mohave Mental Health Clinic,3505 Western Avenue,Kingman,AZ,86409
Mohave Mental Health Clinic,2187 Swanson Avenue,Lake Havasu City,AZ,86403
Community Counseling Centers Inc,1920 West Commerce Drive,Lakeside,AZ,85929
Arizona Addiction Treatment Prog Inc,525 West Southern Avenue,Mesa,AZ,85210
Centro de Amistad Inc,460 North Mesa Drive,Mesa,AZ,85201
Community Bridges Inc,560 South Bellview Street,Mesa,AZ,85204
DW Counseling Center LLC,925 North Stapley Drive,Mesa,AZ,85203
East Valley Substance Abuse Center Inc,1550 East University Drive,Mesa,AZ,85203
Family Service Agency,943 South Gilbert Road,Mesa,AZ,85204
Jewish Family and Childrens Service,1255 West Baseline Road,Mesa,AZ,85202
Mountain Valley Counseling Assoc Inc,145 East University Drive,Mesa,AZ,85201
New Hope Behavioral Health Center Inc,215 South Power Road,Mesa,AZ,85206
Saint Lukes Behavioral Health Center,460 North Mesa Drive,Mesa,AZ,85201
Valle del Sol,4135 South Power Road,Mesa,AZ,85212
Women in New Recovery,860 North Center Street,Mesa,AZ,85201
Southeastern AZ Behav Health Services,441 North Brand Avenue,Nogales,AZ,85621
Community Behavioral Health Services,463 South Lake Powell Boulevard,Page,AZ,86040
Southwest Behavioral Health Servs Inc,404 West Aero Drive,Payson,AZ,85547
Hualapai Health Department,960 Rodeo Way,Peach Springs,AZ,86434
Addiction Resources Inc,4337 West Indian School Road,Phoenix,AZ,85031
Assisted Recovery Centers of America,1000 East Indian School Road,Phoenix,AZ,85014
Black Family and Child Services of AZ,1522 East Southern Avenue,Phoenix,AZ,85040
Calvary Center,720 East Montebello Avenue,Phoenix,AZ,85014
Carl T Hayden VA Medical Center,650 East Indian School Road,Phoenix,AZ,85012
Casa de Amigas,1648 West Colter Street,Phoenix,AZ,85015
Center for Behavioral Hlth Phoenix Inc,1501 East Washington Street,Phoenix,AZ,85034
Center for Excellence,8825 North 23rd Avenue,Phoenix,AZ,85021
Central Counseling and Education Services,1940 East Camelback Road,Phoenix,AZ,85016
Centro de Amistad Inc,2923 North 33rd Avenue,Phoenix,AZ,85017
Community Bridges Inc,2770 East Van Buren Street,Phoenix,AZ,85008
Community Medical Services,3825 North 24th Street,Phoenix,AZ,85016
Community Medical Services,2255 West Northern Avenue,Phoenix,AZ,85021
Dynamic Living Counseling Inc,5150 North 16th Street,Phoenix,AZ,85016
Ebony House Inc,6222 South 13th Street,Phoenix,AZ,85042
Elba House,8646 South 14th Street,Phoenix,AZ,85042
Family Service Agency,2400 North Central Avenue,Phoenix,AZ,85004
Family Service Agency,3101 West Peoria Avenue,Phoenix,AZ,85029
Intensive Treatment Systems LLC,19401 North Cave Creek Road,Phoenix,AZ,85024
Intensive Treatment Systems LLC,651 West Coolidge Street,Phoenix,AZ,85013
Intensive Treatment Systems LLC,7102 West Thomas Road,Phoenix,AZ,85033
Jewish Family and Childrens Service,3306 West Catalina Drive,Phoenix,AZ,85017
LLC Counseling Services,3530 East Indian School Road,Phoenix,AZ,85018
Lifewell Site II,3222 North 37th Street,Phoenix,AZ,85018
Lupe Quintero Wellness Center,3639 West Lincoln Avenue,Phoenix,AZ,85009
National Council on Alc/Drug Depend,4201 North 16th Street,Phoenix,AZ,85016
Native American Community Health Ctr,4520 North Central Avenue,Phoenix,AZ,85012
Native American Connections Inc,3424 East Van Buren Street,Phoenix,AZ,85008
Native American Connections Inc,636 North 3rd Avenue,Phoenix,AZ,85003
Native American Connections Inc,4520 North Central Avenue,Phoenix,AZ,85012
New Horizons Counseling Service Inc,5062 North 19th Avenue,Phoenix,AZ,85015
Northwest Outpatient Clinic,20823 North 19th Avenue,Phoenix,AZ,85027
Phoenix VA Healthcare System,650 East Indian School Road,Phoenix,AZ,85012
Professional Psychology Associates PC,4222 East Camelback Road,Phoenix,AZ,85018
Recovery Rx,333 East Virginia Avenue,Phoenix,AZ,85004
Saint Lukes Behavorial Health Center,1800 East Van Buren Street,Phoenix,AZ,85006
Southwest Behavioral Health Servs Inc,1424 South 7th Avenue,Phoenix,AZ,85007
Stonewall Institute,4020 North 20th Street,Phoenix,AZ,85016
Terros Inc,3864 North 27th Avenue,Phoenix,AZ,85017
Terros Inc,4909 East McDowell Road,Phoenix,AZ,85008
Treatment Assessment Screening Ctr Inc,2302 North 7th Street,Phoenix,AZ,85006
Valle Del Sol Inc,1209 South 1st Avenue,Phoenix,AZ,85003
Youth Evaluation and Treatment Center,4414 North 19th Avenue,Phoenix,AZ,85015
Decision Point Center Inc,505 West Whipple Street,Prescott,AZ,86301
Pias Place,615 Hillside Avenue,Prescott,AZ,86301
Prescott House Inc,214 North Arizona Avenue,Prescott,AZ,86301
Veterans Affairs Medical Center,500 Highway 89 North,Prescott,AZ,86313
West Yavapai Guidance Clinic,642 Dameron Drive,Prescott,AZ,86301
Southwest Behavioral Health Services,3050 North Navajo Drive,Prescott Valley,AZ,86314
West Yavapai Guidance Clinic,3345 North Windsong Drive,Prescott Valley,AZ,86314
Southeastern AZ Behav Health Services,1615 South 1st Street,Safford,AZ,85546
Little Colorado,470 West Cleveland Street,Saint Johns,AZ,85936
San Carlos Apache Tribe,5 San Carlos Boulevard,San Carlos,AZ,85550
Banner Behavioral Health Hospital,7575 East Earll Drive,Scottsdale,AZ,85251
Diebold Behavioral Counseling,8149 North 87th Place,Scottsdale,AZ,85258
Justice Services,7447 East Earll Drive,Scottsdale,AZ,85251
Mission Treatment Center,617 North Scottsdale Road,Scottsdale,AZ,85257
New Foundation,1200 North 77th Street,Scottsdale,AZ,85257
Scottsdale Behavioral Health,7400 East Pinnacle Peak Road,Scottsdale,AZ,85255
Scottsdale Treatment Institute PLC,3200 North Hayden Road,Scottsdale,AZ,85251
Sundance Center,12816 East Turquoise Avenue,Scottsdale,AZ,85259
Valley Clinical Services,10575 North 114th Street,Scottsdale,AZ,85259
Tohon Oodham Human Services,Business Loop Highway 86,Sells,AZ,85634
Community Counseling Centers Inc,2500 East Show Low Lake Road Building,Show Low,AZ,85901
Alternative Counseling Service Inc,999 East Fry Boulevard,Sierra Vista,AZ,85635
Southeastern AZ Behav Health Services,4755 Campus Drive,Sierra Vista,AZ,85635
Little Colorado,50 North Hopi Street,Springerville,AZ,85938
Banner Del E Webb Medical Center,14502 West Meeker Boulevard,Sun City West,AZ,85375
Supai Canyon Health Station,Main Street,Supai,AZ,86435
Center for Behavioral Hlth Phoenix Inc,2123 East Southern Avenue,Tempe,AZ,85282
New Choices Inc,610 West Broadway,Tempe,AZ,85282
Tempe Valley Hope Outpatient,2115 East Southern Avenue,Tempe,AZ,85282
Valle Del Sol Inc,509 South Rockford Drive,Tempe,AZ,85281
Western Judicial Services Inc,9550 West Van Buren Street,Tolleson,AZ,85353
Amity Foundation at Circle Tree Ranch,10500 East Tanque Verde Road,Tucson,AZ,85749
Aztec Counseling Services Inc,6054 North Oracle Road,Tucson,AZ,85704
Behavioral Awareness Center Inc,2002 West Anklam Road,Tucson,AZ,85745
COPE Community Services Inc,8050 East Lakeside Parkway,Tucson,AZ,85730
COPE Community Services Inc,101 South Stone Avenue,Tucson,AZ,85701
Cactus Counseling Associates PLLC,110 South Church Avenue,Tucson,AZ,85701
Center for Behavioral Hlth Tucson Inc,368 East Grant Road,Tucson,AZ,85705
Community Medical Services,6626 East Carondelet Drive,Tucson,AZ,85710
Compass Healthcare Inc,2499 East Ajo Way,Tucson,AZ,85713
Compass Healthcare Inc,1779 West Saint Marys Road,Tucson,AZ,85745
Compass Healthcare Inc,302 West Ventura Street,Tucson,AZ,85705
Cottonwood de Tucson,4110 West Sweetwater Drive,Tucson,AZ,85745
Counseling and Consulting Services,2430 East 6th Street,Tucson,AZ,85719
Desert Star Addiction Recovery Center,7493 North Oracle Road,Tucson,AZ,85704
ETANO Center,2340 North Tucson Boulevard,Tucson,AZ,85716
Haven,1107 East Adelaide Drive,Tucson,AZ,85719
La Frontera Center,1900 West Speedway Boulevard,Tucson,AZ,85745
La Frontera Center,4891 East Grant Road,Tucson,AZ,85712
La Frontera Center,260 South Scott Avenue,Tucson,AZ,85701
La Frontera Center,502 West 29th Street,Tucson,AZ,85713
Mark Youth and Family Care,4653 East Pima Street,Tucson,AZ,85712
New Hope Behavioral Health Center Inc,2001 West Orange Grove,Tucson,AZ,85704
PPEP Behavioral Health Services,1021 East Palmdale Street,Tucson,AZ,85714
Perspectives Counseling Services LLC,380 East Fort Lowell Road,Tucson,AZ,85705
Reflections Family Services Inc,2530 East Broadway Boulevard,Tucson,AZ,85716
Saint Josephs Hospital,350 North Wilmot Road,Tucson,AZ,85711
Sierra Tucson Inc,39580 South Lago del Oro Parkway,Tucson,AZ,85739
Sonora Behavioral Health Hospital,6050 North Corona Road,Tucson,AZ,85704
Meadows,1655 North Tegner Street,Wickenburg,AZ,85390
Rosewood Center for Eating Disorders,36075 South Rincon Road,Wickenburg,AZ,85390
Southeastern AZ Behav Health Services,404 Rex Allen Drive,Willcox,AZ,85643
Community Counseling Centers Inc,1015 East 2nd Street,Winslow,AZ,86047
Winslow Guidance Associates Inc,1301 West 2nd Street,Winslow,AZ,86047
Arizonas Children Association,3780 South 4th Avenue,Yuma,AZ,85365
Community Bridges Inc,3250 East 40th Street,Yuma,AZ,85365
Crossroads Mission of Yuma,944 South Arizona Avenue,Yuma,AZ,85364
Yuma Treatment Center,1290 West 8th Place,Yuma,AZ,85364
Counseling Clinic Inc,307 East Sevier Street,Benton,AR,72015
Western AR Counseling,174 North Welsh Avenue,Booneville,AR,72927
RCA Cabot,502 Ritchie Road,Cabot,AR,72023
Ouachita Medical Center,638 California Street,Camden,AR,71701
Counseling Associates Inc,1021 Poplar Street,Clarksville,AR,72830
Counseling Associates Inc,350 Salem Road,Conway,AR,72032
Union County Drug Court,100 Hargett Drive,El Dorado,AR,71730
Northwest Arkansas Psychological Group,1706 Joyce Boulevard,Fayetteville,AR,72703
Veterans Affairs Medical Center,1100 North College Street,Fayetteville,AR,72703
Youth Bridge,4171 North Crossover Road,Fayetteville,AR,72703
Gateway House Inc,3900 North Armour Avenue,Fort Smith,AR,72904
Harbor House Inc,615 North 19th Street,Fort Smith,AR,72901
Horizon Adolescent Treatment Center,3113 South 70th Street,Fort Smith,AR,72903
River Valley Counseling Inc,501 South 18th Street,Fort Smith,AR,72901
OMART Inc,116 Snowball Drive,Gassville,AR,72635
Ozark Mountain Alcohol Residential,801 South Pine Street,Harrison,AR,72601
Youth Bridge,107 East Crandall Avenue,Harrison,AR,72601
Southwest Arkansas Counseling,300 East 20th Street,Hope,AR,71801
BARBS Place,276 Linden Street,Hot Springs National Park,AR,71901
Quapaw House Inc,812 Mountain Pine Road,Hot Springs National Park,AR,71913
Crowleys Ridge Development Council,6009 CW Post Road,Jonesboro,AR,72401
BCD Hoover Treatment Center,4000 West 13th Street,Little Rock,AR,72204
Catar Clinic,1401 South University Avenue,Little Rock,AR,72204
Central Arkansas Veterans Healthcare,4300 West 7th Street,Little Rock,AR,72205
Gyst House Inc,8101 Frenchman Lane,Little Rock,AR,72209
Mid Arkansas Substance Abuse Services,4601 West 7th Street,Little Rock,AR,72205
Oasis Renewal Center,14913 Cooper Orbit Road,Little Rock,AR,72223
Quality Living Center Inc,3925 Asher Avenue,Little Rock,AR,72204
Recover at Baptist Health,9601 Interstate 630,Little Rock,AR,72205
Recovery Centers of Arkansas,6301 Father Tribou Street,Little Rock,AR,72205
Serenity House,2801 West Roosevelt Road,Little Rock,AR,72204
Step Up Support Center,8815 Lew Drive,Little Rock,AR,72209
UAMS Subsance Abuse Treatment Clinic,4224 Shuffield Drive,Little Rock,AR,72205
University of Arkansas for,4224 Sheffield Drive,Little Rock,AR,72205
Health Resources of Arkansas,528 West Chestnut Street,Marianna,AR,72360
Alternative Opportunites Inc,316 Highway 65 North,Marshall,AR,72650
Bridgeway,21 Bridgeway Road,Maumelle,AR,72113
Counseling Associates/Morrilton,8 Hospital Drive,Morrilton,AR,72110
Quapaw House Inc,179 Dunston Road,Mount Ida,AR,71957
Alternative Opportunites Inc,316 West 6th Street,Mountain Home,AR,72653
Youth Bridge,706 South Main Street,Mountain Home,AR,72653
Central Arkansas Veterans Healthcare,2200 Fort Roots Drive,North Little Rock,AR,72114
Family Service Agency,628 West Broadway,North Little Rock,AR,72114
Recovery Centers of Arkansas,1201 River Road,North Little Rock,AR,72114
Human Development and Research Servs,2106 East 6th Street,Pine Bluff,AR,71601
Second Change Recovery Center,2821 South Catalpa Street,Pine Bluff,AR,71603
United Family Services Inc,1314 West 6th Avenue,Pine Bluff,AR,71603
Nelson Counseling,5500 Pinnacle Point Drive,Rogers,AR,72758
Youth Bridge,1200 West Walnut Street,Rogers,AR,72756
Counseling Associates Inc,110 Skyline Drive,Russellville,AR,72801
Capstone Treatment Center,P.O. Box 8241,Searcy,AR,72145
Wilbur Mills Center,3204 East Moore Avenue,Searcy,AR,72143
Decision Point Inc,301 Holcomb Street,Springdale,AR,72765
Springdale Treatment Center,1353 E Henri de Tonti Boulevard,Springdale,AR,72762
Southwest Arkansas Counseling MH Ctr,2904 Arkansas Boulevard,Texarkana,AR,71854
Southwest Arkansas Counseling MH Ctr,7000 North State Line Avenue,Texarkana,AR,71854
Serenity Counseling Advocates Inc,3103 Alma Highway,Van Buren,AR,72957
New Beginnings CASA,412 York Steet,Warren,AR,71671
Health Resources of Arkansas,120 D’anna Place,West Helena,AR,72390
Human Development and Research Servs,6841 West 13th Street,White Hall,AR,71602
