State,Year,(E019) Police & Fire Protection-Dir Exp,(E021) Total Correct-Dir Exp,(E022) Total Correct-Cur Oper,(E023) Total Correct-Cap Out,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
New Jersey,2017,3980848.00,706248.00,690755.00,15493.00,658188.00,647474.00,10714.00,1007916.00,743491.00,262981.00,181538.00,81443.00,1444.00
New Mexico,2017,895515.00,236797.00,231763.00,5034.00,306584.00,297603.00,8981.00,119109.00,114399.00,0.00,0.00,0.00,4710.00
New York,2017,13459750.00,3402655.00,3278445.00,124210.00,15419822.00,14973999.00,445823.00,12311810.00,9659536.00,2613911.00,1357659.00,1256252.00,38363.00
North Carolina,2017,3722009.00,558469.00,530465.00,28004.00,10743196.00,10278559.00,464637.00,1761505.00,1097156.00,624116.00,0.00,624116.00,40233.00
North Dakota,2017,323969.00,121575.00,53198.00,68377.00,78705.00,75117.00,3588.00,84120.00,82918.00,774.00,755.00,19.00,428.00
Ohio,2017,5526212.00,504778.00,499834.00,4944.00,4216622.00,4074864.00,141758.00,2859798.00,2838940.00,13897.00,12395.00,1502.00,6961.00
Oklahoma,2017,1411278.00,153284.00,121753.00,31531.00,1213096.00,1176611.00,36485.00,24655.00,24328.00,0.00,0.00,0.00,327.00
Oregon,2017,1966587.00,543030.00,541685.00,1345.00,1171861.00,1115664.00,56197.00,231646.00,231580.00,0.00,0.00,0.00,66.00
Pennsylvania,2017,3629833.00,1573740.00,1552785.00,20955.00,3148784.00,3141782.00,7002.00,4285924.00,4208942.00,45719.00,13781.00,31938.00,31263.00
Arkansas,2017,870184.00,177055.00,158128.00,18927.00,283677.00,251706.00,31971.00,21730.00,21725.00,0.00,0.00,0.00,5.00
Rhode Island,2017,696596.00,0.00,0.00,0.00,20585.00,19596.00,989.00,8104.00,8090.00,0.00,0.00,0.00,14.00
South Carolina,2017,1715571.00,264061.00,258847.00,5214.00,5157654.00,4877697.00,279957.00,30997.00,30943.00,0.00,0.00,0.00,54.00
South Dakota,2017,234435.00,62320.00,62247.00,73.00,152858.00,121548.00,31310.00,15790.00,15750.00,9.00,7.00,2.00,31.00
Tennessee,2017,2526743.00,438356.00,431877.00,6479.00,3862950.00,3623008.00,239942.00,168487.00,162957.00,505.00,384.00,121.00,5025.00
Texas,2017,10346638.00,2569570.00,2495824.00,73746.00,14745695.00,14092924.00,652771.00,744892.00,741592.00,1039.00,8.00,1031.00,2261.00
Utah,2017,907989.00,185766.00,184882.00,884.00,627267.00,613119.00,14148.00,165233.00,159705.00,0.00,0.00,0.00,5528.00
Vermont,2017,186062.00,457.00,457.00,0.00,10393.00,10092.00,301.00,2054.00,2027.00,27.00,23.00,4.00,0.00
Virginia,2017,3489010.00,1190252.00,1161547.00,28705.00,1621167.00,1565998.00,55169.00,1590318.00,1515517.00,63399.00,40119.00,23280.00,11402.00
Washington,2017,3385247.00,732202.00,688177.00,44025.00,4825220.00,4631301.00,193919.00,208140.00,207764.00,0.00,0.00,0.00,376.00
West Virginia,2017,435074.00,52565.00,52556.00,9.00,381820.00,379193.00,2627.00,10697.00,10697.00,0.00,0.00,0.00,0.00
California,2017,25783987.00,6237847.00,6092091.00,145756.00,37849864.00,36937841.00,912023.00,18333373.00,11892356.00,6399742.00,41798.00,6357944.00,41275.00
Wisconsin,2017,2541133.00,543955.00,508299.00,35656.00,1378038.00,1362777.00,15261.00,2182144.00,2146649.00,8774.00,0.00,8774.00,26721.00
Wyoming,2017,280918.00,70319.00,69508.00,811.00,1178835.00,1121813.00,57022.00,19311.00,18469.00,0.00,0.00,0.00,842.00
Colorado,2017,2693737.00,467469.00,458189.00,9280.00,2216379.00,2005148.00,211231.00,829187.00,734158.00,89461.00,55890.00,33571.00,5568.00
Connecticut,2017,1582453.00,0.00,0.00,0.00,156688.00,155696.00,992.00,99414.00,98306.00,670.00,592.00,78.00,438.00
Delaware,2017,270786.00,0.00,0.00,0.00,39795.00,39609.00,186.00,957.00,957.00,0.00,0.00,0.00,0.00
DC,2017,914922.00,157189.00,154013.00,3176.00,660866.00,627749.00,33117.00,3929827.00,3726084.00,162994.00,162994.00,0.00,40749.00
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Data may be unavailable for some years, variables, and levels of government. Observations with missing values are displayed as N/A in the results above. See help page on data availability for more information.",,,,,,,,,,,,,,
