State,Year,(E019) Police & Fire Protection-Dir Exp,(E021) Total Correct-Dir Exp,(E022) Total Correct-Cur Oper,(E023) Total Correct-Cap Out,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
North Carolina,2017,532743,1388080,1371367,16713,3101826,3013987,87839,13362945,13340892,20568,18614,1954,1485
North Dakota,2017,35252,102678,101808,870,194711,192889,1822,1451579,1382277,67266,7046,60220,2036
Ohio,2017,332849,1520489,1440047,80442,4400609,4213789,186820,25835991,25354180,475434,136311,339123,6377
Oklahoma,2017,176778,593201,586965,6236,1074105,1067028,7077,6749454,6592568,154895,39928,114967,1991
Oregon,2017,200061,766260,724640,41620,3178807,2989213,189594,10262803,9990450,269426,123028,146398,2927
Pennsylvania,2017,1081972,2170523,2140905,29618,6860793,6687739,173054,29994635,28210572,1767661,229241,1538420,16402
Rhode Island,2017,92833,210109,205238,4871,277185,270308,6877,3091739,3010394,24028,24028,0,57317
South Carolina,2017,180591,470254,464616,5638,2982335,2968679,13656,7951767,7748275,203346,62049,141297,146
South Dakota,2017,44756,124688,122839,1849,178375,175907,2468,1143107,1058490,83176,18932,64244,1441
Tennessee,2017,223029,657021,649129,7892,953215,938533,14682,11541172,10928718,583612,78105,505507,28842
Texas,2017,1229950,3813532,3743826,69706,10113771,10001342,112429,37414994,35677780,1717977,724733,993244,19237
Utah,2017,150315,372616,325147,47469,2253088,2176461,76627,3750259,3147852,592558,160473,432085,9849
Vermont,2017,104081,151528,150398,1130,388605,385239,3366,1844639,1792068,45168,27296,17872,7403
Virginia,2017,407212,1430595,1387058,43537,5943530,5720824,222706,10437217,10189325,246370,116748,129622,1522
Washington,2017,305035,998607,955405,43202,5655296,5513698,141598,12180551,11911712,257011,169359,87652,11828
West Virginia,2017,81031,301041,290927,10114,385788,378562,7226,5010083,4647869,361157,361140,17,1057
Wisconsin,2017,44780,981162,964888,16274,2630911,2475340,155571,10517983,10251342,265367,265367,0,1274
Wyoming,2017,39464,133674,133547,127,398439,398216,223,844868,844753,24,15,9,91
