Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
Cherokee/Etowah/DeKalb Mental Health,Center Subst Abuse Servs Men/Women,,901 Goodyear Avenue,,,Gadsden,AL,35903,(256)492-7800 Hotline: (256)492-7800,,,MH/TX/OP/PH/CO/WO/MN/CJ/SF/MD/PI/MI/SS/AH/,5025AL35903,-85.97120400151171,34.00936717181528,100.0
Gadsden Treatment Center,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807,www.alamta.freeservers.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/,7491AL35901,-86.01800955180912,34.02036605590047,100.0
Mountain View Hospital,,,3001 Scenic Highway,,,Gadsden,AL,35902,(800)245-3645 Intake: (256)546-9265x250,www.mtnviewhospital.com,,MH/TX/DT/OP/PH/HI/CO/DU/SF/MD/MC/PI/MI/,2657AL35902,-86.02069245919455,34.07105845576011,98.39
Gulf Coast Treatment,,,Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,,Methadone Clients Only,SA/TX/MM/OP/WO/SF/,1102AL36541,-88.32891143959391,30.49813972049453,97.4
Mountain Lakes Behavioral Healthcare,Substance Abuse Services,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465 Hotline: (256)582-5339,,,SA/TX/OP/RR/AD/SF/MD/PI/SS/AH/,3516AL35976,-86.26510688395511,34.41975632422606,100.0
Crestwood Medical Center of Huntsville,Behavioral Services,,1 Hospital Drive,,,Huntsville,AL,35801,(256)880-4260 Intake: (256)880-4280,www.crestwoodmedcenter.com,,GH/TX/DT/OP/PH/HI/AD/CO/SF/MD/MC/PI/MI/,0304AL35801,-86.57255257785901,34.69296173411103,99.55
Huntsville Madison County MH Center,New Horizons Recovery Center,,600 Saint Clair Street,Number 9 Suite 23,,Huntsville,AL,35801,(256)532-4141,,,SA/TX/OP/SF/MD/PI/MI/SS/SP/AH/,1153AL35801,-86.58760002189669,34.721767485478075,97.61
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/SP/,0408AL35805,-86.60357727045357,34.699692947184474,99.55
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,,,SA/TX/HH/RR/CO/HV/GL/SE/WO/MN/SF/,5546AL35805,-86.60824196720881,34.70544750090015,100.0
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,(205)387-0541x134 Intake: (205)387-0547 Hotline: (800)489-3971,nwamhc.com,,MH-SA/TX/OP/SF/MD/MC/PI/MI/SS/,7304AL35501,-87.28264837725199,33.841013943510376,100.0
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/CJ/SF/PI/,5511AL35504,-87.2675299762368,33.873530970424305,100.0
Bradford Health Services,Huntsville Madison Inpt and Outpt,,1600 Browns Ferry Road,,,Madison,AL,35758,(800)879-7272 Intake: (256)461-7272x255,www.bradfordhealth.com,,SA/TX/DT/OP/PH/RR/HI/AD/SF/PI/MI/,2467AL35758,-86.78332701641291,34.72414300065681,100.0
Bradford Health Services,Mobile Regional Facility,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906 Hotline: (800)333-0906,www.bradfordhealth.com,,SA/TX/OP/AD/WO/MN/SF/PI/MI/AH/,3751AL36695,-88.1907181293662,30.669289799718786,100.0
Bridge Inc,Recovery Center for Teens/Mobile,,3401 Newman Road,,,Mobile,AL,36695,(251)633-0475,www.bridgeinc.org,,SA/TX/OP/AD/CO/SP/AH/,4130AL36695,-88.33712499976956,30.619203988751025,100.0
Bridge Inc,Mobile Campus/Westwood Program,,3401 Newman Road,,,Mobile,AL,36695,(251)633-0475x1026,www.bridgeinc.org,,SA/TX/RR/AD/SF/PI/MI/SP/AH/,4130AL36695,-88.33712499976956,30.619203988751025,100.0
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(251)438-4729x149 Intake: (251)438-4729x135,www.salvos.com/mobile,,SA/TX/HH/OP/RR/SF/,9975AL36604,-88.05866904000689,30.687729022785767,100.0
ECD Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(251)476-1677,,Methadone Clients Only,SA/TX/MM/OP/WO/SF/,9926AL36607,-88.11049309267267,30.699565375987593,100.0
Franklin Primary Health Center,,,1055 Dauphin Street,,,Mobile,AL,36604,(251)434-8195,,,SA/TX/OP/SF/,4157AL36604,-88.05976178872388,30.687675378605523,100.0
Mobile Mental Health,Oasis,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569,,,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WO/DU/CJ/SF/MD/MC/PI/MI/PA/AH/,3152AL36693,-88.14878992184461,30.628666822159875,100.0
Mobile Metro Treatment Center,,,3367 Dauphin Island Parkway,,,Mobile,AL,36605,(251)476-5733,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,8709AL36605,-88.07649336042273,30.602566211206867,100.0
Bradford Health Services,Montgomery Outreach/Montgomery,,386 Saint Lukes Drive,,,Montgomery,AL,36117,(800)873-2887 Intake: (334)244-0702 Hotlines: (334)244-0702 (800)873-2887,www.bradfordhealth.com,,SA/TX/OP/AD/SF/PI/,7774AL36117,-86.17048098061719,32.37906984630004,100.0
Chemical Addictions Program Inc,,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)269-2150,www.capmgm.com,,SA/TX/OP/PH/AD/SF/MD/PI/MI/SS/,4431AL36108,-86.3413790177281,32.352609016165424,100.0
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,1415 East South Boulevard,,,Montgomery,AL,36116,(334)286-5980,www.lighthousehelp.com,,SA/TX/OP/AD/CO/HV/PW/WO/CJ/SF/MD/PI/SS/,6846AL36116,-86.28371898377488,32.32704278655681,100.0
Meadhaven Outpatient Center,Addictive Disease Program,,4101-C Wall Street,,,Montgomery,AL,36106,(334)260-3625,www.baptistfirst.org,,MH-SA/TX/DT/OP/PH/SF/PI/AH/,7150AL36106,-86.23451436228795,32.35974105184893,98.69
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,6849AL36105,-86.29911972503125,32.32229104373711,100.0
Shoals Treatment Center,,,520 Louise Avenue,,,Muscle Shoals,AL,35661,(256)383-6646,,Methadone Clients Only,SA/TX/MM/OP/SF/PI/,3715AL35661,-87.66815290212082,34.756822616214265,99.55
Bradford Health Services,Tuscaloosa Outreach Division,,515 Energy Center Boulevard,,,Northport,AL,35473,(800)891-9673 Hotlines: (800)891-9673 (800)333-1865,www.bradfordhealth.com,,SA/TX/OP/AD/SF/PI/MI/AH/,1744AL35473,-87.55388208085388,33.24001690523693,100.0
Calhoun Treatment Center Inc,,,118 East Choccolocco Street,,,Oxford,AL,36203,(256)831-4601,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/,8190AL36203,-85.83361019652041,33.61507245507789,100.0
East Alabama MH/MR Center,Russell County Clinic,,2400 10th Street,,,Phenix City,AL,36867,(334)298-2405 Intake: (334)742-2877,,,MH/TX/OP/SF/MD/MC/PI/MI/SS/,9485AL36867,-85.02616126324338,32.46449744909285,99.51
First Step,Substance Abuse Treatment,,Smiley Street,,,Red Level,AL,36474,(334)469-5347 Intake: (877)530-0002 Hotline: (334)222-7794,,,SA/TX/RR/MN/SF/MD/MC/PI/MI/SS/,3816AL36474,-86.61326647696467,31.40911807778048,100.0
Freedom House,,,15132 Highway 72,,,Rogersville,AL,35652,(256)247-1222,,,SA/TX/HH/OP/PH/RR/PW/WO/CJ/SF/SP/,4635AL35652,-87.31286884665417,34.82882062013204,100.0
Sunrise Lodge,Substance Abuse Treatment Center,,1163 Washington Avenue SW,,,Russellville,AL,35653,(256)332-0078 Intake: (256)764-3431 Hotline: (256)764-3431,www.rcmh.org,,SA/TX/RR/CO/MN/SF/MD/PI/MI/SS/SP/AH/,1318AL35653,-87.73299100836826,34.50185866038862,100.0
Cahaba Ctr for Substance Abuse Servs,,,912 Jeff Davis Avenue,,,Selma,AL,36701,(334)874-2600 Hotlines: (334)875-2109 (800)291-1920,,,SA/TX/OP/AD/HV/PW/CJ/SF/MD/PI/MI/PA/AH/,4989AL36701,-87.02907999999996,32.41915000000006,85.0
Shoulder,,,4901 Battleship Parkway,,,Spanish Fort,AL,36577,(251)626-2199,www.theshoulder.org,,SA/TX/HH/OP/PH/RR/MN/CJ/SF/PI/SS/PA/,3829AL36577,-87.93945968520796,30.670448388285518,98.72
Cheaha Regional Mental Health/Caradale,Lodge/Mental Retardation Board Inc,,1721 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)249-2395 Intake: (256)245-2201 Hotline: (256)245-2201,,,SA/TX/DT/OP/RR/AD/DU/CJ/SF/MD/SS/AH/,4273AL35150,-86.27737992071009,33.177161147231395,100.0
East Central Mental Health Inc,Substance Abuse Program,,200 Cherry Street,,,Troy,AL,36081,(334)566-6022 Hotline: (334)566-3391,,,MH-SA/TX/OP/AD/CO/DU/SF/MD/PI/MI/,5583AL36081,-85.97323724420227,31.809386697728467,100.0
Bridge Inc,Recovery Center for Teens/Tuscaloosa,,6001 12th Avenue East,,,Tuscaloosa,AL,35405,(205)345-4340,www.bridgeinc.org,,SA/TX/OP/AD/CO/,7143AL35405,-87.52242312185562,33.152283189423514,100.0
Indian Rivers Mental Health Center,Alcohol and Drug Abuse Program,The Insight Center,3532 23rd Street,,,Tuscaloosa,AL,35401,(205)391-0132 Intake: (205)556-0477 Hotline: (205)345-1600,,,SA/TX/OP/PH/CO/PW/WO/SF/MD/PI/MI/SS/SP/AH/F29/,2484AL35401,-87.5829582324172,33.19221721645086,100.0
Phoenix House Inc,,,700 35th Avenue,,,Tuscaloosa,AL,35401,(205)758-3867,,,SA/TX/HH/RR/CJ/SF/SS/,6479AL35401,-87.58155200052153,33.204355385715296,100.0
Tuscaloosa Treatment Center,,,1001 Mimmosa Park Road,,,Tuscaloosa,AL,35405,(205)752-5857,,Methadone Clients Only,SA/TX/MM/OP/HV/WO/MN/SF/MC/PI/MI/,3934AL35405,-87.55181937830143,33.15494892799984,98.34
Veterans Affairs Medical Center,MAPS/MI Addiction PTSD Services,,3701 Loop Road East,,,Tuscaloosa,AL,35404,(205)554-2000x2690 Intake: (205)554-2000x3158,,,SA/TX/DT/OP/PH/CO/SF/PI/MI/SP/AH/F27/F29/F85/F87/,9877AL35404,-87.48654698370329,33.19129001032155,98.87
VA Central Alabama Healthcare System,,,2400 Hospital Road,,,Tuskegee,AL,36083,(334)727-0550x4184 Intake: (334)727-0550x4134,,,GH/TX/DT/OP/HI/CO/SF/PI/MI/,9406AL36083,-85.70841234375703,32.43707538345293,100.0
Bradford Health Services,Warrior Lodge/Jefferson,,1189 Allbritton Road,,,Warrior,AL,35180,(800)333-1865 Intake: (800)648-1945 Hotlines: (800)648-1945 (800)333-1865,www.bradfordhealth.com,,SA/TX/DT/PH/RR/SF/PI/MI/PA/,3440AL35180,-86.87165668554245,33.82449669475884,100.0
Self Discovery Unit,c/o Elmore Community Hospital,,500 Hospital Drive,,,Wetumpka,AL,36092,(877)647-7552,,,SA/TX/DT/HI/WO/MN/SF/MD/MC/PI/MI/,3389AL36092,-86.18704253164417,32.552381997253924,100.0
TCCY/TCMHC,Allakaket Counseling Center,,,,,Allakaket,AK,99720,(907)968-2210,,,MH-SA/TX/OP/CO/PI/,6549AK99720,-152.65183939999997,66.56370220000008,100.0
Akeela Inc,,,4111 Minnesota Drive,,,Anchorage,AK,99503,(907)565-1200 Intake: (907)562-4556,www.alaskaprevention.org/,,SA/TX/RR/CJ/SF/PI/,9893AK99503,-149.91302033416582,61.18308967965797,100.0
Alaska Human Services Inc/Outpatient,Alcohol/Substance Abuse Treatment Prog,,3305 Arctic Boulevard,Number 5,,Anchorage,AK,99503,(907)561-4535,,,SA/TX/OP/DU/CJ/SF/PI/SS/AH/,9617AK99503,-149.89795051044675,61.19045557044001,100.0
Alaska Womens Resource Center,,,610 C Street,Suite 2-A,,Anchorage,AK,99501,(907)276-0528,www.awrconline.org,,SA/TX/RR/WO/SF/MD/PI/SS/,1767AK99501,-149.88738746842716,61.216356992356644,100.0
Alaska Womens Resource Center,,,813 D Street,,,Anchorage,AK,99501,(907)276-0528,www.awrconline.org,,SA/TX/OP/RR/WO/SF/MD/PI/SS/,5641AK99501,-149.8893724707371,61.21427601725529,100.0
Booth Memorial,Youth and Family Services,,3600 East 20th Avenue,,,Anchorage,AK,99508,(907)279-0522,,,MH-SA/TX/OP/PH/AD/CO/PW/SF/MD/MC/PI/AH/,7128AK99508,-149.81460161964156,61.202473794669906,100.0
Cookinlet Tribal Council,Ernie Turner Center,,4330 South Bragaw Street,,,Anchorage,AK,99508,(907)550-2400,www.ernieturner.org,,SA/TX/OP/PH/RR/SE/WO/MN/SF/MC/PI/PA/N66/,8156AK99508,-149.808305987668,61.22077810931108,92.12
Genesis Recovery Services Inc,,,2825 West 42nd Place,,,Anchorage,AK,99517,(907)243-5130,,,SA/TX/OP/RR/GL/SE/DU/CJ/SF/PI/MI/,3839AK99517,-149.9372772849154,61.182356337916744,100.0
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501,(907)276-6430,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/WO/SF/MD/PI/MI/SS/F69/,5954AK99501,-149.87406602589138,61.21851252448672,100.0
Providence Alaska Medical Center,Providence Breakthrough,,2401 East 42nd Avenue,Suite 103,,Anchorage,AK,99508,(907)562-7325,,,SA/TX/OP/PH/CO/WO/MN/DU/SF/PI/MI/,3483AK99508,-149.8358319745566,61.1826675251046,100.0
RITE Inc,,,301 East Fireweed Lane,Suite 102,,Anchorage,AK,99503,(907)562-7483,,,SA/TX/OP/WO/MN/SF/PI/PA/,2903AK99503,-149.87806570244862,61.19807970765895,100.0
Salvation Army,Clitheroe Center,,1709 South Bragaw Street,Suite B,,Anchorage,AK,99508,(907)276-2898,,,SA/TX/DT/OP/RR/CO/WO/MN/SF/MD/PI/MI/AH/,4531AK99508,-149.80830253558602,61.205629790763204,98.87
Southcentral Foundation,Dena A Coy,,4130 San Ernesto Avenue,,,Anchorage,AK,99508,(907)729-5070,www.southcentralfoundation.org,,SA/TX/OP/RR/CO/PW/WO/SF/MD/PI/MI/AH/N66/,9011AK99508,-149.80274902181827,61.21246250868414,100.0
Starting Point,,,341 West Tudor Road,,,Anchorage,AK,99503,(907)562-6116,,,SA/TX/OP/AD/DU/CJ/SF/PI/SS/,5475AK99503,-149.88989835134237,61.18089336956906,100.0
Veterans Affairs and ROC,Anchorage Alaska Addictions Trt Prog,,2925 Debarr Road,Suite 116,,Anchorage,AK,99508,(907)257-4854 Intake: (907)257-4835,,,MH/TX/OP/CO/SF/,1181AK99508,-149.82716902616767,61.20982748978329,100.0
Volunteers of America Alaska,,,1675 C Street,Suite 301,,Anchorage,AK,99501,(907)279-9634,voaak.org,,SA/TX/OP/AD/DU/SF/MD/PI/SS/,9744AK99501,-149.88709804131045,61.205825005288155,100.0
Kuskokwim Native Association,Community Counseling Program,,,,,Aniak,AK,99557,(907)675-4445 Hotlines: (800)478-5622 (907)675-4445,,,MH-SA/TX/OP/CO/CJ/SF/MD/MC/PI/MI/SS/PA/,6549AK99557,-159.56677999999997,61.58158000000003,100.0
North Slope Borough Dept of Hlth/Soc,Servs Substance Abuse Treatment Prog,,5200 Karluk Street,,,Barrow,AK,99723,(907)852-0366,,,SA/TX/DT/OP/RR/CO/DU/SF/MC/PI/SS/PA/F25/N23/,9252AK99723,-156.7584240980254,71.30005741552459,100.0
Copper River Native Association,Behavioral Health Sciences Department,Substance Abuse and Mental Health Serv,Mile 104 Old Richardson Highway,,,Copper Center,AK,99573,(907)822-5241,,,MH-SA/TX/DT/OP/RR/AD/CO/HV/GL/SE/PW/DU/CJ/SF/MD/MC/PI/MI/SS/AH/,9340AK99573,-145.3555299646014,61.9866800038082,98.35
Sound Alternatives,Cordova Community Medical Center,,602 Chase Avenue,,,Cordova,AK,99574,(907)424-8300x334 Intake: (907)424-8300 Hotline: (907)424-8000,,,MH-SA/TX/DT/OP/AD/CO/HV/GL/SE/PW/WO/MN/DU/CJ/SF/MD/MC/PI/MI/SS/PA/SP/AH/,3484AK99574,-145.75556120380446,60.54053706176554,100.0
Bristol Bay Area Health Corp,Alcoholism and Drug Abuse Program,,6000 Kanakanak Road,,,Dillingham,AK,99576,(907)842-5266,,,SA/TX/DT/OP/PH/RR/AD/CO/WO/MN/DU/CJ/SF/MD/PI/SS/PA/N66/,2174AK99576,-158.5364624181619,59.00098327882935,100.0
Elmendorf AFB Alcohol Drug Abuse,Prevention Treatment Program,,3 MDOS/SGOH,5955 Zeamer Avenue,,Elmendorf AFB,AK,99506,(907)580-2181 Intake: (907)580-1793,,,SA/TX/DT/OP/,9159AK99506,-149.81457499999996,61.24341500000003,87.04
Fairbanks Memorial Hospital,Family Recovery Center,,1650 Cowles Street,,,Fairbanks,AK,99701,(907)458-5540,www.bannerhealth.com,,SA/TX/OP/PH/SF/PI/PA/,9820AK99701,-147.7363675682514,64.83150976003682,100.0
Graf Rheeneenhaanjii,Substance Abuse Services,,2550 Lawlor Road,,,Fairbanks,AK,99709,(907)455-4725,,,MH-SA/TX/RR/AD/CO/WO/MN/SF/MD/PI/MI/SS/,4262AK99709,-147.88921383576843,64.88066379673815,100.0
Life Givers,,,605 Hughes Avenue,,,Fairbanks,AK,99701,(907)452-1274 Hotline: (888)797-1274,www.ptialaska.net/~fnalife/lgweb/,,SA/TX/DT/OP/RR/AD/CO/PW/DU/SF/MD/MC/PI/MI/SS/PA/N7/N66/,2907AK99701,-147.71316662789934,64.81857229248547,100.0
Project Special Delivery,,,710 3rd Avenue,,,Fairbanks,AK,99701,(907)452-4222,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/PI/MI/SS/AH/,1447AK99701,-147.72514051186158,64.84289779087666,100.0
Ralph Perdue Center,,,3100 South Cushman Street,,,Fairbanks,AK,99701,(907)452-6251 Intake: (907)456-1041x221,www.fairbanksnative.org,,SA/TX/DT/OP/RR/WO/MN/DU/SF/PI/MI/SS/PA/,4429AK99701,-147.71079413020578,64.81831467469146,100.0
Tanana Chiefs Conference Inc,Old Minto Family Recovery Camp,,122 1st Avenue,Suite 600,,Fairbanks,AK,99701,(907)452-8251x3144 Intake: (800)478-6822,,,SA/TX/RR/AD/,1418AK99701,-147.70869412818396,64.84421211520412,100.0
Tanana Chiefs Conference Inc,Yukon Tanana Counseling Services,,1302 21st Avenue,,,Fairbanks,AK,99701,(907)459-3930 Intake: (907)452-8251x3460,,,MH-SA/TX/OP/,6825AK99701,-147.73435775550752,64.8283995291351,100.0
Womens and Children Center for,Inner Healing,,1027 Evergreen Street,,,Fairbanks,AK,99701,(907)451-8164 Intake: (907)451-8164x226,,,SA/TX/DT/RR/HV/GL/SE/PW/WO/SF/MD/MC/PI/SS/PA/AH/N7/N66/,5340AK99701,-147.75459393288676,64.85609543270249,99.51
ASAP Counseling Center,,,600 Richardson Drive,,,Fort Richardson,AK,99505,(907)384-1412,,,SA/TX/OP/AD/CO/DU/MI/,0752AK99505,-149.70033058952382,61.253499785557786,99.9
Fort Wainwright Community Counseling,Center /US Army MEDDAC-AK,,1060 Gaffney Road Suite 6600,MCUC/CCC Building 1064,,Fort Wainwright,AK,99703,(907)353-9872 Intake: (907)353-9871,www.alaska.amedd.army.mil,,SA/TX/DT/OP/CO/MI/,1148AK99703,-147.60290363384084,64.84156718767677,100.0
