Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID
University of Alabama in Birmingham,Hospital Center for Psychiatric Med,,1713 6th Avenue South,,,Birmingham,AL,35294,(205)934-9699 Intake: (205)934-7008,,,MH-SA/TX/DT/OP/PH/RR/HI/MD/MC/PI/MI/,5827AL35294
Chilton Shelby Mental Health Center,Substance Abuse Division,,1822 I 7th Street,Highway 25,,Calera,AL,35040,(205)668-2700,,,SA/TX/OP/AD/DU/MD/PI/MI/SS/OA/,4605AL35040
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,1312 Somerville Road,,,Decatur,AL,35601,(256)353-9116 Intake: (800)365-6008,www.mhcnca.org,,SA/TX/OP/AD/DD/PW/OW/CJ/MD/PI/SS/,3039AL35601
West Alabama Mental Health Center,Substance Abuse Program,,1215 Walnut Avenue South,,,Demopolis,AL,36732,(334)289-2410,,,SA/TX/OP/AD/DU/MD/PI/MI/SS/OA/,9367AL36732
Spectra Care,The Haven,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Intake: (334)671-1919,,,MH/TX/OP/RR/DD/DU/CJ/MD/PI/SS/,2574AL36303
Healthsouth Metro West,,,70 I Richard M Scrushy Parkway,,,Fairfield,AL,35064,(205)783-5157,,,MH/TX/DT/OP/PH/HI/AD/DD/MD/MC/PI/,2054AL35064
Baldwin County Mental Health Center,,,372 South Greeno Road,,,Fairhope,AL,36532,(334)990-8961 Intake: (800)738-2871,,,MH/TX/DT/OP/PH/AD/MD/MC/PI/MI/SS/OA/,3813AL36532
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431 Hotline: (331)242-3961 (256)764-3431,www .riverbendcenter.com,,MH/TX/DT/OP/PH/MD/MC/PI/MI/SS/OA/,6282AL35630
Alcohol and Drug Abuse Prevention and Control Office (ADAPCO),,,6th Avenue,Building 132,,Fort Rucker,AL,36362,(334)255-2789 Intake: (334)255-1040,,,SA/TX/OP/OA/,7928AL36362
Cherokee/Etowah/DeKalb Mental Hlth Ctr,Substance Abuse Services (Mens),,901 Goodyear Avenue,,,Gadsden,AL,35903,(256)492-7800,,,MH/TX/OP/DD/MD/MC/PI/MI/SS/OA/,5878AL35903
Mountain View Hospital,Chemical Dependency Services,,3001 Scenic Highway,,,Gadsden,AL,35901,(256)546-9265 Intake: (800)245-3645 Hotline: (800)662-1002,,,SA/TX/DT/OP/PH/HI/DD/CJ/MC/PI/MI/OA/,0297AL35901
The Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324,,,SA/TX/OP/RR/AD/OW/CJ/MD/MC/PI/MI/SS/OA/,7685AL35904
Marshall/Jackson Mental Hlth Authority,Mountain Lakes Behavioral Health Care,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465 Hotline: (256)582-5339,,,SA/TX/OP/RR/MD/PI/SS/OA/,4468AL35976
Crestwood Medical Center of Huntsville,Behavioral Services,,I Hospital Drive,,,Huntsville,AL,35801,(256)880-4260,www.crestwoodmedcenter.com,,SA/TX/DT/OP/HI/DD/MD/MC/PI/MI/OA/,0108AL35801
Huntsville Madison County MH Center,New Horizons Recovery Center,,600 Saint Clair Street,Number 9 Suite 23,,Huntsville,AL,35801,(256)532-4141 l-lotline: (256)539-1000,,,SA/TX/OP/MD/PI/MI/SS/OA/,2279AL35801
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311,,,SA/TX/DT/ML/OP/DD/HV/PW/OW/,7183AL35805
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,,,HH/,6750AL35805
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,(205)387-054lxl34 Hotline: (800)489-3971,,,MH-SA/TX/OP/DD/OW/DU/MD/PI/MH/SS/OA/,3770AL35501
Bradford Health Services Huntsville,Madison Inpatient and Outpatient,,1600 Browns Ferry Road,,,Madison,AL,35758,"(800)""879-7272 Intake: (256)461-7272",www.bradfordhealth.com,,SA/TX/DT/OP/PH/RR/AD/PI/MI/OA/,1934AL35758
Maxwell Air Force Base,Substance Abuse Program,,42 MDOS/SGOMI-I,330 Kirkpatrick Avenue E,,Maxwell AFB,AL,36113,(334)493-4534,,,TX/DT/OP/RR/AD/DD/HH/PW/OW/DU/CJ/PI/MI/,3875AL36113
Bradford Health Services,Mobile Outreach Mobile,,1004 Hillcrest Avenue,Suite 304,,Mobile,AL,36695,(800)333-0906,,,MH-SA/TX/ML/HH/OP/AD/DD/HV/PW/OW/CJ/PI/MI/OA/,1506AL36695
Dauphin Way Lodge,,,I 009 Dauphin Street,,,Mobile,AL,36604,(334)438-4729 Hotline: (334)438-1625 (334)438-4729,,,SA/TX/HH/RR/PH/SS/OA/,4821AL36604
ECO Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(334)476-1677,,,SA/TX/ML/OP/,3277AL36607
Franklin Primary Health Center,,,1303 Martin Luther King Jr Avenue,,,Mobile,AL,36603,(334)432-4117,,,GH/TX/OP/DD/HV/PW/OW/CJ/OA/,5923AL36603
Mobile Metro Treatment Center,,,3367 Dauphin Island Parkway,,,Mobile,AL,36605,(334)476-5733,,,SA/TX/ML/OP/HV/PW/,6522AL36605
Oasis,,,4211 Government Boulevard,,,Mobile,AL,36693,(334)666-2569,,,SA/TX/ML/OP/DD/HV/PW/OW/DU/CJ/MD/MC/PI/MI/SS/OA/,7639AL36693
Southwest Alabama Mental Health Center,Prevention/Consultation and Educ Servs,,328 West Claiborne Street,,,Monroeville,AL,36461,(334)575-4837,,,MH-SA/TX/OP/OW/CJ/MD/MC/PI/MI/SS/OA/,4891AL36461
Bradford Health Services,Montgomery Outreach,,I 00 Mendel Parkway,,,Montgomery,AL,36117,(800)873-2887 Intake: (334)244-0702,www.bradfordhealth.com,,SA/TX/OP/AD/PI/MI/OA/,2172AL36117
Chemical Addictions Program Inc,,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)269-2150 Hotline: (800)762-3790,,,SA/TX/OP/AD/MD/PI/MI/SS/OA/,3667AL36108
Jackson Hospital,Psvchiatric Unit,,1725 Pine Street,,,Montgomery,AL,36106,(334)293-8660,,,MH/TX/DT/HI/MD/MC/PI/MI/OA/,4196AL36106
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,1415 East South Boulevard,,,Montgomery,AL,36116,(334)286-5980 Hotline: (800)762-3790,",, ,, w.lighthousehclp.com",,SA/TX/OP/AD/DD/HV/PW/MD/MC/PI/MI/SS/OA/,7532AL36116
Meadhaven Outpatient Center,Addictive Disease Program,,4101-C Wall Street,,,Montgomery,AL,36106,(334)260-3625 Intake: (334)286-3535,,,SA/TX/DT/OP/PH/AD/PI/MI/OA/,4311AL36106
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363 Hotline: (334)288-5363,,,SA/TX/DT/ML/OP/,1386AL36105
Shoals Treatment Center,,,520 Louise Avenue,,,Muscle Shoals,AL,35661,(256)383-6654,,,SA/TX/ML/OP/MC/PI/OA/,1179AL35661
Bradford Health Services,Tuscaloosa Outreach Division,,507 Energy Center Boulevard,Suite 301,,Northport,AL,35473,(800)891-9673 Intake: (205)750-0227 Hotline: (800)333-1865 (800)891-9673,,,SA/TX/OP/AD/PI/MI/OA/,0319AL35473
Bradford Health Services,Oak Mountain Shelby Inpt and Outpt,,2280 Highway 35 South,,,Pelham,AL,35124,(205)664-3480 Hotline: (205)664-3480 (205)942-3200,www. bradfordhea Ith. com,,MH/TX/OP/RR/AD/DD/CJ/PI/OA/,4019AL35124
First Step,Substance Abuse Treatment,,Smiley Street,,,Red Level,AL,36474,(334)469-5347 Intake: (877)530-0002 l-lotline: (334)222-7794,,,SA/TX/RR/DU/MD/MC/PI/MI/SS/OA/,9477AL36474
The Freedom I-louse,,,15132 Highway 72,,,Rogersville,AL,35652,(256)247-1222,,,SA/TX/HH/OP/RR/PW/OW/OA/,8138AL35652
Sunrise Lodge,Substance Abuse Treatment Center,,1163 Washington Avenue SW,,,Russellville,AL,35653,(256)332-0078 Hotline: (334)242-3961 (256)764-3431,www. ri verbendcenter .com,,SA/TX/RR/MD/MC/PI/MI/SS/OA/,2919AL35653
Cahaba Ctr for Substance Abuse Servs,,,912 Jeff Davis Avenue,,,Selma,AL,36701,(334)874-2600 Hotline: (800)291-1920,,,SA/TX/OP/PH/AD/HV/PW/DU/CJ/MD/PI/MI/SS/OA/,8667AL36701
The Shoulder,,,4901 Battleship Parkway,,,Spanish Fort,AL,36577,(334)626-2199,www.theshoulder.org,,SA/TX/HH/OP/PH/RR/OW/CJ/PI/MI/SS/OA/,8248AL36577
Cheaha Regional Mental Health/Caradale,Lodge/Mental Retardation Board Inc,,1721 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)249-2395 Hotline: (256)245-2201,,,MH/TX/DT/OP/RR/AD/DU/MD/PI/SS/OA/,8022AL35150
East Central Mental Health,Substance Abuse Program,,200 Cherry Street,,,Troy,AL,36081,(334)566-6022,,,SA/TX/OP/DU/MD/PI/MI/OA/,0572AL36081
Indian Rivers Mental Health Center,Alcohol and Drug Abuse Program,The Insight Center,3532 23rd Street,,,Tuscaloosa,AL,35401,(205)391-0132 Intake: (205)391-0118 Hotline: (205)345-1600,,,MH-SA/TX/OP/PH/RR/DD/HV/PW/OW/CJ/MD/MC/PI/MI/SS/OA/,5761AL35401
Phoenix House Inc,,,700 35th Avenue,,,Tuscaloosa,AL,35401,(205)758-3867,,,HH/SS/OA/,5617AL35401
Tuscaloosa Treatment Center,,,535 Jack Warner Parkway NE,Suite G-3,,`,AL,35404,(205) 507-0800 Hotline:(800)891-9673,,,SA/TX/ML/OP/MC/PI/MI/SS/,8140AL35404
Veterans Affairs Medical Center,Primary Care Substance Abuse Clinic,,3 70 I Loop Road East,,,Tuscaloosa,AL,35404,(205)554-2000x2690 Intake: (205)554-2890,,,SA/TX/DT/OP/PH/DD/OW/MC/PI/MI/OA/,0108AL35404
VA Central Alabama Health Care System,,,2400 Hospital Road,,,Tuskegee,AL,36083,(334)727-0550x4184 Intake: (334)727-0550 Hotline: (334)727-0550,,,MH/TX/DT/OP/PH/RR/HI/DD/HV/OW/PI/MI/OA/,9541AL36083
Bradford Health Services,Warrior Lodge/Jefferson,,1189 Allbritton Road,,,Warrior,AL,35180,(800)333-1865,,,MH/TX/DT/OP/PH/RR/AD/DU/MD/MC/PI/SS/OA/,4757AL35180
Bradford Health Services,Elmore Community Hospital,c/o Elmore Community Hospital,500 Hospital Drive,,,Wetumpka,AL,36092,(334)567-4311 Intake: (334)244-0702,,,SA/TX/DT/HI/MD/MC/PI/,7140AL36092
Allakaket Counseling Center,,,,,,Allakaket,AK,99720,(907)968-2210,,,MH-SA/TX/OP/DD/DU/OA/,4003AK99720
Akeela Treatment Services,,,4111 Minnesota Drive,,,Anchorage,AK,99503,(907)258-6021,www.alaskaprevcntion.org,,SA/TX/HH/OP/RR/DD/HV/PW/OW/DU/CJ/MD/MC/PI/MI/SS/OA/,5974AK99503
Alaska Human Services Inc/Outpatient,Alcohol/Substance Abuse Tn:atmcnt Prog,,4050 Lake Otis Parkway,Suite 111,,Anchorage,AK,99508,(907)561-4535,,,SA/TX/OP/PI/MI/SS/,4403AK99508
Alaska North Addictions Recovery Ctr,Ernie Turner Center,,4330 South Bragaw Street,,,Anchorage,AK,99508,(907)561-5537 l-lotline: (907)561-5537,,,SA/TX/OP/PH/RR/OW/MD/PI/SS/OA/,0014AK99508
Alaska Womens Resource Center,,,111 West 9th Avenue,,,Anchorage,AK,99501,(907)276-0528,,,SA/TX/RR/MD/MC/PI/MI/SS/OA/,8235AK99501
Booth Memorial Youth and Family Servs,,,3600 East 20th Avenue,,,Anchorage,AK,99508,(907)279-0522 Hotline: (907)779-0522,,,MH/TX/OP/PH/RR/AD/DD/HV/PW/OW/DU/CJ/MD/MC/PI/MI/SS/OA/,2044AK99508
Charter North Star Behavioral,Health Svstcm,,2530 Debarr Road,,,Anchorage,AK,99508,(907)258-7575 Hotline: (800)478-7575,,,MH/TX/DT/DD/PI/MI/SS/OA/,5336AK99508
Genesis Recovery Services Inc,,,2825 West 42nd Place,,,Anchorage,AK,99517,(907)243-5130 Hotline: (907)243-5130,,,MH-SA/TX/HH/OP/RR/DD/HV/OW/DU/CJ/PI/SS/,6376AK99517
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501,(907)276-6430,,,SA/TX/DT/ML/OP/MD/PI/MI/SS/OA/,9067AK99501
Pacific Rim Counseling Inc,,,4141 B Street,Suite 210,,Anchorage,AK,99503,(907)561-5252 Intake: (800)478-5252,,,SA/TX/OP/AD/DU/MD/MC/PI/MI/,1894AK99503
Providence Alaska Medical Center,Providence Breakthrough,,240 I East 42nd Avenue,Suite 103,,Anchorage,AK,99508,(907)562-7325 Intake: (800)478-0615,,,SA/TX/OP/PH/AD/OW/DU/PI/MI/OA/,5589AK99508
RITE Inc,,,30 I East Firewced Lane,Suite 102,,Anchorage,AK,99503,(907)562-7483,,,SA/TX/OP/AD/DD/OW/DU/CJ/PI/MI/,1781AK99503
Salvation Army,Clitheroe Center,,I 709 South Bragaw Street,Suite B,,Anchorage,AK,99508,(907)276-2898,,,SA/TX/DT/HH/OP/RR/DD/HV/PW/OW/DU/CJ/MD/PI/SS/OA/,4375AK99508
Southcentral Foundation,Dena A Coy,,3916 East 9th Avenue,,,Anchorage,AK,99508,(907)333-6677,,,SA/TX/OP/RR/DD/PW/CJ/MD/PI/MI/SS/OA/,8142AK99508
Starting Point,,,341 West Tudor Street,Suite 205,,Anchorage,AK,99503,(907)562-6116 Hotline: (800)770-6116,,,SA/TX/OP/DU/MC/PI/SS/OA/,6750AK99503
Veterans Affairs and ROC,Anchorage Alaska Addictions Trt Prog,,2925 Debarr Road,Suite 116,,Anchorage,AK,99508,(907)257-4854,,,MH/TX/OP/DD/PI/OA/,2238AK99508
Volunteers of America Alaska,ASSIST,,441 West 5th Avenue,Suite 301,,Anchorage,AK,99501,(907)279-9634,,,SA/TX/OP/AD/DU/MD/PI/MI/SS/OA/,0632AK99501
Kuskokwim Native Association,Community Counseling Program,,,,,Aniak,AK,99557,(907)675-4445 Hotline: (800)478-5622,,,SA/TX/DT/OP/PH/AD/DD/PW/OW/DU/CJ/MD/MC/PI/MI/SS/OA/,9033AK99557
North Slope Borough Dept of I 11th/Soc,Servs Substance Abuse Treatment Prog,,5115 Herman Street,,,Barrow,AK,99723,(907)852-0366 Hotline: (907)852-0274,,,SA/TX/DT/OP/RR/DD/OW/CJ/OA/,9647AK99723
Copper River Comm Mental I lcalth Ctr,Substance Abuse Services,,Mile 104 Old Richardson Highway,,,Copper Center,AK,99573,(907)822-5241,,,TX/DT/OP/RR/DD/PW/OW/DU/CJ/MD/MC/PI/MI/SS/OA/,7491AK99573
Sound Alternatives,Cordova Community Medical Center,,602 Chase Avenue,,,Cordova,AK,99574,(907)424-8300 Hotline: (907)424-8000,,,MH-SA/TX/DT/OP/AD/DD/OW/DU/CJ/MD/MC/PI/MI/SS/OA/,8108AK99574
Bristol Bay Arca Health Corp,Alcoholism and Drug Abuse Program,,6000 Kanaknak Road,,,Dillingham,AK,99576,(907)842-5266,,,SA/TX/DT/OP/PH/RR/AD/OW/DU/CJ/MD/PI/MI/SS/OA/,7399AK99576
Starting Point,,,12836 Old Glenn Highway,Suite 105,,Eagle River,AK,99577,(907)694-6116 Intake: (907)562-6116 (907)376-6116,,,SA/TX/OP/AD/DU/PI/OA/,9451AK99577
Volunteers of America of Alaska ARCH,,,441 West 5th Avenue,Suite 301,,Eagle River,AK,99577,(907)694-3336 Intake: (907)279-9634,,,SA/TX/RR/AD/DD/MD/PI/MI/SS/OA/,1464AK99577
Elmendorf AFB Alcohol Drug Abuse,Prevention Treatment Program,,3 MDOS/SGOI-I,5955 learner Avenue,,Elmendorf AFB,AK,99506,(907)580-2181,,,SA/TX/DT/OP/DD/DU/CJ/MI/OA/,6317AK99506
Fairbanks Memorial Hospital,Family Recovery Center,,1650 Cowles Street,,,Fairbanks,AK,99701,(907)458-5540,,,SA/TX/OP/PI/OA/,3339AK99701
Graf Rhceneenhaanjii,Substance Abuse Services,,2550 Lawlor Road,,,Fairbanks,AK,99701,(907)455-4725,,,SA/TX/DT/OP/RR/AD/DD/MD/PI/MI/OA/,9671AK99701
Ralph Perdue Center,,,3100 South Cushman Street,,,Fairbanks,AK,99701,(907)452-6251,,,SA/TX/DT/OP/RR/AD/DD/DU/MD/PI/MI/SS/,1284AK99701
Tanana Chiefs Conference Inc,Old Minto Family Recovery Camp,,122 1st Avenue,Suite 600,,Fairbanks,AK,99707,(907)452-8251x3158 Intake: (800)478-7822,,,SA/TX/RR/OA/,2119AK99707
Tanana Chiefs Conference Inc,Yukon Tanana Counseling Services,,1302 21st Avenue,,,Fairbanks,AK,99701,(907)459-3930,,,MH-SA/TX/OP/DU/SS/OA/,9069AK99701
Community Counseling Center,,,600 Richardson Drive,,,Fort Richardson,AK,99505,(907)384-1416 Intake: (907)384-7837,,,SA/TX/DT/OP/OA/,8201AK99505
Fort Wainwright Community Counseling,Center /US Army MEDDAC-AK,,I 060 Gaffney Road Suite 6600,MCUC/CCC Building 1064,,Fort Wainwright,AK,99703,(907)353-9872,,,SA/TX/OP/DD/MI/OA/,6638AK99703
Railbelt Mental Health and Addiction,,,Dry Creek and Coal Street,,,Healy,AK,99743,(907)832-5557 Intake: (907)683-2743,,,MH-SA/TX/OP/MD/MC/PI/SS/,5823AK99743
Gastineau Human Services,,,5597 Aisck Street,,,Juneau,AK,99801,(907)780-3026,,,SA/TX/HH/OP/RR/DD/OW/DU/CJ/PI/MI/SS/OA/,1993AK99801
Tongass Community Counseling Center,,,222 Seward Street,Suite 202,,Juneau,AK,99801,(907)586-3585,,,TX/OP/AD/CJ/PI/,3728AK99801
Cook Inlet Council on,Alcohol and Drug Abuse (CICADA),,10200 Kenai Spur Highway,,,Kenai,AK,99611,(907)283-3658,,,SA/TX/OP/DD/OW/DU/CJ/MD/PI/OA/,9619AK99611
Gateway Center for Human Services,Substance Abuse Services Division,,3050 5th Avenue,,,Ketchikan,AK,99901,(907)245-4135 Intake: (907)225-4135,,,MH-SA/TX/DT/OP/RR/AD/DD/OW/DU/MD/MC/PI/MI/SS/OA/,3192AK99901
Ketchikan General Hosp Recovery Center,,,126 Washington Street,,,Ketchikan,AK,99901,(907)247-4330,,,SA/TX/DT/OP/HI/AD/MC/PI/MI/SS/OA/,7223AK99901
Ketchikan Indian Corporation,,,2960 Tongass Avenue,,,Ketchikan,AK,99901,(907)225-4061xl3,,,SA/TX/OP/PH/AD/OW/DU/CJ/MD/PI/SS/OA/,2813AK99901
Kodiak Council on Alcoholism Inc,OBA Safe Harbor,,115 Mill Bay Road,,,Kodiak,AK,99615,(907)486-3535,,,SA/TX/OP/PH/RR/AD/DD/HV/PW/OW/DU/CJ/MD/PI/MI/SS/OA/,8864AK99615
Maniilaq Addictions and Support,Maniilaq Association,,436 5th Avenue,,,Kotzebue,AK,99752,(907J442-7640xl39,,,IN/IA/KE/O/-/SA/TX/DT/OP/PH/RR/DD/PW/OW/DU/CJ/OA/,8707AK99752
Four Rivers Counseling Services_,McGrath/Anvik Education and Ml-I Assoc,,229 Joaquin Street,,,McGrath,AK,99627,(907)524-3781 Intake: (907)524-3867 Hotline: (800)478-3781,,,MH-SA/TX/OP/MD/MC/PI/MI/SS/,4472AK99627
Annette Island Service Unit,Family Services,,,,,Metlakatla,AK,99926,(907)886-4325,,,MH-SA/TX/OP/AD/DD/OW/DU/CJ/OA/,9723AK99926
Railbelt Mental Health and Addictions,Treatment Program,,307 East 2nd Street,,,Nenana,AK,99760,(907)832-5557 Intake: (800)478-5554,,,MH-SA/TX/OP/MD/MC/PI/SS/,5810AK99760
Changing Tides Counseling Services,,,201 North Nordic Street,Suites 204 and 205,,Petersburg,AK,99833,(907)772-3552,www.alaska.net/-changing,,SA/TX/OP/AD/DU/MD/MC/PI/MI/SS/OA/,2968AK99833
Pribilof Counseling Center,,,,,,Saint Paul Island,AK,99660,(907)546-2342,,,SA/TX/OP/DU/MD/PI/SS/OA/,3283AK99660
Eastern Aleutian Tribes Inc,,,Main Street,,,Sand Point,AK,99661,(907)383-5421 Hotline: (800)478-2673,,,SA/TX/DT/OP/DD/DU/MD/MC/PI/MI/SS/OA/,2524AK99661
Seldovia Village Tribe,Prevention Program,,274 Main Street,,,Seldovia,AK,99663,(907)234-7807,,,SA/TX/OP/PH/AD/PW/OW/DU/CJ/SS/OA/,1012AK99663
Seaview Community Services,,,302 Railway Avenue,,,Seward,AK,99664,(907)224-5257 Hotline: (907)224-3027,,,TX/OP/AD/DD/OW/DU/CJ/MD/MC/PI/MI/SS/OA/,0677AK99664
Ravens Way/SEARHC,Adolescent Residential Treatment Prog,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8715,,,SA/TX/RR/AD/DD/MD/PI/SS/OA/,4698AK99835
Sitka Prevention and Trt Services Inc,Headquarters,,509 Lincoln Street,,,Sitka,AK,99835,(907)747-3500,,,HH/,1795AK99835
Sitka Prevention and Trt Services Inc,,,509 Lincoln Street,,,Sitka,AK,99835,(907)747-3500 Intake: (907)747-3636,,,SA/TX/HH/OP/PH/AD/OW/DU/MD/MC/PI/MI/SS/OA/,1795AK99835
Southeast AK Regional I-11th Consortium,Community Family Services Program,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8715,www.searhc.org,,SA/TX/OP/DD/DU/MD/MC/SS/OA/,6592AK99835
Upper Tanana Alcohol Program,Tok Clinic Building,Tok Cut-Off,,,,Tok,AK,99780,(907)883-5185,,,SA/TX/OP/DU/OA/,2482AK99780
Aleutian Counseling Center,,,34 Lavelle Court,,,Unalaska,AK,99685,(907)581-2742,,,SA/TX/OP/AD/DU/MD/MC/PI/MI/SS/,9786AK99685
Valdez Community Hospital,,,911 Meals Avenue,,,Valdez,AK,99686,(907)835-2249 Intake: (907)835-2838,,,GH/TX/DT/OP/PH/HI/DD/PW/DU/MD/MC/PI/MI/SS/OA/,5652AK99686
Valdez Counseling Center,,,337 Egan Avenue,,,Valdez,AK,99686,(907)835-2838,,,MH/TX/ML/OP/DU/CJ/MD/PI/MI/SS/,4204AK99686
Alaska Addiction Rehab Services,Nugens Ranch,,3701 Palmer Wasilla Street,,,Wasilla,AK,99654,(907)376-4534,,,SA/TX/DT/OP/RR/DD/HV/OW/PI/SS/OA/,5017AK99654
MAT/SU Recovery Center Inc,,,291 East Swanson Avenue,,,Wasilla,AK,99654,(907)376-4000,,,SA/TX/OP/PH/DD/OW/DU/MD/PI/SS/,5071AK99654
Starting Point,,,I 075 Check Street,Suite 102,,Wasilla,AK,99654,(907)376-6116,,,SA/TX/OP/PH/DU/PI/SS/,6106AK99654
Avenues,,,406 Alaska Avenue,,,Wrangell,AK,99929,(907)874-3338,,,SA/TX/OP/AD/DD/MC/PI/MI/SS/OA/,3719AK99929
SMMHC Inc/Mental Health Center,Substance Abuse Services,,564 North Idaho Road,Suite 9,,Apache Junction,AZ,85220,(480)983-0573,,,SA/TX/OP/HV/PW/DU/CJ/MD/MC/PI/MI/SS/OA/,0543AZ85220
New Horizons Counseling Services,,,1430 North Central Avenue,Suite C,,Avondale,AZ,85323,(623)925-1556 Intake: (623)939-6567,,,SA/TX/OP/DD/DU/CJ/SS/,5656AZ85323
(SEABHS) Southeastern Arizona,Behavioral Health Services Inc,,590 South Ocotillo Avenue,,,Benson,AZ,85602,(520)586-7080 Intake: (800)586-7080 Hotline: (800)586-9161,,,MH-SA/TX/OP/AD/DD/OW/DU/MD/MC/PI/MI/SS/OA/,6868AZ85602
(SEABHS) Southeastern Arizona,Psychiatric Health Facility,,470 South Ocotillo Avenue,,,Benson,AZ,85602,(520)586-7737 Hotline: (800)586-9161 (520)586-9161,,,MH/TX/DT/HI/DD/HV/OW/CJ/MD/PI/MH/SS/OA/,4962AZ85602
Alcoholism Council of Cochise County,Verhelst Recovery House,,936 Tovreaville Road,,,Bisbee,AZ,85603,(520)432-3764 Hotline: (520)432-3764,,,SA/TX/RR/SS/,7335AZ85603
(SEABHS) Coronado Behavioral Health,Division Bisbee Outpatient,,214 Bisbee Road,,,Bisbee,AZ,85603,(520)432-7751,,,SA/TX/OP/PH/DD/PW/DU/CJ/MD/MC/PI/MI/OA/,8178AZ85603
