name1,name2,street1,street2,city,state,zip,zip4,county,latitude,longitude
CED Fellowship House Inc,,4209 Brooke Avenue,,Gadsden,AL,35904,,Etowah,34.0006055,-86.0762563
CED Mental Health Center,Substance Abuse Services,200 Dean Buttram Senior Avenue,,Centre,AL,35960,,Cherokee,34.1520406,-85.6788531
Cedar Lodge,A Program of MLBH,22165 U.S. Highway 431,,Guntersville,AL,35976,,Marshall,34.4203612,-86.2665876
Central Alabama Veterans,Healthcare System,2400 Hospital Road,,Tuskegee,AL,36083,,Macon,32.4447248,-85.7137888
Central Alabama Wellness,,110 Medical Center Drive,,Clanton,AL,35045,,Chilton,32.8553151,-86.6248508
Central Alabama Wellness,,151 Hamilton Lane,,Calera,AL,35040,,Shelby,33.078215,-86.75165
Cherokee/Etowah/DeKalb MH Center,Substance Abuse Servs Men/Women,425 5th Avenue NW,,Attalla,AL,35954,,Etowah,34.0238486,-86.0896715
Chilton County Treatment Center,,2100 Holiday Inn Drive,,Clanton,AL,35046,,Chilton,32.803098,-86.578158
Client Care Continuum LLC,,200 County Road 3941,,Arley,AL,35541,,Winston,34.0126695,-87.1562499
Dauphin Way Lodge,,1009 Dauphin Street,,Mobile,AL,36604,,Mobile,30.6872295,-88.0585546
Department of VA Medical Center,,700 South 19th Street,,Birmingham,AL,35233,,Jefferson,33.5041206,-86.8015549
Dothan Houston County Drug Trt Ctr,,300 Columbia Highway,Suite 3,Dothan,AL,36301,,Houston,31.2221401,-85.3875855
Drug Alternative Program Alabama,,5101 Meridian Street NW,,Huntsville,AL,35810,1074,Madison,34.7975699,-86.572918
East Alabama Mental Health Center,Opelika Addiction Center,2300 Center Hills Drive,,Opelika,AL,36801,,Lee,32.6245959,-85.4111334
East Alabama Mental Health Center,Russell County Clinic,3170 Martin Luther King Parkway South,,Phenix City,AL,36869,,Russell,32.4314888,-85.029639
East Central Mental Health Inc,Substance Abuse Program,200 Cherry Street,,Troy,AL,36081,,Pike,31.809249,-85.9741599
Family Life Center,,677 West Covington Avenue,,Attalla,AL,35954,,Etowah,34.0061438,-86.0989564
Family Life Center,,141 Main Street,,Centre,AL,35960,,Cherokee,34.15218,-85.679657
Family Life Center,,432 Gunter Avenue,,Guntersville,AL,35976,,Marshall,34.35897975,-86.29392137
Family Life Center,,300 Gault Avenue South,,Fort Payne,AL,35967,,De Kalb,34.43952134,-85.7239694
Family Life Center,,114 McCormick Drive NW,,Huntsville,AL,35811,1822,Madison,34.750228,-86.583895
Family Life Center,,211 South Market Street,,Scottsboro,AL,35768,,Jackson,34.67267668,-86.03326769
Family Life Center Inc,,522 14th Street SE,,Decatur,AL,35601,,Morgan,34.6031518,-86.985908
Fellowship House Inc,,1625 12th Avenue South,,Birmingham,AL,35205,,Jefferson,33.4969986,-86.8005895
Franklin Primary Health Center Inc,,510 South Wilson Avenue,,Mobile,AL,36610,,Mobile,30.7300206,-88.0830916
Freedom House,,54 Wheeler Hills Road,,Rogersville,AL,35652,,Lauderdale,34.8280618,-87.3126921
Gulf Coast Veterans Healthcare System,Mobile Outpatient Clinic,4444 Demetropolis Road,,Mobile,AL,36619,,Mobile,30.6002419,-88.1572165
Health Connect America,,205 Oakhill Road,Suite A,Jasper,AL,35504,,Walker,33.8513204,-87.2803675
Health Connect America,,801 Church Street NE,Suite 6,Decatur,AL,35601,,Morgan,34.6075286,-86.9768185
Health Connect America,,501 Greenhill Boulevard,Suite 155,Fort Payne,AL,35967,,DeKalb,34.4702719,-85.701623
Health Connect America,,115 Fairground Road,,Florence,AL,35630,1283,Lauderdale,34.7947726,-87.673177
Highland Health Systems,New Directions,1640 Coleman Road,,Oxford,AL,36203,,Calhoun,33.6182569,-85.8039381
Hometown Treatment Center,,1819 North McKenzie Street,,Foley,AL,36535,,Baldwin,30.429272,-87.684221
Hope House Inc,,1000 Lincoln Avenue,Suite B,Oneonta,AL,35121,,Blount,33.9571218,-86.4664
Huntsville Metro Treatment Center,Metro Treatment of Alabama LP,2227 Drake Avenue,Suite 19,Huntsville,AL,35805,,Madison,34.6986349,-86.6025049
Huntsville Recovery Inc,,4040 Independence Drive,,Huntsville,AL,35816,,Madison,34.7380321,-86.6299404
Immanuel Counseling Services,,4601 Troy Highway,Gym Annex,Montgomery,AL,36116,,Montgomery,32.3101715,-86.2178349
Indian Rivers Mental Health Center,,2439 Main Street,,Brent,AL,35034,,Bibb,32.9392802,-87.1625849
Indian Rivers Mental Health Center,Substance Abuse Services,2209 9th Street,,Tuscaloosa,AL,35401,,Tuscaloosa,33.2061835,-87.5643812
Indian Rivers Mental Health Center,A Womans Place,2209 9th Street,,Tuscaloosa,AL,35401,,Tuscaloosa,33.206752,-87.564171
Indian Rivers Mental Health Center,Substance Abuse Services,890 Reform Street,,Carrollton,AL,35447,,Pickens,33.265715,-88.094505
Insight Treatment Program Inc,,574 Azalea Road,Suite 109,Mobile,AL,36609,,Coffee,30.6577858,-88.1492287
Lighthouse Inc,,445 County Road 773,,Cullman,AL,35055,7980,Cullman,34.161963,-86.690217
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,36 Franklin Street,,Alexander City,AL,35010,,Tallapoosa,32.945209,-85.9511118
Luminous Counseling and,Consulting,1428 Weatherly Road SE,Suite 111,Huntsville,AL,35803,1181,Madison,34.6455636,-86.5417637
Marion County Treatment Center,,1879 Military Street South,,Hamilton,AL,35570,,Marion,34.1167518,-87.989393
Marwin Counseling Services,,1065 U.S. Highway 43,,Winfield,AL,35594,1427,Marion,33.8572031,-87.822717
MedMark Treatment Centers,Dothan,9283 U.S. Highway 84 West,,Newton,AL,36352,,Houston,31.23869896,-85.54125935
MedMark Treatment Centers,Oxford,118 East Choccolocco Street,,Oxford,AL,36203,,Calhoun,33.614874,-85.833686
Metro Treatment of Alabama LP,DBA Mobile Metro Treatment Center,1924 Dauphin Island Parkway,Suite C,Mobile,AL,36605,,Mobile,30.6300342,-88.0904648
Mission of Mercy (MOMS) Inc,,414 East Tuscaloosa Street,,Florence,AL,35630,,Lauderdale,34.8046183,-87.6728111
Montgomery Metro Treatment Center,Metro Treatment of Alabama LP,6001 East Shirley Lane,,Montgomery,AL,36117,,Montgomery,32.3671972,-86.2042149
New Beginnings Recovery,,900 East Renfroe Road,,Talladega,AL,35160,,Talladega,33.42727,-86.146583
New Life for Women,,102 Centurion Way,,Gadsden,AL,35904,,Etowah,34.0023572,-86.0771483
New Pathways Inc,,1508 Bunt Drive,,Pell City,AL,35125,8102,Saint Clair,33.6060659,-86.2731311
Northwest Alabama Mental Health Ctr,Awakening Recovery,593 Highway 78 West,Parkland Shopping Center,Jasper,AL,35501,,Walker,33.84901,-87.2817672
Northwest Alabama Mental Health Ctr,Start Program,2584 Highway 96,,Fayette,AL,35555,,Fayette,33.6876866,-87.874943
Northwest Alabama Mental Health Ctr,Begin Again,123 2nd Avenue NW,,Fayette,AL,35555,,Fayette,33.6904885,-87.8757911
Northwest Alabama Mental Health Ctr,,141 2nd Avenue NW,,Vernon,AL,35592,,Lamar,33.7554,-88.1093426
Northwest Alabama Mental Health Ctr,Winfield Outpatient Program,260 Baker Street,,Winfield,AL,35594,,Fayette,33.9351104,-87.818881
Northwest Alabama Mental Health Ctr,,71 Carraway Drive,,Haleyville,AL,35565,,Winston,34.2264881,-87.6214132
Northwest Alabama Mental Health Ctr,Marion County Mental Health,427 Smokey Bear Road,,Hamilton,AL,35570,,Marion,34.1329705,-87.9958854
Pathfinder Inc,,3104 Ivy Avenue SW,,Huntsville,AL,35805,,Madison,34.7056486,-86.6082646
Pathway Healthcare,,48 Medical Park Drive East,Suite 453,Birmingham,AL,35235,,Jefferson,33.5957765,-86.6676507
Pathway Healthcare,,2131 Military Street South,,Hamilton,AL,35570,,Marion,34.1134573,-87.9887877
Pathway Healthcare,,2010 South Point Park Circle,Suite 200,Huntsville,AL,35801,5478,Madison,34.6960218,-86.5856391
Pathway Healthcare,,22454 U.S. 72,Suite 310,Athens,AL,35613,,Limestone,34.7796998,-86.9228125
Phoenix House Inc,,700 35th Avenue,,Tuscaloosa,AL,35401,,Tuscaloosa,33.204275,-87.581813
Rapha Treatment Center,,677 West Covington Avenue,,Attalla,AL,35954,,Etowah,34.0061438,-86.0989564
Reclamation Center of Alabama Inc,,4720 Woodmere Boulevard,,Montgomery,AL,36106,,Montgomery,32.3566226,-86.2279085
Serenity Care Inc,,1951 Dawes Road,,Mobile,AL,36695,,Mobile,30.650229,-88.246187
Shelby County Treatment Center,,750 Highway 31 South,,Alabaster,AL,35007,,Shelby,33.2129116,-86.787917
Shoulder,,31214 Coleman Lane,,Spanish Fort,AL,36527,,Baldwin,30.6796138,-87.8341379
South Central Alabama MHC,Covington Cnty/Adult SA OP,205 Academy Drive,,Andalusia,AL,36420,,Covington,31.3094383,-86.4465925
South Central Alabama MHC,First Step,205 Academy Drive,,Andalusia,AL,36420,,Covington,31.3094383,-86.4465925
Southeast Intervention Group Inc,Herring Houses/Step By Step Recovery,101 North Herring Street,,Dothan,AL,36303,,Houston,31.2267581,-85.4066714
Southern Wellness Services,,2618 Hough Road,,Florence,AL,35630,,Lauderdale,34.8341232,-87.634486
Southwest Alabama Behavioral,Healthcare Systems,1321 McMillian Avenue,,Brewton,AL,36426,,Escambia,31.1268668,-87.0741889
SpectraCare,Dale County,134 Katherine Avenue,,Ozark,AL,36360,,Dale,31.4539167,-85.6339735
SpectraCare,Geneva County/Outpatient,1203 West Maple Avenue,,Geneva,AL,36340,,Geneva,31.0477254,-85.8912571
SpectraCare,Outpatient,133 North Orange Avenue,,Eufaula,AL,36027,,Barbour,31.8942089,-85.1417581
SpectraCare,Henry County/Outpatient,219 Dothan Road,,Abbeville,AL,36310,,Henry,31.5537504,-85.2523165
SpectraCare,The Haven,1001 John D Odom Road,,Dothan,AL,36303,,Houston,31.2486607,-85.4609531
SpectraCare,Adult Outpatient Services,1672 Columbia Highway,,Dothan,AL,36303,,Houston,31.2210629,-85.3668696
State Line Medical LLC,,26928 Main Street,,Ardmore,AL,35739,,Limestone,34.9916119,-86.8392992
Stevenson Recovery Center,,196 County Road 85,,Stevenson,AL,35772,,Jackson,34.8727486,-85.8109886
Substance Use Disorder Clinical Care,Fox Army Health Center,Building 4100 Goss Road,,Huntsville,AL,35898,5000,Madison,34.6961613,-86.6602206
Sunrise Lodge,Substance Abuse Treatment Center,1163 Washington Avenue SW,,Russellville,AL,35653,,Franklin,34.51574,-87.7267714
Synergy Wellness,,4950 North Memorial Parkway,Suite B,Huntsville,AL,35810,,Madison,34.7906703,-86.5781305
TEARS Inc,,1011 South Railroad Street,,Phenix City,AL,36867,,Russell,32.4770685,-85.0068794
Tombigbee Outreach,,105 U.S. Highway 80 East ,,Demopolis,AL,36732,,Marengo,32.5038111,-87.837458
Tri County Treatment Center,Metro Treatment of Alabama LP,5605 Clifford Circle,,Birmingham,AL,35210,,Jefferson,33.5820115,-86.6328434
True Hope Ministries,,1 West 19th Street,,Opelika,AL,36803,,Lee,32.6371842,-85.3996977
University of Alabama at Birmingham,Addiction Recovery Program,1713 6th Avenue South,,Birmingham,AL,35294,18,Jefferson,33.50512,-86.804611
Veterans Affairs Medical Center,Comprehensive OP Substance Abuse,3701 Loop Road East,,Tuscaloosa,AL,35404,,Tuscaloosa,33.1913652,-87.4865613
Walker Recovery Center Inc,,2195 North Airport Road,,Jasper,AL,35504,,Walker,33.8707775,-87.26671
WellStone Inc,,1909 Commerce Avenue,,Cullman,AL,35055,,Cullman,34.2048371,-86.8760936
WellStone Inc,Nova Center for Youth and Family,1900 Golf Road SW,,Huntsville,AL,35802,,Madison,34.6793436,-86.5782424
WellStone Inc,New Horizons Recovery Center,4040 Memorial Parkway South,Suite C,Huntsville,AL,35802,,Madison,34.6802121,-86.5783003
West Alabama Mental Health Center,,1215 South Walnut Avenue,,Demopolis,AL,36732,,Marengo,32.501909,-87.8384018
West Alabama Mental Health Center,Greene County ,301 Prairie Avenue,,Eutaw,AL,35462,,Greene,32.8401921,-87.8878871
West Alabama Mental Health Center,Sumter County,110 Hospital Drive,Suite 101,Livingston,AL,35470,,Sumter,32.5999823,-88.1819956
West Alabama Mental Health Center,,401 Rodgers Street,,Butler,AL,36904,,CHOCTAW,32.0863917,-88.2171691
Zukoski Outpatient,,601 Princeton Avenue SW,,Birmingham,AL,35211,,Jefferson,33.5012002,-86.8429037
Railbelt Mental Health and Addictions,,410 River Front Street,,Nenana,AK,99760,,Yukon Koyukuk,64.5648151,-149.0910461
Fairbanks Native Association,Ralph Perdue Center,3100 South Cushman Street,Suite 100,Fairbanks,AK,99701,,Fairbanks North Star,64.8183009,-147.7120563
Ideal Option,Fairbanks,1221 Noble Street,Suite 101,Fairbanks,AK,99701,,Fairbanks North Star,64.8375168,-147.7130099
Interior AIDS Association,Interior Medication Assisted Treatment,710 3rd Avenue,,Fairbanks,AK,99701,,Fairbanks North Star,64.8430979,-147.7252387
Graf Rheeneenhaanjii,Substance Abuse Services/MH,2550 Lawlor Road,,Fairbanks,AK,99709,,Fairbanks North Star,64.88064,-147.8872779
Restore Inc,,542 4th Avenue,Suite 101-B,Fairbanks,AK,99701,,Fairbanks North Star,64.8424913,-147.719464
Turning Point Counseling Services,,315 5th Avenue,,Fairbanks,AK,99701,,Fairbanks North Star,64.841966,-147.71347
Tanana Chiefs Conference Inc,Behavioral Health,122 1st Avenue,Suite 600,Fairbanks,AK,99701,,Fairbanks North Star,64.8444304,-147.7089008
Womens and Childrens Center for,Inner Healing,1027 Evergreen Street,,Fairbanks,AK,99709,,Fairbanks North Star,64.8561409,-147.753862
Hats of Wisdom,Professional Counseling Services,266.5 Richardson Highway,,Delta Junction,AK,99737,,Southeast Fairbanks,64.0413155,-145.7340523
Set Free Alaska Inc,Mat Su Outpatient,7010 East Bogard Road,,Wasilla,AK,99654,,Matanuska Susitna,61.612714,-149.2749031
Akeela Inc,Mat Su Outpatient Services,561 South Denali Street,Suite F,Palmer,AK,99645,,Matanuska Susitna,61.6003234,-149.1074077
Alaska Family Services,Behavioral Health Treatment Center,5851 East Mayflower Court,,Wasilla,AK,99654,,Matanuska Susitna,61.587858,-149.303287
Ideal Option PLLC,Wasilla AK,5431 East Mayflower Lane,Unit 4,Wasilla,AK,99654,,Matanuska-Susitna,61.5857899,-149.313443
True North Recovery,,545 South Knik Goose Bay,,Wasilla,AK,99654,,Matanuska-Susitna,61.578273,-149.441071
True North Recovery Inc,,591 South Knik Goose Bay Road ,,Wasilla,AK,99654,,Matanuska-Susitna,61.5778757,-149.4407896
Community Medical Services,Wasilla,2521 East Mountain Village Drive,Suite F,Wasilla,AK,99654,,Matanuska Susitna,61.5734207,-149.3878624
Cook Inlet Tribal Council Inc,Ernie Turner Center,30881 Eklutna Lake Road,,Chugiak,AK,99567,,Anchorage,61.45308,-149.333764
Copper River Native Association,Behavioral Health Services,Robert Marshall Building,Mile 111.5 Richardson Highway,Copper Center,AK,99573,,Valdez Cordova,62.06935,-145.43021
Alaska Addiction Rehab Services,Nugens Ranch,26731 West Point MacKenzie Road,,Wasilla,AK,99654,,Matanuska Susitna,61.37697,-150.036587
Discovery Cove Recovery and,Wellness Center,11901 Business Boulevard,,Eagle River,AK,99577,,Anchorage,61.3278519,-149.5723084
Volunteers of America Alaska,ARCH,8012 Stewart Mountain Drive,,Eagle River,AK,99577,,Anchorage,61.2896499,-149.5244856
Elmendorf AFB Alcohol Drug Abuse,Prevention and Treatment Program,673 MDOS/SGOW,5955 Zeamer Avenue,JBER,AK,99506,,Anchorage,61.2347898,-149.7446016
Narcotic Drug Treatment Center Inc,Center for Drug Problems,1015 East 6th Avenue,,Anchorage,AK,99501,,Anchorage,61.2167809,-149.8637383
Southcentral Foundation,Dena A Coy,4130 San Ernesto Avenue,,Anchorage,AK,99508,,Anchorage,61.212492,-149.802567
Cook Inlet Tribal Council Inc,Recovery Services/OP Subst Use Servs,3600 San Jeronimo Drive,Suite 316,Anchorage,AK,99508,,Anchorage,61.210886,-149.8108983
Chris Kyle Patriots Hospital,,1650 South Bragaw Street,,Anchorage,AK,99508,,Anchorage,61.2056056,-149.8098304
Chugachmiut Inc,Chugachmiut Behavioral Health Dept,1840 Bragaw Street,Suite 110,Anchorage,AK,99508,,Anchorage,61.20421,-149.8098682
Salvation Army Clitheroe Center,Outpatient,3600 East 20th Avenue,,Anchorage,AK,99508,,Anchorage,61.2021221,-149.8134475
Salvation Army Clitheroe Center,Womens Residential,1700 A Street,,Anchorage,AK,99501,,Anchorage,61.2050924,-149.8837978
Renew Your Mind,,123 East Fireweed Lane,Suite 212,Anchorage,AK,99503,,Anchorage,61.1986331,-149.8823046
Akeela Inc,Women and Families Programs,360 West Benson Boulevard,Suite 200,Anchorage,AK,99503,,Anchorage,61.1938479,-149.8897193
Akeela Inc,Akeela Outpatient Services,360 West Benson Boulevard,Suite 210,Anchorage,AK,99503,,Anchorage,61.1938479,-149.8897193
Alaska VA Healthcare System,,3001 C Street,,Anchorage,AK,99503,,Anchorage,61.1933858,-149.8853391
Anchorage Treatment Solutions,,3230 C Street,,Anchorage,AK,99503,,Anchorage,61.191164,-149.8869871
Volunteers of America Alaska,Assist,2600 Cordova Street,Suite 101,Anchorage,AK,99503,,Anchorage,61.191144,-149.8902415
Providence Alaska Medical Center,Providence Breakthrough,3760 Piper Street,Suite 1108,Anchorage,AK,99508,5234,Anchorage,61.185921,-149.8263619
Integrated Wellness and Recovery,,3820 Lake Otis Parkway,Suite 112,Anchorage,AK,99508,,Anchorage,61.1855744,-149.8390119
Southcentral Foundation,Four Directions Trt Ctr IOP,4000 Laurel Street,,Anchorage,AK,99508,,Anchorage,61.1842938,-149.8351285
Akeela Inc,Stepping Stones/Womens Resid Fac,- - -,,Anchorage,AK,99503,,Anchorage,61.1877,-149.889
Akeela Inc,Akeela House,- - -,,Anchorage,AK,99503,,Anchorage,61.1877,-149.889
Ideal Option,Anchorage,2421 East Tudor Road,Suite 108,Anchorage,AK,99508,,Anchorage,61.1813498,-149.835451
Jett Morgan Treatment Services LLC,,400 West Tudor Road,Suite A-400,Anchorage,AK,99503,6614,Anchorage,61.1803241,-149.8899987
Aleutian Pribilof Islands Association,,1131 East International Airport Road,,Anchorage,AK,99518,,Aleutians West,61.1744418,-149.8611637
Wisdom Traditions Counseling Services,DBA Alaska Wisdom Recovery,401 West International Airport Road,Suite 27,Anchorage,AK,99518,,Anchorage,61.1746144,-149.8911883
Salvation Army Clitheroe Center,Mens Residential,8000 West End Road,,Anchorage,AK,99515,,Anchorage,61.1756719,-150.0215222
Tanana Chiefs Conference Inc,Upper Tanana Behavioral Health Program,West 1st Street,Suite 8,Tok,AK,99780,,Southeast Fairbanks,63.3434255,-142.9880183
Pinnacle Community Health LLC,,7125 Old Seward Highway,Suite 201,Anchorage,AK,99518,,Anchorage,61.155677,-149.8633486
Alaska Child and Family,Jesse Lee Campus,4600 Abbott Road,,Anchorage,AK,99507,,Anchorage,61.1367118,-149.7940483
Cornerstone Recovery,Christian Health Associates,1825 Academy Drive,,Anchorage,AK,99507,,Anchorage,61.1378218,-149.8480606
Mountain Minds Matter,,273 Crystal Mountain Road,Suite 3,Girdwood,AK,99587,,Anchorage,60.9626509,-149.1098883
Providence Health and Servs Alaska,DBA Providence Valdez Counseling Ctr,911 Meals Avenue,,Valdez,AK,99686,1050,Valdez Cordova,61.1364781,-146.3458866
Cook Inlet Council on Alc and DA,(CICADA)/Outpatient,10200 Kenai Spur Highway,,Kenai,AK,99611,,Kenai Peninsula,60.562321,-151.226896
Ideal Option,Kenai,416 Frontage Road,Suite 400,Kenai,AK,99611,,Kenai Peninsula,60.5560641,-151.2427657
Peninsula Community Health Servs of AK,Kenai,805 Frontage Road,,Kenai,AK,99611,,Kenai Peninsula,60.5540193,-151.2577018
Kenaitze Indian Tribe,Denaina Wellness Center Behav Health,508 Upland Street,,Kenai,AK,99611,,Kenai Peninsula,60.553266,-151.2608749
Peninsula Community Health Servs of AK,,230 East Marydale Avenue,,Soldotna,AK,99669,,Kenai Peninsula,60.4954647,-151.0644344
Central Peninsula General Hospital,Serenity House Residential Treatment,47480 Kristina Way,,Kenai,AK,99611,,Kenai Peninsula,60.504607,-151.1541969
Central Peninsula Behavioral Health,Serenity House,245 North Binkley Street,Suite 202,Soldotna,AK,99669,,Kenai Peninsula,60.4933626,-151.0732947
Sound Alternatives,Behavioral Health Clinic,602 Chase Avenue,,Cordova,AK,99574,,Valdez Cordova,60.541128,-145.750323
Seaview Community Services,Integrated Behavioral Health Program,302 Railway Avenue,,Seward,AK,99664,,Kenai Peninsula,60.1005494,-149.441679
Ninilchik Traditional Council,Ninilchik Community Clinic,15765 Kingsley Road,,Ninilchik,AK,99639,,Kenai Peninsula,60.0434369,-151.6671946
Cook Inlet Council on Alc and DA,(CICADA)/Outpatient Homer,1230 Ocean Drive,,Homer,AK,99603,,Kenai Peninsula,59.639237,-151.5118851
Set Free Alaska,Homer,1130 Ocean Drive,,Homer,AK,99603,,Kenai Peninsula,59.6382558,-151.5146955
Providence Kodiak Island,Counseling Center,717 East Rezanof Drive,,Kodiak,AK,99615,,Kodiak Island,57.792146,-152.395902
Maniilaq Counseling and Recovery Ctr,,733 2nd Avenue,,Kotzebue,AK,99752,,Northwest Arctic,66.902497,-162.5825372
Bristol Bay Area Health Corporation,Integrated Behavioral Health Program,Kanakanak Hospital,6000 Kanakanak Road,Dillingham,AK,99576,,Dillingham,59.001091,-158.536475
Yukon Kuskokwim Health Corporation,Phillips Ayagnirvik Healing Center,1410 Calista Drive,,Bethel,AK,99559,,Bethel,60.7922222,-161.7558334
Bethel Family Clinic,,631 4th Avenue and Main Street,,Bethel,AK,99559,,Bethel,60.7960636,-161.7619736
Yukon Kuskokwim Health Corporation,,829 Chief Eddie Hoffman Highway,,Bethel,AK,99559,,Bethel,60.7875199,-161.7840747
McCann Treatment Center,YKHC,5016 Noel Polty Boulevard,,Bethel,AK,99559,,Bethel,60.7693611,-161.8734954
Norton Sound Health Corporation,Behavioral Health Services,607 Division Street,,Nome,AK,99762,,Nome,64.5003046,-165.4061628
Lynn Canal Counseling Services/SEARCH,Integrated Behavioral Health Program,16 Main Street,,Haines,AK,99827,,Haines,59.2350404,-135.4436493
North Slope Borough DHSS,Integrated Behavioral Health Program,5200 Karluk Street,,Barrow,AK,99723,,North Slope,71.2999158,-156.759088
Montana Creek Residential Program,Juneau Youth Services,10685 Mendenhall Loop Road,,Juneau,AK,99801,,Juneau,58.3954619,-134.6103889
Juneau Youth Services Inc,Chemical Dependency Program,2075 Jordan Avenue,Suite 101,Juneau,AK,99801,,Juneau,58.3620383,-134.5801372
Ideal Option,Juneau,8585 Old Dairy Road,Suite 200,Juneau,AK,99801,,Juneau,58.3636697,-134.5751445
Gastineau Human Services Inc,Substance Use Treatment Program,1613 Anka Street,,Juneau,AK,99801,,Juneau,58.35619,-134.493956
JAMHI Health and Wellness Inc,Midtown Clinic,1944 Allen Court,,Juneau,AK,99801,,Juneau,58.355,-134.49
JAMHI Health and Wellness Inc,,3406 Glacier Highway,,Juneau,AK,99801,,Juneau,58.3318609,-134.4710469
SEARHC ,,1046 Salmon Creek Lane,,Juneau,AK,99801,,Juneau,58.330296,-134.468608
Rainforest Recovery Center,Bartlett Regional Hospital,3250 Hospital Drive,,Juneau,AK,99801,,Juneau,58.3282947,-134.4638151
SEARHC,Ravens Way,222 Tongass Drive,,Sitka,AK,99835,,Sitka,57.0519903,-135.3551988
Sitka Counseling and Prevention Servs,Integrated Behavioral Health Program,113 Metlakatla Street,,Sitka,AK,99835,,Sitka,57.0498575,-135.3193209
SEARHC,Alaska Islands Community Services,333 Church Street,,Wrangell,AK,99929,,Wrangell,56.4712338,-132.3802791
SEARHC,,7300 Klawock Hollis Highway,,Klawock,AK,99925,,Prince of Wales Hyder,55.5526383,-133.0868903
Ideal Option,Ketchikan,3159 Tongass Avenue,,Ketchikan,AK,99901,,Ketchikan Gateway,55.3532349,-131.6880947
Akeela Inc,Gateway Center for Human Services,3050 5th Avenue,,Ketchikan,AK,99901,,Ketchikan Gateway,55.3539858,-131.6850816
RYC Long Term Residential,,2514 1st Avenue,,Ketchikan,AK,99901,,Ketchikan Gateway,55.3505684,-131.6760198
