"","name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility"
"24","Connecticut Junior Republic","Wellness Center Torrington","168 South Main Street","","Torrington","CT",6790,NA,"Litchfield","860-482-7600","Intakes","860-567-9423 x303","860-567-9423 x325","http://www.ctjuniorrepublic.org",41.7968719,-73.121418,"MH"
"25","Center for Youth and Families","","50 Litchfield Street","","Torrington","CT",6790,6424,"Litchfield","860-489-3391","","","","http://www.charlottehungerford.org/",41.7997044,-73.1225846,"MH"
"26","Connecticut Junior Republic","Wellness Centers","550 Goshen Road","P.O. Box 161","Litchfield","CT",6759,NA,"Litchfield","860-567-9423","Intakes","860-567-9423 x303","860-567-9423 x325","http://www.ctjuniorrepublic.org",41.7831616,-73.2068655,"MH"
"27","McCall Center for Behavioral Health","Psychiatric Outpt Clinic for Adults","58 High Street","","Torrington","CT",6790,NA,"Litchfield","860-496-2100","","","860-496-2103","http://www.mccallcenterct.org",41.8030322,-73.1310083,"MH"
"28","Community Hlth and Wellness Ctr of","Greater Torrington","469 Migeon Avenue","","Torrington","CT",6790,NA,"Litchfield","860-489-0931 x125","","860-489-0931","","http://www.chwctorr.org/",41.8116183,-73.1329782,"MH"
"29","Wheeler Clinic Inc","Psychiatric Outpt Clinic for Adults","75 North Mountain Road","","New Britain","CT",6053,NA,"Hartford","860-793-3500","","","","http://www.wheelerclinic.org",41.669991,-72.819545,"MH"
"30","Community Mental Health Affiliates","NW Center for Family Servs and MH","100 Commercial Boulevard","","Torrington","CT",6790,NA,"Litchfield","860-482-8561","","","","http://www.cmhacc.org",41.824086,-73.107441,"MH"
"31","Western CT Mental Health Network","Torrington Area","249 Winsted Road","","Torrington","CT",6790,NA,"Litchfield","860-496-3700","","","","http://",41.8235043,-73.1176068,"MH"
"32","Connecticut Junior Republic","Wellness Center Middletown/Meriden","1 Colony Street","","Meriden","CT",6451,NA,"New Haven","203-440-4622","Intakes","860-567-9423 x303","860-567-9423 x325","http://www.ctjuniorrepublic.org",41.5383033,-72.8024542,"MH"
"33","Klingberg Family Centers","Outpatient Clinic","370 Linwood Street","","New Britain","CT",6052,NA,"Hartford","860-826-2269","","","860-515-2330","http://www.klingberg.org",41.6502405,-72.7882217,"MH"
"34","Community Mental Health Affiliates","Outpatient Treatment Services","33 Highland Street","","New Britain","CT",6052,NA,"Hartford","860-224-8192","","","","http://www.cmhacc.org",41.6613907,-72.788814,"MH"
"35","Community Mental Health Affiliates","Residential Services","33 Highland Street","","New Britain","CT",6052,2022,"Hartford","860-223-1922 x1957","Intakes","860-223-1922","860-224-8192","http://cmhacc.org/",41.6613907,-72.788814,"MH"
"36","Hospital of Central Connecticut","Psychiatric Services","100 Grand Street","","New Britain","CT",6052,2016,"Hartford","860-224-5011 x5285","Intakes","860-224-5804","860-224-5267","http://www.thocc.org",41.661065,-72.786708,"MH"
"37","Perspectives Center for Care Inc","","816 Broad Street","Suite 23","Meriden","CT",6450,NA,"New Haven","860-276-3000","","860-276-3000 x301","","http://pcc4me.com",41.5412438,-72.7874752,"MH"
"38","Hospital of Central Connecticut","Hispanic Counseling Center","73 Cedar Street","","New Britain","CT",6052,NA,"Hartford","860-224-5300","","860-224-5804","","http://",41.668649,-72.787028,"MH"
"39","Hospital of Central Connecticut","Outpatient Services","73 Cedar Street","","New Britain","CT",6052,NA,"Hartford","860-224-5267","","860-224-5804","","http://www.thocc.org",41.6686581,-72.7869851,"MH"
"40","Newtown Youth and Family Services","","15 Berkshire Road","","Sandy Hook","CT",6482,NA,"Fairfield","203-270-4335","","203-426-8103","","http://www.newtownyouthandfamilyservices.org/",41.4124794,-73.2709614,"MH"
"41","Community Mental Health Affiliates","Adult Services/Harvest House","5 Hart Street","","New Britain","CT",6052,NA,"Hartford","860-229-4850","","860-229-4850 x1866","","http://www.cmhacc.org/",41.6602532,-72.7835019,"MH"
"42","Community Mental Health Affiliates","","233 Main Street","","New Britain","CT",6051,NA,"Hartford","860-826-1358 x1649","","860-224-8192","","http://cmhacc.org",41.6674862,-72.7814007,"MH"
"43","Connecticut Junior Republic","Wellness Center New Britain","145 Whiting Street","","New Britain","CT",6051,NA,"Hartford","860-357-4467","Intakes","860-567-9423 x303","860-567-9423 x325","http://www.ctjuniorrepublic.org",41.6612219,-72.7772649,"MH"
"44","New Milford Hosp Behav Hlth Servs","","23 Poplar Street","","New Milford","CT",6776,NA,"Litchfield","860-210-5350","","860-210-5053","","http://www.westernconnecticuthealthnetwork.org/",41.5832604,-73.4089738,"MH"
"45","Rushford Center Inc","","883 Paddock Avenue","","Meriden","CT",6450,NA,"New Haven","203-630-5280","","877-577-3233","","http://www.rushford.org",41.5051699,-72.7769609,"MH"
"46","Community Mental Health Affiliates","Transitional Youth Program","2 Wildwood Street","","New Britain","CT",6051,NA,"Hartford","860-224-8880 x3310","","","","http://cmhacc.org",41.6676472,-72.7567045,"MH"
"47","University of Connecticut Health Ctr","John Dempsey Hospital","263 Farmington Avenue","","Farmington","CT",6030,NA,"Hartford","860-679-4516","Intakes","860-679-6700","860-679-2186","http://www.health.uconn.edu/",41.730773,-72.79048,"MH"
"48","John Dempsey Hospital","Psychiatry Outpatient Services","10 Talcott Notch Road","","Farmington","CT",6030,6410,"Hartford","860-679-6700","","860-679-6703","","http://health.uconn.edu",41.7400325,-72.7940309,"MH"
"49","BHcare Inc","","435 East Main Street","","Ansonia","CT",6401,NA,"New Haven","203-736-2601","","","","http://www.bhcare.org",41.342468,-73.077591,"MH"
"50","Family and Childrens Aid","New Milford Office","325 Danbury Road","","New Milford","CT",6776,NA,"Litchfield","860-354-8556","","860-354-3975","","http://www.fcaweb.org",41.533636,-73.423315,"MH"
"51","Cornell Scott Hill Health Center","Ansonia Counseling Services","121 Wakelee Avenue","","Ansonia","CT",6401,NA,"New Haven","203-503-3650","","","","http://www.hillhealthcenter.com/",41.3401283,-73.091115,"MH"
"52","Yale New Haven Hospital","Adult Behavioral Health","2080 Whitney Avenue","Suite 200","Hamden","CT",6518,NA,"New Haven","203-747-3480","","203-784-8770","","http://",41.3741571,-72.9058464,"MH"
"53","Griffin Hospital","Behavioral Health","130 Division Street","","Derby","CT",6418,NA,"New Haven","203-732-7580","","203-732-7550","","http://www.griffinhealth.org",41.335133,-73.089191,"MH"
"54","Rushford at Avon","","35 Tower Lane","Suite 201","Avon","CT",6001,NA,"Hartford","860-346-0300","","877-577-3233","","http://www.rushford.org",41.8072752,-72.8436551,"MH"
"55","North Haven Community Services","Town of North Haven","5 Linsley Street","","North Haven","CT",6473,NA,"New Haven","203-239-5321 x500","","203-239-5321 x501","","http://www.town.north-haven.ct.us",41.386737,-72.862615,"MH"
"56","Clifford Beers","","41 Marne Street","","Hamden","CT",6514,NA,"New Haven","203-691-9383","","","","http://",41.3553948,-72.9265051,"MH"
"57","Cornell Scott Hill Health Center","Wilmot Crossing","122 Wilmot Road","","New Haven","CT",6515,NA,"New Haven","203-503-3740","","","","http://www.cornellscott.org",41.342455,-72.958582,"MH"
"58","Jewish Family Service of New Haven","","1440 Whalley Avenue","","New Haven","CT",6515,NA,"New Haven","203-389-5599 x114","","","","http://www.jfsnh.org",41.3335908,-72.9769207,"MH"
"59","VA Connecticut Healthcare System","Newington Campus (116A)","555 Willard Avenue","","Newington","CT",6111,NA,"Hartford","860-667-6747","","860-667-6734","","http://",41.702555,-72.7349424,"MH"
"60","Lower Naugatuck Valley ","Parent and Child Resource Center","30 Elizabeth Street","","Derby","CT",6418,NA,"New Haven","203-954-0543 x4112","","203-954-0543","","http://www.bhcare.org",41.320134,-73.0895088,"MH"
"61","Childrens Center of Hamden","","1400 Whitney Avenue","","Hamden","CT",6517,NA,"New Haven","203-248-2116 x269","","203-248-2116 x213","","http://www.tccoh.org",41.351524,-72.914975,"MH"
"62","Bridge Family Center/Outpatient","Psychiatric Clinic for Children/OPCC","1038 Farmington Avenue","","West Hartford","CT",6107,NA,"Hartford","860-313-1119 x1302","","860-521-8035","","http://www.bridgefamilycenter.org",41.7601078,-72.7491759,"MH"
"63","American School for the Deaf","PACES Residential Treatment Program","139 North Main Street","","West Hartford","CT",6107,NA,"Hartford","860-570-2298","","","860-570-2226","http://www.asd-1817.org",41.7710512,-72.747347,"MH"
"64","Cornell Scott Hill Health Center","Child and Family Guidance Clinic","226 Dixwell Avenue","","New Haven","CT",6511,NA,"New Haven","203-503-3457","","203-503-3458","","http://www.cornellscott.org/",41.3191579,-72.9343608,"MH"
"65","Cornell Scott Hill Health Center","Dixwell Behavioral Health Services","226 Dixwell Avenue","2nd Floor, Suite 200","New Haven","CT",6511,NA,"New Haven","203-503-3470","","","","http://cornellscott.org",41.3191185,-72.9343711,"MH"
"66","Connection Inc","Cornerstone","282 Dwight Street","","New Haven","CT",6511,NA,"New Haven","203-777-3216","","","","http://www.theconnectioninc.org/",41.3131183,-72.9347624,"MH"
"67","Hispanic Health Council","","116 Sherman Avenue","","New Haven","CT",6511,NA,"New Haven","203-781-0226","","","","http://www.hispanichealthcouncil.org",41.3100068,-72.9455698,"MH"
"68","Yale New Haven Hospital ","Childrens Day Hospital","1450 Chapel Street","","New Haven","CT",6511,NA,"New Haven","203-789-4288","","","203-789-5965","http://www.ynhh.org",41.3101643,-72.9428479,"MH"
"69","Yale New Haven Hospital","Adolescent Intensive Outpatient Prog","646 George Street","","New Haven","CT",6511,NA,"New Haven","203-789-5150","","","203-789-5969","http://www.ynhh.org",41.3092521,-72.9437936,"MH"
"70","Yale New Haven Hospital","Continuing Care Clinic","1294 Chapel Street","1st Floor","New Haven","CT",6511,4515,"New Haven","203-784-8700","","","203-789-8700","http://www.ynhh.org",41.3097021,-72.9380523,"MH"
"71","Clifford W Beers Guidance Clinic Inc","","93 Edwards Street","","New Haven","CT",6511,NA,"New Haven","203-772-1270 x1239","","203-772-1270","","http://www.cliffordbeers.org",41.3173806,-72.9124198,"MH"
"72","Yale New Haven Psychiatric Hospital","Adult Intensive Outpatient","425 George Street","","New Haven","CT",6511,NA,"New Haven","203-688-3182","","203-688-9907","","http://www.ynhh.org",41.3075415,-72.9356159,"MH"
"73","Park Street Inn","Mental Health Residential Living Ctr","98-100 Park Street","","New Haven","CT",6511,NA,"New Haven","203-848-3061 x4222","","203-848-3061","","http://www.theconnectioninc.org",41.3068605,-72.935421,"MH"
"74","Cornell Scott Hill Health Center","State Street Counseling Services","913 State Street","2nd Floor","New Haven","CT",6511,NA,"New Haven","203-503-3660","","","","http://www.cornellscott.org",41.3145405,-72.9111509,"MH"
"75","Community Health and Wellness","","10 Center Street","","Winsted","CT",6098,NA,"Litchfield","860-238-4211","","860-489-0931","","http://www.chwctorr.org",41.9219174,-73.070712,"MH"
"76","In Home Treatment Services","Yale University","350 George Street","","New Haven","CT",6511,NA,"New Haven","203-785-6862","","","203-785-2540","http://childstudycenter.yale.edu",41.3056748,-72.9329455,"MH"
"77","Outpatient Clinical Services","Yale University Child Study Center","350 George Street","","New Haven","CT",6511,NA,"New Haven","203-785-2540","","","203-785-2513","http://www.medicine.yale.edu/childstudy/index.aspx",41.3056748,-72.9329455,"MH"
"78","Discovery Mood and Anxiety Program","New Haven ","900 Chapel Street","Suite 1101 ","New Haven","CT",6510,NA,"New Haven","844-546-2614","","","","http://www.centerfordiscoverynewhaven.com",41.3061448,-72.9267022,"MH"
"79","Connection Inc","Outpatient Clinic","900 Chapel Street","Suite 1400","New Haven","CT",6510,2814,"New Haven","203-787-2111","","855-435-7955","","http://www.theconnectioninc.org/",41.3061448,-72.9267022,"MH"
"80","Yale New Haven Psychiatric Hospital","","184 Liberty Street","","New Haven","CT",6519,NA,"New Haven","203-688-9704","","203-688-9907","","http://www.ynhh.org/yale-new-haven-psychiatric-hospital/default.aspx",41.3013845,-72.9327872,"MH"
"81","Adult Psychiatric Clinic","Cornell Scott Hill Health Center","400 Columbus Avenue","","New Haven","CT",6519,NA,"New Haven","203-503-3075","","","","http://www.cornellscott.org",41.2976197,-72.9391968,"MH"
"82","Fair Haven Community Healthcare","","374 Grand Avenue","","New Haven","CT",6513,NA,"New Haven","203-777-7411","","","","http://fhchc.org",41.3082824,-72.9018295,"MH"
"83","Middlesex Health","Center for Behavioral Health","51 Broad Street","","Middletown","CT",6457,NA,"Middlesex","860-358-3401","","860-358-3404","","http://",41.5580413,-72.6509293,"MH"
"84","VA Connecticut Healthcare System","Chief MHSL","950 Campbell Avenue","Building 1, Floor 9, Room 9-115 (116A)","West Haven","CT",6516,NA,"New Haven","203-932-5711 x2463","","203-479-8807","","http://www.CONNECTICUT.VA.GOV",41.2844004,-72.9576103,"MH"
"85","Wheeler Clinic Inc","Health and Wellness Center","43 Woodland Street","","Hartford","CT",6105,NA,"Hartford","860-793-3500","","","","http://www.wheelerclinic.org",41.770688,-72.7028087,"MH"
"86","Wheeler Clinic Inc","Psychiatric Outpt Clinic for Adults","43 Woodland Street","","Hartford","CT",6105,NA,"Hartford","860-793-3500","","","","http://www.wheelerclinic.org",41.770688,-72.7028087,"MH"
"87","Middlesex Health","Mental Health Day Treatment Program","33 Pleasant Street","","Middletown","CT",6457,3641,"Middlesex","860-358-8801","","860-358-8805","","http://middlesexhealth.org/",41.5563248,-72.6475471,"MH"
"88","Healthcare and Rehab Servs of ","Southeastern Vermont","49 School Street","","Hartford","VT",5047,NA,"Windsor","802-295-3031","","802-886-4500","","http://www.hcrs.org",41.7474511,-72.6858398,"MH"
"89","My People Clinical Services LLC","","111 Gillett Street","","Hartford","CT",6105,NA,"Hartford","860-656-0450","","","","http://www.mypeople-ct.com",41.77161,-72.698919,"MH"
"90","Progressive Institute","","2 Trap Falls Road","Suite 120","Shelton","CT",6484,NA,"Fairfield","203-816-6424","","","","http://www.progressive-institute.com",41.2680724,-73.1310407,"MH"
"91","Gilead Community Services Inc","Middletown Outpatient Clinic","230 Main Street Extension","","Middletown","CT",6457,NA,"Middlesex","860-343-5303","","860-343-5303 x3419","","http://www.gileadcs.org",41.5505911,-72.6416563,"MH"
"92","Institute for Living","Hartford Hospital","200 Retreat Avenue","","Hartford","CT",6106,NA,"Hartford","860-545-7001","Intakes","860-545-7200","800-673-2411","http://www.Harthosp.org/InstituteofLiving",41.7519925,-72.6810735,"MH"
"93","Yale New Haven Hospital","Winchester One","20 York Street","","New Haven","CT",6504,NA,"New Haven","203-688-9907","","203-688-5900","","http://www.ynhh.org",41.2776067,-72.9545855,"MH"
"94","Clifford Beers Clinic","","98 Elm Street","","West Haven","CT",6516,NA,"New Haven","203-772-1270","","","","http://www.cliffordbeers.org",41.2782896,-72.9430084,"MH"
"95","Catholic Charities of Fairfield County","","405 Main Street","","Danbury","CT",6810,NA,"Fairfield","203-743-4412 x243","","203-743-4412","","http://www.ccfairfield.org",41.4027281,-73.4585262,"MH"
"96","Community Health Center of Danbury","Behavioral Health","8 Delay Street","","Danbury","CT",6810,NA,"Fairfield","203-797-8330","","","","http://www.chc1.com/",41.3950209,-73.4513945,"MH"
"97","Community Health Resources","Bloomfield Office","693 Bloomfield Avenue","","Bloomfield","CT",6002,NA,"Hartford","860-731-5522","","877-884-3571","","http://www.chrhealth.org",41.8272523,-72.7378779,"MH"
"98","Connecticut Valley Hospital","","1000 Silver Street","","Middletown","CT",6457,NA,"Middlesex","860-262-5000","","","","http://",41.5576474,-72.6319426,"MH"
"99","Connecticut Mental Health Center","West Haven Mental Health Clinic","270 Center Street","Suite 2","West Haven","CT",6516,NA,"New Haven","203-974-5900","","","","http://",41.2735704,-72.9499783,"MH"
"100","West Haven Hlth Ctr Csl Servs","Cornell Scott Hill Health Center","285 Main Street","","West Haven","CT",6516,NA,"New Haven","203-503-3520","","","","http://www.hillhealthcenter.com",41.273444,-72.947573,"MH"
"101","River Valley Services","Leak and Dutton Halls Middletown","351 Silver Street","Leak and Dutton Halls","Middletown","CT",6457,NA,"Middlesex","860-262-5200","Intakes","860-262-5223","860-262-2100","http://",41.554265,-72.6296693,"MH"
"102","Community Health Services Inc","Behavioral Health Department","500 Albany Avenue","","Hartford","CT",6120,NA,"Hartford","860-249-9625 x737","","860-249-9625 x892","","http://www.chshartford.org/",41.777767,-72.685119,"MH"
"103","Family and Childrens Aid","","80 West Street","","Danbury","CT",6810,NA,"Fairfield","203-748-5689 x106","","203-748-5689 x0","","http://www.fcaweb.org/",41.392109,-73.457918,"MH"
"104","Klingberg Comp Family Services Inc","Outpatient Clinic","157 Charter Oak Avenue","","Hartford","CT",6106,NA,"Hartford","860-243-4416","","860-826-2269","","http://www.klingberg.com",41.7577868,-72.6657004,"MH"
"105","Danbury Hospital Center for Child and","Adolescent Treatment Services","152 West Street","","Danbury","CT",6810,6361,"Fairfield","203-791-5100","","","","http://www.westernconnecticuthealthnetwork.org/",41.392289,-73.4642082,"MH"
"106","Saint Francis Behavioral Health Group","","675 Tower Avenue","Suite 301","Hartford","CT",6112,NA,"Hartford","860-714-2750","","","","http://www.stfranciscare.org/",41.7999227,-72.6937813,"MH"
"107","InterCommunity Healthcare","Hartford FQHC","16 Coventry Street","","Hartford","CT",6112,NA,"Hartford","860-569-5900","","","","http://www.intercommunityct.org/behavioral-health/",41.7962958,-72.6896078,"MH"
"108","Community Renewal Team Inc","Behavioral Health Services","330 Market Street","","Hartford","CT",6120,NA,"Hartford","860-761-7900","","","","http://www.crtct.org",41.7723938,-72.6706168,"MH"
"109","Capitol Region Mental Health Center","","500 Vine Street","","Hartford","CT",6112,NA,"Hartford","860-297-0999","","","","http://",41.7963959,-72.6876187,"MH"
"110","Hartford Behavioral Health","Cole Treatment Center","2550 Main Street","","Hartford","CT",6120,1936,"Hartford","860-548-0101","","860-548-0101 x354","","http://www.hbh1.org/",41.7887356,-72.6715188,"MH"
"111","Hartford Behavioral Health","","2550 Main Street","Suite 301","Hartford","CT",6120,1936,"Hartford","860-548-0101","","","","http://www.hbh1.org",41.7887356,-72.6715188,"MH"
"112","InterCommunity Healthcare","East Hartford FQHC","281 Main Street","","East Hartford","CT",6118,1823,"Hartford","860-569-5900","","","203-464-4935","http://www.intercommunityct.org",41.742481,-72.6331574,"MH"
"113","InterCommunity Healthcare","School Based Health Center","15 Mercer Avenue","","East Hartford","CT",6118,NA,"Hartford","860-569-5900","","","","http://www.intercommunityct.org/behavioral-health/",41.7606149,-72.6348404,"MH"
"114","Harbor House","","79 Cedar Street","","Branford","CT",6405,NA,"New Haven","203-483-2662","Intakes","203-483-2630","","http://www.bhcare.org/",41.283419,-72.816115,"MH"
"115","Bridges Healthcare Inc","","941-949 Bridgeport Avenue","","Milford","CT",6460,NA,"New Haven","203-878-6365","","203-878-6365 x680","","http://www.bridgesct.org",41.2145246,-73.0740309,"MH"
"116","Yale New Haven Hospital","Branford Adolescent IOP/Outpt Servs","21 Business Park Drive","","Branford","CT",6405,NA,"New Haven","203-488-0471","","","","http://www.ynhh.org/locations/branford-21-business-park-drive.aspx",41.2956461,-72.7702077,"MH"
"117","InterCommunity Healthcare","School Based Health Center","869 Forbes Street","","East Hartford","CT",6118,NA,"Hartford","860-569-5900","","","","http://www.intercommunityct.org/behavioral-health/",41.752243,-72.605553,"MH"
"118","BHcare Inc","Shoreline","14 Sycamore Way","","Branford","CT",6405,NA,"New Haven","203-483-2630","","","","http://www.bhcare.org/",41.3009503,-72.750926,"MH"
"119","InterCommunity Healthcare","School Based Health Center","40 Butternut Drive","","East Hartford","CT",6118,NA,"Hartford","860-569-5900","","","","http://www.intercommunityct.org/behavioral-health/",41.755482,-72.5963245,"MH"
"120","Family Resource Associates LLC","","3300 Main Street","","Stratford","CT",6614,NA,"Fairfield","203-378-4514","","203-378-4514 x101","","http://www.familyresourceassociates.com",41.205408,-73.1315837,"MH"
"121","InterCommunity Healthcare","School Based Health Center","777 Burnside Avenue","","East Hartford","CT",6108,NA,"Hartford","860-569-5900","","","","http://www.intercommunityct.org/behavioral-health/",41.7793175,-72.6052366,"MH"
"122","Sharon Hospital","","50 Hospital Hill Road","","Sharon","CT",6069,NA,"Litchfield","860-364-4458","","860-364-4288","","http://patients.healthquest.org/locations/sharon-hospital/",41.8804627,-73.4816406,"MH"
"123","InterCommunity Healthcare","School Based Health Center","101 Great Hill Road","","East Hartford","CT",6108,NA,"Hartford","860-569-5900","","","","http://www.intercommunityct.org/behavioral-health/",41.7754535,-72.5955855,"MH"
"124","InterCommunity Healthcare","School Based Health Center","61 Alps Drive","","East Hartford","CT",6108,NA,"Hartford","860-569-5900","","","","http://www.intercommunityct.org/behavioral-health/",41.7913934,-72.6009026,"MH"
"125","Saint Vincents Behav Health Servs","Bridgeport OP BH","2400 Main Street","","Bridgeport","CT",6606,NA,"Fairfield","203-362-3900","","475-210-4416","","http://www.stvincentsbehavioralhealth.org",41.1956837,-73.1992382,"MH"
"126","Southwest Connecticut MH System","Greater Bridgeport Community MH Center","1635 Central Avenue","","Bridgeport","CT",6610,NA,"Fairfield","203-551-7464","","203-551-7400","","http://",41.1894663,-73.1680581,"MH"
"127","Bridgeport Hospital","Behavioral Health Services WT9/NE8","267 Grant Street","","Bridgeport","CT",6610,NA,"Fairfield","203-384-3897","","","","http://www.bridgeporthospital.org",41.1889873,-73.1664362,"MH"
"128","Connecticut Renaissance Inc","Behavioral Health OP Clinic","1126 Main Street","","Bridgeport","CT",6604,NA,"Fairfield","203-331-1503 x2918","","203-331-1503 x2924","","http://www.ctrenaissance.com/",41.1900225,-73.1801804,"MH"
"129","Bridgeport Hospital REACH","IOP Services","1558 Barnum Avenue","","Bridgeport","CT",6610,NA,"Fairfield","203-384-3377","","","","http://www.bridgeporthospital.org",41.1873363,-73.1611078,"MH"
"130","Optimus Healthcare Inc","","982 East Main Street","","Bridgeport","CT",6608,NA,"Fairfield","203-696-3260","Intakes","203-696-3260 x3251","203-696-3260 x3421","http://www.optimushealthcare.org",41.1880776,-73.1804585,"MH"
"131","Clifford Beers","Shore Line Clinic","1575 Boston Post Road","Building B","Guilford","CT",6437,NA,"New Haven","203-458-2134","","203-772-1270","","http://www.cliffordbeers.org/",41.2954,-72.700074,"MH"
"132","Southwest Connecticut MH System","","97 Middle Street","","Bridgeport","CT",6604,NA,"Fairfield","203-551-7464","","203-579-7300","","http://",41.1795707,-73.1890694,"MH"
"133","Child and Family Guidance Center","","180 Fairfield Avenue","","Bridgeport","CT",6604,NA,"Fairfield","203-394-6529","","203-394-6529 x3084","","http://www.cfguidance.org/",41.1792801,-73.1905967,"MH"
"134","Recovery Counseling Services","","1438 Park Avenue","","Bridgeport","CT",6604,2512,"Fairfield","203-366-5817","","","","http://www.recovery-programs.org",41.1800767,-73.2029641,"MH"
"135","New Prospects","Co Occurring Program","392 Prospect Street","","Bridgeport","CT",6604,NA,"Fairfield","475-476-3700","Intakes","203-610-6252 x751","203-610-6252 x755","http://www.recovery-programs.org",41.1720399,-73.195966,"MH"
"136","Center for Discovery","Fairfield","4536 Congress Street","","Fairfield","CT",6824,NA,"Fairfield","866-862-3631","","","","http://centerfordiscovery.com/locations/fairfield/",41.1951276,-73.3025878,"MH"
