"ZCTA","minDisRx","timeDrive","countDrive"
2668,4.89,9.76,48
2669,2.13,4.76,26
2670,2.17,4.39,41
2671,0.84,3.96,38
2672,1.45,6.86,45
2673,0.67,0,44
2675,0.49,0,49
2702,4.58,12.53,99
2703,0.43,0,211
2715,3.79,14.13,63
2717,5.95,7.27,80
2718,3.61,11.75,93
2719,0.45,0,74
2720,1.74,0,140
2721,1,0,156
2723,0.75,4.63,162
2724,0.53,0,167
2725,1.96,0,203
2726,1.21,0,113
2738,4.17,9.1,48
2739,4.8,6.63,70
2740,0.77,0,75
2743,2.63,8.8,67
2744,0.45,0,70
2745,0.94,0,88
2746,0.91,0,79
2747,1.99,0,71
2748,3.58,0,59
2760,0.3,0,199
2762,0.89,0,182
2763,0.04,0,201
2764,3.87,11.23,136
2766,0.36,0,177
2767,0.6,0,105
2769,1.26,0,204
2770,6.74,19.58,22
2771,2.01,0,229
2777,0.31,0,232
2779,4.06,13.6,71
2780,1.01,0,136
2790,1.71,0,74
2791,5.05,14.06,67
2802,0.91,4.77,187
2804,6.4,11.19,27
2806,0.79,0,196
2807,1.65,0,1
2808,5.2,12.37,38
2809,0.7,0,92
2812,3.9,14.51,17
2813,1.5,0,27
2814,2.28,0,101
2815,8.32,13.73,57
2816,3.5,0,115
2817,8.19,16.82,49
2818,1.76,0,136
2822,6.49,20.75,43
2825,10.63,12.97,55
2826,4.22,12.55,84
2827,9.96,18.88,16
2828,1.91,0,200
2830,4.48,8.56,76
2831,5.92,12.38,95
2832,2,6.7,63
2833,6.06,16.11,24
2835,1.81,0,38
2836,5.99,11.27,34
2837,8.1,23.47,21
2838,2.34,5.86,225
2839,3.42,9.54,76
2840,0.88,0,23
2841,0.61,8.51,26
2842,1.4,0,31
2852,0.25,0,86
2857,4.1,0,186
2858,3.9,9.46,82
2859,3.07,0,51
2860,0.28,0,216
2861,0.1,0,237
2863,0.46,0,218
2864,1.47,0,195
2865,2,0,225
2871,1.26,0,57
2873,5.62,10.88,30
2874,3.09,11.45,51
2875,6.21,14.92,27
2876,0.82,12.64,142
2878,4.56,0,83
2879,3.09,0,33
2881,0.58,0,29
2882,1.12,0,33
2885,0.32,0,176
2886,0.64,0,171
2888,0.17,0,190
2889,0.51,0,158
2891,1.23,0,45
2892,4.85,16.04,25
2893,0.74,0,163
2894,5.95,16.04,27
2895,0.32,0,194
2896,2.55,0,129
2898,0.99,0,50
2903,0.18,0,248
2904,0.79,0,237
2905,0.89,0,231
2906,0.87,0,249
2907,0.11,0,236
2908,0.72,0,244
2909,0.27,0,240
2910,0.12,0,206
2911,0.69,0,204
2912,0.42,3.26,251
2914,0.44,0,245
2915,0.62,0,215
2916,0.36,0,243
2917,0.92,0,182
2919,1.41,0,214
2920,0.85,0,197
2921,2.58,0,166
3031,1.08,0,46
3032,5.81,17.37,59
3033,5.56,13.26,34
3034,8.72,15.1,43
3036,8.11,16.76,29
3037,8.78,21.65,7
3038,2.55,0,69
3042,1.76,0,37
3043,12.88,19.96,5
3044,4.85,14.21,28
3045,2,0,38
3046,7.97,18.54,29
3047,8.73,14,6
3048,8.71,18.75,19
3049,0.73,0,48
3051,1.87,0,100
3052,2.94,13.41,74
3053,2.64,0,87
3054,1.62,0,65
3055,1.97,0,36
3057,6.52,11.69,25
3060,0.84,0,83
3062,1.84,0,74
3063,2,0,81
3064,0.88,0,96
3070,7.16,15.68,33
3071,11.18,19.49,8
3076,0.75,0,121
3077,2.43,0,47
3079,0.94,0,144
3082,10.03,21.09,9
3084,7.59,13.57,12
3086,7.76,11.39,20
3087,0.64,0,131
3101,0.24,0,93
3102,1.78,0,85
3103,0.22,0,92
3104,0.57,0,78
3106,1.71,0,65
3109,2.57,0,56
3110,0.33,0,65
3215,3.66,0,1
3216,11.52,22.12,10
3217,5.31,16.38,8
3218,3.61,7.87,8
3220,4.66,0,20
3221,10.57,18.62,6
3222,4.86,0,1
3223,8.09,12.58,8
3224,7.46,21.1,30
3225,7.73,18.07,4
3226,6.4,8.46,20
3227,12.24,26.18,2
3229,2.8,0,30
3230,12.1,21.94,3
3231,9.01,16.12,7
3233,4.21,9.08,5
3234,1.33,0,32
3235,2.95,0,42
3237,10.31,15.8,20
3241,7.09,24.99,7
3242,0.27,0,27
3243,7.37,19.98,6
3244,0.52,0,5
3245,7.02,13.35,8
3246,2.27,0,20
3249,3.87,0,20
3251,7.92,0,1
3253,0.88,0,15
3255,10.4,23.93,4
3256,6.95,13.67,26
3257,0.49,0,5
3258,1.93,0,30
3260,8.16,12.07,6
3261,4.35,0,9
3262,6.27,10.99,1
3263,1.37,0,28
3264,1.86,0,6
3266,10.88,18.96,7
3268,10.53,17.8,32
3269,7.17,15.53,20
3273,8.4,17.98,4
3275,3.9,0,48
3276,2.51,0,42
3278,1.58,0,5
3280,13.51,23.61,5
3281,10.43,21,5
3284,6.9,13.64,7
3285,9.98,25.5,8
3287,5.79,18.01,2
3290,7.08,15.7,18
3291,1.69,9.06,29
3293,6.99,15.25,7
3301,0.72,0,62
3303,5.24,0,32
3304,5.98,11.85,58
3307,8.52,15.97,30
3431,2.6,0,11
3440,7.04,18.65,6
3441,3.57,11.34,8
3442,9.27,17.98,6
3443,6.81,22.04,14
3444,7.91,18.08,5
3445,8.95,18.48,6
3446,5.95,16.34,7
3447,7.69,15.5,20
3448,10.02,14.5,6
3449,9.76,11.91,6
3450,10.97,23.18,9
3451,2.24,0,8
3452,3,0,9
3455,7.33,14.36,15
3456,14.98,26.65,6
3457,12.33,21.05,6
3458,0.89,0,10
3461,2.21,0,16
3462,7.75,17.4,13
3464,13.83,25.87,9
3465,11.25,14.39,19
3466,3.83,16.15,14
3467,6.23,21.53,13
3470,3.3,0,8
3561,2.41,0,12
3570,3.22,0,1
3574,12.35,12,9
3576,8.17,0,1
3580,12.26,16.2,9
3581,9.42,0,1
3582,13.51,20.94,1
3583,12.03,15.97,1
3584,2.07,0,1
3585,1.24,0,9
3586,6.61,17.51,9
3588,13.89,20.09,1
3593,13,21.49,1
3595,16.12,24.79,9
3597,16.91,16.66,1
3598,11.18,18.16,9
3602,7.3,21.61,9
3603,8.66,14.01,9
3604,3.97,12.79,3
3605,12.48,21.63,2
3607,13.62,27.67,3
3608,3.71,0,4
3609,0.84,4.47,7
3740,4.63,15.84,12
3741,7.99,25.42,3
3743,1.49,0,10
3745,3.9,18.51,5
3746,9.03,19.24,7
3748,4.87,0,8
3750,4.63,17.55,10
3751,6.53,10.53,7
3752,7.87,16.77,2
3753,12.25,19.71,11
3754,2.77,5.59,8
3755,5.95,0,11
3765,6.84,18.36,5
3766,4.43,0,12
3768,14.98,20.69,12
3770,9.47,18.74,11
3771,9.7,25.07,4
3773,2.97,0,8
3774,5.46,14.79,5
3777,8.93,23.98,2
3779,6.34,13.1,2
3780,11.01,26.39,4
3782,6.14,10.15,8
3784,0.78,0,11
3785,11.73,0,3
3801,1.66,0,44
3809,0.04,0,5
3810,7.26,12.88,18
3811,3.7,10.78,91
3812,12.05,21.89,6
3813,7,14.97,7
3814,8.19,10.99,4
3816,9.95,18.87,4
3817,14.81,24.76,2
3818,10.22,13.89,7
3819,3.7,6.5,51
3820,0.64,0,43
3823,3.31,8.76,44
3824,1.5,0,45
3825,6.56,17.4,29
3826,0.78,0,76
3827,6.04,12,51
3830,9.83,25.34,2
3832,11.65,26.68,6
3833,3.49,0,36
3835,2.42,0,22
3836,12.08,23.7,2
3837,8.67,21.29,10
3838,10.07,19.84,6
3839,3.81,8.13,27
3840,2.31,0,47
3841,2.75,9.91,66
3842,0.17,0,44
3844,3.3,8.06,52
3845,5.36,12.03,6
3846,13.76,24.58,6
3847,1.94,9.09,7
3848,2.97,0,57
3849,11.15,23.11,7
3850,12.06,21.62,4
3851,5.75,20.44,9
3852,12.27,23.51,10
3853,6.99,13.51,4
3854,1.16,12.2,26
3855,4.93,12.06,10
3856,3.58,12.64,35
3857,0.93,0,38
3858,5.84,11.77,76
3860,0.9,0,7
3861,1.02,0,47
3862,0.58,0,42
3864,0.94,0,4
3865,1.47,0,87
3867,0.85,0,26
3868,2.51,0,29
3869,2.53,9.86,40
3870,2.45,0,26
3871,4.27,8.81,27
3872,11.32,18.81,5
3873,4.75,11.56,28
3874,0.77,0,61
3875,12.6,30,2
3878,0.9,0,37
3882,6.19,24.44,2
3883,16.97,27.06,4
3884,7.97,19.88,8
3885,1.29,0,40
3886,17.38,28,2
3887,9.46,13.87,12
3890,11.72,17.2,4
3894,3.45,0,5
3901,2.54,0,25
3902,6.87,12.52,19
3903,4.77,9.88,33
3904,1.95,0,38
3905,3.49,12.5,13
3906,6.91,16.98,25
3907,5.06,13.07,19
3908,4.35,0,29
3909,1.71,0,41
3910,3.79,7.72,16
3911,1.37,4.07,17
4001,10.39,17.97,7
4002,7.33,17.44,25
4005,2.02,0,62
4006,7.22,16.05,19
4008,12.25,20.52,18
4009,2.24,0,4
4010,8.96,18.86,3
4011,1.29,0,21
4015,5.26,10.97,10
4020,3.46,0,2
4021,5.24,12.03,43
4022,9.7,22.98,4
4024,10.12,21.51,4
4027,7.23,10.83,22
4029,9.22,19.5,2
4030,1.73,0,5
4032,0.19,0,56
4037,7.1,0,9
4038,2.52,0,57
4039,0.48,0,74
4040,5.71,13.34,4
4041,5.7,27.58,2
4042,5.39,17.26,18
4043,2.49,0,35
4046,1.39,0,19
4047,8.82,28.94,2
4048,11.42,18.7,3
4049,9.68,22.94,4
4051,17.17,18.87,3
4055,1.51,0,10
4056,14.53,27.58,1
4057,4.69,7.78,4
4061,7.12,13.56,1
4062,4.16,0,54
4063,1.89,5.68,60
4064,1.26,0,60
4066,11.94,24.98,15
4068,8.88,25.07,2
4069,6.88,14.39,22
4071,7.69,20.05,8
4072,3.24,0,65
4073,0.26,0,15
4074,2.29,0,62
4076,8.73,16.99,7
4079,10.02,20.41,15
4083,1.18,0,24
4084,3.61,0,19
4085,7.02,18.08,10
4086,2.48,0,21
4087,4.86,18.43,8
4088,13.06,19.22,3
4090,3.95,0,37
4091,5.34,18.57,2
4092,1.32,0,69
4093,0.98,0,61
4095,14.86,26.9,1
4096,0.91,0,61
4097,5.88,11.52,38
4101,0.32,0,71
4102,0.59,0,71
4103,0.57,0,71
4105,1.66,0,50
4106,0.22,0,71
4107,0.84,0,57
4110,1.99,6.54,60
4210,0.56,0,28
4217,5.01,0,1
4219,13.6,21.77,1
4220,8.85,20.48,3
4221,7.28,23.28,8
4222,5.41,13.5,34
4224,8.98,24.37,3
4227,7.58,15.1,7
4228,6.8,12.63,3
4231,15.65,27.77,1
4234,2.5,15.61,7
4236,0.22,0,25
4237,9.52,24.54,3
4238,9.14,16.53,14
4239,2.42,0,7
4240,1.39,0,26
4250,3.52,10.06,34
4252,2.4,0,39
4253,6.76,12.97,5
4254,5.42,0,5
4255,11.4,24.78,1
4256,2.39,0,25
4257,3.09,0,3
4258,7.49,15,24
4259,8.36,17.54,5
4260,6.82,9.68,39
4261,17.08,23.78,1
4263,9.61,15.52,18
4265,6.44,10.87,37
4267,16.36,28.71,2
4268,5.58,0,4
4270,5.73,0,13
4271,5.42,14.31,4
4274,3.67,9.72,25
4275,14.41,20.25,3
4276,4.93,0,3
4280,8.31,12.53,37
4281,4.22,9.42,4
4282,1.58,0,22
4284,8.52,15.57,6
4286,4.88,7.08,1
4287,8.96,19.73,11
4289,10.52,17.98,4
4290,7.82,23.1,3
4294,7.83,17.87,7
4330,4.1,0,35
4342,14.56,19.23,11
4343,2,3.47,23
4344,4.13,10.24,22
4345,3.25,0,19
4346,1.12,0,21
4347,2.13,8.86,22
4348,14.37,21.72,2
4349,9.34,14.26,6
4350,13.29,24.04,4
4351,0.65,0,24
4353,10.8,18.83,18
4354,9.25,19.99,15
4355,7.21,12.59,17
4357,11.04,25.51,4
4358,3.11,0,28
4359,5.01,10.29,19
4360,13.17,19.79,4
4363,8.01,14.67,21
4364,0.43,0,21
4401,3.74,0,30
4406,14.39,16.61,5
4410,12.21,22.67,1
4411,6.62,16.68,8
4412,0.75,0,29
4414,20.34,22.83,1
4415,13.49,20.3,1
4416,5.64,0,2
4419,8.72,22.62,31
4422,8.86,12.45,4
4426,4.57,0,9
4427,0.63,0,23
4428,10.99,18.92,24
4429,9.13,14.58,30
4430,1.48,0,3
4431,6.87,21.84,8
4434,11.62,14.31,12
4435,9.38,18.49,4
4441,44.37,0,1
4442,7.34,17.4,1
4443,5.72,0,7
4444,7.16,0,26
4448,13.29,23.05,5
4449,8.32,21.84,22
4450,8.35,10.13,25
4453,16.22,22.45,1
4455,16.37,16.17,3
4456,9.47,19.59,25
4457,5.7,0,3
4460,7.06,6.34,6
4461,6.06,9.07,27
4462,34.38,0,3
4463,5.9,0,4
4464,13.99,24.74,1
4468,10.31,0,27
4469,1.73,6.47,27
4471,24.32,28.71,3
4472,6.35,16.87,8
4473,3.15,0,27
4474,5.38,16.15,27
4475,17.67,27.72,3
4476,9.95,16.09,2
4479,5.17,0,7
4481,8.04,18.15,4
4485,9.84,23.3,1
4489,2.34,3.78,29
4493,11.62,19.44,3
4495,15.2,21.46,3
4496,9.58,17.35,7
4530,1.45,0,21
4535,9.5,24.7,2
4537,3.21,4.77,8
4538,0.71,0,3
4539,6.61,13.84,3
4541,10.9,27.75,2
4543,1.41,0,10
4544,3.31,7.26,1
4547,10.37,18.8,6
4548,9.53,18.14,12
4551,6.55,15.62,4
4553,3.81,9.73,9
4554,8.45,25.61,2
4555,7.18,11.88,8
4556,9.35,12.69,9
4558,8.45,25.21,2
4562,11.42,14.99,15
4563,11.19,16.49,6
4564,10.12,24.11,3
4568,5.16,25.63,2
4570,5.27,10.56,1
4571,4.55,17.73,1
4572,1.32,0,9
4573,8.1,14.8,3
4574,16.46,25.58,1
4575,2.59,3.62,1
4576,4.79,8.53,1
4578,10.65,15.68,16
4579,5.63,13.99,17
4605,13.61,0,4
4607,13.23,19.47,1
4609,4.21,0,3
4612,3.76,7.46,1
4614,1.33,0,2
4616,12.01,22.12,2
4617,10.47,29.02,2
4619,5.37,0,2
4622,22.38,15.58,1
4623,18.26,26.94,1
4625,5.37,5.7,1
4626,16.83,29.08,2
4627,6.05,13.71,2
4629,5.84,9.15,2
4630,12.82,12.15,2
4631,2.42,0,1
4640,6.32,21,4
4643,6.58,10.23,1
4644,3.78,2.46,3
4645,10.09,6.9,2
4646,7.65,24.31,4
4648,9.52,13.58,2
4650,11.46,22.7,4
4653,4.86,5.13,1
4654,8.78,0,2
4655,6.23,23.99,2
4658,0.64,0,1
4660,5.83,10.71,4
4662,3.53,23.74,4
4666,18.24,24.8,1
4667,10.94,11.86,1
4669,13.23,27.95,1
4671,13.21,29.08,2
4673,10.81,19.3,4
4674,5.97,12.56,1
4675,5.62,23.74,4
4676,6.58,15.3,2
4679,0.42,0,1
4680,5.34,9.35,1
4681,1.33,0,2
4683,7.01,18.89,2
4684,8.98,12.28,6
4691,15.74,24.57,2
4694,15.19,17.82,2
4730,4.97,0,3
4733,17.74,28.12,1
4734,5.35,5.17,5
4735,9.81,13.47,1
4736,4.75,0,9
4739,25.26,26.67,4
4740,10.39,14.1,7
4742,1.5,0,10
4743,5.8,0,4
4745,8.83,15.63,5
4746,17.36,18.5,1
4747,14.5,29.26,1
4750,13.39,22.22,5
4756,3.56,0,1
4757,11.01,13.22,6
4758,4.11,0,7
4760,17.62,24.98,4
4761,9.16,19.72,3
4763,19.01,29.94,3
4765,19.98,0,1
4766,16.08,22.25,3
4769,1.21,0,10
4772,13.03,23.05,5
4773,10.49,26.34,1
4779,21.84,28.24,4
4781,10.79,10.65,4
4783,21.2,28.67,3
4786,13.68,20.7,7
4787,8.42,10.63,7
4841,2.26,0,9
4843,2.62,0,8
4847,9.15,20.62,7
4849,10.01,19.29,9
4854,3.7,8.2,9
4855,17.37,27.56,1
4856,3.62,0,9
4858,4.49,12.41,9
4859,9.98,16.73,8
4860,13.48,18.56,5
4861,2.69,0,11
4862,15.01,23.14,9
4864,8.32,9.9,11
4901,3.52,0,31
4910,1.36,0,16
4911,5.61,12.89,5
4912,15.56,26.38,5
4915,4.41,0,2
4917,10.44,19.78,16
4918,10.95,21.83,16
4920,8.23,0,1
4921,14.81,25.36,3
4922,7.87,23.06,3
4923,10.94,26.03,3
4924,10.29,15.56,12
4926,7.03,6.93,30
4927,3.9,0,16
4928,6.67,13.29,7
4929,6.63,11.38,5
4930,1.86,0,11
