name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
FOUNDATION MEDICAL CENTER,"Prescriber, Injection Provider",Outpatient Facility,,3000 NW 101ST LN STE 101,"CORAL SPRINGS, FL 33065",954-272-4072,"Most private insurance, no public insurance plans",1,SIMA ALAVI
Comprehensive MedPsych Systems - Tamarac,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","7880 North University Drive, Suite 303","Tamarac, FL 33321",954-340-3000,Most private insurance and public insurance plans,1,JACQUELINE BOUTROUILLE
NEUROLOGY OFFICES OF SOUTH FLORIDA,"Prescriber, Injection Provider",Outpatient Facility,Opioid Dependence,"9970 Central Park Boulevard, Suite 207","Boca Raton, FL 33428",561-482-1027,Most private insurance and public insurance plans,1,BRIAN COSTELL
INTEGRATED PRIMARY CARE & PSYCH MENTAL HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4300 N University Dr 207,"Sunrise, FL 33351",954-478-5763,"Limited health network, please contact office to learn more",1,ANAHI MUNOZ
LEGACY HEALING,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility",,2960 N STATE ROAD 7,"MARGATE, FL 33063",954-994-2965,"Most private insurance, no public insurance plans",1,JANE COHN-MANNINO
EXECUTIVE RECOVERY CENTER,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",3593 SW Corporate Pkwy,"Palm City, FL 34990",855-288-7844,Most private insurance and public insurance plans,2,"NITHCHEL MARCELIN-JOYCE,Angela Dean"
PALM BEACH OUTPATIENT DETOX,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","7251 West Palmetto Park Road, Suite 204","Boca Raton, FL 33433",561-901-0040,"Limited health network, please contact office to learn more",1,STEVEN SCANLAN
BOCA RECOVERY CENTER- BOCA RATON,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",21301 S. Powerline Rd. 311,"Boca Raton, FL 33433",800-561-4357,"Most private insurance, no public insurance plans",1,MARCO OLIVEIRA
TRANSFORMATIONS TREATMENT CENTER,"Prescriber, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",14000 SOUTH MILITARY TRAIL,"DELRAY BEACH, FL 33484",561-819-0620,"Most private insurance, no public insurance plans",2,"JAWAD DAUD,MARY TOOKEY"
CROSSROADS MEDICAL SERVICES – PORT ST. LUCIE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1420 SW Saint Lucie W Blvd. Suite 106,"Port St. Lucie, FL 34986",888-769-5408,Most private insurance and public insurance plans,2,"VALERIE FERRARA,THERESA BIEMER"
APPLETON CLINIC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2499 GLADES RD. STE 110,"BOCA RATON, FL 33431",561-450-8328,"Most private insurance, no public insurance plans",1,DARRYL APPLETON
EVOLUTIONS TREATMENT CENTER- FT. LAUDERDALE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",2901 W. Cypress Creek Blvd Suite 123,"Ft. Lauderdale, FL 33309",833-818-3031,Most private insurance and public insurance plans,1,JOEL WERTHEIMER
FIFTH STREET COUNSELING CENTER,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","4121 NW 5th Street, Suite 206","Plantation, FL 33317",954-797-5222,Most private insurance and public insurance plans,1,LAWRENCE MODEL
RECOVERY UNPLUGGED - LAKE WORTH,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",3153 Canada Ct.,"Lake Worth, FL 33461",561-336-6336,"Most private insurance, no public insurance plans",1,ALAN SCHWARTZ
"DAVID LIPORACE, DO OFFICE","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","580 Village Boulevard, Suite 210","West Palm Beach, FL 33409",561-688-5030,Most private insurance and public insurance plans,1,DAVID LIPORACE
BLUESTAR MEDICAL,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","4101 North Hosptial Drive, Suite 211","Plantation, FL 33317",954-440-0072,Most private insurance and public insurance plans,1,VICKY MARSH
MEDCARE INFUSION SERVICES,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3085 WEST 80TH ST,"HIALEAH, FL 33018",305-863-4277,Most private insurance and public insurance plans,1,Jimmy Rivera
COASTAL DETOX,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1131 SE Indian St.,"Stuart, FL 34997",771-210-0913,"Most private insurance, no public insurance plans",2,"EDWARD ZAWADSKI,VALERIE FERRARA"
PALM BEACH MEDICAL CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1501 Presidential Way, 5","West Palm Beach, FL 33401",561-686-8200,Most private insurance and public insurance plans,1,JAIMY BENSIMON
HARMONY TREATMENT & WELLNESS OF STUART,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",616 SE Central Pkwy,"Stuart, FL 34994",772-247-6180,"Limited health network, please contact office to learn more",1,JENNIFER BRUK
POMPANO BEACH PHYSICIANS GROUP,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",150 SW 12th Ave. 480,"Pompano Beach, FL 33069",954-633-2271,"Most private insurance, no public insurance plans",1,ALBERT CASTELLON
ARETE DETOX,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",1300 Hibiscus Dr.,"Pembroke Pines, FL 33025",888-710-4284,"Most public insurance, no private insurance plans",1,KARL HAGEN
SOUTH FLORIDA PAIN AND WELLNESS,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",450 W Hillsboro Blvd,"Deerfield Beach, FL 33441",954-580-4940,"Most private insurance, no public insurance plans",2,"MELANIE ROSENBLATT,SHELLY WIK"
"SERENITY HOUSE DETOX, LLC","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",7357 WILSON RD,"WEST PALM BEACH, FL 33413",561-475-2170,Most private insurance and public insurance plans,2,"NELSON CORDERO TORRES,WESGUER VILCE"
CARMA HEALTH,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",150 E. Sample Rd. Suite 320,"Pompano Beach, FL 33064",754-800-6301,"Limited health network, please contact office to learn more",2,"BEVERLY POWELL,ALAN SCHWARTZ"
All About Recovery,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",1700 Old Okeechobee Road,"West Palm Beach, FL 33409",954-610-7079,,1,SIMA ALAVI
RECOVERY BY THE SEA,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",2801 SE Martin Square Corporate Pkwy,"Stuart, FL 34994",772-888-3025,"Limited health network, please contact office to learn more",1,GUIDO NODAL
ESSENTIALS RECOVERY,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1685 NW FEDERAL HWY,"JENSEN BEACH, FL 34957",772-934-6580,"Most private insurance, no public insurance plans",1,TIMOTHY SIGMAN
RECREATE LIFE COUNSELING,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",3652 Seacreat Blvd.,"Boynton Beach, FL 33435",877-772-9941,"Most private insurance, no public insurance plans",1,DUY NGUYEN
BOCA RECOVERY CENTER- POMPANO BEACH,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",971 S DIXIE HWY,"POMPANO BEACH, FL 33060",954-251-6195,"Most private insurance, no public insurance plans",1,MARCO OLIVEIRA
DAUD MEDICAL ASSOCIATES,"Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",236 SE 23rd Ave,"Boynton Beach, FL 33435",,"Most private insurance, no public insurance plans",3,"DEBRA MACDONALD,NANCY ADRIEN,JAWAD DAUD"
DELRAY CENTER FOR HEALING,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",403 SE 1ST ST,"DELRAY BEACH, FL 33483",561-266-8866,"Most private insurance, no public insurance plans",5,"MAYKELYN FELIPE,CLARK HAWKINS,MELISSA BARRERA,HOLLY NICEWICZ,RAUL RODRIGUEZ"
RALLY POINT - WEST PALM BEACH,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",1130 Elizabeth Avenue,"West Palm Beach, FL 33401",561-228-8434,"Most private insurance, no public insurance plans",0,NA
PINNACLE REHABILITATION GROUP,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1680 SE Lyngate Drive Suite 204,"Port St. Lucie, FL 34952",772-222-5411,"Limited health network, please contact office to learn more",4,"KENNETH PALESTRANT,MARK POLSKY,KERRI VARNEY,ROBERT BOGLE"
Wellness Resource Center,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",,"Alcohol Dependence, Opioid Dependence",7940 N. Federal Hwy.,"Boca Raton, FL 33487",844-895-5033,"Most private insurance, no public insurance plans",1,JACQUELINE PEVNY
SUMMIT DETOX,Opioid Detox to initiate VIVITROL,Inpatient Facility,"Alcohol Dependence, Opioid Dependence",3330 N. Federal Hwy.,"Boynton Beach, FL 33435",561-336-3783,"Limited health network, please contact office to learn more",3,"JAWAD DAUD,MARY TOOKEY,SARAH MARUNA"
THE LAWRENCE WELLNESS CENTER – BOCA RATON,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4800 N Federal Hwy Suite E 102,"Boca Raton, FL 33431",305-790-9224,No Insurance accepted,1,RASHA LAWRENCE
AGAPE TREATMENT CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",4837 N Dixie Hwy,"Ft. Lauderdale, FL 33334",954-859-1425,"Most private insurance, no public insurance plans",2,"RICHARD STERNE,JOSE VALDIVIA"
SOZO MEDICAL GROUP,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","4837 N. Dixie Hwy, Suite A","Ft. Lauderdale, FL 33334",844-744-2445,"Most private insurance, no public insurance plans",1,CHARLES SMITH
COMPREHENSIVE WELLNESS CENTERS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",660 South Dixie Highway,"Lantana, FL 33462",561-619-5858,Most private insurance and public insurance plans,1,JOSE SANTEIRO
THE LAWRENCE WELLNESS CENTER – DELRAY BEACH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",810 Andrews Avenue,"Delray Beach, FL 33483",305-790-9224,No Insurance accepted,1,RASHA LAWRENCE
FIRST STEP BEHAVIORAL HEALTH,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",3773 N. Federal Hwy,"Pompano Beach, FL 33060",866-319-6126,Most private insurance and public insurance plans,1,JIMMY CASSIS
"THE BRAIN SPA, LLC","Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","210 Jupiter Lakes Blvd. Bldg 3000, Ste 102","Jupiter, FL 33458",561-406-6561,"Limited health network, please contact office to learn more",1,EDWARD BARIAS
"BRANISLAV STOJANOVIC, MD (FLORIDA NEUROPSYCHIATRIC INSTITUTE) - MD OFFICE","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2962 SW 26th Terrace, Suite 203","Fort Lauderdale, FL 33312",954-525-2003,"Limited health network, please contact office to learn more",1,BRANISLAV STOJANOVIC
Palm Beach Institute,"Prescriber, Injection Provider",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",314 10th Street,"West Palm Beach, FL 33401",561-833-7553,Most private insurance and public insurance plans,3,"BRAULIO MEJIA,MARIA ANDRAKOVICH,JANET PLATT RAINES"
BEACHWAY THERAPY CENTER,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",1700 N. Dixie Hwy,"West Palm Beach, FL 33407",877-284-0353,"Most private insurance, no public insurance plans",2,"DUY NGUYEN,MOHAMMAD WEHBE"
UNITY BEHAVIORAL HEALTH,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility",,"11900 Southeast Federal HW, Suite 212","Hobe Sound, FL 33455",561-812-5555,Most private insurance and public insurance plans,2,"EDUARDO BORGES,Mark Hernandez"
ELAN RECOVERY AND WELLNESS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",741 US 1,"North Palm Beach, FL 33408",833-352-6791,Most private insurance and public insurance plans,1,SOPHIA ZARETSKY
PORT SAINT LUCIE HOSPITAL,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",2550 S.E. Walton Road,"Port Saint Lucie, FL 34952",772-335-0400,Most private insurance and public insurance plans,1,RAFAEL MUNNE QUINTANA
TRIBE INTENSIVE,"Prescriber, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1475 NE JENSEN BEACH BLVD,"JENSEN BEACH, FL 34957",772-208-5425,"Most private insurance, no public insurance plans",1,TIM DAVIS
ALL CURRENT PSYCHIATRY,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3293 Fruitville Rd Unit 108,"Sarasota, FL 34237",941-359-8420,"Limited health network, please contact office to learn more",2,"ALEXANDER FINE,ALLA FINE"
THE SANCTUARY,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",208 SE 8th St.,"Ft. Lauderdale, FL 33316",954-533-3936,"Most private insurance, no public insurance plans",1,RICHARD STERNE
CARLSTROM FAMILY PRACTICE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2650 Bahia Vista Street, Suite 207","Sarasota, FL 34239",941-388-4408,No Insurance accepted,1,EDWARD CARLSTROM
AMBROSIA OF THE PALM BEACH,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility",,2626 Lake Drive,"Rivera Beach, FL 33404",561-721-8800,"Most private insurance, no public insurance plans",1,CLARK HAWKINS
BEACH HOUSE CENTER FOR RECOVERY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",13321 US Highway 1,"Juno Beach, FL 33408",855-969-8933,"Most private insurance, no public insurance plans",2,"MICHELE DELTIEURE,EDWARD ZAWADSKI"
WELLNESS COUNSELING AND RESIDENTIAL DETOX,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",3670 NE Indian River Dr.,"Jensen Beach, FL 34957",772-210-9105,"Limited health network, please contact office to learn more",1,Mark Hernandez
BROWARD ADDICTION RECOVERY CENTER - 325 SW 28TH ST,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",325 SW 28th St.,"Fort Lauderdale, FL 33315",864-357-4880,Most private insurance and public insurance plans,3,"DALE FAHIE,Joseph Rodriguez,STEVEN FINE"
"SOLSTICE HEALTH & WELLNESS, LLC","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1219 S. East Avenue,"Sarasota, FL 34239",941-330-9797,"Limited health network, please contact office to learn more",1,FRANK MELO
SARASOTA MEMORIAL HOSPITAL,Prescriber,Inpatient Facility,"Alcohol Dependence, Opioid Dependence",1700 S. Tamiami Trail,"Sarasota, FL 34239",941-780-2335,Most private insurance and public insurance plans,1,JOHN MORITZ
RECOVERY UNPLUGGED- FT. LAUDERDALE,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","915 Middle River Drive, Suite 114","Ft. Lauderdale, FL 33304",954-368-0888,Most private insurance and public insurance plans,1,DAVID KRAMER
OCEAN GALT REHAB CENTER,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",4001 N OCEAN DR STE 304,"FORT LAUDERDALE, FL 33308",954-702-4170,"Most private insurance, no public insurance plans",2,"MARTINE PHILLIPS,PIERRE PEAN"
SOBRIETY ON THE SEA,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2632 Hollywood Blvd. Suite 305,"Hollywood, FL 33020",954-923-7333,Most private insurance and public insurance plans,1,DANETTE ARTHUR
EVOLUTIONS- MIAMI,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,,16565 NE 4th Ave.,"Miami, FL 33162",866-771-7091,,1,JOEL WERTHEIMER
Borinquen Medical Center - NW 7th St,"Prescriber, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5040 NW 7th St,"Miami, FL 33126",305-576-1599,Most private insurance and public insurance plans,1,Lidice Rankin
COMFORT RECOVERY,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1545 Northeast 123rd Street,"North Miami, FL 33161",786-923-3477,Most private insurance and public insurance plans,1,CARLOS SATULOVSKY
NEW HORIZONS COMMUNITY MENTAL HEALTH CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1469 NW 36th St.,"MIAMI, FL 33142",305-635-0366,"Limited health network, please contact office to learn more",1,JOSEPH POITIER
Better Way of Miami,"Prescriber, Injection Provider",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",800 Northwest 28th Street,"Miami, FL 33127",305-634-3409,"Most public insurance, no private insurance plans",1,Geraldine Williams
BORINQUEN HEALTH CARE CENTER,"Prescriber, Injection Provider, Counseling","Outpatient Facility, Retail Clinic","Alcohol Dependence, Opioid Dependence",100 NE 38TH ST STE 5,"MIAMI, FL 33137",305-576-1599,Most private insurance and public insurance plans,1,NANCY GONZALEZ
"Rene Perez, DO Office","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",13370 sw 131 st,"Coral Gables, FL 33134",786-373-7975,"Limited health network, please contact office to learn more",1,RENE PEREZ
"TRISTAR WELLNESS, LLC","Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",400 W 41st St. Ste 402A,"Miami Beach, FL 33140",305-604-9595,Most private insurance and public insurance plans,2,"DIANA ARISTIZABAL,JEFFREY KAMLET"
AGAPE FAMILY MINISTRIES,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",22790 Southwest 112th Avenue,"Miami, FL 33170",305-235-2616,Most private insurance and public insurance plans,1,MARIA RODIL
DACCO Behavioral Health - Lakeland,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",348 West Highland Drive,"Lakeland, FL 33803",863-608-7778,Most private insurance and public insurance plans,1,JASON FIELDS
RIVER OAKS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",12012 Boyette Road,"Riverview, FL 33569",813-605-3996,Most private insurance and public insurance plans,1,ABBAS SINA
Meadowbrook Psychiatric Center,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1801 Crystal Lake Dr.,"Lakeland, FL 33801",863-709-8543,"Most private insurance, no public insurance plans",1,SHERRY MARSDEN
"PHOENIX HOUSE, FLORIDA","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",510 Vonderburg Drive Suite 301,"Brandon, FL 33511",813-881-1000,Most private insurance and public insurance plans,1,CHRISTINA MARTIN
Peace River Center - Lakeland,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1835 GILMORE AVE,"LAKELAND, FL 33805",863-519-0575,Most private insurance and public insurance plans,3,"CHARLES BARRIOS,ALICIA CARDEN,JACQUELYN DELGADO"
"HOLISTIC MEDICAL CARE CLINIC, LLC","Prescriber, Injection Provider","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",205 W MORGAN ST,"BRANDON, FL 33510",813-398-0470,"Limited health network, please contact office to learn more",1,SUNNY SIA
AFFORDABLE CARE CLINICS @ MALABAR MEDICAL WALK-IN CLINIC,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1663 Georgia Street Northeast, Suite 500","Palm Bay, FL 32907",321-802-9080,"Limited health network, please contact office to learn more",1,KANTILAL BHALANI
WHITE SANDS TREATMENT CENTER,Injection Provider,"Inpatient Facility, Outpatient Facility",,2011 North Wheeler Street,"Plant City, FL 33563",757-803-3045,"Most private insurance, no public insurance plans",1,STEVEN MANN
MELBAY HEALTHCARE,"Prescriber, Injection Provider",Outpatient Facility,,"5205 Babcock Street Northeast, Suite 3","Palm Bay, FL 32905",321-729-1400,"Limited health network, please contact office to learn more",1,KISHORE PATSAMATLA
7 SUMMIT PATHWAYS,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",1910 ORIENT RD,"TAMPA, FL 33619",813-630-4673,Most private insurance and public insurance plans,1,LAWRENCE WILSON
COALITION RECOVERY,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","3012 N US Highway 301, Ste 1000","Tampa, FL 33619",888-707-2873,"Most private insurance, no public insurance plans",1,DEBRA BARNETT
Clear Path Center P.A.,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3177 4th Street North,"St. Petersburg, FL 33704",877-585-2955,"Limited health network, please contact office to learn more",1,PIERRE PUENTE
The Transition House - Innovation Drive,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3115 Innovation Drive,"St. Cloud, FL 34769",407-892-5700,Most private insurance and public insurance plans,1,THERESA LUPE
DACCO Behavioral Health - Tampa,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4422 East Columbus Drive,"Tampa, FL 33605",855-322-2600,Most private insurance and public insurance plans,2,"ENDRA SOOKOOR,JASON FIELDS"
ADVANCED ADDICTION MEDICINE & PSYCHIATRY,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1304 S. Desoto Ave. Suite 304,"Tampa, FL 33606",813-444-5200,"Limited health network, please contact office to learn more",1,MICHAEL KITTAY
TAMPA BAY PSYCHIATRY,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1001 S. MacDill Ave., Suite 400","Tampa, FL 33629",813-344-5073,"Limited health network, please contact office to learn more",1,DEREK ROBBEN
BOARDPREP RECOVERY CENTER,Counseling,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2522 West Kennedy Boulevard,"Tampa, FL 33609",813-600-7929,Most private insurance and public insurance plans,0,NA
TRANSFORMATION BY THE GULF,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",7217 Gulf Blvd Suite 2,"St. Pete Beach, FL 33706",727-498-6498,Most private insurance and public insurance plans,1,HERBERT GERSH
