"","X","GEOID","total_18_39"
"736",736,"02910",6851
"737",737,"02911",5543
"738",738,"02912",1344
"739",739,"02914",6874
"740",740,"02915",4970
"741",741,"02916",2281
"742",742,"02917",5024
"743",743,"02919",7680
"744",744,"02920",11227
"745",745,"02921",3187
"746",746,"03031",2109
"747",747,"03032",1302
"748",748,"03033",1199
"749",749,"03034",824
"750",750,"03036",1260
"751",751,"03037",1079
"752",752,"03038",9369
"753",753,"03042",1957
"754",754,"03043",339
"755",755,"03044",1034
"756",756,"03045",3480
"757",757,"03046",604
"758",758,"03047",351
"759",759,"03048",806
"760",760,"03049",904
"761",761,"03051",6777
"762",762,"03052",2123
"763",763,"03053",6083
"764",764,"03054",6878
"765",765,"03055",3646
"766",766,"03057",579
"767",767,"03060",10382
"768",768,"03062",7391
"769",769,"03063",5321
"770",770,"03064",4482
"771",771,"03070",1472
"772",772,"03071",1528
"773",773,"03076",2891
"774",774,"03077",2597
"775",775,"03079",8072
"776",776,"03082",293
"777",777,"03084",260
"778",778,"03086",901
"779",779,"03087",2815
"780",780,"03101",1185
"781",781,"03102",12560
"782",782,"03103",12919
"783",783,"03104",11622
"784",784,"03106",4408
"785",785,"03109",3140
"786",786,"03110",4602
"787",787,"03215",46
"788",788,"03216",692
"789",789,"03217",680
"790",790,"03218",217
"791",791,"03220",1625
"792",792,"03221",425
"793",793,"03222",1469
"794",794,"03223",990
"795",795,"03224",506
"796",796,"03225",964
"797",797,"03226",207
"798",798,"03227",157
"799",799,"03229",1189
"800",800,"03230",279
"801",801,"03231",66
"802",802,"03233",0
"803",803,"03234",1142
"804",804,"03235",2149
"805",805,"03237",637
"806",806,"03238",28
"807",807,"03240",291
"808",808,"03241",161
"809",809,"03242",1806
"810",810,"03243",220
"811",811,"03244",1692
"812",812,"03245",437
"813",813,"03246",4259
"814",814,"03249",1423
"815",815,"03251",323
"816",816,"03253",1244
"817",817,"03254",768
"818",818,"03255",316
"819",819,"03256",402
"820",820,"03257",1534
"821",821,"03258",563
"822",822,"03259",57
"823",823,"03260",144
"824",824,"03261",1006
"825",825,"03262",246
"826",826,"03263",1173
"827",827,"03264",3051
"828",828,"03266",493
"829",829,"03268",237
"830",830,"03269",587
"831",831,"03273",108
"832",832,"03275",3139
"833",833,"03276",2147
"834",834,"03278",714
"835",835,"03279",242
"836",836,"03280",150
"837",837,"03281",2283
"838",838,"03282",208
"839",839,"03284",143
"840",840,"03285",570
"841",841,"03287",326
"842",842,"03290",1031
"843",843,"03291",22
"844",844,"03293",16
"845",845,"03301",10258
"846",846,"03303",4532
"847",847,"03304",1527
"848",848,"03307",1434
"849",849,"03431",9482
"850",850,"03440",752
"851",851,"03441",39
"852",852,"03442",437
"853",853,"03443",178
"854",854,"03444",271
"855",855,"03445",157
"856",856,"03446",1731
"857",857,"03447",481
"858",858,"03448",153
"859",859,"03449",279
"860",860,"03450",111
"861",861,"03451",847
"862",862,"03452",1189
"863",863,"03455",581
"864",864,"03456",149
"865",865,"03457",172
"866",866,"03458",1388
"867",867,"03461",2290
"868",868,"03462",209
"869",869,"03464",254
"870",870,"03465",512
"871",871,"03466",280
"872",872,"03467",312
"873",873,"03470",1305
"874",874,"03561",1493
"875",875,"03570",3250
"876",876,"03574",471
"877",877,"03575",41
"878",878,"03576",546
"879",879,"03579",40
"880",880,"03580",237
"881",881,"03581",527
"882",882,"03582",599
"883",883,"03583",139
"884",884,"03584",860
"885",885,"03585",631
"886",886,"03586",46
"887",887,"03588",318
"888",888,"03590",152
"889",889,"03592",137
"890",890,"03593",103
"891",891,"03595",159
"892",892,"03597",87
"893",893,"03598",652
"894",894,"03601",58
"895",895,"03602",551
"896",896,"03603",1327
"897",897,"03604",0
"898",898,"03605",199
"899",899,"03607",85
"900",900,"03608",635
"901",901,"03609",188
"902",902,"03740",117
"903",903,"03741",1087
"904",904,"03743",3833
"905",905,"03745",245
"906",906,"03746",22
"907",907,"03748",1369
"908",908,"03750",188
"909",909,"03751",130
"910",910,"03752",163
"911",911,"03753",456
"912",912,"03754",188
"913",913,"03755",5646
"914",914,"03765",13
"915",915,"03766",3357
"916",916,"03768",341
"917",917,"03770",183
"918",918,"03771",221
"919",919,"03773",1869
"920",920,"03774",467
"921",921,"03777",340
"922",922,"03779",184
"923",923,"03780",153
"924",924,"03781",428
"925",925,"03782",762
"926",926,"03784",1262
"927",927,"03785",478
"928",928,"03801",7555
"929",929,"03809",700
"930",930,"03810",197
"931",931,"03811",1347
"932",932,"03812",33
"933",933,"03813",551
"934",934,"03814",449
"935",935,"03816",385
"936",936,"03817",44
"937",937,"03818",980
"938",938,"03819",1091
"939",939,"03820",11130
"940",940,"03823",432
"941",941,"03824",11678
"942",942,"03825",2406
"943",943,"03826",640
"944",944,"03827",562
"945",945,"03830",623
"946",946,"03832",73
"947",947,"03833",4703
"948",948,"03835",1905
"949",949,"03836",161
"950",950,"03837",230
"951",951,"03838",149
"952",952,"03839",1067
"953",953,"03840",862
"954",954,"03841",1494
"955",955,"03842",3074
"956",956,"03844",417
"957",957,"03845",281
"958",958,"03846",207
"959",959,"03847",106
"960",960,"03848",1488
"961",961,"03849",278
"962",962,"03850",0
"963",963,"03851",1068
"964",964,"03852",123
"965",965,"03853",99
"966",966,"03854",70
"967",967,"03855",536
"968",968,"03856",264
"969",969,"03857",3473
"970",970,"03858",1281
"971",971,"03860",947
"972",972,"03861",709
"973",973,"03862",866
"974",974,"03864",301
"975",975,"03865",2347
"976",976,"03867",5951
"977",977,"03868",1332
"978",978,"03869",621
"979",979,"03870",875
"980",980,"03871",0
"981",981,"03872",707
"982",982,"03873",1470
"983",983,"03874",1606
"984",984,"03875",156
"985",985,"03878",3576
"986",986,"03882",364
"987",987,"03883",18
"988",988,"03884",947
"989",989,"03885",1595
"990",990,"03886",366
"991",991,"03887",557
"992",992,"03890",8
"993",993,"03894",754
"994",994,"03901",1799
"995",995,"03902",536
"996",996,"03903",1138
"997",997,"03904",2353
"998",998,"03905",391
"999",999,"03906",977
"1000",1000,"03907",164
"1001",1001,"03908",1758
"1002",1002,"03909",1821
"1003",1003,"03910",18
"1004",1004,"03911",0
"1005",1005,"04001",641
"1006",1006,"04002",1722
"1007",1007,"04003",41
"1008",1008,"04005",8136
"1009",1009,"04006",106
"1010",1010,"04008",602
"1011",1011,"04009",1555
"1012",1012,"04010",224
"1013",1013,"04011",5880
"1014",1014,"04015",1047
"1015",1015,"04017",55
"1016",1016,"04019",0
"1017",1017,"04020",247
"1018",1018,"04021",1399
"1019",1019,"04022",267
"1020",1020,"04024",147
"1021",1021,"04027",1646
"1022",1022,"04029",398
"1023",1023,"04030",838
"1024",1024,"04032",1763
"1025",1025,"04037",776
"1026",1026,"04038",5465
"1027",1027,"04039",2019
"1028",1028,"04040",590
"1029",1029,"04041",447
"1030",1030,"04042",823
"1031",1031,"04043",1941
"1032",1032,"04046",1564
"1033",1033,"04047",522
"1034",1034,"04048",744
"1035",1035,"04049",820
"1036",1036,"04050",42
"1037",1037,"04051",212
"1038",1038,"04055",889
"1039",1039,"04056",109
"1040",1040,"04057",41
"1041",1041,"04061",733
"1042",1042,"04062",5079
"1043",1043,"04063",68
"1044",1044,"04064",1681
"1045",1045,"04066",153
"1046",1046,"04068",398
"1047",1047,"04069",348
"1048",1048,"04071",1093
"1049",1049,"04072",5223
"1050",1050,"04073",4500
"1051",1051,"04074",3779
"1052",1052,"04076",562
"1053",1053,"04079",629
"1054",1054,"04083",1256
"1055",1055,"04084",2427
"1056",1056,"04085",729
"1057",1057,"04086",2366
"1058",1058,"04087",514
"1059",1059,"04088",270
"1060",1060,"04090",2077
"1061",1061,"04091",227
"1062",1062,"04092",5660
"1063",1063,"04093",2100
"1064",1064,"04095",172
"1065",1065,"04096",1423
"1066",1066,"04097",821
"1067",1067,"04101",8216
"1068",1068,"04102",6957
"1069",1069,"04103",10660
"1070",1070,"04105",2031
"1071",1071,"04106",7780
"1072",1072,"04107",1447
"1073",1073,"04108",138
"1074",1074,"04109",11
"1075",1075,"04110",190
"1076",1076,"04210",6579
"1077",1077,"04216",29
"1078",1078,"04217",564
"1079",1079,"04219",379
"1080",1080,"04220",876
"1081",1081,"04221",222
"1082",1082,"04222",854
"1083",1083,"04224",539
"1084",1084,"04226",36
"1085",1085,"04227",17
"1086",1086,"04228",0
"1087",1087,"04231",39
"1088",1088,"04234",0
"1089",1089,"04236",1121
"1090",1090,"04237",31
"1091",1091,"04238",543
"1092",1092,"04239",1127
"1093",1093,"04240",11303
"1094",1094,"04250",1012
"1095",1095,"04252",1313
"1096",1096,"04253",533
"1097",1097,"04254",772
"1098",1098,"04255",108
"1099",1099,"04256",665
"1100",1100,"04257",548
"1101",1101,"04258",510
"1102",1102,"04259",666
"1103",1103,"04260",1506
"1104",1104,"04261",75
"1105",1105,"04263",470
"1106",1106,"04265",248
"1107",1107,"04267",7
"1108",1108,"04268",1227
"1109",1109,"04270",1596
"1110",1110,"04271",0
"1111",1111,"04274",1344
"1112",1112,"04275",31
"1113",1113,"04276",1153
"1114",1114,"04280",1430
"1115",1115,"04281",1373
"1116",1116,"04282",1430
"1117",1117,"04284",153
"1118",1118,"04285",60
"1119",1119,"04286",24
"1120",1120,"04287",556
"1121",1121,"04289",524
"1122",1122,"04290",311
"1123",1123,"04292",222
"1124",1124,"04294",693
"1125",1125,"04330",6593
"1126",1126,"04342",399
"1127",1127,"04343",0
"1128",1128,"04344",609
"1129",1129,"04345",2982
"1130",1130,"04346",608
"1131",1131,"04347",738
"1132",1132,"04348",657
"1133",1133,"04349",214
"1134",1134,"04350",909
"1135",1135,"04351",628
"1136",1136,"04352",306
"1137",1137,"04353",527
"1138",1138,"04354",263
"1139",1139,"04355",606
"1140",1140,"04357",777
"1141",1141,"04358",945
"1142",1142,"04359",28
"1143",1143,"04360",113
"1144",1144,"04363",693
"1145",1145,"04364",1217
"1146",1146,"04401",14465
"1147",1147,"04406",82
"1148",1148,"04408",7
"1149",1149,"04410",260
"1150",1150,"04411",354
"1151",1151,"04412",2377
"1152",1152,"04413",21
"1153",1153,"04414",193
"1154",1154,"04415",88
"1155",1155,"04416",1349
"1156",1156,"04417",48
"1157",1157,"04418",420
"1158",1158,"04419",812
"1159",1159,"04421",707
"1160",1160,"04422",286
"1161",1161,"04424",131
"1162",1162,"04426",1016
"1163",1163,"04427",663
"1164",1164,"04428",581
"1165",1165,"04429",1027
"1166",1166,"04430",348
"1167",1167,"04431",0
"1168",1168,"04434",207
"1169",1169,"04435",185
"1170",1170,"04438",332
"1171",1171,"04441",269
"1172",1172,"04442",0
"1173",1173,"04443",454
"1174",1174,"04444",1985
"1175",1175,"04448",405
"1176",1176,"04449",353
