COUNTYFP,county,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
35033,"Mora County, New Mexico",4563,4550,3711,110,2.96,839,169,20.14,351,7.69
35045,"San Juan County, New Mexico",127455,125687,110394,3889,3.52,15293,2689,17.58,6314,4.95
28009,"Benton County, Mississippi",8253,8173,7095,166,2.34,1078,56,5.19,566,6.86
28037,"Franklin County, Mississippi",7757,7658,6814,13,0.19,844,50,5.92,311,4.01
28027,"Coahoma County, Mississippi",23802,23052,19600,383,1.95,3452,382,11.07,1370,5.76
28061,"Jasper County, Mississippi",16529,16457,14571,227,1.56,1886,45,2.39,965,5.84
28067,"Jones County, Mississippi",68454,66578,57705,1202,2.08,8873,1318,14.85,3349,4.89
28147,"Walthall County, Mississippi",14601,14468,12153,364,3.0,2315,174,7.52,1068,7.31
28095,"Monroe County, Mississippi",35840,35364,30100,597,1.98,5264,422,8.02,2037,5.68
02195,"Petersburg Borough, Alaska",3255,3178,2653,49,1.85,525,118,22.48,230,7.07
02158,"Kusilvak Census Area, Alaska",8198,7929,7579,430,5.67,350,73,20.86,212,2.59
04013,"Maricopa County, Arizona",4253913,4200536,3489426,113451,3.25,711110,186688,26.25,255342,6.0
04009,"Graham County, Arizona",37879,33671,29612,1123,3.79,4059,881,21.7,1358,3.59
04023,"Santa Cruz County, Arizona",46584,46169,41768,834,2.0,4401,597,13.57,1848,3.97
04012,"La Paz County, Arizona",20701,20489,15831,628,3.97,4658,1049,22.52,1926,9.3
04015,"Mohave County, Arizona",206064,202739,161929,6237,3.85,40810,9432,23.11,16220,7.87
04005,"Coconino County, Arizona",140217,126620,99261,2987,3.01,27359,9361,34.22,9588,6.84
04025,"Yavapai County, Arizona",224645,219674,175346,6087,3.47,44328,9033,20.38,15772,7.02
04011,"Greenlee County, Arizona",9504,9410,8461,324,3.83,949,103,10.85,566,5.96
04021,"Pinal County, Arizona",419721,393208,341021,11514,3.38,52187,10748,20.6,19996,4.76
05099,"Nevada County, Arkansas",8440,8257,7012,96,1.37,1245,116,9.32,588,6.97
05037,"Cross County, Arkansas",16998,16771,14348,314,2.19,2423,408,16.84,1014,5.97
05039,"Dallas County, Arkansas",7432,6734,5446,121,2.22,1288,168,13.04,519,6.98
05027,"Columbia County, Arkansas",23892,22115,18213,539,2.96,3902,699,17.91,1209,5.06
05125,"Saline County, Arkansas",118009,116707,102092,2868,2.81,14615,2397,16.4,5582,4.73
05141,"Van Buren County, Arkansas",16684,16488,14058,331,2.35,2430,289,11.89,977,5.86
05065,"Izard County, Arkansas",13559,12606,10735,157,1.46,1871,220,11.76,857,6.32
05063,"Independence County, Arkansas",37264,36194,31216,1088,3.49,4978,687,13.8,1990,5.34
05083,"Logan County, Arkansas",21757,21150,18311,487,2.66,2839,512,18.03,1126,5.18
05053,"Grant County, Arkansas",18086,17923,16024,503,3.14,1899,213,11.22,925,5.11
05047,"Franklin County, Arkansas",17780,17435,15021,259,1.72,2414,313,12.97,956,5.38
05109,"Pike County, Arkansas",10808,10622,9101,145,1.59,1521,160,10.52,608,5.63
05069,"Jefferson County, Arkansas",70424,64443,52337,1139,2.18,12106,1445,11.94,4908,6.97
05097,"Montgomery County, Arkansas",8993,8851,7633,197,2.58,1218,105,8.62,524,5.83
05127,"Scott County, Arkansas",10442,10381,8870,191,2.15,1511,195,12.91,617,5.91
05131,"Sebastian County, Arkansas",127461,125578,104303,2782,2.67,21275,3438,16.16,8622,6.76
05033,"Crawford County, Arkansas",62472,61872,54546,1203,2.21,7326,953,13.01,3052,4.89
05017,"Chicot County, Arkansas",10826,10109,8561,155,1.81,1548,76,4.91,633,5.85
05071,"Johnson County, Arkansas",26291,25513,21982,359,1.63,3531,552,15.63,1348,5.13
05077,"Lee County, Arkansas",9398,7758,6360,81,1.27,1398,157,11.23,550,5.85
29029,"Camden County, Missouri",45096,44555,38388,925,2.41,6167,1592,25.81,2116,4.69
29099,"Jefferson County, Missouri",223302,221128,192154,6524,3.4,28974,6052,20.89,11237,5.03
29143,"New Madrid County, Missouri",17811,17466,14446,502,3.48,3020,499,16.52,1235,6.93
29173,"Ralls County, Missouri",10217,10126,8918,364,4.08,1208,158,13.08,514,5.03
30017,"Custer County, Montana",11845,11388,9091,351,3.86,2297,479,20.85,848,7.16
30075,"Powder River County, Montana",1619,1571,1197,17,1.42,374,93,24.87,137,8.46
30085,"Roosevelt County, Montana",11228,10958,9487,288,3.04,1471,337,22.91,560,4.99
30051,"Liberty County, Montana",2280,2258,1913,58,3.03,345,36,10.43,152,6.67
30083,"Richland County, Montana",11360,11294,9251,264,2.85,2043,395,19.33,982,8.64
30101,"Toole County, Montana",4976,4248,3440,119,3.46,808,61,7.55,400,8.04
30019,"Daniels County, Montana",1753,1728,1363,33,2.42,365,25,6.85,171,9.75
30045,"Judith Basin County, Montana",1951,1948,1572,17,1.08,376,40,10.64,215,11.02
30023,"Deer Lodge County, Montana",9100,8105,6279,135,2.15,1826,177,9.69,801,8.8
30055,"McCone County, Montana",1630,1609,1358,6,0.44,251,16,6.37,143,8.77
30087,"Rosebud County, Montana",9250,9161,7915,170,2.15,1246,256,20.55,492,5.32
30021,"Dawson County, Montana",9191,8746,6711,183,2.73,2035,472,23.19,862,9.38
30007,"Broadwater County, Montana",5834,5791,4696,112,2.39,1095,233,21.28,463,7.94
30071,"Phillips County, Montana",4124,4048,3181,37,1.16,867,83,9.57,403,9.77
31009,"Blaine County, Nebraska",480,480,412,1,0.24,68,1,1.47,45,9.38
31049,"Deuel County, Nebraska",1894,1875,1552,45,2.9,323,52,16.1,98,5.17
31113,"Logan County, Nebraska",886,886,749,8,1.07,137,25,18.25,47,5.3
31169,"Thayer County, Nebraska",5098,4945,4063,33,0.81,882,87,9.86,425,8.34
31001,"Adams County, Nebraska",31583,29887,23888,653,2.73,5999,1045,17.42,2246,7.11
31011,"Boone County, Nebraska",5313,5205,4338,81,1.87,867,99,11.42,379,7.13
31149,"Rock County, Nebraska",1350,1290,1041,9,0.86,249,26,10.44,112,8.3
31163,"Sherman County, Nebraska",3042,2981,2377,35,1.47,604,100,16.56,286,9.4
31093,"Howard County, Nebraska",6405,6405,5384,42,0.78,1021,152,14.89,444,6.93
31073,"Gosper County, Nebraska",2015,1979,1635,18,1.1,344,50,14.53,108,5.36
47157,"Shelby County, Tennessee",937005,919409,758154,17617,2.32,161255,29779,18.47,61181,6.53
47077,"Henderson County, Tennessee",27859,27501,23104,672,2.91,4397,765,17.4,1691,6.07
47089,"Jefferson County, Tennessee",53247,51343,44010,1508,3.43,7333,1463,19.95,3031,5.69
47153,"Sequatchie County, Tennessee",14730,14498,12913,208,1.61,1585,318,20.06,630,4.28
47017,"Carroll County, Tennessee",28018,27102,22941,432,1.88,4161,535,12.86,1682,6.0
47037,"Davidson County, Tennessee",684017,662556,496748,14955,3.01,165808,43740,26.38,56386,8.24
47135,"Perry County, Tennessee",7912,7762,6719,179,2.66,1043,78,7.48,454,5.74
47121,"Meigs County, Tennessee",11962,11851,10006,382,3.82,1845,373,20.22,806,6.74
47075,"Haywood County, Tennessee",17779,17553,14961,249,1.66,2592,214,8.26,997,5.61
47125,"Montgomery County, Tennessee",196387,192753,166446,4305,2.59,26307,6320,24.02,9663,4.92
47061,"Grundy County, Tennessee",13331,13144,11608,298,2.57,1536,232,15.1,657,4.93
47029,"Cocke County, Tennessee",35336,35000,29073,780,2.68,5927,971,16.38,2460,6.96
47041,"DeKalb County, Tennessee",19601,19284,16478,377,2.29,2806,592,21.1,946,4.83
47101,"Lewis County, Tennessee",11956,11712,10131,183,1.81,1581,154,9.74,602,5.04
47131,"Obion County, Tennessee",30520,30036,25135,466,1.85,4901,720,14.69,1709,5.6
47167,"Tipton County, Tennessee",61446,60747,54744,1504,2.75,6003,1063,17.71,2236,3.64
47045,"Dyer County, Tennessee",37576,37014,31510,739,2.35,5504,1090,19.8,2017,5.37
47065,"Hamilton County, Tennessee",357546,345972,277798,5829,2.1,68174,12875,18.89,24546,6.87
47139,"Polk County, Tennessee",16782,16529,14085,209,1.48,2444,358,14.65,1053,6.27
47185,"White County, Tennessee",26580,26180,22679,475,2.09,3501,562,16.05,1092,4.11
47163,"Sullivan County, Tennessee",156734,154111,127591,2996,2.35,26520,3368,12.7,10501,6.7
36095,"Schoharie County, New York",31364,29935,23998,921,3.84,5937,1352,22.77,2366,7.54
36035,"Fulton County, New York",53743,52557,42212,2108,4.99,10345,2153,20.81,3905,7.27
36083,"Rensselaer County, New York",159431,153540,120913,4232,3.5,32627,7251,22.22,11696,7.34
36033,"Franklin County, New York",50692,44845,36614,1762,4.81,8231,1459,17.73,3166,6.25
36081,"Queens County, New York",2298513,2270642,1939634,71601,3.69,331008,80843,24.42,113514,4.94
36115,"Washington County, New York",61828,58586,48229,1854,3.84,10357,2261,21.83,3879,6.27
36061,"New York County, New York",1632480,1572775,994638,23797,2.39,578137,142852,24.71,193696,11.87
36011,"Cayuga County, New York",77868,73497,58994,2152,3.65,14503,2965,20.44,5938,7.63
36087,"Rockland County, New York",323686,317016,285498,6492,2.27,31518,6352,20.15,9806,3.03
36063,"Niagara County, New York",211704,207722,168064,4495,2.67,39658,6465,16.3,15709,7.42
36031,"Essex County, New York",37751,34859,28415,898,3.16,6444,988,15.33,2557,6.77
36059,"Nassau County, New York",1356564,1336458,1211175,27544,2.27,125283,21758,17.37,39980,2.95
36097,"Schuyler County, New York",17992,17737,14392,800,5.56,3345,720,21.52,1241,6.9
36017,"Chenango County, New York",48348,47662,38141,1569,4.11,9521,1767,18.56,4330,8.96
36045,"Jefferson County, New York",114448,108009,89867,2813,3.13,18142,3574,19.7,7543,6.59
36103,"Suffolk County, New York",1487901,1458166,1294825,40480,3.13,163341,32760,20.06,56312,3.78
36121,"Wyoming County, New York",40565,37617,30951,1195,3.86,6666,1270,19.05,2706,6.67
36075,"Oswego County, New York",119104,114244,93486,4263,4.56,20758,5367,25.86,7706,6.47
36117,"Wayne County, New York",90856,89109,74261,2357,3.17,14848,2816,18.97,5643,6.21
36007,"Broome County, New York",194402,184172,142760,4724,3.31,41412,9234,22.3,14794,7.61
36029,"Erie County, New York",919866,891858,697274,16753,2.4,194584,35673,18.33,71373,7.76
36105,"Sullivan County, New York",75211,71318,59450,2282,3.84,11868,1930,16.26,4818,6.41
05073,"Lafayette County, Arkansas",6915,6783,5538,131,2.37,1245,202,16.22,446,6.45
05107,"Phillips County, Arkansas",19034,18824,15626,277,1.77,3198,406,12.7,1457,7.65
05149,"Yell County, Arkansas",21573,21228,19010,542,2.85,2218,335,15.1,903,4.19
05011,"Bradley County, Arkansas",10948,10752,8812,201,2.28,1940,312,16.08,791,7.23
05113,"Polk County, Arkansas",20163,20039,16794,462,2.75,3245,557,17.16,1313,6.51
05103,"Ouachita County, Arkansas",24106,23719,19610,292,1.49,4109,373,9.08,1651,6.85
05081,"Little River County, Arkansas",12417,12253,9845,248,2.52,2408,258,10.71,1133,9.12
05091,"Miller County, Arkansas",43759,42402,35449,712,2.01,6953,1368,19.67,2687,6.14
05145,"White County, Arkansas",78804,74926,64308,1356,2.11,10618,1831,17.24,3830,4.86
06033,"Lake County, California",64148,63151,49559,2549,5.14,13592,2985,21.96,5278,8.23
29129,"Mercer County, Missouri",3664,3594,3045,67,2.2,549,49,8.93,191,5.21
29229,"Wright County, Missouri",18293,18100,15368,637,4.14,2732,326,11.93,1053,5.76
29047,"Clay County, Missouri",239164,236508,198371,5868,2.96,38137,8524,22.35,13516,5.65
29065,"Dent County, Missouri",15504,15293,12784,514,4.02,2509,296,11.8,1146,7.39
29195,"Saline County, Missouri",23102,21710,18010,662,3.68,3700,590,15.95,1535,6.64
29227,"Worth County, Missouri",2040,1994,1720,57,3.31,274,22,8.03,100,4.9
29079,"Grundy County, Missouri",10039,9714,7875,229,2.91,1839,342,18.6,746,7.43
29141,"Morgan County, Missouri",20137,19760,16403,521,3.18,3357,642,19.12,1306,6.49
29179,"Reynolds County, Missouri",6315,6105,5171,176,3.4,934,105,11.24,402,6.37
29189,"St. Louis County, Missouri",998684,979897,805405,16185,2.01,174492,29899,17.13,59663,5.97
29209,"Stone County, Missouri",31527,31081,26529,538,2.03,4552,876,19.24,1712,5.43
29009,"Barry County, Missouri",35493,35187,30631,1373,4.48,4556,781,17.14,1797,5.06
29019,"Boone County, Missouri",176515,167406,122788,3204,2.61,44618,15009,33.64,13288,7.53
29051,"Cole County, Missouri",76740,71959,58866,1787,3.04,13093,2455,18.75,4546,5.92
29055,"Crawford County, Missouri",24280,23813,19758,602,3.05,4055,737,18.18,1891,7.79
29093,"Iron County, Missouri",10221,9851,8142,215,2.64,1709,306,17.91,794,7.77
29117,"Livingston County, Missouri",15076,13679,11135,307,2.76,2544,485,19.06,966,6.41
29135,"Moniteau County, Missouri",15958,14598,12665,296,2.34,1933,415,21.47,751,4.71
29155,"Pemiscot County, Missouri",17031,16835,13930,530,3.8,2905,395,13.6,1238,7.27
29159,"Pettis County, Missouri",42371,41454,34932,1288,3.69,6522,1323,20.29,2529,5.97
29203,"Shannon County, Missouri",8246,8131,6688,251,3.75,1443,310,21.48,544,6.6
29175,"Randolph County, Missouri",24945,22694,19515,601,3.08,3179,395,12.43,1171,4.69
29069,"Dunklin County, Missouri",30428,29711,24386,835,3.42,5325,702,13.18,2094,6.88
29071,"Franklin County, Missouri",102781,101901,87303,2619,3.0,14598,2417,16.56,5846,5.69
29089,"Howard County, Missouri",10113,9349,7928,246,3.1,1421,304,21.39,500,4.94
29095,"Jackson County, Missouri",692003,680427,532577,16447,3.09,147850,30029,20.31,55133,7.97
29131,"Miller County, Missouri",25049,24700,21153,591,2.79,3547,489,13.79,1530,6.11
29171,"Putnam County, Missouri",4815,4728,4076,139,3.41,652,82,12.58,210,4.36
29213,"Taney County, Missouri",54720,52950,43988,1156,2.63,8962,1799,20.07,2855,5.22
29021,"Buchanan County, Missouri",89076,84934,68371,2441,3.57,16563,3499,21.13,6312,7.09
29025,"Caldwell County, Missouri",9049,8842,7330,273,3.72,1512,223,14.75,625,6.91
29037,"Cass County, Missouri",102678,101723,88700,2373,2.68,13023,2403,18.45,4696,4.57
29049,"Clinton County, Missouri",20475,20009,17285,705,4.08,2724,426,15.64,1099,5.37
29059,"Dallas County, Missouri",16499,16273,14143,238,1.68,2130,372,17.46,864,5.24
29085,"Hickory County, Missouri",9368,9280,7569,191,2.52,1711,228,13.33,752,8.03
29113,"Lincoln County, Missouri",55563,54807,48611,1808,3.72,6196,1503,24.26,2506,4.51
29137,"Monroe County, Missouri",8654,8512,7046,118,1.67,1466,239,16.3,671,7.75
29145,"Newton County, Missouri",58202,57154,49267,1282,2.6,7887,1237,15.68,3040,5.22
29163,"Pike County, Missouri",18489,16172,13242,394,2.98,2930,567,19.35,1206,6.52
29183,"St. Charles County, Missouri",389985,382467,332920,6478,1.95,49547,9186,18.54,17444,4.47
29031,"Cape Girardeau County, Missouri",78324,74928,58843,1508,2.56,16085,5352,33.27,4625,5.9
29205,"Shelby County, Missouri",6061,5786,4857,138,2.84,929,118,12.7,416,6.86
29225,"Webster County, Missouri",38082,37163,32654,1188,3.64,4509,776,17.21,1822,4.78
29005,"Atchison County, Missouri",5270,5157,3997,83,2.08,1160,127,10.95,538,10.21
29013,"Bates County, Missouri",16374,16040,13730,434,3.16,2310,253,10.95,916,5.59
29015,"Benton County, Missouri",18989,18743,15293,440,2.88,3450,593,17.19,1477,7.78
29035,"Carter County, Missouri",6197,6152,5205,181,3.48,947,163,17.21,364,5.87
29057,"Dade County, Missouri",7590,7429,6135,174,2.84,1294,320,24.73,542,7.14
29115,"Linn County, Missouri",12186,12020,10174,343,3.37,1846,159,8.61,712,5.84
29091,"Howell County, Missouri",40102,39546,33213,1328,4.0,6333,999,15.77,2588,6.45
29101,"Johnson County, Missouri",53689,49078,38944,906,2.33,10134,3247,32.04,3885,7.24
29105,"Laclede County, Missouri",35507,35129,30597,801,2.62,4532,744,16.42,1919,5.4
29125,"Maries County, Missouri",8884,8789,7334,184,2.51,1455,206,14.16,752,8.46
29161,"Phelps County, Missouri",44789,41707,32525,742,2.28,9182,2713,29.55,3436,7.67
29165,"Platte County, Missouri",98824,98035,81454,1887,2.32,16581,3751,22.62,6329,6.4
29187,"St. Francois County, Missouri",66342,59328,49032,1568,3.2,10296,1771,17.2,4169,6.28
29510,"St. Louis city, Missouri",311273,300862,207112,6006,2.9,93750,18088,19.29,37487,12.04
29003,"Andrew County, Missouri",17403,17211,14732,266,1.81,2479,482,19.44,853,4.9
29023,"Butler County, Missouri",42733,41690,35062,895,2.55,6628,1234,18.62,2293,5.37
48013,"Atascosa County, Texas",48828,48423,43903,1140,2.6,4520,626,13.85,1759,3.6
48353,"Nolan County, Texas",14966,14682,12619,453,3.59,2063,230,11.15,777,5.19
48229,"Hudspeth County, Texas",4098,3377,3081,18,0.58,296,47,15.88,127,3.1
48475,"Ward County, Texas",11586,11472,9956,157,1.58,1516,277,18.27,519,4.48
48203,"Harrison County, Texas",66645,65188,57560,1392,2.42,7628,1351,17.71,2878,4.32
48327,"Menard County, Texas",2123,2074,1634,19,1.16,440,31,7.05,214,10.08
48149,"Fayette County, Texas",25066,24582,21207,369,1.74,3375,658,19.5,1344,5.36
48491,"Williamson County, Texas",527057,522599,458061,12896,2.82,64538,16414,25.43,22557,4.28
48233,"Hutchinson County, Texas",21571,21436,18892,734,3.89,2544,404,15.88,1027,4.76
48343,"Morris County, Texas",12424,12272,10612,142,1.34,1660,67,4.04,729,5.87
48361,"Orange County, Texas",84047,83254,71662,2248,3.14,11592,2020,17.43,4690,5.58
48495,"Winkler County, Texas",7802,7703,6884,136,1.98,819,77,9.4,355,4.55
