GEOID,NAME,pop,minDist_SUT
2090000400,"Census Tract 4, Fairbanks North Star Borough, Alaska",4108,0.741456328
2090000900,"Census Tract 9, Fairbanks North Star Borough, Alaska",5983,6.995789731
2130000100,"Census Tract 1, Ketchikan Gateway Borough, Alaska",3560,32.68905706
2150000200,"Census Tract 2, Kodiak Island Borough, Alaska",7253,1.634733934
2020002702,"Census Tract 27.02, Anchorage Municipality, Alaska",9988,2.635576706
2170000200,"Census Tract 2, Matanuska-Susitna Borough, Alaska",2053,58.92603789
2240000100,"Census Tract 1, Southeast Fairbanks Census Area, Alaska",2232,38.77848355
2070000100,"Census Tract 1, Dillingham Census Area, Alaska",2660,56.3756766
2110000300,"Census Tract 3, Juneau City and Borough, Alaska",5925,1.042319715
2170001100,"Census Tract 11, Matanuska-Susitna Borough, Alaska",7003,2.426945353
2170001202,"Census Tract 12.02, Matanuska-Susitna Borough, Alaska",5667,2.01552354
2188000200,"Census Tract 2, Northwest Arctic Borough, Alaska",3288,18.64061566
2198000100,"Census Tract 1, Prince of Wales-Hyder Census Area, Alaska",2284,18.11766788
2110000400,"Census Tract 4, Juneau City and Borough, Alaska",5052,2.435104482
2122000500,"Census Tract 5, Kenai Peninsula Borough, Alaska",7265,1.669284061
2105000200,"Census Tract 2, Hoonah-Angoon Census Area, Alaska",47,19.37619726
2020000300,"Census Tract 3, Anchorage Municipality, Alaska",8693,3.485506636
2020000600,"Census Tract 6, Anchorage Municipality, Alaska",6616,1.046410055
2020000801,"Census Tract 8.01, Anchorage Municipality, Alaska",7163,0.451715592
2020000902,"Census Tract 9.02, Anchorage Municipality, Alaska",2914,0.93725891
2020001400,"Census Tract 14, Anchorage Municipality, Alaska",5047,0.311191943
2020001602,"Census Tract 16.02, Anchorage Municipality, Alaska",4450,0.706212999
2020002301,"Census Tract 23.01, Anchorage Municipality, Alaska",7307,1.887915021
2020002502,"Census Tract 25.02, Anchorage Municipality, Alaska",5089,0.366290439
2020001702,"Census Tract 17.02, Anchorage Municipality, Alaska",4975,1.484879514
2020001900,"Census Tract 19, Anchorage Municipality, Alaska",3584,0.383622864
2020002100,"Census Tract 21, Anchorage Municipality, Alaska",3429,1.101743483
2020002601,"Census Tract 26.01, Anchorage Municipality, Alaska",5408,0.656923272
2020002711,"Census Tract 27.11, Anchorage Municipality, Alaska",6963,3.385740228
2020002712,"Census Tract 27.12, Anchorage Municipality, Alaska",9313,1.549335061
2020002822,"Census Tract 28.22, Anchorage Municipality, Alaska",3872,2.934650945
2090000100,"Census Tract 1, Fairbanks North Star Borough, Alaska",1287,0.155062037
2090000300,"Census Tract 3, Fairbanks North Star Borough, Alaska",4329,0.753463187
2090000500,"Census Tract 5, Fairbanks North Star Borough, Alaska",2750,0.615586186
2090001800,"Census Tract 18, Fairbanks North Star Borough, Alaska",3162,32.22533854
2090000600,"Census Tract 6, Fairbanks North Star Borough, Alaska",4371,0.815895866
2090001300,"Census Tract 13, Fairbanks North Star Borough, Alaska",6910,2.647419115
2090001500,"Census Tract 15, Fairbanks North Star Borough, Alaska",11013,14.09391585
2020000102,"Census Tract 1.02, Anchorage Municipality, Alaska",5439,5.989496304
2020000203,"Census Tract 2.03, Anchorage Municipality, Alaska",11793,1.58597392
2170001003,"Census Tract 10.03, Matanuska-Susitna Borough, Alaska",4377,1.665434731
2170000501,"Census Tract 5.01, Matanuska-Susitna Borough, Alaska",1479,9.708100756
2122000600,"Census Tract 6, Kenai Peninsula Borough, Alaska",7687,0.966014937
2130000200,"Census Tract 2, Ketchikan Gateway Borough, Alaska",4866,1.037368533
2130000300,"Census Tract 3, Ketchikan Gateway Borough, Alaska",3039,0.487348271
2110000100,"Census Tract 1, Juneau City and Borough, Alaska",4801,25.13337408
2020002201,"Census Tract 22.01, Anchorage Municipality, Alaska",5261,2.097442028
2150000100,"Census Tract 1, Kodiak Island Borough, Alaska",1864,52.35109132
2150000400,"Census Tract 4, Kodiak Island Borough, Alaska",793,0.776953553
2170000601,"Census Tract 6.01, Matanuska-Susitna Borough, Alaska",5578,3.956064926
2170000701,"Census Tract 7.01, Matanuska-Susitna Borough, Alaska",3250,7.758919835
2170000800,"Census Tract 8, Matanuska-Susitna Borough, Alaska",5917,1.208741632
2020001732,"Census Tract 17.32, Anchorage Municipality, Alaska",6319,2.785566323
2020000901,"Census Tract 9.01, Anchorage Municipality, Alaska",5023,0.891621505
2090000700,"Census Tract 7, Fairbanks North Star Borough, Alaska",4114,2.184829941
2122000700,"Census Tract 7, Kenai Peninsula Borough, Alaska",10079,11.97705597
2150000500,"Census Tract 5, Kodiak Island Borough, Alaska",1354,6.370760363
2170000603,"Census Tract 6.03, Matanuska-Susitna Borough, Alaska",7671,8.260727914
2170001201,"Census Tract 12.01, Matanuska-Susitna Borough, Alaska",6026,1.468315238
2020002501,"Census Tract 25.01, Anchorage Municipality, Alaska",5361,1.100412143
2020002823,"Census Tract 28.23, Anchorage Municipality, Alaska",5384,6.141946143
2068000100,"Census Tract 1, Denali Borough, Alaska",2232,67.97147222
2090000800,"Census Tract 8, Fairbanks North Star Borough, Alaska",5473,2.944035757
2020001200,"Census Tract 12, Anchorage Municipality, Alaska",3904,0.775388322
2020001100,"Census Tract 11, Anchorage Municipality, Alaska",938,0.911532389
2020002400,"Census Tract 24, Anchorage Municipality, Alaska",2896,0.979287053
2020002812,"Census Tract 28.12, Anchorage Municipality, Alaska",7910,0.849427446
2020000500,"Census Tract 5, Anchorage Municipality, Alaska",1951,1.131366753
2090001000,"Census Tract 10, Fairbanks North Star Borough, Alaska",1450,2.46713618
2090001600,"Census Tract 16, Fairbanks North Star Borough, Alaska",4755,11.45729429
2230000100,"Census Tract 1, Skagway Municipality, Alaska",1061,23.08503128
2122001000,"Census Tract 10, Kenai Peninsula Borough, Alaska",4455,0.634504244
2150000300,"Census Tract 3, Kodiak Island Borough, Alaska",2385,2.920668535
2170000300,"Census Tract 3, Matanuska-Susitna Borough, Alaska",7086,9.86969807
2130000400,"Census Tract 4, Ketchikan Gateway Borough, Alaska",2339,3.964160099
2020000204,"Census Tract 2.04, Anchorage Municipality, Alaska",3415,12.55526976
2020001300,"Census Tract 13, Anchorage Municipality, Alaska",3127,1.619258016
2185000100,"Census Tract 1, North Slope Borough, Alaska",4452,4.830159606
2060000100,"Census Tract 1, Bristol Bay Borough, Alaska",890,67.98146306
2090001200,"Census Tract 12, Fairbanks North Star Borough, Alaska",7869,4.93638053
2170000706,"Census Tract 7.06, Matanuska-Susitna Borough, Alaska",6515,6.71248547
2275000300,"Census Tract 3, Wrangell City and Borough, Alaska",2484,16.80533114
