STATEFP,state.abb,state.name,State Death Cases_2014,State Death Rate_2014,Male Death Cases_2014,Male Death Rate_2014,Female Death Cases_2014,Female Death Rate_2014,American Indian/Alaska Native Death Cases_2014,American Indian/Alaska Native Death Rate_2014,Asian or Pacific Islander Death Cases_2014,Asian or Pacific Islander Death Rate_2014,Black Death Cases_2014,Black Death Rate_2014,Hispanic Death Cases_2014,Hispanic Death Rate_2014,White Death Cases_2014,White Death Rate_2014,Age Less than 50 Death Cases_2014,Age Less than 50 Death Rate_2014,Age 50-74 Death Cases_2014,Age 50-74 Death Rate_2014,Age 75 Plus Death Cases_2014,Age 75 Plus Death Rate_2014,State Death Cases_2015,State Death Rate_2015,Male Death Cases_2015,Male Death Rate_2015,Female Death Cases_2015,Female Death Rate_2015,American Indian/Alaska Native Death Cases_2015,American Indian/Alaska Native Death Rate_2015,Asian or Pacific Islander Death Cases_2015,Asian or Pacific Islander Death Rate_2015,Black Death Cases_2015,Black Death Rate_2015,Hispanic Death Cases_2015,Hispanic Death Rate_2015,White Death Cases_2015,White Death Rate_2015,Age Less than 50 Death Cases_2015,Age Less than 50 Death Rate_2015,Age 50-74 Death Cases_2015,Age 50-74 Death Rate_2015,Age 75 Plus Death Cases_2015,Age 75 Plus Death Rate_2015,State Death Cases_2016,State Death Rate_2016,Male Death Cases_2016,Male Death Rate_2016,Female Death Cases_2016,Female Death Rate_2016,American Indian/Alaska Native Death Cases_2016,American Indian/Alaska Native Death Rate_2016,Asian or Pacific Islander Death Cases_2016,Asian or Pacific Islander Death Rate_2016,Black Death Cases_2016,Black Death Rate_2016,Hispanic Death Cases_2016,Hispanic Death Rate_2016,White Death Cases_2016,White Death Rate_2016,Age Less than 50 Death Cases_2016,Age Less than 50 Death Rate_2016,Age 50-74 Death Cases_2016,Age 50-74 Death Rate_2016,Age 75 Plus Death Cases_2016,Age 75 Plus Death Rate_2016,State Death Cases_2017,State Death Rate_2017,Male Death Cases_2017,Male Death Rate_2017,Female Death Cases_2017,Female Death Rate_2017,American Indian/Alaska Native Death Cases_2017,American Indian/Alaska Native Death Rate_2017,Asian or Pacific Islander Death Cases_2017,Asian or Pacific Islander Death Rate_2017,Black Death Cases_2017,Black Death Rate_2017,Hispanic Death Cases_2017,Hispanic Death Rate_2017,White Death Cases_2017,White Death Rate_2017,Age Less than 50 Death Cases_2017,Age Less than 50 Death Rate_2017,Age 50-74 Death Cases_2017,Age 50-74 Death Rate_2017,Age 75 Plus Death Cases_2017,Age 75 Plus Death Rate_2017
13,GA,Georgia,426,4,304,6,122,2,-1,-1,-1,-1,151,5,10,1,261,5,24,1,372,14,10,3,396,4,277,6,119,2,-1,-1,-1,-1,133,4,-1,-1,249,5,30,1,343,13,-1,-1,368,4,264,5,104,2,-1,-1,-1,-1,119,4,-1,-1,240,4,17,1,320,11,13,3,344,3,242,5,102,2,-1,-1,-1,-1,122,4,-1,-1,213,4,11,1,308,11,11,3
15,HI,Hawaii,87,6,61,9,26,4,-1,-1,33,4,-1,-1,-1,-1,38,10,-1,-1,68,17,-1,-1,68,5,51,7,17,2,-1,-1,23,3,-1,-1,-1,-1,32,8,-1,-1,44,11,-1,-1,70,5,53,7,17,2,-1,-1,24,3,-1,-1,10,7,28,8,-1,-1,48,12,-1,-1,67,5,47,7,20,3,-1,-1,17,5,-1,-1,-1,-1,36,10,-1,-1,45,11,-1,-1
16,ID,Idaho,110,7,88,11,22,3,-1,-1,-1,-1,-1,-1,12,6,95,7,-1,-1,90,20,-1,-1,99,6,77,9,22,3,-1,-1,-1,-1,-1,-1,-1,-1,86,6,-1,-1,90,20,-1,-1,115,7,74,9,41,5,-1,-1,-1,-1,-1,-1,-1,-1,104,7,-1,-1,90,19,-1,-1,84,5,60,7,24,3,-1,-1,-1,-1,-1,-1,-1,-1,75,5,-1,-1,60,13,-1,-1
17,IL,Illinois,364,3,259,4,105,2,-1,-1,-1,-1,98,5,29,1,230,3,-1,-1,298,8,38,7,399,3,281,5,118,2,-1,-1,-1,-1,92,5,32,2,265,3,19,1,318,9,50,9,354,3,259,4,95,2,-1,-1,-1,-1,108,6,40,2,200,3,-1,-1,300,8,20,4,288,2,199,3,89,1,-1,-1,-1,-1,90,5,22,1,169,2,-1,-1,242,7,20,4
18,IN,Indiana,263,4,193,6,70,2,-1,-1,-1,-1,49,8,12,3,198,4,13,1,229,12,-1,-1,270,4,198,6,72,2,-1,-1,-1,-1,52,8,-1,-1,209,4,-1,-1,235,13,-1,-1,295,4,208,6,87,3,-1,-1,-1,-1,48,7,13,3,230,4,25,1,249,13,-1,-1,269,4,189,6,80,2,-1,-1,-1,-1,54,8,-1,-1,207,4,-1,-1,232,12,-1,-1
19,IA,Iowa,112,4,82,5,30,2,-1,-1,-1,-1,-1,-1,-1,-1,95,4,-1,-1,79,9,-1,-1,125,4,89,6,36,2,-1,-1,-1,-1,11,1,-1,-1,106,4,-1,-1,100,11,-1,-1,109,4,80,5,29,2,-1,-1,-1,-1,-1,-1,-1,-1,97,4,-1,-1,95,11,-1,-1,122,4,91,6,31,2,-1,-1,-1,-1,16,1,-1,-1,102,4,-1,-1,106,12,-1,-1
20,KS,Kansas,126,4,88,6,38,3,-1,-1,-1,-1,18,1,-1,-1,99,4,-1,-1,101,13,-1,-1,141,5,96,7,45,3,-1,-1,-1,-1,15,1,-1,-1,115,5,-1,-1,114,14,-1,-1,148,5,107,7,41,3,-1,-1,-1,-1,13,1,11,3,118,5,-1,-1,126,16,-1,-1,141,5,100,7,41,3,-1,-1,-1,-1,17,1,-1,-1,108,5,-1,-1,121,15,-1,-1
21,KY,Kentucky,250,6,174,8,76,3,-1,-1,-1,-1,20,5,-1,-1,227,6,20,1,198,15,-1,-1,270,6,182,8,88,4,-1,-1,-1,-1,21,6,-1,-1,248,7,39,1,203,16,-1,-1,269,6,184,8,85,4,-1,-1,-1,-1,28,7,-1,-1,239,6,45,2,193,15,-1,-1,306,7,215,10,91,4,-1,-1,-1,-1,35,9,-1,-1,266,7,45,2,238,18,-1,-1
22,LA,Louisiana,400,9,284,13,116,5,-1,-1,-1,-1,171,11,-1,-1,218,8,29,1,322,25,13,7,396,9,296,13,100,4,-1,-1,-1,-1,164,11,10,4,217,8,32,1,331,25,-1,-1,383,8,263,12,120,5,-1,-1,-1,-1,154,10,-1,-1,219,8,20,1,327,25,-1,-1,382,8,279,12,103,4,-1,-1,-1,-1,166,11,-1,-1,199,7,12,1,328,25,15,7
23,ME,Maine,59,4,47,7,12,2,-1,-1,-1,-1,-1,-1,-1,-1,57,5,-1,-1,35,8,-1,-1,57,4,51,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,4,-1,-1,37,8,-1,-1,40,3,29,4,11,2,-1,-1,-1,-1,-1,-1,-1,-1,35,3,-1,-1,14,3,-1,-1,32,2,29,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,2,-1,-1,-1,-1,-1,-1
24,MD,Maryland,335,6,235,8,100,3,-1,-1,-1,-1,184,10,-1,-1,139,4,13,1,292,17,-1,-1,366,6,280,10,86,3,-1,-1,-1,-1,220,12,-1,-1,137,4,14,1,322,19,-1,-1,327,5,242,8,85,3,-1,-1,-1,-1,169,9,-1,-1,144,5,25,1,269,15,13,5,340,6,258,9,82,3,-1,-1,-1,-1,178,10,-1,-1,152,5,27,1,277,16,15,6
25,MA,Massachusetts,303,5,217,7,86,3,-1,-1,-1,-1,21,4,35,5,233,5,35,1,231,12,14,5,317,5,229,7,88,3,-1,-1,-1,-1,48,10,50,7,201,4,39,1,248,12,-1,-1,261,4,187,6,74,2,-1,-1,-1,-1,32,6,39,5,175,4,15,1,214,11,-1,-1,267,4,191,6,76,2,-1,-1,-1,-1,44,8,41,5,167,3,16,1,215,10,-1,-1
26,MI,Michigan,511,5,361,7,150,3,-1,-1,-1,-1,172,12,23,5,309,4,34,1,439,15,27,6,512,5,363,7,149,3,-1,-1,-1,-1,160,11,24,5,318,4,20,1,431,14,40,9,415,4,283,6,132,3,-1,-1,-1,-1,124,9,20,4,261,3,14,1,364,12,-1,-1,368,4,256,5,112,2,-1,-1,-1,-1,115,8,17,3,227,3,-1,-1,328,11,11,2
27,MN,Minnesota,245,5,161,6,84,3,13,1,-1,-1,43,13,10,4,171,4,10,1,208,13,-1,-1,234,4,184,7,50,2,16,1,-1,-1,35,10,12,4,162,4,12,1,197,13,-1,-1,240,4,176,6,64,2,16,1,-1,-1,36,10,15,5,164,4,-1,-1,212,13,-1,-1,235,4,167,6,68,2,15,1,12,1,43,11,-1,-1,158,4,-1,-1,207,13,-1,-1
28,MS,Mississippi,171,6,126,9,45,3,-1,-1,-1,-1,42,4,-1,-1,127,7,-1,-1,130,16,-1,-1,162,5,111,8,51,3,-1,-1,-1,-1,32,3,-1,-1,125,7,12,1,123,15,-1,-1,183,6,127,9,56,4,-1,-1,-1,-1,48,4,-1,-1,134,8,11,1,151,18,-1,-1,159,5,113,8,46,3,-1,-1,-1,-1,43,4,-1,-1,114,7,10,1,131,15,-1,-1
29,MO,Missouri,314,5,231,8,83,3,-1,-1,-1,-1,60,8,13,5,236,5,17,1,255,15,13,5,275,5,203,7,72,2,-1,-1,-1,-1,61,8,-1,-1,210,4,10,1,242,14,10,4,258,4,193,7,65,2,-1,-1,-1,-1,54,7,-1,-1,193,4,-1,-1,223,12,-1,-1,247,4,176,6,71,2,-1,-1,-1,-1,51,7,-1,-1,183,4,14,1,214,12,-1,-1
30,MT,Montana,55,5,40,8,15,3,-1,-1,-1,-1,-1,-1,-1,-1,41,5,-1,-1,36,11,-1,-1,77,8,57,11,20,4,15,2,-1,-1,-1,-1,-1,-1,57,6,-1,-1,57,17,-1,-1,75,7,52,10,23,4,19,2,-1,-1,-1,-1,-1,-1,49,5,11,2,43,13,-1,-1,68,7,42,8,26,5,20,29,-1,-1,-1,-1,-1,-1,45,5,-1,-1,49,15,-1,-1
31,NE,Nebraska,77,4,49,5,28,3,-1,-1,-1,-1,12,1,-1,-1,57,4,10,1,49,10,-1,-1,82,4,57,6,25,3,-1,-1,-1,-1,-1,-1,-1,-1,68,4,-1,-1,43,8,-1,-1,78,4,60,6,18,2,-1,-1,-1,-1,16,1,-1,-1,56,4,-1,-1,55,11,-1,-1,79,4,51,5,28,3,-1,-1,-1,-1,17,1,-1,-1,54,4,-1,-1,67,13,-1,-1
32,NV,Nevada,181,6,119,8,62,4,-1,-1,-1,-1,17,1,24,3,133,9,-1,-1,142,18,-1,-1,173,6,129,9,44,3,-1,-1,-1,-1,12,1,21,3,135,9,-1,-1,139,17,-1,-1,181,6,126,9,55,4,-1,-1,-1,-1,17,1,16,2,137,9,-1,-1,148,18,11,9,153,5,108,7,45,3,-1,-1,-1,-1,20,7,23,3,99,7,-1,-1,127,15,-1,-1
33,NH,New Hampshire,62,5,50,8,12,2,-1,-1,-1,-1,-1,-1,-1,-1,61,5,-1,-1,47,11,-1,-1,65,5,44,7,21,3,-1,-1,-1,-1,-1,-1,-1,-1,61,5,-1,-1,50,11,-1,-1,68,5,54,8,14,2,-1,-1,-1,-1,-1,-1,-1,-1,63,5,-1,-1,48,11,-1,-1,57,4,48,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,5,-1,-1,31,7,-1,-1
34,NJ,New Jersey,446,5,325,8,121,3,-1,-1,-1,-1,115,10,57,3,268,5,25,1,372,14,30,8,400,5,271,6,129,3,-1,-1,-1,-1,124,10,46,3,223,4,19,1,316,12,40,10,378,4,278,6,100,2,-1,-1,-1,-1,128,11,52,3,192,4,19,1,320,12,11,3,342,4,236,5,106,2,-1,-1,-1,-1,102,9,55,3,180,4,10,1,280,10,28,7
35,NM,New Mexico,205,10,156,15,49,5,11,1,-1,-1,-1,-1,116,12,68,8,18,1,156,26,-1,-1,195,9,148,14,47,5,15,2,-1,-1,-1,-1,99,10,72,9,26,2,153,25,-1,-1,203,10,141,14,62,6,13,2,-1,-1,-1,-1,116,12,65,8,25,2,153,25,-1,-1,175,8,143,14,32,3,-1,-1,-1,-1,-1,-1,99,10,64,8,11,1,142,23,-1,-1
36,NY,New York,1092,6,745,8,347,3,-1,-1,27,2,275,9,287,8,471,4,74,1,871,16,128,15,979,5,701,7,278,3,-1,-1,25,1,243,8,247,7,424,4,51,1,812,14,99,11,789,4,543,6,246,2,-1,-1,26,2,177,6,216,6,327,3,37,1,664,12,75,9,701,4,495,5,206,2,-1,-1,17,1,178,6,183,5,287,3,36,1,557,10,96,10
37,NC,North Carolina,495,5,360,7,135,3,-1,-1,-1,-1,151,7,19,2,312,5,42,1,410,15,10,2,532,5,383,8,149,3,-1,-1,-1,-1,163,7,-1,-1,346,5,53,1,455,16,-1,-1,511,5,357,7,154,3,10,1,-1,-1,121,5,12,1,363,6,22,1,448,15,11,2,460,5,330,7,130,3,11,1,-1,-1,104,5,-1,-1,329,5,17,1,409,14,-1,-1
38,ND,North Dakota,24,3,17,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,3,-1,-1,-1,-1,-1,-1,32,4,26,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,4,-1,-1,12,6,-1,-1,20,3,13,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,2,-1,-1,-1,-1,-1,-1,23,3,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,2,-1,-1,-1,-1,-1,-1
39,OH,Ohio,567,5,409,7,158,3,-1,-1,-1,-1,140,9,14,3,407,4,38,1,478,14,25,5,559,5,394,7,165,3,-1,-1,-1,-1,154,10,13,3,387,4,34,1,472,14,35,6,546,5,384,7,162,3,-1,-1,-1,-1,139,9,-1,-1,393,4,50,1,443,13,28,5,541,5,403,7,138,2,-1,-1,-1,-1,148,10,-1,-1,381,4,40,1,459,13,12,2
40,OK,Oklahoma,523,14,356,19,167,9,57,16,-1,-1,37,11,18,5,406,15,55,2,429,40,13,8,510,13,342,18,168,9,68,18,-1,-1,42,13,13,3,382,14,52,2,422,39,14,8,538,14,356,18,182,9,51,14,-1,-1,38,12,22,5,424,16,50,2,456,42,12,7,555,14,375,19,180,9,59,16,-1,-1,61,18,25,6,405,15,71,3,446,41,19,11
41,OR,Oregon,563,14,397,20,166,8,10,1,-1,-1,12,1,27,5,498,16,47,2,482,41,16,9,514,13,390,20,124,6,12,1,10,1,20,21,27,5,442,14,35,1,434,36,19,10,491,12,350,17,141,7,10,1,-1,-1,12,1,23,4,430,13,22,1,438,36,13,7,518,13,367,18,151,7,11,1,10,1,21,20,18,3,457,14,30,1,442,36,12,6
42,PA,Pennsylvania,629,5,451,7,178,3,-1,-1,-1,-1,170,12,44,5,405,4,44,1,533,14,30,5,726,6,532,9,194,3,-1,-1,-1,-1,197,14,55,6,456,5,44,1,627,16,29,4,564,4,401,6,163,3,-1,-1,-1,-1,140,10,48,5,365,4,48,1,472,12,19,3,563,4,412,7,151,2,-1,-1,-1,-1,149,10,37,4,362,4,21,1,473,12,34,5
44,RI,Rhode Island,104,10,69,14,35,6,-1,-1,-1,-1,-1,-1,11,7,81,10,-1,-1,74,24,-1,-1,97,9,71,14,26,5,-1,-1,-1,-1,-1,-1,10,7,75,10,10,2,71,22,-1,-1,89,8,71,14,18,3,-1,-1,-1,-1,12,2,11,7,65,8,-1,-1,69,22,-1,-1,76,7,49,10,27,5,-1,-1,-1,-1,-1,-1,-1,-1,61,8,-1,-1,58,18,-1,-1
45,SC,South Carolina,271,6,210,9,61,3,-1,-1,-1,-1,88,7,-1,-1,179,6,12,1,234,16,-1,-1,294,6,215,9,79,3,-1,-1,-1,-1,84,6,-1,-1,202,6,19,1,244,17,-1,-1,299,6,219,9,80,3,-1,-1,-1,-1,105,8,-1,-1,188,6,10,1,263,17,-1,-1,302,6,217,9,85,3,-1,-1,-1,-1,89,6,-1,-1,211,7,16,1,264,17,-1,-1
46,SD,South Dakota,31,4,22,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,4,-1,-1,-1,-1,-1,-1,35,4,28,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,4,-1,-1,21,9,-1,-1,37,4,28,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,4,-1,-1,10,4,-1,-1,29,3,21,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,3,-1,-1,-1,-1,-1,-1
47,TN,Tennessee,554,9,400,13,154,5,-1,-1,-1,-1,115,10,-1,-1,433,9,50,1,454,24,22,8,592,9,429,13,163,5,-1,-1,-1,-1,125,11,-1,-1,457,9,64,2,493,26,11,4,482,7,334,10,148,4,-1,-1,-1,-1,105,9,-1,-1,365,7,63,1,387,20,12,4,469,7,319,10,150,4,-1,-1,-1,-1,97,8,-1,-1,360,7,56,1,375,19,10,3
48,TX,Texas,1860,7,1358,10,502,4,-1,-1,28,2,329,10,517,5,970,8,201,1,1532,23,114,13,1996,7,1450,11,546,4,-1,-1,26,2,341,10,575,5,1037,9,182,1,1647,24,150,16,1886,7,1366,10,520,4,-1,-1,31,2,369,11,483,4,988,8,169,1,1591,23,118,12,1888,7,1364,10,524,4,-1,-1,35,2,326,9,530,5,980,8,143,1,1602,23,132,13
49,UT,Utah,91,3,72,5,19,1,-1,-1,-1,-1,-1,-1,12,3,78,3,-1,-1,66,11,-1,-1,98,3,70,5,28,2,-1,-1,-1,-1,-1,-1,18,4,74,3,-1,-1,79,13,-1,-1,85,3,61,4,24,2,-1,-1,-1,-1,-1,-1,14,3,63,3,-1,-1,59,9,-1,-1,68,2,52,3,16,1,-1,-1,-1,-1,-1,-1,11,3,52,2,-1,-1,35,5,-1,-1
50,VT,Vermont,33,5,23,7,10,3,-1,-1,-1,-1,-1,-1,-1,-1,33,6,-1,-1,12,6,-1,-1,43,7,25,8,18,6,-1,-1,-1,-1,-1,-1,-1,-1,39,7,-1,-1,12,6,-1,-1,35,6,28,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,5,-1,-1,11,5,-1,-1,40,6,32,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,7,-1,-1,13,6,-1,-1
51,VA,Virginia,335,4,243,6,92,2,-1,-1,10,1,101,6,-1,-1,215,4,20,1,291,12,-1,-1,330,4,243,6,87,2,-1,-1,-1,-1,118,7,-1,-1,198,4,15,1,287,12,11,3,327,4,233,6,94,2,-1,-1,-1,-1,105,6,-1,-1,204,4,17,1,293,12,-1,-1,290,3,226,5,64,2,-1,-1,10,1,96,6,-1,-1,173,3,13,1,252,10,-1,-1
53,WA,Washington,644,9,438,12,206,6,27,25,25,4,38,12,41,5,510,10,34,1,546,27,34,12,651,9,462,13,189,5,21,19,27,4,48,15,37,4,516,10,25,1,568,28,46,16,517,7,354,10,163,5,24,22,24,3,38,11,27,3,401,8,17,1,453,22,26,9,528,7,375,10,153,4,26,23,17,1,39,11,35,4,409,8,17,1,472,22,12,4
54,WV,West Virginia,110,6,84,9,26,3,-1,-1,-1,-1,-1,-1,-1,-1,100,6,11,1,71,12,-1,-1,107,6,80,9,27,3,-1,-1,-1,-1,12,1,-1,-1,94,6,11,1,78,13,-1,-1,118,6,91,10,27,3,-1,-1,-1,-1,12,1,-1,-1,103,6,-1,-1,87,15,-1,-1,116,6,82,9,34,4,-1,-1,-1,-1,-1,-1,-1,-1,106,6,-1,-1,89,15,-1,-1
55,WI,Wisconsin,205,4,142,5,63,2,-1,-1,-1,-1,51,13,-1,-1,138,3,11,1,171,10,-1,-1,208,4,145,5,63,2,-1,-1,-1,-1,47,12,13,3,146,3,-1,-1,171,10,12,5,214,4,147,5,67,2,-1,-1,-1,-1,52,13,13,3,144,3,-1,-1,183,10,-1,-1,145,3,110,4,35,1,-1,-1,-1,-1,31,8,-1,-1,97,2,-1,-1,124,7,-1,-1
56,WY,Wyoming,36,6,25,8,11,4,-1,-1,-1,-1,-1,-1,-1,-1,32,6,-1,-1,13,8,-1,-1,30,5,21,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,5,-1,-1,10,6,-1,-1,38,7,27,9,11,4,-1,-1,-1,-1,-1,-1,-1,-1,31,6,-1,-1,13,8,-1,-1,41,7,22,7,19,7,-1,-1,-1,-1,-1,-1,-1,-1,35,7,-1,-1,21,12,-1,-1
