"","COUNTYFP","YFips","Year","State","CountyName","TtlPrPpr","FmlPrPpr","MlPrPpr","AapiPrPpr","BlckPrPpr","LtnxPrPpr","NtvPrPpr","WhtPrPpr","TtlPrAPpr","FmlPrAPpr","MlPrAPpr","AapiPrAPpr","BlckPrAPpr","LtnxPrAPpr","NtvPrAPpr","WhtPrAPpr"
"33","01065",201601065,2016,"AL","Hale County",323.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","01067",201601067,2016,"AL","Henry County",951.38,167.66,1769.4,0,1933.98,0,0,589.23,266.39,NA,NA,NA,NA,NA,NA,NA
"35","01069",201601069,2016,"AL","Houston County",1519.56,228.32,2913.02,0,3417.25,0,0,821.37,516.02,193.64,863.92,NA,990.89,NA,NA,350.42
"36","01071",201601071,2016,"AL","Jackson County",488.91,66.06,916.04,0,2159.47,0,0,450.66,334.99,90.08,582.38,0,996.68,0,0,328.05
"37","01073",201601073,2016,"AL","Jefferson County",866.43,76.99,1731.28,0,1542,0,0,361.77,282.45,73.47,511.38,0,407.73,0,0,200.88
"38","01075",201601075,2016,"AL","Lamar County",576.27,93.61,1063.83,0,794.44,0,0,559.42,435.14,117.01,756.5,0,1092.35,0,0,354.76
"39","01077",201601077,2016,"AL","Lauderdale County",535.36,97.72,1000.52,0,1436.29,0,0,444.76,280.27,81.43,491.6,0,540.54,0,0,259.77
"40","01079",201601079,2016,"AL","Lawrence County",837.74,230.86,1461.38,0,1495.64,0,0,846.15,538.21,240.1,844.56,NA,664.73,NA,NA,579.88
"41","01081",201601081,2016,"AL","Lee County",590.97,87.34,1104.64,0,1541.89,0,0,325.44,284.9,92.58,481.05,0,559.31,0,0,216.1
"42","01083",201601083,2016,"AL","Limestone County",274.68,59.71,478.85,0,579.15,0,0,242.54,98.56,36.49,157.52,0,96.53,0,0,108.72
"43","01085",201601085,2016,"AL","Lowndes County",892.58,NA,NA,NA,NA,NA,NA,NA,400.12,0,834.14,NA,472.38,NA,NA,NA
"44","01087",201601087,2016,"AL","Macon County",1175.74,159.05,2362.07,NA,1318.54,NA,NA,558.38,295.88,NA,NA,NA,NA,NA,NA,NA
"45","01089",201601089,2016,"AL","Madison County",673.2,83.6,1278.76,NA,1575.58,NA,NA,391.69,301.92,63.93,546.36,NA,673.66,NA,NA,185.97
"46","01091",201601091,2016,"AL","Marengo County",618.81,NA,NA,NA,NA,NA,NA,NA,156.77,NA,NA,NA,NA,NA,NA,NA
"47","01093",201601093,2016,"AL","Marion County",1037.69,219.15,1826.24,0,1042.87,0,0,1074.2,612.94,252.03,960.62,0,927,0,0,618.83
"48","01095",201601095,2016,"AL","Marshall County",458.01,87.74,824.1,0,2696.08,0,0,451.08,192.93,60.74,323.64,NA,796.57,NA,NA,201.37
"49","01097",201601097,2016,"AL","Mobile County",1028.72,94.59,2040.49,0,1908.26,0,0,576.66,437.45,100.99,801.87,0,669.72,0,0,332.37
"50","01099",201601099,2016,"AL","Monroe County",653.69,56.43,1302.28,0,1117.7,0,0,316.02,403.97,NA,NA,NA,NA,NA,NA,NA
"51","01101",201601101,2016,"AL","Montgomery County",1141.4,86.28,2306.97,NA,1668.49,NA,NA,402.37,266.37,50.75,504.56,NA,345.85,NA,NA,169.32
"52","01103",201601103,2016,"AL","Morgan County",856.74,138.52,1571.98,0,2789.11,0,0,602.09,438.15,162.04,713.11,0,1100.46,0,0,365.68
"53","01105",201601105,2016,"AL","Perry County",530.94,NA,NA,NA,NA,NA,NA,NA,66.37,0,139.13,0,97.3,0,0,0
"54","01107",201601107,2016,"AL","Pickens County",585.67,76.35,1078.45,0,833.94,0,0,461.29,330.38,76.35,576.16,0,380.71,0,0,331.56
"55","01109",201601109,2016,"AL","Pike County",981.11,66.14,1965.32,0,1825.83,0,0,491.06,278.48,41.34,533.57,0,464.76,0,0,176.48
"56","01111",201601111,2016,"AL","Randolph County",975.44,154.54,1818.97,0,2417.43,0,0,621.88,761.84,280.98,1255.95,0,1327.89,0,0,640.72
"57","01113",201601113,2016,"AL","Russell County",1241.73,153.59,2377.14,0,1511.99,0,0,1156.68,407.81,117.75,710.47,NA,389.28,NA,NA,480.55
"58","01115",201601115,2016,"AL","St. Clair County",599.83,113.63,1079.87,NA,1290.54,NA,NA,537.13,374.01,149.14,596.03,NA,866.02,NA,NA,325.97
"59","01117",201601117,2016,"AL","Shelby County",360.92,94.7,641.6,NA,1015.98,NA,NA,282.68,240.85,86.34,403.75,NA,650.86,NA,NA,193.31
"60","01119",201601119,2016,"AL","Sumter County",551.09,NA,NA,NA,NA,NA,NA,NA,91.85,NA,NA,NA,NA,NA,NA,NA
"61","01121",201601121,2016,"AL","Talladega County",1094.79,119.37,2108.04,0,1721.59,0,0,802.85,450.46,123.1,790.51,0,552,0,0,418.35
"62","01123",201601123,2016,"AL","Tallapoosa County",1014.75,162.19,1913.68,NA,2007.53,NA,NA,638.46,562.87,193.08,952.77,NA,920.12,NA,NA,435.31
"63","01125",201601125,2016,"AL","Tuscaloosa County",653.27,52.27,1292.02,NA,1379.19,NA,NA,334.21,252.74,48.25,470.09,NA,516.66,NA,NA,138.98
"64","01127",201601127,2016,"AL","Walker County",955.17,215.56,1702.21,0,2887.43,0,0,843.99,440.66,146.97,737.3,0,621.35,0,0,442.48
"65","01129",201601129,2016,"AL","Washington County",491.68,NA,NA,NA,NA,NA,NA,NA,160.74,NA,NA,NA,NA,NA,NA,NA
"66","01131",201601131,2016,"AL","Wilcox County",324.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","01133",201601133,2016,"AL","Winston County",929.36,231.58,1611.61,NA,2564.1,NA,NA,945.27,612.84,190.71,1025.57,NA,3205.13,NA,NA,604.12
"68","02013",201602013,2016,"AK","Aleutians East Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","02016",201602016,2016,"AK","Aleutians West Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","02020",201602020,2016,"AK","Anchorage Municipality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","02050",201602050,2016,"AK","Bethel Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","02060",201602060,2016,"AK","Bristol Bay Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","02068",201602068,2016,"AK","Denali Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","02070",201602070,2016,"AK","Dillingham Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","02090",201602090,2016,"AK","Fairbanks North Star Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","02100",201602100,2016,"AK","Haines Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","02105",201602105,2016,"AK","Hoonah-Angoon Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","02110",201602110,2016,"AK","Juneau City and Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","02122",201602122,2016,"AK","Kenai Peninsula Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","02130",201602130,2016,"AK","Ketchikan Gateway Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","02150",201602150,2016,"AK","Kodiak Island Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","02158",201602158,2016,"AK","Kusilvak Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","02164",201602164,2016,"AK","Lake and Peninsula Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","02170",201602170,2016,"AK","Matanuska-Susitna Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","02180",201602180,2016,"AK","Nome Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","02185",201602185,2016,"AK","North Slope Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","02188",201602188,2016,"AK","Northwest Arctic Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","02195",201602195,2016,"AK","Petersburg Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","02198",201602198,2016,"AK","Prince of Wales-Hyder Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","02220",201602220,2016,"AK","Sitka City and Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","02230",201602230,2016,"AK","Skagway Municipality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","02240",201602240,2016,"AK","Southeast Fairbanks Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","02261",201602261,2016,"AK","Valdez-Cordova Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","02275",201602275,2016,"AK","Wrangell City and Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","02282",201602282,2016,"AK","Yakutat City and Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","02290",201602290,2016,"AK","Yukon-Koyukuk Census Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","04001",201604001,2016,"AZ","Apache County",283.75,58.28,507.77,NA,1253.92,1330.72,32.49,946.53,178.74,67.24,289.52,NA,NA,743.64,38.39,550.01
"98","04003",201604003,2016,"AZ","Cochise County",1140.61,287.36,1925.25,189.48,1868,1573.8,1210.65,810,511.31,147.78,845.6,NA,498.13,825.89,1089.59,306.49
"99","04005",201604005,2016,"AZ","Coconino County",575.46,90.89,1076.32,0,2338.46,894.95,798.24,364.44,287.23,51.37,531.01,NA,615.38,432.81,505.42,156.69
"100","04007",201604007,2016,"AZ","Gila County",1422.65,390.31,2473.96,NA,2173.91,1968.96,430.71,1540.83,668.88,228.8,1117.05,NA,NA,984.48,299.63,673.4
"101","04009",201604009,2016,"AZ","Graham County",1269.17,432.82,1924.64,NA,2568.49,1815.36,128.74,1132.27,818.55,489.27,1076.62,NA,1369.86,1051,193.11,788.39
"102","04011",201604011,2016,"AZ","Greenlee County",1042.84,271.28,1735.69,NA,NA,1085.81,NA,1103.68,577.57,305.19,822.17,NA,NA,595.45,NA,501.67
"103","04012",201604012,2016,"AZ","La Paz County",1033.04,204.71,1860.18,NA,3164.56,1066.22,NA,1163.06,521.63,102.35,940.31,NA,NA,364.76,NA,661.35
"104","04013",201604013,2016,"AZ","Maricopa County",952.34,170.68,1735.77,85.87,2715.5,1252.42,2163.38,608.83,331.63,83.25,580.56,23.04,944.47,410.83,951.66,218.96
"105","04015",201604015,2016,"AZ","Mohave County",1221.54,305.03,2113.4,199.8,3023.39,1203.48,1158.83,1202.92,511.48,155.13,858.25,0,1540.22,476.76,681.66,500.93
"106","04017",201604017,2016,"AZ","Navajo County",889.67,194.64,1563.48,NA,2767.3,1705.21,462.95,1084.26,460.8,139.03,772.76,NA,1509.43,865.52,282.37,515.4
"107","04019",201604019,2016,"AZ","Pima County",802.42,126.61,1481.83,62.41,2371.1,964.28,1450.33,560.46,333.11,84.71,582.82,19.5,887.3,390.21,716.77,238.32
"108","04021",201604021,2016,"AZ","Pinal County",900.98,188.63,1517.41,86.36,1673.22,1326.86,1158.41,561.64,474.04,129.42,772.25,NA,850.91,676.18,817.28,291.73
"109","04023",201604023,2016,"AZ","Santa Cruz County",433.76,74.86,826.45,NA,NA,451.95,NA,205.7,223.99,81.66,379.72,NA,NA,225.97,NA,117.54
"110","04025",201604025,2016,"AZ","Yavapai County",1436.15,441.73,2476.1,427.35,3548.15,1740.54,2959.83,1305.59,577.93,251.75,919.05,NA,1665.46,603.06,1775.9,529.59
"111","04027",201604027,2016,"AZ","Yuma County",775.69,110.83,1371.93,NA,1142.17,775.8,3057.68,609.3,387.45,92.36,652.08,NA,781.48,359.94,2501.74,277.5
"112","05001",201605001,2016,"AR","Arkansas County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","05003",201605003,2016,"AR","Ashley County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","05005",201605005,2016,"AR","Baxter County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","05007",201605007,2016,"AR","Benton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","05009",201605009,2016,"AR","Boone County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","05011",201605011,2016,"AR","Bradley County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","05013",201605013,2016,"AR","Calhoun County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","05015",201605015,2016,"AR","Carroll County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","05017",201605017,2016,"AR","Chicot County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","05019",201605019,2016,"AR","Clark County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","05021",201605021,2016,"AR","Clay County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","05023",201605023,2016,"AR","Cleburne County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","05025",201605025,2016,"AR","Cleveland County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","05027",201605027,2016,"AR","Columbia County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","05029",201605029,2016,"AR","Conway County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","05031",201605031,2016,"AR","Craighead County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","05033",201605033,2016,"AR","Crawford County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","05035",201605035,2016,"AR","Crittenden County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","05037",201605037,2016,"AR","Cross County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","05039",201605039,2016,"AR","Dallas County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","05041",201605041,2016,"AR","Desha County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","05043",201605043,2016,"AR","Drew County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","05045",201605045,2016,"AR","Faulkner County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","05047",201605047,2016,"AR","Franklin County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","05049",201605049,2016,"AR","Fulton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","05051",201605051,2016,"AR","Garland County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","05053",201605053,2016,"AR","Grant County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","05055",201605055,2016,"AR","Greene County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","05057",201605057,2016,"AR","Hempstead County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","05059",201605059,2016,"AR","Hot Spring County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","05061",201605061,2016,"AR","Howard County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","05063",201605063,2016,"AR","Independence County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","05065",201605065,2016,"AR","Izard County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","05067",201605067,2016,"AR","Jackson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","05069",201605069,2016,"AR","Jefferson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","05071",201605071,2016,"AR","Johnson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","05073",201605073,2016,"AR","Lafayette County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","05075",201605075,2016,"AR","Lawrence County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","05077",201605077,2016,"AR","Lee County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","05079",201605079,2016,"AR","Lincoln County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","05081",201605081,2016,"AR","Little River County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","05083",201605083,2016,"AR","Logan County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","05085",201605085,2016,"AR","Lonoke County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","05087",201605087,2016,"AR","Madison County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","05089",201605089,2016,"AR","Marion County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","05091",201605091,2016,"AR","Miller County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","05093",201605093,2016,"AR","Mississippi County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","05095",201605095,2016,"AR","Monroe County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","05097",201605097,2016,"AR","Montgomery County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","05099",201605099,2016,"AR","Nevada County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","05101",201605101,2016,"AR","Newton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","05103",201605103,2016,"AR","Ouachita County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","05105",201605105,2016,"AR","Perry County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","05107",201605107,2016,"AR","Phillips County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","05109",201605109,2016,"AR","Pike County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","05111",201605111,2016,"AR","Poinsett County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","05113",201605113,2016,"AR","Polk County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","05115",201605115,2016,"AR","Pope County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","05117",201605117,2016,"AR","Prairie County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","05119",201605119,2016,"AR","Pulaski County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","05121",201605121,2016,"AR","Randolph County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","05123",201605123,2016,"AR","St. Francis County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","05125",201605125,2016,"AR","Saline County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","05127",201605127,2016,"AR","Scott County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","05129",201605129,2016,"AR","Searcy County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","05131",201605131,2016,"AR","Sebastian County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","05133",201605133,2016,"AR","Sevier County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","05135",201605135,2016,"AR","Sharp County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
