"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","VetPercent","noHSP","disbP","povP","UnempP","totUnits","occP","vacantP"
"42","Limestone County, Alabama","01083",2000,65676,82.44,13.25,2.65,24.88,24.29,16.04,11.07,10,25.5,37.75,12.35,4.26,26897,91.79,8.21
"43","Lowndes County, Alabama","01085",2000,13473,25.71,73.04,0.63,30.19,21.75,14.7,12.22,6.2,35.74,53.08,31.37,11.93,5801,84.62,15.38
"44","Macon County, Alabama","01087",2000,24105,13.82,84.21,0.72,25.23,18.53,14.47,13.97,8.68,30.01,49.45,32.84,12.29,10627,84.22,15.78
"45","Madison County, Alabama","01089",2000,276700,71.01,22.62,1.89,25.58,24.87,15.53,10.85,11.88,14.58,30.13,10.55,5.73,120288,91.41,8.59
"46","Marengo County, Alabama","01091",2000,22539,46.95,51.38,0.97,28.49,21.19,16.07,14.58,7.92,28.06,50.1,25.9,8.74,10127,86.57,13.43
"47","Marion County, Alabama","01093",2000,31214,94.15,3.62,1.15,22.55,21.56,18.54,15.81,9.18,36.84,48.76,15.64,8.09,14416,88.08,11.92
"48","Marshall County, Alabama","01095",2000,82231,91.3,1.45,5.66,24.85,22.01,16.7,14.25,10.1,30.65,40.88,14.66,5.75,36331,89.58,10.42
"49","Mobile County, Alabama","01097",2000,399843,62.47,33.22,1.22,27.48,22.27,14.95,11.98,9.86,23.28,39.5,18.51,7.6,165101,90.96,9.04
"50","Monroe County, Alabama","01099",2000,24324,57.4,39.81,0.78,28.3,21.39,15.43,13.83,8.34,32.12,39.99,21.32,8.38,11343,82.72,17.28
"51","Montgomery County, Alabama","01101",2000,223510,48.26,48.39,1.19,25.79,22.14,14.04,11.77,10.69,19.74,35.6,17.34,6.66,95437,90.18,9.82
"52","Morgan County, Alabama","01103",2000,111064,83.36,11.15,3.28,25.34,23.78,16.46,12.34,9.97,23.66,37.93,12.29,5.41,47388,92.01,7.99
"53","Perry County, Alabama","01105",2000,11861,30.71,67.93,0.86,29.82,18.47,14.92,14.86,7.01,37.62,49.89,35.36,14.71,5406,80.15,19.85
"54","Pickens County, Alabama","01107",2000,20949,55.74,42.68,0.7,27.26,20.93,15.97,15.72,8.83,30.35,49.36,24.91,8.22,9520,84.94,15.06
"55","Pike County, Alabama","01109",2000,29605,60.09,36.37,1.23,24.36,19.36,15.15,12.59,8.4,30.91,42.5,23.07,9.29,13981,85.35,14.65
"56","Randolph County, Alabama","01111",2000,22380,75.69,22.11,1.22,25.11,21.12,16.69,15.92,9.18,38.06,44.54,17.01,5.34,10285,84.03,15.97
"57","Russell County, Alabama","01113",2000,49756,56.12,40.63,1.5,26.52,21.97,15.56,13.15,10.73,33.48,47,19.9,6.32,22831,86.47,13.53
"58","St. Clair County, Alabama","01115",2000,64742,89.46,8.11,1.06,25.36,23.69,17.01,11.7,10.44,28.66,36.85,12.08,4.16,27303,88.43,11.57
"59","Shelby County, Alabama","01117",2000,143293,88.6,7.38,2.03,26.25,25.83,15.42,8.5,8.91,13.15,25.66,6.31,2.96,59302,92.12,7.88
"60","Sumter County, Alabama","01119",2000,14798,25.77,72.43,1.12,29.09,20.04,12.92,13.89,5.69,35.24,47.13,38.7,11.45,6953,82.09,17.91
"61","Talladega County, Alabama","01121",2000,80321,66.48,31.38,1.01,24.98,22.64,16.52,13.27,10.04,30.35,49.36,17.61,7.74,34469,88.99,11.01
"62","Tallapoosa County, Alabama","01123",2000,41475,73.16,25.29,0.58,24.2,21.56,17.84,16.57,10.39,29.92,49.43,16.56,6.06,20510,81.21,18.79
"63","Tuscaloosa County, Alabama","01125",2000,164875,67.55,29.19,1.29,23.38,21.18,13.72,11.26,9.26,21.18,36.28,17.02,6.17,71429,90.32,9.68
"64","Walker County, Alabama","01127",2000,70713,91.72,6.11,0.86,23.53,21.97,17.94,14.78,10.43,32.79,55.13,16.5,6.45,32417,87.5,12.5
"65","Washington County, Alabama","01129",2000,18097,64.5,26.62,0.88,28.67,21.46,16.02,12.41,7.45,27.69,41.17,18.48,7.67,8123,82.54,17.46
"66","Wilcox County, Alabama","01131",2000,13183,27.39,71.48,0.74,30.65,20.09,14.55,13.73,5.68,40.46,49.59,39.94,15.2,6183,77.24,22.76
"67","Winston County, Alabama","01133",2000,24843,96.83,0.37,1.5,23.7,21.86,18.73,14.22,9,37.4,46.09,17.14,6.25,12502,80.84,19.16
"68","Aleutians East Borough, Alaska","02013",2000,2697,19.32,1.56,12.57,16.83,35.41,17.54,2.63,7.79,25.26,21.28,21.83,41.42,724,72.65,27.35
"69","Aleutians West Census Area, Alaska","02016",2000,5465,37.68,3.02,10.48,17.18,35.9,14.8,2.29,9.19,21.48,29.62,11.88,12.7,2234,56.85,43.15
"70","Anchorage Municipality, Alaska","02020",2000,260283,69.92,5.64,5.69,29.15,26.85,13.55,5.47,11.88,9.71,24.09,7.35,6.76,100368,94.47,5.53
"71","Bethel Census Area, Alaska","02050",2000,16006,12.23,0.37,0.87,39.84,21.44,10.36,5.19,7.12,29.03,26.4,20.61,14.59,5188,81.46,18.54
"72","Bristol Bay Borough, Alaska","02060",2000,1258,52.15,0.56,0.56,31.32,33.15,14.47,3.82,12.8,11.13,39.75,9.46,10.48,979,50.05,49.95
"73","Denali Borough, Alaska","02068",2000,1893,84.52,1.43,2.48,23.77,34.71,17.43,3.06,14.32,8.28,17.12,7.89,11.57,1351,58.11,41.89
"74","Dillingham Census Area, Alaska","02070",2000,4922,20.95,0.37,2.26,38.13,24.44,11.91,5.73,6.22,23.35,28.06,21.41,11.53,2332,65.57,34.43
"75","Fairbanks North Star Borough, Alaska","02090",2000,82840,75.98,5.7,4.15,30.08,24.73,12.03,4.64,12.64,8.17,19.44,7.78,9.11,33291,89.44,10.56
"76","Haines Borough, Alaska","02100",2000,2392,81.94,0.13,1.38,25.63,28.68,19.86,10.45,14.21,11.08,26.51,10.67,13.66,1419,69.84,30.16
"77","Hoonah-Angoon Census Area, Alaska","02105",2000,2574.0000284,57.48,0.15,2.82,26.78,27.88,19.27,7.33,10.54,15.62,22.99,12.8,15.7,1579.1595052,64.94,35.06
"78","Juneau City and Borough, Alaska","02110",2000,30711,73.26,0.77,3.39,27.41,28.73,15.78,6.08,8.95,6.83,21.22,5.97,5.35,12282,93.98,6.02
"79","Kenai Peninsula Borough, Alaska","02122",2000,49691,85.05,0.44,2.19,29.9,28.34,16.16,7.34,11.96,11.49,27.47,10.04,11.44,24871,74.13,25.87
"80","Ketchikan Gateway Borough, Alaska","02130",2000,14076.999998992,72.94,0.48,2.64,28.17,27.31,16.43,7.88,12.12,10.36,28.74,6.51,7.65,6221.47949836,86.82,13.18
"81","Kodiak Island Borough, Alaska","02150",2000,13913,57.51,0.93,6.1,32.44,27.28,12.29,4.84,9.83,14.58,17.65,6.56,5.18,5159,85.75,14.25
"82","Lake and Peninsula Borough, Alaska","02164",2000,1823,18.76,0.05,1.15,37.79,25.95,12.73,5.43,7.9,27.83,26.99,18.9,14.31,1557,37.76,62.24
"83","Matanuska-Susitna Borough, Alaska","02170",2000,59322,86.27,0.67,2.5,32.21,28.96,13.82,5.9,13.05,11.85,27.99,11.01,10.3,27329,75.22,24.78
"84","Nome Census Area, Alaska","02180",2000,9196,19.05,0.38,1,37.15,22.71,11.6,5.87,8.49,25.2,24.59,17.43,16.37,3649,73.8,26.2
"85","North Slope Borough, Alaska","02185",2000,7385,16.63,0.69,2.37,38.17,23.56,11.23,4.17,5.93,22.59,17.81,9.06,14.94,2538,83.1,16.9
"86","Northwest Arctic Borough, Alaska","02188",2000,7208,12.18,0.21,0.79,41.48,19.95,9.6,4.98,7.82,27.96,16.51,17.37,15.55,2540,70.08,29.92
"87","Petersburg Census Area, Alaska","02195",2000,4244.7584184,72.5,0.22,1.97,29.7,26.9,16.64,9.49,11.56,14.18,25.24,7.9,10.96,2085.5455784,78.78,21.22
"88","Prince of Wales-Hyder Census Area, Alaska","02198",2000,6108.000001082,52.52,0.15,1.74,30.96,27.63,16.32,5.69,10.62,15.93,21.64,12.05,14.99,3036.111292435,74.04,25.96
"89","Sitka City and Borough, Alaska","02220",2000,8835,67.09,0.27,3.28,27.15,26.56,15.38,8.42,10.54,9.4,24.84,7.81,7.78,3650,89.81,10.19
"90","Skagway Municipality, Alaska","02230",2000,861.9999716,57.48,0.15,2.82,26.78,27.88,19.27,7.33,10.54,15.62,22.99,12.8,15.7,528.8404948,64.94,35.06
"91","Southeast Fairbanks Census Area, Alaska","02240",2000,6174,77.42,1.91,2.7,32.78,25.46,16.94,6.07,13.2,13.19,22.01,18.86,17.68,3225,65.05,34.95
"92","Valdez-Cordova Census Area, Alaska","02261",2000,10195,74.66,0.32,2.81,29.61,29.49,16.4,6.02,12.27,11.46,20.01,9.84,9.6,5148,75.45,24.55
"93","Wade Hampton Census Area, Alaska","02270",2000,7028,4.7,0.06,0.33,46.59,16.73,8.71,5.01,4.48,33.68,26.58,26.24,23.93,2063,77.65,22.35
"94","Wrangell City and Borough, Alaska","02275",2000,2470.241581526,72.25,0.22,1.97,29.71,26.91,16.63,9.44,11.55,14.2,25.19,7.95,11.01,1213.863630805,78.72,21.28
"95","Yakutat City and Borough, Alaska","02282",2000,808,50.25,0.12,0.74,28.09,32.55,17.08,5.32,11.76,15.71,14.36,13.54,7.76,499,53.11,46.89
"96","Yukon-Koyukuk Census Area, Alaska","02290",2000,6551,24.03,0.09,1.19,35.02,24.3,13.97,7.3,9.3,25.68,22.26,23.83,19.92,3917,58.95,41.05
"97","Apache County, Arizona","04001",2000,69423,17.69,0.23,4.49,38.5,19.62,12.69,8.27,6.39,36.35,41.73,37.82,21.84,31621,63.16,36.84
"98","Cochise County, Arizona","04003",2000,117755,60.09,4.3,30.69,26.32,20.86,16.89,14.75,16.17,20.54,34.79,17.67,6.73,51126,85.85,14.15
"99","Coconino County, Arizona","04005",2000,116320,57.57,0.99,10.94,28.74,22.64,13.18,7,8.35,16.22,26.31,18.23,6.94,53443,75.68,24.32
"100","Gila County, Arizona","04007",2000,51335,68.94,0.34,16.65,25.11,19.81,19.7,19.79,14.69,21.78,41.37,17.41,9.66,28189,71.45,28.55
"101","Graham County, Arizona","04009",2000,33489,55.21,1.8,27.04,30.09,19.74,12.78,11.9,9.44,24.42,30.04,22.99,11.59,11430,88.5,11.5
"102","Greenlee County, Arizona","04011",2000,8547,53.87,0.4,43.07,31.73,23.35,14.96,9.93,11.19,17.51,32.85,9.94,6.33,3744,83.25,16.75
"103","La Paz County, Arizona","04012",2000,19715,63.77,0.76,22.42,21.1,17.69,20.68,25.81,18.23,30.72,45.11,19.59,8.01,15133,55.26,44.74
"104","Maricopa County, Arizona","04013",2000,3072149,66.22,3.53,24.85,26.95,21.82,13.45,11.68,10.02,17.5,28.25,11.75,4.73,1250231,90.61,9.39
"105","Mohave County, Arizona","04015",2000,155032,84.04,0.51,11.08,23.13,19.75,20.23,20.47,16.46,22.49,43.31,13.88,6.97,80062,78.45,21.55
"106","Navajo County, Arizona","04017",2000,97470,42.27,0.81,8.22,35.42,20.18,14.18,10.01,8.04,28.82,37.33,29.5,12.3,47413,63.36,36.64
"107","Pima County, Arizona","04019",2000,843746,61.48,2.85,29.34,24.64,21.89,14.94,14.16,12.1,16.57,33.48,14.66,5.34,366737,90.62,9.38
"108","Pinal County, Arizona","04021",2000,179727,58.78,2.59,29.86,25.08,20.3,16.51,16.23,13.33,27.3,34.71,16.91,8.1,81154,75.61,24.39
"109","Santa Cruz County, Arizona","04023",2000,38381,17.81,0.2,80.78,33.64,20.96,14.18,10.72,5.48,39.34,28.21,24.48,7.73,13036,90.59,9.41
"110","Yavapai County, Arizona","04025",2000,167517,86.58,0.35,9.78,21.13,20.66,19.94,21.98,16.12,15.28,36.43,11.95,5.04,81730,85.86,14.14
"111","Yuma County, Arizona","04027",2000,160026,44.34,1.96,50.47,28.91,18.35,13.64,16.53,11.37,34.19,31.38,19.23,12.14,74140,72.63,27.37
"112","Arkansas County, Arkansas","05001",2000,20749,74.78,23.24,0.76,24.82,22.1,16.73,16.19,8.73,27.58,46.42,17.79,6.2,9672,87.44,12.56
"113","Ashley County, Arkansas","05003",2000,24209,68.99,26.87,3.21,26.81,20.82,17.15,13.8,8.95,27.51,43.46,17.49,6.87,10615,88.4,11.6
"114","Baxter County, Arkansas","05005",2000,38386,97.12,0.11,1,18.97,18.69,20.94,26.79,16.88,22.46,45.69,11.15,4.01,19891,85.73,14.27
"115","Benton County, Arkansas","05007",2000,153406,86.76,0.36,8.78,26.61,21.29,14.92,14.32,11.41,19.58,31.58,10.07,3.35,64281,90.56,9.44
"116","Boone County, Arkansas","05009",2000,33948,96.93,0.11,1.06,23.93,21.12,17.83,16.67,11.66,23.16,41.84,14.78,5.02,15426,89.79,10.21
"117","Bradley County, Arkansas","05011",2000,12600,62.31,28.56,8.25,23.56,20.63,16.24,17.48,9.56,33.39,47.32,26.3,10.82,5930,81.52,18.48
"118","Calhoun County, Arkansas","05013",2000,5744,73.96,23.36,1.5,24.63,23.38,17.37,15.96,10.46,31.26,48.92,16.54,5.35,3012,76.93,23.07
"119","Carroll County, Arkansas","05015",2000,25357,87.74,0.1,9.74,23.98,22.03,18.55,15.83,11.36,28.23,38.04,15.49,5.48,11828,86.14,13.86
"120","Chicot County, Arkansas","05017",2000,14117,42.36,53.42,2.88,27.46,20.62,15.44,15.4,7.72,35.78,55.26,28.63,10.16,5974,87.13,12.87
"121","Clark County, Arkansas","05019",2000,23546,73.48,21.94,2.4,21.68,18.03,14.1,14.58,8.61,24.73,42.57,19.12,4.7,10166,87.66,12.34
"122","Clay County, Arkansas","05021",2000,17609,97.55,0.16,0.8,23.1,20.07,18.09,19.35,10.67,39.39,51.85,17.52,5.61,8498,87.28,12.72
"123","Cleburne County, Arkansas","05023",2000,24046,97.28,0.12,1.17,21.3,20.34,20.64,21.09,15.61,25.22,45.2,13.11,4.86,13732,74.21,25.79
"124","Cleveland County, Arkansas","05025",2000,8571,83.99,13.11,1.62,26.16,21.32,18.15,13.56,9.91,26.93,42.06,15.19,5.53,3834,85.37,14.63
"125","Columbia County, Arkansas","05027",2000,25603,61.62,35.95,1.05,25.08,20.01,14.99,15.91,8.5,25.94,40.32,21.12,7.64,11566,86.3,13.7
"126","Conway County, Arkansas","05029",2000,20336,83.46,13.03,1.77,25.42,21.68,16.78,16.13,10.42,26.83,51.74,16.14,6.55,9028,88.25,11.75
"127","Craighead County, Arkansas","05031",2000,82148,88.24,7.72,2.12,24.11,20.94,14.75,11.76,9.14,22.7,37.7,15.4,5.7,35133,91.94,8.06
"128","Crawford County, Arkansas","05033",2000,53247,90.73,0.87,3.27,28.23,22.99,15.93,11.27,10.88,28.51,43.71,14.21,6.07,21315,92.43,7.57
"129","Crittenden County, Arkansas","05035",2000,50866,50.41,46.84,1.42,31.13,21.99,13.82,9.94,7.78,30.83,39.58,25.33,6.92,20507,90.07,9.93
"130","Cross County, Arkansas","05037",2000,19526,74.39,23.6,0.93,27.83,21.54,16.16,13.66,7.34,31.66,47.42,19.9,7.63,8030,92.04,7.96
"131","Dallas County, Arkansas","05039",2000,9210,56.38,40.64,1.92,26.17,21.36,16.34,16.98,8.75,33.16,50.03,18.91,7.43,4401,79.96,20.04
"132","Desha County, Arkansas","05041",2000,15341,49.61,45.92,3.16,28.86,20.75,15.85,14.16,7.91,35,48.87,28.89,8.78,6663,88.88,11.12
"133","Drew County, Arkansas","05043",2000,18723,69.68,27.08,1.76,25.81,21.03,14.91,12.83,9.3,26.95,41.81,18.19,8.9,8287,88.54,11.46
"134","Faulkner County, Arkansas","05045",2000,86014,87.45,8.44,1.75,25.58,21.86,13.12,9.49,9.32,16.65,33.5,12.55,6.75,34546,92.29,7.71
"135","Franklin County, Arkansas","05047",2000,17771,95.34,0.61,1.74,25.83,21.29,16.47,15.76,11.09,28.91,49.72,15.2,5.94,7673,89.69,10.31
"136","Fulton County, Arkansas","05049",2000,11642,97.29,0.2,0.53,22.76,20.01,20.43,20.21,13.15,27.84,49.79,16.29,5.89,5973,80.53,19.47
"137","Garland County, Arkansas","05051",2000,88068,87.26,7.75,2.56,21.3,20.88,18.31,21.18,13.75,21.71,42.91,14.58,5.07,44953,84.12,15.88
"138","Grant County, Arkansas","05053",2000,16464,95.13,2.47,1.15,25.92,23.44,17.15,12.18,10.31,22.82,42.03,10.16,4.22,6960,89.67,10.33
"139","Greene County, Arkansas","05055",2000,37331,96.82,0.13,1.16,25.21,21.62,16.29,13.91,10,27.94,48.55,13.32,5.56,16161,91.27,8.73
"140","Hempstead County, Arkansas","05057",2000,23587,59.81,30.13,8.25,27.33,20.96,15.21,14.1,8.59,30.83,42.15,20.31,6.47,10166,88.13,11.87
"141","Hot Spring County, Arkansas","05059",2000,30353,86.63,10.24,1.27,25.07,21.83,17.33,15.76,11.71,26.75,42.34,14.02,4.94,13384,89.69,10.31
"142","Howard County, Arkansas","05061",2000,14300,71.47,21.76,5.08,26.85,21.2,15.5,15.1,8.75,29.26,38.32,15.5,4.94,6297,86.88,13.12
"143","Independence County, Arkansas","05063",2000,34233,94.22,2,1.53,24.53,22.63,16.94,14.48,10.86,24.5,42.78,12.96,5.9,14841,90.74,9.26
"144","Izard County, Arkansas","05065",2000,13249,95.87,1.43,1,20.89,20.18,19.63,21.13,13.83,26.67,45.8,17.24,4.12,6591,82.54,17.46
"145","Jackson County, Arkansas","05067",2000,18418,79.95,17.43,1.27,22.16,21.22,17.18,16.52,8.49,33.96,50.33,17.44,6.93,7956,87.62,12.38
"146","Jefferson County, Arkansas","05069",2000,84278,48.03,49.39,0.96,26.3,22.27,14.89,12.92,10.35,25.18,41.16,20.53,8.33,34350,88.95,11.05
"147","Johnson County, Arkansas","05071",2000,22781,90.04,1.33,6.7,25.17,20.93,16.45,14.77,9.93,32.37,48.11,16.43,7.81,9926,88.03,11.97
"148","Lafayette County, Arkansas","05073",2000,8559,61.48,36.29,1.03,25.4,20.42,17.78,17.72,9.88,34.72,55.82,23.22,7.88,4560,75.31,24.69
"149","Lawrence County, Arkansas","05075",2000,17774,97.36,0.44,0.68,23.96,19.93,17.05,17.41,9.91,36.75,54.95,18.43,5.57,8085,87.92,12.08
"150","Lee County, Arkansas","05077",2000,12580,40.33,56.77,2.19,26.05,20.67,14.77,13.97,7.31,43.78,49.35,29.93,13.26,4768,87.71,12.29
"151","Lincoln County, Arkansas","05079",2000,14492,64.28,32.85,1.81,22.18,23.93,13.81,11.88,9.67,35,37.37,19.53,6.96,4955,86.07,13.93
"152","Little River County, Arkansas","05081",2000,13628,73.84,21.21,1.72,25.17,20.54,18.77,15.07,10.07,26.55,46.66,15.4,6.53,6435,84.93,15.07
"153","Logan County, Arkansas","05083",2000,22486,95.74,1.05,1.21,25.9,21.33,17.24,16.01,11.27,30.21,47.39,15.43,5.32,9942,87.44,12.56
"154","Lonoke County, Arkansas","05085",2000,52828,90.02,6.42,1.75,28.75,24.02,15.12,10.39,11.02,22.36,37.16,10.54,3.9,20749,92.83,7.17
"155","Madison County, Arkansas","05087",2000,14243,94.52,0.11,3.06,26.8,22.44,17.26,14.38,9.23,32.18,42.18,18.57,2.65,6537,83.57,16.43
"156","Marion County, Arkansas","05089",2000,16140,96.94,0.11,0.76,22.13,21.03,21.65,20.02,16.36,24.01,49.34,15.24,5.07,8235,82.28,17.72
"157","Miller County, Arkansas","05091",2000,40443,73.2,22.87,1.58,26.54,21.46,15.28,13.12,10.09,25.7,40.32,19.3,6.78,17727,88.21,11.79
"158","Mississippi County, Arkansas","05093",2000,51979,63.56,32.53,2.25,29.64,21,14.27,12.22,8.56,35.27,48.04,23.01,8.76,22310,86.73,13.27
"159","Monroe County, Arkansas","05095",2000,10254,58.54,38.66,1.29,27.91,20.4,16.62,17.3,8.69,36.22,49.85,27.46,5.34,5067,81.01,18.99
"160","Montgomery County, Arkansas","05097",2000,9245,94.54,0.29,2.53,23.52,20.87,19.61,18.92,13.02,30.17,48.42,17.01,6.32,5048,74.98,25.02
"161","Nevada County, Arkansas","05099",2000,9955,66.48,31.02,1.52,25.2,20.96,16.9,16.13,9.49,30.92,57.94,22.76,6.3,4751,81.94,18.06
"162","Newton County, Arkansas","05101",2000,8608,96.81,0.14,1.08,24.88,22.07,20.12,14.82,10.11,29.81,52.93,20.38,4.5,4316,81.09,18.91
"163","Ouachita County, Arkansas","05103",2000,28790,59.44,38.5,0.73,25.89,22.07,16.17,16.93,10.62,26.52,49.65,19.52,8.48,13450,86.34,13.66
"164","Perry County, Arkansas","05105",2000,10209,95.12,1.73,1.18,25.33,21.99,17.8,14.77,12.08,26.18,48.31,14.05,4.75,4702,84.84,15.16
"165","Phillips County, Arkansas","05107",2000,26445,38.74,58.59,1.44,32.19,18.88,15.1,13.94,6.87,37.81,48.4,32.71,11.26,10859,89.43,10.57
