Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
BAART Behavioral Health Services Inc,,,3707 Sunset Lane,,,Antioch,CA,94509,(925)522-0124,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/MD/SP/F4/F28/F81/,6895CA94509,-121.80420938031936,37.984503888517864,100.0
Aegis Medical Systems Inc,,,6500 Morro Road,Suite D,,Atascadero,CA,93422,(805)461-5212,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MC/SI/PI/SS/,2192CA93422,-120.66561182060549,35.483589235452754,100.0
American Health Services at,Bakersfield Health Services,,1010 1/2 South Union Avenue,,,Bakersfield,CA,93307,(661)321-0234,,Methadone and Buprenorphine Clients Only,MH-SA/TX/DT/MM/DM/BU/OP/CO/HV/GL/SE/PW/MN/CJ/SF/MC/SI/SS/SP/,2855CA93307,-119.00288925970858,35.34384972910927,100.0
Berkeley Addiction Treatment Services,,,2975 Sacramento Street,,,Berkeley,CA,94702,(510)644-0200,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/HV/PW/SF/MD/PI/SP/,7277CA94702,-122.27903371782922,37.853748084909185,100.0
Imperial Valley Methadone Clinic,,,535 Cesar Chavez Boulevard,,,Calexico,CA,92231,(760)357-6566,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/SE/PW/WN/MN/CJ/SF/MD/MC/SI/PI/MI/AR/SS/SP/,7481CA92231,-115.50220885858333,32.670215432665856,100.0
Bi Valley Medical Clinic,Carmichael,,6127 Fair Oaks Boulevard,,,Carmichael,CA,95608,(916)974-8090 Intake: (916)974-8090x3023 Hotline: (916)974-8090,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/WN/SF/MD/SS/,4986CA95608,-121.32938814411379,38.61252368363205,100.0
Hayward,,,20094 Mission Boulevard,,,Castro Valley,CA,94546,(510)727-9755x22 Intakes: (510)727-9755x46 (510)727- 9755x23,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/MD/PI/F10/F30/F42/,1106CA94546,-122.10248049446491,37.68700193971726,97.13
Aegis Medical Systems Inc,,,584 588 and 590 Rio Lindo Avenue,,,Chico,CA,95926,(530)345-3491,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/PW/WN/MN/SF/MD/MI/SS/SP/F37/,4466CA95926,-121.84816751715158,39.75413566909468,97.63
Third Avenue Clinic Member of CRC,Health Group,,1161 3rd Avenue,,,Chula Vista,CA,91911,(619)498-8260,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/SF/MD/MC/SI/PI/MI/AR/SS/AH/SP/F81/,1945CA91911,-117.06822378424371,32.6115680824088,100.0
Colton Clinical Services,,,2275 East Cooley Drive,,,Colton,CA,92324,(909)370-1777 Intake: (909)370-1777x0 Hotline: (877)637-6237,,,SA/TX/DT/MM/DM/BU/OP/PW/SF/MD/PI/MI/AH/SP/F81/,2924CA92324,-117.28870103009451,34.05940598531599,100.0
Aegis Medical Systems Inc,,,1019 Jefferson Street,,,Delano,CA,93215,(661)721-0463 Intake: (661)721-0563,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/SF/MD/SS/SP/F81/,2761CA93215,-119.2444395467798,35.769531467721144,100.0
El Cajon Treatment Center,East Office,,234 North Magnolia Avenue,,,El Cajon,CA,92020,(619)579-8373x101 Hotline: (866)575-8182,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/CO/HV/GL/SE/PW/WN/MN/SF/MD/SS/SP/,4593CA92020,-116.96237157888831,32.797095935231575,100.0
Imperial Valley Drug and Rehab Clinic,,,1745 South Imperial Avenue,Suite 112,,El Centro,CA,92243,(760)312-9817,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/CJ/SF/MD/MC/SI/SP/,2450CA92243,-115.56948736103678,32.777751843807174,100.0
Imperial Valley Methadone Clinic Inc,Medical Treatment Center,,680 West Main Street,,,El Centro,CA,92243,(760)482-0864 Intake: (760)482-5803,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/SE/PW/WN/MN/CJ/SF/MD/MC/SI/PI/MI/AR/SS/SP/,2776CA92243,-115.59300991501335,32.79285745825294,100.0
Aegis Medical Systems Inc,,,11041 Valley Boulevard,,,El Monte,CA,91731,(626)442-4177 Intake: (626)442-4177x0 Hotline: (877)722-4468,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/PW/WN/MN/CJ/SF/MD/MC/PI/SS/,3928CA91731,-118.03385574279064,34.074309176800014,100.0
Mission Treatment Services Inc,Escondido,,910 East Ohio Avenue,Suite 104,,Escondido,CA,92025,(760)745-7786,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/MN/CJ/SF/MD/MC/PI/MI/SS/SP/,5062CA92025,-117.07010847857288,33.12701596503169,100.0
MedMark Treatment Centers Inc,MedMark Treatment Centers Fairfield,,1143 Missouri Street,,,Fairfield,CA,94533,(707)435-9911 Hotline: (877)331-3630,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/SF/SI/SS/PA/SP/F37/F58/F65/,5517CA94533,-122.04829098752155,38.248112480271615,100.0
Addiction Research and Treatment Inc,(ART) BBHS,,1235 E Street,,,Fresno,CA,93706,(559)268-6261,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/DU/CJ/SF/MD/SI/SS/SP/F37/F48/,9892CA93706,-119.79918940914763,36.73262046497898,100.0
Addiction Research and Treatment Inc,Bay Area Addiction Research and Trt,,539 North Van Ness Avenue,,,Fresno,CA,93728,(559)266-9581,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/SS/SP/F4/F37/,2650CA93728,-119.79892747467345,36.751197989448535,100.0
Aegis Medical Systems Inc,,,3707 East Shields Avenue,,,Fresno,CA,93726,(559)229-9040 Intake: (559)229-9040x0,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MD/MC/SS/SP/F37/,7237CA93726,-119.76318796154258,36.779687491608684,100.0
BAART Behavioral Health Services Inc,Detox Program,,539 North Van Ness Avenue,,,Fresno,CA,93728,(559)266-9581 Intake: (559)266-9581x0,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/SS/SP/F4/F37/,2650CA93728,-119.79892747467345,36.751197989448535,100.0
MedMark Treatment Centers Inc,,,1310 M Street,,,Fresno,CA,93721,(559)264-2700,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/SF/SI/SS/SP/F37/,2001CA93721,-119.79054138054623,36.739280264237635,100.0
Western Pacific Med Corp,Western Pacific Fullerton Medical,,218 East Commonwealth Avenue,,,Fullerton,CA,92832,(714)992-4770 Hotline: (714)992-4770,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F4/,8233CA92832,-117.92112601824158,33.870352536379464,100.0
Western Pacific Med Corp,Western Pacific Glendale Medical,,4628 San Fernando Road,,,Glendale,CA,91204,(818)240-8843 Hotline: (818)240-8843,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F4/,7209CA91204,-118.26391006739055,34.136266277235144,100.0
Western Health Harbor City Clinic,,,1647 West Anaheim Street,,,Harbor City,CA,90710,(310)534-5590 Intake: (310)534-5590x0,,Methadone and Buprenorphine Clients Only,MH-SA/TX/DT/MM/DM/BU/OP/SF/MD/MC/SI/PI/MI/SS/SP/F36/,9765CA90710,-118.28720845199085,33.778691964537714,99.03
Hawaiian Gardens Medical and Mental Health Services,,,21505 Norwalk Boulevard,,,Hawaiian Gardens,CA,90716,(562)916-7581,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/SP/F81/,3992CA90716,-118.07206749826307,33.834009987224825,100.0
Successful Alternatives for,Addiction Counseling Servs Inc (SAACS),,795 Fletcher Lane,,,Hayward,CA,94544,(510)247-8300,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/SS/,6199CA94544,-122.08051940523107,37.66548085849054,100.0
Aegis Medical Systems Inc,,,11959 Mariposa Road,Suite 2,,Hesperia,CA,92345,(760)956-2462 Intake: (760)956-2462x0,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/SE/PW/WN/MN/CJ/SF/SI/PI/MI/SP/,9977CA92345,-117.3462307254533,34.46803386531209,100.0
Aegis Medical Systems Inc,,,614 West Manchester Boulevard,Suite 104,,Inglewood,CA,90301,(310)412-0879,,Methadone Clients Only,MH-SA/TX/DT/MM/DM/OP/CO/PW/WN/MN/CJ/SF/MD/MC/SS/SP/,4931CA90301,-118.36726698017084,33.96153247168356,100.0
El Dorado Community Service Center,Inglewood Medical/Mental Health Servs,,4450 West Century Boulevard,,,Inglewood,CA,90304,(310)671-0555x229 Intakes: (310)671-0555 (310)671-2797,,Methadone and Buprenorphine Clients Only,MH-SA/TX/DT/MM/DM/BU/OP/SF/MC/PI/SP/,9273CA90304,-118.35400102583412,33.94541252122507,100.0
Aegis Medical Systems Inc,La Mirada Methadone Treatment Program,,14240 East Imperial Highway,,,La Mirada,CA,90638,(562)946-1587 Intake: (800)821-0775,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/WN/MN/SF/MD/MC/SI/SS/AH/SP/,3070CA90638,-118.02825491317932,33.91703100106978,98.87
BAART Bay Area Addict Research Trt,Addiction Research and Treatment Inc,,15229 East Amar Road,,,La Puente,CA,91744,(626)855-5090,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/MD/SP/F17/F36/F81/,1948CA91744,-117.95262155858437,34.03786678261465,100.0
Western Pacific Lancaster,,,45335 North Sierra Highway,,,Lancaster,CA,93534,(661)949-8599 Hotline: (661)949-8599,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F4/,0572CA93534,-118.13837039270544,34.70685265243158,98.87
Western Pacific Medical Corporation,Western Pacific Antelope Valley Med,,45335 North Sierra Highway,,,Lancaster,CA,93534,(661)949-8599,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F4/,0572CA93534,-118.13837039270544,34.70685265243158,98.87
Lawndale Medical and Mental Health Services,,,4023 Marine Avenue,,,Lawndale,CA,90260,(310)675-9555,,Methadone and Buprenorphine Clients Only,MH-SA/TX/DT/MM/DM/BU/OP/SF/MC/PI/SP/,5646CA90260,-118.34461999980014,33.89467744803744,100.0
Department of Veterans Affairs,Long Beach Healthcare System,,5901 East 7th Street,Unit 116A-SATC,,Long Beach,CA,90822,(562)826-5610,,,SA/TX/DT/MM/DM/BU/OP/PH/CO/SF/MD/MC/SI/PI/MI/PA/,3584CA90822,-118.12000226493237,33.7754489707049,99.52
West County Medical Clinic,Substance Abuse Program,,100 East Market Street,,,Long Beach,CA,90805,(562)428-4222,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/SF/MD/SP/,0663CA90805,-118.19365093339657,33.854231067257764,100.0
West County Medical Corporation,,,2272 Pacific Avenue,Suite A,,Long Beach,CA,90806,(562)427-8018,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/PW/SF/MD/PI/AH/SP/,5928CA90806,-118.19364247759502,33.798541000019085,100.0
Addiction Research and Treatment Inc,,,1926 West Beverly Boulevard,,,Los Angeles,CA,90057,(213)353-1140 Intake: (213)607-2010,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/SI/PI/SP/,3964CA90057,-118.26849915937919,34.065823966667864,98.87
Addiction Research and Treatment Inc,,,4920 South Avalon Boulevard,,,Los Angeles,CA,90011,(323)235-5035 Intake: (310)235-5035,,Methadone and Buprenorphine Clients Only,SA/TX/MM/BU/OP/PW/SF/MD/SS/SP/F25/,0470CA90011,-118.26521253132496,33.998127986676124,98.87
American Health Services,Hollywood Medical Mental Health Servs,,5015 West Pico Boulevard,,,Los Angeles,CA,90019,(323)653-1677,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/PW/SF/SI/SP/,7671CA90019,-118.34638397132343,34.047807484887485,100.0
BuenaCare,AltaMed Health Services,,1701 Zonal Avenue,,,Los Angeles,CA,90033,(323)223-6146,,Methadone and Buprenorphine Clients Only,GH/TX/MM/BU/OP/CJ/SF/MD/MC/PI/SS/SP/,4574CA90033,-118.21031257426844,34.06188539418482,100.0
Matrix Institute,,,5220 West Washington Boulevard,Suite 101,,Los Angeles,CA,90016,(323)933-9186 Hotlines: (800)310-7700 (310)207-4322,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/CO/HV/PW/WN/MN/CJ/SF/MD/MC/SS/PA/SP/,5328CA90016,-118.35469948982576,34.0414235340624,100.0
Narcotics Prevention Project/Methadone,Maintenance Treatment Program,,942 South Atlantic Boulevard,,,Los Angeles,CA,90022,(323)263-9700 Intakes: (323)263-9700x0 (866)677-6190,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MD/MC/SS/SP/,1178CA90022,-118.15762066196535,34.01924967021644,100.0
