name1,name2,street1,street2,city,state,zip,zip4,category,countyGEOID,countyName,source,Longitude,Latitude,
Comm Mental Health Consultants Inc,NA,815 South Ash Street,NA,Nevada,MO,64772,NA,buprenorphine,29217,Vernon,SAMHSA,37.831103,-94.35965078,37.831103
Compass Health Inc,Pathways Comm Behavioral Hlthcare,320 North Mac Boulevard,NA,Nevada,MO,64772,NA,buprenorphine,29217,Vernon,SAMHSA,37.8384313,-94.3286598,37.8384313
ABC Health Group,Matrix Center/Wichita,9918 East Harry Street,NA,Wichita,KS,67207,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.665379,-97.22253,37.665379
Eastern Oklahoma VA Healthcare Sys,NA,1011 Honor Heights Drive,NA,Muskogee,OK,74401,NA,buprenorphine,40101,Muskogee,SAMHSA,35.764735,-95.4144397,35.764735
STOP Program,NA,8911 East Orme Street,Suite A,Wichita,KS,67207,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.6758727,-97.2333651,37.6758727
Prairie View Mental Health Center,Wichita at Legacy Park,9333 East 21st Street North,NA,Wichita,KS,67206,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.7210491,-97.2299767,37.7210491
Cherokee Nation,Three Rivers Hlth Ctr,1001 South 41st Street East,NA,Muskogee,OK,74403,NA,buprenorphine,40101,Muskogee,SAMHSA,35.7530498,-95.3112618,35.7530498
Substance Use Disorder Clinic (SUDC,Robert J Dole VA Medical Center,5500 East Kellogg Avenue,BH-SUDC Building 5,Wichita,KS,67218,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.6812131,-97.2746735,37.6812131
Valley Hope Cushing,NA,100 South Jones Avenue,NA,Cushing,OK,74023,NA,buprenorphine,40119,Payne,SAMHSA,35.97677,-96.745624,35.97677
Preferred Family Healthcare Inc,Hillside,830 South Hillside Street,NA,Wichita,KS,67211,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.672594,-97.298469,37.672594
Hunter Health,NA,527 North Grove,NA,Wichita,KS,67214,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.6940103,-97.3078862,37.6940103
HealthCore Clinic Inc,NA,2707 East 21st Street North,NA,Wichita,KS,67214,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.7224717,-97.3051244,37.7224717
Center for Change,NA,933 North Topeka Street,NA,Wichita,KS,67214,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.6995242,-97.3346385,37.6995242
Wichita Comprehensive Treatment Ctr,NA,939 North Main Street,NA,Wichita,KS,67203,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.6999965,-97.338533,37.6999965
Road to Recovery Lawrence LLC,NA,1333 North Broadway,Suite E,Wichita,KS,67214,NA,buprenorphine,20173,Sedgwick,SAMHSA,37.7074175,-97.3358843,37.7074175
Clark Community Mental Health Ctr,NA,1701 North Central Avenue,NA,Monett,MO,65708,NA,buprenorphine,29109,Lawrence,SAMHSA,36.9436673,-93.9265307,36.9436673
Clark Community Mental Health Ctr,NA,411 3rd Street,NA,Monett,MO,65708,NA,buprenorphine,29009,Barry,SAMHSA,36.9232887,-93.9252965,36.9232887
Grand Lake Mental Health Center Inc,NA,604 South Walnut Street,NA,Stillwater,OK,74074,4222,buprenorphine,40119,Payne,SAMHSA,36.1156417,-97.0787118,36.1156417
Clark Community Mental Health Center,NA,1701 Townsend,NA,Cassville,MO,65625,1451,buprenorphine,29009,Barry,SAMHSA,36.6878573,-93.865749,36.6878573
Compass Health Inc,Pathways Comm Behavioral Hlthcare,107 West Broadway Street,NA,El Dorado Springs,MO,64744,NA,buprenorphine,29039,Cedar,SAMHSA,37.878146,-94.0221138,37.878146
Compass Health Inc,NA,1301 Industrial Parkway East,NA,El Dorado Springs,MO,64744,6263,buprenorphine,29039,Cedar,SAMHSA,37.8614889,-93.9970303,37.8614889
Prairie View Inc,Newton,1901 East 1st Street,NA,Newton,KS,67114,NA,buprenorphine,20079,Harvey,SAMHSA,38.0414964,-97.3136109,38.0414964
Compass Health Inc,NA,805 North Orange Street,NA,Butler,MO,64730,9382,buprenorphine,29013,Bates,SAMHSA,38.2659776,-94.344157,38.2659776
Stockton Medical Group,NA,8 West Colt Square Drive,NA,Fayetteville,AR,72703,NA,buprenorphine,5143,Washington,SAMHSA,36.0926912,-94.1557129,36.0926912
Veterans Healthcare Syst of the Ozarks,NA,1100 North College Street,Unit 116-A,Fayetteville,AR,72703,NA,buprenorphine,5143,Washington,SAMHSA,36.0808707,-94.1600145,36.0808707
Gateway to Prevention and Recovery,NA,710 Manvel Street,NA,Chandler,OK,74834,NA,buprenorphine,40081,Lincoln,SAMHSA,35.7032778,-96.8804648,35.7032778
Redbird Smith Health Center,NA,301 JT Stites Avenue,NA,Sallisaw,OK,74955,NA,buprenorphine,40135,Sequoyah,SAMHSA,35.4557754,-94.8140896,35.4557754
Valley Hope,Moundridge,200 South Avenue B,NA,Moundridge,KS,67107,NA,buprenorphine,20113,McPherson,SAMHSA,38.201666,-97.506455,38.201666
North Oklahoma Cnty MH Center Inc,NA,1911 East Rutgers Avenue,NA,Guthrie,OK,73044,NA,buprenorphine,40083,Logan,SAMHSA,35.8745526,-97.4024274,35.8745526
NorthCare Family Treatment Center,NA,1916 East Perkins Avenue,NA,Guthrie,OK,73044,NA,buprenorphine,40083,Logan,SAMHSA,35.873992,-97.402301,35.873992
Compass Health Inc,Pathways Comm Behavioral Hlthcare,101 Hospital Drive,NA,Osceola,MO,64776,6284,buprenorphine,29185,St. Clair,SAMHSA,38.051325,-93.691111,38.051325
Carl Albert,Community Mental Health Center,1407 NE D Street,Suite B,Stigler,OK,74462,NA,buprenorphine,40061,Haskell,SAMHSA,35.2584589,-95.1097835,35.2584589
Center for Change,Lawrence,1910 Haskell Avenue,Suite A-9,Lawrence,KS,66046,NA,buprenorphine,20045,Douglas,SAMHSA,38.9487749,-95.2222225,38.9487749
Comm Mental Health Consultants Inc,Cass County Psychological Services,306 South Independence Street,NA,Harrisonville,MO,64701,NA,buprenorphine,29037,Cass,SAMHSA,38.65366,-94.348829,38.65366
Compass Health Inc,Pathways Comm Behavioral Hlthcare,300 Galaxie Avenue,NA,Harrisonville,MO,64701,NA,buprenorphine,29037,Cass,SAMHSA,38.6555462,-94.3311206,38.6555462
Southside Behav Health and,Wellness,1120 South Springfield Avenue,NA,Bolivar,MO,65613,NA,buprenorphine,29167,Polk,SAMHSA,37.603133,-93.4052463,37.603133
BHG XLIII,DBA BHG Northern Springfield Trt Ctr,2551 West Kearney Street,NA,Springfield,MO,65803,NA,buprenorphine,29077,Greene,SAMHSA,37.24186,-93.326587,37.24186
Preferred Family Healthcare Inc,NA,2411 West Catalpa Street,NA,Springfield,MO,65807,NA,buprenorphine,29077,Greene,SAMHSA,37.193523,-93.321732,37.193523
Eastern Kansas VA Healthcare Systems,Substance Abuse Treatment Team,2200 SW Gage Boulevard,NA,Topeka,KS,66622,NA,buprenorphine,20177,Shawnee,SAMHSA,39.0263036,-95.7229504,39.0263036
DRD Management Inc,BHG Springfield Treatment Center,404 East Battlefield Road,NA,Springfield,MO,65807,NA,buprenorphine,29077,Greene,SAMHSA,37.1596909,-93.2908727,37.1596909
Rightway Medical of Roland,NA,117 East Ray Fine Boulevard,NA,Roland,OK,74954,NA,buprenorphine,40135,Sequoyah,SAMHSA,35.4050485,-94.5174447,35.4050485
Center for Addictions,Cox Health,1423 North Jefferson Street,NA,Springfield,MO,65802,NA,buprenorphine,29077,Greene,SAMHSA,37.22498,-93.289904,37.22498
Kickapoo Tribe of Oklahoma,NA,105365 South Highway 102,NA,McLoud,OK,74851,NA,buprenorphine,40081,Lincoln,SAMHSA,35.4867367,-97.0896458,35.4867367
Heartland Center for Behavioral Change,NA,840 South Glenstone Avenue,NA,Springfield,MO,65802,3364,buprenorphine,29077,Greene,SAMHSA,37.1987835,-93.2614217,37.1987835
Gateway to Prevention and Recovery,NA,1010 East 45th Street,NA,Shawnee,OK,74804,NA,buprenorphine,40125,Pottawatomie,SAMHSA,35.3767886,-96.9101387,35.3767886
Compass Health Inc,Pathways Comm Behavioral Hlthcare,1010 Remington Plaza,NA,Raymore,MO,64083,8640,buprenorphine,29037,Cass,SAMHSA,38.8132632,-94.4710041,38.8132632
Compass Clinic,NA,3029 East Sunshine Street,Suite C,Springfield,MO,65804,NA,buprenorphine,29077,Greene,SAMHSA,37.180588,-93.234096,37.180588
Central Kansas Foundation,McPherson,208 South Main Street,NA,McPherson,KS,67460,NA,buprenorphine,20113,McPherson,SAMHSA,38.367793,-97.667298,38.367793
Valley Hope,Overland Park,10114 West 105th Street,NA,Overland Park,KS,66212,5746,buprenorphine,20091,Johnson,SAMHSA,38.9389596,-94.7031595,38.9389596
Gateway to Prevention and Recovery Inc,NA,220 North Main Street,NA,Seminole,OK,74868,NA,buprenorphine,40133,Seminole,SAMHSA,35.2250201,-96.668163,35.2250201
Compass Health Inc,Pathways Comm Behavioral Hlthcare,1800 Community Drive,NA,Clinton,MO,64735,NA,buprenorphine,29083,Henry,SAMHSA,38.3924426,-93.7686592,38.3924426
Awakenings KC,NA,5300 West 94th Terrace,Suite 200,Overland Park,KS,66207,2504,buprenorphine,20091,Johnson,SAMHSA,38.9583085,-94.6472417,38.9583085
Western Arkansas Counseling and,Guidance Center Inc,3113 South 70th Street,NA,Fort Smith,AR,72903,NA,buprenorphine,5131,Sebastian,SAMHSA,35.3525176,-94.3550677,35.3525176
Carl Albert,Community Mental Health Center,117 Rogers Drive,NA,Holdenville,OK,74848,NA,buprenorphine,40063,Hughes,SAMHSA,35.087173,-96.3782756,35.087173
ReDiscover,Treatment Options Program,8800 Blue Ridge Boulevard,NA,Kansas City,MO,64138,NA,buprenorphine,29095,Jackson,SAMHSA,38.962863,-94.4988903,38.962863
Mission Treatment Centers Inc,OKC Hefner,948 West Hefner Road,NA,Oklahoma City,OK,73114,NA,buprenorphine,40109,Oklahoma,SAMHSA,35.5797222,-97.5308009,35.5797222
KC CARE Research Medical Center,NA,2340 East Meyer Boulevard,Building 1 Suite 200,Kansas City,MO,64132,NA,buprenorphine,29095,Jackson,SAMHSA,39.0100512,-94.5573653,39.0100512
ReDiscover,NA,1579 NE Rice Road,NA,Lees Summit,MO,64081,5849,buprenorphine,29095,Jackson,SAMHSA,38.9405565,-94.35913,38.9405565
Central Kansas Foundation,Junction City,839 North Eisenhower Drive,NA,Junction City,KS,66441,NA,buprenorphine,20061,Geary,SAMHSA,39.030651,-96.849131,39.030651
Red Rock Behavioral Health Services,NA,4300 North Lincoln Boulevard,NA,Oklahoma City,OK,73105,5107,buprenorphine,40109,Oklahoma,SAMHSA,35.5154758,-97.5026904,35.5154758
Preferred Family Healthcare Inc,NA,8333 East Blue Parkway,NA,Kansas City,MO,64133,NA,buprenorphine,29095,Jackson,SAMHSA,39.003921,-94.484737,39.003921
Kansas City Metro Methadone Prog,NA,3901 Rainbow Boulevard,Mail Stop 4015,Kansas City,KS,66160,NA,buprenorphine,20209,Wyandotte,SAMHSA,39.0571845,-94.6104903,39.0571845
Drug Recovery Inc,DBA Catalyst Behavioral Services,3033 North Walnut Avenue,West Building,Oklahoma City,OK,73105,NA,buprenorphine,40109,Oklahoma,SAMHSA,35.5001801,-97.5080153,35.5001801
Swope Health Services,NA,3801 Blue Parkway,NA,Kansas City,MO,64130,2807,buprenorphine,29095,Jackson,SAMHSA,39.0349625,-94.5398225,39.0349625
Carl Albert,Community Mental Health Center,1101 East Monroe Avenue,P.O. Box 579,McAlester,OK,74501,NA,buprenorphine,40121,Pittsburg,SAMHSA,34.9343339,-95.7512023,34.9343339
Cope Inc,NA,2701 North Oklahoma Avenue,NA,Oklahoma City,OK,73105,NA,buprenorphine,40109,Oklahoma,SAMHSA,35.4970652,-97.5102148,35.4970652
Veterans Affairs Medical Center,Substance Treatment and Recovery,921 NE 13th Street,Unit 116-C,Oklahoma City,OK,73104,NA,buprenorphine,40109,Oklahoma,SAMHSA,35.483272,-97.4958905,35.483272
KC CARE Health Center,NA,3515 Broadway Boulevard,NA,Kansas City,MO,64111,NA,buprenorphine,29095,Jackson,SAMHSA,39.0633446,-94.5900535,39.0633446
ReDiscover,Alt Care,3211 Woodland Avenue,NA,Kansas City,MO,64109,NA,buprenorphine,29095,Jackson,SAMHSA,39.0675359,-94.562131,39.0675359
ReDiscover,Women and Children,3211 Woodland Avenue,NA,Kansas City,MO,64109,NA,buprenorphine,29095,Jackson,SAMHSA,39.0675359,-94.562131,39.0675359
Central Kansas Foundation,Abilene,306 North Cedar Street,NA,Abilene,KS,67410,NA,buprenorphine,20041,Dickinson,SAMHSA,38.917548,-97.21649,38.917548
Oklahoma Treatment Services LLC,NA,2202 Peaceable Road,NA,McAlester,OK,74501,NA,buprenorphine,40121,Pittsburg,SAMHSA,34.9073319,-95.7448636,34.9073319
Veterans Affairs Medical Center,Substance Abuse Treatment Prog,4801 Linwood Boulevard,NA,Kansas City,MO,64128,NA,buprenorphine,29095,Jackson,SAMHSA,39.0672945,-94.5288796,39.0672945
ReDiscover,Transitions Clinic,1000 East 24th Street,NA,Kansas City,MO,64108,NA,buprenorphine,29095,Jackson,SAMHSA,39.084993,-94.572189,39.084993
Truman Medical Center Behav Hlth,Recovery Health Services,1000 East 24th Street,Suite 2-E,Kansas City,MO,64108,2026,buprenorphine,29095,Jackson,SAMHSA,39.084993,-94.572189,39.084993
Mission Treatment Centers Inc,NA,1737 Linwood Boulevard,NA,Oklahoma City,OK,73106,NA,buprenorphine,40109,Oklahoma,SAMHSA,35.4751831,-97.5407466,35.4751831
Compass Health Inc,Pathways Comm Behavioral Hlthcare,17571 North Dam Access Road,NA,Warsaw,MO,65355,6396,buprenorphine,29015,Benton,SAMHSA,38.2648759,-93.3863845,38.2648759
DRD Kansas City Medical Clinic,DBA BHG Kansas City Treatment Ctr,723 East 18th Street,NA,Kansas City,MO,64108,NA,buprenorphine,29095,Jackson,SAMHSA,39.0912635,-94.5745131,39.0912635
Heartland Center for Behavioral Change,NA,1534 Campbell Street,NA,Kansas City,MO,64108,NA,buprenorphine,29095,Jackson,SAMHSA,39.0943051,-94.5730419,39.0943051
North Oklahoma Cnty MH Center Inc,DBA Northcare,2617 General Pershing Boulevard,NA,Oklahoma City,OK,73107,6437,buprenorphine,40109,Oklahoma,SAMHSA,35.474605,-97.561505,35.474605
BHG XXX LPC,BHG Kansas City North,1125 North 5th Street,NA,Kansas City,KS,66101,NA,buprenorphine,20209,Wyandotte,SAMHSA,39.1167833,-94.6206669,39.1167833
Comprehensive Mental Health Servs,George W Norman Jr Recovery Ctr,4231 South Hocker Drive,NA,Independence,MO,64055,NA,buprenorphine,29095,Jackson,SAMHSA,39.0430533,-94.4079615,39.0430533
Comprehensive Mental Health Servs,Residential,4231 South Hocker Drive,NA,Independence,MO,64055,NA,buprenorphine,29095,Jackson,SAMHSA,39.0430533,-94.4079615,39.0430533
Kansas City Psychiatric and,Psychological Services LLC,4731 South Cochise Drive,Suite 206,Independence,MO,64055,NA,buprenorphine,29095,Jackson,SAMHSA,39.0322662,-94.362744,39.0322662
Rightway Medical OKC South,NA,1613 SE 66th Street,Suite A,Oklahoma City,OK,73149,NA,buprenorphine,40109,Oklahoma,SAMHSA,35.3986231,-97.4832343,35.3986231
KC CARE Northeast Location,NA,4601 Independence Avenue,NA,Kansas City,MO,64124,NA,buprenorphine,29095,Jackson,SAMHSA,39.1053168,-94.527867,39.1053168
HOPE Community Services Inc,NA,6100 South Walker Avenue,NA,Oklahoma City,OK,73139,NA,buprenorphine,40109,Oklahoma,SAMHSA,35.4050979,-97.521097,35.4050979
Able Recovery 1 LLC,NA,4901 South Pennsylvania Avenue,NA,Oklahoma City,OK,73119,4945,buprenorphine,40109,Oklahoma,SAMHSA,35.4166248,-97.5483775,35.4166248
Ozark Guidance Center,NA,117 Sawgrass Point,NA,Harrison,AR,72601,NA,buprenorphine,5009,Boone,SAMHSA,36.2297936,-93.1076765,36.2297936
VA Eastern Kansas Healthcare System,Addiction Treatment Program LVN,4101 South 4th Street,Unit A-6,Leavenworth,KS,66048,NA,buprenorphine,20103,Leavenworth,SAMHSA,39.2797604,-94.8943288,39.2797604
Central Kansas Foundation,Salina,617 East Elm Street,NA,Salina,KS,67401,8537,buprenorphine,20169,Saline,SAMHSA,38.8455821,-97.6023998,38.8455821
Tri County Mental Health Services,Main Office,3100 NE 83rd Street,Suite 1001,Kansas City,MO,64119,NA,buprenorphine,29047,Clay,SAMHSA,39.2065,-94.5176,39.2065
Compass Health Inc,Pathways Comm Behavioral Hlthcare,703 North Devasher Road,NA,Warrensburg,MO,64093,NA,buprenorphine,29101,Johnson,SAMHSA,38.772495,-93.700456,38.772495
Compass Health Inc,Pathways Comm Behavioral Hlthcare,1278 West U.S. Highway 40,NA,Odessa,MO,64076,NA,buprenorphine,29107,Lafayette,SAMHSA,39.008685,-93.9770035,39.008685
Preferred Family Healthcare Inc,NA,7 Westowne Street,NA,Liberty,MO,64068,NA,buprenorphine,29047,Clay,SAMHSA,39.2461896,-94.4391519,39.2461896
Midwest Institute for Addiction,NA,1512 NE 96th Street,Suite A,Liberty,MO,64068,7174,buprenorphine,29047,Clay,SAMHSA,39.2678439,-94.453942,39.2678439
Compass Health Inc,NA,860 Lynn Street,NA,Lebanon,MO,65536,3810,buprenorphine,29105,Laclede,SAMHSA,37.6959075,-92.6678283,37.6959075
Valley Hope,Atchison,1816 North 2nd Street,NA,Atchison,KS,66002,NA,buprenorphine,20005,Atchison,SAMHSA,39.581081,-95.115211,39.581081
Compass Health Inc,Pathways Comm Behavioral Hlthcare,1700 West Main Street,NA,Sedalia,MO,65301,3635,buprenorphine,29159,Pettis,SAMHSA,38.7142028,-93.2475987,38.7142028
Compass Health Inc,Pathways Comm Behavioral Hlthcare,741 North Business Route 5,NA,Camdenton,MO,65020,NA,buprenorphine,29029,Camden,SAMHSA,38.0006847,-92.7333706,38.0006847
Counseling Associates,NA,316 Highway 65 North,NA,Marshall,AR,72650,NA,buprenorphine,5129,Searcy,SAMHSA,35.9120632,-92.642106,35.9120632
Family Guidance Center,NA,901 Felix Street,NA,Saint Joseph,MO,64501,NA,buprenorphine,29021,Buchanan,SAMHSA,39.7667532,-94.8492258,39.7667532
St Kolbe Puckett Center for Healing,NA,210 North 7th Street,NA,Saint Joseph,MO,64501,NA,buprenorphine,29021,Buchanan,SAMHSA,39.7677049,-94.8521869,39.7677049
Family Counseling Center Inc,NA,219 East Second Street,NA,Mountain Grove,MO,65711,1749,buprenorphine,29229,Wright,SAMHSA,37.1300103,-92.2612036,37.1300103
St Joseph Metro Treatment Center,Metro Treatment of Missouri LP,3935 Sherman Avenue,NA,Saint Joseph,MO,64506,NA,buprenorphine,29021,Buchanan,SAMHSA,39.780968,-94.798177,39.780968
Preferred Family Healthcare Inc,NA,1702 Buckingham Drive,NA,Saint Joseph,MO,64506,3605,buprenorphine,29021,Buchanan,SAMHSA,39.782158,-94.7933,39.782158
Compass Health Inc,Pathways Comm Behavioral Hlthcare,206 South Mill Street,NA,Eldon,MO,65026,1864,buprenorphine,29131,Miller,SAMHSA,38.3483763,-92.578125,38.3483763
Valley Hope Association,Valley Hope of Boonville,1415 Ashley Road,NA,Boonville,MO,65233,NA,buprenorphine,29053,Cooper,SAMHSA,38.9531109,-92.7652055,38.9531109
Compass Health Inc,Pathways Comm Behavioral Healthcare,319 Main Street,NA,Boonville,MO,65233,1565,buprenorphine,29053,Cooper,SAMHSA,38.9758834,-92.7440787,38.9758834
Counseling Associates,NA,2526 Highway 65 South,Suite 201,Clinton,AR,72031,NA,buprenorphine,5141,Van Buren,SAMHSA,35.5588442,-92.4507586,35.5588442
BHG XXVIII LLC,BHG West Plains Treatment Center,1639 Bruce Smith Parkway,NA,West Plains,MO,65775,NA,buprenorphine,29091,Howell,SAMHSA,36.7125583,-91.8757748,36.7125583
Family Counseling Center Inc,Turning Leaf,1015 Lanton Road,NA,West Plains,MO,65775,NA,buprenorphine,29091,Howell,SAMHSA,36.7131685,-91.8428035,36.7131685
Counseling Associates Mountain View,Outpatient Clinic,106 Mountain Place Drive,NA,Mountain View,AR,72560,NA,buprenorphine,5137,Stone,SAMHSA,35.8643197,-92.1255919,35.8643197
Preferred Family Healthcare Inc,NA,210 Hoover Road,NA,Jefferson City,MO,65109,NA,buprenorphine,29051,Cole,SAMHSA,38.597596,-92.221681,38.597596
Lighthouse Behavioral Wellness Centers,(previously MHSSO,2530 South Commerce Street,Building B,Ardmore,OK,73401,NA,buprenorphine,40019,Carter,SAMHSA,34.1428018,-97.1411329,34.1428018
Preferred Family Healthcare Inc,Jefferson City Adolescent CSTAR,101 Adams Street,NA,Jefferson City,MO,65101,NA,buprenorphine,29051,Cole,SAMHSA,38.575804,-92.166089,38.575804
Compass Health Inc,Pathways Comm Behavioral Hlthcare,1000 West Nifong Street,Building 6 Suite 220-B,Columbia,MO,65203,NA,buprenorphine,29019,Boone,SAMHSA,38.9077234,-92.3559343,38.9077234
Southwest Arkansas Csl and MHC,NA,1312 West Collin Raye Drive,NA,De Queen,AR,71832,NA,buprenorphine,5133,Sevier,SAMHSA,34.0468489,-94.3531812,34.0468489
Harry S Truman Memorial,Veterans Hospital,800 Hospital Drive,NA,Columbia,MO,65201,NA,buprenorphine,29019,Boone,SAMHSA,38.9372354,-92.3288487,38.9372354
Compass Health Inc,Pathways Comm Behavioral Hlthcare,117 North Garth Avenue,NA,Columbia,MO,65203,NA,buprenorphine,29019,Boone,SAMHSA,38.9538144,-92.3393599,38.9538144
Compass Health Inc,Pathways Comm Behavioral Hlthcare,201 North Garth Avenue,NA,Columbia,MO,65203,NA,buprenorphine,29019,Boone,SAMHSA,38.9544162,-92.3392283,38.9544162
Phoenix Programs Inc,NA,90 East Leslie Lane,NA,Columbia,MO,65202,NA,buprenorphine,29019,Boone,SAMHSA,38.9716408,-92.335645,38.9716408
Compass Health Inc,Pathways Comm Behavioral Hlthcare,1448 East 10th Street,NA,Rolla,MO,65401,NA,buprenorphine,29161,Phelps,SAMHSA,37.9506681,-91.751325,37.9506681
DRD Management Inc,BHG Columbia Treatment Center,1301 Vandiver Drive,Suite Y,Columbia,MO,65202,NA,buprenorphine,29019,Boone,SAMHSA,38.9719349,-92.3208527,38.9719349
Reality House Programs Inc,Clinical Services Department,1301 Vandiver Drive,Suites 103-105-107-109,Columbia,MO,65202,NA,buprenorphine,29019,Boone,SAMHSA,38.9719349,-92.3208527,38.9719349
Carl Albert,Community Mental Health Center,2000 East Lincoln Street,NA,Idabel,OK,74745,NA,buprenorphine,40089,McCurtain,SAMHSA,33.8802524,-94.8027463,33.8802524
Family Guidance Center,NA,109 East Summit Drive,NA,Maryville,MO,64468,NA,buprenorphine,29147,Nodaway,SAMHSA,40.3198747,-94.8741228,40.3198747
Southern Oklahoma Treatment Services,NA,1307 SW Washington Avenue,NA,Lawton,OK,73501,NA,buprenorphine,40031,Comanche,SAMHSA,34.5936287,-98.4084557,34.5936287
Counseling Associates,NA,115 South 3rd Street,NA,Heber Springs,AR,72543,NA,buprenorphine,5023,Cleburne,SAMHSA,35.4909896,-92.0311839,35.4909896
