Name1,Name2,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID
COCHISE BEHAVIORAL HEALTH SERVICES INC,OUTPATIENT AND RESIDENTIAL,208 SOUTH HUACHUCA STREET,,,BENSON,AZ,85602.0,,Alcoholism/Drug,0546AZ85602
COCHISE BEHAVIORAL HEALTH SERVICES,CBHS INC,1 NACO HIGHWAY,,,BISBEE,AZ,85603.0,,Alcoholism/Drug,8613AZ85603
COCHISE COUNTY BEHAVIORAL HLTH SRVS,ICCBHSl BISBEE,OLD CENTRAL SCHOOL BUILDING,,,BISBEE,AZ,85603.0,(602)432-5766,Alcoholism/Drug,2160AZ85603
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl OUTPATIENT ADMINISTRATION,1919 NORTH TREKELL,,,CASA GRANDE,AZ,85222.0,,Alcoholism/Drug,3696AZ85222
BEHAVIORAL HLTH AGNCYY OF CENTRAL AZ,CBHACAl CASA GRANDE OUTPATIENT,102 NORTH FLORENCE STREET,,,CASA GRANDE,AZ,85222.0,,Alcoholism/Drug,3201AZ85222
CASA GRANDE VALLEY,COUNSELING SERVICE INC,ARIZONA BANK PLAZA SUITE H,408 NOQTH SACATON,,CASA GRANDE,AZ,85222.0,(602)836-0440,Alcoholism/Drug,5892AZ85222
TRI-CITY MENTAL HEALTH CENTER,CHANDLER OFFICE,311 NORTH ARIZONA AVENUE,,,CHANDLER,AZ,85224.0,(602)963-2281EXT.415,Alcoholism/Drug,4408AZ85224
GREENLEE HUNAN RESOURCE CENTER,,169 NORTH FRISCO STREET,,,CLIFTON,AZ,85533.0,(602)865-4531EXT.6,Alcoholism/Drug,7529AZ85533
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl ADULT RESIDENTIAL,MCCARTNEY ROAD AT OVERFIELD ROAD,,,COOLIDGE,AZ,85228.0,(602)723-7721,Alcoholism/Drug,6870AZ85228
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,CBHACAI COOLIDGE OUTPATIENT,850 CALIFORNIA STREET,,,COOLIDGE,AZ,85228.0,,Alcoholism/Drug,5360AZ85228
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAJ EMERGENCY DETOXIFICATION,MCCARTNEY ROAD AT OVERFIELD ROAD,,,COOLIDGE,AZ,85228.0,(602)723-7721,Alcoholism/Drug,6870AZ85228
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl HALFWAY HOUSE,11 MILE CORNER - TIERRA GRANDE,,,COOLIDGE,AZ,85228.0,(602)723-7700,Alcoholism/Drug,0342AZ85228
VERDE VALLEY COMMUNITY GUIDANCE CLINIC,,19 EAST BEECH STREET,P.O. BOX 925,,COTTONWOOD,AZ,86326.0,(602)774-5097,Alcoholism/Drug,9453AZ86326
COCHISE COUNTY BEHAVIORAL HLTH SERVS,(CCBHSl DOUGLAS,648 1/TH STREET,,,DOUGLAS,AZ,85607.0,,Alcoholism/Drug,9741AZ85607
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,,1 BHACA l ELOY OUTPATIEtff,100 EAST SEVENTH STREET,,ELOY,AZ,85231.0,(602)466-7765,Alcoholism/Drug,5001AZ85231
COCONINO COMMUNITY GUIDANCE CENTER,,519 NORTH LEROUX,,,FLAGSTAFF,AZ,86001.0,(602)774-3351,Alcoholism/Drug,3238AZ86001
COCONINO COMMUNITY GUIDANCE CENTER,SUBSTANCE ABUSE SERVICES,1820 EAST SIXTH AVENUE,,,FLAGSTAFF,AZ,86001.0,(602)774-3351EXT.133,Alcoholism/Drug,2336AZ86001
CODAMA VALLE DEL SOL NARCOTIC,PREVENTION PROJECT WEST,4859 WEST GLENDALE AVENUE,,,GLENDALE,AZ,85301.0,(602)258-6797,Drug,6428AZ85301
NW ORGANIZ FOR VOLUNTARY ALTERNATIVES,THE ALTERNATIVE SHOP,5008 WEST GLENDALE AVENUE,SUITE 102,,GLENDALE,AZ,85301.0,(602)937-9203,Alcoholism/Drug,7582AZ85301
WESTSIDE CENTER,OF PSYCHOTHERAPHY AND COUNSELING,5002 WEST GLENDALE AVENUE,,,GLENDALE,AZ,85301.0,(602)247-2070,Alcoholism/Drug,5027AZ85301
CENTRO DE AMISTAD INC,,5537 CALLE ENCINAS,,,GUADALUPE,AZ,85283.0,(602)839-2926,Alcoholism/Drug,0358AZ85283
COPPER BASIN BEHAVIORAL HEALTH SERVS,ICBBHSl,590 GARFIELD STREET,,,HAYDEN,AZ,85235.0,(602)356-7922,Alcoholism/Drug,5548AZ85235
COMMUNITY COUNSELING CENTERS INC,,105 NORTH FIFTH AVENUE,,,HOLBROOK,AZ,85025.0,(602)774-5097,Alcoholism/Drug,3806AZ85025
MOHAVE MENTAL HEALTH CLINIC,,305 WEST BEALE STREET,,,KINGMAN,AZ,86401.0,(602)753-6269,Alcoholism/Drug,6953AZ86401
PREHAB OF MESA INC,,1134 EAST UNIVERSITY,,,MESA,AZ,85203.0,(602)969-4024,Alcoholism/Drug,9687AZ85203
TRI-CITY MENTAL HEALTH CENTER,ITCNHCI EAST OFFICE,21 SOUTH HIBBERT STREET,,,MESA,AZ,85202.0,(602)834-7777EXT.415,Alcoholism/Drug,3746AZ85202
INTER MOUNTAIN COUNSELING SERVS,(IMBHAl FOR THE TRI-COMMUNITY,,,,ORACLE,AZ,85623.0,(602)896-9240,Alcohol,5333AZ85623
YUMA CNTY ASSN FOR BEHV HLTH SERVS INC,PARKER OFFICE,1401 JOSHUA,,,PARKER,AZ,85344.0,(602)669-8662,Alcoholism/Drug,3530AZ85344
CALVARY REHABILITATION CENTER,,329 NORTH THIRD AVENUE,,,PHOENIX,AZ,85003.0,(602)254-7092,Alcoholism/Drug,9949AZ85003
CODAMA TREATMENT PROGRAM,,2336 EAST BROADWAY ROAD,,,PHOENIX,AZ,85040.0,(602)264-0594,Drug,5076AZ85040
COOAMA TREATMENT PROGRAM,AKKI NORTH CENTER,4831 NORTH ELEVENTH STREET,,,PHOENIX,AZ,85014.0,(602)241-0652,Drug,9689AZ85014
COUNSELORS ASSOCIATED INC,,6750 NORTH 19TH AVENUE,SUITE I,,PHOENIX,AZ,85015.0,(602)242-6686,Alcoholism/Drug,7092AZ85015
INSTITUTE FOR HUMAN SERVICES,,421 NORTH 18TH STREET,SUITE 103,,PHOENIX,AZ,85006.0,(602)257-8089EXT.8090,Drug,7938AZ85006
NORTH COMMUNITY,BEHAVIORAL HEALTH CENTER (HCBHC),8900 HORTH CENTRAL,SUITE 107,,PHOENIX,AZ,85020.0,(602)997-9544,Alcoholism/Drug,7183AZ85020
PAUL S ARMOUR 110 TREATMENT CENTER,,6024 NORTH FOURTH PLACE,,,PHOENIX,AZ,85012.0,(602)277-5682,Drug,6832AZ85012
ST LUKES HOSPITAL MEDICAL CENTER,,525 NORTH 18TH STREET,,,PHOENIX,AZ,85006.0,(602)258-7373EXT.387,Alcohol,6236AZ85006
TERROS INC,,1313 NORTH SECOND STREET,SUITE 27,,PHOENIX,AZ,85004.0,(601)258-1505,Drug,0717AZ85004
THE NEW ARIZONA FAMILY INC,,1320 NORTH SECOND STREET,,,PHOENIX,AZ,85004.0,(602)258-0709,Drug,3657AZ85004
THE NEW FOUNDATION,,6401 SOUTH EIGHTH PLACE,,,PHOENIX,AZ,85040.0,(602)268-3421,Drug,9535AZ85040
VALLE DEL SOL INC,,1209 SOUTH FIRST AVENUE,,,PHOENIX,AZ,85003.0,(602)258-6797,Drug,6775AZ85003
7TH STEP FOUNDATION,DRUG/ALC ABUSE TREATMENT AND REHAB,715 NORTH 7TH AVENUE,,,PHOENIX,AZ,85007.0,(602)254-6218,Alcoholism/Drug,1010AZ85007
WEST YAVAPAI GUIDANCE CLINIC,,500 SOUTH MARINA STREET,P.O. BOX 2190,,PRESCOTT,AZ,86301.0,(602)774-5097,Alcoholism/Drug,2992AZ86301
APACHE COUNTY GUIDANCE CLINIC,,P.O. BOX 579,,,SAINT JOHNS,AZ,85936.0,(602)774-5097,Alcoholism/Drug,7027AZ85936
C C B H S,,102 NORTH SIXTH STREET,,,SIERRA VISTA,AZ,85635.0,(602)458-1796,Alcoholism/Drug,0884AZ85635
YUMA CNTY ASSN FOR BEHAVIORAL HLTH INC,SOMERTON OFFICE,113 MAIN STREET,,,SOMERTON,AZ,85350.0,(602)627-2592,s,7820AZ85350
TRI CITY MENTAL HEALTH CENTER,(TCMHCl TEMPE OFFICE,424 WEST BROADWAY,,,TEMPE,AZ,85281.0,(602)967-8685,Alcoholism/Drug,5361AZ85281
LA FRONTERA CENTER INC,CASA DE VIDA,410 SOUTH SIXTH AVENUE,,,TUCSON,AZ,85701.0,(602)792-0591,Drug,8969AZ85701
LA FRONTERA CENTER INC,HOPE CENTER CENTRAL,260 SOUTH SCOTT AVENUE,,,TUCSON,AZ,85701.0,(602)884-8470,Drug,6893AZ85701
LA FRONTERA CENTER INC,HOPE CENTER EAST,5329 EAST PIMA STREET,,,TUCSON,AZ,85712.0,(602)881-4230,Drug,0891AZ85712
SOUTHERN ARIZ MENTAL HLTH CENTER,OUTPT DRUG FREE AND ALC TRT CLINIC,1930 EAST SIXTH STREET,OUTPATIENT ANNEX,,TUCSON,AZ,85719.0,(602)882-5231,Alcoholism/Drug,6829AZ85719
TUCSON AWARENESS HOUSE,,1030 NORTH FOURTH AVENUE,,,TUCSON,AZ,85705.0,(602)622-2851,Drug,5335AZ85705
YOUTH SERVICE BUREAU,SUBSTANCE ABUSE,1390 WEST SPEEDWAY,ROOM 01,,TUCSON,AZ,85705.0,(602)623-9943,Drug,1979AZ85705
3HO FOUNDATION OF ARIZONA - 3HO ASHRAM,,1050 NORTH CHERRY AVENUE,,,TUCSON,AZ,85719.0,(602)327-1734,Drug,0681AZ85719
APACHE TRIBAL GUIDANCE CLINIC,,P.O. BOX 1089,,,WHITERIVER,AZ,85941.0,(602)774-5097,Alcoholism/Drug,4308AZ85941
COCHISE COUNTY BEHAVIORAL HLTH SERV,(CCBHSl WILLCOX TREATMENT CENTER,418 NORTH EL PASO AVENUE,,,WILLCOX,AZ,85643.0,(602)384-3777,Alcoholism/Drug,1819AZ85643
AWARENESS HOUSE OF YUMA,,712 SOUTH SECOND AVENUE,,,YUMA,AZ,85364.0,(602)783-5411,Drug,4601AZ85364
CATHOLIC SOCIAL SERVICE,,2450 SOUTH FOURTH AVENUE,ROON 501,,YUMA,AZ,85364.0,,Alcoholism/Drug,2846AZ85364
MADISON HOUSE,,2021 SOUTH MADISON AVENUE,,,YUMA,AZ,85364.0,(602)783-7590,Alcoholism/Drug,5666AZ85364
YUMA CNTY ASSN FOR BEHAV HLTH SERV INC,,FIRST STREET OFFICE,1300 FIRST STREET,SUITE 111,YUMA,AZ,85364.0,(602)783-0137,Alcoholism/Drug,1462AZ85364
YUMA OUTPATIENT CLINIC,,1355 WEST 16TH STREET,HALCO BUILDING,,YUMA,AZ,85364.0,(602)782-4365,Alcoholism/Drug,6661AZ85364
OUACHITA REGIONAL COUNSELING & MHC,ARKADELPHIA CLINIC,408 CLAY STREET,,,ARKADELPHIA,AR,71923.0,(501)246-6739,Alcoholism/Drug,7501AR71923
NORTH CENTRAL ARKANSAS,MENTAL HEALTH CENTER,1800 MYERS STREET,,,BATESVILLE,AR,72501.0,(501)793-4191,Alcoholism/Drug,1716AR72501
SALINE COUNTY,COUNSELING AND GUIDANCE,307 EAST SEVIER STREET,,,BENTON,AR,72015.0,(501)778-0404,Alcoholism/Drug,0034AR72015
SOUTH ARKANSAS REGIONAL HEALTH CENTER,QUACHITA COUNTY DIV - CAMDEN,120 JACKSON STREET,,,CAMDEN,AR,71701.0,(501)836-5743,Alcoholism/Drug,3639AR71701
HUMAN SERVICES CENTER OF,WEST CENTRAL ARKANSAS INC,1622 NORTH DONAGHEY,P.O. BOX 1528,,CONWAY,AR,72032.0,(501)327-7706EXT.52,Alcoholism/Drug,8426AR72032
DELTA COUNSELING ANO GUIDANCE CENTER,CROSSETT CLINIC,115 PINE STREET,,,CROSSETT,AR,71635.0,(501)364-6471,Alcoholism/Drug,6898AR71635
SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER DEQUEEN CENTER,,HIGHWAY 71 NORTH,,,DE QUEEN,AR,71832.0,(501)584-7115,Drug,7492AR71832
DELTA COUNSELING AND GUIDANCE CENTER,DERMOTT CLINIC,P.O. BOX 183,,,DERMOTT,AR,71638.0,(501)538-3213,Alcoholism/Drug,3533AR71638
DELTA COUNSELING AND GUIDANCE CENTER,DUMAS CLINIC,,BOX 311,,DUMAS,AR,71639.0,(501)382-4001,Alcoholism/Drug,2419AR71639
SOUTH ARKANSAS REGIONAL HEALTH CENTER,ALCOHOL ANO DRUG TREATMENT PROGRAM,715 NORTH COLLEGE STREET,,,EL DORADO,AR,71730.0,(501)862-7921,Alcoholism/Drug,5314AR71730
WESTERN ARKANSAS COUNSELING,AND GUIDANCE CENTER,3111 SOUTH 70TH,P.O. BOX 2887 STATION A,,FORT SMITH,AR,72903.0,(501)452-6650,Alcoholism/Drug,0590AR72903
CUMMINS UNIT SUBSTANCE ABUSE,CORRECTIONAL COUNSELING,HIGHWAY 65 SOUTH,,,GRADY,AR,71644.0,(501)479-3311EXT.235,Drug,3751AR71644
OZARK REGIONAL MENTAL HEALTH CENTER,CORNER RUSH ANO VINE,,,,HARRISON,AR,72601.0,(501)741-8216,Alcoholism/Drug,2629AR72601
MENTAL HEALTH CLINIC,HEBER SPRINGS UNIT,,,,HEBER SPRINGS,AR,72543.0,(501)362-2207,Alcoholism/Drug,8522AR72543
OR C P MCCARTY,,513 PORTER STREET,,,HELENA,AR,72342.0,(501)338-7401,Drug,2071AR72342
EAST ARKANSAS,REGIONAL MENTAL HEALTH CENTER,305 VALLEY DRIVE,,,HELENA,AR,72342.0,(501)338-6741,Drug,2780AR72342
SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER,,ROUTE 1,BOX 360-S,,HOPE,AR,71801.0,(501)777-9051,Drug,5412AR71801
OUACHITA REGIONAL COUNSELING AND MENTAL HEALTH CENTER,,700 SOUTH STREET,P.O. BOX 1106,,HOT SPRINGS,AR,71901.0,(501)624-7111,Alcoholism/Drug,0452AR71901
GEORGE W JACKSON CMHC,DRUG ABUSE PROGRAM,29�0 MCCLELLAN DRIVE,,,JONESBORO,AR,72401.0,(501)972-4007,Drug,4130AR72401
ARKANSAS MENTAL HEALTH SERVICES,,WEST SEVENTH STREET AT HOOPER DRIVE,HENDRIX HALL ROOM 126,,LITTLE ROCK,AR,72201.0,(501)664-4500EXT.267,Drug,4165AR72201
E O A OF PULASKI COUNTY,THE OTHER WAY,4201 BARROW ROAD,,,LITTLE ROCK,AR,72204.0,(501)568-1682,Drug,6578AR72204
GYST HOUSE,,1616 WEST 14TH STREET,,,LITTLE ROCK,AR,72202.0,(501)372-2855,Drug,1426AR72202
LONOKE/PRAIRIE MENTAL HEALTH CENTER,,SECOND AND DEPOT STREETS,,,LONOKE,AR,72086.0,(501)676-3151,Alcoholism/Drug,1492AR72086
SOUTH ARKANSAS REGIONAL HEALTH CENTER,COLUMBIA COUNTY DIV - MAGNOLIA,119 NORTH PINE,,,MAGNOLIA,AR,71753.0,(501)234-7500,Alcoholism/Drug,8963AR71753
OUACHITA REGIONAL COUNSELING AND MENTAL HEALTH CENTER - MALVERN CLINIC,,1524 POTTS STREET,,,MALVERN,AR,72104.0,(501)332-5236,Alcoholism/Drug,5437AR72104
DELTA COUNSELING AND GUIDANCE CENTER,MCGEHEE SERVICE CENTER,109 SEAMON,,,MCGEHEE,AR,71655.0,(501)222-3107,Alcoholism/Drug,1181AR71655
DELTA COUNSELING AND GUIDANCE CENTER,,ROBERTS DRIVE,DRAWER A,,MONTICELLO,AR,71655.0,(501)367-2461,Alcoholism/Drug,2926AR71655
OZARK REGIONAL MENTAL HEALTH CLINIC,MOUNTAIN HOME CLINIC,P.O. BOX 487,,,MOUNTAIN HOME,AR,72653.0,(501)425-6901,Alcoholism/Drug,8484AR72653
SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER NASHVILLE UNIT,,121 WEST HOl-lARD,,,NASHVILLE,AR,71852.0,(501)845-3110,Drug,0536AR71852
MENTAL HEALTH CENTER,NEWPORT UNIT,1507 PECAN STREET,,,NEWPORT,AR,72112.0,(501)523-8114,Alcoholism/Drug,9410AR72112
FAMILY SERVICE AGENCY OF CENTRAL ARK,OUTPATIENT DRUG ABUSE REHAB SERVICES,2700 WILLOW,P.O. BOX 500,,NORTH LITTLE ROCK,AR,72115.0,(501)758-1516,Drug,5604AR72115
SOUTHEAST ARKANSAS MENTAL HEALTH CTR,,2500 RIKE DRIVE,P.O. BOX 1019,,PINE BLUFF,AR,71603.0,(501)534-1834,Drug,0285AR71603
SOUTHEAST ARKANSAS MENTAL HEALTH CTR,CLEVELAND COUNTY DIVISION - RISON,105 MAGNOLIA STREET,P.O. BOX 473,,RISON,AR,71665.0,(501)534-1834,Alcoholism/Drug,9809AR71665
RUSSELLVILLE HUMAN SERVICES CENTER OF,WEST CENTRAL ARKANSAS INC,319 SOUTH COMMERCE,,,RUSSELLVILLE,AR,72801.0,(501)968-1298,Alcoholism/Drug,1406AR72801
SOUTHEAST ARKANSAS MENTAL HEALTH CTR,SHERIDAN CLINIC,213 HOLLY,,,SHERIDAN,AR,72150.0,(501)942-5101,Alcoholism/Drug,1829AR72150
OZARK GUIDANCE CENTER,ALCOHOL AND DRUG PROBLEMS,219 SOUTH THOMPSON,P.O. BOX 289,,SPRINGDALE,AR,72764.0,(501)751-7052,Alcoholism/Drug,1993AR72764
SOUTHEAST ARKANSAS MENTAL HEALTH CTR,STAR CITY CLINIC,P.O. BOX 8,,,STAR CITY,AR,71667.0,(501)628-4181,Alcoholism/Drug,1987AR71667
SOUTHEAST ARKANSAS MENTAL HEALTH CTR,STUTTGART CLINIC,1012 EAST FIRST STREET,,,STUTTGART,AR,72160.0,(501)673-1633,Alcoholism/Drug,0174AR72160
SOUTHWEST ARKANSAS,COUNSELING AND MENTAL HEALTH CENTER,6800 NORTH STATE LINE AVENUE,,,TEXARKANA,AR,75502.0,(501)773-4655,Drug,8989AR75502
EAST ARKANSAS REGIONAL MH CTR,WEST MEMPHIS CLINIC,105 WEST HARRISON,P.O. BOX 1248,,WEST MEMPHIS,AR,72301.0,(501)735-6923,Drug,1196AR72301
EAST ARKANSAS REGIONAL MH CTR,WYNNE CLINIC,611 EAST UNION,P.O. BOX 538,,WYNNE,AR,72396.0,(501)238-8551,Drug,8693AR72396
ALAMEDA LOVE SWITCHBOARD INC,XANTHOS HOUSE,1724 SANTA CLARA AVENUE,,,ALAMEDA,CA,94501.0,(415)522-8363,Drug,2793CA94501
MODOC COUNTY MENTAL HEALTH SERVICE,,137 HENDERSON STREET,P.O. BOX 1490,,ALTURAS,CA,96101.0,(916)233-4576,Alcoholism/Drug,0015CA96101
ANAHEIM DETOXIFICATION,,1133 NORTH HOMER STREET,,,ANAHEIM,CA,92801.0,(714)991-2334,Drug,0786CA92801
ANAHEIM METHADONE MAINTENANCE,,1133 NORTH HOMER STREET,,,ANAHEIM,CA,92801.0,(714)991-2155,Drug,9457CA92801
HOPE HOUSE,,714 HORTH ANAHEIM BOULEVARD,,,ANAHEIM,CA,92805.0,(714)776-6090,Alcoholism/Drug,6328CA92805
REACH PROJECT,,2006-A STREET,P.O. BOX 273 ROOM 14,,ANTIOCH,CA,94509.0,(415)754-3673,Drug,9489CA94509
HOY INC,HELP OUR YOUTH,128 WHEELER AVENUE,,,ARCADIA,CA,91006.0,(213)446-2572,Drug,5350CA91006
PLACER AWARENESS HOUSE INC,,219 MAPLE STREET,,,AUBURN,CA,95603.0,(916)885-0441,Alcoholism/Drug,6153CA95603
VICTORY HOME FOR MEN,,638 ROCKVILLE AVENUE,,,AZUSA,CA,91702.0,(213)334-9141,Drug,8526CA91702
BAKERSFIELD COUNSELING GROUP,,2008 D STREET,,,BAKERSFIELD,CA,93301.0,(805)325-9401,Drug,4289CA93301
