Name1,Name2,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID,Longitude,Latitude,Match Score
COCHISE BEHAVIORAL HEALTH SERVICES,CBHS INC,1 NACO HIGHWAY,,,BISBEE,AZ,85603.0,,Alcoholism/Drug,0269AZ85603,-109.9190529353083,31.399407681858918,98.45
COCHISE COUNTY BEHAVIORAL HLTH SRVS,ICCBHSl BISBEE,OLD CENTRAL SCHOOL BUILDING,,,BISBEE,AZ,85603.0,(602)432-5766,Alcoholism/Drug,5580AZ85603,-109.87788999999998,31.411815000000054,85.0
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl OUTPATIENT ADMINISTRATION,1919 NORTH TREKELL,,,CASA GRANDE,AZ,85222.0,,Alcoholism/Drug,6738AZ85222,-111.74001004162251,32.90572393355227,92.73
BEHAVIORAL HLTH AGNCYY OF CENTRAL AZ,CBHACAl CASA GRANDE OUTPATIENT,102 NORTH FLORENCE STREET,,,CASA GRANDE,AZ,85222.0,,Alcoholism/Drug,6252AZ85222,-111.75460243213665,32.87593041680561,98.72
CASA GRANDE VALLEY,COUNSELING SERVICE INC,ARIZONA BANK PLAZA SUITE H,408 NOQTH SACATON,,CASA GRANDE,AZ,85222.0,(602)836-0440,Alcoholism/Drug,1721AZ85222,-111.75725999999996,32.89677000000006,85.0
TRI-CITY MENTAL HEALTH CENTER,CHANDLER OFFICE,311 NORTH ARIZONA AVENUE,,,CHANDLER,AZ,85224.0,(602)963-2281EXT.415,Alcoholism/Drug,9831AZ85224,-111.84139263362889,33.308082731316034,98.61
GREENLEE HUNAN RESOURCE CENTER,,169 NORTH FRISCO STREET,,,CLIFTON,AZ,85533.0,(602)865-4531EXT.6,Alcoholism/Drug,9835AZ85533,-109.3010421036794,33.06081306723063,98.87
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl ADULT RESIDENTIAL,MCCARTNEY ROAD AT OVERFIELD ROAD,,,COOLIDGE,AZ,85228.0,(602)723-7721,Alcoholism/Drug,0329AZ85228,-111.65296992829674,32.938300032605554,96.18
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,CBHACAI COOLIDGE OUTPATIENT,850 CALIFORNIA STREET,,,COOLIDGE,AZ,85228.0,,Alcoholism/Drug,5899AZ85228,-111.51436753175896,32.98632054263089,98.04
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAJ EMERGENCY DETOXIFICATION,MCCARTNEY ROAD AT OVERFIELD ROAD,,,COOLIDGE,AZ,85228.0,(602)723-7721,Alcoholism/Drug,0329AZ85228,-111.65296992829674,32.938300032605554,96.18
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl HALFWAY HOUSE,11 MILE CORNER - TIERRA GRANDE,,,COOLIDGE,AZ,85228.0,(602)723-7700,Alcoholism/Drug,0047AZ85228,-111.51840999999996,32.97762000000006,85.0
VERDE VALLEY COMMUNITY GUIDANCE CLINIC,,19 EAST BEECH STREET,P.O. BOX 925,,COTTONWOOD,AZ,86326.0,(602)774-5097,Alcoholism/Drug,8872AZ86326,-112.02690230311217,34.73557453357403,100.0
COCHISE COUNTY BEHAVIORAL HLTH SERVS,(CCBHSl DOUGLAS,648 1/TH STREET,,,DOUGLAS,AZ,85607.0,,Alcoholism/Drug,5944AZ85607,-109.55218445656813,31.335247119218305,92.55
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,,1 BHACA l ELOY OUTPATIEtff,100 EAST SEVENTH STREET,,ELOY,AZ,85231.0,(602)466-7765,Alcoholism/Drug,7952AZ85231,-111.55492999999996,32.755210000000034,85.0
COCONINO COMMUNITY GUIDANCE CENTER,,519 NORTH LEROUX,,,FLAGSTAFF,AZ,86001.0,(602)774-3351,Alcoholism/Drug,1754AZ86001,-111.64671610651855,35.202864001133904,98.84
COCONINO COMMUNITY GUIDANCE CENTER,SUBSTANCE ABUSE SERVICES,1820 EAST SIXTH AVENUE,,,FLAGSTAFF,AZ,86001.0,(602)774-3351EXT.133,Alcoholism/Drug,7764AZ86001,-111.62048577872127,35.21071985606609,99.52
CODAMA VALLE DEL SOL NARCOTIC,PREVENTION PROJECT WEST,4859 WEST GLENDALE AVENUE,,,GLENDALE,AZ,85301.0,(602)258-6797,Drug,4827AZ85301,-112.164601968678,33.53842250701893,100.0
NW ORGANIZ FOR VOLUNTARY ALTERNATIVES,THE ALTERNATIVE SHOP,5008 WEST GLENDALE AVENUE,SUITE 102,,GLENDALE,AZ,85301.0,(602)937-9203,Alcoholism/Drug,4145AZ85301,-112.16680096097609,33.538477534213406,100.0
WESTSIDE CENTER,OF PSYCHOTHERAPHY AND COUNSELING,5002 WEST GLENDALE AVENUE,,,GLENDALE,AZ,85301.0,(602)247-2070,Alcoholism/Drug,3628AZ85301,-112.16665897153628,33.5384775342134,100.0
CENTRO DE AMISTAD INC,,5537 CALLE ENCINAS,,,GUADALUPE,AZ,85283.0,(602)839-2926,Alcoholism/Drug,9677AZ85283,-111.96409760718106,33.366911419338344,99.52
COPPER BASIN BEHAVIORAL HEALTH SERVS,ICBBHSl,590 GARFIELD STREET,,,HAYDEN,AZ,85235.0,(602)356-7922,Alcoholism/Drug,6823AZ85235,-110.783822578648,33.00397269971902,86.32
COMMUNITY COUNSELING CENTERS INC,,105 NORTH FIFTH AVENUE,,,HOLBROOK,AZ,85025.0,(602)774-5097,Alcoholism/Drug,2769AZ85025,-110.16577295501058,34.90181520809504,98.53
MOHAVE MENTAL HEALTH CLINIC,,305 WEST BEALE STREET,,,KINGMAN,AZ,86401.0,(602)753-6269,Alcoholism/Drug,2339AZ86401,-114.06018989970993,35.19034486070158,100.0
PREHAB OF MESA INC,,1134 EAST UNIVERSITY,,,MESA,AZ,85203.0,(602)969-4024,Alcoholism/Drug,2393AZ85203,-111.805924992918,33.42243746082426,98.84
TRI-CITY MENTAL HEALTH CENTER,ITCNHCI EAST OFFICE,21 SOUTH HIBBERT STREET,,,MESA,AZ,85202.0,(602)834-7777EXT.415,Alcoholism/Drug,0152AZ85202,-111.82618258066964,33.414533889212954,91.54
INTER MOUNTAIN COUNSELING SERVS,(IMBHAl FOR THE TRI-COMMUNITY,,,,ORACLE,AZ,85623.0,(602)896-9240,Alcohol,6549AZ85623,-110.78339989999996,32.608822700000076,100.0
YUMA CNTY ASSN FOR BEHV HLTH SERVS INC,PARKER OFFICE,1401 JOSHUA,,,PARKER,AZ,85344.0,(602)669-8662,Alcoholism/Drug,1860AZ85344,-114.28767308326788,34.14553607541398,98.82
CALVARY REHABILITATION CENTER,,329 NORTH THIRD AVENUE,,,PHOENIX,AZ,85003.0,(602)254-7092,Alcoholism/Drug,0727AZ85003,-112.07772899050151,33.45248121929005,100.0
CODAMA TREATMENT PROGRAM,,2336 EAST BROADWAY ROAD,,,PHOENIX,AZ,85040.0,(602)264-0594,Drug,9619AZ85040,-112.03065478985798,33.40698234742443,100.0
COOAMA TREATMENT PROGRAM,AKKI NORTH CENTER,4831 NORTH ELEVENTH STREET,,,PHOENIX,AZ,85014.0,(602)241-0652,Drug,1289AZ85014,-112.05842253382235,33.50854001637015,100.0
COUNSELORS ASSOCIATED INC,,6750 NORTH 19TH AVENUE,SUITE I,,PHOENIX,AZ,85015.0,(602)242-6686,Alcoholism/Drug,7238AZ85015,-112.09980063703838,33.53605541565273,100.0
INSTITUTE FOR HUMAN SERVICES,,421 NORTH 18TH STREET,SUITE 103,,PHOENIX,AZ,85006.0,(602)257-8089EXT.8090,Drug,7804AZ85006,-112.04331318146923,33.452927931523035,100.0
NORTH COMMUNITY,BEHAVIORAL HEALTH CENTER (HCBHC),8900 HORTH CENTRAL,SUITE 107,,PHOENIX,AZ,85020.0,(602)997-9544,Alcoholism/Drug,3519AZ85020,-112.07400189343569,33.5655178053144,89.27
PAUL S ARMOUR 110 TREATMENT CENTER,,6024 NORTH FOURTH PLACE,,,PHOENIX,AZ,85012.0,(602)277-5682,Drug,7156AZ85012,-112.06776743385376,33.52457300458316,100.0
ST LUKES HOSPITAL MEDICAL CENTER,,525 NORTH 18TH STREET,,,PHOENIX,AZ,85006.0,(602)258-7373EXT.387,Alcohol,0146AZ85006,-112.043347094228,33.4541200070894,100.0
TERROS INC,,1313 NORTH SECOND STREET,SUITE 27,,PHOENIX,AZ,85004.0,(601)258-1505,Drug,9709AZ85004,-112.07118448432115,33.463702701713764,100.0
THE NEW ARIZONA FAMILY INC,,1320 NORTH SECOND STREET,,,PHOENIX,AZ,85004.0,(602)258-0709,Drug,8808AZ85004,-112.07124064307258,33.4635637297591,100.0
THE NEW FOUNDATION,,6401 SOUTH EIGHTH PLACE,,,PHOENIX,AZ,85040.0,(602)268-3421,Drug,6684AZ85040,-112.06085362101936,33.38849791949082,99.52
VALLE DEL SOL INC,,1209 SOUTH FIRST AVENUE,,,PHOENIX,AZ,85003.0,(602)258-6797,Drug,3335AZ85003,-112.07508123110743,33.43560467634146,100.0
7TH STEP FOUNDATION,DRUG/ALC ABUSE TREATMENT AND REHAB,715 NORTH 7TH AVENUE,,,PHOENIX,AZ,85007.0,(602)254-6218,Alcoholism/Drug,4134AZ85007,-112.08251089116516,33.45631048604861,100.0
WEST YAVAPAI GUIDANCE CLINIC,,500 SOUTH MARINA STREET,P.O. BOX 2190,,PRESCOTT,AZ,86301.0,(602)774-5097,Alcoholism/Drug,9174AZ86301,-112.4674577324035,34.53353806144257,99.52
APACHE COUNTY GUIDANCE CLINIC,,P.O. BOX 579,,,SAINT JOHNS,AZ,85936.0,(602)774-5097,Alcoholism/Drug,3680AZ85936,-109.36612499999997,34.50475000000006,98.0
C C B H S,,102 NORTH SIXTH STREET,,,SIERRA VISTA,AZ,85635.0,(602)458-1796,Alcoholism/Drug,5639AZ85635,-110.29235226581456,31.55549978909804,100.0
YUMA CNTY ASSN FOR BEHAVIORAL HLTH INC,SOMERTON OFFICE,113 MAIN STREET,,,SOMERTON,AZ,85350.0,(602)627-2592,s,3881AZ85350,-114.7093031625236,32.59657649155837,99.55
TRI CITY MENTAL HEALTH CENTER,(TCMHCl TEMPE OFFICE,424 WEST BROADWAY,,,TEMPE,AZ,85281.0,(602)967-8685,Alcoholism/Drug,3655AZ85281,-111.94500465502264,33.40739064542927,96.39
LA FRONTERA CENTER INC,CASA DE VIDA,410 SOUTH SIXTH AVENUE,,,TUCSON,AZ,85701.0,(602)792-0591,Drug,6307AZ85701,-110.96860941078924,32.216867572728944,100.0
LA FRONTERA CENTER INC,HOPE CENTER CENTRAL,260 SOUTH SCOTT AVENUE,,,TUCSON,AZ,85701.0,(602)884-8470,Drug,0739AZ85701,-110.96962797966307,32.21828851486476,100.0
LA FRONTERA CENTER INC,HOPE CENTER EAST,5329 EAST PIMA STREET,,,TUCSON,AZ,85712.0,(602)881-4230,Drug,6452AZ85712,-110.87910442589737,32.243493795606454,100.0
SOUTHERN ARIZ MENTAL HLTH CENTER,OUTPT DRUG FREE AND ALC TRT CLINIC,1930 EAST SIXTH STREET,OUTPATIENT ANNEX,,TUCSON,AZ,85719.0,(602)882-5231,Alcoholism/Drug,6619AZ85719,-110.94343607284928,32.22781080506958,100.0
TUCSON AWARENESS HOUSE,,1030 NORTH FOURTH AVENUE,,,TUCSON,AZ,85705.0,(602)622-2851,Drug,6126AZ85705,-110.96559192158531,32.23500345437212,100.0
YOUTH SERVICE BUREAU,SUBSTANCE ABUSE,1390 WEST SPEEDWAY,ROOM 01,,TUCSON,AZ,85705.0,(602)623-9943,Drug,2944AZ85705,-110.99413692150968,32.23583850623673,96.39
3HO FOUNDATION OF ARIZONA - 3HO ASHRAM,,1050 NORTH CHERRY AVENUE,,,TUCSON,AZ,85719.0,(602)327-1734,Drug,1918AZ85719,-110.94808749433048,32.23516870394125,100.0
APACHE TRIBAL GUIDANCE CLINIC,,P.O. BOX 1089,,,WHITERIVER,AZ,85941.0,(602)774-5097,Alcoholism/Drug,8492AZ85941,-109.97993189999994,33.82221320000008,98.0
COCHISE COUNTY BEHAVIORAL HLTH SERV,(CCBHSl WILLCOX TREATMENT CENTER,418 NORTH EL PASO AVENUE,,,WILLCOX,AZ,85643.0,(602)384-3777,Alcoholism/Drug,3258AZ85643,-109.83609129999996,32.25433470000007,85.0
AWARENESS HOUSE OF YUMA,,712 SOUTH SECOND AVENUE,,,YUMA,AZ,85364.0,(602)783-5411,Drug,2742AZ85364,-114.6221252692036,32.71401543296595,100.0
CATHOLIC SOCIAL SERVICE,,2450 SOUTH FOURTH AVENUE,ROON 501,,YUMA,AZ,85364.0,,Alcoholism/Drug,3199AZ85364,-114.62463749322343,32.68296798350427,100.0
MADISON HOUSE,,2021 SOUTH MADISON AVENUE,,,YUMA,AZ,85364.0,(602)783-7590,Alcoholism/Drug,7187AZ85364,-114.61916263822629,32.69086675401166,100.0
YUMA CNTY ASSN FOR BEHAV HLTH SERV INC,,FIRST STREET OFFICE,1300 FIRST STREET,SUITE 111,YUMA,AZ,85364.0,(602)783-0137,Alcoholism/Drug,9303AZ85364,-114.6427339173106,32.72521005138998,86.62
YUMA OUTPATIENT CLINIC,,1355 WEST 16TH STREET,HALCO BUILDING,,YUMA,AZ,85364.0,(602)782-4365,Alcoholism/Drug,8609AZ85364,-114.63677298027872,32.698482551005824,100.0
OUACHITA REGIONAL COUNSELING & MHC,ARKADELPHIA CLINIC,408 CLAY STREET,,,ARKADELPHIA,AR,71923.0,(501)246-6739,Alcoholism/Drug,6659AR71923,-93.05174981851678,34.11884746706065,100.0
NORTH CENTRAL ARKANSAS,MENTAL HEALTH CENTER,1800 MYERS STREET,,,BATESVILLE,AR,72501.0,(501)793-4191,Alcoholism/Drug,5458AR72501,-91.6370102072307,35.7622624960552,100.0
SALINE COUNTY,COUNSELING AND GUIDANCE,307 EAST SEVIER STREET,,,BENTON,AR,72015.0,(501)778-0404,Alcoholism/Drug,1662AR72015,-92.58388271209965,34.56432261251103,100.0
SOUTH ARKANSAS REGIONAL HEALTH CENTER,QUACHITA COUNTY DIV - CAMDEN,120 JACKSON STREET,,,CAMDEN,AR,71701.0,(501)836-5743,Alcoholism/Drug,6821AR71701,-92.82879535927736,33.58461977378615,99.55
HUMAN SERVICES CENTER OF,WEST CENTRAL ARKANSAS INC,1622 NORTH DONAGHEY,P.O. BOX 1528,,CONWAY,AR,72032.0,(501)327-7706EXT.52,Alcoholism/Drug,6952AR72032,-92.45322920942564,35.10298381439903,97.75
DELTA COUNSELING ANO GUIDANCE CENTER,CROSSETT CLINIC,115 PINE STREET,,,CROSSETT,AR,71635.0,(501)364-6471,Alcoholism/Drug,9583AR71635,-91.96013718469071,33.134451612427114,100.0
SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER DEQUEEN CENTER,,HIGHWAY 71 NORTH,,,DE QUEEN,AR,71832.0,(501)584-7115,Drug,7357AR71832,-94.32289643492693,34.08558114905141,100.0
DELTA COUNSELING AND GUIDANCE CENTER,DERMOTT CLINIC,P.O. BOX 183,,,DERMOTT,AR,71638.0,(501)538-3213,Alcoholism/Drug,4292AR71638,-91.43605999999994,33.52831000000003,98.0
DELTA COUNSELING AND GUIDANCE CENTER,DUMAS CLINIC,,BOX 311,,DUMAS,AR,71639.0,(501)382-4001,Alcoholism/Drug,6549AR71639,-91.49400499999996,33.889410000000055,100.0
SOUTH ARKANSAS REGIONAL HEALTH CENTER,ALCOHOL ANO DRUG TREATMENT PROGRAM,715 NORTH COLLEGE STREET,,,EL DORADO,AR,71730.0,(501)862-7921,Alcoholism/Drug,1237AR71730,-92.67406712876353,33.218520005801004,98.06
WESTERN ARKANSAS COUNSELING,AND GUIDANCE CENTER,3111 SOUTH 70TH,P.O. BOX 2887 STATION A,,FORT SMITH,AR,72903.0,(501)452-6650,Alcoholism/Drug,6099AR72903,-94.35570631844713,35.351387218270155,98.84
CUMMINS UNIT SUBSTANCE ABUSE,CORRECTIONAL COUNSELING,HIGHWAY 65 SOUTH,,,GRADY,AR,71644.0,(501)479-3311EXT.235,Drug,3352AR71644,-91.72576251548078,34.09344428865005,100.0
OZARK REGIONAL MENTAL HEALTH CENTER,CORNER RUSH ANO VINE,,,,HARRISON,AR,72601.0,(501)741-8216,Alcoholism/Drug,6549AR72601,-93.11585959999996,36.22999490000007,100.0
MENTAL HEALTH CLINIC,HEBER SPRINGS UNIT,,,,HEBER SPRINGS,AR,72543.0,(501)362-2207,Alcoholism/Drug,6549AR72543,-92.02987499999996,35.495265000000074,100.0
OR C P MCCARTY,,513 PORTER STREET,,,HELENA,AR,72342.0,(501)338-7401,Drug,3987AR72342,-90.58937037856757,34.52807255765794,100.0
EAST ARKANSAS,REGIONAL MENTAL HEALTH CENTER,305 VALLEY DRIVE,,,HELENA,AR,72342.0,(501)338-6741,Drug,1052AR72342,-90.6199875256836,34.540561165838504,100.0
SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER,,ROUTE 1,BOX 360-S,,HOPE,AR,71801.0,(501)777-9051,Drug,2868AR71801,-93.46450176681341,33.766523787698844,96.05
OUACHITA REGIONAL COUNSELING AND MENTAL HEALTH CENTER,,700 SOUTH STREET,P.O. BOX 1106,,HOT SPRINGS,AR,71901.0,(501)624-7111,Alcoholism/Drug,9594AR71901,-93.06897630592294,34.4971114837086,99.49
GEORGE W JACKSON CMHC,DRUG ABUSE PROGRAM,29�0 MCCLELLAN DRIVE,,,JONESBORO,AR,72401.0,(501)972-4007,Drug,1949AR72401,-90.68599527057829,35.810674796739136,95.88
ARKANSAS MENTAL HEALTH SERVICES,,WEST SEVENTH STREET AT HOOPER DRIVE,HENDRIX HALL ROOM 126,,LITTLE ROCK,AR,72201.0,(501)664-4500EXT.267,Drug,9937AR72201,-92.3235199285315,34.74680003931131,98.94
E O A OF PULASKI COUNTY,THE OTHER WAY,4201 BARROW ROAD,,,LITTLE ROCK,AR,72204.0,(501)568-1682,Drug,0023AR72204,-92.37314448075121,34.71525088212445,100.0
