Name1,Name2,Address1,Address2,City,State,ZIP_Code,Contact,Keys
CHEAHA MENTAL HEALTH CENTER,THE CHRYSALIS DRUG ABUSE PROGRAM,P.O. BOX 1248,,SYLACAUGA,AL,35150,(205)245-2201EXT.227,Drug
EAST CENTRAL ALABAMA MH CENTER,DRUG ABUSE TREATMENT AND PREV CENTER,1305 SOUTH BRUNDIDGE STREET,,TROY,AL,36081,(205)566-6022,Alcoholism/Drug
BRYCE HOSPITAL,SUBSTANCE ABUSE UNIT,,STATION 3,,BUILDING,3SW,,"TUSCALOOSA,"
INDIAN RIVERS MENTAL HEALTH CENTER,ALCOHOL AND DRUG ABUSE PROGRAM,191S SIXTH STREET,,TUSCALOOSA,AL,35401,(205)345-1600,Alcoholism/Drug
LITTLE ISRAEL INC,DRUG ABUSE AND ALCOHOLISM REHAB,ROUTE 2,,TUSCUMBIA,AL,35674,(205)381-0930,Alcoholism/Drug
ALTERNATIVES INC,,P.O. BOX 341,,WETUMPKA,AL,36092,(205)567-7083,Drug
WETUMPKA/TUTWILER WORK RELEASE,,105 ROCKFORD ROAD,,WETUMPKA,AL,36092,(205)567-5169,Drug
KILA INC,FAIRBANKS DRUG TREATMENT CENTER,3098 AIRPORT WAY,,FAIRBANKS,AK,99701,(907)456-5715,Drug
VALDEZ COUNSELING CENTER,,1200 MEALS AVENUE,,VALDEZ,AK,99686,(907)835-2838,Alcoholism/Drug
TRI-CITY MENTAL HEALTH CENTER,(TCMHCl APACHE JUNCTION OFFICE,11015 APACHE TRAIL,,APACHE JUNCTION,AZ,85220,(602)986-1637EXT.415,Alcoholism/Drug
COCHISE BEHAVIORAL HEALTH SERVICES INC,OUTPATIENT AND RESIDENTIAL,208 SOUTH HUACHUCA STREET,,BENSON,AZ,85602,,Alcoholism/Drug
COCHISE BEHAVIORAL HEALTH SERVICES,CBHS INC,1 NACO HIGHWAY,,BISBEE,AZ,85603,,Alcoholism/Drug
COCHISE COUNTY BEHAVIORAL HLTH SRVS,ICCBHSl BISBEE,OLD CENTRAL SCHOOL BUILDING,,BISBEE,AZ,85603,(602)432-5766,Alcoholism/Drug
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl OUTPATIENT ADMINISTRATION,1919 NORTH TREKELL,,CASA GRANDE,AZ,85222,,Alcoholism/Drug
BEHAVIORAL HLTH AGNCYY OF CENTRAL AZ,CBHACAl CASA GRANDE OUTPATIENT,102 NORTH FLORENCE STREET,,CASA GRANDE,AZ,85222,,Alcoholism/Drug
CASA GRANDE VALLEY,COUNSELING SERVICE INC,ARIZONA BANK PLAZA SUITE H,408 NOQTH SACATON,CASA GRANDE,AZ,85222,(602)836-0440,Alcoholism/Drug
TRI-CITY MENTAL HEALTH CENTER,CHANDLER OFFICE,311 NORTH ARIZONA AVENUE,,CHANDLER,AZ,85224,(602)963-2281EXT.415,Alcoholism/Drug
GREENLEE HUNAN RESOURCE CENTER,,169 NORTH FRISCO STREET,,CLIFTON,AZ,85533,(602)865-4531EXT.6,Alcoholism/Drug
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl ADULT RESIDENTIAL,MCCARTNEY ROAD AT OVERFIELD ROAD,,COOLIDGE,AZ,85228,(602)723-7721,Alcoholism/Drug
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,CBHACAI COOLIDGE OUTPATIENT,850 CALIFORNIA STREET,,COOLIDGE,AZ,85228,,Alcoholism/Drug
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAJ EMERGENCY DETOXIFICATION,MCCARTNEY ROAD AT OVERFIELD ROAD,,COOLIDGE,AZ,85228,(602)723-7721,Alcoholism/Drug
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,(BHACAl HALFWAY HOUSE,11 MILE CORNER - TIERRA GRANDE,,COOLIDGE,AZ,85228,(602)723-7700,Alcoholism/Drug
VERDE VALLEY COMMUNITY GUIDANCE CLINIC,,19 EAST BEECH STREET,P.O. BOX 925,COTTONWOOD,AZ,86326,(602)774-5097,Alcoholism/Drug
COCHISE COUNTY BEHAVIORAL HLTH SERVS,(CCBHSl DOUGLAS,648 1/TH STREET,,DOUGLAS,AZ,85607,,I
BEHAVIORAL HLTH AGENCY OF CENTRAL AZ,I BHACA l ELOY OUTPATIEtff,100 EAST SEVENTH STREET,,ELOY,AZ,85231,(602)466-7765,Alcoholism/Drug
COCONINO COMMUNITY GUIDANCE CENTER,,519 NORTH LEROUX,,FLAGSTAFF,AZ,86001,(602)774-3351,Alcoholism/Drug
COCONINO COMMUNITY GUIDANCE CENTER,SUBSTANCE ABUSE SERVICES,1820 EAST SIXTH AVENUE,,FLAGSTAFF,AZ,86001,(602)774-3351EXT.133,Alcoholism/Drug
CODAMA VALLE DEL SOL NARCOTIC,PREVENTION PROJECT WEST,4859 WEST GLENDALE AVENUE,,GLENDALE,AZ,85301,(602)258-6797,Drug
NW ORGANIZ FOR VOLUNTARY ALTERNATIVES,THE ALTERNATIVE SHOP,5008 WEST GLENDALE AVENUE,SUITE 102,GLENDALE,AZ,85301,(602)937-9203,Alcoholism/Drug
WESTSIDE CENTER,OF PSYCHOTHERAPHY AND COUNSELING,5002 WEST GLENDALE AVENUE,,GLENDALE,AZ,85301,(602)247-2070,Alcoholism/Drug
CENTRO DE AMISTAD INC,,5537 CALLE ENCINAS,,GUADALUPE,AZ,85283,(602)839-2926,Alcoholism/Drug
COPPER BASIN BEHAVIORAL HEALTH SERVS,ICBBHSl,590 GARFIELD STREET,,HAYDEN,AZ,85235,(602)356-7922,Alcoholism/Drug
COMMUNITY COUNSELING CENTERS INC,,105 NORTH FIFTH AVENUE,,HOLBROOK,AZ,85025,(602)774-5097,Alcoholism/Drug
MOHAVE MENTAL HEALTH CLINIC,,305 WEST BEALE STREET,,KINGMAN,AZ,86401,(602)753-6269,Alcoholism/Drug
PREHAB OF MESA INC,,1134 EAST UNIVERSITY,,MESA,AZ,85203,(602)969-4024,Alcoholism/Drug
TRI-CITY MENTAL HEALTH CENTER,ITCNHCI EAST OFFICE,21 SOUTH HIBBERT STREET,,MESA,AZ,85202,(602)834-7777EXT.415,Alcoholism/Drug
INTER MOUNTAIN COUNSELING SERVS,(IMBHAl FOR THE TRI-COMMUNITY,,,ORACLE,AZ,85623,(602)896-9240,Alcohol
YUMA CNTY ASSN FOR BEHV HLTH SERVS INC,PARKER OFFICE,1401 JOSHUA,,PARKER,AZ,85344,(602)669-8662,Alcoholism/Drug
CALVARY REHABILITATION CENTER,,329 NORTH THIRD AVENUE,,PHOENIX,AZ,85003,(602)254-7092,Alcoholism/Drug
CODAMA TREATMENT PROGRAM,,2336 EAST BROADWAY ROAD,,PHOENIX,AZ,85040,(602)264-0594,Drug
COOAMA TREATMENT PROGRAM,AKKI NORTH CENTER,4831 NORTH ELEVENTH STREET,,PHOENIX,AZ,85014,(602)241-0652,Drug
COUNSELORS ASSOCIATED INC,,6750 NORTH 19TH AVENUE,SUITE I,PHOENIX,AZ,85015,(602)242-6686,Alcoholism/Drug
INSTITUTE FOR HUMAN SERVICES,,421 NORTH 18TH STREET,SUITE 103,PHOENIX,AZ,85006,(602)257-8089EXT.8090,Drug
NORTH COMMUNITY,BEHAVIORAL HEALTH CENTER (HCBHC),8900 HORTH CENTRAL,SUITE 107,PHOENIX,AZ,85020,(602)997-9544,Alcoholism/Drug
PAUL S ARMOUR 110 TREATMENT CENTER,,6024 NORTH FOURTH PLACE,,PHOENIX,AZ,85012,(602)277-5682,Drug
ST LUKES HOSPITAL MEDICAL CENTER,,525 NORTH 18TH STREET,,PHOENIX,AZ,85006,(602)258-7373EXT.387,Alcohol
TERROS INC,,1313 NORTH SECOND STREET,SUITE 27,PHOENIX,AZ,85004,(601)258-1505,Drug
THE NEW ARIZONA FAMILY INC,,1320 NORTH SECOND STREET,,PHOENIX,AZ,85004,(602)258-0709,Drug
THE NEW FOUNDATION,,6401 SOUTH EIGHTH PLACE,,PHOENIX,AZ,85040,(602)268-3421,Drug
VALLE DEL SOL INC,,1209 SOUTH FIRST AVENUE,,PHOENIX,AZ,85003,(602)258-6797,Drug
7TH STEP FOUNDATION,DRUG/ALC ABUSE TREATMENT AND REHAB,715 NORTH 7TH AVENUE,,PHOENIX,AZ,85007,(602)254-6218,Alcoholism/Drug
WEST YAVAPAI GUIDANCE CLINIC,,500 SOUTH MARINA STREET,P.O. BOX 2190,PRESCOTT,AZ,86301,(602)774-5097,Alcoholism/Drug
APACHE COUNTY GUIDANCE CLINIC,,P.O. BOX 579,,SAINT JOHNS,AZ,85936,(602)774-5097,Alcoholism/Drug
C C B H S,,102 NORTH SIXTH STREET,,SIERRA VISTA,AZ,85635,(602)458-1796,Alcoholism/Drug
YUMA CNTY ASSN FOR BEHAVIORAL HLTH INC,SOMERTON OFFICE,113 MAIN STREET,,SOMERTON,AZ,85350,(602)627-2592,Alcoholism/Drug
TRI CITY MENTAL HEALTH CENTER,(TCMHCl TEMPE OFFICE,424 WEST BROADWAY,,TEMPE,AZ,85281,(602)967-8685,Alcoholism/Drug
LA FRONTERA CENTER INC,CASA DE VIDA,410 SOUTH SIXTH AVENUE,,TUCSON,AZ,85701,(602)792-0591,Drug
LA FRONTERA CENTER INC,HOPE CENTER CENTRAL,260 SOUTH SCOTT AVENUE,,TUCSON,AZ,85701,(602)884-8470,Drug
LA FRONTERA CENTER INC,HOPE CENTER EAST,5329 EAST PIMA STREET,,TUCSON,AZ,85712,(602)881-4230,Drug
SOUTHERN ARIZ MENTAL HLTH CENTER,OUTPT DRUG FREE AND ALC TRT CLINIC,1930 EAST SIXTH STREET,OUTPATIENT ANNEX,TUCSON,AZ,85719,(602)882-5231,Alcoholism/Drug
TUCSON AWARENESS HOUSE,,1030 NORTH FOURTH AVENUE,,TUCSON,AZ,85705,(602)622-2851,Drug
YOUTH SERVICE BUREAU,SUBSTANCE ABUSE,1390 WEST SPEEDWAY,ROOM 01,TUCSON,AZ,85705,(602)623-9943,Drug
3HO FOUNDATION OF ARIZONA - 3HO ASHRAM,,1050 NORTH CHERRY AVENUE,,TUCSON,AZ,85719,(602)327-1734,Drug
APACHE TRIBAL GUIDANCE CLINIC,,P.O. BOX 1089,,WHITERIVER,AZ,85941,(602)774-5097,Alcoholism/Drug
COCHISE COUNTY BEHAVIORAL HLTH SERV,(CCBHSl WILLCOX TREATMENT CENTER,418 NORTH EL PASO AVENUE,,WILLCOX,AZ,85643,(602)384-3777,Alcoholism/Drug
AWARENESS HOUSE OF YUMA,,712 SOUTH SECOND AVENUE,,YUMA,AZ,85364,(602)783-5411,Drug
CATHOLIC SOCIAL SERVICE,,2450 SOUTH FOURTH AVENUE,ROON 501,YUMA,AZ,85364,,C
MADISON HOUSE,,2021 SOUTH MADISON AVENUE,,YUMA,AZ,85364,(602)783-7590,Alcoholism/Drug
YUMA CNTY ASSN FOR BEHAV HLTH SERV INC,,FIRST STREET OFFICE,1300 FIRST STREET,,SUITE,111,,"YUMA,"
YUMA OUTPATIENT CLINIC,,1355 WEST 16TH STREET,HALCO BUILDING,YUMA,AZ,85364,(602)782-4365,Alcoholism/Drug
OUACHITA REGIONAL COUNSELING & MHC,ARKADELPHIA CLINIC,408 CLAY STREET,,ARKADELPHIA,AR,71923,(501)246-6739,Alcoholism/Drug
NORTH CENTRAL ARKANSAS,MENTAL HEALTH CENTER,1800 MYERS STREET,,BATESVILLE,AR,72501,(501)793-4191,Alcoholism/Drug
SALINE COUNTY,COUNSELING AND GUIDANCE,307 EAST SEVIER STREET,,BENTON,AR,72015,(501)778-0404,Alcoholism/Drug
SOUTH ARKANSAS REGIONAL HEALTH CENTER,QUACHITA COUNTY DIV - CAMDEN,120 JACKSON STREET,,CAMDEN,AR,71701,(501)836-5743,Alcoholism/Drug
HUMAN SERVICES CENTER OF,WEST CENTRAL ARKANSAS INC,1622 NORTH DONAGHEY,P.O. BOX 1528,CONWAY,AR,72032,(501)327-7706EXT.52,Alcoholism/Drug
DELTA COUNSELING ANO GUIDANCE CENTER,CROSSETT CLINIC,115 PINE STREET,,CROSSETT,AR,71635,(501)364-6471,Alcoholism/Drug
SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER DEQUEEN CENTER,,HIGHWAY 71 NORTH,,DE QUEEN,AR,71832,(501)584-7115,Drug
DELTA COUNSELING AND GUIDANCE CENTER,DERMOTT CLINIC,P.O. BOX 183,,DERMOTT,AR,71638,(501)538-3213,Alcoholism/Drug
DELTA COUNSELING AND GUIDANCE CENTER,DUMAS CLINIC,,BOX 311,DUMAS,AR,71639,(501)382-4001,Alcoholism/Drug
SOUTH ARKANSAS REGIONAL HEALTH CENTER,ALCOHOL ANO DRUG TREATMENT PROGRAM,715 NORTH COLLEGE STREET,,EL DORADO,AR,71730,(501)862-7921,Alcoholism/Drug
WESTERN ARKANSAS COUNSELING,AND GUIDANCE CENTER,3111 SOUTH 70TH,P.O. BOX 2887 STATION A,FORT SMITH,AR,72903,(501)452-6650,Alcoholism/Drug
CUMMINS UNIT SUBSTANCE ABUSE,CORRECTIONAL COUNSELING,HIGHWAY 65 SOUTH,,GRADY,AR,71644,(501)479-3311EXT.235,Drug
OZARK REGIONAL MENTAL HEALTH CENTER,CORNER RUSH ANO VINE,,,HARRISON,AR,72601,(501)741-8216,Alcoholism/Drug
MENTAL HEALTH CLINIC,HEBER SPRINGS UNIT,,,HEBER SPRINGS,AR,72543,(501)362-2207,Alcoholism/Drug
OR C P MCCARTY,,513 PORTER STREET,,HELENA,AR,72342,(501)338-7401,Drug
EAST ARKANSAS,REGIONAL MENTAL HEALTH CENTER,305 VALLEY DRIVE,,HELENA,AR,72342,(501)338-6741,Drug
SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER,,ROUTE 1,BOX 360-S,HOPE,AR,71801,(501)777-9051,Drug
OUACHITA REGIONAL COUNSELING AND MENTAL HEALTH CENTER,,700 SOUTH STREET,P.O. BOX 1106,HOT SPRINGS,AR,71901,(501)624-7111,Alcoholism/Drug
GEORGE W JACKSON CMHC,DRUG ABUSE PROGRAM,29�0 MCCLELLAN DRIVE,,JONESBORO,AR,72401,(501)972-4007,Drug
ARKANSAS MENTAL HEALTH SERVICES,,WEST SEVENTH STREET AT HOOPER DRIVE,HENDRIX HALL ROOM 126,LITTLE ROCK,AR,72201,(501)664-4500EXT.267,Drug
E O A OF PULASKI COUNTY,THE OTHER WAY,4201 BARROW ROAD,,LITTLE ROCK,AR,72204,(501)568-1682,Drug
GYST HOUSE,,1616 WEST 14TH STREET,,LITTLE ROCK,AR,72202,(501)372-2855,Drug
LONOKE/PRAIRIE MENTAL HEALTH CENTER,,SECOND AND DEPOT STREETS,,LONOKE,AR,72086,(501)676-3151,Alcoholism/Drug
SOUTH ARKANSAS REGIONAL HEALTH CENTER,COLUMBIA COUNTY DIV - MAGNOLIA,119 NORTH PINE,,MAGNOLIA,AR,71753,(501)234-7500,Alcoholism/Drug
OUACHITA REGIONAL COUNSELING AND SOUTHEAST ARKANSAS MENTAL HEALTH CTR EAST ARKANSAS REGIONAL MH CTR,MENTAL HEALTH CENTER - MALVERN CLINIC CLEVELAND COUNTY DIVISION - RISON WYNNE CLINIC,1524 POTTS STREET 105 MAGNOLIA STREET 611 EAST UNION,"MALVERN, AR 72104 P.O. BOX 473 P.O. BOX 538","(501) 332-5236 RISON, AR 71665 WYNNE",AR,72396,,Alcoholism/Drug
SOUTHWEST ARKANSAS COUNSELING AND STAR CITY,MENTAL HEALTH CENTER NASHVILLE UNIT,121 WEST HOl-lARD SOUTHEAST ARKANSAS MENTAL HEALTH CTR,"NASHVILLE, AR 71852 STAR CITY CLINIC",(501 I 845-3110 P.O,BOX,8,,Drug
MENTAL HEALTH CENTER STUTTGART,NEWPORT UNIT,1507 PECAN STREET SOUTHEAST ARKANSAS MENTAL HEALTH CTR,"NEWPORT, AR 72112 STUTTGART CLINIC",(501) 523-8114 1012 EAS,FIRST,STREET,,Alcoholism/Drug
FAMILY SERVICE AGENCY OF CENTRAL ARK TEXARKANA,OUTPATIENT DRUG ABUSE REHAB SERVICES,2700 WILLOW SOUTHWEST ARKANSAS,P.O. BOX 500 COUNSELING AND MENTAL HEALTH CENTER,"NORTH LITTLE ROCK, AR 72115 6800 NORTH STAT",LINE,AVENUE,"(501)758-1516TEXARKANA,AR75502",Drug
ALAMEDA LOVE SWITCHBOARD INC,XANTHOS HOUSE,1724 SANTA CLARA AVENUE,,ALAMEDA,CA,94501,(415)522-8363,Drug
MODOC COUNTY MENTAL HEALTH SERVICE,,137 HENDERSON STREET,P.O. BOX 1490,ALTURAS,CA,96101,(916)233-4576,Alcoholism/Drug
ANAHEIM DETOXIFICATION,,1133 NORTH HOMER STREET,,ANAHEIM,CA,92801,(714)991-2334,Drug
ANAHEIM METHADONE MAINTENANCE,,1133 NORTH HOMER STREET,,ANAHEIM,CA,92801,(714)991-2155,Drug
HOPE HOUSE,,714 HORTH ANAHEIM BOULEVARD,,ANAHEIM,CA,92805,(714)776-6090,Alcoholism/Drug
REACH PROJECT,,2006-A STREET,P.O. BOX 273 ROOM 14,ANTIOCH,CA,94509,(415)754-3673,Drug
HOY INC,HELP OUR YOUTH,128 WHEELER AVENUE,,ARCADIA,CA,91006,(213)446-2572,Drug
PLACER AWARENESS HOUSE INC,,219 MAPLE STREET,,AUBURN,CA,95603,(916)885-0441,Alcoholism/Drug
VICTORY HOME FOR MEN,,638 ROCKVILLE AVENUE,,AZUSA,CA,91702,(213)334-9141,Drug
BAKERSFIELD COUNSELING GROUP,,2008 D STREET,,BAKERSFIELD,CA,93301,(805)325-9401,Drug
BROTHERHOOD,,715 BAKER STREET,,BAKERSFIELD,CA,93305,(805)327-9376,Drug
C I A R P,OUTPATIENT ALCOHOLISM SERVICES,803 BAKER STREET,,BAKERSFIELD,CA,93305,(805)322-8611,Alcoholism/Drug
KALEIDOSCOPE PROGRAM,,310 BAKER STREET,,BAKERSFIELD,CA,93305,(805)323-2941,Drug
KERN COUNTY DEPT OF MENTAL HEALTH SVCS,DRUG ABUSE DIVISION,1960 FLOWER STREET,,BAKERSFIELD,CA,93305,(805)861-2251,Drug
SERRA INN RESIDENTIAL,DRUG FREE PROGRAM,700 19TH STREET,,BAKERSFIELD,CA,93301,(805)324-6125,Drug
TURNING POINT OF CENTRAL CALIFORNIA,BOP AFTERCARE,727 MONTEREY STREET,P.O. BOX 3336,BAKERSFIELD,CA,93385,(805)325-5774,Drug
COMMUNITY HEALTH PROJECTS INC,DETOXIFICATION/MAINTENANCE,14418 EAST PACIFIC AVENUE,,BALDWIN PARK,CA,91706,(213)962-8797,Drug
BELLFLOWER FAMILY SERVICE,,16704 CLARK STREET,,BELLFLO�ER,CA,90706,(213)867-1737,Drug
GROUP INC,MENS COMPONENT,2520 DURANT AVENUE,,BERKELEY,CA,94704,(415)548-9090,Drug
HEW BRIDGE FOUNDATION,BERKELEY CLINIC,1820 SCENIC AVENUE,,BERKELEY,CA,94709,(415)548-7270,Drug
PACIFIC CENTER FOR HUMAN GROWTH,DRUG AND ALCOHOL ABUSE TREATMENT PROG,2712 TELEGRAPH AVENUE,BOX 908,BERKELEY,CA,94701,(415)548-8283,Drug
BIG BEAR COMMUNITY,GUIDAl�CE CENTER,40927 BIG BEAR BOULEVARD,P.O. BOX 1506,BIG BEAR LAKE,CA,92315,(714)866-5721,Drug
INYO COUNTY DRUG PROGRAM,,162-J GROVE STREET,,BISHOP,CA,93514,(714)873-4251,Drug
NEW HORIZONS WEST,OUTPATIENT,ROUTE 2 DIXON LANE BOX 20,BOX 1713,BISHOP,CA,93514,(714)873-8466,Alcoholism/Drug
NEW HORIZONS WEST,RESIDENTIAL,ROUTE 2 DIXON LANE BOX 20,BOX 245 WEST,BISHOP,CA,93514,(714)873-8466,Drug
EASTERN RIVERSIDE COUNTY,DRUG ABUSE PROG - OUTPATIENT DRUG FREE,134 EAST HOBSON WAY,SUITE 5,BLYTHE,CA,92225,(714)922-9111,Drug
EASTERN RIVERSIDE COUNTY METHADONE,PROGRAM - METHADONE MAINTENANCE,263 NORTH BROADWAY,,BLYTHE,CA,92225,(714)922-8158,Drug
NORTHEl�O,METHADONE TREATMENT CENTER,194 SOUTH NINTH STREET,,BRAWLEY,CA,92227,(714)357-6566,Drug
YOLO COUNTY ALCOHOL AND OTHER DRUG,ABUSE PROGRAM-EAST YOLO BRANCH,350 C STREET,,BRODERICK,CA,95605,(916)372-5480,Alcoholism/Drug
BRIDGE A WAY ACROSS INC,,4210 WEST MAGtlOLIA,,BURBANK,CA,91505,(213)843-7444,Drug
IMPERIAL VALLEY METHADONE INC,,535 RIVER ROAD,,CALEXICO,CA,92231,(714)357-6566,Drug
C S O A - CO�OGA PARK OFFICE,,7241 OWENSHOUTH,,CANOGA PARK,CA,91303,(215)999-0165,Drug
NEIGHBO�HOOD YOUTH ASSOCIATION,"HABOR AREA D,RUG PROGRAM",1323 NORTH AVALON BOULEVARD,,CARSON,CA,90744,(213)549-6310,Drug
TUUM EST INC,PRAIRIE FLOWER RANCH,6404 PRAIRIE FLOWER ROAD,,CERES,CA,95307,(209)537-4858,Drug
BUTTE COUNTY DRUG COUNSELING AND REFERRAL CENTER,,1358 LONGFELLOW AVENUE,,CHICO,CA,95926,(916)891-2784,Drug
CHINO COUNCIL OF SOCIAL SERVICES,,5220 D STREET,,CHINO,CA,91710,(714)627-7401,Alcoholism/Drug
JERICHO OUTREACH INC,,5151 F STREET,,CHINO,CA,91710,(714)628-9266,Drug
SOUTHWOOD MENTAL HEALTH CENTER,,950 THIRD AVENUE,SOUTHWOOD HOSPITAL,CHULA VISTA,CA,92010,(714)426-6310EXT.51,Alcoholism/Drug
WEST OUTREACH,COALINGA COMMUNITY HEALTH CENTER,148 WEST ELM,,COALINGA,CA,93210,(209)935-1618,Drug
COLTON DRUG ABUSE,,351 SOUTH LACADENA,,COLTON,CA,92324,(714)824-2040,Drug
COLUSA COUNTY COUNSELING CENTER,,642 FIFTH STREET,,COLUSA,CA,95932,(916)458-5806,Alcoholism/Drug
COMPTON SPECIAL SERVICES CENTER,,1002 NORTH WILttINGTON AVENUE,,COMPTON,CA,90220,(213)537-5891,Drug
SUNRISE YOUTH COMMUNITY,,930 WEST COMPTON BOULEVARD,,COMPTON,CA,90220,(213)636-6931,Drug
CORONA DRUG TEAM,,212 EAST GRAND AVENUE,,CORONA,CA,91720,(714)737-0907,Drug
CASA DE AYUDA,,18252 ARROW HIGHWAY,P.O. BOX 1948,COVINA,CA,91722,(213)966-3997,Drug
