Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys
Indian Rivers Mental Health Center,Substance Abuse Intensive/Outpatient,,Highway 17,,,Carrollton,AL,35447,(205)367-8159 Hotlines: (205)345-1600 (800)264-1660,,,MH/TX/OP/SF/
Bridge Inc,Recovery Center for Teens/Cullman,,402 Arnold Street NE,Suite 104,,Cullman,AL,35055,(256)775-8301,,,SA/TX/OP/AD/CO/CJ/SF/MD/SI/PI/MI/SS/PA/AH/
Cullman County Treatment Center,,,1912 Commerce Avenue,,,Cullman,AL,35055,(256)739-5595 Hotline: (256)739-5595,,Methadone and Buprenorphine Clients Only,SA/TX/MM/BU/OP/SF/AH/
Lighthouse Inc,,,925 Convent Road NE,,,Cullman,AL,35055,(256)739-2777,,,SA/TX/HH/RL/MN/CJ/SF/SS/
Shoulder,,,7400 Roper Lane,,,Daphne,AL,36526,(251)626-2199,,,SA/TX/HH/RL/OP/PH/SF/PI/SS/
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,4110 U.S. Highway 31 South,,,Decatur,AL,35603,(256)353-9116 Intakes: (256)355-5904 (800)365-6008 Hotline: (256)355-6091,,,SA/TX/OP/PW/WN/SF/MD/MC/SI/PI/SS/AH/
Bradford Health Services,Dothan Outreach,,114 Adris Place,,,Dothan,AL,36303,(334)671-1677 Intake: (334)671-1130 Hotline: (334)671-1677,,,SA/TX/OP/AD/SF/SI/PI/MI/
SpectraCare,The Haven,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Intake: (334)673-2143,,,SA/TX/RS/SF/MD/SI/PI/
Baldwin County Mental Health Center,Rapport,,372 South Greeno Road,,,Fairhope,AL,36532,(251)990-8961 Intake: (251)990-4234 Hotline: (800)738-2871,,,MH-SA/TX/OP/SF/MD/MC/AH/
Bradford Health Services,Florence Outreach,,1626-A Florence Boulevard,,,Florence,AL,35630,(256)760-0200 Intake: (866)888-8091,,,SA/TX/OP/AD/SF/SI/PI/
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431x205 Intake: (256)764-3431 Hotline: (256)764-3431,,,MH-SA/TX/OP/PH/AD/SF/MD/MC/SI/PI/MI/AH/
Bridge Inc,Recovery Center for Teens/Fort Payne,,100 7th Street NE,,,Fort Payne,AL,35967,(256)845-7767 Intake: (256)844-8335,,,SA/TX/OP/AD/CO/CJ/MD/PA/AH/
Family Life Center,,,300 Gault Avenue South,,,Fort Payne,AL,35967,(256)997-9356,,,SA/TX/OP/AD/SF/MC/PI/MI/SS/
Army Substance Abuse Program,,,6th Avenue,Building 132,,Fort Rucker,AL,36362,(334)255-1040 Intake: (334)255-2789,,,SA/TX/OP/PA/
Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324,,,SA/TX/RL/OP/CO/CJ/SF/MD/SI/PI/MI/PA/AH/SP/
Gadsden Treatment Center Inc,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807,,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/MN/SF/PI/
Mountain View Deferred Prosecution,Prosecution Program/Gadsden,,301 North 12th Street,Suites 1-3,,Gadsden,AL,35901,(256)546-9265 Intake: (256)546-9265x607,,,SA/TX/OP/CJ/SF/
Mountain View Hospital,,,3001 Scenic Highway,,,Gadsden,AL,35904,(800)245-3645 Intake: (800)245-3645x282 Hotline: (800)662-1002,,,MH/TX/DT/HI/RL/AD/CO/SE/WN/MN/CJ/SF/MD/MC/PI/MI/AH/
Mountain View Hospital,Outpatient Substance Abuse Program,,3001 Scenic Highway,,,Gadsden,AL,35904,(256)546-9265,,,SA/TX/DT/OP/SF/PI/MI/AH/
Mountain View Partial Hospitalization,Program,,3001 Scenic Highway,,,Gadsden,AL,35902,(256)546-9265x268 Intake: (800)245-3645x276 Hotline: (800)662-1002,,,MH/TX/OP/PH/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MC/PI/MI/
Gulf Coast Treatment,,,Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/
Cedar Lodge,A Program of MLBH,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465x104 Intakes: (256)582-4465 (256)582-5302 Hotlines: (256)582-3203 (256)582-5339,,,SA/TX/RS/OP/SF/MD/SI/PI/SS/
Family Life Center,,,432 Gunter Avenue,,,Guntersville,AL,35976,(256)582-1471,,,SA/TX/OP/AD/SF/MC/PI/MI/SS/
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/CO/HV/GL/PW/WN/MN/CJ/SF/PI/AH/SP/
Bradford Health Services,Huntsville Outpatient Office,,555 Spartmen Drive,,,Huntsville,AL,35801,(256)536-9407,,,SA/TX/OP/AD/SF/SI/PI/MI/AH/
Crestwood Medical Center of Huntsville,Behavioral Services,,1 Hospital Drive,,,Huntsville,AL,35801,(256)880-4260 Intake: (256)880-4280,,,MH-SA/DT/HI/SF/MD/SI/PI/MI/
Huntsville Madison County MH Center,New Horizons Recovery Center,,600 Saint Clair Street,Number 9 Suite 23,,Huntsville,AL,35801,(256)532-4141 Hotline: (256)533-1970,,,SA/TX/OP/AD/SF/MD/MC/SI/PI/MI/PA/AH/SP/
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,,,SA/TX/HH/RL/WN/MN/SF/
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,(205)302-9000x9017 Intake: (205)302-9000 Hotline: (205)302-9000,,,MH/TX/OP/PH/AD/CO/DU/SF/MD/MC/SI/PI/MI/
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799 Intake: (205)221-1796,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SE/PW/WN/MN/CJ/SF/PI/
Metro Treatment of Alabama LP,Sumter County Treatment Center,,106 Hospital Road,Suite 101,,Livingston,AL,35470,(205)652-4919,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/
First Step,Substance Abuse Treatment,,150 Hospital Drive,P. O. Drawer 700,,Luverne,AL,36049,(334)335-6294x225 Intake: (334)335-6294 Hotline: (334)222-7794,,,SA/TX/RS/OP/DU/SF/MD/MC/PI/MI/SS/AH/
Bradford Health Services,Huntsville Madison Inpt and Outpt,,1600 Browns Ferry Road,,,Madison,AL,35758,(800)879-7272,,,SA/TX/DT/HI/RS/AD/SF/SI/PI/MI/AH/
Bradford Health Services,Mobile Regional Facility,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906,,,SA/TX/OP/AD/WN/MN/SF/SI/PI/AH/
Bridge Inc,Mobile Campus/Westwood Program,,3401 Newman Road,,,Mobile,AL,36695,(251)633-0475,,,SA/TX/RL/CO/CJ/SS/
Bridge Inc,Recovery Center for Teens/Mobile,,1874 Pleasant Avenue,,,Mobile,AL,36617,(251)470-1318x615 Intake: (251)470-1318,,,SA/TX/OP/AD/CO/CJ/SF/MD/SI/PI/MI/SS/PA/AH/
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(251)438-4729x149 Intakes: (251)438-4729x135 (251)438- 1625x135,,,SA/TX/HH/RS/RL/SF/
ECD Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(251)476-1677,,Methadone Clients Only,SA/TX/MM/OP/SF/
Franklin Primary Health Center,,,1055 Dauphin Street,,,Mobile,AL,36604,(251)434-8195,,,SA/TX/OP/SF/SS/
Mobile Mental Health,Oasis,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569 Intake: (251)450-2211 Hotline: (251)450-2211,,,SA/TX/MM/OP/CO/PW/WN/MN/CJ/SF/MD/MC/SI/PI/MI/PA/AH/
Mobile Metro Treatment Center,,,3367 Dauphin Island Parkway,,,Mobile,AL,36605,(251)476-5733,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/
Bradford Health Services,Montgomery Regional Office,,386 Saint Lukes Drive,,,Montgomery,AL,36117,(800)873-2887,,,SA/TX/OP/AD/SF/SI/PI/MI/AH/
Chemical Addictions Program Inc (CAP),,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)269-2150,,,SA/TX/RS/OP/AD/WN/MN/SF/MD/SI/PI/SS/
Kaleidoscope,,,3580 MaGehee Place Drive South,Apt 4402C,,Montgomery,AL,36116,(334)281-2388,,,SA/TX/RL/OP/PW/WN/BC/MD/PA/AH/
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,1415 East South Boulevard,,,Montgomery,AL,36116,(334)286-5980x222 Intake: (334)286-5980,,,SA/TX/OP/CO/PW/WN/SF/MD/SI/PI/SS/PA/AH/
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/
Treatment Centers Inc,DBA Shoals Treatment Center,,520 Louise Avenue,,,Muscle Shoals,AL,35661,(256)383-6646,,Methadone Clients Only,SA/TX/MM/OP/PW/WN/MN/SF/PI/MI/AH/
Bradford Health Services,Tuscaloosa Regional Office,,515 Energy Center Boulevard,,,Northport,AL,35473,(205)750-0227,,,SA/TX/OP/PH/AD/CJ/SF/SI/PI/MI/AH/SP/
Bradford Health Services,Auburn Opelika regional office,,2210 Gateway Drive,Suite B,,Opelika,AL,36801,(334)749-3445,,,SA/TX/OP/AD/SF/SI/PI/MI/
Bradford Health Services,Anniston Regional Office,,410 Dodson Street,,,Oxford,AL,36203,(256)832-3092,,,SA/TX/OP/AD/SF/SI/PI/MI/AH/
Calhoun Treatment Center Inc,,,118 East Choccolocco Street,,,Oxford,AL,36203,(256)831-4601 Intake: (256)831-9940,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/CO/PW/WN/MN/SF/PI/
East Alabama MH/MR Center,Russell County Clinic,,2400 10th Street,,,Phenix City,AL,36869,(334)298-2405,,,SA/TX/OP/SF/MD/MC/SI/PI/MI/SS/
New Choices Inc,,,136 East Main Street,,,Roanoke,AL,36274,(334)863-2333 Intake: (256)825-9597,,,SA/TX/OP/MN/SF/
Freedom House,,,15132 Highway 72,,,Rogersville,AL,35652,(256)247-1222 Hotline: (256)247-1222,,,SA/TX/HH/RL/OP/PH/CO/PW/WN/CJ/SF/MD/
Freedom House,Adult Outpatient Services,,111 South Jackson Avenue,,,Russellville,AL,35653,(256)332-1230,,,SA/TX/OP/PW/WN/MN/DU/CJ/SF/AH/
Family Life Center,,,211 South Market Street,,,Scottsboro,AL,35768,(256)574-3448,,,SA/TX/OP/SF/MC/PI/MI/SS/
Cahaba Center,for Substance Abuse Services,,912 Jeff Davis Avenue,,,Selma,AL,36701,(334)874-2600 Intake: (334)875-2100 Hotlines: (334)875-2109 (800)291-1920,,,SA/TX/OP/AD/PW/DU/SF/MD/SI/PI/MI/SS/PA/AH/
Cheaha Regional Mental Health/Caradale,Lodge/Mental Retardation Board Inc,,1721 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)249-2395 Hotline: (256)245-2201,,,SA/TX/DT/RS/OP/AD/HV/DU/SF/MD/SI/AH/
East Central Mental Health Inc,Substance Abuse Program,,200 Cherry Street,,,Troy,AL,36081,(334)566-6022x242 Intake: (334)566-6022x211 Hotlines: (334)566-3391 (800)467-1208,,,MH-SA/TX/OP/AD/DU/SF/MD/PI/AH/
Bridge Inc,Recovery Center for Teens/Tuscaloosa,,6001 12th Avenue East,,,Tuscaloosa,AL,35405,(205)344-6483,,,SA/TX/OP/AD/CO/CJ/SF/MD/SI/PI/MI/SS/PA/AH/
Indian Rivers Mental Health Center,Alcohol and Drug Abuse Program,The Insight Center,3532 23rd Street,,,Tuscaloosa,AL,35401,(205)391-0132 Intake: (205)562-3700x104 Hotline: (205)345-1600,,,SA/TX/OP/PH/CO/PW/WN/SF/MD/MC/SI/SS/AH/
Phoenix House Inc,,,700 35th Avenue,,,Tuscaloosa,AL,35401,(205)758-3867,,,SA/TX/HH/RL/WN/MN/SF/SS/
Tuscaloosa Treatment Center,,,1001 Mimosa Park Road,,,Tuscaloosa,AL,35405,(205)752-5857,,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/MC/SI/PI/MI/
Veterans Affairs Medical Center,MAPS/MI Addiction PTSD Services,,3701 Loop Road East,,,Tuscaloosa,AL,35404,(205)554-2000x2690 Intakes: (205)554-2840 (205)554-2000x3240,,,MH-SA/TX/HH/HI/RS/RL/OP/CO/SF/PI/MI/AH/
VA Central Alabama Healthcare System,,,2400 Hospital Road,,,Tuskegee,AL,36083,(334)727-0550,,,MH-SA/TX/RL/OP/SF/PI/PA/AH/
Bradford Health Services,Warrior Lodge/Jefferson,,1189 Allbritton Road,,,Warrior,AL,35180,(800)333-1865 Intakes: (205)647-1945x3022 (800)333- 1865x3023,,,SA/TX/DT/HI/RS/RL/CO/WN/MN/SF/PI/MI/
A New Direction,c/o Elmore Community Hospital,,500 Hospital Drive,,,Wetumpka,AL,36092,(877)647-7552 Intake: (334)567-4311x152,,,SA/TX/DT/HI/RS/HV/SF/MD/MC/PI/MI/
Chemical Addictions Program Inc (CAP),Adult Outpatient Services,,7356 US Hwy 231,,,Wetumpka,AL,36092,(334)799-7465 Intake: (334)269-2150 Hotline: (800)762-3790,,,SA/TX/OP/SF/MD/SI/PI/MI/PA/
TCC Allakaket Counseling Center,P.O. Box 89,,,,,Allakaket,AK,99720,(907)968-2210,,,MH-SA/TX/OP/PA/N3/
Akeela Inc,Akeela House,,2804 Bering Street,,,Anchorage,AK,99503,(907)562-4409 Intake: (907)561-5266,,,SA/TX/RL/DU/SF/SS/
Alaska VA Healthcare Sys/Reg Office,Social and Behavioral Health Service,,2925 DeBarr Road,,,Anchorage,AK,99508,(907)257-4854,,,MH-SA/TX/OP/CO/WN/DU/CJ/SF/MD/MC/SI/PI/MI/
Alaska Womens Resource Center,,,610 C Street,Suite 2-A,,Anchorage,AK,99501,(907)276-0528,,,SA/TX/RL/OP/PH/CO/HV/WN/DU/CJ/SF/MD/SI/PI/MI/AH/SP/F43/
Alaska Womens Resource Center,,,611 West 47th Street,,,Anchorage,AK,99501,(907)569-0097,,,MH-SA/TX/RL/WN/BC/SF/MD/MC/PI/AH/F30/F34/N3/N15/N15/N34/N40/N42/
Cook Inlet Tribal Council Inc,Ernie Turner Center,,4330 South Bragaw Street,,,Anchorage,AK,99508,(907)550-2400,,,MH-SA/TX/DT/RS/RL/CO/SE/WN/MN/SF/PI/SS/AH/N3/N15/N40/
Genesis Recovery Services Inc,,,2825 West 42nd Avenue,,,Anchorage,AK,99517,(907)243-5130,,,SA/TX/RS/RL/OP/WN/MN/DU/SF/PI/SS/PA/
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501,(907)276-6430,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/WN/MN/SF/MD/PI/MI/SS/PA/
Providence Alaska Medical Center,Providence Breakthrough,,2401 East 42nd Avenue,Suite 103,,Anchorage,AK,99508,(907)562-7325,,,MH-SA/TX/DT/OP/PH/SF/PI/MI/
Salvation Army,Clitheroe Center,,1709 South Bragaw Street,Suite B,,Anchorage,AK,99508,(907)276-2898 Intake: (877)376-2898,,,SA/TX/OP/CO/PW/WN/CJ/SF/MD/PI/SS/AH/SP/N40/
Southcentral Foundation,Dena A Coy,,4130 San Ernesto Avenue,,,Anchorage,AK,99508,(907)729-5070x5073 Intakes: (877)388-3731 (907)729-5070,,,SA/TX/RL/PW/WN/BC/SF/MD/MC/PI/MI/
The Recovery Connection LLC,,,500 Muldoon Road,Suite 9,,Anchorage,AK,99504,(907)332-7660,,,SA/TX/DT/OP/AD/CO/HV/DU/CJ/SF/PI/
Volunteers of America Alaska,Assist,,1675 C Street,Suite 201,,Anchorage,AK,99501,(907)279-9634,,,SA/TX/OP/AD/DU/SF/MD/SI/PI/MI/SS/PA/
Yukon/Kuskokwim Health Corporation,Phillips Ayagnirvik Treatment Center,,324 Radio Street,,,Bethel,AK,99559,(907)543-6735,,,MH-SA/TX/DT/RS/RL/OP/PH/AD/CO/WN/MN/DU/CJ/SF/MD/MC/SI/PI/MI/SS/PA/N40/
Copper River Native Association,Behavioral Health Sciences Department,Substance Abuse and Mental Health Serv,Mile 104 Old Richardson Highway,,,Copper Center,AK,99573,(907)822-5241 Intakes: (907)822-5241x249 (907)822- 5241x257,,,MH-SA/TX/RL/OP/AD/DU/SF/MD/PI/MI/SS/
Sound Alternatives Behavioral,Health Clinic,,602 Chase Avenue,,,Cordova,AK,99574,(907)424-8300,,,MH-SA/TX/DT/OP/CO/SF/MD/MC/SI/PI/MI/SS/F28/F30/F43/F81/F88/
Volunteers of America Alaska,,,7958 Stewart Mountain Drive,,,Eagle River,AK,99577,(907)694-3336 Intake: (907)279-9634,,,SA/TX/RL/AD/CO/BC/SF/MD/SI/PI/MI/SS/
Elmendorf AFB Alcohol Drug Abuse,Prevention Treatment Program,,3 MDOS/SGOH,5955 Zeamer Avenue,,Elmendorf AFB,AK,99506,(907)580-4952,,,SA/TX/DT/OP/MI/
Graf Rheeneenhaanjii,Substance Abuse Services,,2550 Lawlor Road,,,Fairbanks,AK,99709,(907)455-4725,,,SA/TX/RL/AD/SF/MD/SI/PI/MI/SS/PA/
Project Special Delivery,,,710 3rd Avenue,,,Fairbanks,AK,99701,(907)452-4222 Intakes: (907)452-4222x17 (907)452- 4222x13,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/MC/PI/MI/SS/
Ralph Perdue Center,,,3100 South Cushman Street,,,Fairbanks,AK,99701,(907)452-6251x211,,,SA/TX/DT/RS/RL/SF/PI/MI/SS/AH/
Tanana Chiefs Conference Inc,Old Minto Family Recovery Camp,,122 1st Avenue,Suite 600,,Fairbanks,AK,99701,(907)452-8251 Intakes: (907)452-8251x3144 (800)478- 6822x3144,,,SA/TX/OP/WN/MN/MD/MC/
Tanana Chiefs Conference Inc,Yukon Tanana Counseling Services,,201 1St Avenue 300,,,Fairbanks,AK,99701,(907)452-8251x3460,,,MH-SA/TX/OP/MD/
Womens and Children Center for,Inner Healing,,1027 Evergreen Street,,,Fairbanks,AK,99709,(907)451-8164 Intake: (907)452-6251,,,SA/TX/RL/CO/PW/WN/BC/SF/MD/PI/SS/
ASAP Counseling Center,,,600 Richardson Drive,,,Fort Richardson,AK,99505,(907)384-7368 Intake: (907)384-7370,,,SA/TX/OP/PH/DU/
Fort Wainwright Community Counseling,Center/U.S. Army MEDDAC-AK,,1060 Gaffney Road Suite 6600,MCUC/CCC Building 1064,,Fort Wainwright,AK,99703,(907)353-6059 Intake: (907)353-7887,,,SA/TX/DT/OP/CO/DU/MD/MC/SI/PI/MI/AH/
Gastineau Human Services,,,5597 Aisek Street,,,Juneau,AK,99801,(907)780-3039 Intake: (907)780-3044,,,SA/TX/HH/OP/WN/MN/DU/SF/SS/
Juneau Youth Services,Chemical Dependency Program,,2075 Jordan Avenue,,,Juneau,AK,99803,(907)789-7610 Intakes: (907)789-4733 (907)796-4158,,,MH/TX/OP/AD/SF/MD/PI/MI/AH/
Rainforest Recovery Center,Bartlett Regional Hospital,,3250 Hospital Drive,,,Juneau,AK,99801,(907)796-8690 Hotline: (907)796-8610,,,SA/TX/DT/DM/BU/HI/RS/OP/PH/SF/MD/PI/SS/AH/
Cook Inlet Council on,Alcohol and Drug Abuse (CICADA),,10200 Kenai Spur Highway,,,Kenai,AK,99611,(907)283-3658,,,SA/TX/OP/AD/CO/PW/WN/MN/DU/CJ/SF/MD/MC/PI/
Kenaitze Indian Tribe,Nakenu Family,,110 North Willow Street,,,Kenai,AK,99611,(907)283-6693x3 Intake: (907)283-6693,,,MH-SA/TX/OP/AD/SF/MD/MC/SI/PI/MI/
Recovery Connection LLC,,,502-A Overland Avenue,,,Kenai,AK,99611,(907)335-5660,,,SA/TX/DT/OP/AD/CO/DU/SF/PI/
Gateway Center for Human Services,Substance Abuse Services Division,,3050 5th Avenue,,,Ketchikan,AK,99901,(907)225-4135,,,MH-SA/TX/DT/RS/RL/OP/AD/SF/MD/MC/SI/PI/MI/
Ketchikan Indian Community,,,2960 Tongass Avenue,,,Ketchikan,AK,99901,(907)228-4917,,,SA/TX/OP/AD/WN/MN/DU/MD/MC/PI/PA/
Providence Safe Harbor,,,717 E Rezanof Drive A,,,Kodiak,AK,99615,(907)486-3535,,,SA/TX/OP/AD/SF/MD/SI/PI/MI/SS/F81/
Maniilaq Recovery Center,,,733 2nd Avenue,,,Kotzebue,AK,99752,(907)442-7640,,,MH-SA/TX/DT/RS/RL/OP/PH/AD/CO/HV/SE/PW/WN/MN/CJ/SF/MD/MC/SI/PI/MI/N15/
Annette Island Service Unit,Community Services,,5th Avenue and Duncan Street,,,Metlakatla,AK,99926,(907)886-4325 Intake: (907)886-7491,,,SA/TX/OP/SF/MD/PI/
Minto Counseling Center,,,,,,Minto,AK,99758,(907)798-7323,,,MH-SA/TX/OP/MD/PA/
Railbelt Mental Health and Addictions,,,307 East 2nd Street,,,Nenana,AK,99760,(907)832-5557,,,MH-SA/TX/OP/CO/DU/SF/MD/MC/SI/PI/SS/PA/AH/
Kusqi House,,,711 East 3rd Avenue,P.O. Box 966,,Nome,AK,99762,(907)443-4536 Intakes: (907)443-4576 (907)443-4515,,,SA/TX/DT/HH/RL/OP/PH/CO/PW/WN/BC/SF/MD/MC/SI/PI/MI/SS/PA/
Petersburg Mental Health Services Inc,,,201 North Nordic Drive,,,Petersburg,AK,99833,(907)772-3332,,,MH-SA/TX/OP/PH/AD/CO/PW/WN/MN/DU/CJ/SF/MD/MC/SI/PI/MI/
St Paul Health Center,,,,,,Saint Paul Island,AK,99660,(907)546-8300x306 Intake: (907)546-8300x303,,,MH-SA/TX/OP/AD/CO/HV/SE/PW/WN/MN/DU/CJ/SF/MD/MC/SI/PI/MI/SS/
Seldovia Village Tribe,,,274 Main Street,,,Seldovia,AK,99663,(907)234-7898x226,,,SA/TX/DT/OP/AD/CO/HV/GL/SE/PW/WN/MN/DU/CJ/SF/SS/AH/
Seaview Community Services,,,302 Railway Avenue,,,Seward,AK,99664,(907)224-5257 Hotline: (907)224-3027,,,MH-SA/TX/OP/AD/CO/DU/CJ/SF/MD/MC/PI/SS/
Bill Brady Healing Center,,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8360 Intakes: (877)966-8659 (907)966-8641 Hotlines: (877)966-8659 (907)966-2411,,,SA/TX/DT/HI/RL/SF/MD/PI/PA/
Deilee Hit/Safe Harbor House,,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8360 Intakes: (907)966-8716 (907)966-8641 Hotline: (907)966-2411,,,SA/TX/DT/HI/RS/RL/WN/MD/SI/PI/MI/PA/
Southeast AK Regional,Health Consortium/Ravens Way,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8714 Intake: (907)966-8716,,,SA/TX/RL/AD/MD/PI/MI/
Central Peninsula General Hospital,Serenity House Residential Treatment,,250 Hospital Place,,,Soldotna,AK,99669,(907)714-4521,,,SA/TX/RS/RL/OP/PH/SF/MD/MC/SI/PI/MI/
Oonalaska Wellness Center,,,34 Lavelle Court,,,Unalaska,AK,99685,(907)581-2742,,,GH/TX/OP/AD/CO/WN/DU/SF/MD/MC/SI/PI/MI/SS/
Providence Valdez Counseling Center,,,911 Meals Avenue,,,Valdez,AK,99686,(907)835-2838,,,MH-SA/TX/OP/AD/DU/SF/MD/SI/PI/MI/SS/
Alaska Addiction Rehab Services,Nugens Ranch,,3701 Palmer Wasilla Street,,,Wasilla,AK,99654,(907)376-4534,,,SA/TX/RL/CO/WN/MN/SF/PI/MI/SS/
