Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,zip1,zip2,ID,Longitude,Latitude,Match Score
The Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324,TX/PV/OS/IO/RR/AD/DD/SS/SC,35904,,3453AL35904,-85.97860622498159,34.07195402964593,100.0
Marshall/Jackson MH Authority,Mountain Lakes Behavioral Health Care,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465 Hotlines: (256)582-5339 (256)582-4465,TX/PV/OS/OR/IO/RR/DD/SS/HH/CM,35976,,3516AL35976,-86.26510688395511,34.41975632422606,100.0
Crestwood Medical Ctr of Huntsville,Behavioral Services,,I Hospital Drive,,,Huntsville,AL,35801,(256)880-4260 Hotlines: (256)880-4260 (256)880-4280,TX/PV/OS/DT/IO/ID/IR/AD/DD/GH/MC/MD/FG/PI,35801,,0829AL35801,-86.57256331417648,34.69230197888277,97.48
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311,TX/ML/OS/DT/OD/OR/DD/HV/PW/SS,35805,,0408AL35805,-86.60357727045357,34.699692947184474,99.55
Madison County Mental Health Center,New Horizons Recovery Center,,600 Saint Clair Street,Number 9 Suite 23,,Huntsville,AL,35801,(256)532-4141,TX/PV/OS/OR/IO/CM/MD/PI,35801,,1153AL35801,-86.58760002189669,34.721767485478075,97.61
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,TX/RR/HH,35805,,5546AL35805,-86.60824196720881,34.70544750090015,100.0
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,Hotline: (800)489-3971,TX/PV/OS/OR/IO/RR/SS/CM/MD/FG,35501,,7304AL35501,-87.28264837725199,33.841013943510376,100.0
Maxwell Air Force Base,Substance Abuse Program,,330 Kirkpatrick Avenue E,,,Maxwell AFB,AL,36113-6334,(334)493-4534,TX/PV/OS/DT/OD/OR/IO/PW/SS/GH/CM/FG,36113,6334.0,4242AL36113,-86.3432737572397,32.377174357195514,99.79
Bradford Health Services,Mobile Outreach Mobile,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906 Hotlines: (334)633-0900 (800)333-0906,TX/PV/OS/OR/IO/SS,36695,,3751AL36695,-88.1907181293662,30.669289799718786,100.0
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(256)438-4729,TX/OS/IO/RR/SS/HH/FG,36604,,9975AL36604,-88.05866904000689,30.687729022785767,100.0
ECO Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(334)476-1677,TX/IO/SS,36607,,9926AL36607,-88.11049309267267,30.699565375987593,100.0
Oasis,,,4211 Government Boulevard,,,Mobile,AL,36693,(334)666-2569,TX/OS/OR/IO/SS/OH/PI,36693,,3152AL36693,-88.14878992184461,30.628666822159875,100.0
Bradford Health Services,Montgomery Outreach Montgomery,,100 Mendel Parkway,,,Montgomery,AL,36117,(800)873-2887 Hotline: (334)244-0702,TX/PV/OS/OR/IO/AD/SS,36117,,8281AL36117,-86.20227756267526,32.37995698693206,100.0
Chemical Addictions Program Inc,,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)265-4544 Hotline: (800)762-3790,TX/OS/IO/RR/AD/SS/MD/FG,36108,,4431AL36108,-86.3413790177281,32.352609016165424,100.0
Jackson Hospital,Psychiatric Unit,,1235 Forest Avenue,,,Montgomery,AL,36106,(334)293-8660,TX/DT/ID/GH/MC/MD/FG/PI,36106,,7704AL36106,-86.28641225690309,32.36720932757817,100.0
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,1415 East South Boulevard,,,Montgomery,AL,36116,(334)286-5980,TX/PV/OS/OR/IO/DD/HV/PW/SS/MD/PI,36116,,6846AL36116,-86.28371898377488,32.32704278655681,100.0
Meadhaven Addictive Disease Program,,,2105 East South Boulevard,,,Montgomery,AL,36116,(334)286-3535,TX/PV/OS/DT/OD/IO/ID/IR/DD/GH/MC/FG/PI,36116,,1117AL36116,-86.27746817948179,32.32716700636194,100.0
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363,TX/ML/PV/OS/DT/OD/OR/IO/SS/GH/SG,36105,,6849AL36105,-86.29911972503125,32.32229104373711,100.0
Shoals Treatment Center,,,520 Louise Street,,,Muscle Shoals,AL,35661,(205)383-6646,TX/ML/PV/OS/DT/OD/OR/SS/PI,35661,,3943AL35661,-87.66822028056858,34.75678095320094,96.94
Bradford Health Services,Oak Mountain Shelby,,2280 Highway 35 South,,,Pelham,AL,35124,(205)664-3480,TX/RR/AD/SS/OH/FG/PI,35124,,9916AL35124,-86.7833648187959,33.307769840260804,98.85
Lifeline Services Inc,Russell County Location,,1602 Broad Street,,,Phenix City,AL,36867,(888)329-0440,TX/PV/OS/OR/IO/SS/CJ,36867,,7776AL36867,-85.00085747102304,32.475031573546595,100.0
Self Discovery Inc,,,59928 Highway 22,,,Roanoke,AL,36274,(888)283-6747,TX/OS/DT/ID/IR/GH/MC/PI,36274,,6175AL36274,-85.38830502692474,33.15874222641237,100.0
The Freedom House,,,Route 4,,,Rogersville,AL,35652,(205)247-1222,TX/IO/RR/PW/SS/OH/HH,35652,,2927AL35652,-87.29066999999998,34.826775000000055,90.0
Sunrise Lodge,Substance Abuse Treatment Center,,1163 Washington Avenue SW,,,Russellville,AL,35653,(205)332-0078,TX/RR/SS/MD/PI,35653,,1318AL35653,-87.73299100836826,34.50185866038862,100.0
Cahaba Cares,Substance Abuse Services,,912 Jeff Davis Avenue,,,Selma,AL,36701,(334)874-2600 Hotline: (334)875-2109,TX/PV/OS/OR/IO/AD/HV/PW/SS/CJ/MD,36701,,4989AL36701,-87.02907999999996,32.41915000000006,85.0
The Shoulder,,,4901 Battleship Parkway,,,Spanish Fort,AL,36577,(334)626-2199,TX/PV/OS/IO/RR/SS/HH,36577,,3829AL36577,-87.93945968520796,30.670448388285518,98.72
Cheaha Regional Mental Health,Mental Retardation Board Inc,,1721 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)249-2395 Hotline:,TX/PV/OS/DT/IO/RD/RR/AD/SS/MD,35150,,4273AL35150,-86.27737992071009,33.177161147231395,100.0
Indian Rivers Mental Health Center,Alcohol and Drug Abuse Program,,505 19th Avenue,,,Tuscaloosa,AL,35401,(205)391-0118 Hotline: (205)345-1600,TX/PV/OS/OR/IO/RR/DD/PW/SS/CM/CH/MC/MD/FG/PI,35401,,1350AL35401,-87.56139142790867,33.21129333843073,100.0
Phoenix House Inc,,,700 35th Avenue,,,Tuscaloosa,AL,35401,(205)758-3867,TX/RR/HH/FG,35401,,6479AL35401,-87.58155200052153,33.204355385715296,100.0
Tuscaloosa Treatment Center,,,535 River Road NE,Suite G-3,,Tuscaloosa,AL,35404,(205)507-0800,TX/ML/OS/DT/OD/OR/SS/PI,35404,,0562AL35404,-87.48169632208511,33.234773062653886,92.79
Veterans Affairs Medical Center,Primary Care Substance Abuse Clinic,,3701 Loop Road East,,,Tuscaloosa,AL,35404,,TX/PV/OS/DT/OD/OR/IO/SS/PH/FG,35404,,9877AL35404,-87.48654698370329,33.19129001032155,98.87
Central Alabama,Veteran Health Care System,,2400 Hospital Road,,,Tuskegee,AL,36083,,TX/PV/OS/DT/OR/ID/SS/GH/PH/FG,36083,,9406AL36083,-85.70841234375703,32.43707538345293,100.0
Bradford Health Services,Warrior Lodge/Jefferson,,1189 Allbritton Road,,,Warrior,AL,35180,(800)333-1865 Hotlines: (205)647-1945 (800)648-1945,TX/PV/OS/DT/IO/RD/RR/DD/SS/TC/FG/PI,35180,,3440AL35180,-86.87165668554245,33.82449669475884,100.0
Bradford Health Services at,Elmore Community Hospital,C/O Elmore Community Hospital,500 Hospital Drive,,,Wetumpka,AL,36092,(334)567-4311,TX/OS/DT/ID/IR/GH,36092,,3389AL36092,-86.18704253164417,32.552381997253924,100.0
Akeela Treatment Services,,,2805 Bering Street,Suite 4,,Anchorage,AK,99503,(907)561-5266,TX/PV/OS/OR/RR/SS/TC/SC/CJ/MD,99503,,3153AK99503,-149.89603735848243,61.19521016528818,100.0
Alaska Human Services Inc,Outpt Alc/Subst Abuse Treatment Prog,,4050 Lake Otis Parkway,Suite 11 I,,Anchorage,AK,99508,(907)561-4535,TX/OS/OR/IO/SS/PI,99508,,2159AK99508,-149.83825752969784,61.184004983484755,100.0
Alaska North Addictions Recovery Ctr,,,4330 Bragaw Street,,,Anchorage,AK,99508,(907)561-5537,TX/PV/OS/OR/IO/RR/SS/MD/FG/PI,99508,,3111AK99508,-149.808305987668,61.22077810931108,95.63
Booth Memorial Youth and Family Servs,,,3600 East 20th Avenue,,,Anchorage,AK,99508,(907)279-0522,TX/PV/OS/OR/IO/AD/DD/PW/SS/MD,99508,,7128AK99508,-149.81460161964156,61.202473794669906,100.0
Charter North,Behavioral Health System,,2530 Debarr Road,,,Anchorage,AK,99508,(907)258-7575 Hotlines: (907)258-7575 (800)478-7575,TX/PV/OS/DT/ID/IR/AD/PH,99508,,9123AK99508,-149.83374563503716,61.20827566422897,100.0
Genesis House Inc,,,2825 West 42nd Place,,,Anchorage,AK,99517,(907)243-5130,TX/PV/OS/DT/OR/IO/RD/RR/DD/SS/CM/FG/PI,99517,,3839AK99517,-149.9372772849154,61.182356337916744,100.0
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501-2624,(907)276-6430,TX/ML/PV/OS/DT/OD/OR/HV/SS/MD/PI,99501,2624.0,5954AK99501,-149.87406602589138,61.21851252448672,100.0
Pacific Rim Counseling Inc,,,4141 B Street,Suite 210,,Anchorage,AK,99503,(907)561-5252,TX/PV/OS/OR/IO/AD/DD/SS/SG/CJ/PI,99503,,4768AK99503,-149.884404852001,61.18310736547369,100.0
Providence Alaska Medical Center,Providence Breakthrough,,2401 East 42nd Avenue,Suite 103,,Anchorage,AK,99508,(907)562-7325,TX/OS/OR/IO/AD/DD/SS/MC/PI,99508,,3483AK99508,-149.8358319745566,61.1826675251046,100.0
RITE Inc,,,30 I East Fireweed Lane,Suite 102,,Anchorage,AK,99503-2110,(907)562-7483,TX/PV/OS/OR/IO/AD/SS/PI,99503,2110.0,3810AK99503,-149.88290514766928,61.198107498260406,97.62
Salvation Army,Clitheroe Center,,1709 South Bragaw Street,Point Woronzof/Wcst End Road Suite B,,Anchorage,AK,99508,(907)276-2898,TX/OS/DT/OR/IO/RD/RR/DD/PW/SS/MD/FG/PI,99508,,4531AK99508,-149.80830253558602,61.205629790763204,98.87
Southcentral Foundation,Dena A Coy,,3916 East 9th Avenue,,,Anchorage,AK,99508,(907)333-6677,TX/PV/OS/OR/RR/DD/PW/SS/MD/FG,99508,,3365AK99508,-149.8072859783691,61.21396249216694,100.0
Veterans Affairs and ROC Anchorage AK,Addictions Treatment Program,,2925 Debarr Road,Suite 116,,Anchorage,AK,99508,(907)257-4854,TX/PV/OS/DT/OD/OR/IO/DD/SS/FG,99508,,1181AK99508,-149.82716902616767,61.20982748978329,100.0
Volunteers of America,,,441 West 5th Avenue,Suite 301,,Anchorage,AK,99501-2340,(907)279-9634,TX/PV/OS/OR/IO/RR/AD/SS/MD/FG/PI,99501,2340.0,3415AK99501,-149.89113904065042,61.217587497652346,100.0
Kuskokwim Native Association,Community Counseling Program,,P. 0. Box 155,,,Aniak,AK,99557,(907)675-4445 Hotline: (800)478-5622,TX/PV/OS/OR/CM,99557,,6887AK99557,-159.56677999999997,61.58158000000003,94.08
North Slope Borough,Health Substance Abuse Treatment Servs,,579 Kingosak Street,,,Barrow,AK,99723,(907)852-0274 Hotlines: (907)852-0274 (907)852-0275,TX/PV/OS/DT/OD/OR/RD/RR/AD/SS/TC/FG,99723,,7848AK99723,-156.79292652606614,71.29067366537205,97.34
Copper River Community Mental Hlth Ctr,Substance Abuse Services,,Mile I 04 Old Richardson Highway,,,Copper Center,AK,99573,(907)822-5241,TX/PV/OS/OR/IO/DD/CM/MD/FG,99573,,0789AK99573,-145.31028631615945,61.94608443915928,98.91
Sound Alternatives,Cordova Community Medical Center,,602 Chase Avenue,,,Cordova,AK,99574,(907)424-8300,TX/PV/OS/OR/AD/DD/HV/CM/MC/MD/PI,99574,,3484AK99574,-145.75556120380446,60.54053706176554,100.0
Bristol Bay Area Health Corp,Alcoholism and Drug Abuse Program,,,,,Dillingham,AK,99576,(907)842-5266,TX/PV/OS/DT/OR/IO/RD/RR/AD/DD/PW/SS/MD/PI,99576,,6549AK99576,-158.58078479999998,59.051524700000066,100.0
Aleutian Counseling Center,,,,,,Dutch Harbor,AK,99692,(907)581-2742,TX/PV/OS/OR/AD/SS/FG,99692,,6549AK99692,-166.54135999999997,53.88730000000004,100.0
Volunteers of America of Alaska ARCH,,,,,,Eagle River,AK,99577,(907)694-3336,TX/RR/AD/DD/SS,99577,,6549AK99577,-149.56829999999997,61.323155000000035,100.0
Eielson Air Force Base,Substance Abuse Program,,3349 Central Avenue Suite I,,,Eielson AFB,AK,99702-2325,,PV/OS/DT/OD/DD/SS/GH/FG,99702,2325.0,6009AK99702,-147.11971588345475,64.69135116771379,91.25
Elmendorf AFB,Substance Abuse Office,,24800 Hospital Drive,,,Elmendorf AFB,AK,99506,(907)552-8354,TX/PV/OS/DT/OD/OR/IO/DD/PW/SS/GH/CM/FG,99506,,8092AK99506,-149.81457499999996,61.24341500000003,84.9
Fairbanks Memorial Hospital,Family Recovery Center,,I 650 Cowles Street,,,Fairbanks,AK,99701,(907)458-5540,TX/OR/IO/SS/GH/PI,99701,,5658AK99701,-147.73206550041334,64.84243333378976,99.69
Graf Rheeneenhaanjii,Substance Abuse Services,,2550 Lawlor Road,,,Fairbanks,AK,99701,(907)455-4725,TX/OS/RD/RR/AD/SS/OH/MD/FG,99701,,4262AK99701,-147.88921383576843,64.88066379673815,98.33
Regional Center for Alcohol and Other Addictions,,,3100 South Cushman Street,,,Fairbanks,AK,99707,(907)452-6251,TX/PV/OS/DT/OR/IO/RD/RR/AD/DD/SS/HH/FG,99707,,4429AK99707,-147.71079413020578,64.81831467469146,98.68
TCC Regional Prevention Program,,,122 First Avenue,,,Fairbanks,AK,99701,(907)452-8251,TX/PV/OS/RR/SS/TC/FG,99701,,3491AK99701,-147.70869412818396,64.84421211520412,100.0
Tanana Chiefs Conference Inc,Old Minto Family Recovery Camp,,122 1st Avenue,Suite 600,,Fairbanks,AK,99707,,TX/PV/OS/RR/SS/FG,99707,,1418AK99707,-147.70869412818396,64.84421211520412,99.51
Tanana Chiefs Conference Inc,Yukon Tanana Counseling Services,,1302 21st Avenue,,,Fairbanks,AK,99701,(907)459-3930,TX/PV/OS/OR/CM/FG,99701,,6825AK99701,-147.73435775550752,64.8283995291351,100.0
Community Counseling Center,,,600 Richardson Drive,,,Fort Richardson,AK,99505,(907)384-1416,TX/PV/OS/OR/SS/FG,99505,,0752AK99505,-149.70033058952382,61.253499785557786,99.9
Fort Wainwright Alcohol and Drug Abuse Prev Control Prog (ADAPCP),,,1060 Gaffney Road Suite 6600,MCUC/CCC Building 1064,,Fort Wainwright,AK,99703-6600,(907)353-1370,TX/PV/OS/DT/OD/OR/IO/SS/FG,99703,6600.0,1148AK99703,-147.60290363384084,64.84156718767677,100.0
Railbelt Mental Health and Addicton,,,Dry Creek and Coal Street,,,Healy,AK,99743,(907)832-5557,TX/PV/OS/OR/IO/AD/DD/SS/CM/PI,99743,,8812AK99743,-149.0174398799508,63.87768002407518,99.52
Gastineau Human Services,,,5597 Aisek Street,,,Juneau,AK,99801,(907)780-4338,TX/OS/OR/RR/DD/SS,99801,,5014AK99801,-134.4949930787529,58.356582596132796,100.0
Tongass Community Counseling Center,,,222 Seward Street,Suite 202,,Juneau,AK,99801,(907)586-3585,TX/PV/OS/OR/AD/CO/PI,99801,,7346AK99801,-134.4084257047663,58.30130373514317,100.0
Cook Inlet Council on,Alcohol and Drug Abuse (CICADA),,10200 Kenai Spur Highway,,,Kenai,AK,99611,(907)283-3658,TX/PV/OS/OR/IO/AD/SS/MD/PI,99611,,7083AK99611,-151.22908046991992,60.561027489863996,100.0
Kenaitze Indian Tribe,Nakcnu,,150 North Willow Street,,,Kenai,AK,99611,,TX/PV/OS/OR/AD/DD/SS/CM/FG,99611,,5646AK99611,-151.24750707822253,60.562244877480964,100.0
Gateway Center for Human Services,Substance Abuse Services Division,,3050 5th Avenue,,,Ketchikan,AK,99901,Hotline: (907)225-4135,TX/PV/OS/OR/IO/AD/DD/SS/CM/MD/PI,99901,,8219AK99901,-131.68497261204047,55.353967158754436,100.0
Ketchikan General Hosp Recovery Center,,,126 Washington Street,,,Ketchikan,AK,99901,(907)247-4330 Hotline:,TX/PV/OS/OR/IO/AD/SS/GH,99901,,6107AK99901,-131.67215140148622,55.349962536874216,100.0
Ketchikan Indian Corporation,,,355 Carlanna Lake Road,,,Ketchikan,AK,99901,,TX/PV/OS/OR/AD/SS/FG,99901,,1038AK99901,-131.68719892934297,55.35568142559185,100.0
Kodiak Council on Alcoholism Inc,,,115 Mill Bay Road,,,Kodiak,AK,99615,(907)486-3535,TX/PV/OS/OD/OR/IO/RR/DD/HV/PW/SS/MD,99615,,5194AK99615,-152.40434357542748,57.78889888328922,100.0
Maniilaq Addictions and Support,Mamilaq Association,,Frank Ferguson Building,D and E Wings,,Kotzebue,AK,99752,,TX/PV/OS/DT/OD/OR/IO/RD/RR/DD/SS/GH/TC/CM/PI,99752,,4972AK99752,-162.60011499999996,66.89845500000007,85.0
Four Rivers Counseling Services,McGrath/ Anvik Education and MH Assoc,,229 Joaquin Street,,,McGrath,AK,99627,(907)524-3781 Hotline: (800)478-3781,TX/PV/OS/OR/IO/SS/CM,99627,,0611AK99627,-155.58029069999995,62.946148100000066,85.0
Annette Island Service Unit,Family Services,,,,,Metlakatla,AK,99926,(907)886-4325,TX/PV/OS/OR/IO/AD/SS,99926,,6549AK99926,-131.57700999999997,55.130360000000046,100.0
Northern Lights Recovery Center,,,5th Avenue and Division Streets,Community Health Services Building,,Nome,AK,99762,(907)443-3344,TX/OS/OR/IO/RR/DD/PW/SS/TC/MD/FG/PI,99762,,0557AK99762,-165.4050198967592,64.50153003190715,98.58
Changing Tides Counseling Services,,,201 North Nordic Street,Suites 204 and 205,,Petersburg,AK,99833,(907)772-3552,TX/PV/OS/OR/AD/SS/MD,99833,,9097AK99833,-132.95758959509328,56.81264571231446,98.06
Pribilof Counseling Center,,,,,,Saint Paul Island,AK,99660,(907)546-2342,TX/PV/OS/OR/AD/SS/OH,99660,,6549AK99660,-170.27491999999995,57.12342000000007,100.0
Eastern Aleutian Tribes Inc,,,Main Street,,,Sand Point,AK,99661,(907)383-5421 Hotline: (800)478-2673,TX/PV/OS/OR/IO/AD/DD/SS/CM,99661,,2510AK99661,-160.49547999999996,55.33546000000007,85.0
Seldovia Village Tribe/SKIAP,,,274 Main Street,,,Seldovia,AK,99663-0197,(907)234-7807,TX/PV/OS/OR/AD/SS,99663,197.0,1955AK99663,-151.71640945179902,59.43899624703776,100.0
Seward Life Action Council,,,504 Adams Street,,,Seward,AK,99664,(907)224-5257 Hotline: (907)224-3027,TX/PV/OS/OR/SS/CM/MD/PI,99664,,5602AK99664,-149.43830999053938,60.102857532958964,98.14
Ravens Way/SEARHC,Adolescent Residential Treatment Prog,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8714,TX/OS/RR/AD/DD/SS/MD/FG/PI,99835,,2666AK99835,-135.3562534113208,57.05198307850018,100.0
Sitka Prevention and Trt Services Inc,Headquarters,,509 Lincoln Street,,,Sitka,AK,99835,(907)747-3500,TX/PV/OS/OR/IO/AD/SS/HH,99835,,4925AK99835,-135.33128574647378,57.05128873359089,100.0
Sitka Prevention and Trt Services Inc,,,509 Lincoln Street,,,Sitka,AK,99835,(907)747-3500,TX/PV/OS/OR/IO/RR/AD/HV/PW/CO/MD/PI,99835,,4925AK99835,-135.33128574647378,57.05128873359089,100.0
Southeast AK Regional Hlth Consortium,Community Family Services Program,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8710,TX/PV/OS/OR/IO/SS/FG,99835,,2666AK99835,-135.3562534113208,57.05198307850018,100.0
Upper Tanana Alcohol Program,Tok Clinic Building,Tok Cut-Off,,,,Tok,AK,99780,(907)883-5185,TX/PV/OS/OR/IO/CH,99780,,6549AK99780,-142.829365,63.32451000000003,100.0
Valdez Counseling Center,,,337 Egan Avenue,,,Valdez,AK,99686,(907)835-2838 Hotline: (907)835-2999,TX/PV/OS/OR/IO/AD/CM,99686,,9459AK99686,-146.35769230696312,61.12919742408564,100.0
Alaska Addiction Rehab Services,Nugens Ranch,,3701 Palmer Wasilla Street,,,Wasilla,AK,99654,(907)376-4534,TX/OS/DT/RD/RR/DD/SS/TC,99654,,8775AK99654,-149.3545692457606,61.58507427274498,92.73
MAT/SU Recovery Center Incorporated,,,280 I Bogard Road,,,Wasilla,AK,99654,(907)376-4000 Hotline: (907)376-4000,TX/PV/OS/OR/IO/AD/DD/PW/SS/CJ/MD/PI,99654,,2639AK99654,-149.44153868266366,61.58485047644943,96.04
Avenues,,,406 Alaska Avenue,,,Wrangell,AK,99929,(907)874-3338,TX/PV/OS/OR/SS/MD,99929,,9843AK99929,-132.3766684758125,56.469066234834614,97.04
SMMHC Inc,Mental Health Ctr/Subst Abuse Services,,564 North Idaho Road,Suite 9,,Apache Junction,AZ,85220,(480)983-0065,TX/PV/OS/OR/IO/CM,85220,,8154AZ85220,-111.54612748490013,33.4205009897335,99.52
