Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,zip1,zip2,ID
Marshall/Jackson MH Authority,Mountain Lakes Behavioral Health Care,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465 Hotlines: (256)582-5339 (256)582-4465,TX/PV/OS/OR/IO/RR/DD/SS/HH/CM,35976,,9169AL35976
Crestwood Medical Ctr of Huntsville,Behavioral Services,,I Hospital Drive,,,Huntsville,AL,35801,(256)880-4260 Hotlines: (256)880-4260 (256)880-4280,TX/PV/OS/DT/IO/ID/IR/AD/DD/GH/MC/MD/FG/PI,35801,,9275AL35801
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311,TX/ML/OS/DT/OD/OR/DD/HV/PW/SS,35805,,7183AL35805
Madison County Mental Health Center,New Horizons Recovery Center,,600 Saint Clair Street,Number 9 Suite 23,,Huntsville,AL,35801,(256)532-4141,TX/PV/OS/OR/IO/CM/MD/PI,35801,,6954AL35801
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,TX/RR/HH,35805,,6750AL35805
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,Hotline: (800)489-3971,TX/PV/OS/OR/IO/RR/SS/CM/MD/FG,35501,,3770AL35501
Maxwell Air Force Base,Substance Abuse Program,,330 Kirkpatrick Avenue E,,,Maxwell AFB,AL,36113-6334,(334)493-4534,TX/PV/OS/DT/OD/OR/IO/PW/SS/GH/CM/FG,36113,6334.0,3516AL36113
Bradford Health Services,Mobile Outreach Mobile,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906 Hotlines: (334)633-0900 (800)333-0906,TX/PV/OS/OR/IO/SS,36695,,7138AL36695
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(256)438-4729,TX/OS/IO/RR/SS/HH/FG,36604,,0089AL36604
ECO Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(334)476-1677,TX/IO/SS,36607,,3277AL36607
Oasis,,,4211 Government Boulevard,,,Mobile,AL,36693,(334)666-2569,TX/OS/OR/IO/SS/OH/PI,36693,,7639AL36693
Bradford Health Services,Montgomery Outreach Montgomery,,100 Mendel Parkway,,,Montgomery,AL,36117,(800)873-2887 Hotline: (334)244-0702,TX/PV/OS/OR/IO/AD/SS,36117,,2566AL36117
Chemical Addictions Program Inc,,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)265-4544 Hotline: (800)762-3790,TX/OS/IO/RR/AD/SS/MD/FG,36108,,3667AL36108
Jackson Hospital,Psychiatric Unit,,1235 Forest Avenue,,,Montgomery,AL,36106,(334)293-8660,TX/DT/ID/GH/MC/MD/FG/PI,36106,,7330AL36106
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,1415 East South Boulevard,,,Montgomery,AL,36116,(334)286-5980,TX/PV/OS/OR/IO/DD/HV/PW/SS/MD/PI,36116,,7532AL36116
Meadhaven Addictive Disease Program,,,2105 East South Boulevard,,,Montgomery,AL,36116,(334)286-3535,TX/PV/OS/DT/OD/IO/ID/IR/DD/GH/MC/FG/PI,36116,,0349AL36116
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363,TX/ML/PV/OS/DT/OD/OR/IO/SS/GH/SG,36105,,1386AL36105
Shoals Treatment Center,,,520 Louise Street,,,Muscle Shoals,AL,35661,(205)383-6646,TX/ML/PV/OS/DT/OD/OR/SS/PI,35661,,2319AL35661
Bradford Health Services,Oak Mountain Shelby,,2280 Highway 35 South,,,Pelham,AL,35124,(205)664-3480,TX/RR/AD/SS/OH/FG/PI,35124,,4019AL35124
Lifeline Services Inc,Russell County Location,,1602 Broad Street,,,Phenix City,AL,36867,(888)329-0440,TX/PV/OS/OR/IO/SS/CJ,36867,,2173AL36867
Self Discovery Inc,,,59928 Highway 22,,,Roanoke,AL,36274,(888)283-6747,TX/OS/DT/ID/IR/GH/MC/PI,36274,,9892AL36274
The Freedom House,,,Route 4,,,Rogersville,AL,35652,(205)247-1222,TX/IO/RR/PW/SS/OH/HH,35652,,1434AL35652
Sunrise Lodge,Substance Abuse Treatment Center,,1163 Washington Avenue SW,,,Russellville,AL,35653,(205)332-0078,TX/RR/SS/MD/PI,35653,,2919AL35653
Cahaba Cares,Substance Abuse Services,,912 Jeff Davis Avenue,,,Selma,AL,36701,(334)874-2600 Hotline: (334)875-2109,TX/PV/OS/OR/IO/AD/HV/PW/SS/CJ/MD,36701,,7780AL36701
The Shoulder,,,4901 Battleship Parkway,,,Spanish Fort,AL,36577,(334)626-2199,TX/PV/OS/IO/RR/SS/HH,36577,,8248AL36577
Cheaha Regional Mental Health,Mental Retardation Board Inc,,1721 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)249-2395 Hotline:,TX/PV/OS/DT/IO/RD/RR/AD/SS/MD,35150,,7738AL35150
Indian Rivers Mental Health Center,Alcohol and Drug Abuse Program,,505 19th Avenue,,,Tuscaloosa,AL,35401,(205)391-0118 Hotline: (205)345-1600,TX/PV/OS/OR/IO/RR/DD/PW/SS/CM/CH/MC/MD/FG/PI,35401,,4859AL35401
Phoenix House Inc,,,700 35th Avenue,,,Tuscaloosa,AL,35401,(205)758-3867,TX/RR/HH/FG,35401,,5617AL35401
Tuscaloosa Treatment Center,,,535 River Road NE,Suite G-3,,Tuscaloosa,AL,35404,(205)507-0800,TX/ML/OS/DT/OD/OR/SS/PI,35404,,5992AL35404
Veterans Affairs Medical Center,Primary Care Substance Abuse Clinic,,3701 Loop Road East,,,Tuscaloosa,AL,35404,,TX/PV/OS/DT/OD/OR/IO/SS/PH/FG,35404,,3248AL35404
Central Alabama,Veteran Health Care System,,2400 Hospital Road,,,Tuskegee,AL,36083,,TX/PV/OS/DT/OR/ID/SS/GH/PH/FG,36083,,7228AL36083
Bradford Health Services,Warrior Lodge/Jefferson,,1189 Allbritton Road,,,Warrior,AL,35180,(800)333-1865 Hotlines: (205)647-1945 (800)648-1945,TX/PV/OS/DT/IO/RD/RR/DD/SS/TC/FG/PI,35180,,4757AL35180
Bradford Health Services at,Elmore Community Hospital,C/O Elmore Community Hospital,500 Hospital Drive,,,Wetumpka,AL,36092,(334)567-4311,TX/OS/DT/ID/IR/GH,36092,,3070AL36092
Akeela Treatment Services,,,2805 Bering Street,Suite 4,,Anchorage,AK,99503,(907)561-5266,TX/PV/OS/OR/RR/SS/TC/SC/CJ/MD,99503,,2368AK99503
Alaska Human Services Inc,Outpt Alc/Subst Abuse Treatment Prog,,4050 Lake Otis Parkway,Suite 11 I,,Anchorage,AK,99508,(907)561-4535,TX/OS/OR/IO/SS/PI,99508,,8146AK99508
Alaska North Addictions Recovery Ctr,,,4330 Bragaw Street,,,Anchorage,AK,99508,(907)561-5537,TX/PV/OS/OR/IO/RR/SS/MD/FG/PI,99508,,4835AK99508
Booth Memorial Youth and Family Servs,,,3600 East 20th Avenue,,,Anchorage,AK,99508,(907)279-0522,TX/PV/OS/OR/IO/AD/DD/PW/SS/MD,99508,,2044AK99508
Charter North,Behavioral Health System,,2530 Debarr Road,,,Anchorage,AK,99508,(907)258-7575 Hotlines: (907)258-7575 (800)478-7575,TX/PV/OS/DT/ID/IR/AD/PH,99508,,7124AK99508
Genesis House Inc,,,2825 West 42nd Place,,,Anchorage,AK,99517,(907)243-5130,TX/PV/OS/DT/OR/IO/RD/RR/DD/SS/CM/FG/PI,99517,,7003AK99517
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501-2624,(907)276-6430,TX/ML/PV/OS/DT/OD/OR/HV/SS/MD/PI,99501,2624.0,9067AK99501
Pacific Rim Counseling Inc,,,4141 B Street,Suite 210,,Anchorage,AK,99503,(907)561-5252,TX/PV/OS/OR/IO/AD/DD/SS/SG/CJ/PI,99503,,1894AK99503
Providence Alaska Medical Center,Providence Breakthrough,,2401 East 42nd Avenue,Suite 103,,Anchorage,AK,99508,(907)562-7325,TX/OS/OR/IO/AD/DD/SS/MC/PI,99508,,7195AK99508
RITE Inc,,,30 I East Fireweed Lane,Suite 102,,Anchorage,AK,99503-2110,(907)562-7483,TX/PV/OS/OR/IO/AD/SS/PI,99503,2110.0,0984AK99503
Salvation Army,Clitheroe Center,,1709 South Bragaw Street,Point Woronzof/Wcst End Road Suite B,,Anchorage,AK,99508,(907)276-2898,TX/OS/DT/OR/IO/RD/RR/DD/PW/SS/MD/FG/PI,99508,,2981AK99508
Southcentral Foundation,Dena A Coy,,3916 East 9th Avenue,,,Anchorage,AK,99508,(907)333-6677,TX/PV/OS/OR/RR/DD/PW/SS/MD/FG,99508,,8142AK99508
Veterans Affairs and ROC Anchorage AK,Addictions Treatment Program,,2925 Debarr Road,Suite 116,,Anchorage,AK,99508,(907)257-4854,TX/PV/OS/DT/OD/OR/IO/DD/SS/FG,99508,,0102AK99508
Volunteers of America,,,441 West 5th Avenue,Suite 301,,Anchorage,AK,99501-2340,(907)279-9634,TX/PV/OS/OR/IO/RR/AD/SS/MD/FG/PI,99501,2340.0,7870AK99501
Kuskokwim Native Association,Community Counseling Program,,P. 0. Box 155,,,Aniak,AK,99557,(907)675-4445 Hotline: (800)478-5622,TX/PV/OS/OR/CM,99557,,3918AK99557
North Slope Borough,Health Substance Abuse Treatment Servs,,579 Kingosak Street,,,Barrow,AK,99723,(907)852-0274 Hotlines: (907)852-0274 (907)852-0275,TX/PV/OS/DT/OD/OR/RD/RR/AD/SS/TC/FG,99723,,7340AK99723
Copper River Community Mental Hlth Ctr,Substance Abuse Services,,Mile I 04 Old Richardson Highway,,,Copper Center,AK,99573,(907)822-5241,TX/PV/OS/OR/IO/DD/CM/MD/FG,99573,,0033AK99573
Sound Alternatives,Cordova Community Medical Center,,602 Chase Avenue,,,Cordova,AK,99574,(907)424-8300,TX/PV/OS/OR/AD/DD/HV/CM/MC/MD/PI,99574,,8108AK99574
Bristol Bay Area Health Corp,Alcoholism and Drug Abuse Program,,,,,Dillingham,AK,99576,(907)842-5266,TX/PV/OS/DT/OR/IO/RD/RR/AD/DD/PW/SS/MD/PI,99576,,4856AK99576
Aleutian Counseling Center,,,,,,Dutch Harbor,AK,99692,(907)581-2742,TX/PV/OS/OR/AD/SS/FG,99692,,1645AK99692
Volunteers of America of Alaska ARCH,,,,,,Eagle River,AK,99577,(907)694-3336,TX/RR/AD/DD/SS,99577,,4585AK99577
Eielson Air Force Base,Substance Abuse Program,,3349 Central Avenue Suite I,,,Eielson AFB,AK,99702-2325,,PV/OS/DT/OD/DD/SS/GH/FG,99702,2325.0,6375AK99702
Elmendorf AFB,Substance Abuse Office,,24800 Hospital Drive,,,Elmendorf AFB,AK,99506,(907)552-8354,TX/PV/OS/DT/OD/OR/IO/DD/PW/SS/GH/CM/FG,99506,,8393AK99506
Fairbanks Memorial Hospital,Family Recovery Center,,I 650 Cowles Street,,,Fairbanks,AK,99701,(907)458-5540,TX/OR/IO/SS/GH/PI,99701,,1996AK99701
Graf Rheeneenhaanjii,Substance Abuse Services,,2550 Lawlor Road,,,Fairbanks,AK,99701,(907)455-4725,TX/OS/RD/RR/AD/SS/OH/MD/FG,99701,,7454AK99701
Regional Center for Alcohol and Other Addictions,,,3100 South Cushman Street,,,Fairbanks,AK,99707,(907)452-6251,TX/PV/OS/DT/OR/IO/RD/RR/AD/DD/SS/HH/FG,99707,,5862AK99707
TCC Regional Prevention Program,,,122 First Avenue,,,Fairbanks,AK,99701,(907)452-8251,TX/PV/OS/RR/SS/TC/FG,99701,,2150AK99701
Tanana Chiefs Conference Inc,Old Minto Family Recovery Camp,,122 1st Avenue,Suite 600,,Fairbanks,AK,99707,,TX/PV/OS/RR/SS/FG,99707,,2119AK99707
Tanana Chiefs Conference Inc,Yukon Tanana Counseling Services,,1302 21st Avenue,,,Fairbanks,AK,99701,(907)459-3930,TX/PV/OS/OR/CM/FG,99701,,9069AK99701
Community Counseling Center,,,600 Richardson Drive,,,Fort Richardson,AK,99505,(907)384-1416,TX/PV/OS/OR/SS/FG,99505,,8201AK99505
Fort Wainwright Alcohol and Drug Abuse Prev Control Prog (ADAPCP),,,1060 Gaffney Road Suite 6600,MCUC/CCC Building 1064,,Fort Wainwright,AK,99703-6600,(907)353-1370,TX/PV/OS/DT/OD/OR/IO/SS/FG,99703,6600.0,1305AK99703
Railbelt Mental Health and Addicton,,,Dry Creek and Coal Street,,,Healy,AK,99743,(907)832-5557,TX/PV/OS/OR/IO/AD/DD/SS/CM/PI,99743,,4489AK99743
Gastineau Human Services,,,5597 Aisek Street,,,Juneau,AK,99801,(907)780-4338,TX/OS/OR/RR/DD/SS,99801,,3095AK99801
Tongass Community Counseling Center,,,222 Seward Street,Suite 202,,Juneau,AK,99801,(907)586-3585,TX/PV/OS/OR/AD/CO/PI,99801,,3728AK99801
Cook Inlet Council on,Alcohol and Drug Abuse (CICADA),,10200 Kenai Spur Highway,,,Kenai,AK,99611,(907)283-3658,TX/PV/OS/OR/IO/AD/SS/MD/PI,99611,,9619AK99611
Kenaitze Indian Tribe,Nakcnu,,150 North Willow Street,,,Kenai,AK,99611,,TX/PV/OS/OR/AD/DD/SS/CM/FG,99611,,5038AK99611
Gateway Center for Human Services,Substance Abuse Services Division,,3050 5th Avenue,,,Ketchikan,AK,99901,Hotline: (907)225-4135,TX/PV/OS/OR/IO/AD/DD/SS/CM/MD/PI,99901,,3192AK99901
Ketchikan General Hosp Recovery Center,,,126 Washington Street,,,Ketchikan,AK,99901,(907)247-4330 Hotline:,TX/PV/OS/OR/IO/AD/SS/GH,99901,,7223AK99901
Ketchikan Indian Corporation,,,355 Carlanna Lake Road,,,Ketchikan,AK,99901,,TX/PV/OS/OR/AD/SS/FG,99901,,1957AK99901
Kodiak Council on Alcoholism Inc,,,115 Mill Bay Road,,,Kodiak,AK,99615,(907)486-3535,TX/PV/OS/OD/OR/IO/RR/DD/HV/PW/SS/MD,99615,,8864AK99615
Maniilaq Addictions and Support,Mamilaq Association,,Frank Ferguson Building,D and E Wings,,Kotzebue,AK,99752,,TX/PV/OS/DT/OD/OR/IO/RD/RR/DD/SS/GH/TC/CM/PI,99752,,7410AK99752
Four Rivers Counseling Services,McGrath/ Anvik Education and MH Assoc,,229 Joaquin Street,,,McGrath,AK,99627,(907)524-3781 Hotline: (800)478-3781,TX/PV/OS/OR/IO/SS/CM,99627,,6188AK99627
Annette Island Service Unit,Family Services,,,,,Metlakatla,AK,99926,(907)886-4325,TX/PV/OS/OR/IO/AD/SS,99926,,9723AK99926
Northern Lights Recovery Center,,,5th Avenue and Division Streets,Community Health Services Building,,Nome,AK,99762,(907)443-3344,TX/OS/OR/IO/RR/DD/PW/SS/TC/MD/FG/PI,99762,,3337AK99762
Changing Tides Counseling Services,,,201 North Nordic Street,Suites 204 and 205,,Petersburg,AK,99833,(907)772-3552,TX/PV/OS/OR/AD/SS/MD,99833,,2968AK99833
Pribilof Counseling Center,,,,,,Saint Paul Island,AK,99660,(907)546-2342,TX/PV/OS/OR/AD/SS/OH,99660,,3283AK99660
Eastern Aleutian Tribes Inc,,,Main Street,,,Sand Point,AK,99661,(907)383-5421 Hotline: (800)478-2673,TX/PV/OS/OR/IO/AD/DD/SS/CM,99661,,2524AK99661
Seldovia Village Tribe/SKIAP,,,274 Main Street,,,Seldovia,AK,99663-0197,(907)234-7807,TX/PV/OS/OR/AD/SS,99663,197.0,2425AK99663
Seward Life Action Council,,,504 Adams Street,,,Seward,AK,99664,(907)224-5257 Hotline: (907)224-3027,TX/PV/OS/OR/SS/CM/MD/PI,99664,,8159AK99664
Ravens Way/SEARHC,Adolescent Residential Treatment Prog,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8714,TX/OS/RR/AD/DD/SS/MD/FG/PI,99835,,4698AK99835
Sitka Prevention and Trt Services Inc,Headquarters,,509 Lincoln Street,,,Sitka,AK,99835,(907)747-3500,TX/PV/OS/OR/IO/AD/SS/HH,99835,,1795AK99835
Sitka Prevention and Trt Services Inc,,,509 Lincoln Street,,,Sitka,AK,99835,(907)747-3500,TX/PV/OS/OR/IO/RR/AD/HV/PW/CO/MD/PI,99835,,1795AK99835
Southeast AK Regional Hlth Consortium,Community Family Services Program,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8710,TX/PV/OS/OR/IO/SS/FG,99835,,3000AK99835
Upper Tanana Alcohol Program,Tok Clinic Building,Tok Cut-Off,,,,Tok,AK,99780,(907)883-5185,TX/PV/OS/OR/IO/CH,99780,,2482AK99780
Valdez Counseling Center,,,337 Egan Avenue,,,Valdez,AK,99686,(907)835-2838 Hotline: (907)835-2999,TX/PV/OS/OR/IO/AD/CM,99686,,4204AK99686
Alaska Addiction Rehab Services,Nugens Ranch,,3701 Palmer Wasilla Street,,,Wasilla,AK,99654,(907)376-4534,TX/OS/DT/RD/RR/DD/SS/TC,99654,,5017AK99654
MAT/SU Recovery Center Incorporated,,,280 I Bogard Road,,,Wasilla,AK,99654,(907)376-4000 Hotline: (907)376-4000,TX/PV/OS/OR/IO/AD/DD/PW/SS/CJ/MD/PI,99654,,9124AK99654
Avenues,,,406 Alaska Avenue,,,Wrangell,AK,99929,(907)874-3338,TX/PV/OS/OR/SS/MD,99929,,3719AK99929
SMMHC Inc,Mental Health Ctr/Subst Abuse Services,,564 North Idaho Road,Suite 9,,Apache Junction,AZ,85220,(480)983-0065,TX/PV/OS/OR/IO/CM,85220,,9926AZ85220
Southeastern Arizona Behavioral,Health Services (SEABHS) Admin Unit,,590 South Ocotillo Avenue,,,Benson,AZ,85602,(520)586-7080 Hotline: (800)586-9161,TX/PV/OS/OR/DD/CM/FG,85602,,7885AZ85602
Mohave Mental Health Clinic,Outpatient and Day Treatment,,2135 Highway 95,Suites 125 and 241,,Bullhead City,AZ,86442,(520)758-5905,TX/IO/AD/DD/SS/CM,86442,,2211AZ86442
Camp Verde Yavapai/Apache,Alcohol/Substance Abuse Program,,,,,Camp Verde,AZ,86322,(520)567-3977,TX/PV/OS/OR/SS/FG,86322,,1959AZ86322
Verde Valley Guidance Clinic Inc,,,497 Main Street,Suite 4,,Camp Verde,AZ,86322,(520)634-2236 Hotline: (520)634-2236,TX/PV/OS/DT/OD/OR/IO/AD/DD/PW/CM,86322,,2471AZ86322
Against Abuse Inc,,,,,,Casa Grande,AZ,85230-0733,(520)836-1239,TX/PV/OS/OR/CM/MD,85230,733.0,4153AZ85230
Behavioral Health Agency of,Central Arizona,,120 West Main Street,,,Casa Grande,AZ,85222-4820,(520)836-1688,TX/PV/OS/OR/DD/HV/SS/CM/MC/MD,85222,4820.0,5248AZ85222
PGBHA BHACA Casa Grande Outpatient,,,120 West Main Street,,,Casa Grande,AZ,85222-4820,(520)836-1675,TX/PV/OS/OR/IO/DD/HV/SS/CM/MC/MD,85222,4820.0,7986AZ85222
PGBHA Helping Associates Inc,,,1901 North Trekell Road,Suite A,,Casa Grande,AZ,85222,(520)836-1029,TX/OS/OR/IO/HV/SS,85222,,2338AZ85222
Centro de Amistad Inc,,,100 West Boston Street,Suite 5,,Chandler,AZ,85224,(480)839-2926,TX/PV/OS/OR/IO/AD/DD/PW/SS/CM,85224,,7799AZ85224
Chandler Valley Hope and Drug Trt Ctr,,,501 North Washington Street,,,Chandler,AZ,85225,(480)899-3335 Hotlines: (480)899-3335 (800)544-5101,TX/PV/OS/DT/RD/RR/SS/OH/TC/PI,85225,,4660AZ85225
Verde Valley Guidance Clinic Inc,,,19 East Beech Street,,,Cottonwood,AZ,86326,(520)634-2236 Hotline: (520)634-2236,TX/PV/OS/DT/OD/OR/IO/AD/DD/PW/CM/MD,86326,,2643AZ86326
Dilcon Agency,Dept of Behavioral Health Services,,Old Pre School Building,Next Chapter House,,Dilkon,AZ,86047,(520)657-8000,TX/PV/OS/IO/SS/OH/CM/CJ/FG,86047,,9352AZ86047
PGBHA Pinal County Hispanic Council,,,712 North Main Street,,,Eloy,AZ,85231,(520)466-3608,TX/PV/OS/OR/IO/AD/DD/SS/MD/FG/PI,85231,,4513AZ85231
Aspen Hill Behavioral Health System,,,305 West Forest Avenue,,,Flagstaff,AZ,86001,(520)773-1060 Hotline: (800)336-2773,TX/PV/OS/DT/OR/IO/ID/AD/DD/SS/PH/CM/MC/MD/PI,86001,,8974AZ86001
Community Medical Services,,,2559 East 7th Avenue,,,Flagstaff,AZ,86004-3722,,TX/ML/OS/DT/OD/OR/IO/DD/SS/MD,86004,3722.0,0817AZ86004
The Guidance Center,,,2187 North Vickey Street,,,Flagstaff,AZ,86004,(520)527-1899,TX/PV/OS/DT/OD/OR/IO/RD/RR/AD/DD/PH/CM/MC/MD/PI,86004,,5703AZ86004
Fort Defiance Outpatient Treatment Ctr,Fort Defiance Agency,,25 Saint Avenue Drive,,,Fort Defiance,AZ,86504,(520)729-4012,TX/PV/OS/OR/IO/RR/AD/DD/PW/SS/MD,86504,,0455AZ86504
Fort McDowell Indian Community,Family and Community Services,,Yavapai Road,,,Fort McDowell,AZ,85264,(480)816-7131,TX/PV/OS/OR/IO/AD/SS/CM/CO,85264,,7139AZ85264
Community Care Network (CCN),Jewish Family and Childrens Services,,6376 West Bell Road,,,Glendale,AZ,85308,(602)395-8900,TX/OS/IO/AD/DD/SS,85308,,9064AZ85308
Maverick House,,,7022 North 48th Avenue,,,Glendale,AZ,85301,(623)931-5810,TX/PV/OS/OR/RR/DD/SS/TC/MC/MD/PI,85301,,7846AZ85301
Thunderbird Samaritan Behavioral Hlth,,,5555 West Thunderbird Road,,,Glendale,AZ,85306,(602)588-4799 Hotline: (602)230-4357,TX/OS/DT/ID/GH/MC/MD/PI,85306,,1691AZ85306
La Frontera Center,,,1151 South La Canada,Suite 105,,Green Valley,AZ,85614,(602)625-0876,TX/PV/OS/DT/OD/IO/ID/DD/PW/CM,85614,,1554AZ85614
Community Counseling Centers Inc,,,105 North 5th Avenue,,,Holbrook,AZ,86025,Hotline:,TX/PV/OS/DT/OD/OR/IO/CM,86025,,0513AZ86025
Kayenta Outpatient Treatment Center,,,,,,Kayenta,AZ,86033,(520)697-5570,TX/PV/OS/OR/AD/DD/SS,86033,,8000AZ86033
Copper Communities Resource and Development Inc,,,1116 Tilbury Street,,,Kearny,AZ,85237,(602)363-5561,TX/PV/OS/OR/AD/DD/CO,85237,,2428AZ85237
Mohave Mental Health Clinic,Substance Abuse Services,,1750 Beverly Street,,,Kingman,AZ,86401,(520)757-811l,TX/OS/IO/DD/SS/SG,86401,,1740AZ86401
