Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys
Mental Health Ctr of North Central AL,Quest Rec Ctr Subst Abuse Treatment,,4110 U.S. Highway 31 South,,,Decatur,AL,35603,(256)353-9116 Intakes: (256)355-5904 (800)365-6008 Hotline: (256)355-6091,www.mhcnca.org,,SA/TX/OP/CO/PW/WN/SF/MD/PI/SS/AH/
Bradford Health Services,Dothan Outreach,,1609 West Main Street,,,Dothan,AL,36301,(334)671-1677 Intake: (334)671-1130 Hotline: (334)671-1677,www.bradfordhealth.com,,SA/TX/OP/AD/SF/SI/PI/MI/
Spectra Care,The Haven,,831 John D Odom Road,,,Dothan,AL,36303,(334)794-3771 Intake: (334)673-2143 Hotline: (334)794-3771,,,SA/TX/RS/SF/MD/SI/PI/
Baldwin County Mental Health Center,Rapport,,372 South Greeno Road,,,Fairhope,AL,36532,(251)990-8961 Intake: (251)990-4234 Hotline: (251)928-9500,,,MH-SA/TX/OP/AD/CO/SF/MD/MC/SI/
Riverbend Center for Mental Health,Substance Abuse Services,,635 West College Street,,,Florence,AL,35630,(256)764-3431x205 Intake: (256)764-3431 Hotline: (256)764-3431,www.rcmh.org,,MH-SA/TX/OP/AD/CO/CJ/SF/MD/MC/SI/PI/MI/AH/
Bridge Inc,Recovery Center for Teens/Fort Payne,,100 7th Street NE,,,Fort Payne,AL,35967,(256)845-7767 Intake: (888)845-6220,www.bridgeinc.org,,SA/TX/OP/AD/SF/MD/SI/PA/
Family Life Center,,,300 Gault Avenue South,,,Fort Payne,AL,35967,(256)997-9356,www.familylifecenter.ws,,SA/TX/OP/AD/SF/PI/SS/
Army Substance Abuse Program,,,6th Avenue,Building 132,,Fort Rucker,AL,36362,(334)255-1040,,,SA/TX/OP/PA/
Bridge Inc,,,3232 Lay Springs Road,,,Gadsden,AL,35904,(256)546-6324,www.bridgeinc.org,,SA/TX/DT/RS/RL/AD/CJ/SF/MD/SI/PI/MI/PA/AH/
Gadsden Treatment Center Inc,,,1107 West Meighan Boulevard,,,Gadsden,AL,35901,(256)549-0807,www.bitchandgripe.com/Wisconsin.htm,Methadone Clients Only,SA/TX/MM/OP/HV/PW/WN/MN/SF/PI/AH/
Mountain View Deferred Prosecution,Prosecution Program/Gadsden,,301 North 12th Street,Suites 1-3,,Gadsden,AL,35901,(256)546-9265,www.mtnviewhospital.com,,SA/TX/OP/CJ/SF/AH/
Mountain View Hospital,,,3001 Scenic Highway,,,Gadsden,AL,35904,(800)245-3645 Intake: (800)245-3645x250 Hotline: (800)662-1002,www.mtnviewhospital.com,,MH/TX/DT/HI/RS/RL/OP/PH/AD/SE/DU/CJ/SF/MD/MC/SI/PI/MI/AH/
Mountain View Outpatient Program,Chemical Dependency,,3001 Scenic Highway,,,Gadsden,AL,35904,(256)546-9265,www.mtnviewhospital.com,,SA/TX/OP/SF/MC/SI/PI/MI/AH/
Mountain View Partial Hospitalization,Program,,3001 Scenic Highway,,,Gadsden,AL,35904,(256)546-9265,www.mtnviewhospital.com,,MH/TX/PH/SE/SF/MC/SI/PI/MI/AH/
Gulf Coast Treatment,,,Interchange Road,,,Grand Bay,AL,36541,(251)865-0123,,Methadone Clients Only,SA/TX/MM/OP/SF/AH/
Cedar Lodge,A Program of MLBH,,22165 U.S. Highway 431,,,Guntersville,AL,35976,(256)582-4465 Intake: (256)582-4465x100 Hotline: (256)582-5339x116,,,SA/TX/RS/OP/SF/MD/SI/PI/SS/SP/
Family Life Center,,,432 Gunter Avenue,,,Guntersville,AL,35976,(256)582-1471 Intake: (256)844-2006,www.familylifecenter.ws,,SA/TX/OP/SF/SS/
Marion County Treatment Center,,,1879 Military Street South,,,Hamilton,AL,35570,(205)921-3799,,Methadone Clients Only,SA/TX/MM/OP/CO/HV/SE/PW/WN/MN/SF/PI/AH/
Crestwood Medical Center of Huntsville,Behavioral Services,,1 Hospital Drive,,,Huntsville,AL,35801,(256)880-4260 Intakes: (256)880-4280 (256)880-3300,www.crestwoodmedcenter.com,,GH/TX/DT/HI/OP/PH/SF/MD/MC/SI/PI/MI/
Huntsville Madison County MH Center,New Horizons Recovery Center,,600 Saint Clair Street,Number 9 Suite 23,,Huntsville,AL,35801,(256)532-4141 Hotline: (256)533-1970,,,SA/TX/OP/CJ/SF/MD/MC/SI/PI/MI/SS/SP/AH/
Huntsville Metro Treatment Center,,,2227 Drake Avenue,Suite 10-D,,Huntsville,AL,35805,(256)881-1311 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
Pathfinder Inc,,,3104 Ivy Avenue SW,,,Huntsville,AL,35805,(256)534-7644,,,SA/TX/HH/RL/MN/SF/
Northwest Alabama Mental Health Center,,,1100 7th Avenue,,,Jasper,AL,35501,(205)387-0541 Intake: (800)489-3971 Hotlines: (205)387-0541 (800)489-3971,www.nwamhc.com,,MH-SA/TX/OP/AD/CO/SF/MD/SI/PI/AH/
Walker Recovery Center Inc,,,2195 North Airport Road,,,Jasper,AL,35504,(205)221-1799 Intake: (205)221-1796,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/SF/PI/
Sumter County Treatment Center,,,106 Hospital Road,,,Livingston,AL,35470,(205)652-4919,,Methadone Clients Only,SA/TX/DT/MM/OP/PW/SF/PI/
First Step,Substance Abuse Treatment,,150 Hospital Drive,,,Luverne,AL,36049,(334)335-6294 Intake: (877)530-0002 Hotline: (334)222-7794,,,SA/TX/RS/DU/SF/MD/MC/PI/MI/SS/AH/
Bradford Health Services,Huntsville Madison Inpt and Outpt,,1600 Browns Ferry Road,,,Madison,AL,35758,(800)879-7272 Hotline: (800)879-7272,www.bradfordhealth.com,,SA/TX/DT/RS/AD/SF/SI/PI/MI/
Bradford Health Services,Mobile Regional Facility,,1000 Hillcrest Road,Suite 304,,Mobile,AL,36695,(800)333-0906 Intake: (251)633-0900 Hotlines: (251)633-0900 (800)333-0906,www.bradfordhealth.com,,SA/TX/OP/AD/WN/MN/SF/SI/PI/
Bridge Inc,Mobile Campus/Westwood Program,,3401 Newman Road,,,Mobile,AL,36695,(251)633-0475,www.bridgeinc.org,,SA/TX/RS/RL/AD/CO/CJ/SF/MD/SI/PI/MI/SS/PA/
Bridge Inc,Recovery Center for Teens/Mobile,,1874 Pleasant Avenue,,,Mobile,AL,36617,(251)470-1318x615 Intake: (251)470-1318x616,www.bridgeinc.org,,SA/TX/OP/AD/SF/MD/SI/PI/MI/PA/AH/
Dauphin Way Lodge,,,1009 Dauphin Street,,,Mobile,AL,36604,(251)438-4729x149 Intake: (251)438-4729x135,www.salvos.com/mobile,,SA/TX/HH/RS/RL/OP/SF/
ECD Program,,,2950 Springhill Avenue,,,Mobile,AL,36607,(251)476-1677,,Methadone Clients Only,SA/TX/MM/OP/SF/
Franklin Primary Health Center,,,1055 Dauphin Street,,,Mobile,AL,36604,(251)434-8195,,,SA/TX/OP/SF/PA/
Mobile Mental Health,Oasis,,4211 Government Boulevard,,,Mobile,AL,36693,(251)666-2569,,,SA/TX/MM/DM/OP/PH/CO/PW/WN/CJ/SF/MD/MC/SI/PI/MI/
Mobile Metro Treatment Center,,,3367 Dauphin Island Parkway,,,Mobile,AL,36605,(251)476-5733 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
Bradford Health Services,Montgomery Outreach/Montgomery,,386 Saint Lukes Drive,,,Montgomery,AL,36117,(800)873-2887 Intake: (334)244-0702 Hotlines: (800)873-2887 (334)244-0702,www.bradfordhealth.com,,SA/TX/OP/PH/AD/SF/SI/PI/MI/
Chemical Addictions Program Inc,,,1153 Air Base Boulevard,,,Montgomery,AL,36108,(334)269-2150,www.capmgm.com,,SA/TX/OP/PH/AD/SF/MD/SI/PI/MI/SS/AH/
Lighthouse Counseling Center Inc,Intensive Outpatient Unit,,1415 East South Boulevard,,,Montgomery,AL,36116,(334)286-5980 Intakes: (334)286-5980x221 (334)286- 5980x225,www.lighthousehelp.com,,SA/TX/HH/RL/OP/AD/CO/HV/GL/PW/WN/BC/MN/CJ/SF/MD/MC/SI/PI/SS/PA/
Montgomery Metro Treatment Center,,,4303 Norman Bridge Road,,,Montgomery,AL,36105,(334)288-5363 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
Treatment Centers Inc,DBA Shoals Treatment Center,,520 Louise Avenue,,,Muscle Shoals,AL,35661,(256)383-6646,,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/MN/SF/PI/SP/F20/F22/F52/
Bradford Health Services,Tuscaloosa Regional Office,,515 Energy Center Boulevard,,,Northport,AL,35473,(800)891-9673 Hotline: (800)891-9673,www.bradfordhealth.com,,SA/TX/OP/AD/CJ/SF/SI/PI/AH/
Calhoun Treatment Center Inc,,,118 East Choccolocco Street,,,Oxford,AL,36203,(256)831-4601,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/PI/AH/
East Alabama MH/MR Center,Russell County Clinic,,2400 10th Street,,,Phenix City,AL,36867,(334)298-2405 Intake: (334)742-2877,,,SA/TX/OP/SF/MD/MC/SI/PI/MI/SS/PA/
New Choice Intervention,,,136 East Main Street,,,Roanoke,AL,36274,(888)387-7889,,,SA/TX/OP/DU/SF/AH/
Freedom House,,,15132 Highway 72,,,Rogersville,AL,35652,(256)247-1222 Hotline: (256)247-1222,,,SA/TX/HH/RL/OP/PH/PW/WN/BC/SF/PA/
Sunrise Lodge,Substance Abuse Treatment Center,,1163 Washington Avenue SW,,,Russellville,AL,35653,(256)332-0078 Intake: (256)764-3431 Hotline: (256)764-3431,www.rcmh.org,,SA/TX/RS/SF/MD/SI/PI/MI/AH/
Family Life Center,,,211 South Market Street,,,Scottsboro,AL,35768,(256)574-3448 Intake: (256)844-2006,www.familylifecenter.ws,,SA/TX/OP/SF/PI/SS/
Cahaba Ctr for Substance Abuse Servs,,,912 Jeff Davis Avenue,,,Selma,AL,36701,(334)874-2600 Intake: (334)875-2100 Hotlines: (334)875-2109 (800)291-1920,,,SA/TX/OP/AD/PW/SF/MD/SI/PI/MI/SS/PA/AH/
Shoulder,,,4901 Battleship Parkway,,,Spanish Fort,AL,36577,(251)626-2199,www.theshoulder.org,,SA/TX/HH/RL/OP/DU/SF/PI/SS/PA/
Cheaha Regional Mental Health/Caradale,Lodge/Mental Retardation Board Inc,,1721 Old Birmingham Highway,,,Sylacauga,AL,35150,(256)249-2395 Intake: (256)249-2395x209 Hotline: (256)245-2201,,,SA/TX/DT/RS/OP/DU/SF/MD/SI/AH/
East Central Mental Health Inc,Substance Abuse Program,,200 Cherry Street,,,Troy,AL,36081,(334)566-6022x242 Hotline: (334)566-3391,,,MH-SA/TX/OP/DU/SF/MD/PI/
Bridge Inc,Recovery Center for Teens/Tuscaloosa,,6001 12th Avenue East,,,Tuscaloosa,AL,35405,(205)758-8434 Intake: (256)345-8483,www.bridgeinc.org,,SA/TX/OP/PH/AD/SF/MD/SI/PI/MI/PA/AH/
Indian Rivers Mental Health Center,Alcohol and Drug Abuse Program,The Insight Center,3532 23rd Street,,,Tuscaloosa,AL,35401,(205)391-0132 Intake: (205)562-3700x133 Hotline: (205)345-1600,,,SA/TX/RS/OP/PH/CO/PW/WN/SF/MD/MC/SI/PI/MI/SS/PA/
Phoenix House Inc,,,700 35th Avenue,,,Tuscaloosa,AL,35401,(205)758-3867,,,SA/TX/HH/RL/HV/WN/MN/SF/PA/
Tuscaloosa Treatment Center,,,1001 Mimosa Park Road,,,Tuscaloosa,AL,35405,(205)752-5857 Hotline: (205)752-5857,,,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/SF/MC/PI/MI/SS/
Veterans Affairs Medical Center,MAPS/MI Addiction PTSD Services,,3701 Loop Road East,,,Tuscaloosa,AL,35404,(205)554-2000x2690 Intake: (205)554-2000x3158,,,SA/TX/OP/PH/CO/SF/MC/PI/MI/PA/
VA Central Alabama Healthcare System,,,2400 Hospital Road,,,Tuskegee,AL,36083,(334)727-0550 Intakes: (800)214-8387x3838 (800)214- 8387x5134,,www1.va.gov/directory,GH/TX/DT/RL/OP/SF/PI/MI/
Bradford Health Services,Warrior Lodge/Jefferson,,1189 Allbritton Road,,,Warrior,AL,35180,(800)333-1865 Hotline: (800)333-1865,www.bradfordhealth.com,,SA/TX/DT/RS/RL/PH/WN/MN/SF/SI/PI/MI/
A New Direction,c/o Elmore Community Hospital,,500 Hospital Drive,,,Wetumpka,AL,36092,(877)647-7552,,,SA/TX/DT/HI/SF/MD/MC/PI/MI/
TCC Allakaket Counseling Center,,,,,,Allakaket,AK,99720,(907)968-2210,,,MH-SA/TX/OP/PA/N15/
Akeela Inc,Akeela House,,2804 Bering Street,,,Anchorage,AK,99503,(907)562-4409 Intakes: (907)562-4556 (907)562-5031,www.akeela.org,,SA/TX/HH/RL/SF/SI/PI/SS/
Alaska VA Healthcare Sys & Reg Office,Social and Behavioral Health Service,,2925 DeBarr Road,,,Anchorage,AK,99508,(907)257-4854 Intake: (907)257-4853,,,SA/TX/OP/AH/
Alaska Womens Resource Center,,,610 C Street,Suite 2-A,,Anchorage,AK,99501,(907)276-0528,www.awrconline.org,,SA/TX/RL/OP/WN/BC/DU/SF/MD/PI/MI/SS/
Alaska Womens Resource Center,,,611 West 47th Street,,,Anchorage,AK,99501,(907)276-0528,www.awrconline.org,,SA/TX/RS/RL/OP/CO/WN/SF/MD/SI/PI/MI/
Booth Memorial,Youth and Family Services,,3600 East 20th Avenue,,,Anchorage,AK,99508,(907)279-0522,,,MH-SA/TX/HI/RL/AD/CO/HV/PW/CJ/MD/
Cook Inlet Tribal Council Inc,Ernie Turner Center,,4330 South Bragaw Street,,,Anchorage,AK,99508,(907)550-2400 Intake: (907)265-7917,www.citci.com,,SA/TX/DT/HI/RL/SE/SF/MD/MC/PI/MI/N33/
Genesis Recovery Services Inc,,,2825 West 42nd Place,,,Anchorage,AK,99517,(907)243-5130,,,MH-SA/TX/HH/RS/RL/OP/PH/DU/SF/PI/MI/
Narcotic Drug Treatment Center Inc,Center for Drug Problems,,520 East 4th Avenue,Suite 102,,Anchorage,AK,99501,(907)276-6430,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MD/PI/SS/PA/AH/
Providence Alaska Medical Center,Providence Breakthrough,,2401 East 42nd Avenue,Suite 103,,Anchorage,AK,99508,(907)562-7325 Intake: (800)478-0615,www.providence.org/alaska,,SA/TX/DT/OP/PH/WN/MN/DU/SF/PI/MI/
Salvation Army,Clitheroe Center,,1709 South Bragaw Street,Suite B,,Anchorage,AK,99508,(907)276-2898,www.salvationarmy.org/clitheroe,,SA/TX/OP/CO/PW/WN/MN/SF/MD/PI/SS/SP/AH/
Southcentral Foundation,Dena A Coy,,4130 San Ernesto Avenue,,,Anchorage,AK,99508,(907)729-5070x5073 Intake: (907)729-5070,www.southcentralfoundation.org/index.cfm,,SA/TX/RS/RL/OP/AD/CO/PW/WN/BC/CJ/SF/MD/SI/PI/MI/SS/AH/N33/
Volunteers of America Alaska,Assist,,1675 C Street,Suite 201,,Anchorage,AK,99501,(907)279-9634,www.voaak.org,,SA/TX/OP/AD/DU/SF/MD/SI/PI/SS/
Yukon/Kuskokwim Health Corporation,Phillips Ayagnirvik Treatment Center,,324 Radio Street,,,Bethel,AK,99559,(907)543-6735 Intake: (907)543-6708 Hotline: (800)478-2642,www.ykhc.org,,MH-SA/TX/DT/HI/RS/RL/OP/PH/AD/CO/WN/MN/DU/CJ/SF/MD/SI/PI/MI/SS/PA/F56/N33/
Copper River Native Association,Behavioral Health Sciences Department,Substance Abuse and Mental Health Serv,Mile 104 Old Richardson Highway,,,Copper Center,AK,99573,(907)822-5241,www.copperriverna.org/behavior.htm,,MH-SA/TX/DT/RS/RL/OP/PH/AD/CO/DU/CJ/SF/MD/MC/SI/PI/MI/SS/
Sound Alternatives,Cordova Community Medical Center,,602 Chase Avenue,,,Cordova,AK,99574,(907)424-8300x245 Intake: (907)424-8300,,,MH-SA/TX/OP/SF/MD/SI/PI/MI/SS/
Volunteers of America of Alaska,,,7958 Stewart Mountain Drive,,,Eagle River,AK,99577,(907)694-3336 Intake: (907)279-9634,www.voaak.org,,SA/TX/RL/AD/CO/BC/SF/MD/SI/PI/SS/
Elmendorf AFB Alcohol Drug Abuse,Prevention Treatment Program,,3 MDOS/SGOH,5955 Zeamer Avenue,,Elmendorf AFB,AK,99506,(907)580-4952 Intake: (907)580-2181,,,SA/TX/OP/MI/
Graf Rheeneenhaanjii,Substance Abuse Services,,2550 Lawlor Road,,,Fairbanks,AK,99709,(907)455-4725,,,SA/TX/RL/AD/CO/MD/PI/PA/
Project Special Delivery,,,710 3rd Avenue,,,Fairbanks,AK,99701,(907)452-4222,www.interioraids.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/PI/SS/AH/
Ralph Perdue Center,,,3100 South Cushman Street,,,Fairbanks,AK,99701,(907)452-6251x211 Intakes: (907)452-6251x221 (907)451- 1830x212,www.fairbanksnative.org,,MH-SA/TX/DT/RS/RL/OP/AD/CO/DU/SF/MD/SI/PI/MI/SS/AH/
Tanana Chiefs Conference Inc,Old Minto Family Recovery Camp,,122 1st Avenue,Suite 600,,Fairbanks,AK,99701,(907)452-8251x3144 Intake: (800)770-8251x3144,,,SA/TX/RL/OP/AD/BC/SF/MD/PI/MI/N33/
Tanana Chiefs Conference Inc,Yukon Tanana Counseling Services,,1302 21st Avenue,,,Fairbanks,AK,99701,(907)452-8251x3460 Intake: (800)478-6822x3460,,,MH-SA/TX/OP/CO/PA/
Womens and Children Center for,Inner Healing,,1027 Evergreen Street,,,Fairbanks,AK,99709,(907)451-8164 Intakes: (907)451-8164x224 (888)451-8164,www.fairbanksnative.org/womens.html,,SA/TX/RL/PW/WN/BC/SF/MD/PI/SS/
ASAP Counseling Center,,,600 Richardson Drive,,,Fort Richardson,AK,99505,(907)384-7468 Intake: (907)384-7368,www.usarak.army.mil/asap,,SA/TX/OP/PH/DU/MI/PA/
Fort Wainwright Community Counseling,Center/U.S. Army MEDDAC-AK,,1060 Gaffney Road Suite 6600,MCUC/CCC Building 1064,,Fort Wainwright,AK,99703,(907)353-9872,www.alaska.amedd.army.mil/meddac.htm,,SA/TX/DT/OP/AD/
Hoonah Indian Association,,,254 Roosevelt Street,,,Hoonah,AK,99829,(907)945-3235,,,MH-SA/TX/OP/AD/CO/HV/GL/SE/PW/WN/MN/DU/CJ/MD/SI/
Gastineau Human Services,,,5597 Aisek Street,,,Juneau,AK,99801,(907)780-3029 Intakes: (907)780-3025 (907)780-3033,www.ghscorp.org,,SA/TX/HH/OP/CO/WN/MN/DU/CJ/SF/PI/MI/
Juneau Recovery Hospital,Bartlett Regional Hospital,,3250 Hospital Drive,,,Juneau,AK,99801,(907)796-8690 Hotline: (907)796-8690,www.bartletthospital.org,,SA/TX/DT/DM/HI/OP/PH/SF/MD/MC/SI/PI/SS/AH/
Juneau Youth Services,Chemical Dependency Program,P.O. Box 32839,,,,Juneau,AK,99803,(907)796-4131 Intake: (907)789-4733,www.jys.org,,SA/TX/OP/AD/SF/MD/PI/SS/PA/AH/
Cook Inlet Council on,Alcohol and Drug Abuse (CICADA),,10200 Kenai Spur Highway,,,Kenai,AK,99611,(907)283-3658 Intake: (907)235-8001,,DWI/DUI Clients Only,SA/TX/OP/DU/SF/MD/PI/PA/
Kenaitze Indian Tribe,Nakenu Family,,110 North Willow Street,,,Kenai,AK,99611,(907)283-6693x3 Intake: (907)283-6693,,,MH-SA/TX/RS/OP/AD/CO/SF/MD/SI/PI/MI/SS/
Gateway Center for Human Services,Substance Abuse Services Division,,3050 5th Avenue,,,Ketchikan,AK,99901,(907)225-4135 Intake: (907)225-3510,www.city.ketchikan.ak.us/ds/gh/ghsa.html,,MH-SA/TX/DT/RS/OP/WN/DU/SF/MD/MC/PI/MI/SS/
Ketchikan Indian Corporation,,,2960 Tongass Avenue,,,Ketchikan,AK,99901,(907)225-4061x13 Intakes: (907)225-4061 (907)225-5158,www.kictribe.org,,SA/TX/OP/AD/PW/WN/MN/DU/MD/MC/SI/PI/MI/PA/
Kodiak Council on Alcoholism Inc,DBA Safe Harbor,,115 Mill Bay Road,,,Kodiak,AK,99615,(907)486-3535 Intake: (866)486-3535,,,SA/TX/RS/RL/OP/AD/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MD/PI/MI/SS/PA/SP/AH/F2/F56/F64/N33/
Maniilaq Recovery Center,,,733 2nd Avenue,,,Kotzebue,AK,99752,(907)442-7645 Intake: (907)442-7640,www.maniilaq.org,,SA/TX/DT/RS/RL/OP/PH/AD/DU/N13/
Annette Island Service Unit,Family Services,,5th Avenue and Duncan Street,,,Metlakatla,AK,99926,(907)886-4325 Intake: (907)886-7491,,,SA/TX/OP/AD/SF/MD/PI/MI/
Minto Counseling Center,,,,,,Minto,AK,99758,(907)798-7323,,,MH-SA/TX/OP/PA/
Railbelt Mental Health and Addictions,Treatment Program,,307 East 2nd Street,,,Nenana,AK,99760,(907)832-5557,www.railbelt.com,,MH-SA/TX/OP/SF/MD/MC/SI/PI/SS/
Petersburg Mental Health Services Inc,,,201 North Nordic Drive,,,Petersburg,AK,99833,(907)772-3332,,,MH-SA/TX/OP/AD/CO/HV/GL/SE/PW/WN/MN/DU/CJ/SF/MD/MC/SI/PI/MI/
Pribilof Counseling Center,,,,,,Saint Paul Island,AK,99660,(907)546-2342 Intake: (907)546-2310x321,,,MH-SA/TX/OP/AD/CO/PW/WN/MN/DU/CJ/SF/MD/MC/SI/PI/SS/PA/
Seldovia Village Tribe,Prevention Program,,274 Main Street,,,Seldovia,AK,99663,(907)234-7898 Intake: (907)234-7898x224,,,SA/TX/OP/PH/SF/SS/AH/
Seaview Community Services,,,302 Railway Avenue,,,Seward,AK,99664,(907)224-5257 Hotline: (907)224-3027,,,MH-SA/TX/OP/CO/DU/SF/MD/MC/SI/PI/MI/SS/
Southeast AK Regional Hlth Consortium,Ravens Way,,222 Tongass Drive,,,Sitka,AK,99835,(907)966-8714x8726 Intake: (907)966-8716,www.searhc.org/ravensway,,MH-SA/TX/RS/AD/CO/MD/SI/PI/MI/
Upper Tanana Alcohol Program,,,204 East Chena Way,,,Tok,AK,99780,(907)883-5185,,,SA/TX/OP/AD/BC/DU/
Aleutian Counseling Center,,,34 Lavelle Court,,,Unalaska,AK,99685,(907)581-2742 Intake: (907)581-1233,www.apiai.org,,MH-SA/TX/OP/AD/DU/SF/MD/MC/SI/PI/MI/SS/SP/
